,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,markets,generic_name,packaging,ingredients_origins,nova_score,manufacturing,additives,allergens,brand_owner,link,palm_ingredients
555,Mini saucisson brioche,2274882038965,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Saucissons briochés']",,,,,,,,,,,,,,,,,,,,,,,73.3%,15.3%,2.8%,2.3%,1.3%,5.0%,43,,,,,,,,,,,,,
556,premium plantains,7709203743150,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Coconut lime - Lorina,0647613009220,['France'],[],[],?,130,544 kj(130 kcal),0,0,32,32,0,0,0,,,['Lorina'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Ananas Morceaux,3760290857551,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Bœuf bourguignon au vin de Bourgogne,3329260200027,['France'],[],[],?,170,711 kj(170 kcal),"9,3","2,7","9,7","0,2",12,"0,99","0,396",,E,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Ragoûts de boeuf', 'Bœufs bourguignons']",9.3 g,en quantité modérée,2.7 g,en quantité modérée,0.2 g,en faible quantité,0.99 g,en quantité modérée,,+77%,+80%,+221%,+171%,+67%,-86%,+19%,+23%,+23%,3,,C,,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,,,,,,,,,,,,,
560,Terrine de porc aux cèpes - 80g,3115550000008,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 g,,,,,,,,,,,,
561,"Fromage râpé, emmentaler AOC Plaisir original, le sachet de - 100g",3463342707568,['France'],[],[],?,413,1728 kj(413 kcal),33,21,1,0,28,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,
562,Saucisson court fumé,2402211036478,['France'],[],[],?,320,1339 kj(320 kcal),"22,9","9,43","3,7","1,4","24,9","4,62","1,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Bionachos Punto De Sal 125 G Granero - El Granero Integral,8422584058215,['France'],[],[],?,496,2075 kj(496 kcal),"23,7",3,"63,1","2,2","5,4","1,1","0,44",,,['El Granero Integral'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Akçaabat kofte - 12x 45g,5902082411628,['France'],[],['Sans huile de palme'],?,190,795 kj(190 kcal),14,"7,3","4,9","0,9",14,"1,2","0,48","['Halal', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 x 45 g,,,,,,,,,,,,
