,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,markets,generic_name,packaging,ingredients_origins,nova_score,manufacturing,additives,allergens,brand_owner,link,palm_ingredients
1086,Tropical,39469588,['France'],[],[],?,36,151 kj(36 kcal),0,0,"8,6","8,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Champagne Dom Perignon - Vintage 2008 - Brut,3185370657454,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins effervescents', 'Champagnes']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,
1088,Troussepinette épines noires,3274320840081,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Favoritos red & white - Haribo,8426617030063,"['France', 'Espagne']",[],[],?,?,,?,,?,,?,,,,E,['Haribo'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",,,,,,,,,,,,,,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,
1090,Joue de bœuf fondante et sons jus façon carbonade,2222708033854,['France'],[],[],?,116,485 kj(116 kcal),6,"1,9","0,8",0,22,"0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Demi baguette,3250390882688,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Jambon à l'ancienne fumé cuit sans couenne - Domaine Picard,2602657033066,['France'],[],[],?,123,515 kj(123 kcal),"3,3","1,7","0,5","0,5",23,"2,1","0,84",,E,['Domaine Picard'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",3.3 g,en quantité modérée,1.7 g,en quantité modérée,0.5 g,en faible quantité,2.1 g,en quantité élevée,,-7%,-6%,-31%,-8%,-25%,-16%,+9%,+12%,+12%,11,+56%,D,+56%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,"['FR 80.798.003 CE', 'Villers-Bocage (Somme, France)']",,,,,,,,,,,
1093,Baguette natur eroski,8480010295429,['France'],[],[],?,?,,?,,?,,?,,,,,['Eroski'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Pain au maïs,0230215009189,['France'],[],[],?,228,954 kj(228 kcal),"5,1","0,7",36,"0,8","7,7","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Bloc de foie gras de pato con trozos sin gluten,8433329015233,['France'],[],[],?,543,2272 kj(543 kcal),56,23,2,1,"7,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,3760177141247,3760177141247,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 84.036.003 CE', 'Châteauneuf-de-Gadagne (Vaucluse, France)']",,,,,,,,,,,
1097,Llorer Dani Fulla Bossa,8410721004799,['France'],[],[],?,?,,?,,?,,?,,,,,['Dani'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,4.0g,5412939121636,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0 g,,,,,,,,,,,,
1099,Terrine de camoagne,3269617104816,['France'],[],[],?,?,,?,,?,,?,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 65.375.001 CE', 'Rabastens-de-Bigorre (Hautes-Pyrénées, France)']",,,,,,,,,,,
1100,Proper marmalade //fresh//,5060148101248,['France'],[],[],?,276,1155 kj(276 kcal),"0,2",0,"69,8",60,"0,8","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Sal roja de hawai molinillo ajustable - Ducros,3166296210596,['France'],[],[],?,?,,?,,?,,?,,,,,['Ducros'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Boyaux de bœuf,3660159008714,['France'],[],[],?,0,0 kj(0 kcal),4,"2,64",1,1,19,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 82121X', 'Montauban (Tarn-et-Garonne, France)', 'FR 82.121.393 CE', 'Montauban (Tarn-et-Garonne, France)']",,,,,,,,,,,
1103,Amarelli Bianconeri Box 100G,8013299000783,['France'],[],[],?,378,1582 kj(378 kcal),"0,01",0,"93,3","77,4","1,2","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Cacahuetes Enrobés au Sésame,8698726864031,['France'],[],[],?,538,2251 kj(538 kcal),"32,61","5,06","41,61","11,5","17,3","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Mousse Chocolate Branco Alsa - 133g,5601038240083,['France'],[],[],?,200,837 kj(200 kcal),8,6,26,23,5,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133 g,,,,,,,,,,,,
1106,Packs 3 fuet - 3x 150g,8421395043229,['France'],[],[],?,478,2000 kj(478 kcal),38,14,"3,3","2,6",30,"4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 x 150 g,,,,,,,,,,,,
1107,Walkers Assorted Biscuit Portion 100S - 25g,0039047050020,['France'],"['TE CHUNK BISCUITS Ingredlents: Wheat flour ', 'wheat flour', 'calcium carbonate', 'iron', 'niacin thiamin', ' Sugar', 'vegetable oils ', 'rapeseed', 'palm', 'dark chocolate chunks ', '14%', ' ', 'sugar', 'cocoa mass', 'cocoa butter', 'emulsifier: soya lecithin', ' natural vanilla flavouring fat-reduced cocoa powder', 'invert sugar syrup', 'skimmed milk powder', 'raising agents: sodium bicarbonate', 'disodium diphosphate', ' salt', 'natural flavouring', ' For allergens', 'including cereals containing gluten', 'see ingredients in bold', ' May also contain nuts']","['Huile de palme', 'Non végétalien']",?,515,2155 kj(515 kcal),"27,4","9,1","60,5","32,1","5,6","0,85","0,34",['Pur beurre de cacao'],D,['Walkers'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",27.4 g,en quantité élevée,9.1 g,en quantité élevée,32.1 g,en quantité élevée,0.85 g,en quantité modérée,,+9%,+8%,+32%,-10%,-5%,+9%,-14%,+44%,+44%,23,+16%,E,+16%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,25 g,,,,,,4,,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']",['Gluten'],,,
1108,Filete de pavo extratierno,2401050003405,['France'],[],[],?,109,456 kj(109 kcal),1,"0,4","3,4",0,"21,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,Cacao strawberry seagull,4260303293486,['France'],[],[],?,320,1339 kj(320 kcal),"7,8","4,9",20,"0,6",23,"0,1","0,04","['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Chicken Laksa zero noodle broth,5060531850029,['France'],[],[],?,136,569 kj(136 kcal),"1,9","0,4","1,8","1,3",2,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Chocolatine beurre,2104201409315,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Oeufs,3999990002149,['France'],[],[],?,10,42 kj(10 kcal),20,18,20,20,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Burger geant nature,2029744069430,['France'],[],['Sans huile de palme'],?,276,1155 kj(276 kcal),5,"0,5",47,"6,3","9,3",1,"0,4",['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Bretzels - 868g,4011753040676,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,B,,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Bretzels']",,,,,,,,,,,,,,,,,,,,,,,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,868 g,,,,['Sachet'],,,,,,,,
1115,Melts crackers de queso - Carr's,5000396022544,['France'],[],[],?,493,2063 kj(493 kcal),"22,9","16,2","59,6",8,"10,8","2,2","0,88",,,"[""Carr's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,The vert matcha curcuma,0840011102207,['France'],[],[],?,?,,?,,?,,?,,,"['Commerce équitable', 'Max Havelaar']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Protein muffins - Prozis,5600499520017,['France'],[],[],?,?,,?,,?,,?,,,,,['Prozis'],"['Biscuits et gâteaux', 'Gâteaux']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Donut milka,0261514019029,['France'],[],[],?,465,1946 kj(465 kcal),28,"13,8","46,3",18,6,"0,649","0,26","[""Fabriqué dans l'UE""]",B,['Milka'],"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",28 g,en quantité élevée,13.8 g,en quantité élevée,18 g,en quantité élevée,0.649 g,en quantité modérée,,+14%,+14%,+23%,+30%,+3%,+7%,+1%,-32%,-32%,20,+3%,E,+3%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,
1119,Lean brownie - MyProtein - 12x 50g,5056104549179,['France'],[],[],?,382,1598 kj(382 kcal),15,"4,4",33,"8,3",28,"0,68","0,272",,,['MyProtein'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 x 50 g,,,,,,,,,,,,
1120,Pain chocolat et croissant pur beurre,0261514015748,['France'],[],[],?,375,1569 kj(375 kcal),21,13,38,10,"7,3","0,83","0,332",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Pain de mie nature - Casino,3222477239258,['France'],[],[],?,64,268 kj(64 kcal),"2,5","0,3","8,4","1,2","0,6","0,23","0,092",['en:gluten-free'],B,['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",2.5 g,en faible quantité,0.3 g,en faible quantité,1.2 g,en faible quantité,0.23 g,en faible quantité,,-76%,-76%,-44%,-54%,-82%,-77%,-93%,-80%,-80%,1,-31%,B,-31%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,['Casino'],,,,,,,,,,
1122,Grana padano - Monoprix,0200006027562,['France'],[],[],?,398,1665 kj(398 kcal),29,18,0,0,33,"1,5","0,6",['AOP'],D,['Monoprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Grana Padano']",29 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,+1%,+0%,+0%,0%,-100%,-100%,0%,-1%,-1%,15,-1%,D,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['Monoprix'],,,,,,,,,,
1123,Filet de saumon - Carrefour,0201018097611,['France'],[],[],?,69,289 kj(69 kcal),"0,9","0,2","0,3","0,1","0,6",9,"3,6",,E,['Carrefour'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Saumons', 'Filets de saumon']",0.9 g,en faible quantité,0.2 g,en faible quantité,0.1 g,en faible quantité,9 g,en quantité élevée,,-61%,-61%,-91%,-89%,-26%,-34%,-97%,+1324%,+1324%,10,+1108%,C,+1108%,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,['Carrefour'],,,,,,,,,,
1124,Zumo de arándano rojo ecológico,4005047014177,['France'],[],[],?,44,184 kj(44 kcal),0,0,9,"7,8","0,3",0,0,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Mini fripon choco,,['France'],[],[],?,465,1946 kj(465 kcal),25,12,51,23,"7,5","0,73","0,292",['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Mon jus - Jaouda,6111242105942,['France'],[],[],?,40,167 kj(40 kcal),0,0,10,10,"0,1","0,5","0,2",,,['Jaouda'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,1KG Mousse Decor Blanc Nestle,9002100035051,['France'],[],[],?,453,1895 kj(453 kcal),13,12,74,59,"9,6","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Jardin n°25 - Palais des Thés,3700256715327,['France'],[],[],?,?,,?,,?,,?,,,,,['Palais des Thés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,Dejeunette pépite choco,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Horse - 2400g,8718503700755,['France'],[],[],?,190,795 kj(190 kcal),"11,5","3,5","9,8",2,"11,7","1,7","0,68",['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400 g,,,,,,,,,,,,
1131,Farine de seigle bio du larzac -  - 1kg,3683080375618,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-16', 'AB Agriculture Biologique']",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de seigle']",,,,,,,,,,,,,,,,,,,,,,,61.8%,2.4%,14.7%,15.3%,5.9%,0.0%,95,1 kg,,,,,,,,,,,,
1132,Mae Napa Taro Purple Yam Chips,8859174100106,['France'],[],[],?,543,2272 kj(543 kcal),34,15,49,"1,9","4,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Pomegranate & Hibiscus Infused Soda,5032678006799,['France'],[],[],?,18,75 kj(18 kcal),0,0,"4,2","4,2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Sablé au pépites de cerise,3760210620036,['France'],[],[],?,474,1983 kj(474 kcal),22,13,61,25,"6,8","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Biere blonde,5430000211024,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Sirop Malt De Riz 900G,8017977001697,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,The Irishman Single Malt,5099811905401,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Artichaut - La Chambre aux Confitures - 90g,3700910202286,['France'],"['Artichaut 69%', ""huile d'olive"", ""huile d'arachide"", 'citron', 'ail', 'sel', 'poivre', ' Fabriqué dans un atelier utilisant: fruits à coque', 'lait', 'soja', 'gluten', 'œuf', 'sulfites', 'arachide et moutarde']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,231,967 kj(231 kcal),20,"2,9","8,7","0,9","2,7",1,"0,4",,,['La Chambre aux Confitures'],"['Produits à tartiner', 'Produits à tartiner salés', ""Crèmes d'artichaut""]",20 g,en quantité modérée,2.9 g,en quantité modérée,0.9 g,en faible quantité,1 g,en quantité modérée,,-8%,-7%,-12%,-6%,+90%,-36%,+41%,-25%,-25%,5,-41%,C,-41%,,,,,,,,90 g,,,,,,3,,,,,,
1139,Tomate cerise,8423223210193,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,1000g,8421615001343,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 g,,,,,,,,,,,,
1141,Biscuis pour chio,3281019015699,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,Volaille de ma région,2268496052158,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,0700953997395,0700953997395,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,Flocons d'avoine complete,3229820442846,['France'],[],[],?,362,1515 kj(362 kcal),"7,1","1,3",58,"1,7",11,"0,02","0,008",['Bio'],B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]",7.1 g,en quantité modérée,1.3 g,en faible quantité,1.7 g,en faible quantité,0.02 g,en faible quantité,,-2%,-2%,+0%,+4%,-2%,+3%,-11%,-35%,-35%,0,,B,,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,,,,,,,,,,,
1145,Kopi Putih O (Kosong),9555313900017,['France'],[],[],?,26,109 kj(26 kcal),"0,3","0,1","5,3","0,7","0,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,Dorset Ginger,0653168000155,['France'],[],[],?,486,2033 kj(486 kcal),"20,8","7,6","69,3","35,8","5,1","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,Eau kirkland,3342978025225,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Breydelham,5410474002748,['France'],[],[],?,109,456 kj(109 kcal),"2,3","0,9",1,1,21,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,160g,6009686793781,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160 g,,,,,,,,,,,,
1150,Magret de canard,2209030005568,['France'],[],[],?,334,1397 kj(334 kcal),29,"9,8","1,3","0,3",17,"0,13","0,052",,E,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",29 g,en quantité élevée,9.8 g,en quantité élevée,0.3 g,en faible quantité,0.13 g,en faible quantité,,-2%,-2%,-1%,-2%,+4%,-55%,-5%,-92%,-92%,13,-29%,D,-29%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,"['FR 56.109.001 CE', 'Lauzach (Morbihan, France)']",,,,,,,,,,,
1151,Sucre pour chouquette - 60g,3278584744000,['France'],[],[],?,400,1674 kj(400 kcal),"0,5","0,5","99,8","99,8","0,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 g,,,,,,,,,,,,
1152,2209330007873,2209330007873,['France'],[],[],?,?,,?,,?,,?,,,['Label Rouge'],D,,"['Viandes', 'Volailles', 'Poulets', 'Poulets fermiers']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"['FR 03.235.001 CE', 'Saint-Gérand-le-Puy (Allier, France)']",,,,,,,,,,,
1153,125g,3329159350697,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125 g,,,,,,,,,,,,
1154,5027870201561,5027870201561,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,Glotzer,4000512222026,['France'],[],[],?,315,1318 kj(315 kcal),"0,2","0,2",72,52,"3,8","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,Centurion,3060921463275,['France'],[],[],?,?,,?,,?,,?,,,,,['Centurion'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)']",,,,,,,,,,,
1157,Confiture extra d'abricot - Auchan - 350g,3596710360642,['France'],[],[],?,237,992 kj(237 kcal),"0,1",0,"57,8","54,4","0,5","0,06","0,024","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Produit en braille']",B,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",0.1 g,en faible quantité,0 g,en faible quantité,54.4 g,en quantité élevée,0.06 g,en faible quantité,,+8%,+8%,-56%,-100%,+9%,+8%,-0%,+173%,+173%,7,-22%,C,-22%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,350 g,,['Auchan'],,,,,,,,,,
1158,Bride (saucisson de Coche),2998696005943,['France'],[],[],?,296,1238 kj(296 kcal),16,"5,4","2,9","1,9",35,"5,1","2,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Fondu de légumes riz saumon - Pommette,3250392804954,['France'],[],[],?,66,276 kj(66 kcal),"2,1","0,8","8,1","1,7","2,9","0,053","0,021","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['Pommette'],"['Plats préparés', 'Aliments pour bébé', 'Plats préparés au poisson', 'Plats à base de riz', 'Dès 15 mois']",,,,,,,,,,-19%,-17%,+1%,+27%,-8%,-15%,+6%,-72%,-72%,,,,,,,,,,,,,,,,,,,,,,,,
1160,Amandes - Daco Bello,3814320000025,['France'],[],[],?,623,2607 kj(623 kcal),53,4,"3,8","3,4",26,"0,02","0,008",,,['Daco Bello'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Crème de châtaigne aux éclats de noix,3770009971102,['France'],[],[],?,270,1130 kj(270 kcal),"3,45","0,4","56,7","41,6","1,7","0,06","0,024",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,Kofte chicken bites,4040328073658,['France'],[],[],?,272,1138 kj(272 kcal),1,1,"9,5","2,6","14,6","2,11","0,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['DE NI-11790 EG'],,,,,,,,,,,
1163,2 cuisses de poulet,0203342020938,['France'],[],[],?,?,,?,,?,,?,,,['Point Vert'],D,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"['FR 72.175.001 CE', 'Luché-Pringé (Sarthe, France)']",,,,,,,,,,,
1164,Saucisses nature de volaille bio,2444012021062,['France'],[],[],?,136,569 kj(136 kcal),"6,2","1,7","0,7","0,7",19,"1,8","0,72",['Bio'],E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",6.2 g,en quantité modérée,1.7 g,en quantité modérée,0.7 g,en faible quantité,1.8 g,en quantité élevée,,-24%,-25%,-47%,-53%,-44%,+34%,+15%,+1%,+1%,4,-59%,C,-59%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,,,,,,,,,,
1165,Pizza jambon fromage,2203755020998,['France'],[],[],?,294,1230 kj(294 kcal),"19,6","12,1","2,7",0,"8,5","0,718","0,287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 42.305.003 CE', 'Talaudière (Loire, France)']",,,,,,,,,,,
1166,Cervelas de volaille,2858263027559,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Fuseau du mineur,2225883034838,['France'],[],[],?,371,1552 kj(371 kcal),"26,2","10,5",3,"0,7",0,"4,5","1,8","['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,"Georgous Hair, Skin, Nails",0840994123794,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,Saucisson à cuire aux pistaches,0206142036932,['France'],[],[],?,259,1084 kj(259 kcal),"20,2","7,9","1,6","1,1","16,9","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,Tomme de brebis,2488008019480,['France'],[],[],?,450,1883 kj(450 kcal),"39,2",27,0,0,"24,2","1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,tarte mendiants,3760268140074,['France'],[],[],?,490,2050 kj(490 kcal),"30,2","15,5",55,"33,5","8,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,Rosette pur porc,2678207057998,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,Boudin blanc - Maison Prunier,2477875018634,['France'],[],[],?,205,858 kj(205 kcal),17,"6,7",2,"0,8",11,"1,5","0,6","['Viande Française', 'Viande Porcine Française', 'Point Vert', 'Sans colorants']",D,['Maison Prunier'],"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",17 g,en quantité modérée,6.7 g,en quantité élevée,0.8 g,en faible quantité,1.5 g,en quantité modérée,,-16%,-16%,-16%,-14%,-53%,-59%,+7%,+1%,+1%,14,-12%,D,-12%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,,
1174,Adelbodner Mineral,7610338121051,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
