,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,link,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,traceability_code,ingredients_origins,markets,palm_ingredients,producer_info,origin_detail
541,Boisson aux jus de fruits plate orange - U - 6bouteilles de 25cl,3256225436279,B,,6 bouteilles de 25 cl,"['Bouteille', 'Plastique']",['U'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté']",,['France'],"['Eau de source ', 'France', ' 84,2%', 'jus de fruits à base de concentrés 12% ', 'orange 10%', 'pomme 2%', 'sucre', 'acidifiants : acide citrique et acide malique', ""arôme naturel d'orange avec autres arômes naturels"", 'arômes naturels', 'concentrés de carotte', 'antioxydant : acide ascorbique']","['E330 - Acide citrique', 'E296 - Acide malique', 'E300 - Acide ascorbique']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,6.4 g,en quantité élevée,0.03 g,en faible quantité,118,-73%,28,-67%,118 kj(28 kcal),-68%,"0,5",+33%,"0,1",-40%,"6,4",-68%,"6,4",-65%,"0,5",-7%,"0,03",-20%,"0,012",-20%,9,-24%,D,-24%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,"['Point Vert', 'Sans conservateurs', 'Transformé en France', 'Recyclé plastique']",['France'],,"['France', 'Hors France']","['Super U', 'Magasins U']",,,
542,Vin rosé AOC côtes du Ventoux LE TOULOURENC - U - fontaine à vin de 3l,3256225436989,C,,fontaine à vin de 3 l,,['U'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,['France'],['Contient des sulfites'],,['Anhydride sulfureux et sulfites'],[],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,"['Conditionné en France', 'Viticulture durable']",,,['France'],['Magasins U'],,,
543,Vin rouge AOP Côtes du Ventoux Le Toulourenc - U - 3l,3256225436996,C,,3 l,,['U'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,['France'],['Contient des SULFITES'],,['Anhydride sulfureux et sulfites'],[],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Conditionné en France'],,,['France'],['Magasins U'],,,
544,Mix épices tajine - U - 20g,3256225437047,,,20 g,,['U'],['Epicerie'],,['France'],"['Epices ', 'cumin 10%', 'paprika 5%', 'coriandre 5%', 'cannelle 3%', 'poivre', 'piment de Jamaïque', 'gingembre', 'graines de MOUTARDE moulues', 'curcuma', 'noix de muscade', 'plantes aromatiques ', 'oignon 20%', 'ail', 'tomate', 'persil', 'thym', 'farine de BLE', 'sel', 'sucre', 'extrait de jus de citron', ' Traces éventuelles de céleri', 'lait', 'oeuf', 'sésame', 'soja']",,"['Gluten', 'Moutarde']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,5.2 g,en quantité modérée,0.7 g,en faible quantité,16 g,en quantité élevée,9.4 g,en quantité élevée,1302,+52%,310,+47%,1302 kj(310 kcal),+48%,"5,2",-64%,"0,7",-63%,48,+314%,16,+140%,"9,7",+250%,"9,4",+223%,"3,76",+223%,11,0%,D,0%,,,,,,,,,,,,['Magasins U'],,,
545,Mix barbecue à la Mexicaine piquant - U - 10g,3256225437061,,,10 g,,['U'],['Epicerie'],,['France'],"['Épices ', 'paprika', 'poivre', 'cumin', 'coriandre', 'oignon', 'sel', 'tomate 12%', 'piment fort 9%', ""extraits d'épice"", 'oléorésine de curcuma', 'persil 1,3%', 'arôme de fumée', ' Traces éventuelles de céréales contenant du gluten', 'céleri', 'lait', 'moutarde', 'oeuf', 'sésame', 'soja']",,,[],4,5.3 g,en quantité modérée,0.4 g,en faible quantité,11 g,en quantité modérée,16.1 g,en quantité élevée,871,+1%,207,-2%,871 kj(207 kcal),-1%,"5,3",-63%,"0,4",-79%,33,+184%,11,+65%,"6,9",+149%,"16,1",+453%,"6,44",+453%,9,-18%,C,-18%,,,,,,,,,,,,['Magasins U'],,,
546,Mix barbecue à l'Asiatique - U - 20g,3256225437085,,,20 g,,['U'],['Epicerie'],,['France'],"['Epices ', 'poivre', 'paprika', 'coriandre 2%', 'carvi 2%', 'curcuma', 'graines de MOUTARDE moulues', 'sel', 'aromates ', 'oignons 15%', 'tomate 5%', 'oignons frits 10%', 'sucre de canne', 'ail doré 5%', 'arôme naturel', 'épices', ' Traces éventuelles de céréales contenant du gluten', 'céleri', 'lait,oeuf', 'sésame,soja']",,['Moutarde'],[],4,2.9 g,en faible quantité,0.7 g,en faible quantité,35 g,en quantité élevée,26.3 g,en quantité élevée,960,+12%,228,+8%,960 kj(228 kcal),+9%,"2,9",-80%,"0,7",-63%,38,+228%,35,+425%,"7,9",+185%,"26,3",+804%,"10,52",+804%,14,+27%,D,+27%,,,,,,,,,,,,['Magasins U'],,,
547,Mix marinade à la provençale - U - 75g,3256225437122,,,75 g,,['U'],"['Epicerie', 'Condiments', 'Assaisonnements']",,['France'],"['Huile de colza 25%', 'eau', 'aromates ', 'ail 15%', 'tomate 2%', 'oignon 2%', 'carotte 1%', 'origan', 'persil', 'thym 0,8%', 'romarin 0,5%', 'CELERI feuilles', 'graines de MOUTARDE moulues', 'sel', 'sucre', 'poudre de LACTOSERUM', 'écorce de citron 1%', 'épices', 'jus de citron concentré 1,5%', ""extrait d'épice"", ""jaune d'OEUF"", ""vinaigre d'eau de vie"", 'amidon modifié de maïs cireux', 'épaississants : gomme guar et gomme xanthane', ' Traces éventuelles de céréales contenant du gluten', 'oeuf', 'sésame', 'soja']","['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']","['Céleri', 'Œufs', 'Lait', 'Moutarde']",['Non végétalien'],4,27 g,en quantité élevée,2.2 g,en quantité modérée,9 g,en quantité modérée,7.4 g,en quantité élevée,1353,+33%,326,+60%,1353 kj(326 kcal),+50%,27,+191%,"2,2",+72%,17,-20%,9,-4%,"3,3",-21%,"7,4",-22%,"2,96",-22%,13,+17%,D,+17%,,,,,,,,,,,,['Magasins U'],,,
548,Mix marinade à l'asiatique - U - 75g,3256225437139,,,75 g,"['Sachet', 'Plastique']",['U'],"['Epicerie', 'Condiments', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Assaisonnements']",,['France'],"['Sauce SOJA 40% ', 'eau', 'graines de SOJA', 'farine de BLE', 'sel', 'huile de colza 20%', 'sel', 'miel 5%', 'mélasse de canne à sucre', 'sucre', 'ail 5%', 'piment fort 2%', ""vinaigre d'eau de vie"", 'épices', ""jaune d'OEUF"", 'dextrose', 'amidon modifié de maïs cireux', 'épaississants : gommes guar et gomme xanthane', 'acidifiant : acide citrique', ' Traces éventuelles de céleri', 'lait', 'sésame', 'moutarde']","['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E330 - Acide citrique']","['Œufs', 'Gluten', 'Soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,,,,,,,,,1216,+19%,292,+43%,1216 kj(292 kcal),+35%,21,+127%,"1,8",+41%,21,-1%,17,+81%,"4,2",+0%,"13,2",+40%,"5,28",+40%,,,,,,,,,,,,,,,,['Magasins U'],,,
549,Mix marinade à la Mexicaine - U - 75g,3256225437146,,,75 g,,['U'],"['Epicerie', 'Condiments', 'Assaisonnements']",,['France'],"['Pâte de tomate 30%', 'huile de colza 20%', 'eau', 'sel', 'sucre', 'poudre de LACTOSERUM', ""vinaigre d'eau de vie"", 'aromates ', 'tomate 2%', 'oignon 2%', 'CÉLERI', 'graines de MOUTARDE moulues', 'ail', 'panais', 'poivre 2%', 'piment fort 0,2%', 'paprika', 'épices', ""j'aune d'OEUF"", ""extraits d'épices"", 'amidon modifié de maïs cireux', 'épaississants : gomme guar et gomme xanthane', ' Traces éventuelles de céréales contenant du gluten', 'sésame', 'soja']","['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']","['Céleri', 'Œufs', 'Lait', 'Moutarde', 'RUM']",['Non végétalien'],4,21 g,en quantité élevée,1.8 g,en quantité modérée,18 g,en quantité élevée,10.2 g,en quantité élevée,1233,+21%,297,+46%,1233 kj(297 kcal),+37%,21,+127%,"1,8",+41%,22,+4%,18,+92%,"3,3",-21%,"10,2",+8%,"4,08",+8%,13,+17%,D,+17%,,,,,,,,,,,,['Magasins U'],,,
550,Mix marinade miel moutarde - U - 75g,3256225437153,,,75 g,,['U'],"['Epicerie', 'Condiments', 'Assaisonnements']",,['France'],"['Eau', 'huile de colza 20%', 'sucre', 'sel', 'graines de MOUTARDE moulues 6%', 'miel 5%', ""vinaigre d'eau de vie"", ""jaune d'OEUF"", ""jus d'orange concentré 1%"", 'épices', 'amidon modifié de maïs cireux', 'épaississants: gomme xanthane et gomme guar', ""extrait d'épice"", 'acidifiant: acide citrique', ' Traces éventuelles de céréales contenant du gluten', 'céleri', 'lait', 'sésame', 'soja']","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E330 - Acide citrique']","['Œufs', 'Moutarde']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,26 g,en quantité élevée,2.1 g,en quantité modérée,18 g,en quantité élevée,11.9 g,en quantité élevée,1378,+35%,332,+63%,1378 kj(332 kcal),+53%,26,+180%,"2,1",+64%,21,-1%,18,+92%,"2,5",-40%,"11,9",+26%,"4,76",+26%,18,+62%,D,+62%,,,,,,,,,,,,['Magasins U'],,,
551,Boeuf en sauce cuisinez facile - U - 43g,3256225437245,,,43 g,"['Sachet', 'Plastique']",['U'],"['Epicerie', 'Condiments', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Assaisonnements']",,['France'],"['Ingrédients de la préparation déshydratée : sel', 'oignon', 'farine de BLE', 'amidon de pomme de terre', 'sucre', 'paprika', 'maltodextrine', 'tomate', 'carottes', 'carvi', 'épices ', 'contient CELERI', 'sirop de caramel en poudre', 'arôme naturel', 'épaississant : gomme de guar', 'acidifiant : acide citrique', ' Traces éventuelles de lait', 'moutarde', 'oeuf', 'sésame', 'soja']","['E412 - Gomme de guar', 'E330 - Acide citrique']","['Céleri', 'Gluten']",[],4,,,,,,,,,1143,+12%,270,+32%,1143 kj(270 kcal),+27%,"1,5",-84%,"0,3",-77%,56,+164%,26,+177%,"5,2",+24%,"19,1",+103%,"7,64",+103%,,,,,,,,,,,,,,,,"['Super U', 'Magasins U']",,,
552,Pâtes carbonara cuisinez facile - U - 30g,3256225437320,,,30 g,,['U'],"['Epicerie', 'Condiments', 'Assaisonnements']",,['France'],"['Ingrédients de la préparation déshydratée : amidon de maïs', 'maltodextrine', 'farine de BLE', 'aromates ', 'oignon', 'ciboulette', 'ail', 'FROMAGE', 'sel', ""jaune d'OEUF"", 'épices', 'arôme naturel', 'sels de fonte : phosphates de sodium', ' Traces éventuelles de céleri', 'moutarde', 'sésame', 'soja']",,"['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,4.8 g,en quantité modérée,2.3 g,en quantité modérée,3.8 g,en faible quantité,5.5 g,en quantité élevée,1499,+47%,354,+74%,1499 kj(354 kcal),+66%,"4,8",-48%,"2,3",+80%,70,+230%,"3,8",-60%,"6,3",+50%,"5,5",-42%,"2,2",-42%,13,+17%,D,+17%,,,,,,,,,,,,['Magasins U'],,,
553,Nouilles chinoises au poulet cuisinez facile - U - 60g,3256225437344,,,60 g,,['U'],"['Epicerie', 'Condiments', 'Assaisonnements']",,['France'],"['Ingrédients de la préparation déshydratée : aromates ', 'oignon', 'carotte', 'poireau', 'ail', 'graines de MOUTARDE moulues', 'coriandre', 'sel', 'amidon de pomme de terre', 'épices ', 'paprika', 'curcuma', 'gingembre', 'piment fort', 'sucre', 'champignon noir', 'sauce SOJA ', 'graines de SOJA', 'farine de BLE', 'sel', 'jus de citron concentré', 'épices ', 'contient CELERI', 'maltodextrine', ' Traces éventuelles de lait', 'oeuf', 'sésame']",,"['Céleri', 'Gluten', 'Moutarde', 'Soja']",[],3,1.8 g,en faible quantité,0.3 g,en faible quantité,25 g,en quantité élevée,20.1 g,en quantité élevée,1037,+2%,246,+21%,1037 kj(246 kcal),+15%,"1,8",-81%,"0,3",-77%,45,+112%,25,+166%,"5,5",+31%,"20,1",+113%,"8,04",+113%,13,+17%,D,+17%,,,,,,,,,,,,['Magasins U'],,,
554,Kit Papillote Barbecue - U - 34g,3256225467846,,,34 g,"['Sachet', 'Plastique']",['U'],"['Epicerie', 'Condiments', 'Assaisonnements']",,['France'],"['Ingrédients de la préparation déshydratée : Sucre', 'tomate 16,6%', 'paprika 16,1%', 'sel', 'dextrose', 'citron en poudre 4,1% ', 'jus de citron concentré', 'maltodextrine', 'sel fumé ', 'sel', 'fumée', 'sirop de caramel 3,4%', 'acidifiants : diacétate de sodium et acide citrique', 'arôme de fumée', 'LACTOSE', 'huile de colza', ' Traces éventuelles céleri', 'gluten', 'moutarde', 'oeufs', 'sésame', 'soja']","['E262ii - Diacétate de sodium', 'E330 - Acide citrique']",['Lait'],['Non végétalien'],4,2.8 g,en faible quantité,0.4 g,en faible quantité,52 g,en quantité élevée,14.3 g,en quantité élevée,1443,+41%,341,+67%,1443 kj(341 kcal),+60%,"2,8",-70%,"0,4",-69%,67,+216%,52,+454%,"5,1",+22%,"14,3",+52%,"5,72",+52%,19,+71%,E,+71%,,,,,,,,,,,,"['Super U', 'Magasins U']",,,
555,Kit papillote curry et coco - U - 30g,3256225467853,,,30 g,,['U'],['Epicerie'],,['France'],"['Ingrédients de la préparation déshydratée : sel', 'curry 18,6 % ', 'ail', 'gingembre', 'coriandre', 'paprika', 'ciboulette 1%', 'poivre', 'curcuma', 'cannelle', 'persil 0,4%', 'noix de muscade', 'piment fort', 'maltodextrine', 'farine de BLE', 'amidon transformé de maïs', 'sucre', 'poudre de coco 5% ', 'lait de coco', 'maltodextrine', 'caséine de sodium ', 'LAIT', 'oignon', 'extrait de levure', 'huile de colza', 'arôme naturel', 'acidifiant : acide citrique', ' Traces éventuelles de céleri', 'lait', 'moutarde', 'oeuf', 'sésame', 'soja']","['E14XX - Amidons modifiés', 'E330 - Acide citrique']","['Gluten', 'Lait']",['Non végétalien'],4,1.6 g,en faible quantité,0.3 g,en faible quantité,18 g,en quantité élevée,21.1 g,en quantité élevée,1105,+29%,261,+24%,1105 kj(261 kcal),+25%,"1,6",-89%,"0,3",-84%,52,+348%,18,+170%,"7,4",+167%,"21,1",+625%,"8,44",+625%,13,+18%,D,+18%,,,,,,,,,,,,['Magasins U'],,,
556,Kit papillote à la moutarde - U - 33g,3256225467860,,,33 g,,['U'],"['Epicerie', 'Condiments', 'Assaisonnements']",,['France'],"['Ingrédients de la préparation déshydratée : sel', 'farine de BLÉ', ""mélange d'épices et plantes aromatiques "", 'graines de MOUTARDE 17%', 'ail 2,9%', 'curcuma', 'poivre', 'feuilles de laurier', 'extrait de levures', 'huile de tournesol', 'sucre', 'amidon de tapioca', 'MOUTARDE 3,6% ', 'eau', 'graines de MOUTARDE', 'vinaigre de vin', 'sel', 'épices', ' miel', 'LACTOSE', 'PROTÉINES DE LAIT', 'MALTOdextrine', 'arôme naturel ', 'contient MOUTARDE', ' Traces éventuelles de céleri', 'oeuf', 'sésame', 'soja']",,"['Gluten', 'Lait', 'Moutarde']",['Non végétalien'],4,11.7 g,en quantité modérée,0.3 g,en faible quantité,11 g,en quantité modérée,26 g,en quantité élevée,1300,+27%,310,+52%,1300 kj(310 kcal),+44%,"11,7",+26%,"0,3",-77%,38,+79%,11,+17%,12,+186%,26,+176%,"10,4",+176%,13,+17%,D,+17%,,,,,,,,,,,,['Magasins U'],,,
557,Feuilles laurier - U - 10g,3256225472642,,,10 g,['grand format'],['U'],['Epicerie'],,['France'],['Laurier feuilles déshydratées Traces éventuelles de céleri et moutarde'],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['Magasins U'],,,
558,Recharge moulin 5 baies - U - 35g,3256225472970,,,35 g,,['U'],['Epicerie'],,['France'],"['Poivre noir', 'coriandre', 'poivre blanc', 'baies roses ', 'schinus terebinthifolius', 'piment de jamaïque', 'poivre vert', ' Traces éventuelles de céleri et moutarde']",,,[],1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['Magasins U'],,,
559,Aneth - U - 8g,3256225473007,,,8 g,"['format petit', 'petit format']",['U'],['Epicerie'],,['France'],['Aneth déshydraté Traces éventuelles de céleri et moutarde'],,,[],1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['Magasins U'],,,
560,Herbes de Provence - U - 8g,3256225473038,,,8 g,['format petit'],['U'],['Epicerie'],,['France'],"['Romarin', 'thym', 'basilic', 'marjolaine', 'persil', 'sarriette', 'origan', 'cerfeuil', 'feuilles de livèche Traces éventuelles de céleri et moutarde']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['Magasins U'],,,
561,Gingembre moulu - U - 12g,3256225473229,A,,12 g,"['Flacon', 'Verre', 'format petit']",['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Gingembre', 'Gingembre en poudre']",,['France'],['Gingembre moulu Traces éventuelles de céleri et moutarde'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,37.8%,0.0%,31.7%,20.0%,10.4%,0.0%,93,,,,,['Magasins U'],,,
562,Piment Cayenne moulu - U - 18g,3256225474998,B,,18 g,['format petit'],['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Piments', 'Capsicum frutescens', 'Piments de Cayenne']",,['France'],['Piment de cayenne moulu Traces éventuelles de céleri et moutarde'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,,0,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,['Magasins U'],,,
563,Piment doux - U - 14g,3256225475025,,,14 g,['format petit'],['U'],['Epicerie'],,['France'],['Piment doux moulu Traces éventuelles de céleri et moutarde'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['Magasins U'],,,
564,Ras el hanout - U - 15g,3256225475049,,,15 g,['format petit'],['U'],"['Epicerie', 'Condiments', ""Mélanges d'herbes et d'épices"", 'Ras el hanout']",,['France'],"['Graines de coriandre moulues', 'curcuma', 'graines de fenugrec moulues', 'graines de fenouil', 'graines de MOUTARDE moulues', 'sel', 'arôme', ' Traces éventuelles de céréales contenant du gluten', 'oeuf', 'soja', 'lait', 'céleri et sésame']",,['Moutarde'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,14 g,en quantité modérée,1.6 g,en quantité modérée,33 g,en quantité élevée,1.8 g,en quantité élevée,1546,,370,+152%,1546 kj(370 kcal),+151%,14,+140%,"1,6",+57%,39,+139%,33,+538%,13,+127%,"1,8",-49%,"0,72",-49%,14,+118%,D,+118%,,,,,,,,,,,,['Magasins U'],,,
565,Poivre noir moulu - U - 22g,3256225475124,B,,22 g,['format petit'],['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres noirs', 'Poivres moulus', 'Poivre noir moulu', 'Assaisonnements']",,['France'],['Poivre noir moulu Traces éventuelles de céleri et moutarde'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,['Magasins U'],,,
566,"Goûters ronds fourrés goût chocolat - U - x15, 3x 300g, 900g",3256225710102,C,,"x15, 3 x 300 g, 900 g",,['U'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés', 'Goûters fourrés']",,['France'],"['Farine de BLE ', 'France', ' 49,9%', 'sucre', 'graisse de palme et de palmiste', 'sirop de glucose', 'poudre de cacao maigre 4%', 'farine de SEIGLE 1,3%', 'LACTOSE', ""poudres à lever : carbonates d'ammonium - carbonates de sodium - diphosphates"", 'LAIT écrémé en poudre', 'LAIT entier en poudre', 'sel', 'arôme', 'protéines de LAIT', 'émulsifiant : lécithines de tournesol', ""correcteur d'acidité : acide citrique"", ' Traces éventuelles d oeufs']","[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E330 - Acide citrique']","['Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,17 g,en quantité modérée,9.4 g,en quantité élevée,32 g,en quantité élevée,0.52 g,en quantité modérée,1953,-2%,465,-3%,1953 kj(465 kcal),-2%,17,-11%,"9,4",+4%,70,+3%,32,+2%,"6,1",-3%,"0,52",+1%,"0,208",+1%,19,0%,E,0%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"['Huile de palme durable', 'RSPO', 'en:RSPO Mass Balance or Book and Claim', 'Farine de blé français', ""Blé issu d'une culture maitrisée""]",,,,['Magasins U'],['Huile de palme'],,
567,Bouchée de poulet rôtie - U - 200g,3256225717743,C,,200 g,"['Frais', 'sachet']",['U'],"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Volailles cuites', 'Préparations au poulet', 'Poulets cuisinés', 'Poulets panés']",,['France'],"['Viande de haut de cuisse de poulet ', 'france', 'sucre', 'sel', 'sirop de glucose', 'amidons transformés de tapioca et de maïs', 'protéines de soja', 'arôme naturel', ""poudres d'ail et d'oignon"", 'sucre caramélisé', 'poudre de vinaigre', ""épices et extrait d'épices"", '113g de viande de poulet et 1', '4g de protéines de soja mis en oeuvre pour 100g de bouchées de poulet ttraces éventuelles de gluten', 'oeuf', 'lait', 'céléri', 'moutarde']",['E14XX - Amidons modifiés'],['Soja'],[],4,8.7 g,en quantité modérée,2.8 g,en quantité modérée,0.4 g,en faible quantité,1.1 g,en quantité modérée,751,-19%,180,-19%,751 kj(180 kcal),-19%,"8,7",-22%,"2,8",+35%,"1,6",-90%,"0,4",-69%,23,+69%,"1,1",-7%,"0,44",-7%,2,-47%,B,-47%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Viande Française', 'Conditionné en France', 'Volaille-francaise']",,,['France'],['Magasins U'],,,
568,Carpaccio huile d'olive citron - U - 220g,3256225717866,,"Carpaccio Bœuf, Marinade Huile d'Olive & Citron",220 g,"['Frais', 'Plastique', 'barquette']",['U'],"['Viandes', 'Plats préparés', 'Bœuf', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Réfrigérés', 'Carpaccio de boeuf']",,['France'],"['Viande bovine 83%', ""huile d'olive vierge extra 6"", '9%', 'huile de colza', 'eau', 'jus concentré de citron 0', '8%', 'sel', 'basilic', 'épices']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,12 g,en quantité modérée,1.8 g,en quantité modérée,0.5 g,en faible quantité,0.45 g,en quantité modérée,765,,184,-10%,765 kj(184 kcal),-10%,12,-15%,"1,8",-29%,"0,9",+285%,"0,5",+218%,18,-6%,"0,45",-37%,"0,18",-37%,-1,-155%,A,-155%,,,,,,,,"['Viande Française', 'Point Vert', 'Conditionné en France', 'Viande-bovine-francaise']",['France'],"['FR 29.233.001 CE', 'Quimperlé (Finistère, France)']",['France'],"['Super U', 'Magasins U']",,,
569,"Crêpes fourrées à la fraise - U Mat & Lou - 8crêpes, 256g",3256225720385,C,,"8 crêpes, 256 g",['crêpes'],"['U Mat & Lou', 'U']","['Snacks', 'Snacks sucrés', 'Plats préparés', 'Biscuits et gâteaux', 'Crêpes et galettes', 'Pâtisseries', 'Crêpes', 'Crêpes fourrées', 'Crêpes fourrées aux fraises']",,['France'],"['Crêpe 62,5% : LAIT entier', 'farine de BLE 25%', 'sucre', 'OEUFS frais', 'BEURRE concentré', 'huile de colza', 'sel', ' Fourrage fraise 37,5% : sirop de glucose-fructose', 'purée de fraise 15%', 'cubes de fraises 3', '75% ', 'saccharose', 'glycérol', 'acidifiant: acide citrique', 'arômes naturels', 'gélifiant: pectines', ""correcteur d'acidité: citrate trisodique"", 'Traces éventuelles de soja et de fruits à coques']","['E422 - Glycérol', 'E330 - Acide citrique', 'E440 - Pectines', 'E331iii - Citrate trisodique']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,7.8 g,en quantité modérée,3 g,en quantité modérée,40 g,en quantité élevée,1.2 g,en quantité modérée,1490,-11%,353,-15%,1490 kj(353 kcal),-13%,"7,8",-55%,3,-47%,65,+15%,40,+13%,5,-22%,"1,2",+47%,"0,48",+47%,18,-8%,D,-8%,78.5%,9.6%,5.9%,3.3%,2.7%,0.0%,68,"['Arômes naturels', 'Transformé en France', 'Farine de blé français']",,,,['Magasins U'],,,
