,name,bar_code,eco_score,quantity,packaging,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,ingredients_origins,manufacturing,markets,palm_ingredients,brand_owner,origin_detail,producer_info,generic_name,link
1177,Aljara flor - 1Kg,8413279813080,B,1 Kg,['Vidrio'],['ALJARA FLOR'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']","['France', 'Espagne']","['Mezcla de mieles originarias y no originarias de la U', 'E']",,,[],,0 g,en faible quantité,0 g,en faible quantité,74.4 g,en quantité élevée,0 g,en faible quantité,?,,280,-6%,1172 kj(280 kcal),-6%,0,-100%,0,-100%,"74,4",-4%,"74,4",+7%,"0,6",+77%,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['ES 23.00384/SE CE'],"['Espagne', 'Chine', 'Uruguay']",,['ALCAMPO'],,,,,,http://www.andaluzademieles.com
1178,Cognac Olivier de Baupréau - 50cl,3660989144767,C,50 cl,['Bouteille'],,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Cognac']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,['Carrefour'],,,,,,
1179,Forest fruit dark chocolate - BIO ORGANIC - 100g,5412956213475,E,100 g,,['BIO ORGANIC'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['Pâte de cacao', 'sucre de canne', 'beurre de cacao', 'pépites de fruits des bois*', '1,5%', 'framboise', 'cassis', 'myrtille', 'émulsifiant ', 'lécithine de soja', 'arôme naturel de mûre']",['E322i - Lécithine'],['Soja'],[],4,35 g,en quantité élevée,21 g,en quantité élevée,41 g,en quantité élevée,0.01 g,en faible quantité,?,,535,-4%,2238 kj(535 kcal),-4%,35,-11%,21,-9%,44,+14%,41,+29%,"6,1",-20%,"0,01",-79%,"0,004",-79%,25,+18%,E,+18%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,
1180,Dessert lacté chocolat - Carrefour,3560071186364,,,,['Carrefour'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts au chocolat', 'Desserts lactés au chocolat']",['France'],[],,,[],,1.8 g,en faible quantité,1.1 g,en faible quantité,12 g,en quantité modérée,0.1 g,en faible quantité,?,,83,-46%,347 kj(83 kcal),-46%,"1,8",-72%,"1,1",-72%,13,-31%,12,-28%,3,-21%,"0,1",-35%,"0,04",-35%,3,-56%,C,-56%,,,,,,,,,"['EMB 62853', 'Vieil-Moutier (Pas-de-Calais, France)']",,,['Carrefour'],,,,,,
1181,Diego 1L Brique Pomme Vanille Bourbon,3297565704376,,,,['Diego'],,['France'],[],,,[],,,,,,,,,,?,,35,,146 kj(35 kcal),,0,,0,,"8,4",,"8,2",,0,,0,,0,,,,,,,,,,,,,"['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,
1182,Instant Tee Typ Pfirsich - Lord Nelson - 400g,4056489010692,,400g,,['Lord Nelson'],,['France'],[],,,[],,,,,,,,,,?,,19,,79 kj(19 kcal),,0,,0,,"4,6",,"4,5",,0,,"0,02",,"0,008",,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,
1183,Olives a la farce à l'anchois - Carrefour,3560071162931,,,,['Carrefour'],,['France'],[],,,[],,,,,,,,,,?,,145,,607 kj(145 kcal),,15,,3,,0,,0,,"1,3",,"3,3",,"1,32",,,,,,,,,,,,,['Fabriqué en Espagne'],,,,['Carrefour'],,,,,,
1184,Cabanossi - Wiltmann - 300g,4001956310485,,300 g,['Kunststoff'],['Wiltmann'],"['Viandes', 'Charcuteries', 'Saucissons', 'de:Cabanossi']","['France', 'Allemagne']","['Schweinefleisch', 'jodiertes Speisesalz ', 'Speisesalz', 'Kaliumiodat', 'Traubenzucker', 'Gewürze', 'Gewürzextrakte', 'Antioxidationsmittel: Natriumascorbat', ' Konservierungsstoff: Natriumnitrit', ' Naturdarm ', 'Schwein', 'Buchenholzrauch']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Non végétalien', 'Non végétarien']",3,30 g,en quantité élevée,12 g,en quantité élevée,1 g,en faible quantité,2.5 g,en quantité élevée,?,,340,-12%,1423 kj(340 kcal),-12%,30,-2%,12,+1%,1,-54%,1,-25%,16,-37%,"2,5",-40%,1,-40%,24,+3%,E,+3%,,,,,,,,,['DE EV-57 EG'],,,['Rewe'],,,,,,
1185,Café moulu - Auchan - 250g,3245678169469,E,250 g,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']",['France'],['100% café arabica du Honduras biologique'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,"['Bio', 'Agriculture durable', 'Bio européen', 'en:UTZ Certified', 'Café certifié UTZ', 'AB Agriculture Biologique']",,['Honduras'],,['Auchan'],,,,,,
1186,Salat Krönung- Paprika Kräuter (5er Pack) - Knorr,8714100823705,,,,['Knorr'],,"['France', 'Allemagne', 'Suisse']",[],,,['Végétarien'],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Végétarien', 'Union Végétarienne Européenne']",,,,,,,,,,
1187,Chapela con bano al cacao - Dulcesol,8410087141732,,,,['Dulcesol'],,['France'],[],,,[],,,,,,,,,,?,,403,,1686 kj(403 kcal),,14,,"9,1",,65,,45,,"3,6",,"0,48",,"0,192",,,,,,,,,,,,,,,,,,,,,,,
1188,Assortiment de bonbons de chocolat noir - Carrefour Sélection,3560071128777,,,,"['Carrefour Sélection', 'Carrefour']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",['France'],"['Sucre', 'pâte de cacao', 'beurre de cacao', 'amandes 7,5%', 'lait entier en poudre', 'graines de courge 4,9%', 'amandes caramélisées 2,6% ', 'amandes', 'sucre', 'sirop de glucose', 'miel', 'noisettes 1,8%', 'beurre concentré', 'brisures de bretzel 1,5% ', 'farine de blé', 'sel 0,04%', 'huile de tournesol', 'farine de blé malté', 'levure', ""correcteur d'acidité : hydroxyde de sodium"", ""huile d'amandes 1,4%"", 'stabilisants : glycérol et sorbitols', 'dextrose', 'huile de noisettes 0,4%', 'arôme naturel de vanille et gousses de vanílle épuisées broyées 0,28%', 'émulsifiant : lécithines ', 'soja', 'fleur de sel de Guérande 0,08%', 'arôme naturel de vanille', 'colorant de décor : curcumine et extrait de paprika', "" Ce produit contient 28,4% de chocolat noir d'enrobage "", 'cacao : 70% minimum', "" Peut contenir des traces d'autres fruits à coque et d'autres céréales contenant du gluten""]","['E524 - Hydroxyde de sodium', 'E422 - Glycérol', 'E420 - Sorbitol', 'E322i - Lécithine', 'E100 - Curcumine', 'E160c - Extrait de paprika']","['Gluten', 'Lait', 'Fruits à coque', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,36 g,en quantité élevée,16 g,en quantité élevée,37 g,en quantité élevée,0.15 g,en faible quantité,?,,561,+4%,2347 kj(561 kcal),+4%,36,+7%,16,-9%,47,-9%,37,-21%,11,+82%,"0,15",+4%,"0,06",+4%,25,0%,E,0%,,,,,,,,,,,,['Carrefour'],,,,,,
1189,Active O2 Himber cranberry - Adelholzener - 750ml,4005906004103,,750ml,,['Adelholzener'],['Boissons'],"['France', 'Allemagne']",[],,,[],,0 g,en faible quantité,0 g,en faible quantité,3.5 g,en quantité modérée,0 g,en faible quantité,?,,15,-73%,63 kj(15 kcal),-74%,0,-100%,0,-100%,"3,5",-69%,"3,5",-63%,0,-100%,0,-100%,0,-100%,6,-22%,D,-22%,,,,,,,,,,,,,,,,,,
1190,Peches entières au sirop leger,26098241,,,,,,['France'],[],,,[],,,,,,,,,,?,,69,,289 kj(69 kcal),,"0,5",,"0,1",,15,,15,,"0,7",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1191,Palets citron,3472860405429,,,,,,['France'],[],,,[],,,,,,,,,,?,,491,,2054 kj(491 kcal),,"22,8",,"15,8",,"66,2",,"23,1",,"6,2",,"0,37",,"0,148",,,,,,,,,,,,,,,,,,,,,,,
1192,Yaourt - La Ferme Normande,3384075000132,,,,['La Ferme Normande'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de vache']",['France'],"['Lait entier du jour pasteurisé de Normandie', 'Sucre', 'Sirop de fructose-glucose base blé', 'Protéines de lait', 'Café soluble : 0,4%', 'Ferments Allergenes: lait peut contenir des fraces de soja ', 'lécithine', "" et d'amande""]",['E322i - Lécithine'],['Lait'],['Non végétalien'],4,2.7 g,en faible quantité,1.4 g,en faible quantité,17 g,en quantité élevée,0.11 g,en faible quantité,?,,110,+16%,460 kj(110 kcal),+16%,"2,7",-22%,"1,4",-36%,17,+52%,17,+63%,"4,4",+21%,"0,11",-4%,"0,044",-4%,3,+18%,C,+18%,,,,,,,,['en:lait-francais-french-milk'],"['FR 76.342.001 CE', 'Hattenville (Seine-Maritime, France)']",,,,,,,,,
1193,Omelette Norvégienne - Carrefour - 430g,3270190207757,B,430 g,,['Carrefour'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Omelettes Norvégiennes glacées']",['France'],"['Eau', 'sucre liquide ', 'sucre', 'eau', 'crème fraîche', 'génoise 6,6% [œuf', 'farine de blé', 'sucre', 'eau', 'sirop de sucre inverti', 'stabilisant : glycérol', ""émulsifiants : mono - et diglycérides d'acides gras "", 'contient soja', "" et esters polyglycériques d'acides gras "", 'contient soja', ']', 'sucre', 'lactose et protéines de lait', ""blanc d'œuf liquide"", 'sirop de glucose déshydraté', 'sirop de glucose-fructose', 'sirop de sucre inverti', ""blanc d'œuf en poudre"", 'arôme naturel de vanille 0,2%', 'épaississants : farine de graines de caroube - gomme guar - gomme xanthane', ""émulsifiant : mono - et diglycérides d'acides gras"", 'rhum 0,1%', 'protéines de pois hydrolysées', 'gousses de vanille épuisées broyées', 'colorant : caroténoïdes', 'Peut contenir des traces de fruits à coque et de graines de sésame']","['E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E475 - Esters polyglycériques d'acides gras"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E160 - Caroténoïdes']","['Œufs', 'Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,6.6 g,en quantité modérée,4 g,en quantité modérée,29 g,en quantité élevée,0.15 g,en faible quantité,845,+4%,201,-0%,845 kj(201 kcal),-2%,"6,6",+15%,4,+11%,32,-5%,29,+1%,"2,8",-20%,"0,15",+4%,"0,06",+4%,11,+4%,D,+4%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"['Nutriscore', 'Nutriscore D']","['EMB 32056', 'Blanquefort (Gers, France)']",,,['Carrefour'],,,,Fabriqué en France par EMB 32056 pour Interdis.,"Crème glacée à la vanille (65,6%), meringue (22,2%) et génoise imbibée de sirop au rhum (12,2%). Dessert surgelé.",
1194,Saer-brau - Carrefour - 33cl,3560071007065,C,33 cl,,['Carrefour'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Boissons sans alcool', 'Bières sans alcool']",['France'],"['Eau', ""malt d''"", 'sirop de glucose', 'arôme naturel', 'extrait de houblon', 'acidifiant: acide citrique']",['E330 - Acide citrique'],,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,103,-16%,24,-17%,103 kj(24 kcal),-14%,?,,,,"5,8",-10%,"3,1",-21%,"0,5",+94%,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Sans alcool', 'Sans']",,,,['Carrefour'],,,,Fabriqué par / H.West BV NL - 3600 BP Maarssen pour Interdis.,Bière aromatisée sans alcool.,
1195,KrümelKandis - Südzucker - 500g,4006544476109,,500g,['Aluminium'],"['Südzucker', 'Südzucker']",,"['France', 'Allemagne', 'Suisse']",[],,,[],,,,,,,,,,?,,400,,1674 kj(400 kcal),,0,,0,,100,,100,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1196,SMOKVA STRUDLE,9006889001184,,,,,,['France'],[],,,[],,,,,,,,,,?,,390,,1632 kj(390 kcal),,"12,5",,"6,5",,"75,1",,"45,7",,"3,29",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,
1197,Chili Con Carne - Little Lunch - 350ml,4280000878502,E,350 ml,['Glas'],['Little Lunch'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Chili con carne']","['France', 'Allemagne', 'Suisse']","['74% Gemüse in veränderlichen Gewichtsanteilen ', 'Tomaten Kidneybohnen', 'Gemüsepaprika', 'Zwiebeln', 'Mais', 'Karotten', 'Tomatenpüree', 'Sellerie', '17% Rindfleisch', '4% Kartoffeln', 'natives Olivenöl extra', 'Gewürze ', 'Knoblauch', 'Chili', 'Koriandersamen', 'Kreuzkümmel', 'Paprika', 'Zimt', 'Apfelsaftkonzentrat', 'Meersalz', 'Kräuter ', 'Petersilie', 'Lorbeer', 'Liebstöckelblätter', 'geräuchertes Meersalz', 'Zitronensaftkonzentrat']",,['Céleri'],"['Non végétalien', 'Non végétarien']",3,4.4 g,en quantité modérée,1.5 g,en quantité modérée,3.8 g,en faible quantité,1.2 g,en quantité modérée,457,-1%,107,-9%,457 kj(107 kcal),-9%,"4,4",+30%,"1,5",+34%,"9,5",-22%,"3,8",+80%,"5,7",-16%,"1,2",+50%,"0,48",+50%,2,,B,,94.4%,3.1%,0.8%,0.9%,0.5%,0.3%,14,['Bio'],,,['Italien'],,,,,,,
1198,Edeka Bio Zitronello - 200ml,4311501399149,,200ml,"['stück', 'stück', 'stück', 'stück']","['Edeka Bio', 'Edeka']",,"['France', 'Allemagne', 'Suisse']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
1199,Champignons emincés - Auchan - 1kg,3596710462674,B,1 kg,"['Sachet', 'Plastique', 'Surgelé']",['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Champignons et produits dérivés', 'Champignons', 'Champignons surgelés', 'Champignons de Paris surgelés']",['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,?,,30,+43%,126 kj(30 kcal),+50%,"0,5",+22%,"0,1",+7%,"2,9",+157%,"0,5",+71%,"2,8",+46%,"0,01",-85%,"0,004",-85%,-6,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,"['Nutriscore', 'Nutriscore A']",,,,['Auchan'],,,,,,
1200,"Zwiebelschmalz, Kräftig",29008292,,,,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,840,,3515 kj(840 kcal),,91,,36,,"1,7",,"1,5",,"3,6",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,
1201,Gewürzsalz - Lemar - 50g,29065820,B,50g,['Glass'],['Lemar'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres']","['France', 'Allemagne']","['Pfeffer schwarz', 'Pfeffer weiß', 'Pfeffer grün', 'Rosa Beeren ', 'Schinus terebinthifolius']",,,[],1,,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,['Point Vert'],,,,,,,,,,
1202,Cuja Mara Split - Langnese,4056100010698,B,,['Karton'],['Langnese'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés']","['France', 'Allemagne']","['Orangensaft aus Orangensaftkonzentrat ', '23%', 'entrahmte MILCH', 'Passionsfruchtsaft aus Passionsfruchtsaftkonzentrat ', '12%', 'Zucker', 'Wasser', 'MOLKENERZEUGNIS', 'Kokosfett', 'Glukosesirup', 'Fruktosesirup', 'Glukose-Fruktose-Sirup', 'Stabilisatoren ', 'Johannisbrotkernmehl', 'Guarkernmehl', 'Carrageen', 'Emulgator ', 'Mono - und Diglyceride von Speisefettsäuren', 'Farbstoff ', 'Carotin', 'Aroma', 'Säureregulator ', 'Citronensäure']","['E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160a - Carotènes mélangés', 'E330 - Acide citrique']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,4.6 g,en quantité modérée,4.1 g,en quantité modérée,22 g,en quantité élevée,,,?,,145,-48%,607 kj(145 kcal),-48%,"4,6",-72%,"4,1",-63%,24,-18%,22,-14%,"1,6",-45%,,,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,
1203,Kichererbsen - Campo Verde - 230g,4045178003855,A,230g,['Glas'],['Campo Verde'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']","['France', 'Allemagne']",[],,,"['Végétalien', 'Végétarien']",,1.7 g,en faible quantité,0.2 g,en faible quantité,3 g,en faible quantité,0.3 g,en quantité modérée,?,,101,-47%,423 kj(101 kcal),-46%,"1,7",-44%,"0,2",-49%,"14,1",-40%,3,+83%,"5,7",-44%,"0,3",-37%,"0,12",-37%,-1,,A,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,"['Bio', 'Végétarien', 'Végétalien', 'Bio-dynamie', 'Demeter', 'en:EG-Öko-Verordnung']",,,,['Alnatura'],,,,,,
1204,Biere,5411616001186,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,Zartblatt Haferflocken Vollkorn - Spielberger Mühle - 750g,4022381002158,B,750g,,['Spielberger Mühle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons extrudés', 'Flocons laminés', ""Flocons d'avoine""]","['France', 'Allemagne']",[],,,[],,7 g,en quantité modérée,1.3 g,en faible quantité,1.1 g,en faible quantité,,,?,,348,-6%,1456 kj(348 kcal),-6%,7,-1%,"1,3",+4%,"58,7",-1%,"1,1",-33%,"13,5",+10%,,,,,,,,,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,,,,,,,,,
1206,12 Oeufs Plein air - Flandr Oeufs,3413310122008,D,12,['boîte'],['Flandr Oeufs'],"[""Produits d'élevages"", 'Œufs']",['France'],['œufs de poules élevées en plein air'],,['Œufs'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,"['Nutriscore', 'Nutriscore A']","['FR 59.663.113 CE', 'Wormhout (Nord, France)']",,,,,,,,,
1207,Gnocchi aux 3 légumes -,3263856753910,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi']",['France'],"['Gnocchi 33,9% ', 'semoule de blé dur - pomme de terre - eau sel', ' jaune 6,8% - crème fraîche épaisse 4,8% - oignon gorgonzola 3,8% cheddar ', 'lait pasteurisé - antiagglomérant amidon de pomme de terre - sel - ferments lactiques - coagulant', "" - poudre de lait écrémé - purée d'ail - amidon transformé de riz - huile d'olive vierge extra basilic - sel - poivre noir moulu - muscade"", ' Les informations en gras sont destinées aux personnes allergiques ou intolérantes', ' - épinard 9% - brocoli cuit 9% - carotte eau huile de tournesol - onaration']",['E14XX - Amidons modifiés'],['Lait'],['Non végétalien'],4,5.4 g,en quantité modérée,2.5 g,en quantité modérée,4.7 g,en faible quantité,0.54 g,en quantité modérée,?,,136,-22%,569 kj(136 kcal),-22%,"5,4",+183%,"2,5",+352%,16,-52%,"4,7",+256%,"4,6",-0%,"0,54",-54%,"0,216",-54%,4,+2%,C,+2%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,,,,,,,,,,,
1208,Les fines et fondantes serrano - Aoste - 0.15kg,3449865275463,,0.15 kg,,"['Aoste', 'Fines & Fondantes']",,['France'],"['Jambon de porc origine Espagne', 'sel de mer', 'Présence possible de fruits à coques et de lait']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,,931,,222,,931 kj(222 kcal),,"10,1",,4,,"1,1",,"0,8",,"31,8",,"4,8",,"1,92",,,,,,,,,,,,,"['Sans conservateurs', 'STG']",,,,,,,,,"Jamon Serrano ETG, jambon cru traditionnel d'Espagne",
1209,Saumon fumé à l'ancienne de Norvege - Carrefour,3560071190903,D,,,['Carrefour'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",['France'],[],,,[],,17 g,en quantité modérée,2.5 g,en quantité modérée,0 g,en faible quantité,2.2 g,en quantité élevée,?,,241,+26%,1008 kj(241 kcal),+27%,17,+53%,"2,5",+16%,0,-100%,0,-100%,23,+4%,"2,2",-24%,"0,88",-24%,14,+4%,D,+4%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,['Norvège'],,['Carrefour'],,,,,,
1210,Crème glacée au café,3760234440382,,,,,,['France'],[],,,[],,,,,,,,,,?,,185,,774 kj(185 kcal),,"8,4",,"6,1",,25,,21,,"1,9",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,
1211,Croustillant de blé pané - U - 400g,3256227111440,,400 g,['Surgelés'],"['U', 'U Bon & Végétarien']","['Surgelés', 'Plats préparés', 'Plats préparés surgelés']",['France'],"['Préparation à base de protéines végétales 70% : eau', 'protéines de BLÉ texturées déshydratées 17% ', 'protéines de BLE', 'farine de BLE', 'huile de colza', 'fibres de BLÉ 3% ', 'fibres de BLE 2% et de psyllium', 'fécule de manioc', ""blanc d'OEUF en poudre"", 'arôme naturel', ' Enrobage 30% : chapelure ', 'farine de BLE 17%', 'levure ', 'sel', 'enrobant ', 'eau', 'farine de BLE 3%', 'huiles végétales ', 'tournesol', 'colza', ' [ % exprimés sur la totalité du produit] produit Fabriqué dans un atelier qui utilise du poisson', 'soja', 'céleri et lait']",,"['Céleri', 'Œufs', 'Poisson', 'Gluten', 'Lait', 'Soja']",['Non végétalien'],4,13 g,en quantité modérée,1.3 g,en faible quantité,0.5 g,en faible quantité,0.48 g,en quantité modérée,1116,+83%,267,+79%,1116 kj(267 kcal),+78%,13,+85%,"1,3",-50%,20,+53%,"0,5",-76%,16,+137%,"0,48",-37%,"0,192",-37%,-3,-224%,A,-224%,,,,,,,,"['Sans arômes artificiels', 'Transformé en France']",,,,['Magasins U'],,,,,,
1212,Vitalis multikorn musli - Dr. Oetker - 400g,4000521021979,,400 g,,['Dr. Oetker'],,['France'],[],,,[],,,,,,,,,,?,,394,,1648 kj(394 kcal),,"8,8",,"1,1",,62,,17,,10,,"0,2",,"0,08",,,,,,,,,,,,,,,,['Deutschland'],,,,,,,
1213,Pêche du Roussillon - Auchan - 1L,3596710469741,D,1 L,,['Auchan'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Boissons sans alcool', 'Nectars de pêche']",['France'],"['Puree de pêche ', '50%', 'eau', 'sucre', 'acidifiant: jus de citron à base de concentré', 'antioxydant acide ascorbique']",['E300 - Acide ascorbique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.1 g,en faible quantité,12 g,en quantité élevée,0.01 g,en faible quantité,?,,62,+22%,259 kj(62 kcal),+20%,"0,5",+233%,"0,1",+258%,14,+15%,12,+5%,"0,5",+31%,"0,01",+43%,"0,004",+43%,15,+1%,E,+1%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,"['29209 D', 'EMB 29209D', 'Plouvien (Finistère, France)']",,,['Auchan'],,,,,,
1214,Houmous du Soleil,3760226461234,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",['France'],[],,,[],,23 g,en quantité élevée,8 g,en quantité élevée,1.2 g,en faible quantité,1.1 g,en quantité modérée,?,,280,+6%,1172 kj(280 kcal),+7%,23,+14%,8,+225%,11,+4%,"1,2",-10%,"6,4",-1%,"1,1",+6%,"0,44",+6%,14,+181%,D,+181%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,,,
1215,Smoky BBQ Sauce - Callowfit - 300ml,4260523111010,,300 ml,,['Callowfit'],['de:bbq-soße'],['France'],[],,,[],,0.5 g,en faible quantité,0 g,en faible quantité,0.9 g,en faible quantité,2.4 g,en quantité élevée,?,,37,,155 kj(37 kcal),,"0,5",,0,,"7,8",,"0,9",,"0,6",,"2,4",,"0,96",,10,,C,,,,,,,,,['Sans sucre ajouté'],,,,,,,,,,
