,name,bar_code,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_sugars_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,generic_name,nova_score,additives,brand_owner,origin_detail,producer_info,palm_ingredients
24,Chabichou Poitou - Valcrest - 1pièce,3350033409408,1 pièce,,"['Valcrest', 'Eurial']",['France'],,,,['Monoprix'],['France'],"['Lait de chèvre pasteurisé', 'ferments ', 'dont lactose', 'présure']",,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,?,,?,,?,?,,,,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages de chèvre', 'Fromages à pâte molle à croûte naturelle', 'Chabichous du Poitou']",,,,,,,,,,,,,,,,,,,,,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,['AOP'],,4,,,,,
25,Terrine campagnarde,3376780000941,,,,,,,,,['France'],[],,[],?,343,1435 kj(343 kcal),"29,71","11,74","3,7","15,3","2,07","0,828","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Coconut crispbread - Le Pain des Fleurs,3380380074196,,,['Le Pain des Fleurs'],,,,,,['France'],[],,"['Végétalien', 'Végétarien']",?,449,1879 kj(449 kcal),"12,9","11,9",74,"7,7","0,02","0,008","4,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,
27,PHARMAVIE CRANBERRY,3401570371472,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Super flakes,3421557661297,,,,,,,,,['France'],[],,[],?,376,1573 kj(376 kcal),2,"0,3",78,9,"0,89","0,356","8,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
29,Raisins Sultanines,3449714802024,,,,,,,,,['France'],[],,[],?,303,1268 kj(303 kcal),"0,578","0,202","66,4","2,99","0,049","0,02","59,2",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs', 'Raisins secs Sultanines']",0.578 g,en faible quantité,0.202 g,en faible quantité,59.2 g,en quantité élevée,0.049 g,en faible quantité,,-2%,-2%,+5%,+53%,-7%,-6%,+7%,-15%,-15%,7,+35%,C,+35%,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,,,,,,,
30,"Assortiment de charcuteries cuite Aoste (Jambon cuit supérieur 3Tr, Rôti de porc cuit 3 Tr, Filet de poulet cuit sup. 3Tr) - 320g",3449840403669,320 g,['conditionné sous atmosphère protectrice'],['Aoste'],,['France'],"['EMB 38012', 'Aoste (Isère, France)', 'FR 38.012.001 CE', 'Aoste (Isère, France)']",http://www.aoste.fr,"['supermarché', 'hypermarché']",['France'],"['Jambon cuit supérieur découenné dégraissé : jambon de porc origine France', 'sel', 'bouillons ', 'eau', 'os et viande de porc', 'épices et plantes aromatiques', 'sirop de glucose', 'conservateurs: érythorbate de sodium et nitrite de sodium', ' Blanc de poulet cuit supérieur: filet de poulet ', '96%', ' origine UE ou hors UE', 'sel', 'dextrose', 'épices', 'arômes', 'acidifiant: citrates de sodium', 'stabilisant: carraghénanes', 'antioxydant: ascorbate de sodium', 'conservateur: nitrite de sodium', ' Rôti de porc cuit bruni traité en salaison qualité supérieure: filet de porc origine France ', '92%', 'eau', 'sel', 'dextrose', 'arômes', 'épice', 'conservateurs érythorbate de sodium et nitrite de sodium', 'colorant de surface: caramel ordinaire', ' Présence possible de gluten', 'oeuf', 'lait', 'moutarde']","['Œufs', 'Lait', 'Moutarde']","['Non végétalien', 'Non végétarien']",?,118,494 kj(118 kcal),"3,2","1,2","1,2",21,"2,1","0,84","1,1",D,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",3.2 g,en quantité modérée,1.2 g,en faible quantité,1.1 g,en faible quantité,2.1 g,en quantité élevée,,-11%,-10%,-33%,-35%,+79%,+85%,-0%,+12%,+12%,11,+56%,D,+56%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,"Jambon cuit supérieur découenné dégraissé, blanc de poulet cuit supérieur, rôti de porc cuit bruni traité salaison qualité supérieure",4,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E150a - Caramel E150a']",,,,
31,Beignets aux Pommes -,3456580910463,,,,['9 rue Louis Rochet 14700 Falaise'],,,,,['France'],[],,['Sans huile de palme'],?,287,1201 kj(287 kcal),"9,8","1,44","42,6","6,2","0,7","0,28","11,2",,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",9.8 g,en quantité modérée,1.44 g,en faible quantité,11.2 g,en quantité modérée,0.7 g,en quantité modérée,,-19%,-19%,-38%,-59%,-6%,-31%,-2%,-5%,-5%,6,-50%,C,-50%,,,,,,,,['en:palm-oil-free'],Beignets fourré à la purée de pomme,,,,,,
32,Fritons de Canard,3462648000328,,,,,,,,,['France'],[],,[],?,392,1640 kj(392 kcal),"37,8","12,7","1,7","11,3","1,83","0,732","0,1",,"['Friton de canard', 'Fritons de canard']",37.8 g,en quantité élevée,12.7 g,en quantité élevée,0.1 g,en faible quantité,1.83 g,en quantité élevée,,,,,,,,,,,22,,E,,,,,,,,,,,,,,,,
33,Palets tout chocolat - La Mère Poulard,3472860406136,,,['La Mère Poulard'],,,,,,['France'],[],,[],?,490,2050 kj(490 kcal),"23,6","15,5","59,3","7,3","0,18","0,072","27,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,En juice - Sacla,8001060026346,,,['Sacla'],,,,,,['France'],[],,[],?,49,205 kj(49 kcal),"0,01","0,01",12,"0,01","0,01","0,004",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Poulet basquaise au piment d'Espelette,3482970001237,,,,,,,,,['France'],[],,[],?,125,523 kj(125 kcal),"7,2","1,7","4,4","10,3","0,26","0,104","2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants']",,,,,,,
36,Confiture - Place des Tartines,3760010231081,,,"['Place des Tartines', 'Les Confituriers du Vieux Chérier']",,,,,,['France'],"['Sucre', 'puré peche de vigne 28% ', 'pu de pêche de vigne 90% sucre 10%', 'antioxydant: acide ascorbique', 'purée de framboise 20%', 'purée de groseille 15%', 'gėlifiants ', 'pectine et citrate de calcium']",,[],?,189,791 kj(189 kcal),0,0,44,"0,7","0,03","0,012",44,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits']",0 g,en faible quantité,0 g,en faible quantité,44 g,en quantité élevée,0.03 g,en faible quantité,,-13%,-13%,-100%,-100%,-16%,-13%,+28%,+24%,+24%,9,-6%,C,-6%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,4,"['E300 - Acide ascorbique', 'E440 - Pectines']",,,,
