,name,bar_code,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_sugars_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,generic_name,nova_score,additives,brand_owner,origin_detail,producer_info,palm_ingredients
1037,"Le poulet nourri aux graines de lin - Maître Coq - 0,402kg",0215703043104,"0,402 kg",,['Maître Coq'],,,,,,['France'],[],,[],?,112,469 kj(112 kcal),"1,8","0,2",0,24,"0,14","0,056",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,aiguillettes de poulet marinées tomate origan - maître coq - 0.253kg,0215711024867,0.253kg,['sous vide'],['maître coq'],['France'],['saint fulgent'],['MC001'],,['e Leclerc'],['France'],"['Ing ', '10096 simples Aiguillettes de poulet 92%', 'eau', 'sel', ""pou omate poudres d'ail et d'oignon"", 'plantes aromatiques ', 'dont origan', ' extrait dévice', ""extrait d'origary arôme naturel"", ' eut con traces de gluten tf', 'soja', 'lait', 'céleri', 'moutarde', ' Consere 0C 4']",,['Non végétalien'],?,?,,?,,?,?,,,,C,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Aiguillettes de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Viande-francaise', 'Volaille-francaise']",,3,,,,,
1039,Poulet bio - Maître coq - Kg,0215975078910,Kg,,['Maître coq'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1040,Poulet fermier de Loué - 2k,0217008060688,2k,['Barquette'],['Loué'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Label Rouge'],,,,,,,
1041,Poulet Loué - 1kg,0217013087700,1 kg,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Gourmande au chèvre,0217070025585,,,,,,,,,['France'],[],,[],?,306,1280 kj(306 kcal),13,"7,5",32,14,"1,2","0,48","1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Escalope de Dinde Milanaise - Le Gaulois,0217217024730,,,['Le Gaulois'],,,,,,['France'],[],,[],?,121,506 kj(121 kcal),"0,8",0,"5,8","22,4","0,7","0,28","1,9",D,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise']",0.8 g,en faible quantité,0 g,en faible quantité,1.9 g,en faible quantité,0.7 g,en quantité modérée,,-8%,-8%,-49%,-100%,-15%,+3%,+5%,-22%,-22%,-1,-246%,A,-246%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,
1044,canard,0217250100033,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,Escalope de dinde - Les Fermiers de Loué - 205g,0217291020147,205 g,,['Les Fermiers de Loué'],,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,['France'],[],,[],?,?,,?,,?,?,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['Label Rouge'],,,,,,,
1046,0217291029195,0217291029195,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,0217436051364,0217436051364,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,brochettes poulet - Le Gaulois - 8,0217515039696,8,,['Le Gaulois'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Volailles', 'Brochettes', 'Poulets', 'Brochettes de viande', 'Plats à la volaille', 'Préparations au poulet', 'Brochettes de volailles', 'Brochettes de poulet']",,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,
1049,Escalope - Le gaulois - 264.002g,0217642009715,264.002 g,,['Le gaulois'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,le gaulois,0217650022379,,,['le gaulois'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande-francaise', 'Volaille-francaise']",,,,,,,
1051,Magret canard - Le gaulois - X3,0217713101218,X3,,['Le gaulois'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,
1052,Escalope - Les fermier de loue - 2,0217714023359,2,,['Les fermier de loue'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Label Rouge'],,,,,,,
1053,0217714028279,0217714028279,,,,,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['IGP', 'Label Rouge']",,,,,,,
1054,Le Gaulois,0217827015289,,,['Le Gaulois'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,filet poulet - Le gaulois - 5,0217885079377,5,,['Le gaulois'],,,"['FR 71.056.001 CE', 'Branges (Saône-et-Loire, France)']",,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,0218571043887,0218571043887,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Comte reflet de France - 219g,0219747023221,219 g,,['Reflet de France'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,
1058,Carrefour,0219967025784,,,['Carrefour'],,,,,['Carrefour'],['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,"Filets de poulet - 0,396kg",0219968031036,"0,396 kg",,,,,"['FR 89.069.001 CE', 'Chailley (Yonne, France)']",,,['France'],[],,[],?,?,,?,,?,?,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Point Vert'],,,,,,,
1060,tartines crasuantes à la châtaigne - la vie claire - 150gr,02116705,150 gr,['format familial'],['la vie claire'],['Agriculture biologique'],,,la vie claire,['La Vie Claire'],['France'],"['farine de riz demi complet', 'farine de châtaigne 20%', 'sel marin']",,[],?,333,1393 kj(333 kcal),"1,3","0,3","74,3","5,3","0,3","0,12","5,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Sans sucre ajouté']",,,,,,,
1061,0220015007546,0220015007546,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,0220020015307,0220020015307,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,0220359013975,0220359013975,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Saumon fumé,0224320159860,,,,,,,,,['France'],[],,[],?,294,1230 kj(294 kcal),"23,86",4,"0,1","19,94","1,85","0,74",0,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",23.9 g,en quantité élevée,4 g,en quantité modérée,0 g,en faible quantité,1.85 g,en quantité élevée,,+59%,+59%,+127%,+94%,-80%,-100%,-10%,-34%,-34%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,
1065,Biscuit sables carré - La vie claire - 100g,0225896000006,100g,,['La vie claire'],,,,,['La Vie Claire'],['France'],[],,[],?,?,,?,,?,?,,,,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",,,,,,,,,,,,,,,,,,,,,,,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
1066,02200071,02200071,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,gelée groseilles - Élodie - 370g,02238730,370g,['pots en verre'],['Élodie'],,,,,,['France'],[],,[],?,247,1033 kj(247 kcal),"0,5","0,5","61,7","0,5","0,01","0,004","57,7",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de groseilles']",0.5 g,en faible quantité,0.5 g,en faible quantité,57.7 g,en quantité élevée,0.01 g,en faible quantité,,+0%,+0%,+98%,+639%,+2%,+1%,+17%,-15%,-15%,13,+10%,D,+10%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,
1068,02251927,02251927,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,"Noix de coco - Le plaisir du frais - 0,295kg",0231066026707,"0,295kg",,['Le plaisir du frais'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Steak de viande chevaline,0235118031350,,,,,,,,,['France'],[],,[],?,147,615 kj(147 kcal),6,"2,25","1,6","22,2","0,09","0,036","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Pain au chocolat beurre x4,0236020012468,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,,,,,,,,,,,,,,,,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,
1072,Roulé Ail et fines herbes,0236031010361,,,,,,,,,['France'],[],,[],?,301,1259 kj(301 kcal),28,0,5,"7,3","1,2","0,48",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,0236746023359,0236746023359,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,
1074,Mousse de canard,0237280013912,,,,,,,,,['France'],[],,[],?,368,1540 kj(368 kcal),34,13,"5,5",11,"1,6","0,64","1,7",D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de canard']",34 g,en quantité élevée,13 g,en quantité élevée,1.7 g,en faible quantité,1.6 g,en quantité élevée,,-8%,-8%,-12%,-8%,+73%,-12%,+19%,+9%,+9%,21,+3%,E,+3%,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,,,,,,,,
1075,Brandade de morue - E.Leclerc - 1kg,0239064074256,1kg,,['E.Leclerc'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,E,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue', 'Brandades de morue parmentière', 'en:preparations-made-from-fish-meat']",,,,,,,,,,,,,,,,,,,,,,,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,,,,,,,
1076,Jambon cuit supérieur Porc bourguignon - 4 tranches,0239351033706,,,,,,,,,['France'],[],,[],?,226,946 kj(226 kcal),"17,1","5,9","0,9",16,"1,3","0,52","0,4",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",17.1 g,en quantité modérée,5.9 g,en quantité élevée,0.4 g,en faible quantité,1.3 g,en quantité modérée,,+71%,+73%,+256%,+221%,+35%,-33%,-24%,-30%,-30%,12,+70%,D,+70%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['Qualité supérieure'],,,,,,,
1077,Torsade choco x6 - E.Leclerc - 6,0240229016400,6,,['E.Leclerc'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,0240609055821,0240609055821,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,bleu de brebis - 0.253kg,0241700024860,0.253kg,,,,,"['FR 26.362.001 CE', 'Valence (Drôme, France)']",,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Charal,0242742050442,,,['Charal'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Comté lait cru nrt,0243168026899,,,,,,,,,['France'],[],,[],?,418,1749 kj(418 kcal),35,23,0,27,"0,82","0,328",0,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.82 g,en quantité modérée,,+5%,+6%,+7%,+6%,-100%,-100%,+7%,-16%,-16%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,
1082,Côté Nature Cuite choix tr,0247973018049,,,,,,,,,['France'],[],,[],?,176,736 kj(176 kcal),11,"4,5","0,6",19,"2,2","0,88","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,0248021043884,0248021043884,,,,,,,,,['France'],"['SALAISONS STEMMIELE ZAC DE ROSARGE LES ECHETS 01706 MIRIBEL CEDEX SAUCISSE FUMEE CUITE 0', '800 KG SAUCISSE FUMEE CUITE -- Ingrédients : viande de porc 87% ', 'origine UE', 'viande de volaille 2', '5% ', 'origine UE', 'sel', 'stabilisants : E450', 'E452 sirop de glucose et dextrose', 'protéines de LAIT', 'poivre blanc en poudre', 'carvi noir', 'protéines de SO3A', 'épices', 'acidifiant E575', 'coriandre', ' proteines de sang de parc', 'colorant E120', 'antioxydant E316', 'exhausteur de gout E621', 'conservater E250', ' Boyau naturel de porc', "" Traces éventuelles d' oeufs et frui à coque"", ' R conserver entre 0°C et 4°C', ' A consommer rapidement après ouverture A consommer jusqu a 4 Lot 0087 158414 Valeurs énergétiques et nutritionnelles our 100g Prix/kg']",['Lait'],"['Non végétalien', 'Non végétarien']",?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E575 - Glucono-delta-lactone', 'E120 - Acide carminique', 'E316 - Érythorbate de sodium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,,,
1084,Charal,0249890080628,,,['Charal'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Kacang Bali Karunia de Wata - Rada Pedas Manis - 150grammes,024436,150 grammes,,['Rada Pedas Manis'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,02484365,02484365,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,0253028023296,0253028023296,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,
1088,"poulet - u - 0,851",0253072060025,"0,851",['Barquette'],['U'],,,,,,['France'],['100%'],,[],440,?,440 kj(105 kcal),"1,3","0,4",0,23,"0,11","0,044",0,,['Viandes'],1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,-50%,,-53%,-91%,-93%,-100%,-100%,+20%,-94%,-94%,-4,-135%,A,-135%,,,,,,,,['Bleu Blanc Cœur'],,1,,,,,
1089,Jambon à l'ancienne - Tallec,0255382022632,,,['Tallec'],,,"['EMB 29004', 'Bannalec (Finistère, France)']",,,['France'],[],,[],?,161,674 kj(161 kcal),"7,9","2,9","0,5",22,3,"1,2","0,5",,"['Viandes', 'Charcuteries', 'Jambons']",7.9 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,,-5%,-4%,+3%,-0%,-24%,-6%,-6%,+4%,+4%,14,+32%,D,+32%,,,,,,,,,,,,,,,
1090,Mousse fraise - Leclerc - 1,0256749020339,1,['Barquette'],['Leclerc'],,['France'],,,,['France'],"['Fraises ', '18%', '-Biscuit daquoise COCO: sucre', 'blancs OEUFS', 'poudre AMANDES 14%', 'NOIX DE COCO 8% ', 'conservateur: anhydride sulfureux ', 'E 220', 'améliorant ', 'eau,emulsifiants: E422', 'vinaigre alcool', ' Garniture:CREME', 'stabilisants: E407', ' puree fraise ', 'fraise 90%', 'sucre 10 %', ' garnifruit fraise: fraise 60%,eau', 'amidon modifie', 'arome', 'colorant vegetal rouge ', 'extrait sureau', 'acidifiant: E330-E332', 'conservateur: E202,colorant:E124', ' nappage fraise: sirop glucose-fructose,puree fruits,gelifiants: E440-E401,acidifiant:E330', 'arome fraise,conservateur:E202', 'colorant:E124', 'puree ananas ', 'ananas90%', 'sucre10%', 'OVANEIGE sucre,maltodextrine,blancs OEUFS poudre,amidon m odifie', 'epaississants:E460-E466', 'glacage miroir:sirop glucose', 'stabilisant:E 422,gelifiant:E 440,acidifiant:E330', 'NOIX DE Coco rapee', ' jelfix:saccharose,sirop glucose-fructose,gelifiant:E 440', 'correcteur acidite:E 330-E332,arome', 'gelatine', 'origine animale', '- Décor: plaquette chocolat ', 'S0JA', ':chocolat noir,relief chocolat blanc,Nappage blond:eau,sucre,sirop de glucose,fructose', 'gelifiants ', 'E440-E407', ',acidifiant E330-A conserver entre 0 et +4 C-PRODUIT DECONGELE', 'NE PAS RECONGELER']","['Œufs', 'Lait', 'Fruits à coque']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,?,,,,,['Desserts'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ne pas recongeler'],,4,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E422 - Glycérol', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E332 - Citrates de potassium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E124 - Ponceau 4R', 'E440 - Pectines', 'E401 - Alginate de sodium', 'E460 - Cellulose', 'E466 - Carboxyméthylcellulose']",,,,
1091,Saucisson sec des combrailles,0257165029197,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,,,,,,,,,,,,,,,,,,,,,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,
1092,0257166037788,0257166037788,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,pago ace - 75cl,02502214,75 cl,['Bouteille'],['Pago'],,,,,,['France'],[],,[],?,40,167 kj(40 kcal),5,1,"9,2","0,5",0,0,"9,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Riz long grain - Comptoir du Grain,02539737,,,['Comptoir du Grain'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain']",,,,,,,,,,,,,,,,,,,,,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,
1095,02563011,02563011,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,0260000004594,0260000004594,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,0260033010500,0260033010500,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,baguette,0260036005848,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",,,,,,,,,,,,,,,,,,,,,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,,,
1099,"pain boulot - lntermarche - 0,500g",0260049007228,"0,500g",,['Lntermarche'],,,,,,['France'],"['farine de blé,eau sel levure gluten de blé farine de blé malte', 'levure désactivée anti-oxydant E300']",['Gluten'],[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Pain pave 600G Campaniere,0260083013919,,,,,,,,,['France'],[],,[],?,248,1038 kj(248 kcal),"1,1","0,3","48,8","9,3","1,36","0,544","1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,0260102012794,0260102012794,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,0260163015024,0260163015024,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Donut - Milka,0260209016404,,,['Milka'],,,,,,['France'],[],,[],?,392,1640 kj(392 kcal),20,12,46,6,1,"0,4",13,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",20 g,en quantité modérée,12 g,en quantité élevée,13 g,en quantité élevée,1 g,en quantité modérée,,-4%,-4%,-12%,+13%,+3%,-23%,+1%,+5%,+5%,20,+3%,E,+3%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,
1104,"Tarte flan nature - 0,650kg",0260298022966,"0,650 kg",,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,B,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Flans gélifiés', 'Flans pâtissiers']",,,,,,,,,,,,,,,,,,,,,,,71.0%,14.6%,7.1%,3.5%,3.7%,0.0%,81,,,,,,,,
1105,pain - Intermarché - 200g,0260560005581,200g,,['Intermarché'],,,,,['Intermarché'],['France'],['farine de fromentfarine de seiglefarine de malte471e322seleaubeurre'],,[],?,?,,?,,?,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E322 - Lécithines'],,,,
1106,0260636019023,0260636019023,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,0260756027557,0260756027557,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,0262099038962,0262099038962,,,,,,"['FR 33.036.001 CE', 'Bazas (Gironde, France)']",,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Label Rouge'],,,,,,,
1109,"0,486kg",0263221031752,"0,486 kg",,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Entrecôte à griller bio - Carrefour bio - 1,0267591038649,1,,['Carrefour bio'],,,"['FR 56.057.003 CE', 'Faouët (Morbihan, France)']",,['Carrefour'],['France'],[],,[],?,?,,?,,?,?,,,,E,"['Viandes', 'Bœuf', 'Entrecôte de boeuf']",,,,,,,,,,,,,,,,,,,,,,,97.6%,0.4%,0.8%,0.7%,0.4%,0.3%,3,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,
1111,0269055037397,0269055037397,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Casino,02642895,,,['Casino'],,,"['EMB 29247', 'Saint-Évarzec (Finistère, France)']",,['Casino'],['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,d auvergne - Carrefour - 1.5l,0272120713508,1.5l,['bouteille plastique'],['Carrefour'],,,,,['Carrefour'],['France'],['eau de source grand barbier'],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,0272408008203,0272408008203,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,Gouda Hollandais - Carrefour,0275560012002,,,['Carrefour'],,,"['EMB 13105F', 'Sénas (Bouches-du-Rhône, France)']",,['Carrefour'],['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
