,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,packaging,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,brand_owner,nova_score,generic_name,link,additives,allergens,ingredients_origins,manufacturing,origin_detail
25,Vsop,3047100228108,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Pâte à tartiner,5412778000314,,,,['France'],[],[],,,,,,,,,?,,459,,1920 kj(459 kcal),,"22,4",,"17,6",,61,,61,,"2,5",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,
27,Saucisse de foie,3346380001020,,,,['France'],[],[],,,,,,,,,?,,447,,1870 kj(447 kcal),,"35,6",,"14,5",,"3,1",,"1,9",,"29,8",,"5,27",,"2,108",,,,,,,,,,,,,,,,,,,,,,,,,,
28,ABONDANCE AOP-FRUITIER,2488012026306,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Abondance']",,['France'],[],[],30 g,en quantité élevée,20 g,en quantité élevée,0.2 g,en faible quantité,1.5 g,en quantité modérée,?,,405,+1%,1695 kj(405 kcal),+1%,30,-9%,20,-7%,"0,5",-22%,"0,2",-29%,24,-4%,"1,5",-5%,"0,6",-5%,16,+1%,D,+1%,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
29,Cuisses de poulets rôti - Le Gaulois,0217637037198,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,
30,Crackers,3564700042564,,,,['France'],[],[],,,,,,,,,?,,467,,1954 kj(467 kcal),,20,,"3,3",,64,,64,,"6,6",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,
31,Biere IPA bio de montagne,3701178800061,,,['Bio'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Violettes,3700345971559,,,['Bio'],['France'],[],[],,,,,,,,,?,,389,,1628 kj(389 kcal),,"0,3",,"0,3",,96,,69,,"0,3",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,
33,Biere blanche Bio de montagne,3701178800016,,,['Bio'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Jambon cuit supérieur,0211405023949,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Filet de poulet frais,5941876101147,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Halal'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,
36,Pomme Canada,2801634019424,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Tisane - Le soir au bivouac,3000172181009,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Rillettes Saint-Jacques/langoustines,3760281270444,,"['Produits de la mer', 'Produits à tartiner', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de Saint-Jacques']",,['France'],[],[],6.3 g,en quantité modérée,4 g,en quantité modérée,1.1 g,en faible quantité,1.2 g,en quantité modérée,?,,125,-25%,523 kj(125 kcal),-25%,"6,3",-43%,4,-38%,"2,1",-42%,"1,1",-12%,15,+19%,"1,2",+13%,"0,48",+13%,4,-58%,C,-58%,,,,,,,,,,,,,,,,,,,,,
39,Miel de ronce et chataigne,3770008250253,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miel de chataigne']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
40,Kouigh-amann,,,,,['France'],[],[],,,,,,,,,?,,490,,2050 kj(490 kcal),,30,,21,,51,,27,,"3,4",,"0,88",,"0,352",,,,,,,,,,,,,,,,,,,,,,,,,,
41,Sauce Premium Tartare,3760042094135,,"['Epicerie', 'Sauces', 'Sauces tartare']",['Fabriqué en France'],['France'],[],[],35.7 g,en quantité élevée,3.62 g,en quantité modérée,2.5 g,en faible quantité,1.03 g,en quantité modérée,?,,1404,+168%,5874 kj(1404 kcal),+171%,"35,71",-34%,"3,62",-20%,"2,93",-38%,"2,5",-7%,"2,43",+108%,"1,031",-42%,"0,413",-42%,17,-3%,D,-3%,,,B,52.2%,31.5%,7.2%,5.2%,3.1%,0.8%,77,,,,,,,,,,,
42,Raisin au chocolat,3266055140468,,,,['France'],[],[],,,,,,,,,?,,427,,1787 kj(427 kcal),,18,,11,,61,,58,,"4,8",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,,
43,Reblochon,2489474023094,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
44,Poitrine fumée,2688199042773,,,,['France'],[],[],,,,,,,,,?,,323,,1351 kj(323 kcal),,"28,1",,"10,5",,"0,6",,"0,6",,"16,8",,"3,6",,"1,44",,,,,,,,,,,,,,,,,,,,,,,,,,
45,Saint nectaire,2444495037789,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-nectaire']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
46,Filets de poulet,0202837073602,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,
47,Bloc De Foie Gras De Canard - 75g,3332270000976,,,,['France'],[],[],,,,,,,,,?,,433,,1812 kj(433 kcal),,44,,20,,"1,9",,"0,5",,"6,1",,2,,"0,8",,,,,,,,,,,,,,,,75 g,,,,,,,,,,
48,Miel d'acacia et fleurs sauvages,3526050014028,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
49,Filets d'anchois marinés à l'ail - Delicemer,3760036822515,['Delicemer'],"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés""]",,['France'],[],[],14.8 g,en quantité modérée,4.89 g,en quantité modérée,0 g,en faible quantité,3.55 g,en quantité élevée,?,,203,0%,849 kj(203 kcal),-2%,"14,75",+18%,"4,89",+98%,0,-100%,0,-100%,"17,6",-15%,"3,55",-45%,"1,42",-45%,16,+29%,D,+29%,,,B,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,,,,,,,,,
50,Café Bio 100% Arabica - 1000g,8412956016653,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']","['Bio', 'Bio européen', 'ES-ECO-012-AS']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,1000 g,,,,,,,,,,
51,Morbier,0200281030172,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
52,Poire Williams au sirop,3443544451001,,,,['France'],[],[],,,,,,,,,?,,82.6,,346 kj(82 kcal),,"0,29",,0,,20,,"16,2",,"0,3",,"0,017",,"0,007",,,,,,,,,,,,,,,,,,,,,,,,,,
53,Coarse himalayan salt -,0873778006129,,"['Epicerie', 'Condiments']",,"['France', 'États-Unis']",['Himalayan salt'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,100,+1689%,40,+1689%,10,-1%,C,-1%,,,,,,,,,,,,,SUNDHED,3,,,,,,,
54,Clementine bio fanny,3605270000803,,,"['Bio', 'Bio européen', 'ES-ECO-003-AN']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Pierniki w czekoladzie - 200g,28035138,,,,['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,"5,9",,"1,8",,71,,40,,"6,2",,"0,46",,"0,184",,,,,,,,,,,,,,,,200 g,,,,,,,,,,
56,Café moulu Moka Éthiopie - 250g,3770000168013,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,
57,Onglet,2494593038447,,,"['Viande Française', 'Viande-bovine-francaise']",['France'],[],[],,,,,,,,,?,,641,,2682 kj(641 kcal),,"8,6",,"3,9",,0,,0,,19,,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,,
58,Bouillon Style Maison (légumes) - Knorr,0068400244875,['Knorr'],,,['France'],[],[],,,,,,,,,?,,90.909090909091,,380 kj(90 kcal),,"9,091",,"5,455",,0,,0,,"3,636",,"20,455",,"8,182",,,,,,,,,,,,,,,,,,,,,,,,,,
59,Praline amande entiere,3760023451407,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Tablettes de chocolat Lindt lait extra fin,8070920016636,,,,['France'],[],[],,,,,,,,,?,,545,,2280 kj(545 kcal),,32,,19,,56,,55,,7,,"0,24",,"0,096",,,,,,,,,,,,,,,,,,,,,,,,,,
61,Pain Complet,0288033004336,,,,['France'],[],[],,,,,,,,,?,,252,,1054 kj(252 kcal),,"1,3",,"0,3",,50,,2,,"8,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Triangle aux amandes,0250787019355,,,,['France'],[],[],,,,,,,,,?,,446,,1866 kj(446 kcal),,23,,14,,53,,20,,"7,1",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
63,Crème de Châtaignes,3701373108436,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,guimauve cricks,2600687050909,,,['Fabriqué en France'],['France'],[],[],,,,,,,,,?,,433,,1812 kj(433 kcal),,19,,13,,61,,51,,4,,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,,
65,Château le terme blanc Bergerac 2016,3517400100645,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Les 3 lézards,3362721120526,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
