,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,packaging,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,brand_owner,nova_score,generic_name,link,additives,allergens,ingredients_origins,manufacturing,origin_detail
875,Myrtilles sauvages au sirop,3479392000122,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Poulet reghalal,0276580023290,,,['Halal'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Cornichon pickles,3662444003527,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,['France'],[],[],0.4 g,en faible quantité,0.4 g,en faible quantité,1.4 g,en faible quantité,1.6 g,en quantité élevée,?,,17,-37%,71 kj(17 kcal),-34%,"0,4",+35%,"0,4",+486%,"1,4",-59%,"1,4",-46%,"1,2",+19%,"1,6",-7%,"0,64",-7%,2,-8%,B,-8%,,,,,,,,,,,,,,,,,,,,,
878,Reblochon de Savoie fermier lait cru,0200016065790,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
879,Petit Etorki,0285560028538,,,,['France'],[],[],,,,,,,,,?,,393,,1644 kj(393 kcal),,33,,23,,"0,5",,"0,5",,24,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
880,Filet mignon fumé,2484497053264,,,,['France'],[],[],,,,,,,,,?,,179,,749 kj(179 kcal),,"7,4",,"3,6",,"0,8",,"0,6",,"27,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Yaourts fermiers - 4x 125g,3760053300379,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,4 x 125 g,,,,,,,,,,
882,Pates fraiches aux oeufs,2614992025064,,,,['France'],[],[],,,,,,,,,?,,293,,1226 kj(293 kcal),,"2,52",,"0,56",,"54,14",,"0,04",,"10,16",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Jambon bio 4 tranches,0245697028535,,"['Viandes', 'Charcuteries', 'Jambons']",['Bio'],['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,,,,,,,,,,['Biocoop'],,,,,,,,,
884,Cervoise de garde aux grillotines,3573470020023,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Ketchup au piment d'Espelette - Au Bec Fin,3466090066000,['Au Bec Fin'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,['France'],[],[],1.4 g,en faible quantité,0.5 g,en faible quantité,13 g,en quantité élevée,0.85 g,en quantité modérée,?,,73,-31%,305 kj(73 kcal),-31%,"1,4",+474%,"0,5",+687%,13,-43%,13,-34%,"1,5",+15%,"0,85",-57%,"0,34",-57%,5,-59%,C,-59%,,,B,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,,,,,,,,,
886,Sablés pralines - Biscuiterie Beaujolaise - 200g,3760123456937,['Biscuiterie Beaujolaise'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",,['France'],"['Farine de blé', 'beurre', 'sucre', 'œufs', 'pralines', 'amandes', 'semoule de blé dur', 'extrait de malt', 'sel', 'levure', 'colorant naturel : carmin', 'betacarotène de Blakeslea trispora']","['Non végétalien', 'Non végétarien']",28 g,en quantité élevée,15 g,en quantité élevée,18 g,en quantité élevée,0.09 g,en faible quantité,2180,+5%,522,+7%,2180 kj(522 kcal),+6%,28,+20%,15,+8%,60,-5%,18,-29%,"7,5",+21%,"0,09",-87%,"0,036",-87%,19,-13%,E,-13%,,"['Sachet', 'Plastique']",C,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,200 g,,,4,,,['E120 - Acide carminique'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",,"['Fleurie', 'Beaujolais', 'France']",
887,pate de gris,0209030014968,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Tarrina de Chorizo,8413847360008,,,['en:gluten-free'],['France'],[],[],,,,,,,,,?,,369,,1544 kj(369 kcal),,30,,12,,"5,5",,1,,"19,6",,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,,,,,,
889,Riz pour cuisine japonaise - 10kg,023327665001109515211121,,,,['France'],[],[],,,,,,,,,?,,343,,1435 kj(343 kcal),,"0,5",,0,,78,,0,,"6,7",,0,,0,,,,,,,,,,,,,,,,10 kg,,,,,,,,,,
890,Crouton nature - Tipiak,3185200446449,['Tipiak'],,,['France'],[],[],,,,,,,,,?,,496,,2075 kj(496 kcal),,"30,3",,"2,8",,"45,9",,2,,"8,5",,2,,"0,8",,,,,,"['EMB 14114A', 'Bures-sur-Dives (Calvados, France)']",['Film en plastique'],,,,,,,,,,,,,,,,,,,
891,Sut burger,8690526006871,,,,['France'],[],[],,,,,,,,,?,,348,,1456 kj(348 kcal),,5,,"1,2",,54,,36,,12,,"0,41",,"0,164",,,,,,,,,,,,,,,,,,,,,,,,,,
892,Crema de champiñones,8424657105376,,,,['France'],[],[],,,,,,,,,?,,335,,1402 kj(335 kcal),,"3,1",,"1,4",,"9,7",,"3,4",,67,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Crispety,0099900100767,,,['en:gluten-free'],['France'],[],[],,,,,,,,,?,,46.67,,195 kj(46 kcal),,20,,10,,"66,67",,40,,10,,"0,762",,"0,305",,,,,,,,,,,,,,,,,,,,,,,,,,
894,Comté monoprix lait cru,2200974028026,['Monoprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.76 g,en quantité modérée,?,,427,+2%,1787 kj(427 kcal),+2%,35,+1%,23,+1%,1,+116%,0,-100%,27,+0%,"0,76",-9%,"0,304",-9%,13,0%,D,0%,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Monoprix'],,,,,,,,,
895,Sauce mayonnaise au piment d'espelette AOP,3183811009800,,"['Epicerie', 'Sauces', 'Mayonnaises']",,['France'],[],[],68.4 g,en quantité élevée,8.94 g,en quantité élevée,1.74 g,en faible quantité,1.94 g,en quantité élevée,?,,640,+4%,2678 kj(640 kcal),+5%,"68,4",+3%,"8,94",+45%,"4,5",+67%,"1,74",+19%,0,-100%,"1,94",+46%,"0,776",+46%,23,+28%,E,+28%,,,D,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,
896,Jambonneau de porc cuit,2224659031811,,,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Micellar casein women's best,9010128007844,"[""Women's Best""]",,['Fabriqué en Allemagne'],['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,"1,9",,"1,3",,"2,7",,"1,1",,82,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
898,Petits Coeurs Chocolat Praliné & Ganache - Saveurs Et Nature,3370077583872,"['Saveurs Et Nature', 'Ikalia']",,"['Bio', 'Bio européen', 'Commerce équitable', 'en:gluten-free', 'FR-BIO-10', 'Fabriqué en France', 'Max Havelaar', 'en:palm-oil-free']",['France'],[],['Sans huile de palme'],,,,,,,,,?,,505,,2113 kj(505 kcal),,"33,4",,"16,1",,"44,2",,42,,"5,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
899,Pfirsiche - real Quality,4334011209173,['real Quality'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits', 'Fruits en conserve', 'Pêches']",,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Konserve'],,,,,,,,,,,,,,,,,,,
900,Roquefort,2430635014567,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,,,,,,,,,
901,Merguez,2462099061450,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Sorbet melon,8717524101282,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Panettoncino Classic,8008315402511,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Issu pirate aop,2488753035032,,,,['France'],[],[],,,,,,,,,?,,408,,1707 kj(408 kcal),,"34,6",,"23,6",,"1,9",,"0,5",,"22,3",,2,,"0,8",,,,,,"['FR 69.273.010 CE', 'Corbas (Rhône, France)']",,,,,,,,,,,,,,,,,,,,
905,Sauce tikka masala - Patak's,3229820799070,"[""Patak's""]",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Sachet'],,,,,,,,,,,,,,,,,,,
906,Aper'olives - Tokapi,3564706548602,['Tokapi'],,,['France'],[],[],,,,,,,,,?,,178,,745 kj(178 kcal),,16,,"2,1",,"3,1",,"0,5",,"3,6",,"3,3",,"1,32",,,,,,,,,,,,,,,,,,,,,,,,,,
907,Propolis Bio,3760115091788,,,['Bio'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Teensy fruits teensy fruits,0846675001177,,,,['France'],[],[],,,,,,,,,?,,30,,126 kj(30 kcal),,0,,0,,90,,80,,0,,"0,375",,"0,15",,,,,,,,,,,,,,,,,,,,,,,,,,
909,Pediatric Electrolyte Solution,0078742004358,,"['Non alimentaire', 'Open Products Facts']",,"['France', 'États-Unis']","['Water', 'dextrose', 'less than 1% of: potassium citrate', 'sodium chloride', 'sodium citrate', 'zinc gluconate', 'citric acid', 'natural flavors', 'fruit and vegetable juice ', 'color', 'stevia']",[],0 g,en faible quantité,0 g,en faible quantité,2.53 g,en faible quantité,0.253 g,en faible quantité,?,,11,-95%,46 kj(11 kcal),-95%,0,-100%,0,-100%,"2,53",-89%,"2,53",-72%,0,-100%,"0,252",-72%,"0,101",-72%,,,,,,,,,,,,,,,,,"Wal-Mart Stores, Inc.",,,,['E330 - Acide citrique'],,,,
910,Euroshopper protein shake,5020379155045,,,,['France'],[],[],,,,,,,,,?,,50,,209 kj(50 kcal),,"0,5",,"0,1",,"5,6",,4,,"6,4",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,
911,"Catena Alamos Cabernet Sauvignon, Rotwein, 13,5%, Argentinien",7794450008060,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,8033829711224,8033829711224,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Poivre du Penja,3760211090289,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Dimes orange,8690558032985,,,,['France'],[],[],,,,,,,,,?,,39,,163 kj(39 kcal),,0,,0,,"9,6",,"9,5",,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Ricard,3163937836009,['Ricard'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Damson & port chutney,00820929,,,,['France'],[],[],,,,,,,,,?,,812,,3397 kj(812 kcal),,"0,1",,"0,1",,"46,2",,"41,5",,"0,5",,"1,28",,"0,512",,,,,,,,,,,,,,,,,,,,,,,,,,
917,Nonfat plain greek yogurt - 40oz,0193968024680,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque']",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,3.53 g,en faible quantité,0.0822 g,en faible quantité,?,,5.88,-95%,25 kj(5 kcal),-95%,0,-100%,0,-100%,"3,53",-60%,"3,529",-56%,"10,59",+139%,"0,082",-29%,"0,033",-29%,-5,-223%,A,-223%,,,,,,,,,,,40 oz,,,,,,,,,,
918,Organic organic peanut butter baked corn puffs,0023923236004,,,,['France'],[],[],,,,,,,,,?,,57.14,,239 kj(57 kcal),,"28,57",,0,,"42,86",,0,,"14,29",,"0,544",,"0,218",,,,,,,,,,,,,,,,,,,,,,,,,,
919,Little puffs cereal snack,0078742060040,,,,['France'],[],[],,,,,,,,,?,,28.57,,120 kj(28 kcal),,0,,0,,"71,43",,"14,29",,0,,0,,0,,,,,,,['hdpe-tube'],,,,,,,,,,,,,,,,,,,
920,Lacollectionor - 400g,5412397008975,,,,['France'],[],[],,,,,,,,,?,,531,,2222 kj(531 kcal),,33,,20,,51,,45,,0,,0,,0,,,,,,,,,,,,,,,,400 g,,,,,,,,,,
921,Pogne à la coupe,0214007029586,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Abbaye N-D De L Annonciation - Marmelade d Orange 430 g,3700191005095,,,['Fabriqué en France'],['France'],[],[],,,,,,,,,?,,246,,1029 kj(246 kcal),,"0,049",,"0,009",,"60,6",,"56,1",,"0,3",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,
923,Earl grey - Pagès,3398984518305,['Pagès'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Fleur de Sel,3760058541623,,"['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,
925,Chocolat au lait entier bio - 30g,4043651162136,,,['Bio'],['France'],[],[],,,,,,,,,?,,543,,2272 kj(543 kcal),,"31,9",,20,,"55,6",,"54,9",,"7,1",,"0,2",,"0,08",,,,,,,,,,,,,,,,30 g,,,,,,,,,,
926,Pure whey,3518681009597,,,,['France'],[],[],,,,,,,,,?,,380,,1590 kj(380 kcal),,"3,7",,2,,"8,4",,"4,3",,78,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
927,Creme amande - 250g,3546940002324,,,,['France'],[],[],,,,,,,,,?,,303,,1268 kj(303 kcal),,"13,5",,"1,02",,"36,1",,"31,3",,"6,4",,"0,013",,"0,005",,,,,,,,,,,,,,,,250 g,,,,,,,,,,
928,Maroilles - Lesire - 750g,3276314047339,['Lesire'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Maroilles']",['AOP'],['France'],[],[],27 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,1356,-0%,327,0%,1356 kj(327 kcal),-1%,27,+1%,18,+2%,"< 0,5",-14%,"< 0,5",+6%,21,-1%,2,-7%,"0,8",-7%,17,-3%,D,-3%,,['Frais'],D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,750g,,,,Maroilles,,,,,,
929,Caviar d'aubergine - Parole Gourmande,3574314290053,['Parole Gourmande'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Caviars d'aubergine""]",,['France'],[],[],9.8 g,en quantité modérée,1.1 g,en faible quantité,3.3 g,en faible quantité,1.11 g,en quantité modérée,?,,121,-35%,506 kj(121 kcal),-34%,"9,8",-41%,"1,1",-47%,"6,2",+17%,"3,3",+10%,"0,9",-42%,"1,11",-3%,"0,444",-3%,6,-9%,C,-9%,,,,,,,,,,,,,,,,,,,,,
930,Gros macarons chocolat,0202342013124,,,,['France'],[],[],,,,,,,,,?,,440,,1841 kj(440 kcal),,22,,"7,6",,"47,3",,"47,3",,"10,4",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,,,,
931,Natural creamy peanut butter,0085239045060,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales']",,"['France', 'États-Unis']","['Peanuts', 'salt']","['Sans huile de palme', 'Végétalien', 'Végétarien']",50 g,en quantité élevée,9.38 g,en quantité élevée,3.12 g,en faible quantité,0.938 g,en quantité modérée,?,,625,-25%,2615 kj(625 kcal),-25%,50,-46%,"9,38",-37%,"15,62",+39545%,"3,12",+10659%,25,+85811%,"0,938",+2329%,"0,375",+2329%,7,-15%,C,-15%,,,,,,,,,,,,,GOOD & GATHER,2,,,,['Arachides'],,,
932,Pâine neagrà felli,6422422000088,,,,['France'],[],[],,,,,,,,,?,,214,,895 kj(214 kcal),,1,,"0,2",,43,,"0,6",,8,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
933,Le petit suisse - Danone,18418361,"['Danone', 'Gervais']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Petits suisses']",,['France'],[],[],9.5 g,en quantité modérée,6.7 g,en quantité élevée,3.6 g,en faible quantité,0.08 g,en faible quantité,?,,136,+25%,569 kj(136 kcal),+26%,"9,5",+80%,"6,7",+94%,"3,6",-44%,"3,6",-39%,"9,1",+15%,"0,08",-19%,"0,032",-19%,2,+531%,B,+531%,"['FR 14.370.001 CE', 'Molay-Littry (Calvados, France)']",['Frais'],C,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,,,,['France'],
934,Mini confitures,3770005626389,,,,['France'],[],[],,,,,,,,,?,,1100,,4602 kj(1100 kcal),,"0,24",,"0,24",,55,,55,,"0,52",,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,,
935,Pain de mie complet,3196710729144,,,,['France'],[],[],,,,,,,,,?,,251,,1050 kj(251 kcal),,4,,"0,5",,42,,6,,"8,4",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
936,Gateaux the duchess,5020092700867,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,Filet orange 1.5Kg origine Espagne,3661030161023,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Figues séchée,0208588024603,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Earl grey - 30g,5010244002819,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,30 g,,,,,,,,,,
940,Cinnamon Black Tea,8436561732319,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Choc'n crisp - 750g,4008713711547,,,,['France'],[],[],,,,,,,,,?,,396,,1657 kj(396 kcal),,"3,2",,"1,3",,"82,8",,22,,"7,6",,"0,6",,"0,24",,,,,,,,,,,,,,,,750 g,,,,,,,,,,
942,magret de canard,2499309109350,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,E,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,
943,Haches de boeuf 5%mg au sel de guerrande,2407189030176,,,"['Viande Française', 'Viande-bovine-francaise']",['France'],[],[],,,,,,,,,?,,108,,452 kj(108 kcal),,"5,4",,"2,2",,"0,5",,"0,5",,15,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
944,2303443003088,2303443003088,,,['en:gluten-free'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,Cannebergd goji,3701096311090,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Chocolat au lait bio - 30g,4043651162310,,,"['Bio', 'Bio européen', 'DE-ÖKO-013', 'Agriculture UE/Non UE', 'Fabriqué en Allemagne']",['France'],[],[],,,,,,,,,?,,543,,2272 kj(543 kcal),,"31,9",,20,,"55,6",,"54,9",,"7,1",,"0,2",,"0,08",,,,,,,,,,,,,,,,30 g,,,,,,,,,,
947,Sirop de table original - Great Value,0628915641899,['Great Value'],,,['France'],[],[],,,,,,,,,?,,38,,159 kj(38 kcal),,0,,0,,95,,47,,"0,16",,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,
948,Les babas du Saint-Placide - Bordier,3760191050341,['Bordier'],,,['France'],[],[],,,,,,,,,?,,280,,1172 kj(280 kcal),,"3,7",,"2,2",,47,,"35,4",,"1,5",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,
949,200g,3834320090062,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,
950,Assorted food colors,0052100071077,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Noir manjari orange 64% cacao - Valrhona,3395328259122,['Valrhona'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
952,Pied de porc cuit en gelee,2411288044217,,,,['France'],[],[],,,,,,,,,?,,102,,427 kj(102 kcal),,6,,"0,6",,"0,6",,"0,6",,11,,"3,1",,"1,24",,,,,,"['FR 66.172.001 CE', 'Saint-Estève (Pyrénées-Orientales, France)']",,,,,,,,,,,,,,,,,,,,
953,Radis blanc mariné,4979219000421,,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,"0,5",,"0,1",,"9,5",,"9,5",,"0,7",,6,,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,
954,Merveilles X12 decongele,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,Les rillettes des Coupaïrous,0123456789456,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Oral-B menthe fraiche - Hollywood,15002103,['Hollywood'],,,['France'],[],[],,,,,,,,,?,,158,,661 kj(158 kcal),,"0,1",,"0,1",,63,,"0,2",,"0,1",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,,
957,Mélange Olives-Artichaux,2609908023166,,,,['France'],[],[],,,,,,,,,?,,158,,661 kj(158 kcal),,16,,"2,1",,"0,8",,0,,"1,3",,"3,1",,"1,24",,,,,,,,,,,,,,,,,,,,,,,,,,
958,Cantucci al pistacchio - 200g,97790242,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Cantucci']",,['France'],[],[],18.8 g,en quantité modérée,4 g,en quantité modérée,27.7 g,en quantité élevée,0.2 g,en faible quantité,?,,468,+6%,1958 kj(468 kcal),+6%,"18,8",+31%,4,+1%,"64,2",-3%,"27,7",-14%,"10,5",+8%,"0,2",-37%,"0,08",-37%,14,-10%,D,-10%,,,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,200 g,,,,,,,,,,
959,Oral B menthe forte - Hollywood,15002832,['Hollywood'],,,['France'],[],[],,,,,,,,,?,,160,,669 kj(160 kcal),,"0,1",,"0,1",,65,,"0,2",,"0,1",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,,
960,Mélange Baresane,2609907026243,,,,['France'],[],[],,,,,,,,,?,,218,,912 kj(218 kcal),,22,,"3,4",,"1,7",,"0,5",,"2,2",,"1,99",,"0,796",,,,,,,,,,,,,,,,,,,,,,,,,,
961,Boite de 6 stick Zéro saveur Fraise,3760304090134,,,['Sans conservateurs'],['France'],[],[],,,,,,,,,?,,0.7,,3 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
962,Quinoa Cacao chocolat,1335975839393,,,['en:palm-oil-free'],['France'],[],['Sans huile de palme'],,,,,,,,,?,,448,,1874 kj(448 kcal),,18,,3,,57,,16,,"9,5",,"0,73",,"0,292",,,,,,,,,,,,,,,,,,,,,,,,,,
963,Nos chocolats - Maison Guinguet,3760052691959,['Maison Guinguet'],,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"39,4",,"16,9",,"41,3",,"35,6",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
964,Gouda cumin,0210950025606,,,,['France'],[],[],,,,,,,,,?,,376,,1573 kj(376 kcal),,31,,21,,0,,0,,24,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
965,Basil sees,8935270807771,,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,0,,0,,"11,2",,"10,7",,0,,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,
966,Cocotim,3760290220010,,,,['France'],[],[],,,,,,,,,?,,18,,75 kj(18 kcal),,"0,2",,0,,"3,8",,"3,8",,"0,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
