,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,packaging,categories,labels,manufacturing,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,allergens,ingredients_origins,traceability_code,link,markets,brand_owner
1010,Spitzen-Langkorn - Euryza GmbH - 500g,4006237090025,500g,['Euryza GmbH'],"['France', 'Allemagne']",[],[],?,347,1452 kj(347 kcal),"0,5","0,2",78,"0,2",7,"0,025","0,01",,,,['Sans gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Blanc de dinde x4 - Auchan Lausse,4006259012296,,['Auchan Lausse'],['France'],"['Blanc de dinde 860,1', ' eau', 'sel', 'dextrose', 'arômes', 'acidifiants', 'citrates de sodiulll', 'acétate de sodium', ' gélifiant carraghénanes: bouillon de légunnes déshydratés', 'sirop de glucose antioxydants: ascorbate de sodium', 'érythorbate de sodium: conservaeur: nitrite de sodium', ' colorant de surface carannel ordinaire', ' Peut contenir traces de soja', 'lait et gluten,']",[],?,101,423 kj(101 kcal),1,"0,4",1,1,22,"2,075","0,83",,,"['Viandes', 'Charcuteries', 'Volailles', 'Dindes', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de dinde en tranches', 'Blancs de dinde']",,,"['E330 - Acide citrique', 'E262i - Acétate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,1 g,en faible quantité,0.4 g,en faible quantité,1 g,en faible quantité,2.08 g,en quantité élevée,5,C,D,,-2%,-3%,-47%,-32%,-50%,+24%,+15%,+13%,+13%,+18%,+18%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,['Auchan'],
1012,Epaule cuite standard,4006259012661,,,['France'],[],[],?,135,565 kj(135 kcal),7,3,2,2,16,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,"Jambon supérieur Torchon, grandes tranches - sans couenne",4006259012678,,,['France'],[],[],?,111,464 kj(111 kcal),3,"1,5",1,1,20,"1,8","0,72",,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['Qualité supérieure'],,,,3 g,en quantité modérée,1.5 g,en quantité modérée,1 g,en faible quantité,1.8 g,en quantité élevée,4,C,E,,-16%,-15%,-38%,-18%,+49%,+68%,-5%,-4%,-4%,-43%,-43%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,
1014,"Jambon supérieur découenné, dégraissé - Panachat - 20 * 40g (800g)",4006259012708,20 * 40 g (800 g),['Panachat'],['France'],"['Jambon de porc ', 'origine UE', 'eau', 'sel', 'dextrose', 'sirop de glucose', 'bouillon de porc déshydraté ', 'eau', 'os', 'viande de porc', 'arôme', 'antioxydant : érythorbate de sodium ', 'E316', 'conservateur : nitrite de sodium ', 'E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,,"['Barquette', 'Plastique']","['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Fabriqué en Allemagne', 'Qualité supérieure']",['Allemagne'],"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,E,,,,,,,,,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,['Union européenne'],['DE TH-EV 3045 EG'],,,
1015,Pissenlit Suc Frais Bio - 200 ML - Salus,4006309024279,,['Salus'],['France'],[],[],?,10,42 kj(10 kcal),"0,5","0,1",2,2,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Stute Diabetic Raspberry Seedless Jam - 430g,4006424022334,,,['France'],[],[],?,154,644 kj(154 kcal),"0,1","0,1","59,1","2,2","0,6","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Stute Orange Juice - 1litre,4006424185596,1 litre,['Stute'],['France'],['100 % Orange juice'],[],?,44,184 kj(44 kcal),"0,2","0,1",9,9,"0,8","0,01","0,004",,"['plastic foil cardboard', 'Carton']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]","['en:100-juice', 'en:FSC-C081801', 'en:from-concentrate']","['Bristol', 'UK']",,,0.2 g,en faible quantité,0.1 g,en faible quantité,9 g,en quantité élevée,0.01 g,en faible quantité,3,C,C,,+2%,+1%,+20%,+266%,-7%,-1%,+28%,+17%,+17%,0%,0%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,['Brésil'],,,,
1018,Kokos Taler,4006529002156,,,['France'],[],[],?,536,2243 kj(536 kcal),30,19,60,25,5,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Krauter butter,4006638000784,,,['France'],[],[],?,579,2423 kj(579 kcal),"62,5",40,3,"0,7",1,"1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['DE NI-007 EG'],,,
1020,Multipower,4006643136379,,,['France'],[],[],?,141,590 kj(141 kcal),"4,9","2,8","9,8","1,6",14,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Original Münchner weisswurst senf - Develey - 250g,4006824006552,250 g,['Develey'],"['France', 'Allemagne']",[],[],?,269,1125 kj(269 kcal),"7,7","1,1","38,8","38,7","7,3","0,05","0,02",,"['Glas/Gläser', 'produkt']","['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,,7.7 g,en quantité modérée,1.1 g,en faible quantité,38.7 g,en quantité élevée,0.05 g,en faible quantité,12,D,B,,+58%,+58%,-29%,+34%,+462%,+903%,+11%,-99%,-99%,+3%,+3%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,
1022,Lambertz Aachener Dominos Zartbitter 175G,4006894252002,,['Lambertz'],['France'],[],[],?,388,1623 kj(388 kcal),"9,8","4,6","70,3","56,2","3,3","0,14","0,056",,,"['Snacks', 'Snacks sucrés', 'Confiseries']",['Fabriqué en Allemagne'],,,,9.8 g,en quantité modérée,4.6 g,en quantité modérée,56.2 g,en quantité élevée,0.14 g,en faible quantité,18,D,,,-8%,-8%,-33%,-29%,+6%,+13%,-22%,-5%,-5%,-1%,-1%,,,,,,,,,,,,,,
1023,Roggenkrone Roggen-mischbrot,4006939031302,,,['France'],[],[],?,220,920 kj(220 kcal),"1,5","0,3",42,"1,7","7,1","1,2","0,48",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['Sans conservateurs'],,,,1.5 g,en faible quantité,0.3 g,en faible quantité,1.7 g,en faible quantité,1.2 g,en quantité modérée,3,C,,,-33%,-33%,-76%,-74%,-23%,-57%,-25%,-6%,-6%,-41%,-41%,,,,,,,,,,,,,,
1024,Sonnenblumen Brot - Kronenbrot - 500g,4006939312227,500 g,['Kronenbrot'],"['Belgique', 'France']","['levain naturel ', 'seigle complet égrugé', 'eau', 'seigle complet égrugé', 'graines de tournesol 8%', 'eau', 'sirop de sucre de betterave', 'sel', ""extrait de malt d'orge"", 'levure', ""flocons d'avoine"", 'sésame']",[],?,234,979 kj(234 kcal),"5,4","0,6",35,"1,2","6,3","1,3","0,52",Pain de seigle complet aux graines de tournesol,"['Fresh', 'Plastic']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']",['Sans conservateurs'],['Germany'],,3,5.4 g,en quantité modérée,0.6 g,en faible quantité,1.2 g,en faible quantité,1.3 g,en quantité modérée,-1,A,B,,+1%,+2%,+174%,+76%,-16%,-59%,-9%,+14%,+14%,-191%,-191%,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,"['Gluten', 'Graines de sésame', 'de:Gerstenmalzextract']",,,,,
1025,Riesling Halbtrocken -  - 750ml,4006975004186,750 ml,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins blancs', 'de:Riesling']",,,,,,,,,,,,,,,D,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,
1026,L'original 100% Pur Cacao - Van Houten - 275g,4006985902083,275g,['Van Houten'],['France'],['Cacao 100%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1589,383,1589 kj(383 kcal),21,13,"13,9","0,4","18,4","0,051","0,02",,['Carton'],"['Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Cacaos en poudre']",['Sans sucre ajouté'],,,1,21 g,en quantité élevée,13 g,en quantité élevée,0.4 g,en faible quantité,0.0508 g,en faible quantité,9,C,E,+15%,+9%,+9%,+51%,+61%,-47%,-96%,+8%,-53%,-53%,-2%,-2%,94.3%,2.4%,0.9%,2.1%,0.3%,0.0%,17,,,,,http://www.vanhouten.fr,,
1027,Bio Mega Müsli - Detmers Getreide Vollwert-kost,4007947010907,,['Detmers Getreide Vollwert-kost'],['France'],"['80% Getreidevollkornflockent ', 'Hafer* Weizen*t Gerstet', 'Roggen*', '10% Sultaninen*', '5% Sonnenblumen• kerne*', '3% Haselnüsse*', '1% Buchweizeni erôstet', 'Leinsaat*', ' Kann Spuren von esam', 'Soja', 'Milchbestandteilen und an• deren Schalenfrüchten enthalten', ' *aus ôkologischer Landwirtschaft']",[],?,369,1544 kj(369 kcal),"8,6","1,3","58,1","6,7","9,9",0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']",['Bio'],,,,8.6 g,en quantité modérée,1.3 g,en faible quantité,6.7 g,en quantité modérée,0 g,en faible quantité,-4,A,B,,-7%,-8%,-19%,-52%,-5%,-63%,+3%,-100%,-100%,-217%,-217%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,"['Gluten', 'Soja']",,,,,
1028,Oreo Ice Cream - 185ml,4007993012283,185 ml,['Oreo'],['France'],[],[],?,261,1092 kj(261 kcal),"11,4","6,8","35,9","25,5","3,3","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Ice Cream - Daim - 185ml - 94g,4007993012320,185ml - 94g,"['Daim', 'R&R', 'R&R ice cream', 'Coolice']",['France'],"['lait écrémé reconstitué', 'bonbons au caramel croquant enrobés de chocolat au lait 20% ', 'sucre', 'huile de palme', 'beurre de cacao', 'pâte de cacao', 'lactosérum en poudre ', 'lait', 'amandes 3%', 'lait écrémé en poudre', 'beurre concentré', 'préparation à base de lactosérum ', 'lait', 'lait écrémé concentré sucré', 'sel', ""agents d'enrobage "", 'gomme arabique', 'maltodextrine', 'émulsifiant ', 'lécithine de soja', 'arômes', 'crème', 'sirop de glucose', 'sucre', 'lactosérum ', 'lait', 'lait écrémé concentré', 'émulsifiant ', ""mono- et diglycérides d'acides gras"", 'stabilisants ', 'farine de graines de caroube', 'gomme guar', 'arôme']","['Huile de palme', 'Non végétalien']",?,268,1121 kj(268 kcal),"13,3",8,"34,2",30,"2,7","0,28","0,112",Crème glacée caramel avec bonbons au caramel croquant enrobés de chocolat au lait,"['Pot', 'Plastique', 'surgelé']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,['Pologne'],"[""E414 - Gomme d'acacia"", 'E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar']",4,13.3 g,en quantité modérée,8 g,en quantité élevée,30 g,en quantité élevée,0.28 g,en faible quantité,17,D,C,,+15%,+15%,+14%,+5%,+23%,+28%,-15%,+87%,+87%,+27%,+27%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,['Huile de palme'],"['Lait', 'Fruits à coque', 'Soja']",,,http://achaquegourmandsonplaisir.fr/les-plaisirs-gourmands/total-gourmand/daim/le-pot-gourmand-daim/,['Leader Price'],
1030,"Chocolate & Vanilla - Milka - 440ml (4x 110ml) - 270g (4x 67,5g)",4007993017240,"440 ml (4 x 110 ml) - 270 g (4 x 67,5 g)",['Milka'],['France'],"['lait écrémé reconstitué', 'chocolat au lait du pays alpin ', 'sucre', 'beurre de cacao', 'pâte de cacao', 'poudre de lait écrémé', 'beurre concentré', 'lactosérum en poudre', 'émulsifiants ', 'lécithine de soja', 'E476', 'sucre', 'graisses végétales ', 'coco', 'palme', 'farine de blé', 'chocolat au lait du pays alpin ', 'sucre', 'beurre de cacao', 'poudre de lait écrémé', 'pâte de cacao', 'lactosérum en poudre', 'beurre concentré', 'pâte de noisettes', 'émulsifiant ', 'lécithine de soja', 'arôme', 'lactosérum', 'crème', 'lait écrémé concentré', 'sirop de glucose', 'poudre de cacao maigre', 'émulsifiants ', 'mono - et diglycérides d’acides gras', 'lécithine de soja', 'stabilisants ', 'farine de graines de caroube', 'gomme guar', 'concentré de protéines de sérum ', 'lait', 'lait écrémé en poudre', 'extrait de vanille', 'sel']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,342,1431 kj(342 kcal),"20,2","15,4","35,4","27,9",4,"0,18","0,072",Cônes avec glace,"['Carton', 'surgelé', 'enveloppe papier']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Cônes glacés']",,,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar']",4,20.2 g,en quantité élevée,15.4 g,en quantité élevée,27.9 g,en quantité élevée,0.18 g,en faible quantité,19,E,B,,+28%,+28%,+71%,+73%,-4%,+5%,+36%,+18%,+18%,+21%,+21%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,"['Gluten', 'Lait', 'Soja']",,,http://www.rr-icecream.fr/nos-marques/milka.aspx,"['Intermarché', 'Franprix']",
1031,Glace - Milka - 6,4007993017486,6,['Milka'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Milka Crunchy Chocolate - 440ml 264g,4007993021377,440 ml 264 g,"['Milka', 'Mondelez']","['France', 'Allemagne']","['Alpenmilchschokolade ', 'Zucker', 'Kakaobutter', 'Kakaomasse', 'Magermilchpulver', 'Butterreinfett', 'Süßmolkenpulver', 'Emulgatoren ', 'Sojalecithin', 'E476', 'entrahmte Milch', 'Zucker', 'Molkenerzeugnis', 'Kokosfett', 'Reismehl', 'Rahm', 'Glukosesirup', 'Glukose-Fruktose-Sirup', 'Alpenmilchschokolade ', 'Zucker', 'Kakaobutter', 'Magermilchpulver', 'Kakaomasse', 'Süßmolkenpulver', 'Butterreinfett_', 'Haselnussmasse', 'Emulgator ', 'Sojalecithin', 'Aroma', 'eingedickte entrahmte Milch', 'fettarmer Kakao', 'Emulgator ', 'Mono- und Diglyceride von Speisefettsäuren', 'Stabilisatoren ', 'Johannisbrotkernmehl', 'Guarkernmehl', 'Salz', 'Hafermehl', 'Weizenmalzmehl', 'Vanilleextrakt', 'Kakaobutter', 'Backtriebmittel ', 'Natriumcarbonate', 'natürliches Vanillearoma']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,347,1452 kj(347 kcal),"21,3","14,9","34,2","30,6","3,9","0,58","0,232",,"['Karton', 'Kunststoff']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés', 'Bâtonnets glacés au chocolat']",['Point Vert'],['Deutschland'],"[""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E412 - Gomme de guar', 'E500 - Carbonates de sodium']",4,21.3 g,en quantité élevée,14.9 g,en quantité élevée,30.6 g,en quantité élevée,0.58 g,en quantité modérée,21,E,B,,+7%,+6%,+3%,+7%,+13%,+13%,+6%,+237%,+237%,+12%,+12%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja', 'de:Alpenmilchschokolade', 'en:Alpenmilchschokolade']",,,,['Magasins U'],
1033,Milka Mini,4007993023906,,['Milka'],"['France', 'Allemagne']",[],[],?,350,1464 kj(350 kcal),23,17,32,30,"3,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Noix de cajou - KLUTH - 200g,4008088100458,200g,['KLUTH'],"['France', 'Allemagne']",[],[],?,589,2464 kj(589 kcal),"44,7","8,4","24,3","7,4",0,"0,01","0,004",,['Beutel'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,,,44.7 g,en quantité élevée,8.4 g,en quantité élevée,7.4 g,en quantité modérée,0.01 g,en faible quantité,11,D,E,,-2%,-1%,-3%,-1%,-5%,+14%,-100%,-98%,-98%,+45%,+45%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,
1035,Cashewkerne - Kluth - 100g,4008088102216,100g,['Kluth'],"['France', 'Allemagne']",[],[],?,589,2464 kj(589 kcal),"44,7",,?,"7,4","20,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,Sonnenblumenkerne - 500g,4008088430746,500 g,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Mildessa Rotkohl - Hengstenberg - 680g,4008100173460,680 g,['Hengstenberg'],"['Australie', 'France', 'Allemagne', 'Espagne']","['Rotkohl', 'Zucker', 'Branntweinessig', 'Weinessig', 'Salz']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,48,201 kj(48 kcal),"0,5","0,1","8,4","8,3","1,2","1,3","0,52",,['Glas'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve']",,,,3,0.5 g,en faible quantité,0.1 g,en faible quantité,8.3 g,en quantité modérée,1.3 g,en quantité modérée,1,B,,,+4%,+6%,-5%,-13%,+44%,+240%,-43%,+67%,+67%,,,,,,,,,,,,,,,['Woolworths'],
1038,Paprika - Hengstenberg - 320g,4008100178533,320g,['Hengstenberg'],"['Autriche', 'France', 'Allemagne']",[],[],?,?,30 kj(7 kcal),?,,5,5,1,,,,['stück'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Paprika']",,,,,,,,,5 g,en quantité modérée,,,,,B,,,-95%,,,-66%,+73%,-85%,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,
1039,Starling The A La Peche,4008102000467,,['Starling'],['France'],"['Sucre', 'dextrose', 'acidifiant: acide citrique', 'extrait de thé noir ', '1 ,5%', 'concentré de pulpe de ', '0,15%', 'maltodextrine', 'arôme', ' Préparation', ""' ron 5 cuillères à thé "", '20g', ' par tasse de 200mI']",[],?,39,163 kj(39 kcal),0,0,"9,5","9,4",0,0,0,,,"['Boissons', 'Boissons avec sucre ajouté']",,,['E330 - Acide citrique'],4,0 g,en faible quantité,0 g,en faible quantité,9.4 g,en quantité élevée,0 g,en faible quantité,13,E,,,-54%,-56%,-100%,-100%,-52%,-49%,-100%,-100%,-100%,+9%,+9%,,,,,,,,,,,,,,
1040,Saucisse de viande Gruninger Emince pour salade,4008150226833,,['Gruninger'],['France'],"['74 % viande de porc', 'eau', 'lard', 'sel iodé ', 'sel', 'iodate de potassium', 'dextrose', 'épices', 'antioxydant : E 300', 'extrait de citron', 'stabilisateur : E 450', 'conservateur : E 250', ' Peut contenir des traces de moutarde et de céleri', ' Conditionné sous atmosphère protectrice']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,309,1293 kj(309 kcal),29,11,1,"0,9",11,2,"0,8",,,,,,"['E300 - Acide ascorbique', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Chocolatier Hachez Cocoa D'arriba Classic,4008155021303,,['Hachez'],['France'],[],[],?,604,2527 kj(604 kcal),48,30,29,24,9,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Oignon Uien,4008164009118,,,['France'],[],[],?,25,105 kj(25 kcal),"0,3","0,1",4,1,"0,8","2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Aioli - La Vache qui regarde passer les Trains,4008164723823,,['La Vache qui regarde passer les Trains'],['France'],"['Huile de colza*', 'eau', ""jaune d'OEUF en poudre*"", 'sel', 'vinaigre*', ""granulés d'ail*"", '1%', 'sucre*', ""arôme naturel d'ail"", 'acidifiant : acide lactique', 'poivre blanc""', 'épaississant : gomme de guar*', 'antioxydant : extrait de romarin*', ' Peut contenir des traces de céleri', 'blé', 'soja', 'lait', 'moutarde', ' ""Ingrédients biologiques']",['Non végétalien'],?,616,2577 kj(616 kcal),"67,1","5,8","1,4","1,2","1,4","1,71","0,684",,,"['Epicerie', 'Sauces', 'Aïolis']",['Bio'],,"['E270 - Acide lactique', 'E412 - Gomme de guar', 'E392 - Extrait de romarin']",4,67.1 g,en quantité élevée,5.8 g,en quantité élevée,1.2 g,en faible quantité,1.71 g,en quantité élevée,19,E,D,,+1%,+2%,+2%,-15%,-61%,+1%,-1%,+35%,+35%,+4%,+4%,81.4%,9.6%,3.6%,3.4%,1.6%,0.4%,47,,['Œufs'],,,,,
1044,Nesquik - Nestle,4008210357972,,['Nestle'],['France'],"['kdaration nutritionnollnn,', 'y', ' _ NesglliK - cacao', ' Ingrédients lait écrémé', 'sirop de glucose', 'sucre', 'eau', 'matière grasse de coco en poudre', ""cacao rnakyre r/uk6ZO$SN'V' Müe obsahovat: araiidY' skoFâpkOVéPO kom kalaovj a s vanill-,ovou arémou"", "" 'loi nie"", ' odtuQnené mlieko', 'qluk6zo•o ëvodni _i8 a @Mrazeny krém s rastlinnym tu srvétka', 'kakaovy prâ5gkso zmienym mnoistvom tuku ', '2,1%', 'en ulgâtor ', 'E4Tê stabilizâtory ', '€410', 'prirc Skladovat pri teplote -18 oc a niBej', "" CUW Mt•afiùvanlivost' ?olQa S"", 'A', ' w Namystowie', 'ul', ' OleSnicka 17', '46-100 Namyskéw', ""pasko'""]",[],?,66,276 kj(66 kcal),"2,1","1,8","10,6","8,6",1,"0,1","0,04",,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,Seeberger Persische Pistazien Pfeffer Und Salz,4008258018002,,['Seeberger'],['France'],[],[],?,638,2669 kj(638 kcal),56,"6,4",13,"5,4",18,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Seeberger Persische Pistazien Gesalzen - 150g,4008258019009,150 g,['Seeberger'],['France'],[],[],?,668,2795 kj(668 kcal),60,7,11,"6,4",19,"1,2","0,48",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches']",,,,,60 g,en quantité élevée,7 g,en quantité élevée,6.4 g,en quantité modérée,1.2 g,en quantité modérée,10,C,D,,+10%,+10%,+22%,+10%,-29%,-8%,-14%,+17%,+17%,+68%,+68%,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,,,,,,,
1047,Figues séchées - Seeberger - 500g,4008258235010,500 g,['Seeberger'],"['France', 'Allemagne']",['Figues séchées non sulfitées et sans ajout de conservateurs'],[],1215,288,1215 kj(288 kcal),"1,4","0,2",59,59,"3,7","0,1","0,04",,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Figues sèches']","['Sans conservateurs', 'Sans sulfites']",,,,1.4 g,en faible quantité,0.2 g,en faible quantité,59 g,en quantité élevée,0.1 g,en faible quantité,6,C,D,+4%,+4%,+6%,-8%,-29%,+3%,+26%,+13%,-27%,-27%,+102%,+102%,69.5%,21.7%,2.7%,4.1%,1.9%,0.0%,38,,,,,,,
1048,Soft Mango - SEEBERGER - 100gr,4008258294000,100 gr,['SEEBERGER'],"['République tchèque', 'France', 'Suisse']","['Marceaax de manquez Séchés', 'aulfité3', ""a Z % d'humidité maximum"", 'pasteurisés : de manguec séchéa', 'amidon do de terre', 'articm/darst ', 'anhydride sulfureux', 'etrnocphére protectrice', ',gvre:: ae conserve quelqueez joure,', ""l'abri dolb de f'ht:rnidfté"", ""Produit d'importation"", 'de préférence avant fin : voir ci-detr,ous,']",[],?,284,1188 kj(284 kcal),"0,9","0,4",60,38,3,"0,13","0,052",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']","['Kascher', 'Fabriqué en Allemagne', 'en:Orthodox Union Kosher']",,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,0.9 g,en faible quantité,0.4 g,en faible quantité,38 g,en quantité élevée,0.13 g,en faible quantité,5,C,,,+56%,+59%,+25%,+160%,+65%,+35%,+92%,+328%,+328%,+508%,+508%,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,
1049,Seeberger Soft Kirschen,4008258297001,,['Seeberger'],['France'],"['pasteuritierl', 'unge%hwefett Zutaten: kirschen ', '10 E', 'Unter Schutzatmosphare klJhl und troc ven /a', 'ern Tage aufbrauchen AthruYJ! Griottes dencyagfeet', ' patèarisées', 'non sulfitées', "" a S d'humidite maximum Ingtedients : Conc 'Gonne sous ouverture"", 'se cc', '«', 'servc - chaleur et te Attention ! les censes • qu das éclats de noyaux A tonsonmet de preference drieetasteurized', "" not sulphited pleasa Withjn a Co occasîone Caution! Bost bet0'\\""]",[],?,298,1247 kj(298 kcal),"0,6","0,1",68,54,"2,2","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
