,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,brand,categories,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,ingredients_origins,labels,generic_name,manufacturing,traceability_code,link,additives,palm_ingredients,origin_detail,producer_info,brand_owner
1601,Acacia du canal du midi - vent de miel - 250g,3770002126103,['France'],[],[],?,?,?,?,?,B,250g,['vent de miel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,0 g,en faible quantité,,,,,,,,,,0,-100%,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['pot en verre'],,,['Bip'],,,,,,,,,
1602,Cote du Rhône - Trois cedre - Bonne,3700956504887,['France'],[],[],?,?,?,?,?,C,Bonne,['Trois cedre'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes du Rhône']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,['France'],,,,,,,,,,
1603,Miel de montagne - Baramel,3594480005688,['France'],[],[],?,?,?,?,?,B,,['Baramel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,['France'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,
1604,Cassolette d escargot -,3123070901040,['France'],[],[],?,105,"7,6","2,4","6,1",,,,,,,,,,,,,,,,,439 kj(105 kcal),,,"3,9",,,"1,1",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
1605,Sauce salade sésame soja,15673275,['France'],[],[],?,244,21,10,"1,7",,,,"['Epicerie', 'Sauces', 'en:Sesame sauces', 'Sauce au sésame']",,,21 g,en quantité élevée,2 g,en quantité modérée,6.6 g,en quantité modérée,1.5 g,en quantité modérée,,+3%,1021 kj(244 kcal),+4%,+16%,2,-7%,+1%,"6,6",+2%,-37%,"1,5",-38%,"0,6",-38%,11,-5%,D,-5%,,,,,,,,,,,,,,,,,,,,
1606,Instant Noodle - Lions Life Brand - 400g,3760041270028,['France'],"['Farine de blé 85 %', 'Eau', 'Sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1436,?,"1,4","69,9","13,6",C,400 g,['Lions Life Brand'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Pâtes alimentaires', 'Pâtes sèches', 'Nouilles instantanées']",['Gluten'],3,,,,,,,,,+19%,,1436 kj(343 kcal),+14%,-88%,"0,3",-94%,+73%,1,-59%,+114%,"0,352",-87%,"0,141",-87%,,,,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,"['Sachet', 'Plastique']",,,"[""Informations incorrectes sur l'emballage"", ""Informations nutritionnelles incorrectes sur l'emballage""]",Nouilles instantanées séchées - Instant Noodle,['Chine'],,,,,,,
1607,Thé fruits des bois - jardines del te,8410894003063,"['France', 'Espagne']",[],[],?,?,?,?,?,B,,['jardines del te'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Infusions aux fruits']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,
1608,6 gros œufs - Leconte,3251320794620,['France'],[],[],?,?,?,?,?,D,6,['Leconte'],"[""Produits d'élevages"", 'Œufs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,['Label Rouge'],,,,,,,,,
1609,Jus d'orange - Oasis,0067311020332,"['France', 'Saint-Pierre-et-Miquelon']",[],[],?,44,0,"10,4","0,4",D,,['Oasis'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,,0 g,en faible quantité,0 g,en faible quantité,9.6 g,en quantité élevée,0 g,en faible quantité,,+2%,184 kj(44 kcal),+1%,-100%,0,-100%,+7%,"9,6",+5%,-36%,0,-100%,0,-100%,4,+33%,C,+33%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,['Sans sucre ajouté'],,,,,,,,,
1610,Wintertraum Lebkuchen Herzen - 300g,22160355,['France'],[],[],?,366,"8,6","65,9","4,2",B,300 g,,"['Biscuits et gâteaux', ""Pains d'épices""]",,,8.6 g,en quantité modérée,5.9 g,en quantité élevée,44.2 g,en quantité élevée,0.21 g,en faible quantité,,+9%,1531 kj(366 kcal),+8%,+146%,"5,9",+376%,-7%,"44,2",+9%,-3%,"0,21",-52%,"0,084",-52%,18,+28%,D,+28%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,"['Agriculture durable', 'Fabriqué en Allemagne', 'en:UTZ Certified']",,,,,,,,,
