,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,traceability_code,brand,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,generic_name,allergens,brand_owner,additives,nova_score,markets,ingredients_origins,link,manufacturing,palm_ingredients
440,Pastilles menthe poivree - Starbucks,0762111129079,['France'],[],[],?,0,0 kj(0 kcal),0,0,2,0,0,0,0,,,['Starbucks'],['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Huile olive,8026053617301,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","13,26",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,"Vin rouge ""Sans Culotte"" Gaillac",3272591760114,['France'],[],[],?,?,,?,,?,,?,,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,9188041389887,9188041389887,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,HEAD Team Pro,0072489775014,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Delice de canette a la creme de cepes - Maison Sauveterre,3701011401288,['France'],[],[],?,134,561 kj(134 kcal),"7,9","3,3","3,5","0,5",12,"0,63","0,252",,,['Maison Sauveterre'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Velouté de tomate à la mangue - U - 350g,3256227087899,['France'],"['Purée de tomate 47,6%', 'eau', 'mangue 9,9%', 'pomme de terre', 'carotte', 'oignon', 'ail', 'creme', 'sucre', ""huile d'olive vierge extra"", 'concentré de tomate 1', '3%', 'sel', ' traces éventuelles de moutarde', 'oeuf', 'poisson', 'céleri', 'mollusques', 'crustacés et gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",265,63,265 kj(63 kcal),"2,2","0,6",9,"7,1","1,3","0,7","0,28",,,['U'],"['Cuisiné en France', 'Sans additifs']",,"['Plats préparés', 'Soupes']",2.2 g,en faible quantité,0.6 g,en faible quantité,7.1 g,en quantité modérée,0.7 g,en quantité modérée,+22%,+11%,+12%,+13%,-1%,+57%,+310%,-41%,-19%,-19%,1,-39%,B,-39%,,,,,,,,350 g,,['Lait'],,,3,['Magasins U'],,,,
447,Lait Demi écrémé,75975265,['France'],[],[],?,46,192 kj(46 kcal),"1,6",1,"4,8","4,8","3,2","0,1","0,04",,,,,D,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,,-2%,-2%,+2%,-1%,-0%,0%,-2%,-9%,-9%,0,,B,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,
448,Datte medjoul,2600131011746,['France'],[],[],?,322,1347 kj(322 kcal),"0,2",0,75,"66,5","1,8","0,01","0,004",,,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes', 'Dattes medjoul']",0.2 g,en faible quantité,0 g,en faible quantité,66.5 g,en quantité élevée,0.01 g,en faible quantité,,+1%,+1%,+2%,,+0%,+0%,0%,+32%,+32%,8,+8%,C,+8%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,,,
449,Ti'bwa colombo,3503610010591,['France'],[],[],?,495,2071 kj(495 kcal),"21,4","2,4",67,3,"7,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Fini frites fizz,8410525237966,['France'],[],[],?,?,,?,,?,,?,,,,,['Fini'],['Halal'],E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,,,,,,,,,,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
451,Salchichon extra casero,8421395039543,['France'],[],[],?,432,1807 kj(432 kcal),"35,3","14,05","3,8","2,52","24,7",4,"1,6",,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Cornichons,3410280446479,['France'],[],[],?,?,,?,,?,,?,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Barres Étagées - Val Nature,0065633137356,['France'],[],[],?,487,2038 kj(487 kcal),11,"3,5",21,8,4,"0,15","0,06",,,['Val Nature'],"['Sans arômes artificiels', 'Sans colorants']",,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",11 g,en quantité modérée,3.5 g,en quantité modérée,8 g,en quantité modérée,0.15 g,en faible quantité,,+15%,+14%,-30%,-41%,-65%,-71%,-47%,-62%,-62%,8,-39%,C,-39%,,,,,,,,,,,,,,,,,,
454,Absinthe,3379974202008,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Nectar de poires Williams des Monts du Lyonnais - Hédiard,3418321265423,['France'],[],[],?,50,209 kj(50 kcal),"0,5","0,1",12,10,"0,5","0,01","0,004",,,['Hédiard'],,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de poire']",0.5 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité élevée,0.01 g,en faible quantité,,-7%,-8%,+155%,+188%,-7%,-17%,+77%,+39%,+39%,14,-8%,E,-8%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,
456,Sugar free mints,5060114955127,['France'],[],[],?,243,1017 kj(243 kcal),"0,4","0,4",99,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Mentos,80771159,['France'],[],[],?,0,0 kj(0 kcal),"0,96","0,1","0,1","0,1","0,1","0,9","0,36",,,['Mentos'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Délice de tomates séchées,3478790005012,['France'],[],[],?,171,715 kj(171 kcal),12,"0,9",14,"3,3","2,1","2,6","1,04",,,,"['Point Vert', 'Sans conservateurs']",,"['Produits à tartiner', 'Produits à tartiner salés', 'en:Dried tomatoes spreads', 'en:Tomato spreads']",12 g,en quantité modérée,0.9 g,en faible quantité,3.3 g,en faible quantité,2.6 g,en quantité élevée,,-42%,-42%,-54%,-88%,+299%,+160%,-76%,+97%,+97%,12,-4%,D,-4%,,,,,,,,,,,,,,,,,,
459,Chouquettes,0290030013129,['France'],[],[],?,240,1004 kj(240 kcal),12,"7,6",28,14,"5,4","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Amandes grillées à sec et salées,2609882052022,['France'],[],[],?,662,2770 kj(662 kcal),"52,5",4,21,"4,9",21,2,"0,8",,,,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes', 'Amandes grillées']",52.5 g,en quantité élevée,4 g,en quantité modérée,4.9 g,en faible quantité,2 g,en quantité élevée,,+6%,+6%,+0%,-9%,+64%,-13%,-4%,+137%,+137%,10,+134%,C,+134%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,
461,Muesli croustillant 3 chocolats - U,3256240250140,['France'],[],[],?,449,1879 kj(449 kcal),16,5,65,25,"8,1","0,82","0,328",,,['U'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Lavande maritime - L'Abeille Diligente - 250g,3263620212568,['France'],[],[],?,?,,?,,?,,?,,,,,"[""L'Abeille Diligente"", 'Apidis']",,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,250 g,,,,,,,['Espagne'],,,
463,Thé noir de gaïa - Les Jardins de Gaïa,3582810222928,['France'],[],[],?,?,,?,,?,,?,,,,,['Les Jardins de Gaïa'],"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Croissant pur beurre,0205012020996,['France'],[],[],?,377,1577 kj(377 kcal),21,14,38,"6,8",7,"0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Turron de yema tostada - Vida mia - 200g,0847717003906,['France'],[],[],?,?,,?,,?,,?,,,,,['Vida mia'],,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,,,,,,,,,,,,,,,,,,,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,200g,,,,,,,,,,
466,Riz étuvé Indica QS,3039821610041,['France'],[],[],?,355,1485 kj(355 kcal),"0,8","0,2",79,"0,3","7,3","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Confiture artisanale Mangue Ananas,9000808111046,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Jus de pommes+fleurs debsureau,3770006349034,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Nouilles sèches,6091091012038,['France'],[],[],?,372,1556 kj(372 kcal),"1,2","0,8",78,"4,9","12,4","0,264","0,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,st hubert oméga 3 - 510g,18297319,['France'],[],[],?,?,,?,,?,,?,,,['Barquette'],,['st hubert'],['Omega-3'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines', 'Margarines allégées']",,,,,,,,,,,,,,,,,,,,,,,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,510g,,,,,,,,,,
471,2000000596266,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Confiture extra Arbouse (allégée en sucre) -  - 210g,3770008198401,['France'],[],[],?,?,,?,,?,,?,,,,,,['Bio'],D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'arbouses""]",,,,,,,,,,,,,,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,210 g,,,,,,,,,,
473,Roasted peanuts garlic flavoured,9414143482356,['France'],[],[],?,569,2381 kj(569 kcal),"47,1",7,"5,1","5,1",0,"0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Baguette Avelan,0260133007226,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Organic Green Tea Pomegranate,0680275033110,['France'],[],[],?,?,,?,,?,,?,,,,,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,
476,???,5030101027687,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Crunchy bio,3700195100826,['France'],[],[],?,373,1561 kj(373 kcal),"7,8","1,1",65,21,"8,7","0,07","0,028",,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,The Elegant English Breakfast,5060229011565,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Pain complet,0260019009849,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Salame felino,8010153005151,['France'],[],[],?,385,1611 kj(385 kcal),"30,5","9,8","0,1","0,1","0,1","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Crème de châtaigne avec morceaux aux noisettes,3551120320068,['France'],[],[],?,202,845 kj(202 kcal),36,"0,4",38,"10,6","2,2","0,07","0,028",,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Thé vert parfumé green of London,2700809001137,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Pain chocolat,0204492017717,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Brioche Nanterre,3602826459467,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Kusmi Tea,3585810027852,['France'],[],[],?,?,,?,,?,,?,,,,,['Kusmi Tea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Sel Fin iodé - Cérébos - 125g,19735146,['France'],"['Sel', 'Iodure de sodium : 15 à 20 mg/kg ', 'exprimés en élément iodé', 'Anti-agglomérant : E 535']",[],?,0,0 kj(0 kcal),0,0,0,0,0,"98,2","39,28",,,['Cérébos'],,B,"['Epicerie', 'Condiments', 'Sels', 'Sels de table']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,98.2 g,en quantité élevée,,,-100%,-100%,-100%,-100%,-100%,-100%,+40%,+40%,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,125g,Sel de table,,,['E535 - Ferrocyanure de sodium'],2,,,,,
487,Baies de goji,0263005012144,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Filet mignon de porc,2209254005375,['France'],[],[],?,128,536 kj(128 kcal),4,"1,3",0,0,23,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Chocolat noir avec cerise,4740012034667,['France'],[],[],?,504,2109 kj(504 kcal),28,17,56,46,"6,1","0,01","0,004",,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Canistrelli clementine,3760082910082,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Bonbons miel et réglisse,3760109020183,['France'],[],[],?,39,163 kj(39 kcal),"0,5","0,5","97,6",76,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Pain graine et cereal,0204015008536,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Fri,0701197231856,['France'],[],[],?,103,431 kj(103 kcal),"1,7","1,4",25,23,"3,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Caramel au beurre salé,3760190850478,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,L extra tendre filet de poulet,2424503027292,['France'],[],[],?,95,397 kj(95 kcal),"0,6",0,"1,2",0,21,1,"0,4",,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",0.6 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,,-27%,-27%,-79%,-100%,+151%,-100%,-8%,+33%,+33%,0,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,
496,Huile vierge de tournesol,3760222470483,['France'],[],[],?,828,3464 kj(828 kcal),92,"9,6","0,5","0,5","0,5","0,01","0,004",,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,9526210336117,9526210336117,['France'],[],[],?,?,,?,,?,,?,,,,"['EMB 35168A', 'Maure-de-Bretagne (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Jus de pommes,3760033040066,['France'],[],[],?,43,180 kj(43 kcal),0,0,10,"9,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Nocciolata - Rigoni Di Asiago,8001505001235,['France'],[],[],?,530,2218 kj(530 kcal),30,6,53,51,7,"0,13","0,052",,,['Rigoni Di Asiago'],,D,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",30 g,en quantité élevée,6 g,en quantité élevée,51 g,en quantité élevée,0.13 g,en faible quantité,,-3%,-4%,-12%,-22%,+3%,+7%,+2%,+26%,+26%,21,+1%,E,+1%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,,,,,,,
500,0250770000698,0250770000698,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Sade sosis - Marmara - 400g,4012625452108,['France'],[],[],?,225,941 kj(225 kcal),"17,6","5,4","1,1","0,5","12,8","2,2","0,88",,,['Marmara'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400g,,,,,,,,,,
502,Queso 100% oveja,8436554212149,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,752,8714862211215,['France'],[],[],?,41,172 kj(41 kcal),"0,2","0,1","0,1","0,1","0,6",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Wienerli 114,2189890004959,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,"['Stück', 'Paar']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Dinkel Kürbis Knäcke - Sigdal,7071848007400,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,['Sigdal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Arandanos deshidratados -,8412054001353,"['France', 'Espagne']",[],[],?,328,1372 kj(328 kcal),1,"0,2",76,74,"0,5","0,03","0,012",,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",1 g,en faible quantité,0.2 g,en faible quantité,74 g,en quantité élevée,0.03 g,en faible quantité,,-3%,-3%,+42%,-19%,-5%,+12%,+79%,+31%,+31%,9,+25%,C,+25%,,,,,,,,,,,,,,,,,,
507,Melange cajun,3547402000391,['France'],[],[],?,292,1222 kj(292 kcal),"12,9","1,3","11,6","9,4","14,1","11,8","4,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Jambon de porc fondant et son jus aux champignons - Bigard,2222648036861,['France'],[],[],?,148,619 kj(148 kcal),"7,1","2,8","1,1","0,6",20,"1,3","0,52",,,['Bigard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,"Quenelles de brochet -  - 0,322kg",1200316005969,['France'],[],[],?,?,,?,,?,,?,,,"['Barquette', 'Plastique']",,,,,"['Plats préparés', 'Plats préparés au poisson', 'Quenelles', 'Quenelles de poisson', 'Quenelles de brochet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,322 kg",,,,,,,,,,
510,Barre hyperproteinees coco chocolat,3760049854077,['France'],[],[],?,338,1414 kj(338 kcal),"12,9","8,8","18,5","9,1",30,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Flageolets verts précuits,3760150670115,['France'],[],[],?,84,351 kj(84 kcal),"0,79","0,06","11,7","0,72","4,07","0,34","0,136",,,,['Sans additifs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Biscuits hyoerprotéunés,3760049856002,['France'],[],[],?,484,2025 kj(484 kcal),23,11,40,20,20,"0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Krunch Lakkrís + sea salt,5694110060662,['France'],[],[],?,554,2318 kj(554 kcal),34,20,55,44,6,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Sot l'y laisse,2600014029585,['France'],[],[],?,112,469 kj(112 kcal),"3,2","1,1",5,5,21,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Souris d’agneau confite - Tendre & plus - 1,2224658065732,['France'],[],[],?,?,,?,,?,,?,,,,,['Tendre & plus'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
516,Nos véritables pâtes fraîches - Saint Jean,3266140061012,['France'],[],[],?,284,1188 kj(284 kcal),"7,9","3,5",36,3,"9,5","1,5","0,6",,,['Saint Jean'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Seaweed thins,0855463005303,"['France', 'États-Unis']","['Sliced almonds*', 'sesame seeds*', 'dried seaweed*', 'cane sugar*', 'brown rice syrup*', 'tamari soy sauce* ', 'water', 'soybeans*', 'salt and alcohol*', 'spicy sweet chili seasoning powder* ', 'cane sugar*', 'dextrose*', 'spices*', 'yeast extract*', 'onion powder*', 'paprika* ', 'color', 'rice concentrate*', 'natural flavor', 'salt', 'flavor*', 'garlic powder*', 'corn starch*', 'maltodextrin*', 'sunflower oil*', 'water', 'sea salt', 'cayenne pepper*']",[],?,455,1904 kj(455 kcal),"31,82","1,82","31,82","13,64","27,27","1,478","0,591",,,,['en:gluten-free'],,['Snacks'],31.8 g,en quantité élevée,1.82 g,en quantité modérée,13.6 g,en quantité élevée,1.48 g,en quantité modérée,,+1%,+1%,+52%,-80%,-43%,-55%,+334%,+181%,+181%,10,-44%,C,-44%,,,,,,,,,,"['Graines de sésame', 'Soja']",GIMME,,4,,,,,
518,Filet de raurade royale ecaillee bio,2869738021972,['France'],[],[],?,?,,?,,?,,?,,,,"['FR 69.273.112 CE', 'Corbas (Rhône, France)']",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Osso Bucco De Veau,2424271036939,['France'],[],[],?,109,456 kj(109 kcal),2,"0,5","6,4","2,6",16,"0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Poitrine fumée,2350076001349,['France'],[],[],?,356,1490 kj(356 kcal),32,11,"0,5","0,5",17,"3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Free gum,6111199004992,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Pilons de poulet,0215358017840,['France'],[],[],?,?,,?,,?,,?,,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,
523,Céréales de campagne,3415760010669,['France'],[],[],?,371,1552 kj(371 kcal),"1,4","0,2",76,"4,5","11,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,LINDOR Matcha - Lindt,8003340096360,['France'],"['sugar', 'cocoa butter', 'vegetable fat ', 'coconut', 'palm kernel', 'whole milk powder', 'lactose ', 'from milk', 'green tea matcha powder ', '0', '79%', 'emulsifier ', 'soya lecithin', 'flavourings ', 'vanillin', ' May contain hazelnuts and other en tree nuts']","['Huile de palme', 'Non végétalien']",?,627,2623 kj(627 kcal),48,36,45,44,"3,7",0,0,,,"['Lindt', 'Lindor']",['Pur beurre de cacao'],,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",48 g,en quantité élevée,36 g,en quantité élevée,44 g,en quantité élevée,0 g,en faible quantité,,+19%,+19%,+50%,+107%,-14%,-7%,-37%,-100%,-100%,26,+7%,E,+7%,,,,,,,,,,"['Lait', 'Soja']",,['E322i - Lécithine'],4,,,,,
525,Saucisson d'Ardèche,2488529076481,['France'],[],[],?,400,1674 kj(400 kcal),"32,5","13,3","2,5","1,5",25,5,2,,"['FR 07.138.002 CE', 'Lavilledieu (Ardèche, France)']",,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Filet mignon de porc,2277680007348,['France'],[],[],?,117,490 kj(117 kcal),"3,6","1,4","0,5","0,5",21,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
