,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,traceability_code,brand,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,generic_name,allergens,brand_owner,additives,nova_score,markets,ingredients_origins,link,manufacturing,palm_ingredients
1250,Confiture pruneau armagnac - L'épicurien - 125g,3441260030913,['France'],[],[],?,?,,?,,?,,?,,,['pot en verre'],,"[""L'épicurien""]",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,,,,,,,,,,,,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,125 g,,,,,,,,,,
1251,Brown bread,5410683685602,"['Belgique', 'France']",[],[],?,254,1063 kj(254 kcal),"1,3","0,5",50,"0,9","8,2","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,
1252,4833913962136,4833913962136,['France'],[],[],?,?,,?,,?,,?,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,Marinade madras,3760177741737,['France'],[],[],?,?,,?,,?,,?,,,,"['EMB 37156D', 'Montlouis-sur-Loire (Indre-et-Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,2450725037412,2450725037412,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,Cabanossi - 150oz,0104311596068463,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 oz,,,,,,,,,,
1256,Palette fumée avec os,2450724062408,['France'],[],[],?,136,569 kj(136 kcal),"6,5","2,9","0,7","0,5","18,6","2,62","1,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,Friandises pomme,3583782607669,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,Baies de goji sec,0202300017324,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,Escalope de dinde - Le Gaulois,0217675016278,['France'],[],[],?,?,,?,,?,,?,,,,,['Le Gaulois'],,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,
1260,Aliment composé pour lapins nains,3180195110085,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,Halawa Plain,5285000870173,['France'],[],[],?,547,2289 kj(547 kcal),30,5,51,40,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,Curcumine nut ( complément alimentaires),3700498700341,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,Mimolette jeune,2888391016729,['France'],[],[],?,?,,?,,?,,?,,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes jeunes']",,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
1264,Jus de poire fermier - La cave normande - 1l,376000480590,['France'],['100% pur jus'],['Sans huile de palme'],?,?,,?,,?,,?,,,['Verre'],,['La cave normande'],,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de poire']",,,,,,,,,,,,,,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1 l,,,,,1,['La ferme coutancaise'],,,,
1265,Chewizz sour,8719189419269,['France'],[],[],?,348,1456 kj(348 kcal),"5,1","2,5",75,60,"0,75","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,"Thé Touareg, 7 parfums, Bali et Rooibos Paul & Virginie",3259920059262,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,Bruleur de graisses,3760007661396,['France'],[],[],?,1,4 kj(1 kcal),"0,1","0,1","0,1","0,1","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,Tannour Bran,5281013200150,['France'],[],[],?,310,1297 kj(310 kcal),1,0,62,3,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,"Sucre pour barbe à papa, arôme fraise - Patrelle",3215470512510,['France'],[],[],?,?,,?,,?,,?,,,,,['Patrelle'],,B,"['Édulcorants', 'Sucres', 'Sucres pour barbes à papa']",,,,,,,,,,,,,,,,,,,,,,,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,,,,,,,
1270,Moelleux Au Chocolat X5,3760061497030,['France'],[],[],?,502,2100 kj(502 kcal),32,14,46,34,"6,7",0,0,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",D,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Moelleux au chocolat']",32 g,en quantité élevée,14 g,en quantité élevée,34 g,en quantité élevée,0 g,en faible quantité,,+18%,+19%,+30%,+44%,+7%,+8%,+10%,-100%,-100%,23,+19%,E,+19%,83.9%,9.8%,1.9%,2.9%,1.1%,0.3%,36,,,,,,,,,,,
1271,Bull dog sauce,49753240,['France'],[],[],?,124,519 kj(124 kcal),"0,1",0,"30,3","25,4","0,1","5,4","2,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,Les decoupes de poulet,2487378022304,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,Freya,5411087004297,['France'],[],[],?,42,176 kj(42 kcal),"0,5","0,1",10,"9,8","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,Petits Coeurs Lait Châtaigne 250g - Medicis - 250g,3340390006242,['France'],[],[],?,464,1941 kj(464 kcal),"15,6","9,2","77,3","71,4","3,56","0,067","0,027",,,['Medicis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,
1275,Spirelli mit Hirse - Rapunzel - 500g,4006040155065,['France'],[],[],?,364,1523 kj(364 kcal),"2,2","0,6",73,"4,9",12,"0,01","0,004",,,['Rapunzel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,
1276,Sandwich triangle filet de dinde,5425016572191,['France'],[],[],?,208,870 kj(208 kcal),"8,4","1,7","26,1","3,2","7,8",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,Wheat,5014908003297,['France'],[],[],?,419,1753 kj(419 kcal),"14,2",2,"58,7","2,1","13,8","3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,Sirop d'orgeat,3242611102064,['France'],[],[],?,344,1439 kj(344 kcal),0,0,86,11,0,0,0,,,,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', ""Sirops d'orgeat""]",,,,,,,,,,+27%,+25%,-100%,-100%,+30%,-83%,-100%,-100%,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,
1279,Jambon cuit choix,0206938016209,['France'],[],[],?,106,444 kj(106 kcal),"2,8",1,"1,1","1,1",19,"2,8","1,12",,"['FR 69.027.063 CE', 'Brignais (Rhône, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,Pain aux cereales,0207013011157,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,Saucisson à cuire superieur,0206556028400,['France'],[],[],?,251,1050 kj(251 kcal),"19,8","7,8","0,9","0,7","17,1","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,Montpeyroux,3514123111071,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,Canard roti aux pruneaux et à l'armagnac - Saveur d'Auge,3454740006322,['France'],[],[],?,111,464 kj(111 kcal),"4,5","1,2","4,1","0,5",11,"1,1","0,44",,,"[""Saveur d'Auge""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,PATE A TARTINER DU CORDONNIER,3566560000111,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,Multivitamin,4059700301296,['France'],[],[],?,25,105 kj(25 kcal),"0,1","0,1","5,2","5,1","0,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286,cornichons,3217450006484,['France'],[],[],?,?,,?,,?,,?,,,,"['EMB 41023B', 'Bourré (Loir-et-Cher, France)']",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,Ananas au Rhum et à la vanille,3608580967552,['France'],[],[],?,220,920 kj(220 kcal),"0,1",0,54,54,"0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,Millepertuis biologique,3700195606229,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,Carte choco bougies 100% MB UTZ,2001085106203,['France'],[],[],?,545,2280 kj(545 kcal),"32,4","19,5","55,6","54,6","6,2","0,17","0,068",,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,Noix de Savoie,2309613005708,['France'],[],[],?,196,820 kj(196 kcal),"9,1","3,3","1,8","0,3","26,6","6,08","2,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,Filets de truite,0208038033858,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
