,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,labels,allergens,generic_name,packaging,categories,manufacturing,link,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,traceability_code,palm_ingredients,brand_owner
20,Sauce tomate et olive - Polli,8001310163050,['Polli'],['France'],[],[],?,279,1167 kj(279 kcal),?,"3,2",?,"7,7","1,4","2,87","1,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Cipolle Borettane Aromatizzate con - Polli - 300g,8001310193118,['Polli'],"['France', 'Suisse']","['Oignons borettane', 'eau', '""vinaigre balsamique de modène igp"" 10% [vinaigre de vin ', 'contient des sulfites', 'moût de raisin concentré', 'colorant: e150]', 'vinaigre de vin ', 'contient des sulfites', 'sucre', 'sel', ""huile d'olive"", ' ', 'allergènes en gras']",[],223,?,223 kj(53 kcal),"0,8","0,2","9,5",8,"0,6","1,76","0,704",300 g,"['en:gluten-free', 'IGP']",['Anhydride sulfureux et sulfites'],,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E150 - Caramel'],,,,
22,Stuffer Vivita Fiocchi Di Latte - Vivitz,8001344012546,['Vivitz'],['France'],['Lait caillé / fermant lactique'],['Non végétalien'],?,78,326 kj(78 kcal),0,0,5,5,14,"0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Eau Fontalba Naturale,8001346012186,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Orzo solubile - Carrefour Bio - 120g,8001350020535,['Carrefour Bio'],"['France', 'Italie']",[],[],?,362,1515 kj(362 kcal),"0,49","0,09",79,"0,49","6,5","0,13","0,052",120g,['Bio'],,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons instantanées', 'Orge soluble']",,,['Carrefour'],,0.49 g,en faible quantité,0.09 g,en faible quantité,0.49 g,en faible quantité,0.13 g,en faible quantité,,+38%,+32%,-87%,-96%,+62%,-99%,+12%,-58%,-58%,,,,,,,,,,,,,,,,,
25,Ravioli,8001353989457,,['France'],[],[],?,248,1038 kj(248 kcal),"8,5","2,9","32,9","1,2","9,1",1,"0,4",,,,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli']",,,,,8.5 g,en quantité modérée,2.9 g,en quantité modérée,1.2 g,en faible quantité,1 g,en quantité modérée,,+34%,+34%,+58%,+41%,+32%,-55%,+22%,+1%,+1%,4,-2%,C,-2%,,,,,,,,,,,,,
26,Olive verdi giganti in salamoia - La Vangadizza - 980g,8001364339098,['La Vangadizza'],"['France', 'Italie']",['ingredienti: olive verdi acqua correttore di acidità: acido latticoantiossidante:acido L-ascorbico'],[],?,119,498 kj(119 kcal),"11,7","1,7","1,1","0,9","1,2","3,5","1,4",980 g,,,,['Vetro'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives vertes en saumure']",,,,,11.7 g,en quantité modérée,1.7 g,en quantité modérée,0.9 g,en faible quantité,3.5 g,en quantité élevée,,-22%,-21%,-24%,-30%,-25%,+521%,+4%,-4%,-4%,12,+6%,D,+6%,B,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,
27,Grissini Fagolosi Rosmar. 12gx,8001405017114,['Fagolosi'],['France'],"['FARINE DE BLÉ', ""HUILE D'OLIVE VIERGE EXTRA LEVURE"", 'SEL IODÉ ', 'SEL IODATE DEPOTASSlUMomz%', ' ROMARIN 0,996', 'FARINE DE BLÉ MALTÉ', 'EXTRAIT DE MALT NATURELS PEUT CONTENIR DES TRACES DE SÉSAME', 'SOJA', ' NE PAS EXPOSER À DES SOURCES DE CHALEUR À CONSERVER DANS UN ENDROIT FRAIS ETSEC PRODUIT EN ITALIE']",[],?,414,1732 kj(414 kcal),"9,8","1,7",69,"1,7",11,"2,5",1,,,"['Gluten', 'Graines de sésame', 'Soja']",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,,,9.8 g,en quantité modérée,1.7 g,en quantité modérée,1.7 g,en faible quantité,2.5 g,en quantité élevée,,-2%,-2%,-9%,-25%,+3%,-32%,-4%,+32%,+32%,13,+2%,D,+2%,B,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,
28,Risotto - Gallo - 500g,8001420001327,['Gallo'],"['France', 'Royaume-Uni']",['ARBORIO LONG GRAIN RICE FOR RISOTTO'],[],?,348,1456 kj(348 kcal),"0,7","0,2","78,3","0,2","6,8",0,0,500g,,,Long grain rice for risotto,['Carton'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Plats préparés', 'Céréales en grains', 'Plats à base de riz', 'Riz', 'Risottos']",,,,,0.7 g,en faible quantité,0.2 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,,+55%,+60%,-83%,-89%,+115%,-87%,+14%,-100%,-100%,0,-100%,B,-100%,C,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,
29,Riz Basmati - Gallo - 500g,8001420002744,['Gallo'],"['France', 'Italie']",['Riz Long Grain Basmati'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1508,355,1508 kj(355 kcal),"0,6","0,2","78,4","0,1","8,6","0,003","0,001",500 g,,,Riz Basmati,['Carton'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",,,['Carrefour'],1,0.6 g,en faible quantité,0.2 g,en faible quantité,0.1 g,en faible quantité,0.00254 g,en faible quantité,+8%,+8%,+8%,-42%,-17%,+10%,-59%,+14%,-93%,-93%,-1,,A,,B,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,
