,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,labels,allergens,generic_name,packaging,categories,manufacturing,link,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,traceability_code,palm_ingredients,brand_owner
1087,Tomato Paste,80023609,,['France'],[],[],?,139,582 kj(139 kcal),"4,7","0,7",20,12,"3,1","1,3","0,52",,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Concentrés de tomates']",,,,,4.7 g,en quantité modérée,0.7 g,en faible quantité,12 g,en quantité modérée,1.3 g,en quantité modérée,,+49%,+50%,+644%,+474%,+31%,-14%,-31%,+60%,+60%,2,,B,,B,23.6%,38.4%,18.3%,11.0%,8.7%,0.0%,96,,,,,
1088,Tiguillio Pesto Genovese - Star,80024347,['Star'],['France'],"['Huile olive ', '1,5%', 'huile de tournesol ', '34%', 'basilic ', '29%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,428,1791 kj(428 kcal),41,"6,9","8,7","5,1","5,4","3,45","1,38",,,,,,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,,,3,41 g,en quantité élevée,6.9 g,en quantité élevée,5.1 g,en quantité modérée,3.45 g,en quantité élevée,,-5%,-4%,-7%,+6%,+47%,+123%,+14%,+40%,+40%,21,+8%,E,+8%,C,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,
1089,Beurre - 125g,80025351,,['France'],[],[],?,755,3159 kj(755 kcal),83,49,"1,1","1,1","0,8","0,01","0,004",125 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Gocciolotti - Balocco,80028024,['Balocco'],['France'],[],['Sans huile de palme'],?,477,1996 kj(477 kcal),20,"6,1",66,23,"6,7","0,56","0,224",,['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Sugo alle olive - Creazioni d'italia - 400g,80037385,"[""Creazioni d'italia""]","['France', 'Suisse']","['pulpe de tomates 65%', 'olives vertes 9%', 'concentré d tomate', 'olives noires 5', '5%', 'oignons', ""huile d'olive"", 'sucre', 'sel', 'câpres', 'vin blanc', 'ail', 'persil', 'origan']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",290,?,290 kj(69 kcal),"4,5",1,"5,4","4,9","1,2","1,4","0,56",400 g,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Tonno all’ Olio di Olivia con LIMONE e PEPE NERO - RIO mare,80040361,['RIO mare'],['France'],"[""IONNo ALL'0Llo Dl OLIVA CON SUCCO NUTRIZIONALI MEDI PER 100g kJ""]",[],?,410,1715 kj(410 kcal),38,"6,2","0,1",0,17,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Bio Misto Passione - Noberasco,80048176,['Noberasco'],['France'],[],[],?,502,2100 kj(502 kcal),29,"2,4",48,36,"8,6","0,25","0,1",,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'IT-BIO-007']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Bio Misto Vitalita' - Noberasco,80048190,['Noberasco'],['France'],"['BIO MISTO VITALIT ito di frutta secca ed essicc ', 'dienti: ciliegie*', 'semi di zucca sgusciati• tilli rossi americani zuccherati ', 'cranberrie lftillli 80%', 'zucchero di cannais olio di sem di MANDORLE - agricoltura biologica', ' labri nutrizlonall modl por 100g dl prodotto 1982 kJ/']",[],?,474,1983 kj(474 kcal),23,"3,2",51,39,13,"0,03","0,012",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Pastille aromatisées à l'orange - Tic Tac - 18g,80050223,['Tic Tac'],['France'],"['sucre', 'maltodextrine', 'acidifiant ', 'acide tartrique', 'amidon de riz', 'arôme', 'épaississant ', 'gomme arabique', 'antioxygène ', 'acide ascorbique', ""agent d'enrobage "", 'cire de carnauba']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1685,397,1685 kj(397 kcal),"0,6",,"96,7",,"0,2",,,18 g,,,Pastille aromatisées à l'orange,['Boîtes'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,http://www.ferrero.fr/tic-tac,,4,0.6 g,en faible quantité,,,,,,,+9%,+12%,+12%,-68%,,+16%,,-91%,,,,,,,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['E334 - Acide L-tartrique', ""E414 - Gomme d'acacia"", 'E300 - Acide ascorbique', 'E903 - Cire de carnauba']",,,,
1096,Nutella - Ferrero - 30g e,80051657,"['Ferrero', 'Nutella']",['France'],"['Sucre', 'huile végétale', 'noisettes 13 %', 'cacao maigre 7,4 %', 'lait écrémé en poudre 6,6 %', 'lactosérum en poudre', 'émulsifiants : lécithines ', 'soja', 'vanilline']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",2278,?,2278 kj(544 kcal),"31,6",11,"57,6","56,8",6,"0,114","0,046",30 g e,['Point Vert'],"['Lait', 'Fruits à coque', 'Soja']",Pâte à tartiner aux noisettes et au cacao,['Plastique'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",,,,4,31.6 g,en quantité élevée,11 g,en quantité élevée,56.8 g,en quantité élevée,0.114 g,en faible quantité,+0%,,-1%,-7%,+43%,+12%,+19%,-12%,+11%,+11%,26,+26%,E,+26%,D,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,['E322 - Lécithines'],,,,
1097,Elledi Plaisir Dark- Fondente Wafer,80073857,,['France'],[],[],?,537,2247 kj(537 kcal),"31,2","20,2","56,3","42,9","5,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Lemon juice from sicily,80080305,,['France'],[],[],?,27,113 kj(27 kcal),"0,03",0,2,2,"0,4","0,01","0,004",,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",,,,,0.03 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0.01 g,en faible quantité,,0%,+1%,-79%,-100%,-44%,+20%,+19%,+11%,+11%,-4,,B,,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,
1099,Olive giganti farcite,80082330,,['France'],[],[],?,132,552 kj(132 kcal),12,"1,9","4,2",0,1,"2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Torrone nurzia,80084358,,['France'],[],[],?,495,2071 kj(495 kcal),25,6,61,20,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Sterilgarda Succo Albicocca Brik 3X 200ML,80094838,,['France'],[],[],?,62,259 kj(62 kcal),0,0,15,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,È mandorla 104%,8010024006003,,['France'],[],[],?,603,2523 kj(603 kcal),55,"3,8",5,0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Ceci fritti,8010036001638,,['France'],[],[],?,481,2013 kj(481 kcal),23,"3,5",43,"3,4",19,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Aperitif Chinotto 6x180ml Flasche Stappj,8010076008048,,['France'],[],[],?,48,201 kj(48 kcal),0,0,"11,7","11,4",0,"0,012","0,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Nougat,8010121042621,,['France'],[],[],?,475,1987 kj(475 kcal),"18,5","1,5",77,74,"4,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Olive Verdi Dolci - XX,8010146002334,['XX'],['France'],"['OLIVE VERDI DOLCI Ingredlentes Ingrédients : olives', 'eau', ""sel antioxydant : E300  Regulateur d'aciditè : E270 antioxydant : E330 Poids Net: 460 g  Poids égouté : 260g L"", ""201-280717 zoo natrlolonaloo onorola modla ot do l'inoralo moyenno nutrltlosA Pop de produit 1009 do produoto I Pour 1009""]",[],?,167,699 kj(167 kcal),17,"2,9",2,1,"1,2",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E300 - Acide ascorbique', 'E270 - Acide lactique', 'E330 - Acide citrique']",,,,
1107,Jambon Cru LS,8010153000378,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,Jambon Culatello,8010153005168,,['France'],[],[],?,287,1201 kj(287 kcal),7,"2,53","0,5","0,25",30,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,Mortadelle,8010153005182,,['France'],[],[],?,306,1280 kj(306 kcal),27,10,"1,5","1,3",14,2,"0,8",,,,,,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Mortadelle']",,,,,27 g,en quantité élevée,10 g,en quantité élevée,1.3 g,en faible quantité,2 g,en quantité élevée,,+9%,+10%,+13%,+15%,+59%,+156%,-4%,-13%,-13%,20,-0%,E,-0%,E,73.5%,18.1%,3.9%,1.2%,0.7%,2.6%,24,,,,,
1110,Prosciutto cotto,8010153005236,,['France'],[],[],?,162,678 kj(162 kcal),8,"2,89","1,5","0,5",21,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Salame Milano - Castelli Piétro - 100g,8010153005304,['Castelli Piétro'],['France'],[],[],?,339,1418 kj(339 kcal),28,10,"0,8",0,21,4,"1,6",100 g,['Conditionné sous atmosphère protectrice'],,Salami n tranches,,"['Viandes', 'Charcuteries', 'Saucissons', 'Salamis', 'Salami de porc']",,,['Super U'],,28 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,4 g,en quantité élevée,,-12%,-12%,-14%,-23%,-48%,-100%,+3%,+6%,+6%,23,-3%,E,-3%,D,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,['IT 412 L CE'],,
1112,Jambon cuit aux herbes - antique cantina luppi - 100g,8010153007919,['antique cantina luppi'],['France'],"['VIANDE DE PORC', 'SEL', 'DEX1E0SE', 'EPICES ET HERBES AROMATIQUE', 'AROMES', 'ANTIOXYDANT: E316', 'CONSERVATEUR: E250 Déclaration Nutritionelle 100 g: Valeur énérgétique 487 k', ',']","['Non végétalien', 'Non végétarien']",?,117,490 kj(117 kcal),"4,5",2,1,"0,7",18,2,"0,8",100g,,,,['sous blister'],,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,
1113,Penne Ai Funghi -  - 175g,8010205003562,,"['Danemark', 'France']",[],[],?,386,1615 kj(386 kcal),6,"0,9",67,"8,9",12,"2,4","0,96",175g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Firma Italia Risotto Alla Milanese (175g Beutel),8010205004224,['FIRMA'],['France'],"['DE LA PREPARATION DESHYDRATEE: RIZ LACTOSÉ HUILE DE TOURNES0L EN POUDRE ', 'HUILE DE TOURNESOL', ' SIROP DE GLUCOSE DE SEL', 'FECULE DE POMMES DE TERRE', ' PROTEINES VEGETALES HYOR0tYSEESi EXHAUSTEUR DE GOUT: GLUTAMATE MONOSODIQUE', ' OIGNON', 'DE LEVURE', 'AROMES', 'SAFRAN', ' CONTIENT', ' LAIT', ' CONTENIR TRACES DE BLES CÉLERI OEUFS']",['Non végétalien'],?,372,1556 kj(372 kcal),"4,1","0,5",75,"6,1","8,2","2,85","1,14",,,"['Céleri', 'Œufs', 'Gluten', 'Lait']",,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,,,
1115,"Risotti Agli Asparagi G 175, Sacchetto -",8010205004248,,['France'],"['INGREDIENTS DE LA PREPARATION DESHYDRATEE: RIZ 79%', 'LACTOSE', 'HUILE DE TOURNESOL EN POUDRE ', 'HUILE DE TOURNESOL', 'SIROP DE GLUCOSE', 'PROTEINES DE LAIT', 'ASPERGES DÉSHYDRATÉES ET LYOPHILISÉES 3%', 'SEL', 'FÉCULE DE POMMES DE TERRE', 'PROTÉINES VÉGÉTALES HYDROLYSÉES', 'OIGNON', 'EXHAUSTEUR DE GOÛT : GLUTAMATE MONOSODIQUE', 'EXTRAIT DE LEVURE', 'ARÔMES', 'AILPEUT CONTENIR TRACES DE BLE']",['Non végétalien'],?,372,1556 kj(372 kcal),"4,6","0,5",73,"6,8","8,8","2,9","1,16",,,['Lait'],,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,,,
1116,Parmesaanirisotto - Firma,8010205004262,['Firma'],['France'],"['DE LA PREPARATION FROMAGE FONDU EN POUDRE ', 'FROMAGE', 'LACTOSERUM', ' SEL', ' S: 3', 'HUILE DE PALME EN POUDRE ', 'HUILE DE PALME', 'SIROP DE GLUCOSE', ' PROTEINES DE LAIT', 'LACTOSE', ' SEL', ' FECULE DE POMMES DE TERRE', ' PROTEINES VEGETAIES LYSEES', 'EXHAUSTEUR DE GOUT: GLUTAMATE MONOSODIQUE', ' DE AROMES', 'OIGNON', ' CONTIENT: LAT', ' PEUT CONTENIR TRACES', ' DE GLUTEN', 'CELERI ET OEUFS']","['Huile de palme', 'Non végétalien']",?,376,1573 kj(376 kcal),"5,5",3,72,"6,1","9,4","3,2","1,28",,,['Lait'],,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,,['Huile de palme'],
1117,Risotto - Firma Italia,8010205004279,['Firma Italia'],['France'],"['RIZ 79%', 'HUILE DE PALME EN POUDRE ', 'HUILE DE PALME', ' SIROP DE GLUCOSE', ' PROTEINES DE LAIT', ' LACTOSE', ' ASPERGES DESHYDRAIES ET LYOPHlLlSES FECULE DE POMME DE TERRE', 'PROTEINES VEGETALES HYOROLYSEES EXHAUSTEUR DE GOÛT: GLUTAMATE MONOSODIQUE', 'OIGNON EXTRAIT DE LEVURE', ' ET OEUfS']","['Huile de palme', 'Non végétalien']",?,372,1556 kj(372 kcal),"4,9","2,5",73,"5,5","8,5",3,"1,2",,,"['Œufs', 'Lait']",,,"['Plats préparés', 'Plats à base de riz', 'Risottos']",,,,4,4.9 g,en quantité modérée,2.5 g,en quantité modérée,5.5 g,en quantité modérée,3 g,en quantité élevée,,+65%,+71%,+21%,+40%,+100%,+259%,+42%,+225%,+225%,17,+270%,D,+270%,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,,['Huile de palme'],
1118,Crème de marrons - Les délices de mélya - 350g,8010253003743,['Les délices de mélya'],['France'],[],[],?,?,,?,,?,,?,,,350g,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']",,,,,,,,,,,,,,,,,,,,,,,,,,,C,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,,,,,
1119,Coco pops - Kellogg's - 375g,8010265644309,"[""Kellogg's""]","['France', 'Italie']",[],[],?,387,1619 kj(387 kcal),"2,5",1,84,30,"5,5","0,75","0,3",375 g,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Cer. kellogg S Barchette - Kelloggs,8010265648000,['Kelloggs'],['France'],"['LA NOSTRA RICETTA INGREDIENTI: Farina di frumento ', '66%', 'cioccolato in polvere ', '28%', ' ', 'zucchero', 'cacao in polvere', 'zucchero', 'sciroppo di glucosio', 'sale', 'cannella', 'aroma', 'vitamine ', 'niacina', 'B6', 'B2', 'BI', 'acido folico', 'D', 'B12', 'minerali ', 'carbonato di calcio e ferro', ' Per gli allergeni vedi ingredienti in grassetto', ' 12 porzioni da']",[],?,381,1594 kj(381 kcal),"2,5",1,78,29,9,"0,78","0,312",,['Sans colorants'],['Gluten'],,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E101 - Riboflavine'],,,,
1121,"""FI"", Marrons glacés  - ITAL Canditi - 240g (12unités)",8010375032409,['ITAL Canditi'],"['France', 'Suisse']","['MARRON5', 'SUCRE', 'SIROP DE GLUCOSE-FRUCTOSE', 'AROME NATUREL DE VANILLE']",[],1375,?,1375 kj(329 kcal),"0,8","0,5",76,56,"0,8","0,05","0,02",240 g (12 unités),"['Point Vert', 'Fabriqué en Italie']",,Marrons glacés entiers,"['Protection film plastique', 'Boite carton', 'Sachet fraicheur olastique luminisé', 'barquette et coque plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Marrons glacés', 'C onfisseries de fruits à bogues', 'Marrons glacés entiers']","['PEDRANGO', 'Italie']",,['Camelot la Plaine'],4,0.8 g,en faible quantité,0.5 g,en faible quantité,56 g,en quantité élevée,0.05 g,en faible quantité,+2%,,+3%,-10%,+221%,+2%,+11%,-22%,+34%,+34%,9,-24%,C,-24%,,,,,,,,,,,,,
1122,18 Marrons Glacés - Italcanditi,8010375110046,['Italcanditi'],['France'],"['Marrons', 'sucre', 'sirop de glucose-fructose de blé', 'conservateur: anhydridesulfureux', 'arôme naturel de vanille', ' Fabriqué et conditionné en Italie par Italcanditi S', 'P', 'A', ' Pedrengo CBG', "" Craint la chaleur et l'humidité""]",[],?,325,1360 kj(325 kcal),"0,8","0,1",76,56,"0,8","0,05","0,02",,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Marrons glacés']",,,,4,0.8 g,en faible quantité,0.1 g,en faible quantité,56 g,en quantité élevée,0.05 g,en faible quantité,,+3%,+2%,-10%,-36%,+2%,+11%,-22%,+34%,+34%,9,-24%,C,-24%,,,,,,,,,,,,,
1123,Castellino Gemarineerde Stukjes Artisjokken,8010503120183,['Castellino'],['France'],[],[],?,143,598 kj(143 kcal),"8,1","0,8","10,3","2,5","3,2","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Boule mozza,8010558104985,,['France'],[],[],?,213,891 kj(213 kcal),"15,5","10,6","15,5","0,3",18,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Ricotta 250 G,8010558111129,,['France'],[],[],?,156,653 kj(156 kcal),12,"8,2",3,3,9,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Parmigiano Reggiano - Râpé Frais - Parmareggio - 60g,8010721001209,['Parmareggio'],['France'],"['Lait', 'sel', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1633,392,1633 kj(392 kcal),28,19,0,0,33,"1,6","0,64",60 g,['AOP'],['Lait'],Fromage à pâte dure rapée,"['Plastique', 'Sachet', 'Frais']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages râpés', 'Parmigiano Reggiano', 'Parmigino Reggiano']",['Italie'],,,3,28 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,-2%,-2%,-2%,-6%,-4%,-100%,,+2%,0%,0%,16,-4%,D,-4%,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,
1127,Parmareggio Parmigiano Reggiano,8010721002049,,['France'],[],[],?,402,1682 kj(402 kcal),33,0,0,0,32,"1,6","0,64",,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,,,,33 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,1.6 g,en quantité élevée,,+0%,+1%,+11%,-100%,-100%,,-1%,0%,0%,7,-58%,C,-58%,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,
1128,Confiture de fraises et fraises des bois,8010795050021,,['France'],[],[],?,184,770 kj(184 kcal),"0,5","0,1",43,43,"0,6","0,01","0,004",,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,43 g,en quantité élevée,0.01 g,en faible quantité,,-15%,-16%,+107%,+122%,-19%,-15%,+35%,-56%,-56%,6,-31%,C,-31%,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,
1129,Ricciarelli di siena i.g.p. - Masoni - 240g,8010826002012,['Masoni'],"['France', 'Italie']","['zucchero', 'mandorle ', '43%', ""albume d'uovo"", 'sciroppo di glucosio', 'aromi', 'miele', ""polvere lievitante: bicarbonato d'ammonio"", 'conservante: acido sorbico', ' Può contenere tracce di altra frutta a guscio', 'farina', 'lecitina', 'latte e uova']",[],?,460,1925 kj(460 kcal),"23,2","1,9","48,8",40,"11,9","0,81","0,324",240 g,['IGP'],,Ricciarelli di siena i.g.p.,,,,,['PAM'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Italie', 'Toscana']",,,
1130,Pecorino Romano DOP -,8010861003678,,"['Estonie', 'France']",[],[],?,392,1640 kj(392 kcal),32,"18,2","0,001","0,001",26,5,2,,['AOP'],,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages de brebis', 'Pecorino', 'Pecorino Romano']",,,,,32 g,en quantité élevée,18.2 g,en quantité élevée,0.001 g,en faible quantité,5 g,en quantité élevée,,-1%,-1%,-1%,-5%,-98%,-99%,0%,+6%,+6%,19,-1%,E,-1%,D,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,['IT 20-24 CE'],,
1131,Tomates hachées - KGN - 400g (240g égoutté),8010869003076,['KGN'],['France'],"['Tomates ', '60%', 'jus de tomate', ""correcteur d'acidité : acide citrique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",90,?,90 kj(22 kcal),"0,1",0,4,4,1,"0,023","0,009",400 g (240 g égoutté),,,,['Conserve'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve']",,,,1,0.1 g,en faible quantité,0 g,en faible quantité,4 g,en faible quantité,0.0229 g,en faible quantité,-29%,,-27%,-67%,-100%,-8%,+9%,-25%,-91%,-91%,-5,,A,,A,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,['E330 - Acide citrique'],,,,
1132,Grissini con tartufo -,8010939000943,,['France'],[],[],?,403,1686 kj(403 kcal),10,"1,5",64,"3,6",11,2,"0,8",,['Sans conservateurs'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,,,10 g,en quantité modérée,1.5 g,en quantité modérée,3.6 g,en faible quantité,2 g,en quantité élevée,,-4%,-4%,-7%,-34%,-4%,+44%,-4%,+5%,+5%,14,+9%,D,+9%,B,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,
1133,Salade de la mer - Bluver - 500g,8011019016151,['Bluver'],"['Union européenne', 'France']",[],[],?,355,1485 kj(355 kcal),"34,7","4,1","0,6","0,45","10,6","0,2","0,08",500g,,,Salade de la mer,['pot plastique'],['Marinade de la mer'],['Italie'],http://www.bluversas.com,,,34.7 g,en quantité élevée,4.1 g,en quantité modérée,0.45 g,en faible quantité,0.2 g,en faible quantité,,,,,,,,,,,3,,C,,,,,,,,,,,,['IT 3034 CE'],,
1134,Couscous - Bia - 1kg,8011033010104,['Bia'],"['France', 'Allemagne']","['Semoule de blé dur', 'eau,']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,354,1481 kj(354 kcal),"1,9","0,44",70,"2,3",12,0,0,1kg,['Halal'],['Gluten'],,['Pappe'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales', 'Semoules de blé', 'Semoules de blé dur', 'Semoules de blé dur pour couscous']",,,,1,1.9 g,en faible quantité,0.44 g,en faible quantité,2.3 g,en faible quantité,0 g,en faible quantité,,-1%,-1%,-5%,+15%,0%,-14%,-2%,-100%,-100%,-5,,A,,B,69.1%,16.2%,7.3%,3.3%,4.1%,0.0%,80,,,,,
1135,Couscous d'épeautre - Biovita - 500g,8011033162506,['Biovita'],['France'],"[""FARINE d'épeautre""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,349,1460 kj(349 kcal),"2,6","0,6",64,"2,5",14,0,0,500g,"['Bio', 'Contient du gluten']",['Gluten'],,['Carton'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales']",,,,1,2.6 g,en faible quantité,0.6 g,en faible quantité,2.5 g,en faible quantité,0 g,en faible quantité,,+1%,0%,+34%,+73%,-8%,+9%,+28%,-100%,-100%,-6,,A,,,,,,,,,,,,,,
