,name,bar_code,quantity,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,packaging,categories,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,labels,palm_ingredients,manufacturing,traceability_code,ingredients_origins,link,brand_owner
277,"NaturNes Petits Légumes, Colin d'Alaska - Nestlé - 400g (2x200g)",7613035045880,400g (2x200g),['Nestlé'],"['Carrefour Market', 'Magasins U']",['France'],"['Légumes 55,5% ', 'Carottes 29%', 'Purée de pommes de terre reconstituée 11,5%', 'Petits pois 6%', 'Purée de haricots verts 5%', 'Oignons 4%', 'Eau de cuisson', 'Lait écrémé reconstitué 10%', ""Colin d'Alaska 9%"", 'Semoule de riz', 'Huiles végétales ', 'huile de colza', ""d'olive"", 'de tournesol']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",3,248,?,248 kj(59 kcal),"2,1","0,2","6,7","2,1","2,6","0,09","0,036",,Aliment pour bébés.,"['Carton', 'Plastique']","['Aliments pour bébé', 'Plats principaux pour bébé', 'Dès 6 mois', 'Petits pots pour bébé']",,,,,,,,,,+7%,,+8%,+46%,-35%,-9%,-5%,+34%,-14%,-14%,,,,,,,,,,,,['Poisson'],"['Peu ou pas de sel', 'Sans sel ajouté', 'Pêche durable']",,['France'],,,,
278,Glaces macaron caramel/pointe de sel Extrême - Nestlé,7613035058859,,['Nestlé'],,['France'],"['lait écrémé réhydraté', 'sucre', 'eau', 'huiles végétales ', 'coco', 'palme', 'sirop de glucose', 'farine de blé', 'lactose et protéines de lait/ caramel ', '1,5%', 'sucre', 'eau', 'cacao maigre', 'lait concentré sucré ', 'lait', 'sucre', 'amandes ', '0,5%', 'émulsifiants ', 'lécithines ', 'soja', ""mono - et diglycérides d'acides gras*"", 'colorant ', 'caramel ordinaire', 'beurre', ""blanc d'œuf"", 'stabilisants ', 'farine de graines de caroube', 'gomme guar', 'pectines', 'carraghénanes', 'E407a', 'sel', 'arôme naturel', ""arôme naturel d'amande"", ' Peut contenir : autres fruits à coque', "" *d'origine végétale""]","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,288,1205 kj(288 kcal),"13,2","8,7","38,6","26,3",3,"0,28","0,112",,,,,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E150a - Caramel E150a', 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,['Huile de palme'],,,,,
279,Fond de veau dégraissé - Maggi - 68g,7613035067554,68 g,['Maggi'],,['France'],"['Bouillon de viande 64% ', 'eau', 'sel', 'sucre', 'jus de légumes à base de concentrés : tomate', 'oignon', 'poireau', 'extrait de levure', 'sucre caramélisé', 'viande de veau séchée 2,3%', 'jus de cuisson de viande de bœuf', 'poivre', 'ail', 'extraits de vin blanc et de vinaigre', 'fécule de pomme de terre', 'maltodextrine', 'arômes', 'huile de tournesol', 'épaississant : gomme xanthane', 'émulsifiant : E471']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,857,?,857 kj(205 kcal),"2,1","0,5","40,2","8,4","5,6","12,4","4,96",,Base culinaire fondante en capsules pour cuisson et sauces,"['Carton', 'Plastique']","['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Sauces', 'Bouillons', 'Sauces déshydratées', 'Bouillons liquides']","['E415 - Gomme xanthane', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,,,,,,,,+564%,+169%,+255%,+1089%,+513%,+276%,+216%,+216%,,,,,,,,,,,,,"['Fabriqué en France', 'Sans conservateurs']",,,,,,
280,Cereales chocapic 3 x,7613035085435,,['Chocapic'],,['France'],[],[],,?,386,1615 kj(386 kcal),"4,5","1,3","74,6","28,8","8,1","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Cailler perle noire - Nestlé - 50g,7613035087033,50 g,['Nestlé'],,"['France', 'Suisse']","['Pâte de cacao', 'sucre', 'beurre fondu', 'beurre de cacao', 'noisettes', 'émulsifiant ', 'lécithine de tournesol', 'extrait de vanille', ' Peut contenir des œufs', 'lait', 'gluten et autres fruits à coque', ' Cacao: 46% minimum']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,2582,?,2582 kj(617 kcal),"49,1","28,9","35,7","32,9","5,1","0,01","0,004",,,,,['E322i - Lécithine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],"['Agriculture durable', 'en:UTZ Certified']",,,,,,
282,"Magic Asia, Noodle Cup Chicken - Maggi - 65g",7613035087583,65 g,['Maggi'],,"['France', 'Allemagne', 'en:en']",[],[],,?,103,431 kj(103 kcal),"4,9","2,3",12,"0,8","1,9","1,2","0,48",,,"['Can', 'Packung(en)']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,,,,,,,,,,-66%,-66%,-58%,-56%,-70%,-67%,-70%,-54%,-54%,,,,,,,,,,,,,,,,,,,
283,Cereales lion caramel & chocolat 3 x,7613035090231,,,,['France'],[],[],,?,409,1711 kj(409 kcal),"7,3","1,3",76,29,"7,5","0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Flan entremets au chocolat - Nestlé Dessert - 190g,7613035090750,190 g,['Nestlé Dessert'],,['France'],[],[],,?,520,2176 kj(520 kcal),?,"17,2",?,"50,1",4,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",,,,,,
285,Pirulo - Nestlé - 65g,7613035098244,65 g,['Nestlé'],,"['France', 'Allemagne']",[],[],,?,88,368 kj(88 kcal),"0,3","0,2","20,8","15,7","0,1","0,01","0,004",B,,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,0.3 g,en faible quantité,0.2 g,en faible quantité,15.7 g,en quantité élevée,0.01 g,en faible quantité,,-62%,-62%,-97%,-97%,-25%,-33%,-97%,-93%,-93%,4,-70%,C,-70%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,['Sans arômes artificiels'],,,,,,
286,Yakisoba - Maggi,7613035103320,,['Maggi'],,"['France', 'Italie']",[],[],,?,454,1900 kj(454 kcal),21,"8,7",54,"6,5","9,6","2,83","1,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Yakisoba Chili GR120 Buitoni - Maggi,7613035104341,,"['Maggi', 'Buitoni']",,['France'],[],[],,?,454,1900 kj(454 kcal),21,"8,8",54,"6,5","9,6","2,82","1,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Thomy Sauce Tartare - 220ml,7613035107052,220 ml,"['Thomy', 'Nestlé']",,"['France', 'Suisse']",['AWOHL'],[],,2244,?,2244 kj(536 kcal),"58,9",6,"1,9","1,1",1,"1,5","0,6",B,,,"['Epicerie', 'Sauces', 'Sauces tartare']",,58.9 g,en quantité élevée,6 g,en quantité élevée,1.1 g,en faible quantité,1.5 g,en quantité modérée,+18%,,+3%,+9%,+32%,-60%,-59%,-15%,-16%,-16%,17,-3%,D,-3%,52.2%,31.5%,7.2%,5.2%,3.1%,0.8%,77,,,,,,,,
289,Coffret Famille - Dolce Gusto,7613035129849,,"['Dolce Gusto', 'Nescafé', 'Nescafé Dolce Gusto']",,"['France', 'Suisse']",[],[],,?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso', 'Dosettes Dolce Gusto']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,"Chocolat au lait (99,6%) avec un coeur aéré - Nestlé - 135g",7613035131262,135 g,['Nestlé'],,['France'],[],[],,?,538,2251 kj(538 kcal),"30,7","17,8","57,8","56,3","6,5","0,17","0,068",E,"Chocolat au lait (99,6%) avec un coeur aéré",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Bonbons']",,30.7 g,en quantité élevée,17.8 g,en quantité élevée,56.3 g,en quantité élevée,0.17 g,en faible quantité,,+2%,+2%,-4%,+2%,+10%,+19%,+11%,+11%,+11%,24,-2%,E,-2%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
291,Lardons Charcutier fumage traditionnel découpe n°2 - Herta - 150g,7613035144958,150 g,['Herta'],['Auchan'],['France'],"['Poitrine de porc', 'conservateurs : nitrite de sodium - lactate de potassium - acétate de sodium', 'sel', 'dextrose de maïs', 'antioxydant : isoascorbate de sodium', ' fumée']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1199,290,1199 kj(290 kcal),25,"9,8","0,4","0,4","15,5","2,2","0,88",C,Lardons fumés de qualité supérieure,"['Barquette', 'Plastique']","['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E326 - Lactate de potassium', 'E262i - Acétate de sodium', 'E316 - Érythorbate de sodium']",25 g,en quantité élevée,9.8 g,en quantité élevée,0.4 g,en faible quantité,2.2 g,en quantité élevée,+13%,+9%,+9%,+15%,+19%,-51%,-38%,-5%,-17%,-17%,21,+5%,E,+5%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,,"['Viande-francaise', 'Viande-porcine-francaise']",,['France'],"['FR 62.767.005 CE', 'Saint-Pol-sur-Ternoise (Pas-de-Calais, France)']",['France'],,
292,Allumettes Charcutier - Herta - 150g e (2 * 75g),7613035145047,150 g e (2 * 75 g),['Herta'],,['France'],"['Poitrine de porc', 'Viande de porc', ' Conservateurs : nitrite de sodium', 'lactate de potassium', 'acétate de sodium ', ' Sel', 'Dextrose de maïs', 'Antioxydant : isoascorbate de sodium ', ' Fumée']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,290,1213 kj(290 kcal),25,"9,8","0,4","0,4","15,5","2,2","0,88",,,"['Frais', 'Plastique', 'Atmosphère protectrice']","['Viandes', 'Porc', 'Bacon', 'Allumettes de bacon']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E326 - Lactate de potassium', 'E262i - Acétate de sodium', 'E316 - Érythorbate de sodium']",25 g,en quantité élevée,9.8 g,en quantité élevée,0.4 g,en faible quantité,2.2 g,en quantité élevée,,+103%,+101%,+319%,+322%,-29%,-20%,-22%,+1%,+1%,21,+100%,E,+100%,,,,,,,,,"['Viande Française', 'Viande Porcine Française', 'Point Vert', 'Fabriqué en France', ""en:Herta s'engage""]",,['France'],"['FR 62.767.005 CE', 'Saint-Pol-sur-Ternoise (Pas-de-Calais, France)']",['France'],,
293,Tendre Croc' Brioché Jambon & Emmental - Herta - 190g,7613035145108,190 g,"['Herta', 'Tendre Croque']","['iD Stock', 'Franprix', 'Casino']",['France'],"['Farine de blé', 'eau', 'jambon de porc', 'emmental ', 'oeuf', ' 13,7%', 'fromages', 'huile de colza', 'dextrose', 'protéine de lait', 'poudre de lait écrémé', 'beurre', 'sucre', 'levure', 'amidon modifié', 'sel', 'jaune et œuf entier en poudre', 'gluten', 'épices et aromates', 'épaississant : E410', 'E415', 'arômes ', 'céleri', 'blé', 'conservateurs : E250', 'E282', 'émulsifiant : E471', 'stabilisants : E450', 'E451', 'anti-oxydant : E316', 'agent de traitement de la farine : E300']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,1119,?,1119 kj(267 kcal),11,"5,1",27,"4,5",13,"1,7","0,68",D,"Croque-monsieur à base de pain de mie brioché (53%), jambon cuit standard (20%) et Emmental fondu (27%)","['Barquette', 'Plastique']","['Sandwichs', 'Croque-monsieur']","['E14XX - Amidons modifiés', 'E410 - Gomme de caroube', 'E415 - Gomme xanthane', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E300 - Acide ascorbique']",11 g,en quantité modérée,5.1 g,en quantité élevée,4.5 g,en faible quantité,1.7 g,en quantité élevée,+5%,,+11%,+5%,-3%,+8%,+47%,+19%,+15%,+15%,15,+20%,D,+20%,75.7%,13.8%,5.3%,3.1%,1.7%,0.5%,51,"['Céleri', 'Œufs', 'Gluten', 'Lait']","['Experimentation Etiquetage Nutritionnel 2016', 'Expérimentation Nutriscore', 'Experimentation NutriScore 0']",,['France'],"['FR 62.767.005 CE', 'Saint-Pol-sur-Ternoise (Pas-de-Calais, France)']",,,
294,Le Bon Poulet -25% de Sel - Herta - 120g,7613035145191,120 g,"['Herta', 'Le Bon Poulet']",['Magasins U'],['France'],"['Filet de poulet', 'sel', 'dextrose de maïs', 'arômes naturels', 'conservateur : nitrite de sodium', ' antioxydant: isoascorbate de sodium', ' colorant: caramel ordinaire']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,104,435 kj(104 kcal),2,"0,4","0,5","0,5",21,"1,35","0,54",D,Filet de poulet de qualité supérieure traité en salaison et cuit,"['Barquette', 'Plastique', 'Barquette']","['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E150a - Caramel E150a']",2 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,1.35 g,en quantité modérée,,-21%,-20%,-31%,-46%,+4%,+106%,-8%,+80%,+80%,1,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"['Peu ou pas de sel', 'Peu de sel', 'en:gluten-free', 'Allégé en sel', 'Moins 25% de sel', '100% filet']",,['France'],"['FR 67.218.001 CE', 'Illkirch-Graffenstaden (Bas-Rhin, France)']",,,
295,Knacki Gourmande 100% Poulet - Herta - 280g,7613035145221,280 g,['Herta'],"['Cora', 'Magasins U']",['France'],"['Viande séparée mécaniquement de poulet et peau de poulet ', '75%', 'eau', 'lactose', 'sel', 'protéines de pois', 'arômes ', 'blé', 'céleri', 'dextrose', 'antioxydant : isoascorbate de sodium', 'conservateur : nitrite de sodium', 'ferment', 'fumée']",['Non végétalien'],4,827,?,827 kj(198 kcal),15,"3,5","1,5","1,5",14,"1,8","0,72",E,Préparation charcutière au poulet,"['Sachet', 'Plastique', 'Sous-vide']","['Viandes', 'Charcuteries', 'Saucisses', 'Volailles', 'Poulets', 'Saucisses de volaille', 'Saucisses de poulet']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",15 g,en quantité modérée,3.5 g,en quantité modérée,1.5 g,en faible quantité,1.8 g,en quantité élevée,-5%,,-5%,-3%,-20%,-32%,+125%,+4%,-6%,-6%,11,-14%,D,-14%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,"['Céleri', 'Gluten', 'Lait']",,,['France'],"['FR 67.218.001 CE', 'Illkirch-Graffenstaden (Bas-Rhin, France)']",,,
296,Nestle Beba Optipro 1 - 800g,7613035155626,800 g,['Nestle'],,"['France', 'Suisse']","['petit-', 'ait partiellement déminéralisé en poudre', 'graisses végétales ', 'palme', 'noix de coco', 'lait écrémé', 'amidon', 'huiles végétales ', 'colza', 'tournesol', 'sels minéraux', 'citrates de calcium', 'citrates de potassium', 'chlorure de sodium', 'chlorure de magnèsium', 'orthophosphates de calcium', 'sulfate de fer', ' sulfate de zinc', 'citrate de sodium', 'sulfate de cuivre', 'sulfate de manganèsem iocture de potassium', 'sélénate de sodium', 'émulsifiant ', 'lécithine de soja', 'huile de poisson ', 'avec acides gras oméga-3 à longue chaine', 'vitamines ', 'A,D,E,K,C,B1,B2,niacine,B6,acide folique,acide pantothénique,B12,biotine', ' L-phénylalanine', 'huile de Morierella alpina', 'culture de bactéries lactiques ', 'B', 'latis', 'taurine', 'L-histatine', 'Inositol', 'L-carnitine', ' Sans gluten']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,281,?,281 kj(67 kcal),"3,4","1,3",8,"6,9","1,2","0,05","0,02",,,,,['E322i - Lécithine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Soja']",['Sans gluten'],,,,,,
297,Glaces Vanille caramel Beurre Salé / Vanille Chocolat - Collection Craquante - Nestlé - 234g (400ml),7613035163522,234 g (400 ml),"['Nestlé', 'La Laitière']",['Franprix'],['France'],"['Vanille caramel beurre salé : lait écrémé', 'eau', 'crème fraîche', 'sucre', 'sirop de glucose', 'pâte de cacao', 'lait écrémé concentré sucré ', 'lait écrémé', 'sucre', 'caramel ', '3%', ' ', 'sucre', 'eau', 'lactose et protéines de lait', 'beurre salé ', '1%', 'beurre de cacao', 'colorant ', 'caramel ordinaire', 'émulsifiants ', ""mono - et diglycérides d'acides gras"", 'lécithines', 'E476', 'stabilisants ', 'farine de graines de caroube', 'gomme guar', 'carraghénanes', 'E407a', 'matière grasse de lait', 'arôme naturel', 'sel', 'arôme naturel de vanille', '\r Vanille chocolat : lait écrémé', 'eau', 'crème fraîche', 'sucre', 'sirop de glucose', 'pâte de cacao', 'lactose et protéines de lait', 'cacao maigre', 'beurre de cacao', 'émulsifiants ', ""mono - et diglycérides d'acides gras"", 'lécithines', 'E476', 'matière grasse de lait', 'stabilisants ', 'gomme guar', 'farine de graines de caroube', 'carraghénanes', 'E407a', 'amidon modifié', 'arôme naturel', 'arôme naturel de vanille', 'colorant ', 'caramel ordinaire', 'sel']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,1100,?,1100 kj(263 kcal),"13,2","8,21","32,3","26,5","3,08","0,308","0,123",B,"Crèmes glacées caramel et vanille, sauce (14%) au caramel et beurre salé, feuilles de chocolat (11%). Crème glacée vanille, sauce (14,5%) au chocolat, feuilles de chocolat (11%)","['Pot', 'Etui', 'Carton', 'Couvercle', 'Plastique', 'Surgelé']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au chocolat', 'Glaces à la vanille', 'Glaces au caramel']","['E150a - Caramel E150a', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322 - Lécithines', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']",13.2 g,en quantité modérée,8.21 g,en quantité élevée,26.5 g,en quantité élevée,0.308 g,en quantité modérée,+10%,,+12%,+15%,+8%,+13%,+9%,-4%,-6%,-6%,16,+7%,D,+7%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,['Lait'],"['Sans arômes artificiels', 'Point Vert', 'Fabriqué en France', 'Sans colorants artificiels', 'Sans colorants']",,['France'],,,http://www.enviedebienmanger.fr/des-marques-pour-moi/la-laitiere,
298,Chocolat au lait noisettes entières torréfiées - Les Recettes de l'Atelier - 195g,7613035178663,195 g,"[""Les Recettes de l'Atelier"", 'Nestlé']",,['France'],"['sucre', 'lait entier en poudre', 'noisettes torréfiées 17,9 %', 'beurre de cacao', 'pâte de cacao ', ""Afrique de l'Ouest"", 'émulsifiant ', 'lécithine de tournesol', 'arôme naturel de vanille de Madagascar', ' Cacao: 29% minimum']",['Non végétalien'],4,?,564,2360 kj(564 kcal),"36,5","15,6","48,6","46,7","9,3","0,2","0,08",E,,"['Plastique', 'Aluminium']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux noisettes', 'Chocolats au lait aux noisettes']",['E322i - Lécithine'],36.5 g,en quantité élevée,15.6 g,en quantité élevée,46.7 g,en quantité élevée,0.2 g,en faible quantité,,-1%,-0%,-4%,-11%,+5%,+6%,+11%,+6%,+6%,24,-2%,E,-2%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,"['Lait', 'Fruits à coque']","['Sans arômes artificiels', 'Agriculture durable', 'en:UTZ Certified']",,,,,,
299,Les Recettes de l'Atelier - Chocolat Noir Noisettes Entières Torréfiées - Nestlé - 195g,7613035178694,195 g,['Nestlé'],['Leclerc'],['France'],"['Pâte de cacao ', 'Afrique de l’Ouest', 'Equateur', 'sucre', 'noisettes torréfiées 17', '9%', 'beurre pâtissier', ' émulsifiant ', 'lécithine de tournesol', 'beurre de cacao', 'arôme naturel de vanille de Madagascar', 'Cacao : 54% minimum']",['Non végétalien'],4,?,577,2414 kj(577 kcal),"40,9","18,4","38,5","34,7","9,1",0,0,D,Chocolat noir aux noisettes entières torréfiées,"['Papier', 'Aluminium']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats aux noisettes', 'Chocolats noirs aux noisettes']",['E322i - Lécithine'],40.9 g,en quantité élevée,18.4 g,en quantité élevée,34.7 g,en quantité élevée,0 g,en faible quantité,,+1%,+1%,-0%,-1%,-0%,+4%,+13%,-100%,-100%,19,-10%,E,-10%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Lait', 'Fruits à coque']","['Sans arômes artificiels', 'Point Vert']",,,,"['Équateur', ""Afrique de l'Ouest""]",https://www.croquonslavie.fr/marques/produits-nestle/nestle/nestle-recettes-atelier-chocolat-noir-noisettes-entieres-torrefiees,
300,Bouillon de Mouton (6+2 gratuits) - Maggi - 80g,7613035182301,80 g,['Maggi'],,['France'],"['Sel', 'maltodextrine', 'exhausteur de goût : glutamate monosodique', 'huile de tournesol', 'mouton : viande de mouton 2,3%', 'graisse de mouton', 'arômes ', 'blé', 'œuf', 'oignon', 'persil', 'extraits de poivre', 'de céleri et de thym', 'fibres de légumes', 'colorant : E150c', 'antioxydant : extraits de romarin']","['Non végétalien', 'Non végétarien']",4,?,212,887 kj(212 kcal),"4,2","0,9","32,1","3,3","10,3","48,5","19,4",,Bouillon de mouton déshydraté en tablettes,['Carton'],"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons cubes', 'Bouillons de mouton']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E392 - Extrait de romarin']",,,,,,,,,,,+24%,-39%,-78%,+50%,+7%,+19%,+18%,+18%,,,,,,,,,,,,"['Céleri', 'Œufs', 'Gluten']","['Halal', 'Grande Mosquée de Paris']",,,,,,
301,Nestlé Iogolino Mini Natillas,7613035201217,,['Nestle'],,"['France', 'Espagne']","['Leche ', '89,4%', ' sémola de trigo duro ', '1,0%', ' almidon modificado de maiz', ' concentrado de sales minerales làcteas', ' sales minerales ', 'citrato de magnesio y sulfato de zinc', ' aroma de vainilla y estabilizante ', 'goma garrofin', ' Contiene gluten']",['Non végétalien'],4,?,96,402 kj(96 kcal),"3,2","1,8","13,1",10,"3,4","0,1","0,04",,,,['Produits laitiers'],['E410 - Gomme de caroube'],3.2 g,en quantité modérée,1.8 g,en quantité modérée,10 g,en quantité modérée,0.1 g,en faible quantité,,-61%,-60%,-82%,-85%,+166%,+146%,-73%,-87%,-87%,2,-80%,B,-80%,,,,,,,,"['Gluten', 'Lait']",['Contient du gluten'],,,,,,
302,Maggi Magic Asia Noodle Cup Duck - 65g,7613035206410,65 g,['Maggi'],,"['France', 'Allemagne', 'en:en']",[],[],,?,102,427 kj(102 kcal),"4,9","2,3",12,"0,8","2,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,"Maggi Magic Asia Noodle Cup Curry, 65 g",7613035206434,65 g,['Maggi'],,"['France', 'Allemagne']",[],[],,?,103,431 kj(103 kcal),"4,9","2,3",12,"0,5","2,1","1,1","0,44",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,,,,,,,,,,-66%,-66%,-58%,-56%,-70%,-79%,-67%,-58%,-58%,,,,,,,,,,,,,,,,,,,
304,"Smarties - Assortiment de bonbons de chocolat et de bonbons de chocolat dragéifiés - Nestlé - 227,4g",7613035207844,"227,4 g",['Nestlé'],['Carrefour'],['France'],"['Sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'lait écrémé en poudre', 'petit-lait filtré en poudre', 'lactose', 'farine de blé', 'beurre pâtissier', 'amidon de riz', 'pâte de noisettes', 'émulsifiant ', 'lécithine de tournesol', 'concentrés de fruits et de plantes ', 'carthame', 'radis', 'carotte noire', 'citron', 'hibiscus', 'concentré de spiruline', ""agents d'enrobage "", 'cire de carnauba', ""cire d'abeille"", 'arôme naturel de vanille', 'sirop de sucre inverti']","['Sans huile de palme', 'Non végétalien']",4,2162,517,2162 kj(517 kcal),"27,2","15,9",61,"58,6","6,4","0,17","0,068",,Assortiment de bonbons de chocolat et de bonbons de chocolat dragéifiés,['Carton'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Aliments et boissons de Noël', 'Bonbons de chocolat', ""Calendriers de l'avent"", 'Assortiments de bonbons de chocolat']","['E322i - Lécithine', 'E903 - Cire de carnauba', ""E901 - Cire d'abeille""]",27.2 g,en quantité élevée,15.9 g,en quantité élevée,58.6 g,en quantité élevée,0.17 g,en faible quantité,-3%,+2%,+1%,-7%,-9%,+9%,+14%,+8%,-11%,-11%,25,-0%,E,-0%,,,,,,,,"['Gluten', 'Lait', 'Fruits à coque']",,,,,,,
