,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,ingredients_origins,manufacturing,markets,allergens,nova_score,quantity,packaging,brand_owner,additives,link,palm_ingredients
1776,Miel de Garrigue,3770003343103,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,Gouda,5901126013811,,['France'],[],[],?,224,16,5,15,"2,5",1,,,,,,,,,,,,,,937 kj(224 kcal),,,13,,,"3,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,Bandnudeln - Primia - 125g,8030582800578,['Primia'],"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125 g,,,,,
1779,Beignet au saumon fume,2566749011465,,['France'],[],[],?,197,"5,8",29,"6,8","0,9","0,36",,,,,,,,,,,,,,824 kj(197 kcal),,,"0,8",,,"1,4",,,,,,,,,,,,,,,,"['FR 83.107.313 CE', 'Roquebrune-sur-Argens (Var, France)']",,,,,,,,,,,,
1780,Soja cuisine semi-epais,8033959590041,,['France'],[],[],?,190,18,3,"3,5","0,18","0,072",,,"['Bio', 'en:gluten-free']",,,,,,,,,,,795 kj(190 kcal),,,"1,5",,,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,Muesli crisp 3 chocolats - 500g,3250790148063,,['France'],[],['Sans huile de palme'],?,468,"19,3","62,6","7,7","0,32","0,128",,,['en:palm-oil-free'],,,,,,,,,,,1958 kj(468 kcal),,,6,,,"26,3",,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,
1782,Rochers chocolat - Le Comptoir de Mathilde,3700961308173,['Le Comptoir de Mathilde'],['France'],[],[],?,505,24,66,"5,8","0,2","0,08",,,,,,,,,,,,,,2113 kj(505 kcal),,,15,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,Miel de chataignier,3770011355112,,['France'],[],[],?,?,?,?,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
1784,Prali'Noix,3760041900727,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785,Pao de ló - Continente,5601312178781,['Continente'],['France'],[],[],?,336,"8,7",52,11,"0,52","0,208",,,,,,,,,,,,,,1406 kj(336 kcal),,,"4,9",,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,ZUEGG BIO Mirtillo Nero,15334343,['Zuegg'],['France'],[],[],?,47,0,"9,9","0,25","0,03","0,012",,,['Bio'],,,,,,,,,,,197 kj(47 kcal),,,0,,,"9,73",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,Conté AOP,2230080003280,,['France'],[],[],?,418,"34,6",0,"26,7","0,82","0,328",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['AOP'],34.6 g,en quantité élevée,22.5 g,en quantité élevée,0 g,en faible quantité,0.82 g,en quantité modérée,,-0%,1749 kj(418 kcal),-0%,-0%,"22,5",-1%,-100%,0,-100%,-1%,-2%,-2%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['FR 25.155.001 CE', 'Cléron (Doubs, France)']",,,,,,,,,,,,
1788,Galette des rois à la frangipane,3456580001253,,['France'],[],[],?,416,28,33,7,0,0,D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,28 g,en quantité élevée,16 g,en quantité élevée,8 g,en quantité modérée,0 g,en faible quantité,,-1%,1741 kj(416 kcal),-1%,+6%,16,+8%,-15%,8,-38%,+10%,-100%,-100%,16,-17%,D,-17%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,
1789,Jambonneau cuit supérieur,2916840006103,,['France'],[],[],?,156,"7,6","0,6","21,7",2,"0,8",,,,,,,,,,,,,,653 kj(156 kcal),,,"2,7",,,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,Mandorlato morbido,8033254060232,,['France'],[],[],?,496,"30,2","44,4","11,6","0,07","0,028",,,,,,,,,,,,,,2075 kj(496 kcal),,,4,,,"41,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,Mon kit Galette des Rois - Daco Bello,3270720017238,['Daco Bello'],['France'],[],[],?,637,55,"4,9",26,"0,02","0,008",,,,,,,,,,,,,,2665 kj(637 kcal),,,"4,34",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,Médaillon carpe de la Dombes - Le Fumet des Dombes - 1948002cl,3356991172002,['Le Fumet des Dombes'],['France'],[],[],?,134,"9,7","3,4","8,3","1,3","0,52",,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,561 kj(134 kcal),,,5,,,"0,8",,,,,,,,,,,,,,,,"['FR 01.333.001 CE', 'Saint-André-de-Corcy (Ain, France)']",,,,,,,1948002 cl,,,,,
1793,Huile d'olive,3547130094075,,['France'],[],[],?,900,"99,8",0,0,0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]","['Bio', 'Bio européen', 'FR-BIO-01']",99.8 g,en quantité élevée,15.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,3766 kj(900 kcal),+5%,+5%,"15,1",+8%,,0,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
1794,Galette frangipane,0216596041987,,['France'],[],[],?,444,32,31,"7,1","0,57","0,228",D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,32 g,en quantité élevée,17 g,en quantité élevée,11 g,en quantité modérée,0.57 g,en quantité modérée,,+5%,1858 kj(444 kcal),+6%,+21%,17,+15%,-20%,11,-15%,+12%,-18%,-18%,19,-1%,E,-1%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,
1795,Lilliputiens,3760193490862,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,bio mix salade - Auchan - 0.540kg,0260366026575,['Auchan'],['France'],"['graines de sésame', 'graines de chia', 'graines de lin']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,,,['Graines diverses'],['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],['Graines de sésame'],1,0.540 kg,['Vrac'],,,,
