,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,ingredients_origins,manufacturing,markets,allergens,nova_score,quantity,packaging,brand_owner,additives,link,palm_ingredients
276,Poires mûres à point - Ext'az,3276557026191,"[""Ext'az""]",['France'],[],[],?,?,?,?,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Poires', 'Poires fraîches']",['Catégorie I'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,,,,,,,
277,Chocolat gingembre - Finabeil,3263629952588,['Finabeil'],['France'],[],[],?,417,14,69,"2,2","0,03","0,012",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,14 g,en quantité modérée,8.1 g,en quantité élevée,65 g,en quantité élevée,0.03 g,en faible quantité,,-24%,1745 kj(417 kcal),-24%,-62%,"8,1",-62%,+50%,65,+58%,-70%,-78%,-78%,23,-2%,E,-2%,,,,,,,,,,,,,,,,,,,,
278,Rôti de canard fourré au foie gras de canard,2638044106075,,['France'],[],[],?,400,"39,4","0,4",11,"1,7","0,68",,,,,,,,,,,,,,1674 kj(400 kcal),,,"13,7",,,"0,2",,,,,,,,,,,,,,,,"['FR 24.534.001 CE', 'Sigoulès (Dordogne, France)']",,,,,,,,,,,,
279,Poitrine roulée à la languedocienne au sel de Camargue,2856084024016,,['France'],[],[],?,342,"28,8","0,75","20,2","4,14","1,656",,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,1431 kj(342 kcal),,,"11,4",,,"0,43",,,,,,,,,,,,,,,,"['FR 34.293.001 CE', 'Salvetat-sur-Agout (Hérault, France)']",,,,,,,,,,,,
280,"biscuits salés bleu, bacon, oignons",3760115212428,,['France'],[],[],?,392,"25,4","29,7","11,2","1,05","0,42",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['Sans colorants'],25.4 g,en quantité élevée,12.7 g,en quantité élevée,1 g,en faible quantité,1.05 g,en quantité modérée,,-16%,1640 kj(392 kcal),-16%,+28%,"12,7",+134%,-50%,1,-74%,+13%,-48%,-48%,18,+17%,D,+17%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,,,,,,,
281,Chutney de Cerises Griottes,3517830110177,,['France'],[],[],?,120,0,28,"0,8","0,02","0,008",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Chutneys de fruit']",,0 g,en faible quantité,0 g,en faible quantité,24 g,en quantité élevée,0.02 g,en faible quantité,,-34%,502 kj(120 kcal),-35%,-100%,0,-100%,-34%,24,-39%,+1%,-97%,-97%,1,-88%,B,-88%,,,,,,,,,,,,,,,,,,,,
282,Couronne au sucre,2009006710010,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Thé noir parfumé rock your brain - Les Jardins de Gaïa,3582810471029,['Les Jardins de Gaïa'],['France'],[],[],?,?,?,?,?,0,0,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,"Crème De Violette U, 15°,",3256222973067,['U'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Poularde farcie,0215816155794,,['France'],[],[],?,228,17,"1,4",17,"0,48","0,192",,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,954 kj(228 kcal),,,"5,1",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Terrine au chevreuil et aux noisettes - Produits de la Cigogne,3527480000858,['Produits de la Cigogne'],['France'],[],[],?,313,27,2,15,"1,47","0,588",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de chevreuil']",,27 g,en quantité élevée,9.7 g,en quantité élevée,0 g,en faible quantité,1.47 g,en quantité modérée,,+1%,1310 kj(313 kcal),+1%,+3%,"9,7",+0%,+35%,0,-100%,+3%,-5%,-5%,18,-2%,D,-2%,,,,,,,,"['FR 68.298.005 CE', 'Sainte-Marie-aux-Mines (Haut-Rhin, France)']",,,,,,,,,,,,
287,Orbit professional mints,4009900468657,"['Orbit', ""Wrigley's""]",['France'],[],[],?,239,"0,8","96,7",0,0,0,,,,,,,,,,,,,,1000 kj(239 kcal),,,"0,8",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Arôme truffé noire,3700710302483,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Christmas Pudding St. James,5053826702936,,['France'],[],[],?,359,"12,6","45,2","4,2","0,39","0,156",,,,,,,,,,,,,,1502 kj(359 kcal),,,"1,9",,,"35,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Boule et bille,3465170900951,,['France'],[],[],?,539,"32,3","52,5","7,2","0,5","0,2",,,,,,,,,,,,,,2255 kj(539 kcal),,,"19,4",,,"42,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Mini quiches saint Jacques,3273230372507,,['France'],[],[],?,311,18,27,"9,8","1,21","0,484",,,,,,,,,,,,,,1301 kj(311 kcal),,,"11,5",,,"2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Galette des rois frangipane - 600g,3304215014515,,['France'],[],[],?,396,25,36,"5,9","0,68","0,272",D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,25 g,en quantité élevée,15 g,en quantité élevée,9.8 g,en quantité modérée,0.68 g,en quantité modérée,,-6%,1657 kj(396 kcal),-6%,-5%,15,+1%,-7%,"9,8",-24%,-7%,-2%,-2%,19,-1%,E,-1%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,600 g,,,,,
293,Sangria,8414771851952,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Miel de lavande,3380250000089,,['France'],[],[],?,?,?,?,?,0,0,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,0 g,en faible quantité,,,,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
295,La Boule de Noël de Albert menes,3234750097059,['Albert Ménès'],['France'],[],[],?,538,33,54,"7,4","0,07","0,028",,,,,,,,,,,,,,2251 kj(538 kcal),,,6,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Flocons de saveurs - Savor & Sens,3760194213781,['Savor & Sens'],['France'],[],[],?,311,"1,1",68,"5,4","10,14","4,056",,,,,,,,,,,,,,1301 kj(311 kcal),,,"0,23",,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Persil coupé BIO - Thiriet - 50g,3292590833213,['Thiriet'],['France'],[],[],?,76,"4,4","3,2","3,9","0,13","0,052",,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,318 kj(76 kcal),,,"0,6",,,1,,,,,,,,,,,,,,,,,,,,['Thiriet'],,,50 g,,,,,
298,Confiture de myrtilles du queyras,3760055835336,,['France'],[],[],?,?,?,?,?,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,,,,,,,0 g,en faible quantité,,,,,,,,,,,,-100%,-100%,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,
299,Huile au trufe,8053623682117,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Comte 18 mois,0200028021258,,['France'],[],[],?,?,?,?,?,0,0,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,,0 g,en faible quantité,,,,,,,,,,,,-100%,-100%,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
301,Pain d'épices pur miel du Jura,3760146780408,,['France'],[],[],?,328,"3,3","68,5","4,1",0,0,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']",,3.3 g,en quantité modérée,1.2 g,en faible quantité,36.6 g,en quantité élevée,0 g,en faible quantité,,-15%,1372 kj(328 kcal),-15%,+1083%,"1,2",+1253%,-27%,"36,6",-47%,+879%,-100%,-100%,13,-6%,D,-6%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,
302,Le secret des inépuisables - 25g,3770004965069,,['France'],[],[],?,?,?,?,?,0,0,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 g,,,,,
303,Holiday peanut butter chocolate christmas candy,0040000547631,,['France'],[],[],?,535.71,"28,57","57,14","10,71","0,544","0,218",,,,,,,,,,,,,,2241 kj(535 kcal),,,"17,857",,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,? 115g,4901630002104,,['France'],[],[],?,120,0,24,0,0,0,,,,,,,,,,,,,,502 kj(120 kcal),,,0,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Le secret d atchoum -  - 25g,3770004965106,,['France'],[],[],?,?,?,?,?,0,0,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 g,,,,,
306,Il moretto,8012672002604,,['France'],[],[],?,422,"14,77","67,95","4,32","0,1","0,04",,,,,,,,,,,,,,1766 kj(422 kcal),,,"7,25",,,"41,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Saumon fumé sauvage - Delpeyrat,3067163648200,['Delpeyrat'],['France'],[],[],?,123,"2,3","0,5",26,3,"1,2",E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons sauvages', 'Saumons fumés sauvages']",['Sans conservateurs'],2.3 g,en faible quantité,0.6 g,en faible quantité,0 g,en faible quantité,3 g,en quantité élevée,,-8%,515 kj(123 kcal),-7%,-38%,"0,6",-25%,+1%,0,-100%,+9%,+2%,+2%,11,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,
308,Jus,0731201353953,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Panettone pere e cioccolato,8003035150421,,['France'],[],[],?,383,17,49,"7,5","0,57","0,228",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,17 g,en quantité modérée,11 g,en quantité élevée,25 g,en quantité élevée,0.57 g,en quantité modérée,,+2%,1602 kj(383 kcal),+3%,+13%,11,+22%,-5%,25,-3%,+10%,+29%,+29%,21,+13%,E,+13%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,
310,Peppi's club - 75g,3336995309086,,['France'],[],[],?,500,26,61,"4,4","2,9","1,16",,,,,,,,,,,,,,2092 kj(500 kcal),,,2,,,"2,1",,,,,,,,,,,,,,,,,,,,,,,75 g,,,,,
311,Tartiflette reblochon,3347770403622,,['France'],[],[],?,164,"9,6",12,"6,6","0,7","0,28",,,,,,,,,,,,,,686 kj(164 kcal),,,"6,1",,,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Boisson,3551101429957,,['France'],[],[],?,?,?,?,?,0,0,,['Boissons'],,,,,,,,0 g,en faible quantité,,,,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,
313,Noix du brésil decortiquées crues,2600134040286,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Nutro Vanilla Cream Wafers 150 GM,6291007500363,,['France'],[],[],?,570,11,10,"1,5",10,4,,,,,,,,,,,,,,2385 kj(570 kcal),,,"0,5",,,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Nougat de Montélimar tendre,3217662900099,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Merlo-pays d'oc,3584060001865,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Foie gras de canard entier - Delpeyrat,3067163645315,['Delpeyrat'],['France'],[],[],?,544,56,"2,2","7,5","1,3","0,52",,,,,,,,,,,,,,2276 kj(544 kcal),,,24,,,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,8433329078986,8433329078986,,['France'],[],[],?,0,?,?,?,0,0,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,"Potimarron, Carotte, huile de noisette",3770015150041,,['France'],[],[],?,216,20,"5,4","2,9","0,6","0,24",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noisette']",,20 g,en quantité modérée,2.5 g,en quantité modérée,2.8 g,en faible quantité,0.6 g,en quantité modérée,,-75%,904 kj(216 kcal),-75%,-79%,"2,5",-71%,+43100%,"2,8",+64268%,+34714%,+27173%,+27173%,4,-62%,C,-62%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,,,,,,,,,,,,
320,Pain - 220g,3461180389922,,['France'],[],[],?,261,1,53,"8,5","1,4","0,56",,,,,,,,,,,,,,1092 kj(261 kcal),,,"0,5",,,"1,1",,,,,,,,,,,,,,,,,,,,,,,220 g,,,,,
321,Terrine de campagne aux pruneaux d'agen,3269617106933,,['France'],[],[],?,359,32,"5,6",13,"1,2","0,48",,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",['Fabriqué en France'],32 g,en quantité élevée,12 g,en quantité élevée,1.9 g,en faible quantité,1.2 g,en quantité modérée,,+11%,1502 kj(359 kcal),+11%,+13%,12,+11%,+145%,"1,9",+119%,-7%,-25%,-25%,19,-2%,E,-2%,,,,,,,,,,,,,,,,,,,,
322,Natura,3838945027267,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Skildpadder Mini 10 STK.,5774540072159,,['France'],[],[],?,466,20,66,"2,9","0,19","0,076",,,,,,,,,,,,,,1950 kj(466 kcal),,,12,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Cherryhead,0041420037184,,['France'],[],[],?,90,0,22,0,0,0,,,,,,,,,,,,,,377 kj(90 kcal),,,0,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,SOUPE DE POISSONS DE ROCHES AU PIMENT D'ESPELETTE,3482970011014,,['France'],[],[],?,40,"1,6","2,7","3,3","1,2","0,48",E,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons', ""Soupe de poissons au piment d'Espelette""]",,1.6 g,en faible quantité,0.4 g,en faible quantité,1.1 g,en faible quantité,1.2 g,en quantité modérée,,-5%,167 kj(40 kcal),-5%,,"0,4",,,"1,1",,,+71%,+71%,3,,C,,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,,,,,
326,Velouté aux crabes de Bretagne - Conserverie Courtin,3268260004085,['Conserverie Courtin'],['France'],[],[],?,31,"0,8","1,6","4,4","0,75","0,3",,,,,,,,,,,,,,130 kj(31 kcal),,,"0,2",,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Sweetz Spiral Lolly 50G,8711601106481,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Comté AOP 20 mois,2257150027625,,['France'],[],[],?,?,?,?,?,0,0,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,,0 g,en faible quantité,,,,,,,,,,,,-100%,-100%,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
329,Oeuf frais,9050482136705,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,caramel - Salidou,3561770100408,['Salidou'],['France'],[],[],?,418,"12,5",72,"4,3","1,08","0,432",,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels']",,12.5 g,en quantité modérée,7 g,en quantité élevée,47 g,en quantité élevée,1.08 g,en quantité modérée,,+9%,1749 kj(418 kcal),+9%,+28%,7,+13%,-1%,47,-8%,+134%,+67%,+67%,25,+19%,E,+19%,,,,,,,,,,,,,,,,,,,,
331,Coquilles nature par 10,0231098032141,,['France'],[],[],?,355,12,53,"8,1",1,"0,4",,,,,,,,,,,,,,1485 kj(355 kcal),,,6,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Amandes décortiquées,2600112053925,,['France'],[],[],?,645,"49,9","21,5","21,1","0,01","0,004",E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",,49.9 g,en quantité élevée,3.8 g,en quantité modérée,4.2 g,en faible quantité,0.01 g,en faible quantité,,+3%,2699 kj(645 kcal),+3%,-3%,"3,8",-5%,+64%,"4,2",+7%,-6%,-57%,-57%,1,,B,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,
333,Chocolat au lait et décor de confiserie - Maison Taillefer,3564884017853,['Maison Taillefer'],['France'],[],[],?,551,"33,4","55,9","5,4","0,11","0,044",,,,,,,,,,,,,,2305 kj(551 kcal),,,"20,1",,,"53,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Vitasoy chocolate,4891028711407,['Vitasoy'],['France'],[],"['Végétalien', 'Végétarien']",267,64,"1,3",12,"1,3","0,13","0,052",,,"['Végétarien', 'Végétalien']",,,,,,,,,,,267 kj(64 kcal),,,"0,3",,,"8,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Labeyrie,3033610027164,['Labeyrie'],['France'],[],[],?,0,40,0,10,"1,2","0,48",,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Confiture à l'ancienne Groseilles,3760097540298,,['France'],[],[],?,258,"0,1","63,9","0,01",0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges']",,0.1 g,en faible quantité,0.1 g,en faible quantité,62.1 g,en quantité élevée,0 g,en faible quantité,,+17%,1079 kj(258 kcal),+17%,-61%,"0,1",+114%,+20%,"62,1",+22%,-98%,-100%,-100%,12,+33%,D,+33%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,
337,Cooking Spray Made With Canola Oil,0888670007709,,"['France', 'États-Unis']","['Canola oil**', 'soy lecithin', 'dimethyl silicone ', 'for anti-foaming']",[],?,0,0,0,0,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,0 kj(0 kcal),-100%,-100%,0,-100%,-100%,0,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,,['Soja'],4,,,BJ's Wholesale Club / Corporate Brands,['E322i - Lécithine'],,
338,Saveur exotique à l'eau de source - Leader Price,3036855093345,['Leader Price'],['France'],[],[],?,40,0,10,0,0,0,,,['Sans conservateurs'],,,,,,,,,,,167 kj(40 kcal),,,0,,,"9,3",,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,,,,
339,Carré de menthe - Sucralys,3760195982112,['Sucralys'],['France'],[],[],?,333,"0,2","59,6","7,3","0,2","0,08",,,,,,,,,,,,,,1393 kj(333 kcal),,,"0,2",,,"59,6",,,,,,,,,,,,,,,,"['EMB 59386', 'Marquette-lez-Lille (Nord, France)']",,,,,,,,,,,,
340,Le bloc de foie gras de canard du Sud-Ouest - Valette,3598960035806,['Valette'],['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Pain surprise charcutier - Tipiak,3450350036339,['Tipiak'],['France'],[],[],?,290,14,30,11,"1,6","0,64",,"['Sandwichs', 'Pains surprise']",,14 g,en quantité modérée,6.3 g,en quantité élevée,1.6 g,en faible quantité,1.6 g,en quantité élevée,,+13%,1213 kj(290 kcal),+13%,+32%,"6,3",+48%,+2%,"1,6",-61%,+20%,+31%,+31%,16,+62%,D,+62%,,,,,,,,,,,,,,,,,,,,
342,Coriandre,3326256666355,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 13042F', 'Gémenos (Bouches-du-Rhône, France)']",,,,,,,,,,,,
343,Champignons Blancs Entiers,0060383059323,,['France'],[],[],?,0,?,?,?,0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons blancs']",,,,,,,,0 g,en faible quantité,,-100%,0 kj(0 kcal),-100%,,,,,,,,-100%,-100%,,,,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,,,,,,,,
344,PiriçOnu,8682005310043,,['France'],[],[],?,0,"1,2","74,8","6,7","0,01","0,004",,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Heavy Whipping Cream - Horizon Organic,0742365003837,['Horizon Organic'],"['France', 'États-Unis']","['grade a organic cream', 'gellan gum,']",[],?,333,"33,33","6,67","6,67","0,082","0,033",C,"['Produits laitiers', 'Crèmes']",,33.3 g,en quantité élevée,23.3 g,en quantité élevée,0 g,en faible quantité,0.0825 g,en faible quantité,,+26%,1393 kj(333 kcal),+29%,+30%,"23,33",+36%,+50%,0,-100%,+171%,-12%,-12%,14,+14%,D,+14%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,4,,,WWF Operating Company,['E418 - Gomme gellane'],,
346,Brioche citron confis,3770015750012,,['France'],[],[],?,888,5,10,10,1,"0,4",,,,,,,,,,,,,,3715 kj(888 kcal),,,"0,2",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,European cookies,0078742254333,,['France'],[],[],?,531.25,"28,125","65,625","6,25","0,508","0,203",,,,,,,,,,,,,,2223 kj(531 kcal),,,"18,75",,,"34,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Buche à La Crème Glacée,0059263030019,,['France'],[],[],?,120,6,16,2,0,0,,,,,,,,,,,,,,502 kj(120 kcal),,,3,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Lard sec de Gruyère,2261657011100,,['France'],[],[],?,336,24,1,30,"3,3","1,32",,,,,,,,,,,,,,1406 kj(336 kcal),,,10,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Miel,3770014667175,,['France'],[],[],?,?,?,?,?,0,0,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,0 g,en faible quantité,,,,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
351,P'tits pirates,3665206107907,,['France'],[],[],?,1,?,"0,2",?,0,0,,,,,,,,,,,,,,4 kj(1 kcal),,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Confiture,0723120861183,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Foie gras de canard entier mi-cuit - Argel - 400g,3565270010557,['Argel'],['France'],[],[],?,520,53,"1,5",8,"1,4","0,56",,,,,,,,,,,,,,2176 kj(520 kcal),,,24,,,"1,2",,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,
354,Pleurotes séchés - Sabarot,3111950340102,['Sabarot'],['France'],[],[],?,350,8,42,16,"0,4","0,16",,,,,,,,,,,,,,1464 kj(350 kcal),,,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Plaque de chocolat au lait - Le Chocolatier Sablais - 300g,3760059939351,['Le Chocolatier Sablais'],['France'],[],[],?,529,34,46,9,"0,19","0,076",,,,,,,,,,,,,,2213 kj(529 kcal),,,16,,,43,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,
356,Coquille nature ×10,0260157038701,,['France'],[],[],?,265,"6,3",43,"8,5","1,1","0,44",,,,,,,,,,,,,,1109 kj(265 kcal),,,"3,9",,,"8,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Thé vert du Yunnan,3760166261826,,['France'],[],[],?,529,34,46,9,"0,19","0,076",,,,,,,,,,,,,,2213 kj(529 kcal),,,16,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,"Sphincter Shrinker Hot Sauce,5.7oz.",0049746975821,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
