,name,bar_code,brand,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,manufacturing,markets,traceability_code,palm_ingredients,generic_name,ingredients_origins,link,brand_owner
248,Chorizo Sarta Picant  - Tradition Espagnole - Soélia - 200g,8436550863826,['Soélia'],"['en:gluten-free', 'Sans OGM', 'Sans ionisation']",['France'],"['Viande de porc ', 'sont nécessaires de produit 125g  pour 100g', 'poivre rouge', 'paprika', 'sel', 'ail', 'dextrine', 'dextrose de maïs', 'LACTOSE', 'protéines de LAIT', 'LAIT en poudre', 'sucre', 'épices', ""régulateur d'acidité"", 'E331i', 'émulsifiants ', 'E450i', 'E451i', 'E452i', 'conservateur ', 'E250', 'antioxydant ', 'E301', ' Boyau comestible', ' Enrobage: Agent de conservation ', 'E235']","['E1400 - Dextrines', 'E331i - Citrate monosodique', 'E450i - Pyrophosphate de sodium acide', 'E451i - TPP', 'E452i - Polyphosphate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E235 - Natamycine']",['Lait'],"['Non végétalien', 'Non végétarien']",4,1977,?,1977 kj(473 kcal),"42,5",17,"1,95","0,5","20,7","2,95","1,18",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",42.5 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,2.95 g,en quantité élevée,+14%,,+16%,+25%,+32%,-33%,-72%,-10%,-21%,-21%,25,+5%,E,+5%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,200 g,"['Film', 'Plastique', 'Frais']",['Espagne'],,,,,['Espagne'],,
249,Fuet Extra  aux Noix - Tradition Espagnole - Soélia - 80gr,8436550863864,['Soélia'],"['en:gluten-free', 'Sans OGM', 'Sans exposition aux radiations']",['France'],"['Viande de Porc ', '140g pour de produit 100g', 'NOIX', '15%', ' lactose', 'protéines de lait', 'sel', 'arômes', 'dextrine de maïs', 'épices', 'vin', 'exhausteur de goût ', 'E621', 'dextrose de maïs', 'antioxydant ', 'E301', 'conservateurs', 'E252', 'E250', 'colorant ', 'E120']","['E1400 - Dextrines', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']","['Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1967,?,1967 kj(470 kcal),"40,5","12,8",4,"2,9","23,4","2,9","1,16",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucisses sèches']",40.5 g,en quantité élevée,12.8 g,en quantité élevée,2.9 g,en faible quantité,2.9 g,en quantité élevée,+14%,,+14%,+26%,+2%,+79%,+96%,-19%,-37%,-37%,21,-13%,E,-13%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,80 gr,"['Film', 'Plastique', 'Frais']",['Espagne'],,,,Fuet espagnol au noix,['Espagne'],http://soelia.com.es/fr/home/2-fuet-extra-aux-noix-80-gr-tradition-espagnole-8436550863864.html,
250,Fuet Extra au Fromage Espagnol - Tradition Espagnole - Soélia - 80g,8436550863888,['Soélia'],"['en:gluten-free', 'Sans OGM', 'Sans exposition aux radiations']",['France'],"['Viande de Porc ', '140g pour de produit 100g', '[fromage ', '20%', ' dont LAIT de vache pasteurisé ', '85%', ' et de brebis ', '15%', 'sel', 'présure', 'ferments lactiques', 'conservateur ', 'E252', ' agglomérant ', 'E460', 'lactose sel', 'protéine de LAIT]', 'arôme', 'dextrine de maïs', 'épices', 'exhausteur de goût ', 'E621', 'vin', 'dextrose de  maïs', 'antioxydant ', 'E301', 'conservateurs ', 'E252', 'E250', 'et colorant ', 'E120']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E460 - Cellulose', 'E1400 - Dextrines', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",['Lait'],"['Non végétalien', 'Non végétarien']",4,971,?,971 kj(232 kcal),"15,13","7,2","3,29","1,2","20,88","4,2","1,68",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucisses sèches']",15.1 g,en quantité modérée,7.2 g,en quantité élevée,1.2 g,en faible quantité,4.2 g,en quantité élevée,-44%,,-44%,-53%,-43%,+48%,-19%,-28%,-9%,-9%,19,-21%,E,-21%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,80 g,"['Sachet', 'Plastique', 'Frais']",['Espagne'],,,,Fuet Extra au Fromage Espagnol,['Espagne'],http://soelia.com.es/fr/home/3-fuet-extra-au-fromage-espagnol-80-gr-tradition-espagnole-8436550863888.html,
251,"Salami Gourmet Poivre Moitié Sous vide - Soélia - 1,75kg",8436550864229,['Soélia'],"['en:gluten-free', 'Sans OGM']",['France'],"['Porc', 'sont nécessaires de produit 125g viande pour 100g', 'saindoux', 'protéines de lait', 'lactose', 'sel', 'dextrine\rde maïs', 'dextrose de maïs', 'protéines de petits pois', 'épices', 'saveur de fumée', ""l'arôme"", 'antioxydant ', 'E-301', 'conservateurs ', 'E-252', 'E-250', 'colorant ', 'E-120', '\rCouverture de poivre de 4% conservateur E-235']","['E1400 - Dextrines', 'E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E235 - Natamycine']",['Lait'],"['Non végétalien', 'Non végétarien']",4,1680,?,1680 kj(402 kcal),"36,6",13,5,"4,5","14,3","3,9","1,56",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Salamis']",36.6 g,en quantité élevée,13 g,en quantité élevée,4.5 g,en faible quantité,3.9 g,en quantité élevée,-1%,,+4%,+12%,0%,+225%,+498%,-30%,+3%,+3%,23,-3%,E,-3%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"1,75 kg","['Frais', 'Sous-vide']",['Espagne'],,,,Demi Salami Gourmet au Poivre,['Espagne'],http://soelia.com.es/fr/home/15-moitie-salami-gourmet-au-poivre-sous-vide-175-kg-tradition-espagnole.html,
252,"Saucisson de Dinde - Tradition Espagnole - Soélia - 1,90kg",8436550864267,['Soélia'],"['en:gluten-free', 'Sans OGM', 'Sans porc']",['France'],"['Viande et gras de dinde', '114g pour 100g  de saucisson de dinde', 'protéines de LAIT', 'sel', 'Stabilisant  ', 'E420', 'dextrose', 'émulsifiants ', 'E450i', 'E452-i', 'épices', ' arôme', 'antioxydant ', 'E316', 'conservateurs ', 'E252', 'E250', ' et colorant ', 'E120', 'LACTOSE', 'agent de sapidité ', 'E621', '\rEnrobage: Boyau  alimentaire non-comestible Agents de conservation ', 'E235']","['E420 - Sorbitol', 'E450i - Pyrophosphate de sodium acide', 'E452i - Polyphosphate de sodium', 'E316 - Érythorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E235 - Natamycine']",['Lait'],"['Non végétalien', 'Non végétarien']",4,"1336,6",?,"1336,6 kj(319 kcal)","22,8","14,4","5,7",5,"23,3","3,8","1,52",,"['Viandes', 'Charcuteries', 'Saucissons']",22.8 g,en quantité élevée,14.4 g,en quantité élevée,5 g,en quantité modérée,3.8 g,en quantité élevée,-18%,,-17%,-26%,+21%,+164%,+276%,-8%,-10%,-10%,24,+3%,E,+3%,,,,,,,,"1,90 kg","['Frais', 'Film', 'Plastique']",['Espagne'],,,,Saucisson de Dinde de Soélia,['Espagne'],http://soelia.com.es/fr/home/16-saucisson-de-dinde-190-kg-tradition-espagnole-8436550864267.html,
253,Chorizo de Dinde - Tradition Espagnole - Soélia - 1.90kg,8436550864281,['Soélia'],"['en:gluten-free', 'Sans OGM']",['France'],"['Viande et gras de dinde', '114g pour 100g  de saucisson de dinde', 'protéines de LAIT', 'sel', 'protéines de SOJA', 'dextrine', 'poivrons rouges / paprika', 'Stabilisant ', 'E420', 'ail', 'dextrose', 'émulsifiants ', 'E450i', 'E452i', ' arôme', 'épices', 'agent de sapidité ', 'E621', 'antioxydant  ', 'E316', 'colorants ', 'E160c', 'E120', 'conservateurs ', 'E252', ' E250', 'LACTOSE']","['E1400 - Dextrines', 'E420 - Sorbitol', 'E450i - Pyrophosphate de sodium acide', 'E452i - Polyphosphate de sodium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E160c - Extrait de paprika', 'E120 - Acide carminique', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Lait', 'Soja']","['Non végétalien', 'Non végétarien']",4,971,?,971 kj(232 kcal),"15,13","7,2","3,29","1,2","20,88","4,25","1,7",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",15.1 g,en quantité modérée,7.2 g,en quantité élevée,1.2 g,en faible quantité,4.25 g,en quantité élevée,-44%,,-43%,-56%,-44%,+13%,-33%,-9%,+13%,+13%,19,-20%,E,-20%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,1.90 kg,['Frais'],['Espagne'],,,,Chorizo de Dinde  de Soélia,['Espagne'],http://soelia.com.es/fr/home/17-chorizo-de-dinde-190-kg-tradition-espagnole.html,
254,Fuet Extra - Tradition Espagnole - Soélia - 80g,8436550865806,['Soélia'],"['en:gluten-free', 'Sans OGM', 'Sans exposition aux radiations']",['France'],"['Viande Porc ', '170g à de produit 100g', 'lactose', 'sel', 'protéines  de LAIT', 'arôme', 'dextrine de maïs', 'épices', 'exhausteur de goût ', 'E621', 'vin', 'dextrose le maïs', 'les antioxydant ', 'E301', 'conservateurs ', 'E252', 'E250', 'colorant ', 'E120']","['E1400 - Dextrines', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",['Lait'],"['Non végétalien', 'Non végétarien']",4,1891,?,1891 kj(452 kcal),"38,5","14,07","2,2","1,1","25,25","3,02","1,208",C,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucisses sèches']",38.5 g,en quantité élevée,14.1 g,en quantité élevée,1.1 g,en faible quantité,3.02 g,en quantité élevée,+10%,,+10%,+20%,+12%,-1%,-26%,-13%,-35%,-35%,25,+4%,E,+4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,80 g,"['Film', 'Plastique', 'Frais']",['Espagne'],,,,Fuet espagnol de qualité extra,['Espagne'],http://soelia.com.es/fr/home/1-fuet-extra-80-gr-tradition-espagnole.html,
255,Fuet Extra aux Noisettes- Tradition Espagnole - Soélia - 80g,8436550865820,['Soélia'],"['en:gluten-free', 'Sans OGM']",['France'],"['Viande de Porc ', '140g pour de produit 100g', 'noisettes ', '15%', 'lactose', 'protéines de lait', 'sel', 'arôme', 'dextrine de maïs', 'épices', 'vin', 'exhausteur de goût ', 'E-621', 'dextrose de maïs', 'antioxydant ', 'E301', 'conservateurs ', 'E-252', 'E-250', 'colorant ', 'E-120']","['E1400 - Dextrines', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']","['Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1936,?,1936 kj(463 kcal),"40,5","12,9","0,7","0,1","24,8","2,8","1,12",,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons aux noisettes']",40.5 g,en quantité élevée,12.9 g,en quantité élevée,0.1 g,en faible quantité,2.8 g,en quantité élevée,+19%,,+20%,+32%,+8%,-68%,-92%,-2%,-33%,-33%,21,-10%,E,-10%,,,,,,,,80 g,"['Plastique', 'Sachet']",['Espagne'],,,,Fuet espagnol Extra aux Noissettes,['Espagne'],http://soelia.com.es/fr/home/4-fuet-extra-aux-noisettes-80-gr-tradition-espagnole-8436550865820.html,
256,Saucisson BODEGA au Fromage Espagnol - Tradition Espagnole  - Soélia - 600g,8436550865882,['Soélia'],"['en:gluten-free', 'Sans OGM', 'Sans ionisation']",['France'],"['Viande de porc', 'sont nécessaires de produit 140g  pour 100g', 'Fromage ', '20%', ' ', 'lait de vache pasteurisé ', '85%', ' et brebis ', '15%', 'sel', 'présure', 'ferments lactiques', 'conservateur ', 'E252', 'anti-agglomérant ', 'E460', 'lactose', 'sel', 'protéine LAIT', 'arôme', 'dextrine de maïs', 'épices', 'exhausteur de goût ', 'E621', 'vin', 'dextrose de maïs', 'antioxydant ', 'E301', 'conservateurs ', 'E252', 'E250', 'et colorant ', 'E120', '\rBoyau comestible ', ' Enrobage: conservateur ', 'E203', 'E235', 'colorant ', 'E171']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E460 - Cellulose', 'E1400 - Dextrines', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E203 - Sorbate de calcium', 'E235 - Natamycine', 'E171 - Oxyde de titane']",['Lait'],"['Non végétalien', 'Non végétarien']",4,1764,?,1764 kj(422 kcal),"33,1","13,9","2,5","1,8",29,"4,2","1,68",,"['Viandes', 'Charcuteries', 'Saucissons']",33.1 g,en quantité élevée,13.9 g,en quantité élevée,1.8 g,en faible quantité,4.2 g,en quantité élevée,+8%,,+9%,+8%,+17%,+16%,+35%,+15%,0%,0%,20,-15%,E,-15%,,,,,,,,600 g,"['Sachet', 'Plastique', 'Frais']",['Espagne'],,,,Saucisson BODEGA au Fromage Espagnol,['Espagne'],http://soelia.com.es/fr/home/7-saucisson-bodega-au-fromage-manchego-tradition-espagnole-8436550865882.html,
257,Ananas et Pomme,8436550940022,,,['France'],[],,,[],,?,45,188 kj(45 kcal),0,0,"10,8","10,1",0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Teatox,8436550940312,,,['France'],[],,,[],,?,1,4 kj(1 kcal),"0,1","0,1","0,2","0,1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Valentina Mediterranean Toast Black Olives,8436551190242,,,['France'],[],,,[],,?,474,1983 kj(474 kcal),"24,7","2,8","48,1","2,6","8,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Mediterranean snacks,8436551191096,,['Fabriqué en Espagne'],['France'],[],,,[],,?,474,1983 kj(474 kcal),"24,7","2,9","48,1","2,6","8,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Bienmesabe,8436551410197,,,['France'],[],,,[],,?,354,1481 kj(354 kcal),8,"0,2",68,62,"2,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Verge extra,8436551530499,,,['France'],[],,,[],,?,900,3766 kj(900 kcal),100,18,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Pinya colada free - Ametller Origen,8436551860770,['Ametller Origen'],,"['France', 'Espagne']",[],,,[],,?,65,272 kj(65 kcal),"0,9","0,8","13,6","13,6","0,5",0,0,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']",0.9 g,en faible quantité,0.8 g,en quantité modérée,13.6 g,en quantité élevée,0 g,en faible quantité,,+44%,+45%,+470%,+2908%,+31%,+41%,+48%,-100%,-100%,20,+196%,E,+196%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,,,,
264,Mojito free. - Ametller Origen,8436551860787,['Ametller Origen'],['Produits faisant référence au Mojito'],['France'],[],,,[],,?,42,176 kj(42 kcal),0,0,"10,5","10,3","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Ketchup - Ametller Origen,8436551862330,['Ametller Origen'],,['France'],"['Aigua', 'concentrat de tomàquet', 'sucre', 'xarop de glucosa-fructosa', ""vinagre d'alcohol"", 'midó modificat', 'sal', ""regulador d'acidesa: àcid cítric"", 'conservador: sorbat potàssic']","['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,[],4,?,148,619 kj(148 kcal),"0,3",0,34,26,"1,1","2,5",1,B,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",0.3 g,en faible quantité,0 g,en faible quantité,26 g,en quantité élevée,2.5 g,en quantité élevée,,+40%,+41%,+23%,-100%,+50%,+33%,-15%,+26%,+26%,16,+32%,D,+32%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,,,,,,,,
266,Veggie Crunch Mix,8436551951515,,,['France'],[],,,[],,?,324,1356 kj(324 kcal),4,"1,1",57,53,14,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Ananas croustillant bio,8436551952079,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique', 'Sans sucre ajouté', 'Sans additifs']",['France'],[],,,"['Végétalien', 'Végétarien']",,?,407,1703 kj(407 kcal),0,0,"22,2","19,9",1,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Banane croustillante bio - Vitasnack - 28g,8436551952086,['Vitasnack'],"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'ES-ECO-001-AN', 'Sans sucre ajouté', 'Sans additifs']","['France', 'Espagne']",[],,,[],,?,370,1548 kj(370 kcal),"1,1","0,4","78,7","66,5","4,7","0,01","0,004",,"['Snacks', 'Snacks sucrés']",1.1 g,en faible quantité,0.4 g,en faible quantité,66.5 g,en quantité élevée,0.01 g,en faible quantité,,-17%,-18%,-95%,-96%,+37%,+87%,-21%,-97%,-97%,14,-26%,D,-26%,,,,,,,,28g,,,,,,,,,
269,Carotte violette croustillante 24GR Bio - Vitasnack - RAWFOOD,8436551952178,['RAWFOOD'],['Bio'],['France'],[],,,[],,?,283,1184 kj(283 kcal),1,"0,1","43,9","39,7","5,8","0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Zucchini Crunch Rohkost - Vita Snack,8436551952185,['Vita Snack'],['Bio'],['France'],"['Eglth51t4 voti Natvt 7', '3 13', '5 84,4 mg/ 20,9 563 mg/ dur', 'hschnittli ', ""hen 400 '4 'NRV: Nutrient reference values""]",,,[],,?,345,1443 kj(345 kcal),"3,6","0,7","36,3","29,2","32,7","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,VitaSnack Poivron Croustillants,8436551952253,,,['France'],[],,,[],,?,405,1695 kj(405 kcal),"7,5","1,8","56,5","52,8","16,3","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Miel de monegros,8436552380086,,,['France'],[],,,[],,?,302,1264 kj(302 kcal),0,0,"75,1","75,1",0,0,0,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",0 g,en faible quantité,0 g,en faible quantité,75.1 g,en quantité élevée,0 g,en faible quantité,,+4%,+4%,-100%,-100%,-2%,+8%,-100%,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
273,Kailani,8436552820667,,,['France'],[],,,[],,?,12,50 kj(12 kcal),0,0,"2,7","2,7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,"Infusión ""Calma tu Karma""",8436552981146,,"['Bio', 'Bio européen', 'ES-ECO-022-GA']",['France'],[],,,[],,?,1,4 kj(1 kcal),"0,01","0,01","0,01","0,01","0,01","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Framboises ADELITA,8436553760009,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Paleta de bellota iberica,8436554002191,,"['Sans colorants', 'Sans lactose']",['France'],[],,,[],,?,460,1925 kj(460 kcal),"37,8","13,68",1,"0,5",29,"4,73","1,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Chorizo bellota,8436554002535,,,['France'],[],,,[],,?,494,2067 kj(494 kcal),43,16,0,0,26,"3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Aurum,8436554140060,,,['France'],[],,,[],,?,12,50 kj(12 kcal),26,26,26,26,26,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Chorizo doux extra,8436554210671,,['en:gluten-free'],['France'],[],,,[],,?,485,2029 kj(485 kcal),39,14,"8,5","4,4",25,"3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Yogur classico ovejo - Ametller Origen,8436554525706,['Ametller Origen'],,['France'],[],,,[],,?,94,393 kj(94 kcal),"5,9","2,8","4,7","4,6",5,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,XIKLES - The Company,8436554790050,['The Company'],,['France'],"['{cle sin azücar con edulcorantes', ' Ingredientes: Edulcorantes ', 'Sorbitol', ""Isomaltosa'"", 'r- GimaBase', 'Aromas', 'Edulcorante ', 'Xilitol', 'Edulcorante ', 'Jarabe de Maltitol', 'E414', 'Colorantes ', 'El 71', 'Humectante', 'Glicerina', 'Emulgentes ', 'Lecitina de Soja', 'Edulcorantes ', 'Aspartamo', 'Acesulfamo-K', 'Agente de recubrimiento Carnauba E903', 'Antioxidante ', 'E321 Contiene una fuente de consumo excesivo puede tener efectos laxantes ', ' Conservar en \\ugar fresco']","['E420 - Sorbitol', ""E414 - Gomme d'acacia"", 'E950 - Acésulfame K', 'E321 - Butylhydroxytoluène']",,[],4,?,162,678 kj(162 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Nectar de llimona,8436555240134,,,['France'],[],,,[],,?,37,155 kj(37 kcal),0,0,"9,17","6,7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Truite fumee,8436555642914,,,['France'],[],,,[],,?,214,895 kj(214 kcal),14,"2,79",0,0,22,"0,961","0,384",E,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",14 g,en quantité modérée,2.79 g,en quantité modérée,0 g,en faible quantité,0.961 g,en quantité modérée,,+30%,+31%,+79%,+72%,-100%,-100%,-3%,-65%,-65%,3,-75%,C,-75%,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,,,,,,,
284,huile d'olive extra vierge encapsulée et piment,8436555780173,,,['France'],[],,,[],,?,884,3699 kj(884 kcal),98,13,"0,1","0,1","0,5","0,2","0,08",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",98 g,en quantité élevée,13 g,en quantité élevée,0.1 g,en faible quantité,0.2 g,en faible quantité,,+3%,+3%,+3%,-7%,,,,+396725%,+396725%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,
285,Perles d'huile,8436555780524,,,['France'],[],,,[],,?,884,3699 kj(884 kcal),98,13,"0,1","0,1","0,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Citrons -  - 500g,8436555810757,,,['France'],"['Citrons', 'E202', ""agents d'enrobage E904"", 'E914', "" Traité à l'imazalil et pyrimethanil""]","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E904 - Gomme-laque', 'E914 - Cire de polyéthylène oxydée']",,"['Non végétalien', 'Non végétarien']",4,?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Fruits frais', 'Citrons', 'Citrons frais']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,['Espagne'],,,,,['Argentine'],,
287,Arbequina,8436556030215,,"['Bio', 'Bio européen', 'ES-ECO-019-CT']",['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Hot dog,8436556392047,,['en:gluten-free'],['France'],[],,,[],,?,335,1402 kj(335 kcal),"0,2","0,2",77,58,"4,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Alien,8436556393167,,,['France'],[],,,[],,?,334,1397 kj(334 kcal),"0,2","0,2",77,58,"4,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Tropicos acidulés,8436556393280,,['Fabriqué en Espagne'],['France'],[],,,[],,?,336,1406 kj(336 kcal),0,0,78,56,"4,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Os / confiserie aérée,8436556393761,,,['France'],[],,,[],,?,335,1402 kj(335 kcal),"0,2","0,2",78,71,"4,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Bonbons,8436556393938,,['Fabriqué en Espagne'],['France'],[],,,[],,?,335,1402 kj(335 kcal),"0,2","0,2",78,71,"4,3","0,2","0,08",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0.2 g,en faible quantité,0.2 g,en faible quantité,71 g,en quantité élevée,0.2 g,en faible quantité,,-6%,-7%,-89%,-81%,-6%,+22%,+103%,+65%,+65%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,
