,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,brand,categories,link,markets,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,nova_score,additives,manufacturing,ingredients_origins,generic_name,origin_detail
280,Merguez Bœuf,3018170402873,['France'],[],[],?,301,27,"1,4",13,E,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez', 'Merguez de bœuf']",,,,27 g,en quantité élevée,13 g,en quantité élevée,0.9 g,en faible quantité,1.5 g,en quantité modérée,,+14%,1259 kj(301 kcal),+16%,+22%,13,+37%,-27%,"0,9",-14%,-8%,"1,5",-20%,"0,6",-20%,19,-1%,E,-1%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,,,,,,,,,
281,Poêlée cuisinée à l'arlésienne,3083680998260,['France'],[],[],?,80,3,10,"2,5",,,,,,,,,,,,,,,,,,335 kj(80 kcal),,,"0,4",,,"2,9",,,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,
282,Weider,8414192313268,['France'],[],[],?,?,?,?,?,,,['Weider'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Pain seigle,0205055007879,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Soupe aux favouilles - 730g,3251870006471,['France'],[],[],?,37,"2,6","0,5","3,1",,730 g,,,,,,,,,,,,,,,,155 kj(37 kcal),,,"0,4",,,"0,5",,,"0,83",,"0,332",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",['FR 13.876.902 CE'],,,,,,
285,L-carnitine drink,5999076212439,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Framboises au vin de Gascogne,3493372920057,['France'],[],[],?,81,"0,18","14,5","0,86",,,,,,,,,,,,,,,,,,339 kj(81 kcal),,,"0,01",,,"14,34",,,0,,0,,,,,,,,,,,,,,,,,,,,,
287,Jambon,2470526039880,['France'],[],[],?,123,31,"0,5",23,,,,,,['Picard'],,,,,,,,,,,,515 kj(123 kcal),,,"1,4",,,"0,5",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,
288,L'indécente de Cassel,3760004450115,['France'],[],[],?,42.4,"0,1","9,95","0,1",,,,,,,,,,,,,,,,,,177 kj(42 kcal),,,"0,01",,,"9,67",,,,,,,,,,,,,,,,,,,,,,,,,,
289,Terrine au piment d'Espelette,3429490021413,['France'],[],[],?,303,"24,6","1,8","18,6",,,,,,,,,,,,,,,,,,1268 kj(303 kcal),,,"9,6",,,"1,68",,,"0,527",,"0,211",,,,,,,,,,,,,,,,,,,,,
290,Façon Paëlla,3350033720954,['France'],[],[],?,359,"8,4",17,19,,,,,,,,,,,,,,,,,,1502 kj(359 kcal),,,"1,8",,,"4,8",,,"3,3",,"1,32",,,,,,,,,,,,,,,,,,,,,
291,Côtes de porc marinées,2639057073279,['France'],[],[],?,203,15,1,2,,,,,,,,,,,,,,,,,,849 kj(203 kcal),,,"6,8",,,1,,,2,,"0,8",,,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,,,,,
292,Cornichons de munich en tranches,4006824998987,['France'],[],[],?,54,"0,2","11,8","0,4",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,,,0.2 g,en faible quantité,0.1 g,en faible quantité,11.8 g,en quantité modérée,1.8 g,en quantité élevée,,+100%,226 kj(54 kcal),+111%,-32%,"0,1",+46%,+243%,"11,8",+352%,-60%,"1,8",+5%,"0,72",+5%,4,+84%,C,+84%,,,,,,,,,,,,,,,,
293,Huile olive vierge extra AOP,3760056270495,['France'],[],[],?,900,"99,8",0,0,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",,,,99.8 g,en quantité élevée,15.1 g,en quantité élevée,,,0 g,en faible quantité,,+6%,3766 kj(900 kcal),+6%,+5%,"15,1",+10%,,,,,0,,0,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,
294,Saucisse seche droite,2261606036345,['France'],[],[],?,441,36,"2,2",27,,,,,,,,,,,,,,,,,,1845 kj(441 kcal),,,15,,,"0,6",,,"4,4",,"1,76",,,,,,,,,,,,,,,,,,,,,
295,Pâtes sèches Mafaldine - Coeur de Creuse,3770017331073,['France'],[],[],?,365,2,68,15,,,['Coeur de Creuse'],,,,,,,,,,,,,,,1527 kj(365 kcal),,,"0,5",,,4,,,0,,0,,,,,,,,,,,,,,,,,,,,,
296,Flan Pasteleiro,5601451110246,['France'],[],[],?,382,"0,5",95,"0,5",,,,,,,,,,,,,,,,,,1598 kj(382 kcal),,,0,,,87,,,"0,23",,"0,092",,,,,,,,,,,,,,,,,,,,,
297,6 chocolats 6 merguez - Bigard,3273230264703,['France'],[],[],?,241,19,"1,4",16,,,['Bigard'],,,,,,,,,,,,,,,1008 kj(241 kcal),,,8,,,1,,,"1,8",,"0,72",,,,,,,,,,,,,,['Sans conservateurs'],"['FR 29.233.001 CE', 'Quimperlé (Finistère, France)']",,,,,,
298,Brique chèvre - 160g,3428380001450,['France'],[],[],?,297,24,"1,3",19,,160 g,,,,,,,,,,,,,,,,1243 kj(297 kcal),,,17,,,"0,5",,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
299,Cornet caramel beurre salé - 6x 25g,4007843523808,['France'],[],[],?,438,"11,8",77,6,,6 x 25 g,,,,,,,,,,,,,,,,1833 kj(438 kcal),,,"8,4",,,"35,5",,,"0,24",,"0,096",,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",,,,,,,
300,Crémant d'Alsace Cleebourg,3304620930233,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Macarons,0201541084621,['France'],[],[],?,421,18,54,"9,3",,,,,,,,,,,,,,,,,,1761 kj(421 kcal),,,"3,9",,,53,,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,
302,Berni votre charcuterie espagnole,3264057557260,['France'],[],[],?,0,?,?,?,,,['Berni'],,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Rhum arrangé letchi passion,3283770211419,['France'],[],[],?,?,?,?,?,C,,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums']",,,,,,,,,,,,,,,,,0,-100%,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,
304,Pitchou,3760030420311,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
305,Mélange exotique,2600129025588,['France'],[],[],?,387,11,"69,8","1,9",,,,,,,,,,,,,,,,,,1619 kj(387 kcal),,,"10,1",,,"57,2",,,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,
306,Vieux Pané,0284940018305,['France'],[],[],?,309,25,"0,5",21,,,,,,,,,,,,,,,,,,1293 kj(309 kcal),,,17,,,"0,5",,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,
307,Le marchand de sable - 25g,3770004965229,['France'],[],[],?,1,0,"0,2","0,1",,25 g,,,,,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,['Bio'],,,,,,,
308,Arcachon,0654479011878,['France'],[],[],?,496,"24,3","64,9","6,2",,,,,,,,,,,,,,,,,,2075 kj(496 kcal),,,"15,5",,,"29,8",,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,
309,Le duo de bar & noix de st-jacques,3660806027402,['France'],[],[],?,81,3,"2,3",10,,,,,,,,,,,,,,,,,,339 kj(81 kcal),,,"0,7",,,"1,5",,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,
310,Pomme de terre bio frites - 1kg,,['France'],[],[],?,?,?,?,?,,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
311,Soupe de poireaux -,3760020050405,['France'],[],[],?,137.06,"1,88","2,89","0,5",,,,,,,,,,,,,,,,,,573 kj(137 kcal),,,"1,2",,,"0,81",,,,,,,,,,,,,,,,,,,,,,,,,,
312,Apero Bique Ail,3358600041310,['France'],[],[],?,336,25,1,24,,,,,,,,,,,,,,,,,,1406 kj(336 kcal),,,14,,,"0,4",,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
313,Ultra burner - Weider,8414192312896,['France'],[],[],?,?,?,?,?,,,['Weider'],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Comte 6 mois petite,0200272024074,['France'],[],[],?,?,?,?,?,D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
315,Brochettes de poulet marinees thym cotron,0207656196334,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,4x 90ml,8421691292574,['France'],[],[],?,?,?,?,?,,4 x 90 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,amarena golden,8051511620005,['France'],[],[],?,278,"0,1","68,5","0,1",,,,,,,,,,,,,,,,,,1163 kj(278 kcal),,,0,,,"58,5",,,,,,,,,,,,,,,,,,,,,,,,,,
318,IsoXp Whey Protein Isolate - Prozis,5600826209103,['France'],[],[],?,363,"0,5","1,6",88,,,['Prozis'],,,,,,,,,,,,,,,1519 kj(363 kcal),,,"0,2",,,0,,,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,,,
319,Cihan tea,4796002516521,['France'],[],[],?,1,0,"0,2","0,1",,,,,,,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,
320,Tablette chocolat noir Mexique,3770003110248,['France'],[],[],?,0,?,?,?,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Krikita gold,0022644072366,['France'],[],[],?,0,?,?,21,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,
322,5 / 1 Mutti Polpa Morceaux,8005110101007,['France'],[],[],?,0,0,"3,9","1,2",,,,,,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,"2,8",,,8,,"3,2",,,,,,,,,,,,,,,,,,,,,
323,Sunrise - Kyäni,01023107,['France'],[],[],?,0,?,?,?,,,['Kyäni'],,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,
324,Croissants  margarine,3607703915104,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,
325,Lait (1% ),0055872035186,['France'],[],[],?,40,1,"4,8","3,6",,,,,,,,,,,,,,,,,,167 kj(40 kcal),,,"0,6",,,"4,4",,,"0,115",,"0,046",,,,,,,,,,,,,,,,,,,,,
326,Ozeki Sake DRY,4006599002063,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Noix de Saint Jacques,03335331,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Gentilini Vittorio biscuits citron,8007465603205,['France'],[],[],?,456,"13,2","73,2","8,3",,,,,,,,,,,,,,,,,,1908 kj(456 kcal),,,"5,8",,,27,,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
329,Tgi Friday's Potato Skins - Cheddar And Bacon,0720495902107,['France'],[],[],?,530.03534997826,"31,802","49,47","3,534",,,,,,,,,,,,,,,,,,2218 kj(530 kcal),,,"5,3",,,"3,534",,,"2,12",,"0,848",,,,,,,,,,,,,,,,,,,,,
330,Zhi Bai Di Huang Pian,3760201802366,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Croissant pur beurre AOP,2100000450213,['France'],[],[],?,418,26,36,"7,8",,,,,,,,,,,,,,,,,,1749 kj(418 kcal),,,19,,,"6,3",,,"0,88",,"0,352",,,,,,,,,,,,,,,,,,,,,
332,Gentilini Brasil biscuits chocolat,8007465666330,['France'],[],[],?,470,"17,5","69,1","6,9",,,,,,,,,,,,,,,,,,1966 kj(470 kcal),,,"6,2",,,"39,7",,,"0,85",,"0,34",,,,,,,,,,,,,,,,,,,,,
333,Confiture Pomme Potiron Bio - Terre d'Opale - 305grs,3760252710207,['France'],"['sucre de canne', 'pomme ', '26%', 'potiron 26%', ""jus d'orange"", 'jus de citron']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,234,"0,1","57,8","0,4",C,305 grs,"[""Terre d'Opale""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,,0.1 g,en faible quantité,0 g,en faible quantité,57.1 g,en quantité élevée,0 g,en faible quantité,,+5%,979 kj(234 kcal),+5%,-62%,0,-100%,+8%,"57,1",+12%,-23%,0,-100%,0,-100%,11,+18%,D,+18%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Bocal de verre'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']","['EMB 62852B', 'Vieille-Église (Pas-de-Calais, France)']",3,,['Vielle Église 62162'],,,
334,Le bio à emporter partout,2254646670709,['France'],[],[],?,34,0,"8,6","0,4",,,,,,,,,,,,,,,,,,142 kj(34 kcal),,,0,,,"8,6",,,0,,0,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
335,Confiture fruits des bois - Francis Miot,3396748500627,['France'],[],[],?,183,"0,5",43,"0,5",D,,"['Francis Miot', 'Maison Francis Miot']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits', 'Confitures de fruits rouges', 'Confitures de fruits rouges mélanges']",,,,0.5 g,en faible quantité,0.1 g,en faible quantité,43 g,en quantité élevée,0.01 g,en faible quantité,,-16%,766 kj(183 kcal),-16%,+97%,"0,1",+119%,-18%,43,-15%,-8%,"0,01",-51%,"0,004",-51%,10,+5%,C,+5%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,
336,Gelglace,3660407067739,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Jambon de Vendée,2611506095902,['France'],[],[],?,215,12,"0,6",25,,,,,,,,,,,,,,,,,,900 kj(215 kcal),,,"4,4",,,"0,5",,,"4,1",,"1,64",,,,,,,,,,,,,['Film en plastique'],,"['FR 85.006.001 CE', 'Apremont (Vendée, France)']",,,,,,
338,Mix Cramberries - Daco Bello,3270720935600,['France'],[],[],?,486,"27,6","44,8","11,2",,,['Daco Bello'],,,,,,,,,,,,,,,2033 kj(486 kcal),,,"2,3",,,"39,4",,,,,,,,,,,,,,,,,,,,,,,,,,
339,1/4 Jambon de Bayonne IGP,2692774086397,['France'],[],[],?,927,12,0,28,E,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne']",,,,12 g,en quantité modérée,4 g,en quantité modérée,0 g,en faible quantité,4 g,en quantité élevée,,+278%,3879 kj(927 kcal),+277%,-14%,4,-33%,-100%,0,-100%,-4%,4,-16%,"1,6",-16%,23,+28%,E,+28%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,,,,,,,
340,Miel des fleurs des champs,3412020001214,['France'],[],[],?,?,?,?,?,B,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,0 g,en faible quantité,,,,,,,,,,0,-100%,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
341,Chocolat,5701049171700,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,
342,Oat cookie - 50g,5060201623717,['France'],[],[],?,382,"12,1","42,8","21,4",,50 g,,,,,,,,,,,,,,,,1598 kj(382 kcal),,,"3,4",,,"3,8",,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,
343,Huile d'olives,5200118681985,['France'],[],[],?,899,100,0,0,,,,,,,,,,,,,,,,,,3761 kj(899 kcal),,,14,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,
344,Amandine 4p,0209566031163,['France'],[],[],?,362,19,40,"5,3",,,,,,,,,,,,,,,,,,1515 kj(362 kcal),,,"8,3",,,24,,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,
345,sirop d'érable - mapple house - 250ml,0068270203163,['France'],"[""sirop d'érable""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,250 ml,['mapple house'],['Sirops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Verre'],,,3,,,,,
346,Pate à tartiner cacao noisette,2012000019140,['France'],[],[],?,0,?,?,?,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,2 biftecks,0242742042973,['France'],[],[],?,113,"2,3",0,23,,,,,,,,,,,,,,,,,,473 kj(113 kcal),,,"0,8",,,0,,,"0,2",,"0,08",,,,,,,,,,,,,,"['Bio', 'Nutriscore']",,,,,,,
348,Smoofizz sodas,3116740035398,['France'],[],[],?,405,"7,3",85,"0,3",E,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,7.3 g,en quantité modérée,4.2 g,en quantité modérée,58 g,en quantité élevée,0.54 g,en quantité modérée,,+14%,1695 kj(405 kcal),+13%,+292%,"4,2",+296%,+2%,58,0%,-86%,"0,54",+346%,"0,216",+346%,21,+46%,E,+46%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,
349,Soupe aux orties,3574314380792,['France'],[],[],?,42,"2,2","3,8","1,3",,,,"['Plats préparés', 'Soupes', ""Soupe d'ortie""]",,,,2.2 g,en faible quantité,1.5 g,en quantité modérée,0 g,en faible quantité,0.48 g,en quantité modérée,,-26%,176 kj(42 kcal),-26%,+13%,"1,5",+148%,-34%,0,-100%,-41%,"0,48",-45%,"0,192",-45%,3,+83%,C,+83%,,,,,,,,,,,,,,,,
350,Coroissants pur beurre,0214512013056,['France'],[],[],?,435,24,46,8,,,,,,,,,,,,,,,,,,1820 kj(435 kcal),,,16,,,"8,1",,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,
351,Burrata olive nere -,3701002404717,['France'],[],[],?,196,16,"0,9",12,D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Burrata']",,,,16 g,en quantité modérée,9.6 g,en quantité élevée,0.9 g,en faible quantité,0.5 g,en quantité modérée,,-21%,820 kj(196 kcal),-20%,-24%,"9,6",-28%,-37%,"0,9",-29%,-1%,"0,5",-10%,"0,2",-10%,8,-16%,C,-16%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
352,Tartine de la Reunion,3760153932197,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Filet de canard,0217713155921,['France'],[],[],?,?,?,?,?,D,,,"['Viandes', 'Volailles', 'Canards', 'Filets de canard']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,
354,Filets d'Anchois Marinés,8698782200545,['France'],[],[],?,239,"17,62",0,"20,1",B,,,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",,,,17.6 g,en quantité modérée,5.03 g,en quantité élevée,0 g,en faible quantité,1.08 g,en quantité modérée,,+18%,1000 kj(239 kcal),+15%,+40%,"5,03",+108%,-100%,0,-100%,-3%,"1,08",-84%,"0,432",-84%,5,-60%,C,-60%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,,,,,,,
355,Fondant citron,3271710003033,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Boles de picolat,3301854420011,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Mâche Le Potager de Jade,3760308500011,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Banane,2600480009517,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
359,Banderillas piquant au vinaigre,8411578501509,['France'],[],[],?,32,"2,5","0,4","0,7",,,,,,,,,,,,,,,,,,134 kj(32 kcal),,,"0,36",,,"0,36",,,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,
360,LB6 Nature sucré - 6x 100g,05357733,['France'],[],[],?,68,"1,4",11,"2,7",,6 x 100 g,,,,,,,,,,,,,,,,285 kj(68 kcal),,,"0,9",,,11,,,"0,1",,"0,04",,,,,,,,,,,,,,['Nutriscore'],,,,,,,
361,Miel d'avocatier,3700942500114,['France'],[],[],?,?,?,?,?,B,,"[""Miel d'avocatier""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'avocatier""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-09']",,,,,,,
362,Huile d’olive et mandarine de mediterranée,3770000484182,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Bio Natives Olivenöl Extra -,5203939140037,['France'],[],[],?,900,100,0,0,C,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,3766 kj(900 kcal),+5%,+5%,14,0%,,0,,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['Bottle'],"['Bio', 'Bio européen', 'GR-BIO-03']",,,,,,,
364,Boîte de 5 croissants et 5 paints au chocolars,0202625033450,['France'],[],[],?,473,29,43,"8,7",,,,,,,,,,,,,,,,,,1979 kj(473 kcal),,,20,,,10,,,"0,94",,"0,376",,,,,,,,,,,,,,,,,,,,,
365,Poulet cuit fume,2604086029061,['France'],[],[],?,157,"8,4","2,4",21,,,,,,,,,,,,,,,,,,657 kj(157 kcal),,,"2,4",,,0,,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,
366,Concombres en saumure,8696801000268,['France'],[],[],?,16,0,"2,97","0,097",,,,,,,,,,,,,,,,,,67 kj(16 kcal),,,0,,,"0,63",,,"3,15",,"1,26",,,,,,,,,,,,,,,,,,,,,
367,Crispy onions,8172781823375,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Préparation  sucrée pour barbe à papa,3700392498290,['France'],[],[],?,399,0,100,0,,,,,,,,,,,,,,,,,,1669 kj(399 kcal),,,0,,,100,,,0,,0,,,,,,,,,,,,,,,,,,,,,
369,Melange babylone,2374711017588,['France'],[],[],?,528,35,28,21,,,,,,,,,,,,,,,,,,2209 kj(528 kcal),,,"5,4",,,22,,,"0,48",,"0,192",,,,,,,,,,,,,,,,,,,,,
370,Bretzel,2070326000006,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Jean Degaves bordeaux,3439495301793,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Papaye sécée,3701381200184,['France'],[],[],?,316,0,77,1,,,,,,,,,,,,,,,,,,1322 kj(316 kcal),,,0,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,
373,3760192980098,3760192980098,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Vin biologique Cévennes IGP,3337491006110,['France'],[],[],?,?,?,?,?,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
375,Spaghetti 2 - 500g,6194604678025,['France'],[],[],?,350,"1,6",72,"12,5",,500 g,,,,,,,,,,,,,,,,1464 kj(350 kcal),,,"0,4",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
