,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,brand,categories,link,markets,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,nova_score,additives,manufacturing,ingredients_origins,generic_name,origin_detail
52,La belle escalope de dinde - Le Gaulois,0217638026177,['France'],[],[],?,105,"1,4",0,23,D,,['Le Gaulois'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,1.4 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.19 g,en faible quantité,,-13%,439 kj(105 kcal),-13%,+6%,"0,4",-1%,-100%,0,-100%,+0%,"0,19",-66%,"0,076",-66%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,
53,Comte,2296972043109,['France'],[],[],?,418,"34,6",0,"26,7",D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,34.6 g,en quantité élevée,22.5 g,en quantité élevée,0 g,en faible quantité,0.82 g,en quantité modérée,,-0%,1749 kj(418 kcal),-0%,-0%,"22,5",-1%,-100%,0,-100%,-1%,"0,82",-2%,"0,328",-2%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['FR 39.278.002 CE', 'Largillay-Marsonnay (Jura, France)']",,,,,,
54,Pastèque morceaux,0202299014366,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Pain au chocolat,0208036018376,['France'],[],[],?,417,24,42,"6,1",,,,,,,,,,,,,,,,,,1745 kj(417 kcal),,,16,,,16,,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,
56,Piece de boeuf attendri,0211026025520,['France'],[],[],?,119,"4,3","0,5",20,,,,,,,,,,,,,,,,,,498 kj(119 kcal),,,2,,,"0,5",,,"0,39",,"0,156",,,,,,,,,,,,,,,"['FR 26.347.022 CE', ""Tain-l'Hermitage (Drôme, France)""]",,,,,,
57,Filets de poulet,2424503019884,['France'],[],[],?,?,?,?,?,,,,['en:Filets de Poulet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Les cuisses de poulet,0212554018503,['France'],[],[],?,217,17,0,16,D,,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,17 g,en quantité modérée,4.8 g,en quantité modérée,0 g,en faible quantité,0.19 g,en faible quantité,,+14%,908 kj(217 kcal),+13%,+37%,"4,8",+43%,-100%,0,-100%,-13%,"0,19",-75%,"0,076",-75%,1,-72%,B,-72%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Film en plastique', 'Barquette']","['Nutriscore', 'Nutriscore B']",,,,,,,
59,Riz au lait à la vanille,05859942,['France'],[],[],?,118,"2,7",20,"3,3",,,,,,,,,,,,,,,,,,494 kj(118 kcal),,,"1,8",,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Graines de lin brun,2218438001126,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
61,Escalope de dinde volaé,0211631013387,['France'],[],[],?,?,?,?,?,D,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,"['FR 79.179.002 CE', 'Moncoutant (Deux-Sèvres, France)']",,,,,,
62,Pâte jalfrezi,5011308700153,['France'],[],[],?,?,?,?,?,,,['Pâte jalfrezi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Miel,4250382208952,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Mayonnaise aux oeufs - 470g,5400501115015,['France'],[],[],?,744,"81,7","0,2","1,7",,470 g,,,,,,,,,,,,,,,,3113 kj(744 kcal),,,"6,6",,,"0,1",,,"1,09",,"0,436",,,,,,,,,,,,,,,,,,,,,
65,Saucisson pur porc long,2244757089736,['France'],[],[],?,380,"30,8","0,96","24,9",,,,,,,,,,,,,,,,,,1590 kj(380 kcal),,,"11,9",,,"0,96",,,"4,4",,"1,76",,,,,,,,,,,,,,,,,,,,,
66,Arancini di pollo,3760273250829,['France'],[],[],?,226,"9,1",28,"6,4",,,,,,,,,,,,,,,,,,946 kj(226 kcal),,,"2,3",,,"1,9",,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,
67,Pogne courgette fromage,3760097780090,['France'],[],[],?,215,"14,6","13,6","7,4",,,,,,,,,,,,,,,,,,900 kj(215 kcal),,,9,,,2,,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,
68,Guimauve fantaisie enrobée de chocolat au lait,2608104025325,['France'],[],[],?,406,11,74,"3,7",,,,,,,,,,,,,,,,,,1699 kj(406 kcal),,,"6,5",,,57,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Concombres finement tranchés,2253020016409,['France'],[],[],?,85,"7,3","2,6","1,6",,,,,,,,,,,,,,,,,,356 kj(85 kcal),,,"1,3",,,"2,2",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,
70,ARANCINI MOZZARELLA,3760273250836,['France'],[],[],?,239,11,27,"7,2",,,,,,,,,,,,,,,,,,1000 kj(239 kcal),,,"4,3",,,"1,1",,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,
71,Tentation de mousse,990530101002195034,['France'],[],[],?,391,28,29,"6,6",,,,,,,,,,,,,,,,,,1636 kj(391 kcal),,,16,,,25,,,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,
72,Fusilli a base de petit epautre,3770006945045,['France'],[],[],?,360,"1,4",74,11,,,,,,,,,,,,,,,,,,1506 kj(360 kcal),,,"0,04",,,"0,4",,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-16']",,,,,,,
73,Big bubble balls - Hitschler - 2500g,4100250050742,['France'],[],[],?,328,0,82,0,,2500 g,['Hitschler'],,,,,,,,,,,,,,,1372 kj(328 kcal),,,0,,,73,,,0,,0,,,,,,,,,,,,,,,,,,,,,
