,name,bar_code,eco_score,quantity,brand,categories,labels,ingredients_origins,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,link,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,markets,allergens,manufacturing,palm_ingredients,producer_info,origin_detail
389,Calzone jambon et fromage - Turini - 380g,3564700884638,,380 g,"['Turini', 'Marque Repère']","['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Calzone']",,,,['France'],"['Farine de blé 33 % ', ' eau ', ' mozzarella 8,5 % ', ' jambon cuit supérieur rôti aux herbes 8 % ', 'viande de porc ', 'origine : UE', 'sel', 'épices', 'sucre', 'arômes naturels', 'plantes aromatiques', 'antioxydant : E316', 'conservateur : E250', ' ', ' crème fraîche légère épaisse ', 'crème légère', 'contient amidons modifiés de tapioca et/ou de pomme de terre', 'épaississant : pectines', 'ferments lactiques', ' ', ' emmental 6,8 % ', ' purée de tomates mi-réduites 6 % ', ' poudre à lever : E500 ', ' Parmigiano Reggiano 0,7 % ', ' huile de colza ', ' sel ', ' levure boulangère ', ' provolone 0,4 % ', ' acidifiant : E575 ', ' conservateur : E202 ', ' basilic 0,1 % ', "" purée d'ail "", "" huile d'olive vierge "", ' origan', "" Traces d'œufs"", 'moutarde et poissons']","['Non végétalien', 'Non végétarien']",875,-2%,?,,"7,1",+15%,25,-11%,10,+8%,,,,,,,,,,,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E440 - Pectines', 'E500 - Carbonates de sodium', 'E575 - Glucono-delta-lactone', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,7.1 g,en quantité modérée,3.9 g,en quantité modérée,2.4 g,en faible quantité,1.1 g,en quantité modérée,875 kj(209 kcal),-1%,"3,9",+28%,"2,4",-29%,"1,1",-9%,"0,44",-9%,2,-63%,B,-63%,['Leclerc'],"['Gluten', 'Lait']",,,,
390,Spaghetti à la bolognaise - Côté Table - 415g,3564700994658,,415 g,"['Côté Table', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",,['Boeuf origine France'],['BE B758 EC'],['France'],"['Eau ', ' pâtes sèches 10 % ', 'semoule de blé dur', 'eau', ' ', ' concentré de tomates 6,9 % ', ' viande de bœuf ', 'Origine : France', ' 5 % ', ' oignons 4,3 % ', ' carottes 3,4 % ', ' sel ', ' sucre ', ' amidon modifié de maïs ', "" vinaigre d'alcool "", ' farine de blé ', ' arômes ', ' huile de colza ', ' sirop de glucose ', ' oignon en poudre ', ' extrait de levure ', ' dextrose ', ' huile de tournesol ', ' huile de coco ', ' épices ', ' carotte en poudre ', ' poireau en poudre ', ' extrait de marjolaine ', "" extrait d'origan "", ' extrait de thym ', ' exhausteurs de goût : glutamate monosodique', 'E627', 'E631']","['Non végétalien', 'Non végétarien']",280,-81%,?,,"0,8",-54%,11,-84%,"3,2",-73%,,,,,,,,Spaghetti courts à la Bolognaise,['Conserve'],,"['E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique']",4,0.8 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,1 g,en quantité modérée,280 kj(67 kcal),-81%,"0,3",-19%,3,+1%,1,+4049%,"0,4",+4049%,2,,B,,['Leclerc'],['Gluten'],['Belgique'],,,
391,P'tit max chocolat - Marque Repère - 6x 180g,3564700999783,,6 x 180 g,"['Marque Repère', 'Délisse']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts au chocolat']",['Sans colorants'],,,['France'],"['Lait écrémé ', 'origine : France', ' 82% ', ' sucre 4% ', ' chocolat en poudre 3,9% ', 'sucre', 'poudre de cacao', ' ', ' crème ', 'origine : France', ' ', ' chocolat au lait 2% ', 'sucre', 'pâte de cacao', 'poudre de lait entier ', 'origine : UE ou hors UE', 'beurre de cacao', 'poudre de lait écrémé ', 'origine : UE ou hors UE', ' ', ' protéines de lait ', ' amidon de maïs ', ' épaississant : carraghénanes ', ' lactose et minéraux du lait ', 'origine : UE ou hors UE']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",380,-50%,?,,"1,9",-80%,14,-31%,4,-11%,,,,,,,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,1.9 g,en faible quantité,1.2 g,en faible quantité,12 g,en quantité modérée,0.1 g,en faible quantité,380 kj(91 kcal),-53%,"1,2",-79%,12,-32%,"0,1",-43%,"0,04",-43%,2,-76%,B,-76%,['Leclerc'],['Lait'],,,,
392,Champignons de Paris Entiers - Notre Jardin - 2x 115g,3564706500709,A,2 x 115 g,"['Notre Jardin', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Champignons en conserve', 'Champignons de Paris', 'Champignons de Paris en conserve', 'Champignons de Paris entiers en conserve', 'Champignons de Paris entiers']",['Point Vert'],['France'],,['France'],"['Champignons de Paris', 'eau', 'sel', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",64,-20%,?,,"0,5",+43%,"0,6",-23%,"2,2",-3%,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,"['Conserve', 'métal']",,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",3,0.5 g,en faible quantité,0.3 g,en faible quantité,0.5 g,en faible quantité,0.7 g,en quantité modérée,64 kj(15 kcal),-23%,"0,3",+250%,"0,5",+46%,"0,7",+5%,"0,28",+5%,-5,,A,,['Leclerc'],,['France'],,,
393,Spécialité au soja chocolat - Marque Repère - 8x 100g,3564706502628,,8 x 100 g,"['Marque Repère', 'Nat&Vie']",,,,,['France'],"['Jus de soja 78 % ', 'eau', 'graines de soja 6 %', 'sucre', 'chocolat en poudre 6,5 % ', 'sucre', 'cacao en poudre', 'amidon modifié de tapioca', 'cacao maigre en poudre', 'phosphates de calcium', 'épaississant : carraghénanes', 'sel', 'arôme naturel', ' Traces de fruits à coque', 'Les pourcentages sont exprimés sur le produit total']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",459,,?,,"2,1",,18,,"3,4",,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,459 kj(110 kcal),,"0,6",,16,,"0,1",,"0,04",,,,,,['Leclerc'],['Soja'],,,,
394,Chips ondulées saveur fromage frais ail et fines herbes extra craquantes - Pom'Lisse - 135g,3564706512993,B,135 g,"[""Pom'Lisse"", 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', ""Chips de pommes de terre à l'huile de tournesol"", 'Chips de pommes de terre ondulées']",,,,['France'],"['Pomme de terre 58 %', 'huile de tournesol 34 %', 'lactosérum en poudre', 'sel', 'lait fermenté en poudre', 'lactose', 'crème fraîche en poudre 0,3 %', 'sucre', 'ail en poudre 0,3 %', 'arôme naturel de ciboulette avec autres arômes naturels ', 'dont lait', 'extrait de levure', 'persil 0,06 %', 'extraits de plantes aromatiques ', 'persil', 'aneth', 'menthe']",['Non végétalien'],2271,+3%,?,,34,+7%,51,+2%,6,-1%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,"['Sachet', 'Plastique']",,,4,34 g,en quantité élevée,3.1 g,en quantité modérée,4 g,en faible quantité,1.4 g,en quantité modérée,2271 kj(543 kcal),+4%,"3,1",+8%,4,+129%,"1,4",+4%,"0,56",+4%,10,+7%,C,+7%,['Leclerc'],['Lait'],,,,
395,Tzatziki dégustation - Marque Repère - 175g,3564706537200,,175 g,"['Marque Repère', ""Pic'Express""]","['Epicerie', 'Sauces', 'Tzatzíki']",,,,['France'],"['Yaourt grec 60 % ', 'lait de vache pasteurisé', 'crème', 'protéines de lait', 'ferments lactiques', 'concombres 30 %', 'huile de tournesol', ""huile d'olive"", 'sel', 'menthe 1,1 %', 'aneth 0,7 %', 'jus de citron', 'ail en poudre', 'conservateur : E202']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",586,+2%,?,,12,+8%,"3,5",-8%,"4,1",-17%,,,,,,,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,12 g,en quantité modérée,3.5 g,en quantité modérée,2.3 g,en faible quantité,0.8 g,en quantité modérée,586 kj(140 kcal),+1%,"3,5",+24%,"2,3",-16%,"0,8",-8%,"0,32",-8%,4,-16%,C,-16%,['Leclerc'],['Lait'],,,,
396,Cônes chocolat x 6 - Smicy - 423g,3564706545144,,423 g,"['Smicy', 'Marque Repère']",,,,,['France'],"['Eau ', ' lait écrémé reconstitué ', ' cornet biscuit 15,6 % ', 'farine de blé', 'sucre', 'graisse de coprah', 'émulsifiant : lécithines de soja', ' ', ' sucre ', ' sirop de glucose-fructose ', ' graisses végétales de palmiste et de palme ', ' cacao maigre en poudre 5,4 % ', ' chocolat en poudre 4,3 % ', 'sucre', 'poudre de cacao', ' ', ' graisse végétale de coprah ', ' concentré de protéines de lactosérum ', ' amandes pralinées 2,1 % ', 'sucre', 'amandes', ' ', ' dextrose ', ' chocolat en morceaux 0,6 % ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithines de soja', ' ', ' chocolat noir en morceaux 0,6 % ', 'pâte de cacao', 'sucre', 'cacao maigre en poudre', 'émulsifiant : lécithines de soja', 'arôme naturel de vanille', ' ', ' émulsifiants : E471', 'lécithines de soja ', ' stabilisants : farine de graines de caroube', 'gomme guar', 'carraghénanes ', ' amidon modifié de tapioca ', ' chocolat 0,1 % ', 'pâte de cacao', 'sucre', 'cacao maigre en poudre', ' ', ' poudre de lait écrémé ', ' sel', ""Traces d'autres fruits à coque""]","['Huile de palme', 'Non végétalien']",1148,,?,,12,,36,,"4,2",,,,,,,,,,,,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']",4,,,,,,,,,1148 kj(274 kcal),,"9,1",,26,,"0,2",,"0,08",,,,,,['Leclerc'],"['Gluten', 'Fruits à coque', 'Soja']",,,,
397,Yaourt au lait entier à la pêche - Bio Village - 4x 125g,3564707087872,B,4 x 125 g,"['Bio Village', 'Marque Repère']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la pêche', 'Yaourts entiers']","['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert']",,,['France'],"['Lait entier* ', 'origine : France', ' 77%', 'pêche* 10%', 'sucre de canne* 8,6%', 'lait écrémé en poudre* ', 'origine : France', 'jus concentré de citron*', 'amidon de riz', 'arôme naturel', 'ferments lactiques', ""* Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",380,-1%,?,,"2,7",+6%,13,-2%,"3,5",-1%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,"['Frais', 'Pot', 'Plastique', 'Pot en plastique']",,,4,2.7 g,en faible quantité,1.6 g,en quantité modérée,12 g,en quantité modérée,0.1 g,en faible quantité,380 kj(91 kcal),-3%,"1,6",-1%,12,-2%,"0,1",-7%,"0,04",-7%,2,+2%,B,+2%,['Leclerc'],['Lait'],,,,
398,Petits pots de crème chocolat bio - Bio Village - 2x 100g,3564707115018,,2 x 100 g,"['Bio Village', 'Marque Repère']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts au chocolat']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,['France'],"['Lait demi-écrémé*', 'origine : France', '55%', 'oeufs entiers frais* 12%', 'crème* ', 'origine : France', '9,4%', 'chocolat* 9% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'sucre de canne*', 'lait écrémé en poudre* ', 'origine : France', ""jaunes d'œufs frais* 2%"", 'cacao en poudre*', 'cacao maigre en poudre*', ' Traces de gluten', "" * Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",768,+1%,?,,"9,9",+5%,18,-12%,"5,6",+24%,,,,,,,,,['Carton'],,,3,9.9 g,en quantité modérée,6.2 g,en quantité élevée,15 g,en quantité élevée,0.1 g,en faible quantité,768 kj(184 kcal),-5%,"6,2",+9%,15,-15%,"0,1",-43%,"0,04",-43%,11,+30%,D,+30%,['Leclerc'],"['Œufs', 'Lait']",['France'],,,
399,Mini cakes aux fruits bio x 5 - Bio Village - 150g,3564707115339,B,150 g,"['Bio Village', 'Marque Repère']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Cakes aux fruits']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Fabriqué en France']",,,['France'],"['Farine de blé* 21 % ', ' œufs* 18 % ', ' huile de colza* ', ' sucre de canne* ', ' raisins secs* 11 % ', 'raisins*', 'huile de tournesol*', ' ', ' sirop de glucose-fructose* ', "" écorces d'oranges confites* 4,5 % "", ""écorces d'oranges*"", 'sirop de maïs*', 'sel', ' ', ' sirop de sucre inverti* ', ' écorces de citrons confites* 3 % ', ""sirop d'amidon de maïs*"", 'écorces de citrons*', 'sel', ' ', ' arômes naturels ', 'dont alcool', ' ', ' poudres à lever : E341', 'E500 ', 'dont blé', ' ', ' amidon de maïs ', ' sel ', ' épaississant : gomme guar*', ' Traces de fruits à coque et lait', ""*Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien']",1757,+8%,420,+8%,20,+30%,54,-4%,5,+3%,76.8%,12.1%,5.7%,2.8%,2.6%,0.0%,65,,"['Film', 'Plastique', 'Etui', 'Carton']",,"['E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E412 - Gomme de guar']",4,20 g,en quantité modérée,1.9 g,en quantité modérée,37 g,en quantité élevée,0.8 g,en quantité modérée,1757 kj(420 kcal),+8%,"1,9",-57%,37,+11%,"0,8",+36%,"0,32",+36%,16,-4%,D,-4%,['Leclerc'],"['Œufs', 'Gluten']",['France'],,,
400,Yaourt brassé à la mangue et à la vanille bio au lait entier - Bio Village - 4x 125g,3564707119535,B,4 x 125 g,"['Bio Village', 'Marque Repère']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la mangue']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['France'],"['Lait entier* ', 'origine : France', ' 78%', 'mangue* 10%', 'sucre de canne* 7,5%', 'lait en poudre écrémé* ', 'origine : France', 'amidon de maïs*', 'arôme naturel', 'arôme naturel de vanille', 'extrait de vanille', 'ferments lactiques', ""*Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",369,+3%,?,,"2,9",-5%,12,-10%,"3,3",-12%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,4,2.9 g,en faible quantité,1.8 g,en quantité modérée,12 g,en quantité modérée,0.1 g,en faible quantité,369 kj(88 kcal),-10%,"1,8",-9%,12,-2%,"0,1",-7%,"0,04",-7%,2,-30%,B,-30%,['Leclerc'],['Lait'],,,,
401,Pizza au 5 légumes bios - Bio Village - 435g,3564707119856,B,435 g,"['Bio Village', 'Marque Repère']","['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizza aux légumes']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en Italie']",,,['France'],"['Farine de blé tendre*', 'purée de tomate*', 'eau', 'mozzarella* 9,2 %', 'tomate* 6,9 %', 'aubergines assaisonnées 5,7 % ', 'aubergine grillées*', 'huile de tournesol*', 'persil*', 'basilic*', 'sel', 'courgettes grillées* 4,6 %', 'poivrons rouges grillés* 3,4 %', 'poivrons jaunes grillés* 3,4 %', 'Parmigiano Reggiano AOP* 1,7 %', 'huile de tournesol*', 'oignons*', 'sel', 'levure', 'ail*', 'basilic*', 'origan*', 'poivre noir*', 'Traces de soja', ""* Ingrédients issus de l'agriculture biologique""]",['Non végétalien'],745,-7%,?,,"4,9",-21%,25,-4%,"7,2",-3%,63.5%,14.6%,5.7%,4.9%,2.4%,8.9%,66,,,,,3,4.9 g,en quantité modérée,1.9 g,en quantité modérée,2.8 g,en faible quantité,0.8 g,en quantité modérée,745 kj(178 kcal),-9%,"1,9",-21%,"2,8",-24%,"0,8",-20%,"0,32",-20%,0,-100%,B,-100%,['Leclerc'],"['Gluten', 'Lait']",['Italie'],,,
402,Mascarpone bio - Bio Village - 250g,3564707120012,C,250 g,"['Bio Village', 'Marque Repère']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à la crème', 'Mascarpone']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en Italie']",['Union européenne'],['IT 03-74 CE'],['France'],"['Crème de lait* de vache pasteurisée ', 'origine : UE', ""correcteur d'acidité : acide citrique"", "" *Ingrédient issu de l'agriculture biologique""]",[],1482,-4%,?,,36,-8%,3,-4%,"5,8",+17%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,['E330 - Acide citrique'],3,36 g,en quantité élevée,25 g,en quantité élevée,3 g,en faible quantité,0.1 g,en faible quantité,1482 kj(354 kcal),-7%,25,-7%,3,-1%,"0,1",+7%,"0,04",+7%,11,-8%,D,-8%,['Leclerc'],,,,,
403,Crêpes de froment bio x 4 - Bio Village - 160g,3564707121637,B,160 g,"['Bio Village', 'Marque Repère']","['Crêpes et galettes', 'Crêpes', 'Crêpes sucrées', 'Crêpes de froment']","['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-09', 'Fabriqué en France', 'Au lait entier']",,,['France'],"['Farine de blé* 37 %', 'œufs*', 'lait entier* 15 %', 'sucre de canne* 12 %,huile de tournesol*', 'sel', ""* Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1191,-10%,?,,9,-23%,40,-14%,"9,8",+40%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,Crêpes de froment - produits issus de l'agriculture biologique,"['Plastique', 'Barquette', 'Film', 'Frais']",,,3,9 g,en quantité modérée,2.2 g,en quantité modérée,15 g,en quantité élevée,0.4 g,en quantité modérée,1191 kj(285 kcal),-12%,"2,2",-47%,15,-34%,"0,4",-46%,"0,16",-46%,3,-77%,C,-77%,['Leclerc'],"['Œufs', 'Gluten', 'Lait']",['France'],,,
404,Yaourt pot laitier saveur citron bio - Bio Village - 4x 125g,3564707122801,B,4 x 125 g,"['Bio Village', 'Marque Repère']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts sucrés']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France']",,,['France'],"['Lait entier* ', 'origine : France', '87%', 'sucre* 8,4%', 'lait concentré écrémé* ', 'origine : France', 'arôme naturel de citron', 'ferments lactiques', "" * Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",399,+8%,?,,"3,3",+20%,13,+5%,"3,3",-7%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,,,4,3.3 g,en quantité modérée,2.1 g,en quantité modérée,13 g,en quantité élevée,0.1 g,en faible quantité,399 kj(95 kcal),+5%,"2,1",+20%,13,+10%,"0,1",-12%,"0,04",-12%,3,-11%,C,-11%,['Leclerc'],['Lait'],,,,
405,Vrac sorbet fraise bio - Bio Village - 475g,3564707126861,C,475 g,"['Bio Village', 'Marque Repère']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la fraise']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['France'],"['Purée de fraise* 40 % ', ' eau ', ' sucre de canne mi-blanc* 24 % ', ' sirop de sucre inverti* ', ' jus de citron* ', ' épaississants : gomme guar', 'farine de graines de caroube ', ' protéines de pois hydrolysées ', ' arôme naturel', ' Traces de gluten', 'fruits à coque', 'lait', 'œufs', 'graines de sésame et soja', ""* Ingrédients issus de l'agriculture biologique""]",[],568,+22%,?,,"0,5",+113%,33,+21%,"0,5",+18%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,"['E412 - Gomme de guar', 'E410 - Gomme de caroube']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,28 g,en quantité élevée,0 g,en faible quantité,568 kj(136 kcal),+17%,"0,1",+48%,28,+20%,0,-100%,0,-100%,6,+21%,C,+21%,['Leclerc'],,,,,
406,Emmental bio en tranches 31% Mat. Gr. - Bio Village - 200g,3564707129275,C,200 g,"['Bio Village', 'Marque Repère']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages en tranches', 'Emmentals en tranches']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France']",['Union européenne'],"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)']",['France'],"['Lait* cru de vache ', 'origine : UE', 'sel', 'ferments lactiques', 'enzymes coagulantes', "" * Ingrédient issu de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1632,+17%,?,,31,+15%,"1,5",+47%,27,+17%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,3,31 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,0.6 g,en quantité modérée,1632 kj(390 kcal),+15%,21,+15%,"0,5",-27%,"0,6",-65%,"0,24",-65%,11,-30%,D,-30%,['Leclerc'],['Lait'],,,,
407,Galette bio fourrées chèvre tomate - Bio Village - 185g,3564707132329,,185 g,"['Bio Village', 'Marque Repère']",,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France']",,,['France'],"['Galette de blé noir 48% ', 'eau', 'farine de blé noir* 23%', 'sel', 'sauce tomate* 31% ', 'Tomate concassée* 11% ', 'tomate*', 'jus de tomate*', 'eau', 'concentré de tomate* 4%', 'oignon*', 'amidon de maïs*', ""huile d'olive vierge extra*"", 'ail* ', 'jus de citron*', 'sucre de canne*', 'sel', 'origan*', 'poivre*', 'emmental* 8%', 'fromage de chèvre affiné* 7,5%', 'tomate mi-séchée* 4%', 'Traces de gluten et œufs', ""*Ingrédients issus de l'agriculture biologique""]",['Non végétalien'],679,,?,,"5,6",,20,,7,,,,,,,,,,,,,,,,,,,,,,679 kj(162 kcal),,"2,9",,"2,1",,"1,3",,"0,52",,,,,,['Leclerc'],['Lait'],,,,
408,Coquilles ST Jacques ST Brieuc X2 Nos Regions Ont Du Talent,3564709000015,,,"['Nos Regions ont du Talent', 'Leclerc']",,,,,['France'],"['Noix de Saint-Jacques 30% ', 'Pecten maximus - Origine France', 'eau', 'oignons', 'beurre concentré', 'chapelures ', 'farine de blé', 'levure', 'sel', 'barbes de Saint-Jacques', 'amidon modifié de riz', 'poudre de lait écrémé', 'crème fraîche', 'vin blanc', 'échalotes', 'jus concentré de potiron', 'arômes naturels ', 'dont lait', 'crustacés', 'mollusques et poissons', 'sel', 'ail', 'persil', 'poivre', ' Traces de soja', 'de céleri', 'de moutarde', ""d'œufs"", 'de sésame et de fruits à coque']","['Non végétalien', 'Non végétarien']",?,,146,,"7,7",,11,,"7,8",,,,,,,,,,,,['E14XX - Amidons modifiés'],4,,,,,,,,,611 kj(146 kcal),,5,,"2,7",,"0,9",,"0,36",,,,,,['Leclerc'],"['Crustacés', 'Poisson', 'Gluten', 'Lait', 'Mollusques']",,,,
409,Nos régions ont du talent - Nougat de Montélimar - Tendre - 200g,3564709000183,E,200 g,"['Nos regions ont du talent', 'Leclerc']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries de France', 'Nougats', 'Nougats de Montélimar']",,['Montélimar'],,['France'],"['Sucre 34%', 'amandes 30%', 'miel 19%', 'sirop de glucose 14%', ""blanc d'oeuf"", ' pain azyme ', 'fécule de pomme de terre', 'eau', 'huile de tournesol', 'arôme naturel de vanille']","['Sans huile de palme', 'Non végétalien']",?,,446,-2%,18,+7%,69,+4%,"8,1",+4%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,Nougat,['Sachet Plastique'],,,4,18 g,en quantité modérée,1.3 g,en faible quantité,58.6 g,en quantité élevée,0.03 g,en faible quantité,1866 kj(446 kcal),-2%,"1,3",-25%,"58,6",+3%,"0,03",-16%,"0,012",-16%,13,-18%,D,-18%,['Leclerc'],"['Œufs', 'Fruits à coque']",,,,
410,Véritables rillettes du Mans à l'ancienne au sel de Guérande - Nos Régions ont du Talent - 110g,3564709023489,C,110 g,"['Nos Régions ont du Talent', 'Leclerc']","['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes françaises', 'Rillettes de viande rouge', 'Rillettes de la Sarthe', 'Rillettes de porc', 'Rillettes du Mans']","['Viande-francaise', 'Viande Porcine Française']",['France'],"['FR 72.331.001 CE', 'Sceaux-sur-Huisne (Sarthe, France)']",['France'],"['Viande de porc', 'gras de porc', 'sel de Guérande 1 %', 'poivre ', '106 g de viande de porc ont été utilisés pour fabriquer 100 g de produit fini']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1684,+3%,407,+1%,37,-1%,"0,5",+37%,18,+14%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,"['Pot', 'Plastique', 'Frais']",,,3,37 g,en quantité élevée,14.9 g,en quantité élevée,0.2 g,en faible quantité,1.1 g,en quantité modérée,1684 kj(407 kcal),+1%,"14,9",+4%,"0,2",-28%,"1,1",-12%,"0,44",-12%,19,-3%,E,-3%,['Leclerc'],,['France'],,,
