,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,traceability_code,markets,additives,nova_score,packaging,ingredients_origins,manufacturing,allergens,link,generic_name,palm_ingredients
247,Vodka,20890247,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Burger graines - Jacquet,8066330070047,['France'],[],[],?,295,7,47,"8,4",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains Burger']",7 g,en quantité modérée,2 g,en quantité modérée,7.9 g,en quantité modérée,1.1 g,en quantité modérée,,+2%,1234 kj(295 kcal),+2%,+21%,2,+92%,-3%,"7,9",+27%,-6%,"1,1",-4%,"0,44",-4%,-1,-145%,A,-145%,72.6%,15.0%,7.8%,4.1%,0.5%,0.0%,81,,['Jacquet'],"['Fabriqué en France', 'Nutriscore', 'Nutriscore A']",,,,,,,,,,,
249,Pommes deshydratee en tranche,2600319016204,['France'],[],[],?,352,0,87,0,,,,,,,,,,,,,1473 kj(352 kcal),,,0,,,72,,,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,,,,,,,,
250,Poivron,3660314993206,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Croc wich,3496100009123,['France'],[],[],?,240.9,"10,2","26,5","9,5",,,,,,,,,,,,,1008 kj(240 kcal),,,1,,,"3,4",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,
252,2238521026577,2238521026577,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,wafers morango fresa-strawberry,8411414014200,['France'],[],[],?,523,27,67,"2,8",,,,,,,,,,,,,2188 kj(523 kcal),,,13,,,3,,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,
254,Sucre d’orge,3395502599839,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Cœur gourmand mirabelle,3440775340005,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 24.411.001 CE', 'Saint-Front-sur-Nizonne (Dordogne, France)']",,,,,,,,,,
256,Haché de jambon pané au fromage,0244735049594,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Wok de porc provencale,2218028028991,['France'],[],[],?,133,8,"2,3",12,,,,,,,,,,,,,556 kj(133 kcal),,,"1,6",,,"1,3",,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,
258,Patate douce en poudre -,3760222092241,['France'],[],[],?,329,1,82,6,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Farines de patate douce']",1 g,en faible quantité,1 g,en faible quantité,15 g,en quantité élevée,1 g,en quantité modérée,,-5%,1377 kj(329 kcal),-4%,+19%,1,+329%,+7%,15,+35%,+21%,1,+252%,"0,4",+252%,11,+163%,D,+163%,,,,,,,,,,,,,,,,,,,,,
259,Chai tea,0810001610104,['France'],[],[],?,1,0,"0,2","0,1",,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
260,2 filets pouket fermier bio,2456030049003,['France'],[],[],?,138,"5,9",0,20,,,,,,,,,,,,,577 kj(138 kcal),,,"1,7",,,0,,,"0,15",,"0,06",,,,,,,,,,,,,,,"['Bio', 'Nutriscore', 'Nutriscore A']",,,,,,,,,,,
261,Bonbons au lait «MilkyFest»,8690120076843,['France'],[],[],?,100,45,50,"0,3",,,,,,,,,,,,,418 kj(100 kcal),,,17,,,"48,6",,,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Penne à l’italienne,3700009273197,['France'],[],[],?,150,"7,2",14,"6,2",,,,,,,,,,,,,628 kj(150 kcal),,,"0,6",,,"3,1",,,"0,64",,"0,256",,,,,,,,,,,,,,,,,,,,,,,,,,
263,Mini arancini - 110g,3292070010097,['France'],[],[],?,312,"19,4","17,1","14,8",,,,,,,,,,,,,1305 kj(312 kcal),,,"4,4",,,"3,5",,,"1,54",,"0,616",,,,,,,,,,,,,110 g,,,"['EMB 60139A', 'Chambly (Oise, France)']",,,,,,,,,,
264,Köy Tulum Peyniri,4027394002393,['France'],[],[],?,365,"29,2","0,5","25,1",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",29.2 g,en quantité élevée,20.4 g,en quantité élevée,0.5 g,en faible quantité,2.1 g,en quantité élevée,,+11%,1527 kj(365 kcal),+11%,+10%,"20,4",+15%,-59%,"0,5",-33%,+23%,"2,1",+62%,"0,84",+62%,18,+31%,D,+31%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
265,Chuncho Urusayhua,3770009530200,['France'],[],[],?,532,"37,1","34,8","8,3",,,,,,,,,,,,,2226 kj(532 kcal),,,"23,5",,,"30,3",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Pieds de porc cuits,0264690042904,['France'],[],[],?,105,"3,6","0,1",13,,,,,,,,,,,,,439 kj(105 kcal),,,"1,2",,,"0,1",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,
267,Rôti de filet de dinde,0211117049466,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Gianduia Deciso - Caffarel,8013108622625,['France'],[],[],?,629,45,25,11,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",45 g,en quantité élevée,20 g,en quantité élevée,17 g,en quantité élevée,,,,+19%,2632 kj(629 kcal),+19%,+41%,20,+15%,-52%,17,-64%,+87%,,,,,,,,,,,,,,,,,['Caffarel'],,,,,,,,,,,,
269,Boule convive x8 céréales,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Çörekotlu Ham çökelek,4260467599844,['France'],[],[],?,278,"19,9","1,6",23,,,,,,,,,,,,,1163 kj(278 kcal),,,"14,8",,,"1,6",,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,
271,Pate croute charcutier cocktail,0209788032603,['France'],[],[],?,284,"18,3","14,9","13,6",,,,,,,,,,,,,1188 kj(284 kcal),,,"7,3",,,10,,,"2,3",,"0,92",,,,,,,,,,,,,,,,"['FR 69.027.063 CE', 'Brignais (Rhône, France)']",,,,,,,,,,
272,Tranches de coppa - Henri Raffin,3375220503318,['France'],[],[],?,316,"22,5","1,2","27,2",,,,,,,,,,,,,1322 kj(316 kcal),,,"9,6",,,"0,5",,,"4,45",,"1,78",,,,,,,,,,,,,,['Henri Raffin'],,"['FR 73.215.001 CE', 'Rochette (Savoie, France)']",,,,,,,,,,
273,Soupe Morilles sauvages,3100080050111,['France'],[],[],?,53.7,3,6,"1,1",,,,,,,,,,,,,225 kj(53 kcal),,,"1,8",,,"1,2",,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,
274,Filet de harengs fumés,3435410010474,['France'],[],[],?,190,13,"0,5",15,,,,,,,,,,,,,795 kj(190 kcal),,,"2,8",,,"0,5",,,"10,5",,"4,2",,,,,,,,,,,,,,,,,,,,,,,,,,
275,Tomette de brebis,2246075025069,['France'],[],[],?,343,28,"2,3",20,,,,,,,,,,,,,1435 kj(343 kcal),,,18,,,"0,1",,,"1,5",,"0,6",,,,,,,,,,,,,,,,"['FR 43.007.001 CE', 'Araules (Haute-Loire, France)']",,,,,,,,,,
276,Saucisson extra,3760048337090,['France'],[],[],?,395,30,"5,5",27,,,,,,,,,,,,,1653 kj(395 kcal),,,11,,,"2,4",,,"3,5",,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,
277,Ginger beer aux epices - Karma,3760192492584,['France'],[],[],?,24,0,"5,7",0,,,,,,,,,,,,,100 kj(24 kcal),,,0,,,"5,4",,,0,,0,,,,,,,,,,,,,,['Karma'],,,,,,,,,,,,
278,Fromage,3296651111319,['France'],[],[],?,395,40,27,8,,,,,,,,,,,,,1653 kj(395 kcal),,,27,,,3,,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
279,Taboulé à l'orientale,3700009273012,['France'],[],[],?,165,"7,6",20,"3,4",B,"['Plats préparés', 'Plats à base de semoule', 'Taboulés', 'Taboulés orientaux']",7.6 g,en quantité modérée,0.6 g,en faible quantité,2.6 g,en faible quantité,1.3 g,en quantité modérée,,-7%,690 kj(165 kcal),-7%,+12%,"0,6",-15%,-15%,"2,6",-36%,-21%,"1,3",+37%,"0,52",+37%,5,+87%,C,+87%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,,,,,,,,,,,,
280,"Poêlée céréales, artichauts et butternut - Thiriet",3292590837402,['France'],[],[],?,99,"3,2",13,"3,2",,,,,,,,,,,,,414 kj(99 kcal),,,"0,4",,,"1,2",,,"0,65",,"0,26",,,,,,,,,,,,,,['Thiriet'],,,['Thiriet'],,,,,,,,,
281,Poulet croustillant potatoes,3338310001965,['France'],[],[],?,187,"8,5","17,6","9,2",,,,,,,,,,,,,782 kj(187 kcal),,,2,,,"0,7",,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,['Opercule en plastique'],,,,,,
282,"Chocolate Reindeer, Gingerbread Man and Santa Pops",5412941225445,['France'],[],[],?,577,38,53,"5,6",,,,,,,,,,,,,2414 kj(577 kcal),,,23,,,53,,,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,,,,
283,Couscous vegetarien,3700569104016,['France'],[],[],?,152,"5,7",19,"6,1",,,,,,,,,,,,,636 kj(152 kcal),,,"1,4",,,"4,6",,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,
284,Butternut,3000001041412,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Panettone,8006073280976,['France'],[],[],?,392,19,46,"7,4",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",19 g,en quantité modérée,11 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en quantité modérée,,+5%,1640 kj(392 kcal),+5%,+27%,11,+22%,-11%,20,-23%,+8%,"0,5",+13%,"0,2",+13%,20,+8%,E,+8%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,
286,Viande bovine foie prêt a cuire,0200191010899,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Huile vierge de noissette,3760056676013,['France'],[],[],?,828,92,"9,2",0,,,,,,,,,,,,,3464 kj(828 kcal),,,"9,2",,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Peperita Carolina reaper,8057741330189,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Taralli gusto pizza,8012930050859,['France'],[],[],?,449,"16,1","67,7","8,5",,,,,,,,,,,,,1879 kj(449 kcal),,,"1,9",,,2,,,"2,44",,"0,976",,,,,,,,,,,,,,,,,,,,,,,,,,
290,Cordon bleu,2276738026706,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Comté,2619022016562,['France'],[],[],?,418,35,"0,5",27,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.86 g,en quantité modérée,,-0%,1749 kj(418 kcal),-0%,+1%,23,+1%,+8%,"0,5",+87%,+0%,"0,86",+3%,"0,344",+3%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
292,Chocolat amandes & épices de noël - Grain de Sail,3760226261308,['France'],[],[],?,565,40,40,10,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux amandes', 'Chocolats au lait aux amandes']",40 g,en quantité élevée,22 g,en quantité élevée,37 g,en quantité élevée,0.38 g,en quantité modérée,,+1%,2364 kj(565 kcal),+2%,+12%,22,+23%,-16%,37,-18%,+11%,"0,38",+48%,"0,152",+48%,26,+4%,E,+4%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,['Grain de Sail'],,,,,,,,,,,,
293,Citron Jaune 5L - Siracuse,18545821,['France'],[],[],?,27,"0,03",2,"0,4",,,,,,,,,,,,,113 kj(27 kcal),,,0,,,2,,,,,,,,,,,,,,,,,,,['Siracuse'],,,,,,,,,,,,
294,Glace AMARENA avec cerises,3576370710131,['France'],[],[],?,191.4,"5,2","33,1","2,9",,,,,,,,,,,,,801 kj(191 kcal),,,"4,3",,,"30,1",,,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,
295,Brioche tranchée pur beurre Bio,550000020927875,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
296,Papaye lamelle déshydratée,2600432024070,['France'],[],[],?,342,0,85,0,,,,,,,,,,,,,1431 kj(342 kcal),,,0,,,76,,,"0,55",,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,,
297,Dragees aux amandes,3266053302233,['France'],[],[],?,454,14,71,"6,8",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Dragées']",14 g,en quantité modérée,1.1 g,en faible quantité,69 g,en quantité élevée,,,,-3%,1900 kj(454 kcal),-4%,-23%,"1,1",-78%,+5%,69,+11%,+11%,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,
298,Piadine sfogliate al farro bio,8001551035031,['France'],[],[],?,298,"9,5","45,2","6,4",,,,,,,,,,,,,1247 kj(298 kcal),,,"1,4",,,"2,1",,,"1,7",,"0,68",,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
299,Sucre de fleurs de coco bio,3760309031354,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,
300,Cocktail gingembre ananas,6045650552862,['France'],[],[],?,5,0,"1,07","0,3",,,,,,,,,,,,,21 kj(5 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Poulet jaune fermiers du Gers,0200452034909,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Gateaux,8681893080557,['France'],[],[],?,140,2,4,3,,,,,,,,,,,,,586 kj(140 kcal),,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,6 puff pastry - Marks & Spencer,821006347480033900275,['France'],[],[],?,424,"19,6","56,6","3,9",,,,,,,,,,,,,1774 kj(424 kcal),,,"12,6",,,"25,2",,,"0,5",,"0,2",,,,,,,,,,,,,,['Marks & Spencer'],,,,,,,,,,,,
304,Huile de noisette - Vigean,3452010003118,['France'],[],[],?,900,100,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noisette']",100 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+3%,3766 kj(900 kcal),+3%,+3%,10,+17%,-100%,0,-100%,-100%,0,-100%,0,-100%,11,+6%,D,+6%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,['Vigean'],,,,,,,,,,,,
305,MEDINA halal,3276447512001,['France'],[],[],?,214,16,"2,4",15,,,,,,,,,,,,,895 kj(214 kcal),,,"4,6",,,0,,,2,,"0,8",,,,,,,,,,,,,,['Medina'],,,,,,,,,,,,
306,Cafè En Cã Psules Verona Viaggio 10uds,8437013660075,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Ginseng rouge,2700409414443,['France'],[],[],?,0,0,0,0,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
308,House of Dorchester Hand Finished Rose & Violet Creams,5029806017420,['France'],[],[],?,454,"18,8",65,"4,4",,,,,,,,,,,,,1900 kj(454 kcal),,,"11,4",,,"57,3",,,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,,,,,,
309,thé - praana - 20g,7059330071092,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20g,['Praana'],,,,,,['Sachets'],,,,,,
310,Filet de poulet,0219965024406,['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
311,Chocolat lait bio 45% & fleur de sel de l’Ile de Ré - Maison Bonange,3770016166447,['France'],[],[],?,588,"40,2","47,9","7,7",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",40.2 g,en quantité élevée,24.2 g,en quantité élevée,46.7 g,en quantité élevée,0.25 g,en faible quantité,,+6%,2460 kj(588 kcal),+6%,+17%,"24,2",+23%,-8%,"46,7",-5%,+7%,"0,25",+7%,"0,1",+7%,27,+6%,E,+6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,['Maison Bonange'],"['Bio', 'Fabriqué en France']",,,,,,,,,,,
312,Assortiment de cannelle et badiane NICLAUS,3543020092220,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Cuisses de poulet fermier,0217823026838,['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
314,0041190065127,0041190065127,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Home Brand Vege Crisps Original,9300633209773,['France'],[],[],?,530,28,"68,5",5,,,,,,,,,,,,,2218 kj(530 kcal),,,5,,,"9,5",,,"1,975",,"0,79",,,,,,,,,,,,,,,,,,,,,,,,,,
316,0190569161608,0190569161608,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Chaï classique,3760063325492,['France'],[],[],?,1,0,"0,2","0,1",,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Gainer max,3518681010128,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Brique epautre,0223023010171,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Riz basmati,3760184320017,['France'],[],[],?,350,78,"8,8","1,08",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",78 g,en quantité élevée,1.6 g,en quantité modérée,1.7 g,en faible quantité,0 g,en faible quantité,,+6%,1464 kj(350 kcal),+5%,+7400%,"1,6",+567%,-88%,"1,7",+597%,-86%,0,-100%,0,-100%,5,,C,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,,,,
321,Soyspring,6901432300796,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Gravy Box Powder Traditional,9300681140233,['France'],[],[],?,709,"0,1","5,3","0,8",,"['Epicerie', 'Sauces']",0.1 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,0.615 g,en quantité modérée,,+198%,2966 kj(709 kcal),+201%,-99%,0,-100%,-47%,"0,1",-98%,-70%,"0,615",-75%,"0,246",-75%,10,-14%,C,-14%,,,,,,,,,,,,,,,,,,,,,
323,Chocolat wheycream,5902444708236,['France'],[],[],?,517.94,"38,55","39,59","18,4",,,,,,,,,,,,,2167 kj(517 kcal),,,"30,04",,,"1,15",,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
324,Complément alimentaire,4260555340280,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Fumeterre,3760265300358,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,
326,Café Équilibré Parfumé et Chocolaté - Cafés Dagobert,3770001467061,['France'],[],[],?,1,0,"0,3","0,2",,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,['Cafés Dagobert'],,,,,,,,,,,,
327,Amandes grillées a sec et salées,2600150031497,['France'],[],[],?,662,"52,5",21,21,,,,,,,,,,,,,2770 kj(662 kcal),,,4,,,"4,9",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
328,Galettes soja tomates basilic,3250392919276,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Donuts,0278416015745,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Rillettes de lavaret,3760258150038,['France'],[],[],?,185,13,"4,8",12,,,,,,,,,,,,,774 kj(185 kcal),,,"6,9",,,"0,9",,,"0,89",,"0,356",,,,,,,,,,,,,,,,,,,,,,,,,,
331,Penang Harmee (Prawn Flavor Noodles),9555050308541,['France'],[],[],?,118.9405,"23,647","61,882","9,059",,,,,,,,,,,,,498 kj(118 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Croquants des alpes,3760164860359,['France'],[],[],?,398,"5,4",81,"5,5",,,,,,,,,,,,,1665 kj(398 kcal),,,"0,5",,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Pieds de porc en gelee,2431933040548,['France'],[],[],?,166,"10,5","0,1","1,3",,,,,,,,,,,,,695 kj(166 kcal),,,"3,7",,,"0,1",,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
334,Boisson avoine calcium - Naturéo,3701091700448,['France'],[],[],?,53,"1,4","9,3","0,5",B,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', ""Boissons à l'avoine""]",1.4 g,en faible quantité,0.3 g,en faible quantité,7.7 g,en quantité élevée,0.1 g,en faible quantité,,+10%,222 kj(53 kcal),+10%,+9%,"0,3",+45%,+18%,"7,7",+50%,-35%,"0,1",+6%,"0,04",+6%,1,+87%,B,+87%,9.3%,2.1%,32.4%,31.8%,19.1%,5.3%,88,,['Naturéo'],"['Agriculture UE', 'Nutriscore', 'Nutriscore B']",,,,,,,,,,,
335,spaghetti Bolognese,9310761724765,['France'],[],[],?,112,"2,5","13,3","7,5",,,,,,,,,,,,,469 kj(112 kcal),,,1,,,"2,5",,,"2,13",,"0,852",,,,,,,,,,,,,,,,,,,,,,,,,,
336,Jarret à braiser,3385330000089,['France'],[],[],?,590,7,"0,7",19,,,,,,,,,,,,,2469 kj(590 kcal),,,"2,2",,,"0,7",,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,
337,Teriyaki,29118366,['France'],[],[],?,472,"3,4","14,6","7,2",,,,,,,,,,,,,1975 kj(472 kcal),,,"0,7",,,"5,7",,,"0,88",,"0,352",,,,,,,,,,,,,,,,,,,,,,,,,,
338,The Chia Company the Chia Co Chia Seed Black,9340224000600,['France'],[],[],?,446,35,"4,5","20,4",,,,,,,,,,,,,1866 kj(446 kcal),,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Boudin Blanc -,2273698023486,['France'],[],[],?,237,20,4,"10,4",,"['Viandes', 'Charcuteries', 'Boudins', 'Boudins blancs', ""Boudins blanc à l'ancienne""]",20 g,en quantité modérée,8.3 g,en quantité élevée,2.4 g,en faible quantité,1.2 g,en quantité modérée,,+3%,992 kj(237 kcal),+3%,+5%,"8,3",+11%,-13%,"2,4",+15%,+4%,"1,2",-7%,"0,48",-7%,15,+4%,D,+4%,,,,,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,,,
340,Flocons de riz Biologiques,2214000000004,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
341,Assortiment choucroute bio,2251849065998,['France'],[],[],?,15.9,"15,9",1,"18,3",,,,,,,,,,,,,67 kj(15 kcal),,,"6,2",,,"0,6",,,2,,"0,8",,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
342,Herbes de Provence,3342092004076,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Piperade au jambon de bayonne,8412540900832,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Fougasse aux lardons,0203623020992,['France'],[],[],?,291,10,39,10,,,,,,,,,,,,,1218 kj(291 kcal),,,"5,7",,,"4,4",,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
