,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,traceability_code,markets,additives,nova_score,packaging,ingredients_origins,manufacturing,allergens,link,generic_name,palm_ingredients
1183,Brie,0202702018691,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,La cadette,3272460124375,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Bêtises de Cambrai,3564365055480,['France'],[],[],?,389,0,97,0,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons français', 'Bêtises de Cambrai']",0 g,en faible quantité,0 g,en faible quantité,65 g,en quantité élevée,0 g,en faible quantité,,+1%,1628 kj(389 kcal),+1%,-100%,0,-100%,+1%,65,-12%,-100%,0,-100%,0,-100%,14,0%,D,0%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,
1186,Donuts leclerc,0268087021978,['France'],[],[],?,477,33,40,6,,,,,,,,,,,,,1996 kj(477 kcal),,,17,,,17,,,"0,95",,"0,38",,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Gigot d’agneau,2240018020579,['France'],[],[],?,129,"9,4","0,5",18,,"['Viandes', ""Viandes d'agneau"", ""Viandes d'agneau cuites"", ""Gigot d'agneau"", ""Gigot d'agneau grillé""]",9.4 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,,-14%,540 kj(129 kcal),-14%,+33%,"2,6",-5%,-62%,0,-100%,-5%,"0,18",-82%,"0,072",-82%,-2,-171%,A,-171%,,,,,,,,,,,,,,,,,,,,,
1188,Caramel beurre salé,3760074874064,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,Pink ACE,6008725601285,['France'],[],[],?,41,"0,5","9,4","0,5",,,,,,,,,,,,,172 kj(41 kcal),,,"0,1",,,"9,4",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,Innocent,990530101019980745,['France'],[],[],?,58,0,13,"0,8",,,,,,,,,,,,,243 kj(58 kcal),,,0,,,11,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,Cemoi le temps des fêtes,3173287740505,['France'],[],[],?,541,32,56,"6,2",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",32 g,en quantité élevée,16 g,en quantité élevée,54 g,en quantité élevée,0.19 g,en faible quantité,,+0%,2264 kj(541 kcal),+0%,-5%,16,-9%,+9%,54,+15%,+3%,"0,19",+32%,"0,076",+32%,26,+4%,E,+4%,,,,,,,,,['Cémoi'],"['Fabriqué en France', 'Sans huile de palme']",,,,,,,,,,,
1192,Green Apple fruit pearls,4710007520413,['France'],[],[],?,84,0,19,0,,,,,,,,,,,,,351 kj(84 kcal),,,0,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Chocolat au lait 30% cacao,3760048339544,['France'],[],[],?,564,"35,6",53,7,,,,,,,,,,,,,2360 kj(564 kcal),,,"22,6",,,"48,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,Cordon bleu de dinde,3654688535452,['France'],[],[],?,234,13,16,12,D,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Dindes', 'Préparations à la dinde', 'Cordons bleus', 'Cordons bleus de dinde']",13 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,1.2 g,en quantité modérée,,+4%,979 kj(234 kcal),+5%,+7%,"2,6",-18%,+11%,0,-100%,-5%,"1,2",-10%,"0,48",-10%,4,-44%,C,-44%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,['Halal'],"['FR 22.277.004 CE', ""Saint-Brandan (Côtes-d'Armor, France)""]",,,,,,,,,,
1195,Filet de poulet  bio l'etal du boucher,2287350004003,['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,0 g,en faible quantité,,,,,,,,,,,,0,-100%,0,-100%,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Bio'],,,,,,,,,,,
1196,honey and cheese (miel et fromage) - Herr's,0072600062856,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,"[""Herr's""]",,,,,,,,,,,,
1197,3146907202011,3146907202011,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Salicorne bio de l'Île Madame au vinaigre,3700768700507,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
1199,Yaourt au citron,3770015715011,['France'],[],[],?,90,"3,8","10,9","3,1",,,,,,,,,,,,,377 kj(90 kcal),,,"2,5",,,"10,9",,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Filet de poulet,0219967033918,['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,"['FR 89.069.001 CE', 'Chailley (Yonne, France)']",,,,,,,,,,
