,name,bar_code,quantity,brand,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,traceability_code,link,ingredients_origins,palm_ingredients,origin_detail,producer_info,brand_owner
590,Lemon aux Saveurs de Citrons - Schweppes - 33cl,5410221205255,33 cl,['Schweppes'],"['Magasins U', 'Delhaize']","['Belgique', 'France']","['eau gazéifiée', 'sucre', 'extraits de citron', 'acidifiant : acide citrique', 'arômes naturels de citron avec autres arômes naturels', 'conservateur : E 202', 'édulcorants : acésulfame K et sucralose', 'amidon modifié', 'stabilisants ', 'E445', 'E444']","['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E14XX - Amidons modifiés', 'E445 - Esters glycériques de résine de bois', 'E444 - Acétate isobutyrate de saccharose']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,25,105 kj(25 kcal),0,0,"5,7","5,6","0,1","0,01","0,004",,"['Boissons', 'Boissons édulcorées']",,0 g,en faible quantité,0 g,en faible quantité,5.6 g,en quantité modérée,0.01 g,en faible quantité,,+67%,+78%,-100%,-100%,+112%,+139%,-21%,-71%,-71%,8,+86%,D,+86%,,,,,,,,,,,,,,,,,
591,Oasis Pocket,5410221232404,,['Oasis'],,['France'],"['concentrés ', 'pomme 10%', 'poire 2%', 'sucre', 'acidifiant : acide citrique', 'colorant : caramel ordinaire', 'arômes naturels', 'antioxydant : acide ascorbique', ' met btonwater']","['E330 - Acide citrique', 'E150a - Caramel E150a', 'E300 - Acide ascorbique']",,[],4,?,36,151 kj(36 kcal),0,0,"8,5","8,4",0,0,0,,"['Boissons', 'Boissons avec sucre ajouté']",,0 g,en faible quantité,0 g,en faible quantité,8.4 g,en quantité élevée,0 g,en faible quantité,,-58%,-59%,-100%,-100%,-57%,-54%,-100%,-100%,-100%,12,+1%,E,+1%,,,,,,,,,,,,,,,,,
592,Hoegaarden White Beer 24pk (330ml NRB) - 33cl,5410228148210,33 cl,['Hoegaarden'],,['France'],[],,,[],,?,?,,?,,?,,?,0,0,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières belges', 'Bières blanches']",,,,,,,,,,,,,,,,,,-100%,-100%,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,"['Bouteille', 'Verre']",,,,,,,,
593,Blonde - Leffe - 50cl,5410228174073,50cl,['Leffe'],,"['Belgique', 'France', 'Suisse']","['Bière ', ""contient du malt d'orge""]",,['Gluten'],"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",3,?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', ""Bières d'abbayes"", 'Bières blondes']",,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,bière blonde belge en canette,"['Aluminium', 'Canette']",,,,,,,,
594,Rituel 9° - Leffe - 12 * 25cl,5410228197089,12 * 25 cl,['Leffe'],"['Cora', 'Magasins U']",['France'],"['Bière ', ""contient du malt d'orge""]",,['Gluten'],"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",3,?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières belges']",,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,"['Carton', 'Canettes']",,,,,,,,
595,Radler Lemon & Lime - 6x 25cl,5410228217398,6 x 25 cl,"['Radler', 'Hoegaarden', 'InBev']",['Monoprix'],['France'],"['Malt d’orge et du froment', ' Jus concentrés de citron 1% et de citron-vert ', '1%', ' Sucre et édulcorant']",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,24,100 kj(24 kcal),0,0,"3,5","1,6","0,3","< 0,1","0,04",B,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blanches']","['Déconseillé à certaines catégories de personnes', 'Point Vert', 'Non recommandé aux femmes enceintes', 'No Car', 'Tidyman wastebasket']",,,,,,,,,,-41%,-44%,-100%,-100%,-18%,+14%,-26%,+432%,+432%,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,Bière blanche au jus de citron et citron-vert d'origine naturelle,"['Bouteille', 'Verre', 'Carton']",['Belgique'],,,['Belgique'],,,,
596,Hoegaarden radler lemon - 33cl,5410228227397,33cl,['Hoegaarden'],,"['Belgique', 'France']",[],,,[],,?,23,96 kj(23 kcal),0,0,"5,1","3,2","0,4","0,1","0,04",C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Boissons sans sucre ajouté']",,,,,,,,,,,-48%,-51%,-100%,-100%,-41%,-53%,-20%,+111%,+111%,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,
597,Zero Lactose Framboise - Dilea - 500g (4 * 125g),5410298086719,500 g (4 * 125 g),['Dilea'],['Delhaize'],"['Belgique', 'France']","['Lait écrémé', 'framboise ', '7%', 'poudre de lait écrémé', 'lactase', 'gélatine', 'amidon modifié', 'arôme', 'édulcorants ', 'aspartame', 'acésulfame K', ""correcteur d'acidité "", 'citrate de sodium', 'épaississant ', 'pectine', 'colorant ', 'carmin', 'ferments lactiques,']","['E428 - Gélatine', 'E14XX - Amidons modifiés', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E331 - Citrates de sodium', 'E440 - Pectines', 'E120 - Acide carminique']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,165,39,165 kj(39 kcal),"0,2","0,1","5,1","4,6","4,1","0,2","0,08",,"['Produits laitiers', 'Desserts', 'Desserts lactés']",['Sans lactose'],0.2 g,en faible quantité,0.1 g,en faible quantité,4.6 g,en faible quantité,0.2 g,en faible quantité,-70%,-70%,-70%,-96%,-97%,-65%,-62%,-11%,+49%,+49%,-1,-123%,A,-123%,,,,,,,,Lait écrémé fermenté sans lactose aux framboises avec édulcorants,"['Carton', 'Pots', 'Plastique', 'Frais']",,['ES 15.00129/NA CE'],,,,,,
598,Cassonade de candi blonde - candico - 300g,5410301005874,300 g,['Candico'],['Delhaize'],"['Belgique', 'France']",['kandijcassonade'],,,[],,?,400,1674 kj(400 kcal),0,0,"98,4","98,4",0,,,A,"['Édulcorants', 'Sucres']",,0 g,en faible quantité,0 g,en faible quantité,98.4 g,en quantité élevée,,,,+3%,+3%,-100%,-100%,+1%,+5%,-100%,,,,,,,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,['Papier'],,,,,,,,
599,La William - Riche - 300ml / 450g,5410426007845,300 ml / 450 g,['La William'],,"['Belgique', 'France']","['Eau', 'huile végétale', 'amidon', 'vinaigre', 'moutarde ', 'eau', 'vinaigre', 'graines de moutarde', 'sel', 'épices', 'oignons', ""jaune d'œuf"", 'sel', 'amidon modifié', 'cerfeuil', 'vinaigre de malt ', ""contient de l'orge"", 'mélasse', 'sauce soja ', 'contient du blé', 'sucre', 'jus de citron', 'sirop de glucose-fructose', 'anchois', ""extrait d'épices"", 'tamarin', ""extrait d'herbes"", 'épices', 'herbes', ' Stabilisateurs : gomme guar', 'farine de graines de caroube', 'gomme xanthane', ' Conservateurs : acide tartrique', 'acide citrique', 'acide malique', 'sorbate de potassium', 'benzoate de sodium', ' Colorants : bêta-carotène', 'carmoisine', 'caramel', ' Antioxydant : calcium-dinatrium-EDTA']","['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E415 - Gomme xanthane', 'E334 - Acide L-tartrique', 'E330 - Acide citrique', 'E296 - Acide malique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène', 'E122 - Azorubine carmoisine', 'E150 - Caramel', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']","['Œufs', 'Poisson', 'Gluten', 'Moutarde', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,?,383,1602 kj(383 kcal),"38,3","3,2","7,3","0,2","0,8","2,07","0,828",B,"['Epicerie', 'Sauces', 'Sauces tartare']",,38.3 g,en quantité élevée,3.2 g,en quantité modérée,0.2 g,en faible quantité,2.07 g,en quantité élevée,,-27%,-26%,-29%,-29%,+55%,-93%,-32%,+16%,+16%,16,-9%,D,-9%,52.2%,31.5%,7.2%,5.2%,3.1%,0.8%,77,Sauce tartare rouge aux oignons frais,"['Verre', 'Bocal']",['Belgique'],,http://www.lawilliam.be/fr/products/riche,,,,,
600,Maya Mini Koeken 200G 8X25G - Studio 100 - 200g,5410471909019,200 g,['Studio 100'],['Delhaize'],"['Belgique', 'France']",[],,,[],,?,399,1669 kj(399 kcal),12,"5,8","65,1","25,1",6,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,"Les délices - Thé Matcha & Chocolat blanc - Jules Destrooper - 60g, 2.12oz",5410471914242,"60 g, 2.12 oz",['Jules Destrooper'],"['Magasins U', 'Delhaize']","['Belgique', 'France']","['farine de blé', 'chocolat blanc 21% ', 'sucre', 'poudre de lait entier', 'beurre de cacao', 'émulsifiant : lécithines ', 'soja', ' arôme naturel de vanille', 'beurre 16% ', 'lait', 'sucre', 'amidon de blé', 'œuf entier', 'poudre de thé vert matcha 2', '4% ', 'poudre de thé vert matcha', 'extrait de thé vert matcha', 'sel', ""poudre à lever: carbonates d'ammonium"", 'carbonates de sodium', "" poudre d'amande""]","['E322 - Lécithines', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],4,?,445,1862 kj(445 kcal),"21,84","13,6","58,4","26,2","5,1","1,5","0,6",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits sablés', 'Biscuits au chocolat blanc']","['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao', 'Geproduceerd in België']",21.8 g,en quantité élevée,13.6 g,en quantité élevée,26.2 g,en quantité élevée,1.5 g,en quantité modérée,,-11%,-11%,-9%,-3%,-9%,-27%,-16%,+172%,+172%,26,+8%,E,+8%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,"['Point vert', 'Tidyman wastebasket', 'Film plastique', 'Barquette plastique', 'Boite carton']","['Biscuiterie Jules Destrooper nv', 'Gravestraat 5', '8647', 'Lo', 'Belgique']",,,,,,,
602,Saint Amand Villers -,5410499001504,,,,['France'],"['Eau', 'minéraux', 'gaz de la source']",,,[],1,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux gazeuses']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,-100%,-100%,,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,
603,SACHET DE CUISSON BASMATI - Uncle Ben's - 500g,5410673700643,500 g,"[""Uncle Ben's""]",,"['France', 'Suisse']",['riz basmati'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,572,?,572 kj(137 kcal),"0,4","0,1","29,2",0,"3,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Tomato Ketchup - Colona - 300ml e,5410803390010,300 ml e,['Colona'],['Auchan'],['France'],"['Purée de tomates double concentrée ', '35%', 'soit 210 g de tomates fraîches pour 100 g de ketchup', 'eau', 'vinaigre', 'sucre', 'sel', 'amidon modifié', 'acidifiant : E575', 'conservateur : E202', 'antioxydant : E300', 'clous de girofle']","['E14XX - Amidons modifiés', 'E575 - Glucono-delta-lactone', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,464,?,464 kj(111 kcal),"0,1","< 0,1",25,"23,9",2,"2,5",1,B,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",['Point Vert'],0.1 g,en faible quantité,0.1 g,en faible quantité,23.9 g,en quantité élevée,2.5 g,en quantité élevée,+8%,,+6%,-59%,+57%,+10%,+22%,+54%,+26%,+26%,16,+32%,D,+32%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,Sauce tomatée semi-épaisse,"['Flacon', 'Plastique', 'Squeezer']",['Belgique'],,http://www.colona.be/fr/,,,,,
605,Colona - Andalouse Sauce 250Ml,5410803560024,,['Colona'],['Magasins U'],['France'],['zoot/ Fabriqué par / : SI'],,,[],,?,658,2753 kj(658 kcal),"71,9",7,3,"2,1","2,3","1,9","0,76",,['Matières grasses'],,71.9 g,en quantité élevée,7 g,en quantité élevée,2.1 g,en faible quantité,1.9 g,en quantité élevée,,-18%,-18%,-19%,-69%,+1239%,+1196%,+1199%,+874%,+874%,16,+42%,D,+42%,,,,,,,,,,,,,,,,,
606,Guylian Fruits De Mer Praliné 12X168G,5410976450016,,['Guylian'],,['France'],"['Sucre', 'beurre de cacao', 'lait entier en poudre', 'noisettes VOL', 'pâte de cacao', 'émulsifiant lécithine de soja arôme naturel de vanille', ' Teneur en cacao: chocolat 48% min? chocolat au lait 31% min? chocolat blanc 25% min', ' Matière sèche du lait chocolat au lait min', 'chocolat blanc min', "" Peut contenir d'aufresfruitsàcoqueetdublé""]",,,['Non végétalien'],,?,550,2301 kj(550 kcal),34,16,52,51,"7,6","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Alpro 250ML Kookos-riisijuoma - 25cl,5411188122623,25 cl,['Alpro'],['Delhaize'],"['Belgique', 'France']","['eau', 'lait de ', 'crème de de coco', 'phosphate tricalcique', 'stabilisants ', 'carraghénanes', 'gomme guar', 'ne sel marin', 'vitamines ', 'B12,D2', ' arômes', ' Pest contenir noisettes', ' Sans produits latiers', 'ni gluten', ' k 3turellement sans ', ' Pauvre en calories', ' Sans sucres ajoutés', 'contient des sucres nature ite nent présents']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar']",['Lait'],"['Non végétalien', 'Végétarien']",4,?,20,84 kj(20 kcal),"0,9","0,9","2,7","1,9","0,1","0,13","0,052",,,"['Végétarien', 'Sans gluten', 'Union Végétarienne Européenne', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Crêpes de Beauvoorde sucrées au vrai beurre - Beauvoords Bakhuis - 500g,5411219000029,500 g,['Beauvoords Bakhuis'],['Netto'],['France'],"['Lait', 'farine de froment', 'oeufs', 'sucre ', '14 %', 'beurre', 'huiles végétales ', 'palme et colza', 'partiellement durcie', 'sel', 'poudre à lever ', 'E500', 'arôme de vanille']",['E500 - Carbonates de sodium'],"['Œufs', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,1090,260,1090 kj(260 kcal),"11,9",7,32,14,6,"0,2","0,08",B,"['Crêpes et galettes', 'Crêpes', 'Crêpes sucrées']",['Superior Taste Award 2015'],11.9 g,en quantité modérée,7 g,en quantité élevée,14 g,en quantité élevée,0.2 g,en faible quantité,-17%,-20%,-20%,+2%,+68%,-31%,-38%,-14%,-73%,-73%,12,-8%,D,-8%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,"['Sachet', 'Plastique']",['Belgique'],['BE AER/WVL/022529 EC'],,['Belgique'],['Huile de palme'],,,
609,Pâté Crème - Aoste - 150g e,5411328055798,150 g e,['Aoste'],['Delhaize'],"['Belgique', 'France']","['Foie de porc ', '35 %', 'gras de Porc', 'viande de porc ', '18% ', 'Eau', 'Amidon de riz', 'Sel', ""extraits d'épices"", 'Oignon', 'œuf', 'Poudre de lait', 'dextrose', 'antioxygène : E300', ' Conservateur : E250', ' Décoration : Barde de porc', 'Colorant : E160b']","['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E160b - Rocou']",['Œufs'],"['Non végétalien', 'Non végétarien']",4,?,332,1389 kj(332 kcal),30,11,"4,5","3,1",11,"1,7","0,68",,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'en:Pâtés charcutiers']","['en:gluten-free', 'Point Vert', 'Riche en protéines', 'Pur porc']",30 g,en quantité élevée,11 g,en quantité élevée,3.1 g,en faible quantité,1.7 g,en quantité élevée,,+12%,+13%,+15%,+42%,+28%,+144%,+26%,+29%,+29%,21,+68%,E,+68%,,,,,,,,Pâté Crème,"['Frais', 'Plastique']",['Belgique'],['BE B2 EC'],,,,,,
610,Pâté de Campagne - Aoste,5411328055828,,['Aoste'],['Delhaize'],"['Belgique', 'France']","['Viande de porc ', '48%', 'foie de porc ', '32%', ',gras de porc', 'œuf', 'oignon', 'sel', 'protéine de lait', 'dextrose', ""extraits d'épices"", 'antioxigene', 'E300', 'conservateur', 'E250', 'décoration barde de porc', 'colorant E160b,']","['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E160b - Rocou']","['Œufs', 'Lait']","['Non végétalien', 'Non végétarien']",4,?,289,1209 kj(289 kcal),25,"9,5",1,1,15,"1,8","0,72",D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,25 g,en quantité élevée,9.5 g,en quantité élevée,1 g,en faible quantité,1.8 g,en quantité élevée,,-7%,-7%,-7%,-6%,-59%,+9%,+6%,+8%,+8%,19,0%,E,0%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,
611,Muesli yoga - Lima - 400g,5411788048194,400 g,['Lima'],,['France'],"[""flocons d'avoine 42 %"", 'petales de ble émulsifiant: lécithines"" ', 'de tournesol""', 'dattes 7,2 % h graines de tournesol""', 'noisettes', 'graines de courge""', 'casshilie Macat Aga Puler Resrnelt 2,4%', 'poudre de gingembre 0,35%', 'cannelle 0,26%', 'macare de rtou', ' Ohne turetta Sonnenblumenkerne\' Hasehniusse schwarze lohanisbeerent\' 24% baies d\'açai""', 'farine de riz*', ' ', ""*= issu de l'agriculture biologique Sans sucres ajoutés"", ' CONTIENT DES SUCRES NATURELLEMEN PRESENTS', ' Peut contenir des traces de soja', ""graines de sésame et d'autres fruits à coques""]",['E322 - Lécithines'],['Fruits à coque'],"['Végétalien', 'Végétarien']",1,?,395,1653 kj(395 kcal),11,"1,5",57,"9,5",13,"0,05","0,02",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Pétales multicéréales']","['Bio', 'Végétarien', 'Végétalien', 'Sans sucre ajouté']",11 g,en quantité modérée,1.5 g,en quantité modérée,9.5 g,en quantité modérée,0.05 g,en faible quantité,,-5%,-5%,-11%,-54%,-9%,-46%,+35%,-78%,-78%,2,-61%,B,-61%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,['sac plastique'],,,,,,,,
612,Organic dark chocolate noir bio citron gingembre - Libeert,5411901082678,,['Libeert'],,['France'],"['• CHOCOLAT HOIR BIOLOGIQUE AVEC CITRON ET ARÔME DE GINGEMBRE', ' Inqrédients: ', 'pâte de cacao* sucre de canne*', 'beurre de cacao*', 'poudre de cacao maigre* ulsifiant lécithine de zeste de citron* ', '3,0%', 'arôme de gingembre ', '0,1%', ' Cacao: 60,09 inimum', ' Contient des traces de lait', ' Traces eventuelles de fruits à coque', ' Cacao et sucre d nne: inqrédjents conformes aux standards du commerce équitable Fairtrade', ' Total 96,49 www', 'info', 'fairtrade', 'net', ' *Agriculture biologique']",,,[],,?,543,2272 kj(543 kcal),"37,4","22,4","39,4","36,8","6,3","0,01","0,004",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs au citron']","['Bio', 'en:gluten-free']",37.4 g,en quantité élevée,22.4 g,en quantité élevée,36.8 g,en quantité élevée,0.01 g,en faible quantité,,-1%,+0%,+1%,+1%,+1%,+15%,-11%,-75%,-75%,19,-6%,E,-6%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,
613,Sauce fajitas - Poco loco,5412514999841,,['Poco loco'],,['France'],[],,,[],,?,42,176 kj(42 kcal),"0,2","0,1","8,5","4,5",1,"2,475","0,99",,,['Fabriqué en Belgique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Sauce Dip mexicaine Médium - Poco loco,5412514999919,,['Poco loco'],,['France'],"['Eau', 'tomates  ', '18,4%', 'concentré de tomate ', '11,9%', 'poivron rouge ', '7,2%', 'oignons', 'poivron vert ', '4,8%', 'sucre', ""vinaigre d'alcool"", 'amidon modifié de maïs ', 'sel', 'piments Jalapeño ', '0,9%', 'épices ', 'moutarde', 'arôme', 'extrait de paprika']","['E14XX - Amidons modifiés', 'E160c - Extrait de paprika']",['Moutarde'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,53,222 kj(53 kcal),"0,1","0,1","11,5",8,"0,9","2,09","0,836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Pommes Sarladaises en graisse de canard - Grey's Excellence - 750g,5412873163679,750 g,"[""Grey's Excellence""]",['Netto'],['France'],"['Pommes de terre', 'huile de tournesol ', '3%', 'graisse de canard ', '10%', 'sel', 'ail en poudre ', '0', '8%', 'ail déshydraté ', '0', '6%', 'persil ', '0', '3%', 'oignons en poudre ', '0', '2%', 'dextrose']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,225,941 kj(225 kcal),"14,6","3,9",20,"1,2","2,4","0,48","0,192",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Chips et frites', 'Surgelés', 'Plats préparés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Pommes de terre préfrites surgelées', 'Pommes de terre surgelés', 'Plats préparés surgelés', 'Frites', 'Frites surgelées']",,14.6 g,en quantité modérée,3.9 g,en quantité modérée,1.2 g,en faible quantité,0.48 g,en quantité modérée,,+39%,+37%,+127%,+193%,-2%,+29%,-4%,-7%,-7%,-1,,A,,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,"['Sachet', 'Plastique', 'Surgelé']",,,,,,,,
616,Croc De Poulet - Aucune,5413458067436,,['Aucune'],,['France'],[],,,[],,?,230,962 kj(230 kcal),16,"5,1","7,8","0,5",14,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Lasagne blé complet - Come a casa,5413848334216,,['Come a casa'],['Delhaize'],"['Belgique', 'France']",[],,,[],,?,140,586 kj(140 kcal),"6,8","3,5","10,3","2,7","7,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Cécémel,5414150627003,,['Cécémel'],,"['Belgique', 'France']","['Ingredlents: Lalt partlellelllell écrémé', 'chocolat en poudre 4,9% ', 'sucre', 'cacao', 'sucre', 'stabilisant: farine de graines de caroube']",['E410 - Gomme de caroube'],,[],4,?,76,318 kj(76 kcal),"1,6","1,1","11,8","11,6","3,2","0,12","0,048",D,"['Produits laitiers', 'Laits']",,1.6 g,en faible quantité,1.1 g,en faible quantité,11.6 g,en quantité modérée,0.12 g,en faible quantité,,+15%,+16%,-22%,-8%,+96%,+114%,-10%,-3%,-3%,2,+248%,B,+248%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,
619,Barbecue - Croky,5414359921759,,['Croky'],,['France'],"['Pommes de terre', 'huile de tournesol', 'sucre', 'farine de riz', 'extrait de levure', 'levure en poudre', 'poudre de chili', 'épices', ""poudre d'oignon"", ""poudre d'ail"", 'poudre de tomate', 'poudre de fromage ', 'lait', 'arôme', 'acidifiant ', 'acide citrique', 'colorant: extrait de paprika', 'antioxydant: extrait de romarin']","['E330 - Acide citrique', 'E160c - Extrait de paprika', 'E392 - Extrait de romarin']",['Lait'],['Non végétalien'],4,?,544,2276 kj(544 kcal),"33,2",3,"53,2","2,9","6,3","1,65","0,66",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips barbecue', ""Chips de pommes de terre à l'huile de tournesol""]",,33.2 g,en quantité élevée,3 g,en quantité modérée,2.9 g,en faible quantité,1.65 g,en quantité élevée,,+3%,+3%,+4%,+5%,+3%,-1%,+1%,+20%,+20%,15,+34%,D,+34%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,,
620,Falafel Traditional Bio,5414880000077,,,['Delhaize'],"['Belgique', 'France']",[],,,"['Végétalien', 'Végétarien']",,?,149,623 kj(149 kcal),"8,1","0,9",14,"1,3","3,9",1,"0,4",,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Pec plus - Imperial - 80g,5414972105536,80g,['Imperial'],,"['Belgique', 'France']",[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,
622,Kiwi Gold - Zespri,5415191169729,,['Zespri'],,['France'],[],,,[],,344,81,344 kj(81 kcal),"0,66","0,087","14,7","8,8","1,17","0,006","0,002",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Kiwis', 'Kiwis frais']",,0.66 g,en faible quantité,0.087 g,en faible quantité,8.8 g,en quantité modérée,0.006 g,en faible quantité,+5%,+9%,+9%,+44%,+22%,+1%,-14%,+6%,+32%,+32%,-3,,A,,75.1%,0.0%,0.0%,11.4%,10.2%,3.4%,96,,,,,,,,,,
