,name,bar_code,eco_score,quantity,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,labels,packaging,additives,nova_score,generic_name,markets,allergens,manufacturing,ingredients_origins,palm_ingredients,link,brand_owner,producer_info
43,Panettone,8002731039306,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['France'],[],[],12.1 g,en quantité modérée,7 g,en quantité élevée,30.6 g,en quantité élevée,0.237 g,en faible quantité,?,,365,-2%,1527 kj(365 kcal),-2%,"12,1",-19%,7,-22%,"56,8",+10%,"30,6",+18%,"6,8",-0%,"0,237",-46%,"0,095",-46%,17,-9%,D,-9%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,,
44,Dahl de lentilles - Monoprix,3350033592315,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale""]",['France'],[],[],1.2 g,en faible quantité,0.2 g,en faible quantité,0.9 g,en faible quantité,0.6 g,en quantité modérée,?,,43,-74%,180 kj(43 kcal),-73%,"1,2",-81%,"0,2",-80%,"5,9",-62%,"0,9",-63%,2,-68%,"0,6",-34%,"0,24",-34%,1,+326%,B,+326%,,,,,,,,,['Monoprix'],,,,,,['Monoprix'],,,,,,,
45,Sardines à l'huile d'arachide - Saupiquet,3106000014119,D,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile""]",['France'],[],[],15 g,en quantité modérée,3.4 g,en quantité modérée,0 g,en faible quantité,0.6 g,en quantité modérée,?,,226,-6%,946 kj(226 kcal),-5%,15,-11%,"3,4",-7%,0,-100%,0,-100%,22,+4%,"0,6",-34%,"0,24",-34%,2,-62%,B,-62%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,"['FR 25.232.501 CE', 'Faimbe (Doubs, France)']",['Saupiquet'],,,,,,,,,,,,,
46,Arabische Gewürzsoße scharf Ajvar - Vitaminka - 690g,3870545000257,,690 g,"['Epicerie', 'Produits à tartiner', 'Sauces']","['France', 'Allemagne']",[],[],6.2 g,en quantité modérée,0.72 g,en faible quantité,5.08 g,en quantité modérée,1.23 g,en quantité modérée,445,-50%,107,-55%,445 kj(107 kcal),-55%,"6,2",-66%,"0,72",-67%,"9,7",-2%,"5,08",-21%,"1,62",-40%,"1,23",-49%,"0,492",-49%,6,-48%,C,-48%,,,,,,,,,['Vitaminka'],,['Glas'],,,,,,,,,,,
47,Honsey - 18g,8888522018947,,18 g,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Sunpat Peanut Butter Smooth 454G,5000354900822,,,,['France'],[],[],,,,,,,,,?,,610,,2552 kj(610 kcal),,49,,9,,14,,7,,24,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Poulet BBQ,3760012260225,,,,['France'],[],[],,,,,,,,,?,,219,,916 kj(219 kcal),,"6,6",,"2,08",,"27,6",,"5,74",,"11,5",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Tomato ketchup,4972810111268,B,,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup', 'Ketchup de tomate']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,23.5 g,en quantité élevée,0.94 g,en quantité modérée,?,,117,+8%,490 kj(117 kcal),+8%,0,-100%,0,-100%,"29,4",+36%,"23,5",+24%,0,-100%,"0,94",-45%,"0,376",-45%,10,-12%,C,-12%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,['en:gluten-free'],,,,,,,,,,,,
51,Amandes grillées à sec et salees,2609882048346,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes', 'Amandes grillées']",['France'],[],[],52.5 g,en quantité élevée,4 g,en quantité modérée,4.9 g,en faible quantité,2 g,en quantité élevée,?,,662,+6%,2770 kj(662 kcal),+6%,"52,5",+0%,4,-9%,21,+64%,"4,9",-13%,21,-4%,2,+137%,"0,8",+137%,10,+134%,C,+134%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,,,
52,Terrine de canard au poivre vert,3277168000112,E,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",['France'],[],[],20 g,en quantité modérée,7.5 g,en quantité élevée,0.1 g,en faible quantité,1.2 g,en quantité modérée,?,,252,-18%,1054 kj(252 kcal),-18%,20,-24%,"7,5",-21%,"0,5",-71%,"0,1",-84%,18,+27%,"1,2",-22%,"0,48",-22%,15,-16%,D,-16%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,,,,,
