,name,bar_code,eco_score,quantity,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,labels,packaging,additives,nova_score,generic_name,markets,allergens,manufacturing,ingredients_origins,palm_ingredients,link,brand_owner,producer_info
1068,Palet coco framboise - St Michel,3178530416718,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],"['Farine de blé', 'beurre frais', 'sucre', 'noix de coco râpée 13%', ""poudre d'amande"", 'pépites déshydratées à la framboise 3,4% ', 'équivalent fruits 6,8%', ' ', 'sucre', 'framboise', 'fécule', 'jus concentré de framboise', 'framboise', 'sel', ' fécule', ""arôme naturel de Traces éventuelles d'autres fruits à coque"", ""d'oeuf"", 'de graines de sésame et de soja']",['Non végétalien'],33 g,en quantité élevée,22 g,en quantité élevée,24 g,en quantité élevée,0.32 g,en quantité modérée,?,,549,+16%,2297 kj(549 kcal),+15%,33,+59%,22,+118%,56,-12%,24,-19%,"6,5",0%,"0,32",-46%,"0,128",-46%,22,+11%,E,+11%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['St Michel'],,,,4,,,['Gluten'],,,,,,
1069,Bouillon de ragout - Dona Carmen - 80g (16capsules de 5g),8435336214036,,80 g (16 capsules de 5 g),"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés']",['France'],"['Sel', 'fécule de mais', 'exhausteur de goût ', 'glutamate monosodique', 'sucre', 'graisses végétales partiellement hydrogénées : palme', 'protéines végétales de soja', 'extrait de levure', 'saveur de viande', 'oignon', 'colorants ', 'E150d', 'E150c', 'E171', 'épices ', 'curcuma', ' et anti-agglomérant ', 'E551']","['Huile de palme', 'Non végétalien']",,,,,,,,,760,+5%,184,+14%,760 kj(184 kcal),+9%,"5,7",+1%,"3,52",+36%,"27,1",+33%,"9,19",+63%,"6,1",+16%,"51,67",+108%,"20,668",+108%,,,,,,,,,,,,,['Dona Carmen'],,"['Boite carton', 'Capsules compatibles Dolce Gusto']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E150d - Caramel au sulfite d'ammonium"", 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E171 - Oxyde de titane', 'E551 - Dioxyde de silicium']",4,,['Géant'],['Soja'],,,['Huile de palme'],,,
1070,Fideuà,8410300106449,,,,['France'],[],[],,,,,,,,,?,,110,,460 kj(110 kcal),,"1,7",,"0,3",,19,,"1,2",,"4,2",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Vacherin du Terroir - format mini -,3370011440292,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru', 'Fromages à pâte molle à croûte lavée', ""Mont d'Or""]",['France'],[],[],25.4 g,en quantité élevée,16.3 g,en quantité élevée,0 g,en faible quantité,1.38 g,en quantité modérée,?,,302,+2%,1264 kj(302 kcal),+3%,"25,4",+3%,"16,3",-2%,0,-100%,0,-100%,"18,5",+5%,"1,38",-3%,"0,552",-3%,14,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,['AOP'],['Frais'],,,,,,,,,,,
1072,Genmaicha - Nestlé,7613035409026,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thés verts japonais', 'Thés Genmaicha']",['France'],[],[],,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Nestlé'],,,,,,,,,,,,,
1073,Clémentines,3661030133693,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Le raisin noir - Carrefour,3276554540270,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Raisins', 'Raisins noirs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.7%,0.0%,0.0%,15.2%,12.1%,4.0%,97,,['Carrefour'],,,,,,['Carrefour'],,,,,,,
1075,Terrine de porc / campagne,3269617106612,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",['France'],[],[],30 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,330,+2%,1381 kj(330 kcal),+2%,30,+6%,10,-7%,"1,6",-30%,"0,5",-42%,16,+14%,"1,9",+19%,"0,76",+19%,21,+8%,E,+8%,,,,,,,,"['FR 65.375.001 CE', 'Rabastens-de-Bigorre (Hautes-Pyrénées, France)']",,"['Fabriqué en France', 'Sans colorants']",,,,,,,,,,,,
1076,Pot De Crème Ananas Et Mangue Docello,9002100053741,,,,['France'],[],[],,,,,,,,,?,,460,,1925 kj(460 kcal),,18,,15,,72,,61,,"2,6",,"0,34",,"0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Choco noisette - Chef de France - 120g,3760226461241,,120g,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Chef de France'],,,,,,,,,,,,,
1078,Piept de pui la gratar,5949065001643,,,,['France'],[],[],,,,,,,,,?,,131,,548 kj(131 kcal),,"3,78",,"0,75",,"0,5",,"0,45",,"23,43",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Le savoureux aux pépites de chocolat -  - 600g,3286631900002,,600 g,,['France'],"['Farine de blé', 'huile de colza', 'oeufs frais', 'sucre', 'pépite de chocolat 12 %', 'sirop de glycérol', 'sirop de sorbitol', 'poudre levante ', ""bicarbonate d'ammoniaque"", 'bicarbonate de soude', ""arôme naturel d'orange""]",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,"['E420ii - Sirop de sorbitol', 'E500ii - Carbonate acide de sodium']",4,,,"['Œufs', 'Gluten']",,,,,,
1080,Sauce américaine,3123150530634,D,,"['Epicerie', 'Sauces', 'Sauces américaine']",['France'],[],[],5.2 g,en quantité modérée,1.5 g,en quantité modérée,0.8 g,en faible quantité,1.1 g,en quantité modérée,?,,72,-78%,301 kj(72 kcal),-78%,"5,2",-83%,"1,5",-43%,"4,5",-62%,"0,8",-89%,"1,9",+28%,"1,1",-56%,"0,44",-56%,4,-74%,C,-74%,73.6%,15.5%,4.4%,4.2%,1.9%,0.5%,54,,,,,,,,,,,,,,,
1081,Assortiment apéro,20289003,,,,['France'],[],[],,,,,,,,,?,,250,,1046 kj(250 kcal),,10,,4,,"3,3",,"2,9",,35,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Amaretti -,8023192000605,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Amaretti']",['France'],[],[],12 g,en quantité modérée,0.7 g,en faible quantité,75.8 g,en quantité élevée,0 g,en faible quantité,?,,445,-1%,1862 kj(445 kcal),-1%,12,-33%,"0,7",-61%,"75,8",+25%,"75,8",+37%,"6,2",-28%,0,-100%,0,-100%,15,+4%,D,+4%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,,,
1083,Pudding chocolat - Auchan,2030500475990,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,['Auchan'],,,,,,,
1084,Crème stracciatella - 66.0g,20649135,,66.0 g,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,133,,556 kj(133 kcal),,"5,1",,"3,7",,"18,5",,"15,1",,3,,"0,23",,"0,092",,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",['Tüte'],,,,,,,,,,,
1085,Biscuit aperitif thaïlandais - 100g,3379140600003,,100 g,,['France'],[],[],,,,,,,,,?,,380,,1590 kj(380 kcal),,"0,18",,"0,09",,"87,1",,"3,99",,"7,58",,"1,65",,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,Mini pains d'épices,20230791,B,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",['France'],[],[],21.8 g,en quantité élevée,6 g,en quantité élevée,36.8 g,en quantité élevée,0.3 g,en quantité modérée,?,,440,+31%,1841 kj(440 kcal),+30%,"21,8",+525%,6,+384%,"48,9",-31%,"36,8",-9%,"10,1",+133%,"0,3",-31%,"0,12",-31%,19,+35%,E,+35%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,,,,,,,
1087,Tea time - Delacre - 1kg,3116430211026,,1 kg,,['France'],"['Farine de ble - sucre - graisse végétale ', 'palme', 'palmiste', 'colza', 'noix de coco', ' - chocolat ', '13%', 'sucre', 'pâte de cacao', 'beurre de cacao', 'cacao maigre en poudre', 'lactose', 'beurre', 'pâtissier', 'émulsifiant : lecithine de soja', ' - chocolat au lait ', '12%', 'sucre', 'beurre de cacao', 'pâte de cacao', 'lait écrémé en poudre', 'lactose', 'beurre pâtissier', 'émulsifiant : lecithine de soja', 'arôme', ' - chocolat blanc ', '3%', 'sucre', 'beurre de cacao', 'lait écrémé en poudre', 'lactose', 'beurre pâtissier', 'lactoserum en poudre', 'émulsifiant: lecithine de soja', 'arôme', ' - cassonade ', '0,9%', ' - lactose et protéines de lait - amidon de ble - lait entier en poudre - dextrose - beurre ', '0,3%', ' - cacao maigre en poudre ', '0,2%', ' - noix de coco ', '0,2%', ' - sel - chocolat en flocons ', 'sucre', 'pâte de cacao', 'poudre de lait entier', 'beurre pâtissier', 'beurre de cacao', 'arôme', ' - amandes - poudres à lever : carbonates de sodium', ""carbonates d'ammonium"", ""diphosphate disodique - farine de malt d'orge - blanc d'oeuf en poudre - oeuf entier en poudre - émulsifiant : lecithine de soja - arômes - jaune d'oeuf en poudre - cannelle - colorants : e100""]","['Huile de palme', 'Non végétalien']",,,,,,,,,2135,,?,,2135 kj(510 kcal),,"25,4",,"14,7",,"64,3",,39,,5,,"0,37",,"0,148",,,,,,,,,,,,,,"['Delacre', 'Ferrero']",,,"['E322i - Lécithine', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E450i - Pyrophosphate de sodium acide', 'E100 - Curcumine']",4,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,['Huile de palme'],,,
1088,Bloc de foie gras de grande saveur - Labeyrie - 260g,3033610036876,B,260 g,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",['France'],"['Foie gras de canard du Sud-Ouest', 'morceaux de foie gras de canard du Sud-Ouest ', '30%', 'eau', 'Monbazillac AOP ', '0,8%', 'sel', 'fleur de sel 0,12%', 'épices', 'sucre', 'antioxydant : E301', 'conservateur: E250']","['Non végétalien', 'Non végétarien']",53 g,en quantité élevée,23 g,en quantité élevée,1.6 g,en faible quantité,1.1 g,en quantité modérée,2104,+4%,511,+4%,2104 kj(511 kcal),+3%,53,+5%,23,+7%,2,-6%,"1,6",+20%,"6,4",+5%,"1,1",-10%,"0,44",-10%,20,-2%,E,-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",['Labeyrie'],,"['barquette plastique', 'opercule plastique', 'à jeter', 'étui carton', 'à recycler']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",3,,,,,['France'],,,,
1089,Datte Deglet Nour Tunisie -,3760152080035,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes', 'Dattes Deglet Nour']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,"['EMB 66136BR', 'Perpignan (Pyrénées-Orientales, France)']",,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,['Tunisie'],,,,
1090,Sushi Saumon,3760199054297,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Thé,3760166260614,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Melange Espagnol Pour Paella Bedros 105G,3580281846032,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bedros'],,,,,,,,,,,,,
1093,Bio-botter - Biog,5450252015010,,,,['France'],[],[],,,,,,,,,?,,743,,3109 kj(743 kcal),,82,,53,,"0,5",,"0,5",,"0,8",,"0,1",,"0,04",,,,,,,,,,,,,,['Biog'],"['Bio', 'Bio européen', 'BE-BIO-02']",,,,,,,,,,,,
1094,Rooibos - Kusmi Tea,3585804000144,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Rooibos']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Kusmi Tea'],,,,,,,,,,,,,
1095,Tarte fine pommes - Auchan,2030500328975,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,['Auchan'],,,,,,,
1096,12 gros oeufs des monts du Lyonnais,3500061120305,D,,"[""Produits d'élevages"", 'Œufs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,,,
1097,ほうじ茶,4901085029503,,,,"['France', 'Hong Kong']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,The Ritual of dao Tea relaxing - rituals,8719134001532,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées', 'es:Infusiones relajantes']","['France', 'Espagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Rituals'],['Bio'],,,,,,,,,,,,
1099,Pommes bio Juliette,3222474486990,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10']",,,,,,,,,,,,
1100,Amabile Lidl - 750ml,20067038,,750ml,['Boissons'],"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Amabile Lidl'],,,,,,,,,,,,,
1101,Asperges blanches de Navarre,8411916078038,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Asperges', 'Asperges en conserve', 'Asperges blanches en conserve']",['France'],[],[],0.6 g,en faible quantité,0 g,en faible quantité,1.1 g,en faible quantité,0.71 g,en quantité modérée,?,,27,+50%,113 kj(27 kcal),+59%,"0,6",+163%,0,-100%,"2,5",+34%,"1,1",-17%,"2,1",+56%,"0,71",-13%,"0,284",-13%,-3,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,,,,,,,,,
1102,Miel de Azahar - paiarrop - 420g,8437006555333,B,420 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'agrumes"", ""Miels d'oranger""]","['France', 'Espagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Paiarrop'],,,,,,,,,,,,,
1103,Raisins secs golden - Casino,3222477064317,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs']",['France'],[],[],0.8 g,en faible quantité,0.2 g,en faible quantité,60 g,en quantité élevée,0.1 g,en faible quantité,?,,323,+2%,1351 kj(323 kcal),+2%,"0,8",+38%,"0,2",+43%,74,+2%,60,-4%,"2,6",-8%,"0,1",+85%,"0,04",+85%,8,+42%,C,+42%,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,['Casino'],,,,,,['Casino'],,,,,,,
1104,Gelée extra de MÛRES - Éric Bur,3144550006086,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de mûres']",['France'],"['sucre', 'eau', 'jus concentré de mûre', 'gélifiant : pectine', 'acidifiant : acide citrique']",[],0 g,en faible quantité,0 g,en faible quantité,56.4 g,en quantité élevée,0 g,en faible quantité,?,,231,-5%,967 kj(231 kcal),-5%,0,-100%,0,-100%,"56,7",-4%,"56,4",-2%,"0,22",-51%,0,-100%,0,-100%,11,-6%,D,-6%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['Éric Bur'],,,"['E440 - Pectines', 'E330 - Acide citrique']",4,,,,,,,,,
1105,Boudin noir aux oignons,0210252021382,D,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudins noirs aux oignons', 'Boudin noir sauté']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,,,,
1106,Crème De Sesame - Chtoura Garden - 400grams,5285001408191,,400 grams,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales']","['France', 'Espagne']",[],[],59 g,en quantité élevée,17.7 g,en quantité élevée,0.2 g,en faible quantité,0.1 g,en faible quantité,?,,686,+154%,2870 kj(686 kcal),+156%,59,+617%,"17,7",+1251%,"3,8",-91%,"0,2",-99%,25,+978%,"0,1",-48%,"0,04",-48%,18,+93%,D,+93%,,,,,,,,,['Chtoura Garden'],,,,,,,,,,,,,
1107,Croissant aux abricots - Auchan,2090000190342,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,['Auchan'],,,,,,,
1108,Pot de creme vanille - La fermière,3279231582013,,,,['France'],[],[],,,,,,,,,?,,179,,749 kj(179 kcal),,11,,6,,16,,15,,"3,8",,"0,18",,"0,072",,,,,,,,,,,,,,['La fermière'],,,,,,,,,,,,,
1109,Poivrons tricolore,3760040720098,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,500ml,5600320350158,,500ml,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Lard fumé - boni - 200g,5400141574494,,200 g,['nl:Vleeswaren'],"['Belgique', 'France']","['Varkensvlees*', 'zout', 'dextrose*', 'antioxidanten ', 'E300', 'E331', ""natuurlijke aroma's*""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",36 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,?,,397,,1661 kj(397 kcal),,36,,15,,"0,5",,"0,5",,17,,2,,"0,8",,22,,E,,,,,,,,,,['Boni'],"['Bio', 'Bio européen', 'BE-BIO-02']",['Plastic'],"['E300 - Acide ascorbique', 'E331 - Citrates de sodium']",4,,['Colruyt'],,,,,,,
1112,5021507162997,5021507162997,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Chocolat au lait - Migros - 400g,7616500912519,E,400 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']","['France', 'Suisse']","['sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'lactose', 'lait écrémé en poudre', 'émulsifiant: lécithine de soja', 'arôme']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",30 g,en quantité élevée,18 g,en quantité élevée,60 g,en quantité élevée,0.127 g,en faible quantité,2250,-1%,538,-3%,2250 kj(538 kcal),-3%,30,-13%,18,-8%,61,+18%,60,+22%,5,-30%,"0,127",-45%,"0,051",-45%,24,-6%,E,-6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,['Migros'],['Fabriqué en Suisse'],['Papier'],['E322i - Lécithine'],4,,['Migros'],"['Lait', 'Soja']",['Suisse'],,,,,
1114,Pates bio - Rivesalines - 240g,3760090081828,,240 g,,['France'],"['farine de blé', 'œuf', 'laitue de mer déshydratée 4,9%']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,359,,1502 kj(359 kcal),,"2,8",,"0,7",,66,,"2,1",,15,,"0,3",,"0,12",,,,,,,,,,,,,"['FR-BIO-09', 'FR 25.214.1545 CE', 'Écot (Doubs, France)']",['Rivesalines'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-09', 'Point Vert']",,,,,,"['Œufs', 'Gluten']",['France'],"['Union européenne', 'Non Union Européenne']",,,,
1115,Tarte aux Fraises 4/6 personnes -,0201117045599,C,,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Biscuit sec nappé aux fruits', 'Tartes aux fraises']",['France'],"['Fraises ', '34%', 'crème pâtissière ', 'eau', 'sucre', 'amidon modifié', 'poudre de lait écrémé', 'poudre de lait', 'lactosérum ', 'lait', ' dextrose', 'gélifiants ', 'diphosphate tétrasodique', 'alginate de sodium', 'phosphate disodique', 'sulfate de calcium', 'acétate de calcium', ' émulsifiants ', ' esters lactiques des mono et diglycérides d acide gras', 'esters acétiques des mono et diglycérides d acides gras', 'poudre de lait entier', 'sirop de glucose déshydraté', 'arôme', 'colorants ', ' caroténoïdes', ',\r fond de tarte ', ' farine de blé', 'beurre concentré ', 'lait', '16', '8%', ' ,sucre ', '12', '6%', 'lait écrémé', 'oeufs', 'farine de lupin ', ' gluten', 'stabilisant: E420', 'dextrose', 'émulsifiants ', ' E471', 'E472e', ' sel', 'poudre à lever: E500ii', 'nappage ', ' eau', 'sirop de glucose', 'sucre', 'fructose', 'gélifiant ', 'E440', 'E407', ' acidifiant ', 'E330', 'arôme fraise', 'colorant: E120']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",5 g,en quantité modérée,3.1 g,en quantité modérée,11 g,en quantité modérée,0.17 g,en faible quantité,?,,246,+29%,1029 kj(246 kcal),+29%,5,-28%,"3,1",-17%,48,+62%,11,-31%,"1,9",-34%,"0,17",-27%,"0,068",-27%,7,-12%,C,-12%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,,,,,"['E14XX - Amidons modifiés', 'E450iii - Diphosphate tétrasodique', 'E401 - Alginate de sodium', 'E339ii - Phosphate disodique', 'E263 - Acétate de calcium', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", ""E472a - Ester diacétyl-acétique d'acides gras"", 'E160 - Caroténoïdes', 'E420 - Sorbitol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E500ii - Carbonate acide de sodium', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E120 - Acide carminique']",4,,,"['Œufs', 'Gluten', 'Lupin', 'Lait']",,,,,,
1116,Filets d anchois salés - Metro chef - 580g,3439496603117,,580g,,['France'],[],[],,,,,,,,,?,,187,,782 kj(187 kcal),,"9,2",,"1,1",,"1,2",,0,,"24,9",,"14,9",,"5,96",,,,,,,,,,,,,,['Metro chef'],['Produits destinés aux professionnels'],,,,,,,,,,,,
1117,Fèves,3024329000128,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['EMB 85155A', 'Mouilleron-le-Captif (Vendée, France)']",,,,,,,,,,,,,,
1118,Ail - Derlea Foods,0069391001102,,,,"['Canada', 'France']",[],[],,,,,,,,,?,,300,,1255 kj(300 kcal),,20,,4,,20,,0,,4,,0,,0,,,,,,,,,,,,,,['Derlea Foods'],,,,,,,,,,,,,
1119,Lentilles vertes - SAINT ELOI - 500g,3205390004639,,500g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs']",['France'],"['Lentilles vertes', ' Traces éventuelles de blé']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1.4 g,en faible quantité,0.2 g,en faible quantité,0.9 g,en faible quantité,0.01 g,en faible quantité,?,,332,+69%,1389 kj(332 kcal),+70%,"1,4",-10%,"0,2",-22%,"48,6",+88%,"0,9",-39%,"25,1",+93%,"0,01",-97%,"0,004",-97%,-11,,A,,,,,,,,,,['SAINT ELOI'],"['Nutriscore', 'Nutriscore A', 'Saint Eloi']",['boîte en carton'],,1,,['Intermarché'],,['Charmes-sur-Rhône'],['France'],,,,
1120,Noix de coco,3760036570638,,,,['France'],[],[],,,,,,,,,?,,365,,1527 kj(365 kcal),,"33,5",,"29,7",,"7,15",,"6,23",,"3,6",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Hamburger buns - Jacquet,3029330068112,,,,['France'],[],[],,,,,,,,,?,,289,,1209 kj(289 kcal),,5,,1,,50,,"6,2",,"9,7",,"1,1",,"0,44",,,,,,,,,,,,,,['Jacquet'],,,,,,,,,,,,,
1122,Curry breton,3760063320619,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
