,name,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,bar_code,generic_name,quantity,packaging,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,nova_score,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,ingredients_origins,additives,allergens,brand_owner,manufacturing,link
822,Japenese peanuts - 850g,['France'],[],[],?,436,1824 kj(436 kcal),"2,5","2,5",17,17,11,"0,8","0,32",8711299006537,,850 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,Ener' Dej' Chocolat,['France'],[],[],?,403,1686 kj(403 kcal),10,4,63,38,12,"0,3","0,12",7000000596100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,Mini Stroopwafles,['France'],[],[],?,37,155 kj(37 kcal),1,"0,7","5,2",3,"0,3",1,"0,4",0857290005389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,Yogi Tea Organic,['France'],[],[],?,?,,?,,?,,?,,,4012824722392,,,,['Yogi Tea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,Pavés gourmand,['France'],[],[],?,237,992 kj(237 kcal),11,"3,9","15,3","0,8",17,"1,4","0,56",7613038337722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,Brandade de morue à la Nîmoise,['France'],[],[],?,458,1916 kj(458 kcal),47,4,3,"0,1","5,7",1,"0,4",3506709036014,,,,,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue']",47 g,en quantité élevée,4 g,en quantité modérée,0.1 g,en faible quantité,1 g,en quantité modérée,,+107%,+108%,+183%,+90%,-62%,-86%,-16%,+15%,+15%,12,+183%,D,+183%,,,,E,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,,,,,,
828,Les biscuits de Noël,['France'],[],[],?,449,1879 kj(449 kcal),24,"4,2",46,43,"9,7","0,04","0,016",3391860002509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Le cellier du roy,['France'],[],[],?,?,,?,,?,,?,,,3198129291274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,EMINCE DE KEBAB DINDE-BOEUF - 1.000kg,['France'],[],[],?,191,799 kj(191 kcal),"13,5","5,81","1,71","1,17","15,7","1,18","0,472",3371570006165,,1.000 kg,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,,,,,,
831,Oignon tarpin fort,['France'],[],[],?,649,2715 kj(649 kcal),"14,14","1,95","5,43","3,75","0,93",1,"0,4",3760153931534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,Houmous traditionnel,['France'],[],[],?,216,904 kj(216 kcal),"11,2","2,06","15,74","0,78","9,06","0,6","0,24",3770014923004,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",11.2 g,en quantité modérée,2.06 g,en quantité modérée,0.78 g,en faible quantité,0.6 g,en quantité modérée,,-18%,-18%,-45%,-16%,+48%,-42%,+40%,-42%,-42%,1,-80%,B,-80%,,,,B,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,
833,Roquefort Societe,['France'],[],[],?,?,,?,,?,,?,,,0200011023481,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",,,,,,,,,,,,,,,,,,,,,,,,,,D,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,,,,,
834,Confit Figue / Agrume Altesse,['France'],[],[],?,213,891 kj(213 kcal),"0,2",0,"51,8","51,7","1,1",0,0,5412465150148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,Lardons fumé,['France'],[],[],?,?,,?,,?,,?,,,2248960016992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,Saint Nectaire fermier,['France'],[],[],?,360,1506 kj(360 kcal),"29,8","19,8","1,2","0,5","21,8","1,1","0,44",2467437045000,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-Nectaire fermier']",29.8 g,en quantité élevée,19.8 g,en quantité élevée,0.5 g,en faible quantité,1.1 g,en quantité modérée,,+9%,+9%,+5%,+1%,+14%,+53%,0%,-6%,-6%,13,-3%,D,-3%,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
837,Petits filous - Yoplait,['France'],[],[],?,88,368 kj(88 kcal),"2,4","1,6","10,4","9,9","5,3","0,12","0,048",,,,,['Yoplait'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",2.4 g,en quantité modérée,1.6 g,en quantité modérée,9.9 g,en quantité élevée,0.12 g,en faible quantité,,+22%,+21%,+59%,+69%,-8%,-7%,+83%,+13%,+13%,18,+12%,E,+12%,,,,E,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,,,,,,,
838,Les flûtes chocolat - 140g,['France'],[],[],?,466,1950 kj(466 kcal),16,"9,5",75,50,5,"0,275","0,11",3391860002271,,140 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,Nougat des arts,['France'],[],[],?,?,,?,,?,,?,,,0637913930911,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,,,,,,,,,,,,,,,,,,,,,,,,,E,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,
840,2 babas au rhum,['France'],[],[],?,173,724 kj(173 kcal),"4,1","2,6",30,23,"2,8","0,09","0,036",3567741002030,,,,,"['Biscuits et gâteaux', 'Pâtisseries', 'Babas au rhum']",4.1 g,en quantité modérée,2.6 g,en quantité modérée,23 g,en quantité élevée,0.09 g,en faible quantité,,-20%,-20%,+1%,+20%,-21%,-19%,+39%,-59%,-59%,8,-19%,C,-19%,,,,B,32.1%,36.9%,15.2%,7.8%,8.1%,0.0%,96,,,,,,,
841,Rillettes de noix de Saint Jacques - Le Père Eugène,['France'],[],[],?,148,619 kj(148 kcal),9,"6,5",2,"0,4","14,8","1,8","0,72",3394610002736,,,,['Le Père Eugène'],"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de Saint-Jacques']",9 g,en quantité modérée,6.5 g,en quantité élevée,0.4 g,en faible quantité,1.8 g,en quantité élevée,,-11%,-11%,-19%,+1%,-44%,-68%,+17%,+70%,+70%,14,+47%,D,+47%,,,,,,,,,,,,,,,,,,
842,Décor coloré bleu foncé - Cacao Barry,['France'],[],[],?,560,2343 kj(560 kcal),34,20,57,56,"6,2","0,22","0,088",3073417500576,,,,['Cacao Barry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Just cheese,['France'],[],[],?,301,1259 kj(301 kcal),"13,2","8,2","2,4","2,4","14,1","1,21","0,484",5010718129110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,Teekanne Fruit Kiss - 3g,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,9001475046105,,3 g,['Stück'],['Teekanne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,Terrine pintade aux pommes et Calvados - R.Junca,['France'],[],[],?,243,1017 kj(243 kcal),20,"7,8",2,"1,7",14,"1,4","0,56",3067163640686,,,,['R.Junca'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,Teekanne Kaminzauber - 2.900000095367432g,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,9001475043760,,2.900000095367432 g,['Stück'],['Teekanne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Pain campagne noix,['France'],[],[],?,?,,?,,?,,?,,,2600388015092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,Mélange Mexicain,['France'],[],[],?,533,2230 kj(533 kcal),34,"5,5",37,"4,2",17,"1,7","0,68",2600692025329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Font-Sans - 1.15kg,"['France', 'Allemagne']",[],[],?,383,1602 kj(383 kcal),30,,"3,8","2,4",24,,,8413107006257,,1.15kg,,['Font-Sans'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Mezcla de pimientas - Salt & More,['France'],[],[],?,?,,?,,?,,?,,,9120046473840,,,,['Salt & More'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,Jambon Supérieur sans couenne,['France'],[],[],?,111,464 kj(111 kcal),3,"1,2",1,"0,5",20,"2,1","0,84",2273694013849,,,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon sans couenne']",3 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,2.1 g,en quantité élevée,,-16%,-15%,-38%,-35%,+49%,-16%,-5%,+12%,+12%,11,+56%,D,+56%,"['Viande Française', 'Viande Porcine Française']",,,E,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,
852,Stuk jong komijn 48+,['France'],[],[],?,?,,?,,?,,?,,,2389274103586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Petits Pois Extra Fins à L'étuvée,['France'],[],[],?,80,335 kj(80 kcal),"0,7","0,2","10,3","4,5","4,9","0,53","0,212",3083680030670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Pâte d'amande avec chocolat amer,['France'],[],[],?,462,1933 kj(462 kcal),26,"4,4",44,42,"9,6",0,0,4029237009859,,,,,"['Massepain', ""Pâtes d'amande""]",26 g,en quantité élevée,4.4 g,en quantité modérée,42 g,en quantité élevée,0 g,en faible quantité,,+5%,+4%,+56%,+146%,-33%,-31%,+54%,-100%,-100%,18,+16%,D,+16%,,,,E,92.2%,3.6%,1.7%,1.8%,0.8%,0.0%,25,,,,,,,
855,Bourgogne Chardonnay,['France'],[],[],?,?,,?,,?,,?,,,3363040011083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Menú preparado de carne picada de pollo - Coren,['France'],[],[],?,178,745 kj(178 kcal),12,"3,5","0,5","0,5",17,"1,3","0,52",8412406092077,,,,['Coren'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,Suisse petites de chocolat - 400g,['France'],[],[],?,334,1397 kj(334 kcal),"15,41","6,3","40,9","14,4","8,3","0,8","0,32",3608734497393,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,
858,fond de tarte léger Cheroka,['France'],[],[],?,378,1582 kj(378 kcal),"0,1","0,1","90,8","80,8","3,4","0,01","0,004",4607009922294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,kisss baby - Migros,['France'],[],[],?,430,1799 kj(430 kcal),18,11,62,53,"3,5","0,05","0,02",07987366,,,,['Migros'],,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,['Migros'],,,,,,
860,Sirop De Sureau Holle - 380ML - Morga,['France'],[],[],?,?,,?,,?,,?,,,7610491068682,,,,"['Holle', 'Morga']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Filet de poulet fermier bio - Monoprix Bio,['France'],[],[],?,?,,?,,?,,?,,,0206975047235,,,,['Monoprix Bio'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,C,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Monoprix'],,,,,,
862,Filet poulet,['France'],[],[],?,?,,?,,?,,?,,,0206968055490,,,['Barquette'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,8695357020201,['France'],[],[],?,?,,?,,?,,?,,,8695357020201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Filets de poulet - Migros - 230g,['France'],[],[],?,?,,?,,?,,?,,,2131802008357,,230 g,['Barquette'],['Migros'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Migros'],,,,,,
865,Coupe Sunday,['France'],[],[],?,209,874 kj(209 kcal),"9,4","8,5",28,"27,6","3,1","0,2","0,08",4059699030528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,Coulis d'abricot - Emmanuelle Baillard,['France'],[],[],?,80,335 kj(80 kcal),0,0,20,20,0,0,0,3760125984049,,,,['Emmanuelle Baillard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', ""Coulis d'abricot""]",0 g,en faible quantité,0 g,en faible quantité,20 g,en quantité élevée,0 g,en faible quantité,,-37%,-37%,-100%,-100%,-32%,-30%,-100%,-100%,-100%,-1,-123%,A,-123%,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,
867,Rostbeef - Migros - 94g,['France'],[],[],?,?,,?,,?,,?,,,2144656005502,,94 g,['Barquette'],['Migros'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Migros'],,,,,,
868,Harput Dibek Kahvesi,['France'],[],[],?,392,1640 kj(392 kcal),"5,5",0,"79,8",0,"5,8",0,0,8697890368031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,Bacon ahumado en lonchas - El Corte Inglés,['France'],[],[],?,221,925 kj(221 kcal),17,"7,2","1,1","1,1",16,"2,1","0,84",8433329011266,,,,['El Corte Inglés'],,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,
870,Mirto,['France'],[],[],?,?,,?,,?,,?,,,8003253000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Coulis de Mures,['France'],[],[],?,?,,?,,?,,?,,,3347640000708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Mélange de Noix et d'olives - Alesto,['France'],[],[],?,635,2657 kj(635 kcal),"53,2","6,5","12,6","6,6","22,8","0,68","0,272",03064447,,,,['Alesto'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Clémentine vrac clemenules,['France'],[],[],?,?,,?,,?,,?,,,87003383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Rillettes de saumon bio - Kaviari,['France'],[],[],?,248,1038 kj(248 kcal),21,10,"1,7","1,2",13,"0,39","0,156",3700189554888,,,,['Kaviari'],"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de saumon']",21 g,en quantité élevée,10 g,en quantité élevée,1.2 g,en faible quantité,0.39 g,en quantité modérée,,+13%,+13%,+22%,+107%,-23%,+32%,-4%,-66%,-66%,13,+48%,D,+48%,,"['FR 22.272.006 CE', ""Saint-Agathon (Côtes-d'Armor, France)""]",,E,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,,,,
875,Pomme pur jus,['France'],[],[],?,?,,?,,?,,?,,,3770004092048,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],"['EMB 73124A', 'Gilly-sur-Isère (Savoie, France)']",,,,,,,,,,,,,,,,
876,Haricots granja alubias - Mendavia,"['France', 'Espagne']",[],[],?,86,360 kj(86 kcal),"0,5","0,1","17,4","0,9","4,5","0,58","0,232",8420683101375,,,,['Mendavia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumineuses en conserve', ""Haricots d'Espagne en conserve""]",0.5 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,0.58 g,en quantité modérée,,+5%,+5%,+10%,+10%,+44%,+42%,-12%,+5%,+5%,1,,B,,,,,,,,,,,,,,,,,,,
877,Chaussons aux pommes,['France'],[],[],?,?,,?,,?,,?,,,0209402020337,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,,,,,,,,,,,,,,,,,,,,,,,,,B,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,,,
878,"Tafelschokolade Casa Amattler, Zartbitter 50 %",['France'],[],[],?,537,2247 kj(537 kcal),32,22,53,51,7,"0,4","0,16",8413907757205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Noix de jambon -,['France'],[],[],?,208,870 kj(208 kcal),"6,2","2,3",1,1,37,"5,8","2,32",2980902013262,,,,,['Noix de jambons secs'],6.2 g,en quantité modérée,2.3 g,en quantité modérée,1 g,en faible quantité,5.8 g,en quantité élevée,,+8%,+7%,-1%,+1%,-6%,+39%,+11%,+23%,+23%,14,+4%,D,+4%,,,,,,,,,,,,,,,,,,
880,Sucettes anis,['France'],[],[],?,402,1682 kj(402 kcal),"0,05",0,"98,9",81,"0,06","0,015","0,006",3760253490290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Lomo iberique de bellota,['France'],[],[],?,437,1828 kj(437 kcal),"23,1","6,6",1,"0,5",41,"3,47","1,388",3770002165782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,LA PASTICCA DEL RE SOLE,['France'],[],[],?,206,862 kj(206 kcal),"0,1","0,1",55,"0,4",1,"0,17","0,068",8002680014720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Lait Musclé 37% - La Maison du Chocolat,['France'],[],[],?,577,2414 kj(577 kcal),39,23,47,46,"8,5","0,25","0,1",3700840149231,,,,['La Maison du Chocolat'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",39 g,en quantité élevée,23 g,en quantité élevée,46 g,en quantité élevée,0.25 g,en faible quantité,,+4%,+5%,+13%,+17%,-9%,-6%,+19%,+7%,+7%,28,+10%,E,+10%,,,,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,
884,Ceylon Lemon Tea Drink,['France'],[],[],?,42,176 kj(42 kcal),0,0,"10,5","10,5",0,"0,03","0,012",4341028172246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Mini muffins coeur fondant aux pommes,['France'],[],[],?,338,1414 kj(338 kcal),16,"2,8",47,33,"2,1","0,62","0,248",0200084019350,,,,,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",16 g,en quantité modérée,2.8 g,en quantité modérée,33 g,en quantité élevée,0.62 g,en quantité modérée,,-15%,-15%,-21%,-25%,-4%,+23%,-60%,-16%,-16%,15,-3%,D,-3%,"['Sans arômes artificiels', 'Fabriqué en France', 'Sans colorants']",,,,,,,,,,,,,,,,,
886,P'tit brassé - Nestlé,['France'],[],[],?,88,368 kj(88 kcal),"3,3",2,"11,2","7,2",3,"0,09","0,036",7613037256444,,,,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,So british - Le Comptoir de Mathilde,['France'],[],[],?,?,,?,,?,,?,,,3700961304670,,,,['Le Comptoir de Mathilde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Harrys duochok chocolait,['France'],[],['Sans huile de palme'],?,375,1569 kj(375 kcal),"14,3","6,4","52,4","23,1","7,4","0,65","0,26",3228853444155,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,,,,,,,,,,
889,Terrine de campagne traditionnelle rotie au four - Carrefour Bio,['France'],[],[],?,331,1385 kj(331 kcal),29,11,2,"0,9",15,"1,5","0,6",2227848014046,,,,['Carrefour Bio'],"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",29 g,en quantité élevée,11 g,en quantité élevée,0.9 g,en faible quantité,1.5 g,en quantité modérée,,+2%,+3%,+2%,+2%,-13%,+4%,+7%,-6%,-6%,20,+3%,E,+3%,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-13', 'Fabriqué en France']","['EMB 29004D', 'Bannalec (Finistère, France)']",,,,,,,,,,['Carrefour'],,,,,,
890,Multi Millet Chapati Mix - 500g,['France'],[],[],?,?,,?,,?,,?,,,8904064651463,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,St honore Rond,['France'],[],[],?,?,,?,,?,,?,,,3276550571100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Eau minérale magnesienne,['France'],[],[],?,?,,?,,?,,?,,,3564700307540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Burger Mediterraneo - 2x 100g,['France'],[],"['Végétalien', 'Végétarien']",?,228,954 kj(228 kcal),11,"1,4",18,"1,5","8,4","1,7","0,68",8008481797473,,2 x 100 g,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Végétarien', 'Végétalien', 'IT-BIO-009', 'Sans conservateurs']",,,,,,,,,,,,,,,,,
894,Bretzel choc,['France'],[],[],?,?,,?,,?,,?,,,3602826545511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Miel du perigord - 1000g,['France'],[],[],?,?,,?,,?,,?,,,3770006238024,,1000 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Cerises griottes dénoyautées,['France'],[],[],?,81,339 kj(81 kcal),"0,5","0,1",19,16,"0,5","0,01","0,004",3191220009892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Préparation pour cookies,['France'],[],[],?,414,1732 kj(414 kcal),"9,5","2,19","75,2","41,9","4,3","0,966","0,386",3760287880036,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,,,,,,
898,Brioche aux pépites de chocolat au lait - Auchan,['France'],[],[],?,408,1707 kj(408 kcal),"22,2","8,7",43,"14,7",9,"0,8","0,32",2090000175394,,,,['Auchan'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches']",22.2 g,en quantité élevée,8.7 g,en quantité élevée,14.7 g,en quantité élevée,0.8 g,en quantité modérée,,+12%,+12%,+61%,+14%,-16%,-25%,+20%,+10%,+10%,19,+12%,E,+12%,,,,C,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,['Auchan'],,,,,,
899,Isotonic Vegan,['France'],[],"['Végétalien', 'Végétarien']",?,380,1590 kj(380 kcal),0,0,"89,1","71,3",0,"1,5","0,6",2001000607020,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,
900,Family mini waffles - Karmela,['France'],[],[],?,547,2289 kj(547 kcal),30,11,62,44,"5,3","0,28","0,112",3800093101878,,,,['Karmela'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Creamy dill hummus chips,['France'],[],[],?,503,2105 kj(503 kcal),"26,3","2,4","57,3","1,3","7,3","2,35","0,94",5060305460522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Week-end chocolat-orange,['France'],[],[],?,?,,?,,?,,?,,,00063340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,duo fraise framboise,['France'],[],[],?,?,,?,,?,,?,,,2078674015024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Torsades Abricots x4 - E.Leclerc,['France'],[],[],?,?,,?,,?,,?,,,3478920002928,,,,['E.Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Chocolat pour sapin,['France'],[],[],?,525,2197 kj(525 kcal),38,24,33,26,9,"0,02","0,008",3273071759154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Bananes Cavendish bio,['France'],[],[],?,?,,?,,?,,?,,,0205411012004,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,
907,Apéro bio Champignons biologiques,['France'],[],[],?,?,,?,,?,,?,,,3700789600305,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,
908,Oranges navelina,['France'],[],[],?,?,,?,,?,,?,,,8425174001554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,"Faber-castell Surligneur Textliner 1546,Bleu",['France'],[],[],?,?,,?,,?,,?,,,4005401546528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Tomate pelado calidad extra - El Corte Inglés,['France'],[],[],?,?,,?,,?,,?,,,8433329016179,,,,['El Corte Inglés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Abondance au lait cru,['France'],[],[],?,399,1669 kj(399 kcal),33,21,0,0,25,"1,5","0,6",0210843026635,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Abondance']",33 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,-0%,-1%,0%,-3%,-100%,-100%,-0%,-5%,-5%,15,-5%,D,-5%,['AOP'],,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
