,name,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,bar_code,generic_name,quantity,packaging,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,nova_score,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,ingredients_origins,additives,allergens,brand_owner,manufacturing,link
611,Green Moroccan Mint,['France'],[],[],?,?,,?,,?,,?,,,0784682989029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Huile vierge de tournesol,['France'],[],[],?,828,3464 kj(828 kcal),92,"11,2",0,0,0,0,0,3155700003930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Tranches de terrine blinis aux deux saumons,['France'],[],[],?,145,607 kj(145 kcal),"9,1","4,5",4,"1,2","11,1",1,"0,4",3760242173319,,,,,"['Terrines', 'Terrines de poisson', 'Terrines de saumon']",9.1 g,en quantité modérée,4.5 g,en quantité modérée,1.2 g,en faible quantité,1 g,en quantité modérée,,-29%,-29%,-41%,+29%,-5%,-14%,0%,-12%,-12%,4,-35%,C,-35%,,,,,,,,,,,,,,,,,,
614,Pilchards harengs,['France'],[],[],?,162,678 kj(162 kcal),"11,7","3,1","0,9","0,9","13,4","0,92","0,368",3300460700432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Truite aux Haricots Tarbais,['France'],[],[],?,97,406 kj(97 kcal),"3,5","1,3","7,2","1,7","7,5","0,81","0,324",3547110000409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Cha branco biologico,['France'],[],[],?,?,,?,,?,,?,,,5601149027351,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,
617,Foie gras de canard entier - Alban Laban,['France'],[],[],?,487,2038 kj(487 kcal),"50,1","22,9","2,2","0,6","6,9",1,"0,4",3580480000365,,,,['Alban Laban'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",50.1 g,en quantité élevée,22.9 g,en quantité élevée,0.6 g,en faible quantité,1 g,en quantité modérée,,-8%,-8%,-8%,-1%,-8%,-55%,-8%,-17%,-17%,20,-4%,E,-4%,,,,B,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,
618,Camembert di buffala,['France'],[],[],?,303,1268 kj(303 kcal),28,"20,4","0,2","0,2","12,8","0,8","0,32",2483020002861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Foie gras de canard entier - Alban Laban - 180g,['France'],"['Foie Gras de Canard de la ferme Alban Laban', 'Sel', 'Poivre']",[],?,487,2038 kj(487 kcal),"50,1","22,9","2,2","0,6","6,9",1,"0,4",3580480000273,,180 g,,['Alban Laban'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",50.1 g,en quantité élevée,22.9 g,en quantité élevée,0.6 g,en faible quantité,1 g,en quantité modérée,,-8%,-8%,-8%,-1%,-8%,-55%,-8%,-17%,-17%,20,-4%,E,-4%,,,3,B,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,
620,Grattons au piment d'Espelette,['France'],[],[],?,201,841 kj(201 kcal),"16,3","5,7","0,1","0,1","33,3","2,9","1,16",3580480000204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Preparation pour pain Multigrains,['France'],[],[],?,?,,?,,?,,?,,,3888888881143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,Carpaccio de boeuf,['France'],[],[],?,220,920 kj(220 kcal),16,"2,3",0,0,19,1,"0,4",2434432018698,,,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Carpaccio de boeuf']",16 g,en quantité modérée,2.3 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,,+8%,+8%,+13%,-9%,-100%,-100%,-1%,+39%,+39%,3,+64%,C,+64%,['Fabriqué en France'],"['FR 38.051.001 CE', 'Bougé-Chambalud (Isère, France)']",,,,,,,,,,,,,,,,
623,Modica chocolate,['France'],[],"['Végétalien', 'Végétarien']",?,539,2255 kj(539 kcal),"29,28","13,74","61,83",46,"6,21","0,018","0,007",8053251421188,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,,,,,
624,Baguette Sesame - Biocoop,['France'],[],[],?,?,,?,,?,,?,,,0225508008864,,,,['Biocoop'],,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,['Biocoop'],,,,,,
625,Tortilla,['France'],[],[],?,301,1259 kj(301 kcal),"7,8","3,5","47,4","1,7",0,"1,6","0,64",4260467590278,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains blancs', 'Pains de blé', 'Tortillas de blé']",7.8 g,en quantité modérée,3.5 g,en quantité modérée,1.7 g,en faible quantité,1.6 g,en quantité élevée,,-4%,-4%,+11%,+123%,-9%,-17%,-100%,+20%,+20%,13,+128%,D,+128%,,,,B,58.3%,22.1%,12.8%,6.0%,0.9%,0.0%,93,,,,,,,
626,Sandwich Jambon beurre,['France'],[],[],?,?,,?,,?,,?,,,6164705700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Filets de poulet rôti - Le Gaulois,['France'],[],[],?,151,632 kj(151 kcal),"5,8","1,4",1,1,24,"1,4","0,56",2431628042901,,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",5.8 g,en quantité modérée,1.4 g,en faible quantité,1 g,en faible quantité,1.4 g,en quantité modérée,,+15%,+16%,+101%,+88%,+109%,+312%,+5%,+87%,+87%,3,,C,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
628,Madeleine,['France'],[],[],?,439,1837 kj(439 kcal),25,16,46,27,"6,4","1,4","0,56",3259425001179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Extra Virgin Oil,['France'],[],[],?,823,3443 kj(823 kcal),"91,5","12,6",0,0,0,"0,002","0,001",8050444288504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Soja cuisine semi-épais - Bjorg,['France'],[],[],?,190,795 kj(190 kcal),18,"1,5",3,"2,5","3,5","0,18","0,072",3229821791844,,,,['Bjorg'],,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'IT-BIO-006']",,,,,,,,,,,,,,,,,
631,Harry's 100% mie Nature,['France'],[],[],?,?,,?,,?,,?,,,13090784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Parmigiano reggiano - Monoprix Gourmet,['France'],[],[],?,402,1682 kj(402 kcal),30,20,0,0,32,16,"6,4",2200507040051,,,,['Monoprix Gourmet'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,16 g,en quantité élevée,,+0%,+1%,+1%,+1%,-100%,,-1%,+900%,+900%,20,+20%,E,+20%,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Monoprix'],,,,,,
633,Minestrone Ricetta Invernale,['France'],[],"['Végétalien', 'Végétarien']",?,51,213 kj(51 kcal),"1,1","0,1","7,4","3,7",2,"0,8","0,32",8055118487108,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans conservateurs']",,,,,,,,,,,,,,,,,
