,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,traceability_code,packaging,additives,allergens,nova_score,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,ingredients_origins,manufacturing,brand_owner,generic_name,link
1559,Abricot secs,8697436555260,['France'],[],[],?,274,1146 kj(274 kcal),"0,4",0,48,44,5,0,0,,,,,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",0.4 g,en faible quantité,0 g,en faible quantité,44 g,en quantité élevée,0 g,en faible quantité,,+4%,+4%,-17%,-100%,-17%,-3%,+62%,-100%,-100%,4,+16%,C,+16%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,
1560,"Organic banana, blueberry & quinoa - 120g",26331072,['France'],[],[],?,92,385 kj(92 kcal),"0,3",0,"19,1","15,1","1,3","0,1","0,04",120 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,Mentos Pure Fresh,80858379,['France'],[],[],?,177,741 kj(177 kcal),"0,1","0,1",70,68,0,"0,05","0,02",,['Mentos'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,Pruneaux a l'armagnac,3241850007765,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Pruneaux', ""Pruneaux à l'armagnac""]",,,,,,,,,,,,,,,,,,,,,,,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,,,,,
1563,Mozzarella - Granarolo,8002670003888,['France'],[],[],?,301,1259 kj(301 kcal),"22,5","14,5",1,1,"23,5","1,2","0,48",,['Granarolo'],,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",22.5 g,en quantité élevée,14.5 g,en quantité élevée,1 g,en faible quantité,1.2 g,en quantité modérée,,+16%,+17%,+9%,+4%,-3%,+33%,+40%,+78%,+78%,13,+27%,D,+27%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Sans conservateurs'],,,,,,
1564,Savanna intense,3760077780089,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,Chips artisanales -,3325410000943,['France'],[],[],?,?,,?,,?,,?,,,,,"['EMB 34320A', 'Vailhauquès (Hérault, France)']","['Sachet', 'Plastique']",,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",,,,,,,,,,,,,,,,,,,,,,,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,
1566,Vin de Bordeaux,3434431121015,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,Beaufort -  - 225g,0210849035426,['France'],"['lait cru de vache,sel', 'ferments lactiques,présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1722,415,1722 kj(415 kcal),34,20,"1,3","0,5",26,1,"0,4",225 g,,"['FR 74.289.050 CE', 'Vallières (Haute-Savoie, France)']",,,['Lait'],3,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']",34 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,1 g,en quantité modérée,+4%,+3%,+2%,+6%,-3%,+41%,+151%,-2%,-12%,-12%,14,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['AOP'],,['Savoie'],['Savoie'],,"Fromage au lait cru entier de vache, à pâte pressée cuite",
1568,Martons Glacés,8002325490131,['France'],[],[],?,327,1368 kj(327 kcal),"0,5",0,76,58,"2,9","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,Brie Bio - Auchan,7214632023099,['France'],[],[],?,336,1406 kj(336 kcal),28,21,"1,8","0,5",20,"1,4","0,56",,['Auchan'],,,,,,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",28 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,+8%,+8%,+8%,+15%,+158%,+32%,+6%,-12%,-12%,15,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Auchan'],,,,,
1570,Peanut mochi,2002657031152,['France'],[],[],?,130,544 kj(130 kcal),4,1,22,9,2,"1,8","0,72",,,,,,,,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Mochi']",4 g,en quantité modérée,1 g,en faible quantité,9 g,en quantité modérée,1.8 g,en quantité élevée,,-57%,-58%,-0%,-29%,-66%,-70%,-21%,+900%,+900%,8,-22%,C,-22%,,,,,,,,,,,,,,
1571,Coque de Saint-Nicolas - Lidl - 4x 75g,20239602,['France'],[],[],?,440,1841 kj(440 kcal),14,"7,2",66,17,11,"1,2","0,48",4 x 75 g,['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Belgique'],,,,,,
1572,Green Tea Pure,0054881003162,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573,Eclair caramel x2,2806116012795,['France'],[],[],?,292,1222 kj(292 kcal),15,"4,5",37,22,"2,8","0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,Yaourt Vanille entier,3770001930053,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts vanille']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,Frey prestige,7616500665644,['France'],[],[],?,572,2393 kj(572 kcal),38,21,50,48,6,"0,12","0,048",,['Frey'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,Comte au lait cru - Monoprix,2200974044361,['France'],[],[],?,427,1787 kj(427 kcal),35,23,1,0,27,"0,76","0,304",,['Monoprix'],"['EMB 25039A', 'Avoudrey (Doubs, France)', 'FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.76 g,en quantité modérée,,+2%,+2%,+1%,+1%,+116%,-100%,+0%,-9%,-9%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['AOP'],['Monoprix'],,,,,
