,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,markets,packaging,additives,allergens,ingredients_origins,manufacturing,palm_ingredients,generic_name,brand_owner,link,producer_info,origin_detail
256,Preparation bio - Fondant au chocolat,3770002297537,"['Bio', 'Fabriqué en France']",['France'],[],[],?,452,1891 kj(452 kcal),17,"7,1",67,52,"5,6","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,20673567,20673567,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Pommillon Boisson Pétillante,3770001669083,['Sans sucre ajouté'],['France'],[],[],?,42,176 kj(42 kcal),0,0,10,10,"0,05","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Fromage pour salade - Gazi,4002566005860,,"['France', 'Espagne']",[],[],?,257,1075 kj(257 kcal),"20,5","13,9","0,6","0,6","17,8","2,8","1,12",['Gazi'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,20.5 g,en quantité élevée,13.9 g,en quantité élevée,0.6 g,en faible quantité,2.8 g,en quantité élevée,,-22%,-22%,-23%,-22%,-50%,-19%,-13%,+115%,+115%,18,+31%,D,+31%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
260,Lavo fruit,3170575597001,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Filets de Crocodile - Evasion Festive,2699199055434,,['France'],[],[],?,152,636 kj(152 kcal),"7,2","1,5","2,2","0,3",20,"12,7","5,08",['Evasion Festive'],,"['Viandes', 'Viande de crocodile']",,7.2 g,en quantité modérée,1.5 g,en quantité modérée,0.3 g,en faible quantité,12.7 g,en quantité élevée,,+13%,+13%,+64%,+26%,-39%,-68%,0%,+764%,+764%,12,+386%,D,+386%,,,,,,,,,,,,,,,,,,,,,
262,Moutarde au piment d'Espelette,8412540900665,,['France'],[],[],?,70,293 kj(70 kcal),"3,6","0,4","7,3","1,7","2,4","2,64","1,056",,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,3.6 g,en quantité modérée,0.4 g,en faible quantité,1.7 g,en faible quantité,2.64 g,en quantité élevée,,-59%,-59%,-67%,-51%,+6%,-56%,-63%,-44%,-44%,9,-22%,C,-22%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,
263,Foie gras de canard entier aux 3 baies - Monoprix Gourmet - 80g,3350033567504,['Sans nitrite de sodium'],['France'],"['Foie gras de canard du Sud-Ouest - sel - gélatine bovine - Armagnac - vin rouge - baies roses 0,2% - poivre noir 0,2% - poivre blanc 0,1% - sucre - piment fort 0,04% - antioxydant: ascorbate de sodium - muscade', ' Traces de céleri', 'céréales contenant du gluten', 'crustacés', 'fruits à coque', 'graines de sésame', 'lait', 'moutarde', 'aeufs', 'poissons et soja']","['Non végétalien', 'Non végétarien']",2216,?,2216 kj(530 kcal),54,23,"4,7",1,"8,1","0,73","0,292","['Monoprix Gourmet', 'Monoprix']",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",4,54 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.73 g,en quantité modérée,+1%,,+0%,-1%,-0%,+94%,-26%,+7%,-39%,-39%,19,-8%,E,-8%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,80 g,"['FR 40.282.002 CE', 'Saint-Sever (Landes, France)']",['Monoprix'],"['barquette plastique', 'film plastique', 'à jeter', 'étui carton', 'à recycler']","['E428 - Gélatine', 'E301 - Ascorbate de sodium']",,['France'],,,,,,,
264,Vin - Ensedune - 0.75cl,3298020191335,,['France'],[],[],?,?,,?,,?,,?,,,['Ensedune'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75cl,,,,,,,,,,,,,
265,Caviar - 20g,5450266040350,,['France'],[],[],?,268,1121 kj(268 kcal),17,"4,5","0,8","0,2",28,"3,5","1,4",,,"['Œufs de poisson', 'Caviars']",,17 g,en quantité modérée,4.5 g,en quantité modérée,0.2 g,en faible quantité,3.5 g,en quantité élevée,,+4%,+4%,+5%,+19%,-66%,-62%,+11%,+8%,+8%,17,+6%,D,+6%,,,,,,,,20 g,,,,,,,,,,,,,
266,Vegan protein vegan crème,5060455514632,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",['France'],[],"['Végétalien', 'Végétarien']",?,370,1548 kj(370 kcal),2,"0,2","3,8",0,84,"1,32","0,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Bânh Bô,3760106090141,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Mini père noël au chocolat noir - La Vie Claire,3266191104751,"['Bio', 'Bio européen', 'FR-BIO-01', 'Agriculture non UE']",['France'],[],[],?,544,2276 kj(544 kcal),41,27,36,30,7,"0,01","0,004",['La Vie Claire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La Vie Claire'],,,,,,,,,,,
269,prémilait,33573403,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,479,2004 kj(479 kcal),19,"5,6",65,26,"11,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Verrines à monter soi même,5425036650114,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,L'Ardéchois,3760056950717,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,304,1272 kj(304 kcal),"2,2",0,"66,5","44,5","2,8","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Chocolat - Chocolaterie Monbana,3474340020474,,['France'],[],[],?,551,2305 kj(551 kcal),36,18,43,38,"9,8","0,21","0,084",['Chocolaterie Monbana'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,vin golden monkey post house - 75cl,6009615100475,,['France'],['vin'],[],?,?,,?,,?,,?,,,['post house'],D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,75cl,,,['Bouteille'],,,,['afrique du sud'],,,,,,
274,Guimauve fantaisie,2608104021457,,['France'],[],[],?,406,1699 kj(406 kcal),"10,5","6,5","73,8","56,7","3,7","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,3367302002000,3367302002000,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Morceaux de marrons au sirop,3760008048424,,['France'],[],[],?,313,1310 kj(313 kcal),"1,2","0,2",73,48,"0,9","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,5000237127582,5000237127582,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Torcetti al cacao - De mori - 300g,8032610381813,,['France'],[],[],?,?,,?,,?,,?,,,['De mori'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300g,,,,,,,,,,,,,
279,Red bomb - Shneider's,0838948010528,['Sans colorants'],['France'],[],[],?,371,1552 kj(371 kcal),"0,2","0,2",86,54,0,"0,98","0,392","[""Shneider's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Raclette - Ermitage,3250550014393,,['France'],[],[],?,360,1506 kj(360 kcal),28,18,1,1,"25,5","1,5","0,6",['Ermitage'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Le délice du figuier,6131033000010,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Appelsinusafi,5690541009744,,['France'],[],[],?,45,188 kj(45 kcal),0,0,10,9,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Pates de coing de Provence,3602801275952,,['France'],[],[],?,313,1310 kj(313 kcal),"0,5","0,5",76,71,"0,5","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Macaron - 462g,0260126058716,,['France'],[],[],?,416,1741 kj(416 kcal),18,"4,3",52,52,"9,8","0,16","0,064",,D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,18 g,en quantité modérée,4.3 g,en quantité modérée,52 g,en quantité élevée,0.16 g,en faible quantité,,-2%,-2%,+1%,-5%,-6%,+3%,+14%,+12%,+12%,19,+8%,E,+8%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,462 g,,,,,,,,,,,,,
285,Protein strawberry - Arla,6413300019421,,['France'],[],[],?,71,297 kj(71 kcal),"0,5","0,1","6,3",6,10,"0,15","0,06",['Arla'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Clotted Cream fudge - Iceland,5010482731458,,['France'],[],[],?,434,1816 kj(434 kcal),"12,8","8,3","78,5","77,8","1,2","0,2","0,08",['Iceland'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Bûche choco caramel,0260550085210,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Truffes fantaisies bio,3481290038091,"['Bio', 'Bio européen', 'Commerce équitable', 'Fabriqué en France', 'Max Havelaar']",['France'],[],[],?,639,2674 kj(639 kcal),53,40,35,32,"4,2","0,01","0,004",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Truffes en chocolat']",,53 g,en quantité élevée,40 g,en quantité élevée,32 g,en quantité élevée,0.01 g,en faible quantité,,+9%,+10%,+22%,+22%,-13%,-13%,-11%,-92%,-92%,24,+0%,E,+0%,,,,,,,,,,,,,,,,,,,,,
289,Dattes fourrées,3481010095076,,['France'],[],[],?,313,1310 kj(313 kcal),"0,2",0,"72,5",66,"12,4","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Babas au rhum,3173320002386,"['Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",['France'],[],[],?,278,1163 kj(278 kcal),"5,6","3,4",55,47,"2,4","0,18","0,072",,B,"['Biscuits et gâteaux', 'Pâtisseries', 'Babas au rhum']",,5.6 g,en quantité modérée,3.4 g,en quantité modérée,47 g,en quantité élevée,0.18 g,en faible quantité,,+28%,+28%,+39%,+57%,+45%,+65%,+19%,-18%,-18%,16,+63%,D,+63%,32.1%,36.9%,15.2%,7.8%,8.1%,0.0%,96,,,,,,,,,,,,,,
291,Petit beurre - Chabrior,61317161,['Bio'],['France'],[],[],?,450,1883 kj(450 kcal),"12,8",9,76,"18,1","6,6","0,71","0,284",['Chabrior'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Maltesers fun times,5000159434515,,['France'],[],[],?,504,2109 kj(504 kcal),"24,8","15,2","61,5","51,7","8,2","0,45","0,18",['Maltesers'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Citrus 1200 Bio - 250 ML - Boutique Nature,3700292876198,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Florentine coconut - Heidi,5941021014469,,['France'],[],[],?,507,2121 kj(507 kcal),29,19,51,49,5,"0,13","0,052",['Heidi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Caprice cacao,3340390006464,,['France'],[],[],?,567,2372 kj(567 kcal),39,15,46,45,8,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Truffes fantaisie - Truffettes De France,3472710011091,"['Agriculture durable', 'Sans sucre ajouté', 'en:UTZ Certified']",['France'],[],[],?,605,2531 kj(605 kcal),55,43,32,0,"3,8","0,03","0,012",['Truffettes De France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Mille feuille - Les Créations,3250392622565,,['France'],[],[],?,324,1356 kj(324 kcal),21,"14,3","30,3","24,7","3,5","0,12","0,048",['Les Créations'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Tomme noire Pyrénées IGP,0204078021718,,['France'],[],[],?,346,1448 kj(346 kcal),28,20,"1,5",0,22,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,"Schokoladen Geschenkpackung ""CD Flower Power"" 40G",4039198653749,,['France'],[],[],?,577,2414 kj(577 kcal),38,23,53,53,"5,6","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,BEURRE ET JUS DE TRUFFE,3261086180537,,['France'],[],[],?,660,2761 kj(660 kcal),68,47,11,"1,5",1,"0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Bibi Bouboule,7452100340334,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Backwoods Cigars Honey,0071610301832,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Chocolat au lait,5202659511011,,['France'],[],[],?,567,2372 kj(567 kcal),36,24,57,55,"4,2","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,girolles séchées - Jean d'Audignac - 20g,3700238363065,,"['Australie', 'France']",['INGREDIENTS: CANTHARELLUS CIBARIUS INGREDIENTS: DRIED CHANTERELLES'],[],?,168,703 kj(168 kcal),"5,9","0,8",11,"0,5",17,"0,02","0,008","[""Jean d'Audignac""]",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons']",,5.9 g,en quantité modérée,0.8 g,en faible quantité,0.5 g,en faible quantité,0.02 g,en faible quantité,,+310%,+342%,+654%,+397%,+461%,-4%,+530%,-96%,-96%,-8,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,20g,,,"['Cardboard', 'plastic']",,,['en:imported'],['France'],,,,,,
305,Volvic infusion bio touche de rooibois,2057634509483,['Bio'],['France'],[],[],?,10,42 kj(10 kcal),"0,4",0,"2,4","2,4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Chef's Cupboard  Chicken Noodle  Condensed Soup,0041498120948,,"['France', 'États-Unis']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Frollini croccanti - Primia,8030582007946,,['France'],[],[],?,448,1874 kj(448 kcal),15,"6,8",68,18,"7,8","0,68","0,272",['Primia'],C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,15 g,en quantité modérée,6.8 g,en quantité élevée,18 g,en quantité élevée,0.68 g,en quantité modérée,,-5%,-6%,-28%,-33%,+6%,-39%,+20%,+15%,+15%,17,-14%,D,-14%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,,
308,Superbly sweet and sticky violette,5053834236263,,['France'],[],[],?,379,1586 kj(379 kcal),"1,1","1,1",92,90,"0,5","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,"Baguette pavot, le sachet",3250391103799,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Miel de châtaigne,3770007967374,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miel de chataigne']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
311,Ceevelas morilles pistaches,0291211103844,,['France'],[],[],?,307,1284 kj(307 kcal),"25,7",9,"3,33","0,365","15,5","0,819","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,"Adelie, Buche glacee, VANILLE/CAFE ,la boite, 1 L",3250390719922,,['France'],[],[],?,195,816 kj(195 kcal),8,"6,9",29,24,"1,3","0,19","0,076",,D,"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,8 g,en quantité modérée,6.9 g,en quantité élevée,24 g,en quantité élevée,0.19 g,en faible quantité,,-2%,-2%,-1%,+28%,+1%,-3%,-44%,+53%,+53%,13,+15%,D,+15%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,,,,,,,,,,,,,,
313,Amandel et rijst - Zonnatura,8711812419233,['Bio'],['France'],[],[],?,81,339 kj(81 kcal),"2,6","0,4",13,"5,5",1,"0,08","0,032",['Zonnatura'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Pur jus de pamplemousse rose -,3760125983073,,['France'],[],[],?,40,167 kj(40 kcal),"0,5","0,1","9,2","7,6","0,5","0,01","0,004",,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pamplemousse', 'Jus de fruits pur jus', 'en:pure-grapefruit-juice']",,0.5 g,en faible quantité,0.1 g,en faible quantité,7.6 g,en quantité élevée,0.01 g,en faible quantité,,+3%,+2%,+142%,+194%,+6%,-5%,+3%,+17%,+17%,2,+8%,C,+8%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,
315,Billes de chocolat noir - La Maison Du Chocolat,3700840127086,,['France'],[],[],?,560,2343 kj(560 kcal),37,23,42,39,7,"0,02","0,008",['La Maison Du Chocolat'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Chocolat Yves Thuriès -,3441801840520,,['France'],[],[],?,526,2201 kj(526 kcal),36,20,43,37,"6,9","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Énergie Raid 2 - 162g,3700790000514,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162 g,,,,,,,,,,,,,
318,Bebida ecologica arroz con cacao - Costa,8410509003419,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'ES-ECO-012-AS', 'Sans lactose']",['France'],[],"['Végétalien', 'Végétarien']",?,54,226 kj(54 kcal),"0,8","0,1",11,"5,6","0,5","0,07","0,028",['Costa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Vinaigre à la sauge,3760125820446,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Confiture mûre sauvage - La ferme du Bergognon - 240g,1220040000009,,['France'],[],[],?,?,,?,,?,,?,,,['La ferme du Bergognon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240g,,,,,,,,,,,,,
321,Haselnuss-nougat-creme 200g Glas Piacelli,9002859058592,['Fabriqué en Italie'],['France'],[],[],?,534,2234 kj(534 kcal),28,12,65,62,"4,1","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Fruits rouges,3435569914906,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Confiture extra cerises - Provenance Nature,3490090051032,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['Fruits* 60g pour 100g', 'Sucre de canne roux*', 'pectine']",[],?,251,1050 kj(251 kcal),30,0,55,55,"0,5","0,005","0,002",['Provenance Nature'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",4,30 g,en quantité élevée,0 g,en faible quantité,55 g,en quantité élevée,0.005 g,en faible quantité,,+13%,+13%,+12195%,-100%,+2%,+6%,-22%,-81%,-81%,12,+22%,D,+22%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,,,"['Pot', 'Verre']",['E440 - Pectines'],,,['France'],,,,,,
324,Salsa di fichi,8000298000357,,['France'],[],[],?,291,1218 kj(291 kcal),0,0,72,65,0,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Granulated sugar,8717399855754,,['France'],[],[],?,400,1674 kj(400 kcal),0,0,100,100,0,0,0,,B,"['Édulcorants', 'Sucres', 'Sucres blancs']",,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,0 g,en faible quantité,,0%,-0%,,,0%,+0%,,,,14,-2%,D,-2%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,,,,,,,,,,
326,Saucisse porc et veau,3336460001538,['Point Vert'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Sirop de framboise,3242611005549,,['France'],[],[],?,312,1305 kj(312 kcal),0,0,78,78,0,0,0,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de framboise']",,,,,,,,,,,+13%,+11%,-100%,-100%,+8%,+11%,-100%,-100%,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,
328,Quetsches,3760012031177,,['France'],[],[],?,256,1071 kj(256 kcal),"0,4","0,2",63,61,"0,5",0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes', 'Confitures de quetsches']",,0.4 g,en faible quantité,0.2 g,en faible quantité,61 g,en quantité élevée,0 g,en faible quantité,,+14%,+16%,+56%,+187%,+18%,+18%,+23%,-100%,-100%,8,-15%,C,-15%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,,,
329,Galette des rois portugaise,5609518002114,,['France'],[],[],?,398,1665 kj(398 kcal),"14,9","5,9","57,3","16,9","7,9","0,31","0,124",,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,14.9 g,en quantité modérée,5.9 g,en quantité élevée,16.9 g,en quantité élevée,0.31 g,en quantité modérée,,-6%,-5%,-44%,-60%,+48%,+31%,+24%,-56%,-56%,13,-32%,D,-32%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,
330,Coeur de couenne,0209082018761,,['France'],[],[],?,141,590 kj(141 kcal),"6,2","2,2","0,5","0,5","20,7","1,92","0,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,noix de Grenoble,3335101824062,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Noix françaises', 'Noix de Grenoble']",,,,,,,,,,,,,,,,,,,,,,,,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,,,,,,,,
332,Escalope de dinde,2689119035820,"['Viande Française', 'Fabriqué en France', 'Volaille-francaise']",['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,
333,Saumon farci,0204706368987,,['France'],[],[],?,193,808 kj(193 kcal),12,"1,8","1,2","0,5",20,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Confit de vin au champagne rosé -,3760194208442,,['France'],"['Vin rosé 44,4%', 'Champagne rosé 13,2%', 'sucre', 'jus de citron', 'agar - agar', 'colorants alimentaires: E171', 'E172']",[],?,220,920 kj(220 kcal),"0,1","0,1",48,40,"0,1","0,1","0,04",,,"['Produits à tartiner', 'Confits de vin']",4,0.1 g,en faible quantité,0.1 g,en faible quantité,40 g,en quantité élevée,0.1 g,en faible quantité,,-0%,-1%,-63%,+10%,+3%,-10%,-70%,+165%,+165%,10,-13%,C,-13%,,,,,,,,,,,,"['E406 - Agar-agar', 'E171 - Oxyde de titane', 'E172 - Oxyde et hydroxyde de fer']",,,,,,,,,
335,Basmatireis -  - 500g,4039057400422,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",,,,,,,,,,,,,,,,,,,,,,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,500 g,,,['Barquette'],,,,,,,,,,
