,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,markets,packaging,additives,allergens,ingredients_origins,manufacturing,palm_ingredients,generic_name,brand_owner,link,producer_info,origin_detail
1475,Merveille enneigée - Thiriet,3292590701222,['IGP'],['France'],[],[],?,392,1640 kj(392 kcal),28,17,29,24,"4,7","0,15","0,06",['Thiriet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thiriet'],,,,,,,,,,,
1476,Riz sushi - 2.5kg,3275760000783,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 kg,,,['Sachet'],,,,,,,,,,
1477,Épinards hachés - Maingourd,3112940746379,['Fabriqué en France'],['France'],[],[],?,?,,?,,?,,?,,,['Maingourd'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Surgelés', 'Légumes et dérivés', 'Légumes en conserve', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Légumes-feuilles', 'Épinards', 'Épinards surgelés', 'Épinards en conserve', 'Épinards hachés surgelés']",,,,,,,,,,,,,,,,,,,,,,,,13.8%,38.4%,18.3%,9.2%,12.9%,7.5%,91,,,,,,,,,,,,,,
1478,Pommes de terre - 2.5kg,3593282009924,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 kg,,,,,,,,,,,,,
1479,Oregano,4018905274705,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,Pâté au canard gourmet,3365470000774,['Fabriqué en France'],['France'],[],[],?,202,845 kj(202 kcal),"12,8","4,5","4,5","0,5","18,3","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,Knusper-musli,2009010009346,,['France'],[],[],?,457,1912 kj(457 kcal),"18,2","8,4","58,6","22,6","10,3","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,Kreuzkümmel (Kimyon Tozu),4250440101416,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,,
1483,NEOGIL,3401573117145,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,Balletjes,8713855511844,"['Végétarien', 'Végétalien', 'Sans lactose']",['France'],[],"['Végétalien', 'Végétarien']",?,272,1138 kj(272 kcal),15,"1,5","11,8","3,1","8,8","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,Olivenöl - Bio Planete - 0.5l,3445020277334,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'FR-BIO-01']","['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Bio Planete'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,,,,,,,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,0.5 l,,,['Flasche'],,,,,,,,,,
1486,Couscous royal poulet & bœuf -,57896519,,['France'],[],[],?,125,523 kj(125 kcal),3,"0,9","15,9","1,6","7,5","0,8","0,32",,D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de semoule', 'Plats au bœuf', 'Plats à la volaille', 'Couscous préparés', 'Plats au poulet']",,3 g,en quantité modérée,0.9 g,en faible quantité,1.6 g,en faible quantité,0.8 g,en quantité modérée,,-18%,-18%,-30%,-24%,-9%,-25%,+1%,+5%,+5%,0,-100%,B,-100%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,,,,,,,,,,,,
1487,Edouard Artzner Gänserillettes - 170g,3018253189103,,['France'],[],[],?,407,1703 kj(407 kcal),39,14,"0,5","0,5",15,"0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170 g,,,,,,,,,,,,,
1488,Macaron -,3187670106755,,['France'],[],[],?,?,,18,4,52,52,9,"0,016","0,006",,D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,18 g,en quantité modérée,4 g,en quantité modérée,52 g,en quantité élevée,0.016 g,en faible quantité,,,,+1%,-12%,-6%,+3%,+5%,-89%,-89%,,,,,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,,,,,
1489,Halfvolle vanille yoghurt - Albert Heijn,8710400304166,,['France'],[],[],?,80,335 kj(80 kcal),"1,5",1,13,13,"3,5","0,1","0,04",['Albert Heijn'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Albert Heijn'],,,,,,,,,,,
1490,Saucisson sec pur proc gros bride tradi,2602601069936,,['France'],[],[],?,394,1648 kj(394 kcal),"31,3","13,3","3,1","1,36",25,"4,53","1,812",,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,31.3 g,en quantité élevée,13.3 g,en quantité élevée,1.36 g,en faible quantité,4.53 g,en quantité élevée,,-2%,-2%,-1%,+8%,+39%,-1%,-9%,-3%,-3%,24,0%,E,0%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,
1491,chorizo mi fort,2432466036213,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 13.053.001 CE', 'Mallemort (Bouches-du-Rhône, France)']",,,,,,,,,,,,
1492,La Soupe courgettes-basilic - Castaing,3332277662610,,['France'],[],[],?,57,238 kj(57 kcal),3,"0,8","5,6","4,9",1,"0,46","0,184",['Castaing'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Pain d'épices,3043738401012,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,?,,?,,?,,?,,,,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,,,,,,,,,,,,,,,,,,,,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,,,,,,
1494,Saucisse à cuire non fumée - Gourmelor,2278701023613,,['France'],"['MAIGRE ET GRAS DE PORC', 'EAU SEL EPICES', 'SUCRES dont LACTOSE ', 'Lait', ' DEXTROSE MOUTARDE', 'gLUTEN BOYAU NATUREL CONSERVATEUR: E250', 'E252', ' ANTIOXYDANT: E301', 'E300', 'EXHaUSTEUR DE GOUT: E621']","['Non végétalien', 'Non végétarien']",?,235,983 kj(235 kcal),"18,9","7,2","0,9","0,3","15,4","2,9","1,16",['Gourmelor'],,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",['Lait'],,,,,,,,
1495,Le Petit Béziat,0241990035553,['Sans colorants'],['France'],[],[],?,316,1322 kj(316 kcal),"25,3","8,9","2,7","0,5","26,1",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,Sel Mix - Saxo,3560070698929,,['France'],[],[],?,?,,?,,?,,?,,,['Saxo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,Grissini stirati,8005476858362,,"['France', 'Espagne']",[],[],?,401,1678 kj(401 kcal),"5,6","0,7",74,"3,1",12,"2,1","0,84",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,5.6 g,en quantité modérée,0.7 g,en faible quantité,3.1 g,en faible quantité,2.1 g,en quantité élevée,,-5%,-5%,-48%,-69%,+11%,+24%,+5%,+11%,+11%,14,+9%,D,+9%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,,,,,,,,
1498,Luna murvi - 1,8410388007706,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1499,Confiture Noisette - L'épicurien,3441260003108,,['France'],[],[],?,392,1640 kj(392 kcal),17,"2,1",54,53,"4,5","0,02","0,008","[""L'épicurien""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,Crispy filet,4260314750015,['Halal'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['DE TH-03370 EG'],,,,,,,,,,,,
1501,Soupe de la Presqu'île du Cap Ferret - 370g,3366690001008,,['France'],[],[],?,30,126 kj(30 kcal),"0,4",0,"4,4","0,2","3,3","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370 g,,,,,,,,,,,,,
1502,Gelée de pommes Bio,3760051890148,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,saumon Norvège - salage au sel sec - fumage au bois de hêtre - Kritsen - 350g,3321431025767,['Samon fumé'],['France'],"['Saumon ', 'POISSON', ' Atlantique ', 'Salmo salar', "" élevé en Norvège issu d'animaux nourris sans OGM "", '< 0,9 %', ' 97 % ', 'sel 3 %']","['Non végétalien', 'Non végétarien']",?,181,757 kj(181 kcal),10,"1,7","< 0,5","< 0,5",22,3,"1,2",['Kritsen'],D,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",3,10 g,en quantité modérée,1.7 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,,-2%,-2%,-5%,-17%,+1%,+50%,-0%,+6%,+6%,13,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,350 g,['ASC-C-02053'],['Leclerc'],['tranches sous vide'],,['Poisson'],['Norvège'],,,,,,,
1504,Pâtes aux piments d'Espelette,3760004430353,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,Spiruline,3663702100088,,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Compléments alimentaires', 'Spiruline']",,,,,,,,,,,,,,,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,,,
1506,Terrine de canard,2001200006746,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,,,,,,,,,,,,,,,,,,,,,,,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,,,,
1507,Soupe repas legumineuses,3700073119391,['Bio'],['France'],[],[],?,403,1686 kj(403 kcal),"2,3","0,4",63,"5,4",12,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Oliven mit Paprikapaste,4300175753005,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,,
1509,Coffret sirops pour thés glacés - Monin,3052911322532,,['France'],[],[],?,300,1255 kj(300 kcal),0,0,73,73,0,"0,07","0,028",['Monin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,all butter shortbread - Waitrose,5000169466841,,"['France', 'Royaume-Uni']",[],[],?,528,2209 kj(528 kcal),"29,2","18,2",60,"17,9","5,4","0,63","0,252",['Waitrose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,,,,,
1511,Oursons guimauves,3663350081258,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,Brochette gourmonoël,3700879301372,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Trio chou jambon supérieur et comté,2283992024607,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],?,177,741 kj(177 kcal),16,"3,5","2,2","2,1","5,2","1,4","0,56",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Salades', 'Légumes-feuilles', 'Salades vertes']",,16 g,en quantité modérée,3.5 g,en quantité modérée,2.1 g,en faible quantité,1.4 g,en quantité modérée,,+200%,+231%,+513%,+754%,-38%,+75%,+130%,+326%,+326%,3,,C,,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,,,,,,,,,,
1514,Filets de crocodile - Evasion Festive,2478589065204,,['France'],[],[],?,119,498 kj(119 kcal),"1,7","0,9","5,9","1,8",20,2,"0,8",['Evasion Festive'],,"['Viandes', 'Viande de crocodile']",,1.7 g,en faible quantité,0.9 g,en faible quantité,1.8 g,en faible quantité,2 g,en quantité élevée,,-12%,-11%,-61%,-24%,+64%,+92%,0%,+36%,+36%,4,+62%,C,+62%,,,,,,,,,"['FR 35.238.019 CE', 'Rennes (Ille-et-Vilaine, France)']",,,,,,,,,,,,
1515,Chocolate cake,20687335,,['France'],[],[],?,437,1828 kj(437 kcal),"22,9","6,7","51,1","35,5","5,2","0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,Epicerie / Boissons Et Vins / Bières Bio,3760009533011,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,La boutique,3555500431139,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,tarte au Maroilles,3760060840073,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Tartes au maroilles']",,,,,,,,,,,,,,,,,,,,,,,,74.9%,11.5%,2.8%,3.1%,1.6%,6.0%,49,,,,,,,,,,,,,,
1519,Paté Springbok,6009826980026,,['France'],[],[],?,2,8 kj(2 kcal),"17,22","2,46",0,0,"11,77","11,62","4,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
