,name,bar_code,eco_score,generic_name,brand,categories,labels,origin_detail,producer_info,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,palm_ingredients,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,additives,manufacturing,ingredients_origins,brand_owner,link
950,Parmigiano Reggiano DOP - favourites - 100g,4337185458927,D,,['Favourites'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,,,,,"['France', 'Allemagne', 'Hongrie']",[],[],?,,402,+0%,30,+1%,0,-100%,32,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,1682 kj(402 kcal),20,0,"1,6","0,64","['3 portionen a 30g', 'Folienverpackung']",30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,+1%,+1%,,0%,0%,17,+2%,D,+2%,100g,,,,,
951,Seriously Spreadable Cheddar Smokey,5017838814865,,,,,,,,,,['France'],[],[],?,,252,,20,,4,,14,,,,,,,,,,,,1054 kj(252 kcal),14,2,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,
952,Baie de Goji - Epi Fruits - 250g,3155570140049,,,,,,,,,,['France'],[],[],?,,343,,"0,4",,"64,1",,"14,3",,,,,,,,,,,,1435 kj(343 kcal),0,"45,6","0,57","0,228",,,,,,,,,,,,,,,,,,,250 g,,,,,
953,Fritures noir et lait - Michel Cluizel,0659253682251,,,['Michel Cluizel'],,,,,,,['France'],[],[],?,,572,,"39,9",,"48,1",,"6,6",,,,,,,,,,,,2393 kj(572 kcal),"24,5","41,7","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,
954,Preparation pour vrouillade de truffes d'été,3770008860056,,,,,,,,,,['France'],[],[],?,,283,,29,,"2,8",,"2,1",,,,,,,,,,,,1184 kj(283 kcal),19,"1,6","2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,
955,Blätterkrokant - Lindt - 85g,4000539675805,,,['Lindt'],,,,,,,"['Autriche', 'France', 'Allemagne']",[],[],?,,479,,19,,70,,"5,7",,,,,,,,,,,,2004 kj(479 kcal),5,65,,,,,,,,,,,,,,,,,,,,,85g,,,,,
956,huile d olive vierge extra app messara -,5214000101338,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,['France'],[],[],?,,824,-4%,"91,6",-4%,0,,0,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,3448 kj(824 kcal),"13,9",0,0,0,,91.6 g,en quantité élevée,13.9 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,-1%,,-100%,-100%,6,-2%,C,-2%,,,,,,
957,CEVIZLISUCUK,8680569000134,,,,,,,,,,['France'],[],[],?,,368,,"13,9",,63,,"4,2",,,,,,,,,,,,1540 kj(368 kcal),"1,2","44,8","0,026","0,01",,,,,,,,,,,,,,,,,,,,,,,,
958,Casareccia - 500g,8008857400587,,,,,,,,,,"['France', 'Suisse']",[],[],?,,364.3,,"1,3",,73,,"12,5",,,,,,,,,,,,1524 kj(364 kcal),"0,2",3,,,['packung(en)'],,,,,,,,,,,,,,,,,,500 g,,,,,
959,Mini galettes charentaises - Beurlay,3229580016042,,,['Beurlay'],,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Divella Gnocchetti Sardi 58 - 500g,8005121002584,,,['Divella'],,,,,,,"['France', 'Suisse']",[],[],?,,355,,"1,7",,72,,13,,,,,,,,,,,,1485 kj(355 kcal),"0,9","3,9",,,['packung(en)'],,,,,,,,,,,,,,,,,,500 g,,,,,
961,Lapin fourre - 110g,3760071217406,,,,,,,,,,['France'],[],[],?,,563,,38,,48,,5,,,,,,,,,,,,2356 kj(563 kcal),"16,5",45,0,0,,,,,,,,,,,,,,,,,,,110 g,,,,,
962,Sirop de Thé Vert - Citron Fleur de Sureau - Eyguebelle,3242611111486,B,,['Eyguebelle'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron vert']",,,,,,['France'],[],[],?,,32,-85%,0,-100%,8,-85%,0,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,134 kj(32 kcal),0,8,0,0,,,,,,,,,,-85%,-100%,-83%,-100%,-100%,,,,,,,,,,
