,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,palm_ingredients,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,manufacturing,traceability_code,markets,generic_name,ingredients_origins,link
298,Tuiles goût crème oignon - U,3256223669952,['U'],['France'],[],,[],,?,492,2059 kj(492 kcal),26,"2,5",58,"5,8","4,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Chips saveur barbecue - U,3256223671023,['U'],['France'],[],,[],,?,160,669 kj(160 kcal),10,"0,9",15,"0,9",6,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Chips à l'ancienne saveur moutarde - U - 30g,3256223671030,['U'],['France'],"['pommes de terre ', 'France', ' 55%', 'huile de tournesol 37%', 'farine de blé', 'sel', 'arômes ', 'lait', 'moutarde', 'graines de moutarde 0', '6%', 'lactose', ""correcteur d'acidité "", 'diacétate de sodium', 'poivre noir', 'oignon en poudre', ""extrait d'épices "", 'poivre noir', 'curcuma']",['E262ii - Diacétate de sodium'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2321,?,2321 kj(555 kcal),37,"3,4",48,2,"5,8","1,6","0,64",30 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', ""Chips à l'ancienne"", ""Chips de pommes de terre à l'huile de tournesol"", 'Chips à la moutarde']",,"['Gluten', 'Lait', 'Moutarde']",37 g,en quantité élevée,3.4 g,en quantité modérée,2 g,en faible quantité,1.6 g,en quantité élevée,+3%,,+2%,+10%,+13%,-4%,+5%,-1%,+3%,+3%,12,-2%,D,-2%,A,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['Sachet à jeter'],,,,['Super U'],Chips de pomme de terre à l'ancienne saveur moutarde,"['France', 'Pommes de terres de France']",
301,"Saucisses de Strasbourg taux sel réduit - U - 6pièces, 210g",3256223677926,['U'],['France'],"['Viande de porc 73%', 'Union européenne', 'eau', 'gras de porc', 'protéines de LAIT', 'sel', 'fibres de BLE', 'sucre', 'chlorure de potassium', 'arôme', 'arôme de fumée', 'antioxydant : ascorbate de sodium', 'colorants: carmins et extrait de paprika', 'conservateur : nitrite de sodium', 'fumée liquide', ' Traces éventuelles de fruits à coques', 'moutarde', 'oeufs', 'soja']","['E301 - Ascorbate de sodium', 'E120 - Acide carminique', 'E160c - Extrait de paprika', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1127,?,1127 kj(269 kcal),"23,9","9,2","1,45","0,9","12,3","1,37","0,548","6 pièces, 210 g","['Viandes', 'Charcuteries']",,"['Gluten', 'Lait']",23.9 g,en quantité élevée,9.2 g,en quantité élevée,0.9 g,en faible quantité,1.37 g,en quantité modérée,+16%,,+4%,+24%,+27%,-1%,+13%,-34%,-42%,-42%,17,+6%,D,+6%,,,,,,,,,['Frais'],"['Viande-francaise', 'Viande Porcine Française', 'Fabriqué en France']",,,['Magasins U'],,,
302,Chips saveur curry mangue - U - 135g,3256223680773,['U'],['France'],"['Pommes de terre ', 'France', ' 59%', 'huile de tournesol 34%', 'base aromatisante curry mangue ', 'sucre', 'épices', 'extrait de levure', 'poivron rouge et persil déshydratés', ""poudre d'oignon"", 'poudre de tomate', ""poudre d'ail"", 'poudres de lait de noix de coco ', 'lait', 'arômes', ""correcteur d'acidité "", 'acétates de sodium', 'acidifiant ', 'acide citrique', 'farine de blé', 'colorant ', 'extrait de paprika', 'sel']","['E262 - Acétates de sodium', 'E330 - Acide citrique', 'E160c - Extrait de paprika']",['Non végétalien'],4,2250,?,2250 kj(538 kcal),34,"3,1",50,2,6,"1,6","0,64",135 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', ""Chips de pommes de terre à l'huile de tournesol""]",,"['Gluten', 'Lait']",34 g,en quantité élevée,3.1 g,en quantité modérée,2 g,en faible quantité,1.6 g,en quantité élevée,+2%,,+2%,+6%,+5%,-3%,-14%,-2%,+12%,+12%,11,-4%,D,-4%,B,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['Sachet plastique'],['Point Vert'],,"['EMB 56213D', 'Saint-Gérand (Morbihan, France)']",['Super U'],Chips de pommes de terre saveur curry mangue,['Pommes de terre de France'],
303,pastèque mangue - u - 2litre,3256223682319,['U'],['France'],[],,[],,?,?,,?,,?,,?,,,2 litre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,"Pots pour bébé dessert pomme fruits rouges - U Tout Petits - 6mois,4x 100g",3256223684948,"['U Tout Petits', 'U']",['France'],"['purée de pommes 78,9%', 'purée de fraises 12%', 'purée de framboises 5%', 'p', 'urée de myrtilles 4%', 'antioxydant : acide ascorbique', ' Les ingrédients', 'de ce produit ne proviennent pas de France', ' Sans gluten']","['E927b - Carbamide', 'E300 - Acide ascorbique']",[],1,61,?,61 kj(15 kcal),"0,6","0,17","12,7","11,6","0,4",0,0,"6 mois,4 x 100 g","['Aliments pour bébé', 'Goûters et desserts pour bébé', 'Desserts au fruit pour bébé']",,,,,,,,,,,-75%,,-75%,+57%,+57%,+2%,+7%,-13%,-100%,-100%,,,,,,,,,,,,,['dès'],"['Sans gluten', 'Transformé en France']",,,['Magasins U'],,,
305,"Pots pour bébé dessert fruits du soleil - U Tout Petits - 4-6mois,4x 100g",3256223684962,"['U Tout Petits', 'U']",['France'],"['purée de pommes 62,9%', 'purée de pêches 25%', 'purée d abricots 12%', 'anti', 'oxydant : acide ascorbique', ' Sans gluten']",,[],1,261,?,261 kj(62 kcal),"0,4","0,14","13,3","11,9","0,5",0,0,"4-6 mois,4 x 100 g","['Aliments pour bébé', 'Goûters et desserts pour bébé', 'Desserts au fruit pour bébé']",,,,,,,,,,,+6%,,+6%,+5%,+30%,+7%,+10%,+8%,-100%,-100%,,,,,,,,,,,,,['dès'],"['Sans gluten', 'Sans sucre ajouté', 'Transformé en France']",,,['Magasins U'],,,
306,"Salade Indienne Aux émincés De Volaille U, Boîte De",3256223685259,['U'],['France'],[],,[],,?,125,523 kj(125 kcal),6,"0,7","10,5",3,"6,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,"Haricots rouges U, brique de 230 g",3256223685785,['U'],['France'],"['Haricots rouges Ingrédients Haricots rouges', 'eau', 'sel']",,[],,?,92,385 kj(92 kcal),"0,6","0,1","11,7","0,4","6,5","0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Haricots tomate - U,3256223685822,['U'],['France'],[],,[],,?,81,339 kj(81 kcal),"0,4","0,1","12,9","2,7","3,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Haricots Blanc Tomate - U,3256223685839,['U'],['France'],[],,[],,?,81,339 kj(81 kcal),"0,4","0,1","12,9","2,7","3,7",1,"0,4",,"['Plats préparés', 'Légumes préparés', 'Haricots à la tomate']",,,0.4 g,en faible quantité,0.1 g,en faible quantité,2.7 g,en faible quantité,1 g,en quantité modérée,,-11%,-7%,-30%,-12%,+5%,+10%,-26%,+31%,+31%,3,,C,,B,17.3%,37.5%,18.0%,13.6%,7.9%,5.7%,96,,,,,,,,
