,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,brand,markets,generic_name,producer_info,traceability_code,origin_detail,allergens,nova_score,additives,palm_ingredients,manufacturing,link,ingredients_origins,brand_owner
113,50CL Vinaigre De Vin Rouge,3452018260209,B,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins rouges']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,
114,Soupe campagnarde a la dinde - Dietbon,3700569021665,,,['France'],"['Eau', 'Blanquette de dinde rôtie 20% ', 'blanquette de dinde [origine France]', 'eau', 'fécule de manioc', 'dextrose', 'sel', 'pommes de terre 13', '5%', 'poireaux 9%', 'champignons de Paris 4', '9%', 'CREME fraîche ', 'LAIT', 'oignons 3', '5%', 'bouillon de légumes ', 'oignon', 'sel', 'poireau', 'panais', 'ail', 'carotte', 'livèche', 'persil', 'thym', 'laurier', 'fécule de manioc', 'persil', 'sel', 'Conditionné sous atmosphère protectrice']",['Non végétalien'],287,,68,,287 kj(68 kcal),,"2,3",,"1,3",,"5,4",,"1,6",,"6,2",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,['Dietbon'],,,,,,['Lait'],4,,,,,,
115,L'authentique sauce hollandaise,3302768100037,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,6 Galettes de blé noir - Thérèse tirel - 500g,3760173130016,A,"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']",['France'],"['eau', 'farine de blé noir 46%', 'farine de blé', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,191,+8%,799 kj(191 kcal),+8%,"1,1",-72%,"0,2",-87%,38,+39%,"0,1",-86%,"6,2",-9%,"1,6",+21%,"0,64",+21%,4,-22%,C,-22%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,500 g,['film plastique jetable'],,1.1 g,en faible quantité,0.2 g,en faible quantité,0.1 g,en faible quantité,1.6 g,en quantité élevée,['Thérèse tirel'],,,,,,['Gluten'],3,,,['france Bretagne saint Brieuc'],,['Blé noir français'],
117,Skyr framboises cranberry - Milbona,4056489013938,D,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Skyr']",['France'],[],[],?,,60,-12%,251 kj(60 kcal),-12%,"0,2",-46%,"0,1",-45%,"4,9",-24%,"4,2",-28%,"8,6",-8%,"0,12",+13%,"0,048",+13%,-5,,A,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,['Fabriqué en Allemagne'],0.2 g,en faible quantité,0.1 g,en faible quantité,4.2 g,en faible quantité,0.12 g,en faible quantité,['Milbona'],,,,['DE MV-006 EG'],,,,,,,,,
118,Fagioli Borlotti Lessati - Divella,8005121006605,,,"['France', 'Allemagne']",[],[],?,,59,,247 kj(59 kcal),,"0,3",,0,,"6,7",,0,,"4,6",,"0,45",,"0,18",,,,,,,,,,,,,,,,,,,,,,,,['Divella'],,,,,,,,,,,,,
119,Sandwich Poulet sauce curry massala -,2600246010504,C,"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet']",['France'],[],[],?,,202,-9%,845 kj(202 kcal),-10%,"8,3",-1%,1,-31%,22,-14%,"2,9",-12%,"9,4",-7%,"1,3",+7%,"0,52",+7%,2,-26%,B,-26%,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,,,,8.3 g,en quantité modérée,1 g,en faible quantité,2.9 g,en faible quantité,1.3 g,en quantité modérée,,,,,,,,,,,,,,
120,Ananas Morceau,3334320002374,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Huile d'olive - Carapelli - 1L,8002470028029,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],?,,823,-4%,3443 kj(823 kcal),-4%,91,-5%,15,+7%,0,,0,,0,,0,-100%,0,-100%,7,+14%,C,+14%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,1 L,,,91 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,['Carapelli'],,,,,,,,,,,,['Union Européenne et Non Union Européenne'],
122,Cafe soluble selection - Belle France - 200g,3258561030654,E,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",['France'],['100% café soluble'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,,,?,,,,?,,,,?,,,,,,,,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,200 g,,,,,,,,,,,['Belle France'],,,,,,,1,,,,,,
123,Cereales,7790524323718,,,['France'],[],[],?,,320,,1339 kj(320 kcal),,15,,2,,52,,18,,13,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Zed Jawbreaker Tropical 5 Pièces X40 - Zed Candy,5011061112156,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],"['Dextrose', 'Sucrose', 'Gum Base', 'Glucose Syrup', 'Citric Acid', 'Flavourings', 'Modified Starch', 'Glycerin', 'Colours ', 'E133', 'E141', 'E160a', 'E171', 'Black Carrot Concentrate', 'Glazing Agents ', 'Carnauba Wax', 'Shellac', ' Antioxidant ', 'E321']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,,?,,,,?,,,,?,,,,?,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,['Zed Candy'],,,,,,,4,"['E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E422 - Glycérol', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E160a - Carotènes mélangés', 'E171 - Oxyde de titane', 'E903 - Cire de carnauba', 'E904 - Gomme-laque', 'E321 - Butylhydroxytoluène']",,,,,
125,Croxetti -,8014531200077,,,['France'],"['Semoule de blé dur', ' Teigwaren aus Hartweizengrieß Zutaten: Hartweizengrieß']",[],?,,357,,1494 kj(357 kcal),,"1,5",,"0,3",,72,,"2,2",,12,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Poulet au curry,3366760042870,D,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à base de riz', 'Poulets', 'Volailles cuites', 'Plats à la volaille', 'Poulets cuisinés', 'Plats au poulet', 'Poulets au curry']",['France'],[],[],?,,125,-8%,523 kj(125 kcal),-4%,3,-35%,"0,5",-72%,17,+23%,"2,2",+22%,7,-2%,"0,9",+16%,"0,36",+16%,0,-100%,B,-100%,80.4%,13.1%,1.9%,2.8%,1.1%,0.8%,36,,,,3 g,en quantité modérée,0.5 g,en faible quantité,2.2 g,en faible quantité,0.9 g,en quantité modérée,,,,,,,,,,,,,,
127,Compote Pomme Banane,3596710363636,,,['France'],[],[],?,,75,,314 kj(75 kcal),,0,,0,,18,,17,,"0,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Champignons de paris -,3760045771057,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Légumes frais', 'Champignons de Paris', 'Champignons frais', 'Champignons de Paris entiers']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,,,,,,,,,,,,,,,,,,,,
129,Lait pour nourrissons - Novalac,3518070312079,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Novalac'],,,,,,,,,,,,,
130,Pringles Texas BBQ Sauce,5053990137817,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Tuiles salées']",['France'],[],[],?,,503,-1%,2105 kj(503 kcal),-1%,31,+5%,"3,4",+1%,52,-6%,"4,6",+33%,"4,2",-5%,"1,7",+13%,"0,68",+13%,17,+27%,D,+27%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,31 g,en quantité élevée,3.4 g,en quantité modérée,4.6 g,en faible quantité,1.7 g,en quantité élevée,['Pringles'],,,,,,,,,,,,,
131,Cornichons de France -,3448832012049,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",['France'],[],[],?,,18.2,-33%,76 kj(18 kcal),-29%,"0,2",-32%,0,-100%,"2,5",-27%,"0,1",-96%,"1,6",+58%,1,-42%,"0,4",-42%,-1,-146%,A,-146%,,,,,,,,,,,0.2 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,1 g,en quantité modérée,,,,,,,,,,,,,,
132,Guava candy - Bai Chuan - 350g,6920339004118,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']","['France', 'États-Unis']","['Sugar', 'glucose syrup', 'artificial flavoring', 'guava essence ', 'glucose', 'guava syrup', 'citric acid', 'fd&c yellow 5', 'fd&c blue 1']",[],?,,310,-13%,1297 kj(310 kcal),-14%,"0,67",-64%,0,-100%,"75,67",-9%,"75,67",+30%,0,-100%,"0,1",-17%,"0,04",-17%,13,-10%,D,-10%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,350 g,,,0.67 g,en faible quantité,0 g,en faible quantité,75.7 g,en quantité élevée,0.1 g,en faible quantité,['Bai Chuan'],,,,,,,4,"['E330 - Acide citrique', 'E102 - Tartrazine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,,,['Chine'],CLASSIC SERIES
133,4 saucisses aux Lentilles cuisinées - Alain Martin,3267615500227,C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de lentilles', 'Saucisses aux lentilles']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,,,,,,,,,,,,['Alain Martin'],,,,,,,,,,,,,
134,Mayonnaise - Calvé,8714100905982,D,"['Epicerie', 'Sauces', 'Mayonnaises']",['France'],"['Eau', 'huile de colza 25%', 'LAIT fermenté traité thermiquement 15%', 'sucre', 'vinaigre aux herbes ', 'vinaigre', ""extrait d'herbes"", 'amidan de mais modifié', 'sirop de glucose-fructose', ""jaune D'OEUF 2,3% "", 'de poules élevées en plein air', 'sel', 'moutarte ', 'eau', 'graines de MOUTARDE', 'vinaigre', 'sel', 'épices', 'arôme naturel', 'épaississant: gomme xanthane', 'acidifiant: acide citrique', 'conservateur: acide sorbique', 'antioxygène : E385,']",['Non végétalien'],?,,288,-53%,1205 kj(288 kcal),-53%,26,-61%,"2,3",-63%,12,+346%,"9,2",+530%,1,-19%,"1,8",+35%,"0,72",+35%,14,-22%,D,-22%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,26 g,en quantité élevée,2.3 g,en quantité modérée,9.2 g,en quantité modérée,1.8 g,en quantité élevée,['Calvé'],,,,,,"['Œufs', 'Lait', 'Moutarde']",4,"['E415 - Gomme xanthane', 'E330 - Acide citrique', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",,,,,
135,Clairette de Die BIO,3413331001412,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,
136,Tuc seed and chives,7622210836427,,,['France'],[],[],?,,475,,1987 kj(475 kcal),,18,,"1,6",,66,,"7,7",,"9,4",,"1,44",,"0,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Salade de la mer du Nord - Boni,5400141069396,,"['Produits de la mer', 'Poissons', 'Préparations de poisson']","['Belgique', 'France']","['Salade de la mer du Nord avec cabillaud et crevettes - 53 % cabillaud', 'huile de colza', 'eau', ""jaunes d'œufs "", 'au sol', '2,7,% crevettes', 'vinaigre', 'moutarde ', 'eau', 'graines de moutarde', 'sel', 'vinaigre', 'sucre', 'curcuma', 'arôme ', 'contient des crustacés et du poisson', 'dextrose', 'amidon', 'sel', 'protéines de soja', 'fibres alimentaires', 'jus de citron', 'épices', 'persil', 'oignons', 'ail', 'sụcre', 'acidifiants ', 'E270', 'E330', 'E334', 'conservateurs ', 'E202', 'E211', 'E224', 'épaississants ', 'E412', 'E415', ""correcteur d'acidité Peut "", 'E262']","['Non végétalien', 'Non végétarien']",?,,337,+73%,1410 kj(337 kcal),+76%,32,+169%,"2,5",-19%,"0,7",-91%,"0,5",-67%,12,+2%,1,-15%,"0,4",-15%,5,-18%,C,-18%,,,,,,,,,,,32 g,en quantité élevée,2.5 g,en quantité modérée,0.5 g,en faible quantité,1 g,en quantité modérée,['Boni'],['Colruyt'],,,,,"['Crustacés', 'Œufs', 'Poisson', 'Moutarde']",4,"['E270 - Acide lactique', 'E330 - Acide citrique', 'E334 - Acide L-tartrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E262 - Acétates de sodium']",,,,,
138,Purée de pomme de terre aux poireaux - Boni,5400141355215,,"['Plats préparés', 'Légumes préparés', 'Purées', 'Purées de légumes']","['Belgique', 'France']",[],[],?,,82,+19%,343 kj(82 kcal),+23%,"2,1",+14%,"1,5",+55%,13,+84%,1,-58%,"1,7",-23%,"0,53",+16%,"0,212",+16%,3,,C,,,,,,,,,,,,2.1 g,en faible quantité,1.5 g,en quantité modérée,1 g,en faible quantité,0.53 g,en quantité modérée,['Boni'],['Colruyt'],,,,,,,,,,,,
139,Spécialité de prunrau,2609916030378,,,['France'],[],[],?,,265,,1109 kj(265 kcal),,"0,5",,"0,1",,55,,35,,2,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Mandolino,40875248,,,['France'],[],[],?,,573,,2397 kj(573 kcal),,38,,16,,47,,40,,"9,3",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Miel de fleurs de france - Maison Peltier - 140g,3335440183011,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,140 g,,,,,,,,,,,['Maison Peltier'],,,,,,,,,,,,['France'],
142,Almarai Yoghurt Low Fat,6281007040716,,,['France'],[],[],?,,57,,238 kj(57 kcal),,"1,1",,"0,75",,7,,7,,"4,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Crème de Coco - Kara,3229820797465,,,['France'],[],[],?,,242,,1013 kj(242 kcal),,25,,23,,2,,2,,"2,3",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,['Kara'],,,,,,,,,,,,,
144,Café décaféiné moulu,3450970001458,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés décaféinés']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Crozets de savoie au sarrazin - Le père Rullier - 400g,3760101490113,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de sarrasin', 'Crozets']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,400g,['Sachet plastique'],,,,,,,,,,['Le père Rullier'],,,,"['FR 73.285.021 CE', 'Séez (Savoie, France)']",,,,,,,,,
146,Saint honoré,8003938006696,,,['France'],[],[],?,,259,,1084 kj(259 kcal),,"10,6",,"7,5",,"32,6",,"21,4",,"5,5",,"0,26",,"0,104",,,,,,,,,,,,,,,"['Fabriqué en Italie', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,
147,Sardines a l'huile d'olive extra vierge et au citron bio,3760239181136,C,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",['France'],[],[],?,,300,+21%,1255 kj(300 kcal),+22%,25,+41%,"5,5",+43%,"0,5",+56%,"0,5",+138%,"18,7",-12%,"0,58",-36%,"0,232",-36%,5,-11%,C,-11%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,['Conserve'],"['Bio', 'Bio européen', 'FR-BIO-10']",25 g,en quantité élevée,5.5 g,en quantité élevée,0.5 g,en faible quantité,0.58 g,en quantité modérée,,,,,"['FR 29.215.500 CE', 'Plozévet (Finistère, France)']",,,,,,,,,
148,Miel d'oranger - Le Verger des Abeilles - 350g,3335440135928,A,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'agrumes"", ""Miels d'oranger""]",['France'],"[""Miel d'oranger origine Espagne""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,350 g,"['pot verre', 'couvercle métal', 'à recycler']",,,,,,,,,,['Le Verger des Abeilles'],,,,,,,2,,,,,['Espagne'],
149,Burcu Patlican Kizartma / Fried Eggplant - 400 GR - 400g,8691573026195,,,['France'],[],[],?,,92,,385 kj(92 kcal),,"8,2",,"0,8",,3,,"1,5",,"0,9",,"0,8",,"0,32",,,,,,,,,,,,,400 g,,,,,,,,,,,,,,,,,,,,,,,,
150,I love Milka,7622210577795,,,['France'],[],[],?,,546,,2284 kj(546 kcal),,32,,17,,57,,56,,"5,4",,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,,,['Milka'],,,,,,,,,,,,,
151,Fraise de carpentras,3760124600117,,,['France'],[],[],?,,35,,146 kj(35 kcal),,"0,18",,"0,018",,"6,14",,"4,73",,"0,65",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Miel De Chataignier - Bonneterre,3396411218798,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Pot'],['Bio'],,,,,,,,,['Bonneterre'],,,,,,,,,,,,,
153,Saucisse végé,20662783,,,['France'],[],[],?,,186,,778 kj(186 kcal),,"6,4",,"0,3",,"11,7",,"1,8",,"18,9",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Couronne briochee nature,,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Barres chocolats - Nestlé,8690632242439,,,['France'],[],[],?,,540,,2259 kj(540 kcal),,"29,8",,"19,4",,"60,6",,"55,3",,"6,3",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,,
156,Beef snack - 35.0g,4036554709355,,,"['France', 'Suisse']",[],[],?,,223,,933 kj(223 kcal),,6,,"2,7",,"1,7",,"0,1",,41,,"4,52",,"1,808",,,,,,,,,,,,,35.0 g,,,,,,,,,,,,,,,,,,,,,,,,
157,Oeuf,3265546450116,D,"[""Produits d'élevages"", 'Œufs']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,,,,,,,,,,,,,
158,Dix brochettes de poulet yakitori - Leaderprice,3263858564811,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Volailles', 'Brochettes', 'Poulets', 'Brochettes de viande', 'Plats à la volaille', 'Préparations au poulet', 'Brochettes de volailles', 'Brochettes de poulet', 'Brochettes de poulet Yakitori']",['France'],[],[],?,,130,-16%,544 kj(130 kcal),-16%,"0,9",-80%,"0,3",-78%,"8,9",-14%,"7,5",+10%,21,+25%,"1,2",-7%,"0,48",-7%,2,-59%,B,-59%,76.9%,15.4%,4.2%,1.9%,0.9%,0.7%,32,,,,0.9 g,en faible quantité,0.3 g,en faible quantité,7.5 g,en quantité modérée,1.2 g,en quantité modérée,['Leaderprice'],,,,,,,,,,,,,
159,Emmental râpé -,3412290015690,,,['France'],"['Lait de vache pasteurisé', 'sel', 'ferments ', 'dont lait', ' Lait origine France - Bretagne', ' Les informations en gras sont destinées aux personnes allergiques ou intolérantes']",['Non végétalien'],?,,377,,1577 kj(377 kcal),,29,,20,,2,,2,,27,,"0,9",,"0,36",,,,,,,,,,,,,,,['en:produced-in-bretagne'],,,,,,,,,,,,,,,,,,,,,,
160,Duo de haricots verts et champignons - Magda,3434410074868,,,['France'],[],[],?,,56,,234 kj(56 kcal),,"3,9",,"0,5",,"1,9",,"0,7",,"2,2",,"0,4",,"0,16",,,,,,,,,,,,,,,['Bio'],,,,,,,,,['Magda'],,,,,,,,,,,,,
161,3401345259981,3401345259981,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Riz gluant Sanpatong,8853969006185,,,['France'],[],[],?,,355,,1485 kj(355 kcal),,1,,"0,2",,80,,0,,"6,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Bio linzen lentilles - Machandel,8713938000203,,,['France'],[],[],?,,83,,347 kj(83 kcal),,"0,3",,0,,"12,8",,"0,5",,6,,"0,7",,"0,28",,,,,,,,,,,,,,,"['Bio', 'Bio-dynamie', 'Demeter', 'Sans conservateurs']",,,,,,,,,['Machandel'],,,,,,,,,,,,,
164,Café Altissio - Nespresso - 10capsules,7630047652677,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,10 capsules,,,,,,,,,,,['Nespresso'],['Nespresso'],,,,,,,,,,,,
165,Porridge-Cup - Davert,4019339636046,,,['France'],[],[],?,,351,,1469 kj(351 kcal),,"3,7",,"0,6",,61,,"6,1",,13,,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,['Davert'],,,,,,,,,,,,,
166,Bio drink avena,8019428006039,,,"['Belgique', 'France']",[],[],?,,50,,209 kj(50 kcal),,"1,6",,"0,4",,"7,8",,"5,7",,"0,6",,"0,1",,"0,04",,,,,,,,,,,,,,,"['Bio', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,
167,9501079810107,9501079810107,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Test Green Fresh,9788175257665,,['Non alimentaire'],['France'],[],[],?,,160,-25%,669 kj(160 kcal),-25%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,,,,,,,,,,,
169,Levure maltée,7333395348475,,,['France'],[],[],?,,378,,1582 kj(378 kcal),,5,,1,,31,,1,,48,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Brie 60% M.G. - Metro Chef - 1kg,3439495901672,B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",['France'],"['lait pasteurisé', 'ferments lactiques', 'ferment affinage', 'coagulant', 'sel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1593,+17%,?,,1593 kj(381 kcal),+23%,"32,7",+26%,"23,7",+30%,"3,2",+358%,"0,5",+32%,"18,7",-1%,"0,9",-43%,"0,36",-43%,12,-19%,D,-19%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,1 kg,['Frais'],['Produits destinés aux professionnels'],32.7 g,en quantité élevée,23.7 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,"['Metro Chef', 'Metro', 'MCCF']",,,,"['FR 70.002.001 CE', 'Aboncourt-Gesincourt (Haute-Saône, France)']",,['Lait'],3,,,,,"['France', 'Lait de vache origine France', 'Lait origine France']",
171,Lagrima porto - 75.0cl,5601332000475,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,75.0 cl,['Bouteille'],,,,,,,,,,,,,,,,,,,,,,,
172,"Gourmets de lentilles, potimarron... - Pronatura",3760099538927,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles']",['France'],[],['Sans huile de palme'],?,,202,-17%,845 kj(202 kcal),-17%,10,+580%,"1,1",+323%,16,-51%,"2,2",+77%,"6,7",-62%,"0,95",+229%,"0,38",+229%,3,,C,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,"['Bio', 'en:palm-oil-free']",10 g,en quantité modérée,1.1 g,en faible quantité,2.2 g,en faible quantité,0.95 g,en quantité modérée,['Pronatura'],,,,,,,,,,,,,
173,Koka Nudler m / Reje Smag,8888056604067,,,['France'],[],[],?,,82,,343 kj(82 kcal),,"3,4",,"1,6",,"10,5",,"0,7",,"1,9",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
