,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,brand,markets,generic_name,producer_info,traceability_code,origin_detail,allergens,nova_score,additives,palm_ingredients,manufacturing,link,ingredients_origins,brand_owner
927,Pomme de terre,3592343000153,,,['France'],[],[],?,,55,,230 kj(55 kcal),,2,,1,,5,,0,,30,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Vin côte de provence,3700292500017,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes de Provence']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,['France'],
929,Mélange Ras El Hanout - La Vie Claire,3266191021676,,"['Epicerie', 'Condiments', ""Mélanges d'herbes et d'épices"", 'Ras el hanout']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,['La Vie Claire'],,,,,,,,,,,,,
930,Bananes,2600480010766,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,
931,Nectar d'abricots du Valais,7640147940062,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'abricot""]",['France'],[],[],?,,46,-13%,192 kj(46 kcal),-14%,"0,5",+159%,0,-100%,11,-11%,11,-7%,"0,5",+34%,0,-100%,0,-100%,15,-1%,E,-1%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,0.5 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,,,,,,,,,,,,,,
932,Haricots verts,9421023610112,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Touraine,3660989176201,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Cookies de petit épeautre - Moulin des Moines,3347430021487,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],[],[],?,,486,+3%,2033 kj(486 kcal),+2%,"26,3",+26%,"12,5",+24%,"53,5",-16%,"24,7",-16%,"7,1",+9%,"0,73",+24%,"0,292",+24%,24,+21%,E,+21%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",26.3 g,en quantité élevée,12.5 g,en quantité élevée,24.7 g,en quantité élevée,0.73 g,en quantité modérée,['Moulin des Moines'],,,,,,,,,,,,,
935,Comté Juraflore - Jura Flore,2285475031225,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],?,,418,+5%,1749 kj(418 kcal),+6%,35,+7%,23,+6%,0,-100%,0,-100%,27,+7%,"0,9",-8%,"0,36",-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,['Jura Flore'],,,,,,,,,,,,,
936,"Fromage Blanc 5,5 % Fraise",3428282960015,,,['France'],[],[],?,,119,,498 kj(119 kcal),,"5,2",,"3,5",,13,,13,,5,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
