,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,origin_detail,producer_info,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,additives,ingredients_origins,allergens,link,palm_ingredients,brand_owner
1504,Weinwürziger Essig Kühne - 750ml,40122052,,,750 ml,"['Flasche', 'Produkt', 'Flasche(n)']",['Kühne'],,,,,,"['France', 'Allemagne']","['Branntweinessig', 'Weinessig', 'Farbstoff E 150c']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,,,,,,,,,?,,20,,84 kj(20 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,,,,
1505,Maille Dijonnaise,8722700079590,,,,['Senf'],['Maille'],,,,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
1506,Gruau instantané saveur myrtille - Увелка - 200g,4607016243191,B,,200 g,,"['Увелка', 'Ресурс']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Mueslis', 'Flocons de céréales', 'Céréales aux fruits', 'Flocons extrudés', 'Flocons laminés', 'Mueslis aux fruits', ""Flocons d'avoine""]",,,,,['France'],"['Haferflocken 70%', 'Zucker Blaubeeren getrocknet 2%', 'Kochsalz Aromazubereitung ', 'Aromen', 'Maltodextrin', 'Stabilisator: Gummi arabikum', ' Enthält Gluten']",[],4,2 g,en faible quantité,0 g,en faible quantité,10 g,en quantité modérée,0 g,en faible quantité,?,,140,-62%,586 kj(140 kcal),-62%,2,-72%,0,-100%,28,-53%,10,+506%,4,-67%,0,-100%,0,-100%,1,,B,,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,,,['Gluten'],,,
1507,Snack di mais - Conad,8003170053960,,,,,['Conad'],,,,,,['France'],[],[],,,,,,,,,,?,,437,,1828 kj(437 kcal),,13,,"0,2",,71,,"0,4",,"5,7",,"1,25",,"0,5",,,,,,,,,,,,,,,,,,,,
1508,Pompadour Ment. / Poniol,40093932,,,,,['Pompadour'],['Infusion-de-plantes-aromatiques'],,,,,"['France', 'Espagne']",[],[],,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,?,,1,,4 kj(1 kcal),,"0,1",,"0,1",,"0,2",,"0,1",,0,,0,,0,,0,,B,,,,,,,,,,,,,,,,
1509,Medallones de palmito al natural especial para ensaladas - Natufruit,8437014981025,,,,,['Natufruit'],,,,,,['France'],[],[],,,,,,,,,,?,,35,,146 kj(35 kcal),,0,,0,,6,,0,,3,,1,,"0,4",,,,,,,,,,,,,,,,,,,,
1510,Linguas de veado - Continente,5601312181507,,,,,['Continente'],,,,,,['France'],[],[],,,,,,,,,,?,,501,,2096 kj(501 kcal),,24,,10,,64,,30,,"6,3",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,
1511,Rillettes de canard - Bahier,3180050133839,D,,,,['Bahier'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,,,,['France'],[],[],,37 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,1 g,en quantité modérée,?,,391,-2%,1636 kj(391 kcal),-3%,37,+1%,15,+20%,"0,5",-13%,"0,5",+99%,14,-14%,1,-27%,"0,4",-27%,18,-7%,D,-7%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,
1512,Cafe Spar Soluvel Natural,8480013131021,E,,,,['Spar'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",,,,,['France'],[],[],,,,,,,,,,?,,85,-34%,356 kj(85 kcal),-42%,0,-100%,0,-100%,34,+47%,0,-100%,23,+398%,"0,4",+27%,"0,16",+27%,,,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,,,,,,,,
1513,Barreja mezcla de setas,8411407104253,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,19,,79 kj(19 kcal),,0,,0,,0,,0,,"2,2",,"0,63",,"0,252",,,,,,,,,,,,,,,,,,,,
