,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,origin_detail,producer_info,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,additives,ingredients_origins,allergens,link,palm_ingredients,brand_owner
172,Caramel de pomme,3770000432145,,,,,,,,,"['EMB 49364B', 'Vaudelnay (Maine-et-Loire, France)']",,['France'],[],[],,,,,,,,,,?,,474,,1983 kj(474 kcal),,"26,55",,"19,2",,"57,72",,"51,5",,"1,04",,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,
173,Espresso Bar - 1000g,5601082006345,,,1000 g,,,,,,,,"['France', 'Suisse']",['Café et sucre'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,60,,32,,60 kj(32 kcal),,"11,9",,"5,4",,13,,"0,4",,"16,7",,0,,0,,,,,,,,,,,,,,,,,,,,
174,Chocolat lait coeur caramel beurre salé - Maison Taillefer,3564884022796,,,,,['Maison Taillefer'],,,,,,['France'],[],[],,,,,,,,,,?,,606,,2536 kj(606 kcal),,"28,1",,17,,"57,4",,"50,3",,"4,7",,"0,29",,"0,116",,,,,,,,,,,,,,,,,,,,
175,Infusión Naranja y Gengibre - Lord Nelson,20417062,B,,,,['Lord Nelson'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Infusions aux fruits', 'Infusions en sachets', 'Infusions aux fruits en sachets']",,,,,"['France', 'Espagne']",[],[],,5 g,en quantité modérée,1 g,en quantité modérée,5 g,en quantité modérée,1 g,en quantité élevée,?,,2,-33%,8 kj(2 kcal),-38%,5,+10676%,1,+5487%,5,+491%,5,+762%,5,+2491%,1,+72893%,"0,4",+72893%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,
176,Amaretti - Coop,8001120200815,,,,,['Coop'],,,,,,['France'],[],[],,,,,,,,,,?,,437,,1828 kj(437 kcal),,10,,"0,6",,78,,72,,"6,9",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,
177,Caramel à tartiner fleur de sel - Le Comptoir de Mathilde,3700961302829,,,,,['Le Comptoir de Mathilde'],,,,,,['France'],[],['Sans huile de palme'],,,,,,,,,,?,,395,,1653 kj(395 kcal),,15,,10,,84,,58,,2,,"0,8",,"0,32",,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,
178,Camembert de bufala,2483020002724,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,303,,1268 kj(303 kcal),,28,,"20,4",,"0,2",,0,,"12,65",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,
179,Sardines huile d'olive et citron,3700189554383,D,,,,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", ""Sardines à l'huile et au citron""]",,,,,['France'],[],[],,17 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,1.2 g,en quantité modérée,?,,216,-12%,904 kj(216 kcal),-11%,17,-2%,3,-20%,0,-100%,0,-100%,16,-22%,"1,2",+40%,"0,48",+40%,4,-22%,C,-22%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,,,
180,Ice Cascara Infusion,7644018586007,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,20,,84 kj(20 kcal),,"0,58",,"0,1",,"5,1",,5,,"0,5",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,
181,Calendrier de l'avent -,8436534491786,,,,,,"['Aliments et boissons de Noël', ""Calendriers de l'avent""]",,,,,['France'],"['Sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'lactosérum en poudre ', 'lait', 'émulsifiants : E322 ', 'soja', 'E476', 'arôme naturel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,30 g,en quantité élevée,19 g,en quantité élevée,61 g,en quantité élevée,0.07 g,en faible quantité,?,,100,-80%,418 kj(100 kcal),-81%,30,+2%,19,+9%,62,+10%,61,+18%,6,+1%,"0,07",-64%,"0,028",-64%,21,-16%,E,-16%,,,,,,,,['Fabriqué en Allemagne'],,"['E322 - Lécithines', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",,"['Lait', 'Soja']",,,
182,Masria - 350g,3449714902045,,,350 g,,,,,,"['EMB 13210N', 'Marseille 10e  Arrondissement (Bouches-du-Rhône, France)']",,['France'],[],[],,,,,,,,,,?,,307,,1284 kj(307 kcal),,"0,6",,"0,2",,70,,59,,3,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,
183,Speculoos - Lotus,5410126026887,D,,,,['Lotus'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Spéculoos']",,,,,['France'],[],[],,18.1 g,en quantité modérée,7.3 g,en quantité élevée,35.5 g,en quantité élevée,0.8 g,en quantité modérée,?,,469,-1%,1962 kj(469 kcal),-1%,"18,1",-4%,"7,3",-18%,"66,9",-3%,"35,5",+6%,"7,3",+29%,"0,8",+12%,"0,32",+12%,22,-2%,E,-2%,83.0%,9.8%,3.2%,2.0%,1.9%,0.0%,53,,,,,,,,
184,Gambas Sauvage Entières Crues surgelées,8410547936014,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,93,,389 kj(93 kcal),,"0,5",,"0,3",,0,,0,,22,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,
185,Pain d'epice glacé au sucre,3279130101025,B,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,,,['France'],[],[],,0.5 g,en faible quantité,0.15 g,en faible quantité,31.4 g,en quantité élevée,0.278 g,en faible quantité,?,,356,+6%,1490 kj(356 kcal),+5%,"0,5",-86%,"0,15",-88%,80,+13%,"31,4",-23%,"6,7",+54%,"0,278",-36%,"0,111",-36%,12,-15%,D,-15%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,
186,Ricotta,8006103110440,D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à la crème', 'Ricotta']",,,,,"['France', 'Espagne']",[],[],,10 g,en quantité modérée,7 g,en quantité élevée,2.3 g,en faible quantité,0.2 g,en faible quantité,?,,603,+316%,2523 kj(603 kcal),+325%,10,+1%,7,+2%,"3,7",0%,"2,3",-31%,10,+24%,"0,2",-44%,"0,08",-44%,8,+85%,C,+85%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
187,Morga Soja Würfel Mit Meersalz 25 STK,7610491014429,,,,,['Morga'],,,,,,['France'],[],[],,,,,,,,,,?,,3,,13 kj(3 kcal),,"0,1",,0,,"0,2",,"0,1",,"0,4",,1,,"0,4",,,,,,,,,,,,,['en:gluten-free'],,,,,,,
188,Calendrier de l avent,3760166263059,,,,,,"['Aliments et boissons de Noël', ""Calendriers de l'avent""]",,,,,['France'],[],[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,1,-100%,4 kj(1 kcal),-100%,0,-100%,0,-100%,"0,2",-100%,0,-100%,"0,1",-98%,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,,
189,Infusion gourmande saveur fruits tropicaux - U - 100g,3256226397272,A,,100 g,"['doypack vrac', 'paquet vrac']",['U'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']",,,,['Magasins U'],['France'],"['Pomme 20 %', 'mangue 10 %', 'papaye 10 %', ""fleurs d'hibiscus 10 %"", 'rooibos 10 %', ""écorces d'orange 9 %"", 'cynorrhodon 9 %', 'feuilles de mûres douces 8 %', 'jus de citron 5 %', 'racine de réglisse 5 %', 'arôme naturel mangue 4 %']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,
190,Laitue Iceberg - Bouquet - 1pièce,8412276263294,B,,1 pièce,['Plastique'],['Bouquet'],"['Laitues', 'Laitue iceberg']",,,,,['France'],['Laitue iceberg'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,41.5%,0.0%,0.0%,19.1%,27.3%,12.1%,97,['Catégorie I'],,,['Espagne'],,,,
191,Huile d'olive - finca terral,8428295802093,D,,,,['finca terral'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,"['France', 'Espagne']",[],[],,100 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+5%,3766 kj(900 kcal),+5%,100,+5%,13,-7%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,
192,Duo de patate douce et pomme de terr - Monoprix Gourmet,3350033580268,,,,"['Bocal en verre', 'Couvercle en métal']","['Monoprix Gourmet', 'Monoprix']",,,,"['EMB 84019C', 'Bollène (Vaucluse, France)']",['Monoprix'],['France'],[],[],,,,,,,,,,?,,99,,414 kj(99 kcal),,"4,3",,"2,9",,13,,"4,1",,"1,1",,1,,"0,4",,,,,,,,,,,,,,,,,,,,
193,Assortiment chocolats praliné - Franprix - 160g,3263851862525,,,160 g,,['Franprix'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",,,,['Franprix'],['France'],"['Praliné aux noisettes 42,4% ', 'noisettes 21,2% - sucre', ' - sucre - beurre de cacao 12,9% - pâte de cacao - poudre de lait entier - émulsifiant : lécithine de tournesol - extrait de vanille', "" Traces d'arachides"", ""d'autres fruits à coque"", 'de soja', 'de gluten', 'de graines de sésame', ""d'oeufs et de sulfites""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,36 g,en quantité élevée,15 g,en quantité élevée,47 g,en quantité élevée,0.1 g,en faible quantité,?,,559,+4%,2339 kj(559 kcal),+3%,36,+7%,15,-15%,49,-5%,47,+0%,"8,5",+41%,"0,1",-31%,"0,04",-31%,25,0%,E,0%,,,,,,,,,,['E322i - Lécithine'],,['Fruits à coque'],,,
194,Panettone - Franprix - 500g,3263852679825,C,,500g,,['Franprix'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,['Franprix'],['France'],"['Farine de blé tendre', 'beurre', ""raisins secs 11,5% - sucre - écorces d'oranges confites 10,5% "", ""écorces d'orange"", 'sucre - jus de citron concentré', ' - eau - levain ', 'farine de blé', 'eau', "" jaune d'oeuf issus de poules élevées en plein air - sel""]",['Non végétalien'],3,12 g,en quantité modérée,7.9 g,en quantité élevée,20 g,en quantité élevée,0.4 g,en quantité modérée,?,,364,-3%,1523 kj(364 kcal),-2%,12,-20%,"7,9",-12%,57,+11%,20,-23%,"7,2",+5%,"0,4",-9%,"0,16",-9%,15,-19%,D,-19%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,['Fabriqué en Italie'],['Italie'],,,"['Gluten', 'Lait']",,,
195,Cracottes d'épeautre à l'oignon - Céréal,5410063035966,,,,,['Céréal'],,,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,399,,1669 kj(399 kcal),,"9,9",,"1,8",,55,,"1,1",,16,,"1,8",,"0,72",,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,
196,Miel de lavande de provence - la pichette - 500grammes,3419560000011,B,,500 grammes,['Verre'],['la pichette'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Rouge'],['13114 puyloubier'],,,,,,
197,Préparation de fruits fraise-canneberge,26023168,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,178,,745 kj(178 kcal),,"0,5",,"0,1",,41,,41,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,
198,Pomme De Terre Suc Frais Bio - 200 ML - Salus,4006309024446,,,,,['Salus'],,,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,10,,42 kj(10 kcal),,"0,5",,"0,1",,"1,2",,"1,2",,"1,2",,0,,0,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien']",,,,,,,
199,Tarama au crabe royal,3019898087441,,,,,,,,,"['EMB 49007E', 'Angers (Maine-et-Loire, France)']",,['France'],[],[],,,,,,,,,,?,,557,,2330 kj(557 kcal),,56,,"4,8",,"2,3",,"0,5",,11,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,
200,Yaourt brassé au lait de brebis bio - Lait'Age d'Or,3760274150012,,,,,"[""Lait'Age d'Or""]","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts brassés', 'Yaourts brassés nature', 'Yaourts au lait de brebis']",,,,,['France'],"[""LAIT pasteurisé de brebis issu de l'agriculture biologique"", 'Ferments LACTIQUES']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,5.59 g,en quantité modérée,3.85 g,en quantité modérée,1.8 g,en faible quantité,0.16 g,en faible quantité,?,,81,+1%,339 kj(81 kcal),+3%,"5,59",+20%,"3,85",+27%,"2,51",-47%,"1,8",-59%,"5,15",+28%,"0,16",+32%,"0,064",+32%,1,-30%,B,-30%,,,,,,,,['Bio'],,,,['Lait'],,,
201,Cornichons au vinaigre extras fins - Rochambeau - 110g,3439495004526,,,110 g,['Verre'],['Rochambeau'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,,,['Metro'],['France'],"['Cornichons 49% ', 'dont conservateur : di-sulfite de potassium', 'eau', 'vinaigre', 'oignons 2,9%', 'sel', 'graines de moutarde et de coriandre', 'estragon', ""arôme naturel d'estragon avec autres arômes naturels""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,1.9 g,en quantité élevée,11,-87%,48,+78%,11 kj(48 kcal),-90%,"0,5",+69%,"0,5",+632%,"0,6",-83%,"0,5",-81%,"1,3",+29%,"1,9",+10%,"0,76",+10%,3,+38%,C,+38%,,,,,,,,,,"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",,['Moutarde'],,,
202,Cassoulet de Castelnaudary - Patrimoine Gourmand,3257980577528,B,,,,"['Patrimoine Gourmand', 'Cora']","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de haricots', 'Cassoulets', 'Cassoulets de Castelnaudary']",,,,"['Cora', 'Match']",['France'],[],[],,8.6 g,en quantité modérée,3.1 g,en quantité modérée,0.5 g,en faible quantité,0.7 g,en quantité modérée,?,,156,+5%,653 kj(156 kcal),+5%,"8,6",+16%,"3,1",+12%,"7,5",-6%,"0,5",-18%,"10,1",-3%,"0,7",-16%,"0,28",-16%,2,+48%,B,+48%,14.6%,32.7%,20.0%,15.1%,8.8%,8.8%,95,['Fabriqué en France'],,,,,,,
203,Grand Nord Laponie - Delpierre,3038680050760,E,,,,['Delpierre'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,"['FR 67.543.001 CE', 'Wisches (Bas-Rhin, France)']",,['France'],[],[],,11 g,en quantité modérée,1.7 g,en quantité modérée,0 g,en faible quantité,3 g,en quantité élevée,?,,180,-3%,753 kj(180 kcal),-3%,11,+5%,"1,7",-17%,0,-100%,0,-100%,20,-10%,3,+6%,"1,2",+6%,13,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,
204,Diet sparkling cloudy lemonade,00050654,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,3,,13 kj(3 kcal),,0,,0,,"0,1",,"0,1",,0,,0,,0,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,
205,Roca Collection,0041770067008,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,587,,2456 kj(587 kcal),,40,,18,,50,,"45,4",,"5,22",,"0,55",,"0,22",,,,,,,,,,,,,,,,,,,,
206,Chocolat chaud - Le Comptoir de Mathilde,3700961301242,,,,,['Le Comptoir de Mathilde'],,,,,,['France'],[],[],,,,,,,,,,?,,530,,2218 kj(530 kcal),,31,,19,,54,,47,,"7,1",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,
207,Petits pois fin - Primia,8030582007465,,,,,['Primia'],,,,,,['France'],[],[],,,,,,,,,,?,,71,,297 kj(71 kcal),,"0,5",,"0,1",,"7,9",,"2,4",,"4,8",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,
208,ORANGE YUZU - Francis Miot - 100g,3396745001172,D,,100 g,,['Francis Miot'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'orange""]",,,,,['France'],"['orange 53 %', 'sucre de canne 42 %', 'jus de yuzu 4 %', 'extrait naturel de vanille', 'gelifiant : pectine ', 'issue de fruits']",[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,47 g,en quantité élevée,0.03 g,en faible quantité,?,,196,-9%,820 kj(196 kcal),-8%,"0,5",+113%,"0,1",+163%,47,-10%,47,-7%,"0,5",+2%,"0,03",+15%,"0,012",+15%,11,+17%,D,+17%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,['E440 - Pectines'],,,,,
209,Baba Ghannouj,5285004880185,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,150,,628 kj(150 kcal),,"11,5",,"1,8",,"7,5",,"1,3",,"4,8",,"8,16",,"3,264",,,,,,,,,,,,,,,,,,,,
210,Terrine de sanglier aux fruits rouges - Le Comptoir de Mathilde,3700961306834,,,,,['Le Comptoir de Mathilde'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de sanglier']",,,,,['France'],[],[],,23 g,en quantité élevée,7.9 g,en quantité élevée,0.7 g,en faible quantité,1.5 g,en quantité modérée,?,,271,-12%,1134 kj(271 kcal),-12%,23,-14%,"7,9",-21%,"3,8",+84%,"0,7",+14%,13,-7%,"1,5",-5%,"0,6",-5%,16,-12%,D,-12%,,,,,,,,,,,,,,,
211,Filets de cabillaud - 200g,3444940003573,E,,200 g,,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Morues', 'Filets de cabillaud']",,,,,['France'],[],[],,1 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.2 g,en faible quantité,?,,78,-33%,326 kj(78 kcal),-31%,1,-67%,"0,5",+23%,"0,5",-91%,"0,5",+0%,18,+15%,"0,2",-58%,"0,08",-58%,-5,,A,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,,,,
212,Mini Rossini Burger x6 - Paso,3760114570864,,,,,['Paso'],,,,,,['France'],[],[],,,,,,,,,,?,,306,,1280 kj(306 kcal),,19,,"9,2",,19,,"5,8",,14,,"0,59",,"0,236",,,,,,,,,,,,,,,,,,,,
213,Panettone Classico,8005975059024,C,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,['France'],[],[],,12.3 g,en quantité modérée,8.2 g,en quantité élevée,31.5 g,en quantité élevée,0.6 g,en quantité modérée,?,,350,-6%,1464 kj(350 kcal),-6%,"12,3",-18%,"8,2",-9%,"51,9",+1%,"31,5",+22%,"6,2",-9%,"0,6",+36%,"0,24",+36%,21,+13%,E,+13%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,
214,Sint: Marsepein 250 Gram (favorina),20275372,,,,,['Favorina'],,,,,,['France'],[],[],,,,,,,,,,?,,448,,1874 kj(448 kcal),,"20,1",,"1,5",,"52,7",,"45,4",,"11,8",,,,,,,,,,,,,,,,,['Fabriqué en Belgique'],,,,,,,
215,Lentilles corail potage,3760142950287,B,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles rouges', 'Lentilles corail sèches']",,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,
216,Zuccherata da montare - Dior di natura - Un,8017596102447,,,Un,,['Dior di natura'],,,,,,"['France', 'Italie']","['fior di natura prepared based on non-hydrogenated vegetable fats long storage uht sugary ingredients: water', 'non-hydrogenated vegetable fats 26,7% ', 'coconut oil', 'palmisto oil', 'cocoa butter', 'sugar 11%', 'milk proteins', 'stabilizers: sorbitoli', 'hydroxy-propyl-cellulose', 'emulsifiers: mono esters - and diacetyltartartaric mono - and diglycerides of fatty acids', 'lecithins ', 'soya', 'ar esters of mono - and diglycerides of fatty acids ', 'carotenes', 'to be consumed preferably within: see upper part of the package ', 'store in a cool and dry place away from heat sources', 'once opened the package store in the refrigerator and consume within 3-4 days', 'l', 'dye: pripravek na osnovi nehidrogenirane rastlinske maščobe', 'uht trajno s sladkorjem', 'uporabno najmanj do: glej vrhnji del embalaže', 'huht pripravak na bazi nehidrogeniranih help the environment biljnih masti s dodanim with the collection šećerom ', 'najbolje upotrijebiti differentiated do : vidi gornju stranu pakiranja,']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,,,,,,,,,?,,302,,1264 kj(302 kcal),,27,,25,,14,,12,,"0,6",,"0,22",,"0,088",,,,,,,,,,,,,,,"['E460 - Cellulose', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322 - Lécithines']",,['Soja'],,,
217,Tortitas De Maiz Y Chocolate Negro - diet,8412224040243,B,,,,['Diet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de maïs soufflé', 'Galettes de maïs au chocolat noir']",,,,,"['France', 'Espagne']",[],[],,21 g,en quantité élevée,13 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,?,,478,+1%,2000 kj(478 kcal),+1%,21,+1%,13,+5%,64,+5%,21,0%,7,0%,0,-100%,0,-100%,19,+17%,E,+17%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,['en:gluten-free'],,,,,,,
218,Schoki - Schwarzwaldmilch - 1l,4046700003442,C,,1 l,['Glas'],['Schwarzwaldmilch'],"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Laits aromatisés', 'Laits aromatisés au chocolat']",,,['DE BW 376 EG'],,"['France', 'Allemagne']","['Vollmilch', 'Zucker', 'Kakaopulver']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,3.9 g,en quantité modérée,2.5 g,en quantité modérée,9 g,en quantité élevée,0.11 g,en faible quantité,368,+17%,88,+21%,368 kj(88 kcal),+19%,"3,9",+129%,"2,5",+125%,"9,2",-16%,9,-13%,"3,6",+11%,"0,11",-14%,"0,044",-14%,18,+45%,E,+45%,68.9%,1.0%,13.8%,9.0%,5.7%,1.6%,49,"['Agriculture durable', 'Sans OGM', 'en:Ohne Gentechnik', 'en:UTZ Certified', 'en:utz-certified-cacao']",,,,['Lait'],,,
219,Minis pains  d épices aux fruits - Esprit Gourmet - 90g,3700766400270,B,,90 g,,['Esprit Gourmet'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,,,['France'],"['Sucre', 'farine de froment', '16% raisins secs', ""13% persipan oyaux d'abricot"", 'sucre', 'sirop de sucre inverti', '6% écorces d oranges confites ', ""ecorces d'orange"", 'sirop de glucose-fructose', 'sucre', '3% noisettes', 'graisse buty lait', 'ceuf entier en poudre', 'humectants: sorbitols', 'grérols', ' sucre', 'a fécule de pomme de terre', 'poudre à lever: carbonates de sod arome naturel', 'sel', 'épices', 'épaississant: gomme arabique', "" Peut contenir des traces d'autres fruits à coque"", 'arachides', 'lupin', 'graines de sésame et soja']",[],4,10.4 g,en quantité modérée,2.9 g,en quantité modérée,49 g,en quantité élevée,0.21 g,en faible quantité,1640,+12%,389,+15%,1640 kj(389 kcal),+15%,"10,4",+198%,"2,9",+134%,"66,2",-6%,49,+21%,"6,4",+47%,"0,21",-52%,"0,084",-52%,16,+13%,D,+13%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,"['E420 - Sorbitol', 'E502 - Carbonates', ""E414 - Gomme d'acacia""]",,['Gluten'],,,
220,Galette des rois pomme pur beurre,2030500243292,D,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,,,['France'],[],[],,15 g,en quantité modérée,10 g,en quantité élevée,12 g,en quantité modérée,0.52 g,en quantité modérée,?,,284,-33%,1188 kj(284 kcal),-32%,15,-43%,10,-32%,32,-17%,12,-7%,3,-53%,"0,52",-25%,"0,208",-25%,16,-17%,D,-17%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,
221,Chewing gum -,6111199001915,,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,,,,['France'],[],[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.01 g,en faible quantité,?,,148,-8%,619 kj(148 kcal),-8%,0,-100%,0,-100%,61,-3%,0,-100%,"0,2",+55%,"0,01",-53%,"0,004",-53%,,,,,,,,,,,,"['Peu ou pas de sucre', 'Sans sucre']",,,,,,,
222,Foie gras entier canard Sud-Ouest,3450180033089,,,,['Etui en carton'],,,,,,,['France'],[],[],,,,,,,,,,?,,534,,2234 kj(534 kcal),,55,,23,,"2,4",,"1,9",,"7,3",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,
