,name,bar_code,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,traceability_code,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,additives,nova_score,quantity,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,generic_name,manufacturing,link,palm_ingredients,origin_detail,producer_info
20,Cumin mou - Mosaïque - 250g,3700483800377,['Sachet plastique'],['Mosaïque'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cumin', 'Cumin en poudre']",,"['GeantCasino', 'Magasins U']",['France'],['Cumin moulu'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,28,,"5,02",,"7,14",,"3,65",,,,,,,,,,1,250g,B,,,,,,,,,,,,,,,,,,70.8%,0.0%,20.1%,5.4%,3.7%,0.0%,83,,Cumin Moulu,['45400 Fleury les Aubrais (distributeur)'],,,,
21,Epices Quatre Saisons - Mosaïque - 250g,3700483800469,"['Sachet', 'Plastique']",['Mosaïque'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Arome De Rose 50cl -,3700483800902,,,,,['Magasins U'],['France'],"['Eau', 'arôme']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,,?,,?,,?,,?,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Jus Orange Bresil - JFA,3700490800032,,['JFA'],['Boissons'],,,['France'],[],[],?,,41,-27%,"0,1",-71%,"9,4",-17%,"0,7",+41%,,,172 kj(41 kcal),0,"8,7",0,0,,,,,0.1 g,en faible quantité,0 g,en faible quantité,8.7 g,en quantité élevée,0 g,en faible quantité,-29%,-100%,-8%,-100%,-100%,12,+57%,E,+57%,,,,,,,,,,,,,,
24,Nectar d'orange - Sans marque - 1L,3700490801008,"['Bouteille', 'Verre']","['Sans marque', 'JFA', ""Jus de fruits d'Alsace""]","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'orange""]",['Point Vert'],,['France'],"[""jus d'orange à base de jus concentré 50%"", 'eau', 'sucre', 'acidifiant : acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,37,-5%,"0,1",-41%,9,-1%,"0,1",-73%,,,155 kj(37 kcal),0,9,"0,03","0,012",['E330 - Acide citrique'],3,1 L,C,0.1 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0.03 g,en faible quantité,-5%,-100%,+6%,+165%,+165%,10,-1%,E,-1%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,Nectar d'orange à base de concentré et de purée de frais,['France'],,,,
25,Nectar d’orange à base de jus concentré - Norky - 2l,3700490801428,,['Norky'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Boissons avec sucre ajouté']",,,['France'],"[""Nectar d'orange à base de jus concentré"", ' Teneur en fruits 50% minimum', "" Ingrédients JUS d'orange à base de concentrés 50%"", 'eau', 'sucre', 'antioxydant : acide ascorbique']",[],?,,44,-10%,"0,1",-44%,"10,3",-10%,"0,3",-5%,,,184 kj(44 kcal),0,9,"< 0,03","0,012",['E300 - Acide ascorbique'],3,2 l,D,0.1 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0.03 g,en faible quantité,-9%,-100%,-16%,+213%,+213%,13,-4%,E,-4%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
26,Jus de pomme Alsace - Jfa,3700490805228,,['Jfa'],,,,['France'],[],[],?,,41,,"0,01",,10,,"0,5",,,,172 kj(41 kcal),"0,01","9,7","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Oh Coco - Johnsonville - 33cl e,3700490808038,"['Brique', 'Carton']",['Johnsonville'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Eaux de coco', 'Boissons sans sucre ajouté', 'Boissons aromatisées']",,,['France'],"['Eau de coco', 'arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,,8,-58%,0,-100%,2,-56%,0,-100%,,,33 kj(8 kcal),0,2,0,0,,4,33 cl e,,0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0 g,en faible quantité,-60%,-100%,-45%,-100%,-100%,2,-19%,C,-19%,,,,,,,,,,,,,,
28,Country Mix Muesli Aux Fruits -,3700496301250,,,,,,['France'],[],[],?,,349,,"5,1",,"61,7",,"9,5",,,,1460 kj(349 kcal),"2,2","17,4","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Wok Opéra,3700516000149,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
