,name,bar_code,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,traceability_code,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,additives,nova_score,quantity,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,generic_name,manufacturing,link,palm_ingredients,origin_detail,producer_info
1134,Scheiben,4056924000516,,,,"['Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",?,,277,,21,,22,,0,,,,1159 kj(277 kcal),"18,4",0,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Wald honig - DmBio - 500g,4058172048333,,['DmBio'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']","['Bio', 'Bio européen', 'DE-ÖKO-001', 'Fabriqué en Allemagne']",,['France'],[],[],?,,314,+8%,"0,5",+359%,78,+1%,"0,4",+23%,,,1314 kj(314 kcal),"0,1",78,"0,02","0,008",,,500 g,B,0.5 g,en faible quantité,0.1 g,en faible quantité,78 g,en quantité élevée,0.02 g,en faible quantité,+8%,+170%,+12%,+23%,+23%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,
1136,Pepsi Max 1.5 Litre,4060800103314,['pet-bottle'],['Pepsi'],,,,['France'],[],[],?,,0,,0,,0,,0,,,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,"Pepsi Max Cherry - 1,5l",4060800159816,"['Flasche', 'PET', 'Einwegpfand']",['Pepsi'],"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light', 'Limonades', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",,['Lidl'],"['France', 'Allemagne']","['KOFFEINHALTIGES ERFRISCHUNGSGETRÂNK MIT KALORIENARM', ' ZUCKER', ' Zutaten: Wasser', 'Kohlensàure', 'Farbstoff Zuckerkulôr E 150d', 'Sufiungsmittel Aspartam* und Acesulfam•K', 'Sauerungsmittel Phosphorsàure und Citronensaure', 'Aroma', 'Konservierungsstoff Kaliumsorbat', 'Aroma Koffein', "" 'enthalt eine Phenylalaninquelle Durs"", ""hschnittliche 100ml 250ml' Nâffrwerte pro""]",[],"2,4",+20%,?,,0,-100%,"0,08",-2%,"0,036",+6%,,,"2,4 kj(1 kcal)",0,"< 0,04","0,16","0,064","['E290 - Dioxyde de carbone', ""E150d - Caramel au sulfite d'ammonium"", 'E951 - Aspartame', 'E950 - Acésulfame K', 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,"1,5l",,0 g,en faible quantité,0 g,en faible quantité,0.04 g,en faible quantité,0.16 g,en quantité modérée,+20%,-100%,-18%,+932%,+932%,1,+2%,B,+2%,,,,,,,,,Zuckerfreies koffeinhaltiges Erfrischungsgetränk mit Süßungsmitteln,,,,,
1138,Légumes Pâtes Jambon - Hipp - 380g (2x 190g),4062300056060,"['Pot', 'Verre', 'Etui', 'Carton', 'Couvercle', 'Métal']",['Hipp'],"['Viandes', 'Aliments pour bébé', 'Plats principaux pour bébé', 'Dès 6 mois', 'Menus Viandes pour bébé', 'Petits pots pour bébé']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Magasins U'],['France'],"['Légumes* 62% ', 'carottes* 31%', 'tomates* 29%', 'oignons*', 'pâtes* moulues cuites ', 'semoule de blé* dur', ' 27%', 'jambon non salé* 8,6%', 'huile de colza* 0,9%', 'romarin*', "" *Produits issus de l'Agriculture Biologique""]",[],?,,66,-1%,"2,6",+18%,"7,2",-11%,"2,8",+1%,,['Gluten'],276 kj(66 kcal),"0,8","2,4","0,05","0,02",,1,380 g (2 x 190 g),,,,,,,,,,-2%,+26%,+34%,-75%,-75%,,,,,,,,,,,,,,,https://www.hipp.fr/diversification-alimentaire/nos-produits/menus-du-midi/pots/legumes-pates-jambon/,,,
1139,100% fruits pommes - Hipp - 400g (4x 100g),4062300126572,"['Etui', 'Carton', 'Coupelle', 'Plastique']",['Hipp'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Aliments pour bébé', 'Goûters et desserts pour bébé', 'Compotes', 'Dès 4 mois', 'Compotes de pomme', 'Dès 6 mois', 'Compotes pour bébé']","['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Sans sucre ajouté']",['Magasins U'],['France'],"['Pommes* 100%', 'antioxygène : acide ascorbique', ""\r*Produits issus de l'Agriculture Biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,50,-9%,"0,5",+102%,"11,2",-6%,"0,2",-54%,,,209 kj(50 kcal),0,"10,7","0,1","0,04",['E300 - Acide ascorbique'],1,400 g (4 x 100 g),B,,,,,,,,,-10%,-100%,+5%,+395%,+395%,,,,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,https://www.hipp.fr/diversification-alimentaire/nos-produits/fruits-et-desserts-lactes/fruits-en-coupelles/pommes/,,,
1140,Crème de Légumes Coquillettes - Hipp - 190g,4062300127241,"['Etui', 'Carton', 'Bol', 'Plastique']",['Hipp'],"['Aliments pour bébé', 'Dès 8 mois', 'Plats principaux pour bébé', 'Plats du soir pour bébé']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],"['Légumes* 63% ', 'carottes* 25%', 'tomates* 13%', 'courgettes* 12%', 'poivrons* 6%', 'oignons*', 'aubergines* 2%', 'concentré de tomates*', 'lait écrémé* 15%', 'pâtes* cuites ', 'blé dur*', ' 15%', 'semoule de riz*', 'huile de colza* 2,5%', 'antioxygènes ', 'acide ascorbique', 'extraits riches en tocophérol**', ""\r*Produits issus de l'Agriculture Biologique"", '\r**Extraits naturels de plantes']",['Non végétalien'],?,,72,+3%,"2,8",+24%,"8,7",-5%,"2,2",-2%,,"['Gluten', 'Lait']",301 kj(72 kcal),"0,3","2,9","0,05","0,02","['E300 - Acide ascorbique', 'E306 - Extrait riche en tocophérols']",1,190 g,,,,,,,,,,+4%,-46%,+5%,-75%,-75%,,,,,,,,,,,,,,,https://www.hipp.fr/diversification-alimentaire/nos-produits/menus-du-soir/bols/creme-de-legumes-coquillettes/,,,
1141,Fondue d'épinards Pommes de terre Saumon - Hipp - 230g,4062300163812,"['Etui', 'Carton', 'Assiette', 'Plastique']",['Hipp'],"['Aliments pour bébé', 'Dès 12 mois', 'Plats principaux pour bébé', 'Assiettes pour bébé', 'Menus Poissons pour bébé']","['Peu ou pas de sel', 'Peu de sel', 'Bio', 'en:gluten-free', 'Pêche durable']",['Magasins U'],['France'],"['Légumes* 68% ', 'pommes de terre* 44%', 'épinards* 17%', 'haricots verts* 5%', 'oignons*', 'lait écrémé*', 'eau de cuisson', 'saumon 8%', 'huile de tournesol*', 'amidon de riz*', 'sel iodé', 'aromates* ', 'livèche*', 'ail*', 'poivre*', 'antioxygènes ', 'acide ascorbique', 'extrait riche en tocophérol**']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,70,+8%,"2,5",+16%,"8,2",+4%,"3,1",+8%,,"['Poisson', 'Lait']",293 kj(70 kcal),"0,3","1,2","0,28","0,112","['E300 - Acide ascorbique', 'E306 - Extrait riche en tocophérols']",3,230 g,,,,,,,,,,+6%,-21%,-7%,+28%,+28%,,,,,,,,,,,,,,,https://www.hipp.fr/diversification-alimentaire/nos-produits/menus-du-midi/assiettes/fondue-d-epinards-pommes-de-terre-saumon/,,,
1142,"Menü Gemüsereis, Erbsen & zart Geschnetzeltes - Hipp",4062300166738,,['Hipp'],"['Plats préparés', 'Aliments pour bébé', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz']","['Sans gluten', 'de:Contient du lait', 'de:Pur bœuf', 'de:Sans gluten']",,"['France', 'Allemagne']","['Gemüse* 31% ', 'Karotten*', 'Tomaten*', 'Zwiebeln*', 'Erbsen* 2%', 'Was Reis* gekocht 26% ', 'Rindfleisch* 8% ', 'Milch * ', 'Sonnenblumenöl*', 'Gewürze jodiertes Speisesalz', ""Antioxidationsmittel' "", 'Ascorbinsäure', 'stark tocopherolhaltige Extrakte']","['Non végétalien', 'Non végétarien']",?,,75,-52%,"2,5",-45%,"9,2",-52%,"3,1",-52%,,['Lait'],314 kj(75 kcal),"0,4","1,3","0,48","0,192","['E300 - Acide ascorbique', 'E306 - Extrait riche en tocophérols']",3,,,,,,,,,,,-50%,-74%,-12%,-40%,-40%,,,,,,,,,,,,,,,,,,
1143,Soupe Légumes verts Petites pâtes - Hipp - 500ml (2x 250ml),4062300185746,"['Brique', 'Carton']",['Hipp'],"['Aliments pour bébé', 'Dès 12 mois', 'Dès 4 mois', 'Plats principaux pour bébé', 'Plats du soir pour bébé', 'Potages pour bébé']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'FR-BIO-10', 'en:FSC', 'FSC Mix', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs', 'Sans épaississant', 'en:peanut-free', 'Teneur limitée en sel']",,['France'],"['Légumes* 44% ', 'pommes de terre*', 'épinards* 10%', 'haricots verts* 10%', 'poireaux* 4%', 'lait écrémé* 31%', 'eau de cuisson', 'pâtes* cuites moulues ', 'semoule de blé dur*', ' 10%', 'huile de colza* 2,8%', 'sel iodé', 'aromates* ', 'livèche*', 'marjolaine*', ""\r*Produits issus de l'Agriculture Biologique""]","['Sans huile de palme', 'Non végétalien']",278,-0%,?,,3,+33%,"6,8",-26%,"2,3",+2%,['FSC-C020428'],"['Gluten', 'Lait']",278 kj(66 kcal),"0,2",2,"0,279","0,112",,3,500 ml (2 x 250 ml),,,,,,,,,,-4%,-64%,-28%,+38%,+38%,,,,,,,,,,,,,Soupe adaptée à l'enfant,,https://www.hipp.fr/diversification-alimentaire/nos-produits/menus-du-soir/soupes/soupe-legumes-verts-petites-pates/,,,
1144,Soupe 6 légumes Semoule - Hipp - 500ml (2x 250ml),4062300185777,"['Etui', 'Carton', 'Brique']",['Hipp'],"['Aliments pour bébé', 'Dès 4 mois', 'Dès 8 mois', 'Plats principaux pour bébé', 'Plats du soir pour bébé', 'Potages pour bébé']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'FR-BIO-10']",,['France'],"['lait écrémé* 45%', 'légumes* 37% ', 'carottes*', 'pommes de terre*', 'tomates*', 'céleri*', 'brocolis*', 'poireaux*', 'eau de cuisson', 'semoule de riz* 3,5%', 'huile de colza* 2,7%', 'aromates* ', 'persil*', 'livèche*', 'marjolaine*', 'poivre*', 'sel iodé', ""\r*Produits issus de l'Agriculture Biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,70,0%,3,+33%,"7,2",-22%,"2,5",+11%,,"['Céleri', 'Lait']",293 kj(70 kcal),"0,3",3,"0,28","0,112",,3,500 ml (2 x 250 ml),,,,,,,,,,+1%,-46%,+9%,+38%,+38%,,,,,,,,,,,,,,,https://www.hipp.fr/diversification-alimentaire/nos-produits/menus-du-soir/soupes/soupe-6-legumes-semoule/,,,
1145,Paella Mit Gemüse & Bio-hühnchen -,4062300208315,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Paëllas']","['Peu ou pas de sel', 'Peu de sel', 'en:gluten-free', 'Allégé en sel']",,['France'],"['Gemüse* 34% ', 'Karotten*', 'Mais*', 'Paprika*', 'Erbsen*', 'Tomaten Zwiebeln*', 'Wasser', 'Reis gekocht 26%', 'Hühnerfleisch* 9,8%', 'Sonnenblumenöl*', 'Zitronensaft* aus Zitronensaftkonzentrat', 'Stärke', 'jodiertes Speisesalz', 'Gewürze*', 'Antioxidationsmittel ', 'Ascorbinsäure', 'stark to copherolhaltige Extrakte', ' *Aus biologischer Erzeugung']","['Non végétalien', 'Non végétarien']",?,,84,-40%,"2,8",-40%,"10,4",-36%,"0,48",-93%,,,351 kj(84 kcal),"0,6","1,1","0,19","0,076",['E300 - Acide ascorbique'],3,,C,2.8 g,en faible quantité,0.6 g,en faible quantité,1.1 g,en faible quantité,0.19 g,en faible quantité,-40%,-43%,-4%,-79%,-79%,1,+9%,B,+9%,74.9%,10.9%,3.7%,6.9%,2.1%,1.5%,60,,,,,,,
1146,Légumes Papate Douce Poulet - Hipp - 220g,4062300222076,"['Etui', 'Carton', 'Bol', 'Plastique']",['Hipp'],"['Viandes', 'Aliments pour bébé', 'Dès 12 mois', 'Plats principaux pour bébé', 'Menus Viandes pour bébé']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],"['Légumes* 38% ', 'pommes de terre* 16%', 'carottes* 14%', 'patates douces* 6%', 'oignons*', ',\reau de cuisson', 'riz* cuit', 'poulet* 8,4%', 'beurre*', 'huile de colza* 0,9%', 'aromates* ', 'persil*', 'livèche*', 'sel iodé', 'antioxygènes ', 'acide ascorbique', 'extraits riches en tocophérol**', ""\r*Produits issus de l'Agriculture Biologique"", '\r**Extraits naturels de plantes']","['Non végétalien', 'Non végétarien']",?,,70,+4%,"2,8",+27%,"8,1",+0%,"2,5",-10%,,['Lait'],293 kj(70 kcal),"0,9",1,"0,35","0,14","['E300 - Acide ascorbique', 'E306 - Extrait riche en tocophérols']",3,220 g,,,,,,,,,,+4%,+42%,-44%,+74%,+74%,,,,,,,,,,,,,,,https://www.hipp.fr/diversification-alimentaire/nos-produits/menus-du-midi/bols/legumes-patate-douce-poulet/,,,
1147,Bio Kindermilch Trinkfertig - Carrefour Bio,4062300240636,,['Carrefour Bio'],,['Bio'],['Carrefour'],['France'],[],[],?,,66,,"2,7",,"8,5",,"1,9",,,,276 kj(66 kcal),1,"8,5","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Légumes du Jardin Pâtes Colin d Alaska - Hipp - 190g,4062300242777,"['Etui', 'Carton', 'Bol', 'Plastique']",['Hipp'],"['Aliments pour bébé', 'Plats principaux pour bébé', 'Menus Poissons pour bébé', 'Dès 6 mois']","['Bio', 'Bio européen', 'AT-BIO-301', 'Pêche durable']",,['France'],"['Légumes* 38% ', 'carottes* 22%', 'brocolis* 8%', 'tomates* 6%', 'oignons*', 'eau de cuisson', 'pâtes* cuites ', 'blé dur', ' 15%', ""colin d'Alaska 10,5%"", 'lait écrémé*', 'farine de riz*', 'huile de colza* 1,6%', 'amidon de riz*', 'beurre* 1%', 'jus de citron* à base de concentré de jus de citron', 'aneth*', 'antioxygènes ', 'acide ascorbique', 'extraits riches en tocophérol**', ""\r*Produits issus de l'Agriculture Biologique"", ' **Extraits naturels de plantes', ""\r87% des ingrédients d'origine agricole ont été obtenus selon les règles de la production biologique"", ' Ces ingrédients sont completés avec du poisson pêché en haute mer']","['Non végétalien', 'Non végétarien']",283,+4%,?,,"2,7",+25%,7,-11%,"3,2",+11%,,"['Poisson', 'Gluten', 'Lait']",283 kj(68 kcal),"0,7","1,7","0,1","0,04","['E300 - Acide ascorbique', 'E306 - Extrait riche en tocophérols']",3,190 g,,,,,,,,,,+2%,+85%,+32%,-54%,-54%,,,,,,,,,,,,,,,https://www.hipp.fr/diversification-alimentaire/nos-produits/menus-du-midi/bols/legumes-du-jardin-pates-colin-d-alaska/,,,
1149,Bol Purée De Pommes De Terre Carottes B?uf Hipp 190 g +,4062300242807,"['Etui', 'Carton', 'Bol', 'Plastique', 'Sans BPA', 'Sans Phtalates']",['Hipp'],"['Viandes', 'Aliments pour bébé', 'Plats principaux pour bébé', 'Dès 6 mois', 'Menus Viandes pour bébé']","['Peu ou pas de sel', 'Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'AT-BIO-301', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans sel ajouté', 'Sans colorants', 'Sans œufs', 'Sans arômes ajoutés', 'Sans conservateurs', 'en:peanut-free', 'Sans amidons modifiés', 'Sans produits laitiers']",,['France'],"['Légumes* 75% ', 'carottes* 48%', 'pommes de terre* 27%', 'eau de cuisson', 'bœuf* 8,1%', 'amidon de riz*', 'huile de colza* 1,5%', 'antioxygènes ', 'acide ascorbique', 'extraits riches en tocophérol**', "" *Produits issus de l'Agriculture Biologique"", ' **Extraits naturels de plantes']","['Non végétalien', 'Non végétarien']",?,,66,-1%,"2,6",+18%,"7,5",-7%,"2,4",-14%,['AT 40528 EC'],,276 kj(66 kcal),"0,6","2,1","0,1","0,04","['E300 - Acide ascorbique', 'E306 - Extrait riche en tocophérols']",3,190 g,,,,,,,,,,-2%,-5%,+17%,-50%,-50%,,,,,,,,,,,,,,['Autriche'],https://www.hipp.fr/diversification-alimentaire/nos-produits/menus-du-midi/bols/puree-de-pommes-de-terre-carottes-boeuf/,,,
1150,Gourde Pommes Myrtilles Grenades Hipp 90G + - 90g,4062300250666,"['Gourde', 'Plastique']",['Hipp'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Aliments pour bébé', 'Goûters et desserts pour bébé', 'Compotes', 'Compotes à boire', 'Dès 6 mois', 'Compotes pour bébé']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],"['Fruits* 100% ', 'pommes* 88%', 'myrtilles* 7%', 'jus de grenades* 3%', ""jus d aronias* à base de concentré de jus d'aronias*"", 'acérolas* 1%', 'antioxygène : acide ascorbique', "" *Produits issus de l'Agriculture Biologique""]",[],?,,50,-9%,"0,1",-60%,"11,2",-6%,"0,2",-54%,,,209 kj(50 kcal),0,"10,6","0,05","0,02",['E300 - Acide ascorbique'],1,90 g,B,,,,,,,,,-10%,-100%,+4%,+148%,+148%,,,,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,https://www.hipp.fr/diversification-alimentaire/nos-produits/fruits-et-desserts-lactes/fruits-en-gourdes/pommes-myrtilles-grenades/,,,
1151,Les Pré-maternelles Pâtes de la Mer Légumes Colin d’Alaska - Hipp - 230g,4062300256873,,['Hipp'],"['Aliments pour bébé', 'Dès 12 mois']","['Bio', 'Nouveau']",['Magasins U'],['France'],"['Légumes* 56% ', 'tomates*', 'carottes*', 'poivrons* 3%', 'poireaux*', 'oignons*', 'pâtes* cuites ', 'eau', 'blé dur', ""blanc d'œufs* de poules"", 'œufs*', ' 27%', ""colin d'Alaska 9,8%"", 'crème*', 'farine de riz*', 'huile de tournesol*', 'amidon de riz*', 'aromates* ', 'paprika*', 'ail*', 'marjolaine*', 'poivre*', 'sel iodé', 'antioxygènes ', 'acide ascorbique', 'extrait riche en tocophérol¹', ""\r¹Extrait naturel de plantes\r*Produits issus de l'Agriculture Biologique\r90% des ingrédients d'origine agricole ont été obtenus selon les règles de la production biologique"", ' Ces ingrédients sont complétés avec du poisson pêché en haute mer']","['Non végétalien', 'Non végétarien']",?,,70,-39%,"2,4",-0%,"8,3",-34%,"3,2",+9%,,"['Œufs', 'Poisson', 'Gluten', 'Lait']",293 kj(70 kcal),"0,8","1,9","0,23","0,092","['E300 - Acide ascorbique', 'E306 - Extrait riche en tocophérols']",3,230 g,,,,,,,,,,-28%,+13%,-50%,+8%,+8%,,,,,,,,,,,,,,,https://www.hipp.fr/diversification-alimentaire/nos-produits/menus-du-midi/assiettes/pates-de-la-mer-legumes-colin-dalaska/,,,
1152,Verduras y arroz con pavo - Hipp,4062300367098,,['Hipp'],"['Aliments pour bébé', 'Dès 12 mois']","['Bio', 'Bio européen', 'en:gluten-free']",,['France'],[],[],?,,277,+143%,"2,9",+20%,"7,1",-43%,"2,5",-15%,,,1159 kj(277 kcal),"0,5","0,8","0,28","0,112",,,,,,,,,,,,,+183%,-30%,-79%,+32%,+32%,,,,,,,,,,,,,,,,,,
1153,"Joghurt, Vanille",4062800000747,,,,,,['France'],[],[],?,,111,,"3,4",,"16,6",,"3,6",,['DE BW-075 EG'],,464 kj(111 kcal),"2,2","16,2","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,Grünkohl - Stollenwerk - 660g,40685502,['Glas'],['Stollenwerk'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Choux cabus']",,,"['France', 'Allemagne']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,660 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,"Zitronen T, Zitrone",4070700070012,,,,,,['France'],[],[],?,,44,,"0,5",,11,,"0,5",,,,184 kj(44 kcal),"0,1",11,"0,003","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,"Müsli Nuss Mandel, Mit Ur Süsse",4083900073882,,,,,,['France'],[],[],?,,473,,"20,6",,"57,1",,"10,5",,,,1979 kj(473 kcal),"7,4",26,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,Kuhne Salatfix Dressing Do Sałatek Jogurtowy,40804873,,['Kuhne'],,"['Sans colorants', 'Sans conservateurs']",,['France'],[],[],?,,211,,17,,12,,"1,7",,,,883 kj(211 kcal),"1,2","7,9","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Panecillos Tostados - La Cestera,40874937,,['La Cestera'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés', 'Petits pains grillés']",,,"['France', 'Espagne']",[],[],?,,405,+0%,"7,6",-10%,73,+8%,"9,3",-11%,,,1695 kj(405 kcal),3,"8,6",1,"0,4",,,,B,7.6 g,en quantité modérée,3 g,en quantité modérée,8.6 g,en quantité modérée,1 g,en quantité modérée,-0%,+85%,+48%,-13%,-13%,12,+124%,D,+124%,64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,,,,,,,
1159,Tubes Goût bacon - Crusti Croc - 125g,40875514,,['Crusti Croc'],,,,['France'],[],[],?,,527,,"30,3",,"56,7",,"5,4",,,,2205 kj(527 kcal),"2,6","5,1","2,85","1,14",,,125 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Monsoon Malabar Espresso - Bellarom,40876252,,['Bellarom'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,"['France', 'Espagne']",[],[],?,,5,-90%,0,-100%,0,-100%,0,-100%,,,21 kj(5 kcal),0,0,0,0,,,,,,,,,,,,,-91%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,,,,,,
1161,Carpaccio -  - 90g,40876771,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Carpaccio de boeuf']",,,"['France', 'Espagne']",[],[],?,,201,-1%,"13,8",-2%,"0,6",+156%,"18,3",-4%,,,841 kj(201 kcal),"5,2","0,6","3,1","1,24",,,90 g,,13.8 g,en quantité modérée,5.2 g,en quantité élevée,0.6 g,en faible quantité,3.1 g,en quantité élevée,-1%,+106%,+282%,+332%,+332%,17,+829%,D,+829%,,,,,,,,,,,,,,
1162,quinoa & fruta - Sondey,40881607,,['Sondey'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,"['France', 'Espagne']",[],[],?,,473,-0%,22,+6%,60,-6%,"6,9",+6%,,,1979 kj(473 kcal),11,29,"0,98","0,392",,,,C,22 g,en quantité élevée,11 g,en quantité élevée,29 g,en quantité élevée,0.98 g,en quantité modérée,-1%,+9%,-2%,+66%,+66%,25,+26%,E,+26%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
1163,Emmental râpé - Milbona - 3x 70g,40882031,['Sachets plastiques'],['Milbona'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français', 'Fromages râpés', 'Emmentals râpés']",,['Lidl'],"['Belgique', 'France']",[],[],?,,369,-1%,29,+0%,"0,5",-45%,27,-1%,,,1544 kj(369 kcal),19,"0,5","0,7","0,28",,,3 x 70g,D,29 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,0.7 g,en quantité modérée,-1%,-4%,+24%,-8%,-8%,12,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
1164,Faux filet de boeuf - Lidl,40882239,,['Lidl'],"['Viandes', 'Bœuf', 'Faux-filet de boeuf', 'en:Raw-beef-sirloin-steak']","['Viande Française', 'Viande-bovine-francaise']",['Lidl'],['France'],[],[],?,,151,-16%,"6,7",-31%,"0,6",-43%,22,+9%,,,632 kj(151 kcal),"1,7",0,"0,08","0,032",,,,E,6.7 g,en quantité modérée,1.7 g,en quantité modérée,0 g,en faible quantité,0.08 g,en faible quantité,-16%,-57%,-100%,-93%,-93%,-3,-157%,A,-157%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,['France'],,,,,,
1165,Rouleaux d'anchois avec câpres -  - 85g,40889573,,,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",,['Lidl'],['France'],[],[],?,,173,-15%,"7,3",-42%,"0,5",-65%,26,+25%,['ES 12.10544/SS CE'],,724 kj(173 kcal),"0,2","0,5","14,5","5,8",,,85 g,B,7.3 g,en quantité modérée,0.2 g,en faible quantité,0.5 g,en faible quantité,14.5 g,en quantité élevée,-16%,-92%,+89%,+114%,+114%,12,-4%,D,-4%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,['Espagne'],,,,
1166,Makrelen Filets - OceanSea,40891064,,['OceanSea'],,,,['France'],"['Makrelenfilets', 'Speisesalz', 'Rauch', ' Unte']","['Non végétalien', 'Non végétarien']",?,,252,,20,,0,,18,,,['Poisson'],1054 kj(252 kcal),"4,2",0,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
