,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,traceability_code,additives,allergens,nova_score,markets,manufacturing,ingredients_origins,link,palm_ingredients,origin_detail
700,Dove Gel Douche Nutrition Intense - Divers - 55ml,8712561790017,['France'],"['Aqua', 'Cocamidopropyl Betaine', 'Sodium Hydroxypropyl Starch Phosphate', 'Lauric Acid', 'Sodium Lauroyl Glycinate', 'Sodium Lauroyl Isethionate', 'Hydrogenated Soybean Oil', 'Sodium Chloride', 'Helianthus Annuus Seed Oil', 'Glycerin', 'Parfum', 'Sodium Benzoate', 'Guar Hydroxypropyltrimonium Chloride', 'Citric Acid', 'Sodium Hydroxide', 'Stearic Acid', 'Undecylenoyl Glycine', 'Capryloyl Glycine', 'Sodium Isethionate', 'Palmitic Acid', 'Tetrasodium EDTA', 'Caprylic Acid', 'Capric Acid', 'Benzyl Alcohol', 'Citronellol', 'Hexyl Cinnamal', 'Limonene', 'Linalool']",[],?,?,,?,,?,,?,,,"['Divers', 'Dove']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gel Douche,55 ml,"['Bouteille', 'HDPE']",,"['E570 - Acide stéarique', 'E422 - Glycérol', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E330 - Acide citrique', 'E1519 - Alcool benzylique']",,4,,,,,,
701,Saumon fumé - Auchan,3596710488414,['France'],[],[],?,757,3167 kj(757 kcal),10,"1,5","0,5","0,5",22,3,"1,2",['Auchan'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,10 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,,+309%,+310%,-5%,-27%,+1%,+50%,-0%,+6%,+6%,20,+53%,E,+53%,E,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,['Auchan'],,,,,
702,Bouillon de poulet - Knorr,8711200495115,['France'],[],[],?,5,21 kj(5 kcal),0,0,"0,8","0,1","0,4","1,1","0,44",['Knorr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Pan-fried gnocchi pumpkin,8001665713467,['France'],[],[],?,236,987 kj(236 kcal),35,"0,9",42,11,"5,6","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Sauce Deroni Soy Naturally Brewed 250ML 1 / 6,3800740010577,['France'],[],[],?,79,331 kj(79 kcal),"0,4","0,1",15,"9,5","4,4",12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Saumon fumé salé - Labeyrie,3033610067399,['France'],[],[],?,198,828 kj(198 kcal),12,"2,5","0,6","0,6",22,"2,9","1,16",['Labeyrie'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,12 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,2.9 g,en quantité élevée,,+7%,+7%,+14%,+21%,+21%,+80%,-0%,+3%,+3%,14,+7%,D,+7%,E,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,['ASC-C-00777'],,,,,,,,,
706,Spaghetti tagliati,8005121000696,['France'],[],[],?,355,1485 kj(355 kcal),"1,7","0,9",72,"3,9",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Panettone Gourmet au Limoncello - Ciro,3760014290206,['France'],[],[],?,400,1674 kj(400 kcal),20,12,47,19,"7,4","0,6","0,24",['Ciro'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,20 g,en quantité modérée,12 g,en quantité élevée,19 g,en quantité élevée,0.6 g,en quantité modérée,,+7%,+7%,+33%,+33%,-9%,-27%,+8%,+36%,+36%,20,+8%,E,+8%,C,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,
708,Foie gras de canard entier,3432770056708,['France'],[],[],?,?,,?,,?,,?,,,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,,,,,,,,,,,,,,,,,,,,,,,B,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,
709,Grosso,8016926951045,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,La compotée d'échalotes confites aux framboises,3598962011235,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,lingettes  désinfectantes - primoplast - 10lingettes,3564700824108,['France'],"[""Composés de l'ammonium quaternaire"", 'benzyl-C12-16-alkyldimethyl', 'chlorures ', 'N° CAS 68424-85-1', ' à 0,5% ', 'm/m', ' Conservateurs ', 'phenoxyethanol', 'sodium benzoate', 'iodopropynyl butylcarbamate', "" Produits biocides destinés à l'hygiène humaine "", 'TPI', ' Surfaces en contact wec les denrées alimentaires et les aliments pour tlimaux ', 'TP4']",[],?,?,,?,,?,,?,,,['Primoplast'],"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 lingettes,"['Plastique', 'Sachet en plastique']",['02317200811'],"['E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,,['Leclerc'],['UE'],,http://www.marquerepere..com,,
712,3215190004371,3215190004371,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,4005900754844,4005900754844,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,Bloc de foie gras de canard du Sud-Ouest avec Morceaux,3033610033813,['France'],[],[],?,511,2138 kj(511 kcal),53,23,2,"1,6","6,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Pannetone,3760077534439,['France'],[],[],?,385,1611 kj(385 kcal),15,"8,7",54,26,"7,3","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Boisson au gingembre - Bangs - 60ml,5706296902565,['France'],[],[],?,40,167 kj(40 kcal),"< 0,1",0,"19,5","9,56","0,3","0,1","0,04",['Bangs'],,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60ml,['Plastic'],,,,,,['Denmark'],"['Union européenne', 'Pérou']",,,
717,"Courgettes grillées Saveur Truffe d'été 1,1% - L'atelier Bernard Marot",3760280490737,['France'],[],[],?,195,816 kj(195 kcal),"17,5","1,2","7,3","5,7","1,4","1,6","0,64","[""L'atelier Bernard Marot""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Mango geschmack,8858871831023,['France'],[],[],?,0,0 kj(0 kcal),0,0,39,2,37,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Comida Para Perros Mediano / Maxi Ultima Nature Cordero 3 KG,8410650220307,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Pulp - Carrefour,3560071252311,['France'],[],[],?,39,163 kj(39 kcal),"0,5",0,"9,2","9,2","0,5",,,['Carrefour'],,"['Nutriscore', 'Nutriscore E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,
721,16 Petits fours,3660133005401,['France'],[],[],?,286,1197 kj(286 kcal),13,"4,1",37,23,"5,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Saumon fumé islande - Petit Navire,3760253432559,['France'],[],[],?,205,858 kj(205 kcal),13,"1,9","0,5","0,5",22,3,"1,2",['Petit Navire'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,13 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,,+11%,+11%,+24%,-8%,+1%,+50%,-0%,+6%,+6%,13,-1%,D,-1%,E,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,
723,Saumon fume bio,3033610076414,['France'],[],[],?,198,828 kj(198 kcal),12,"2,5","0,6","0,6",22,"2,9","1,16",,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,12 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,2.9 g,en quantité élevée,,+7%,+7%,+14%,+21%,+21%,+80%,-0%,+3%,+3%,14,+7%,D,+7%,E,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,
724,3272932000343,3272932000343,['France'],"['Eau', 'légumes 56 % ', 'pommes de terre*', 'haricots blanc', ' carottes*', 'navets*', 'poireaux*', 'choux blanc*', 'choux vert*', 'ventrêche“', 'sel', ' *ingrédients issus de l’agriculture biologique']",[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,Puree de pomme fraise myrtille - Auchan,3596710483518,['France'],[],[],?,48,201 kj(48 kcal),"0,5","0,1",11,"9,6","0,5",,,['Auchan'],,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Nutriscore', 'Nutriscore A', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bouchon en plastique', 'Etui en carton']",,,,,['Auchan'],,,,,
726,Mild & Cremig - Bergader - 100g,4006402015112,['France'],"['Pasteurisierte Milch', 'Kochsalz', 'Käse - reikulturen', 'mikrobieller Labaustauschstoff', ' Von Natur aus laktosefrei* und glutenfrei', ' *Laktosegehalt', ' <0,1 g/100 g', ' 60 % Fett i', 'Tr']",['Non végétalien'],?,369,1544 kj(369 kcal),"33,4","21,9",3,"0,1","17,1","2,3","0,92",['Bergader'],['de:Weichkäse mit Blauschimmel'],"['en:FSC', 'Sans OGM', 'en:Ohne Gentechnik', 'de:DE BY 13049 EG']",33.4 g,en quantité élevée,21.9 g,en quantité élevée,0.1 g,en faible quantité,2.3 g,en quantité élevée,,,,,,,,,,,24,,E,,,,,,,,,,,100 g,"['Pappe', 'Kunststoff', 'Papier']",['BY 13049'],,['Lait'],,['REWE'],['83229 Wagging'],['Allemagne'],http://bergader.de/1902,,
727,Pur jus de fruits des bois,8410261613130,['France'],[],[],?,52,218 kj(52 kcal),0,0,12,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,Bûche glacée - otantic,3760244101204,['France'],[],[],?,202.66,848 kj(202 kcal),"10,75","6,7","21,92","6,21","4,02","0,56","0,224",['Otantic'],['Carton'],,10.8 g,en quantité modérée,6.7 g,en quantité élevée,6.21 g,en quantité modérée,0.56 g,en quantité modérée,,,,,,,,,,,11,,D,,,,,,,,,,,,,,,,,,,,,,
729,Dattes,3760152080509,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,Labryrie foie gras degustation,3033610030843,['France'],[],[],?,534,2234 kj(534 kcal),55,23,"2,4","1,9","7,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Foie gras de canard entier mi-cuit du Sud-Ouest au Sauternes,3277163371217,['France'],[],[],?,419,1753 kj(419 kcal),"40,6","17,07","1,9","1,4","11,7","1,48","0,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,02107725,02107725,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Ravioli bolognaise -  - 800g,3261055951090,['France'],"['Eau 48%', 'ravioli 27% [semoule de blé dur', 'eau', 'viande de bœuf 5%', 'chapelure ', 'farine de blé', 'sel', 'levure', 'carottes', 'sel', ""blanc d'œuf"", 'oignons déshydratés]', 'viande de boeuf 10%', 'triple concentré de tomate 7', '2%', 'vin blanc', 'carottes', 'oignons', 'céleri', 'sucre', 'huile de colza', 'sel', 'persil', 'ail en poudre', 'arômes naturels']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",410,98,410 kj(98 kcal),"3,5","1,5",11,2,"4,9","0,8","0,32",,"['Conserves', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Pates farcies à la viande', 'Ravioli', 'Plats préparés en conserve', 'Ravioli à la viande', 'Ravioli en conserve', 'Raviolis à la viande en conserve']",,3.5 g,en quantité modérée,1.5 g,en quantité modérée,2 g,en faible quantité,0.8 g,en quantité modérée,+10%,+8%,+8%,+40%,+72%,-11%,-15%,+32%,-7%,-7%,1,-45%,B,-45%,E,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,Ravioli à la bolognaise,800g,"['Conserve', 'métal']",,,"['Céleri', 'Œufs', 'Gluten']",4,,,,,,
734,Délice de pommes et des éclats de pain d'épices - Ducs de Gascogne - 90g,3382565479604,['France'],"['Pomme', 'sucre', 'pain dépices ', 'farine de blé ', 'gluten', 'miel', 'cassonade', 'lait', 'acidifiant : carbonate de sodium', 'cannelle', 'gingembre', 'coriandre', "" Peut contenir des traces d'euf"", 'de fruits à coques et de soja']",['Non végétalien'],341,80,341 kj(80 kcal),"0,3","0,15",21,20,"0,5","0,1","0,04",['Ducs de Gascogne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes sans sucres']",,0.3 g,en faible quantité,0.15 g,en faible quantité,20 g,en quantité élevée,0.1 g,en faible quantité,+50%,+36%,+39%,-21%,+81%,+63%,+72%,+8%,+424%,+424%,0,,B,,A,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,90 g,['Bocal'],,['E500i - Carbonate de sodium'],"['Gluten', 'Lait']",4,,,,,,
735,07082538,07082538,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,Actimel 100% Pflanzlich - 582ml,4009700040329,['France'],"['Wasser', '3% Mandel', 'brauner Rohr - zucker', 'Stärke', 'Hafersirup', 'Erbsenprotein', 'Calciumphosphate', 'natürliches Aroma', 'Milchsäurekulturen ', 'S', ' thermophilus', 'L casei', 'Vitamin B6 und D']",[],?,55,230 kj(55 kcal),"2,1","0,2","7,1","3,9","1,9",,,['Actimel'],,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582 ml,['Kunststoff'],,,,,,,,,,
737,Fondants de légumes potirons - Lidl,4056489277996,['France'],[],[],?,132,552 kj(132 kcal),10,6,7,3,3,"0,4","0,16",['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Etui en carton'],,,,,,,,,,
738,6 médaillons de haut de cuisse de dinde sans peau,3435660771026,['France'],[],[],?,124,519 kj(124 kcal),"4,3","1,2","0,6","0,1",21,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Saumon le bio délicat - Labeyrie,3033610084419,['France'],[],[],?,198,828 kj(198 kcal),12,"2,5","0,6","0,6",22,"2,9","1,16",['Labeyrie'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']","['Bio', 'Bio européen', 'Agriculture non UE', 'FR-BIO-10', 'AB Agriculture Biologique', 'Fumé en France']",12 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,2.9 g,en quantité élevée,,+7%,+7%,+14%,+21%,+21%,+80%,-0%,+3%,+3%,14,+7%,D,+7%,D,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,"['Frais', 'Sous vide']","['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,,,['France'],,,,
740,Corn,6935897607176,['France'],[],[],?,107,448 kj(107 kcal),"0,2",0,"23,1",0,"3,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,5453003481065,5453003481065,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Beurre doux 60% mg - Carrefour,3560071263508,['France'],[],[],?,553,2314 kj(553 kcal),60,40,"1,8","1,8","1,4","0,05","0,02",['Carrefour'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres doux', 'en:Beurres allégés']","['Lait Français', 'Nutriscore', 'Nutriscore D']",60 g,en quantité élevée,40 g,en quantité élevée,1.8 g,en faible quantité,0.05 g,en faible quantité,,-24%,-24%,-26%,-27%,+143%,+165%,+105%,-19%,-19%,16,-14%,D,-14%,D,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,['Frais'],"['FR 63.113.051 CE', 'Clermont-Ferrand (Puy-de-Dôme, France)']",,,,['Carrefour'],,['France'],,,
743,Terrine de homard & tourteau et sa Julienne de légumes - Guyader - 350g,3276770248233,['France'],"[""COLIN d'Alaska "", '22,5%', 'pulpe de HOMARD ', '19%', 'eau', 'CRABE-TOURTEAU ', '11%', 'huile de colza', 'carottes ', '7,5%', 'courgettes ', '3,5%', 'CRÈME fraîche', 'tapioca', ""vinaigre d'alcool"", 'fécule de pomme de terre', 'ciboulette', 'épaississant : carraghénanes ', ' extrait de CRUSTACÉ', 'laitue de mer', 'double concentré de tomates', 'champignons noirs', 'sel', 'yuzu', 'fibres de pousses de bambou', 'paprika', 'sucre', 'poivre', 'jus concentré de carottes piment']","['Non végétalien', 'Non végétarien']",?,129,540 kj(129 kcal),"8,7","1,4","4,2","0,7","7,2","0,9","0,36",['Guyader'],"['Terrines', 'Terrine de fruits de mer', 'Terrine de fruits de mer avec poisson']","['Sans arômes artificiels', 'en:produced-in-bretagne']",8.7 g,en quantité modérée,1.4 g,en faible quantité,0.7 g,en faible quantité,0.9 g,en quantité modérée,,-57%,-57%,-66%,-85%,+94%,-10%,-49%,-41%,-41%,1,-94%,B,-94%,E,89.4%,3.6%,1.3%,4.8%,0.7%,0.2%,23,,350 g,"['Carton', 'Plastique']",,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Crustacés', 'Poisson', 'Lait']",4,,,,,,
744,Cannelloni bolognaise - Carrefour - 1kg,3560071237455,['France'],"['Eau', 'pâtes alimentaires 13% ', 'eau', 'semoule de blé dur', 'uf en poudre', 'sel', 'viande de bæuf 11% ', 'origine France', 'double concentré de tomates 5,6%', 'concassé de tomates 5,5% ', 'dés de tomates', 'jus de tomate', 'oignon en dés', 'amidon de maïs', 'emmental 2', '5%', 'carotte', 'lait entier en poudre', 'farine de blé', 'oignon déshydraté', 'sel', 'oignon préfrit ', 'oignon', 'huile de tournesol', 'chapelure ', 'farine de blé', 'levure', 'sel', 'huile de tournesol', 'céleri', 'sucre', 'beurre', 'basilic 0,1%', 'ail', 'origan', 'poivre', 'laurier', 'thym']",['Non végétalien'],?,106,444 kj(106 kcal),"4,1","1,5",12,"2,9","4,8","0,7","0,28",['Carrefour'],"['Viandes', 'Plats préparés', 'Plats à base de pâtes', 'Préparations de viande', 'Pâtes farcies', 'Cannelloni préparés', 'Cannelloni à la bolognaise']","['Nutriscore', 'Nutriscore C']",4.1 g,en quantité modérée,1.5 g,en quantité modérée,2.9 g,en faible quantité,0.7 g,en quantité modérée,,-12%,-12%,-9%,-13%,-10%,+1%,-14%,-13%,-13%,3,+78%,C,+78%,D,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,,1 kg,,,,"['Céleri', 'Gluten', 'Lait']",3,['Carrefour'],,,,,
745,Proviant Schorle Maracuja & Orange,4260178739775,['France'],[],[],?,23,96 kj(23 kcal),0,0,"5,4","5,4",0,0,0,,,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Les gateaux basque à la cerise noire,3411810000406,['France'],[],[],?,362,1515 kj(362 kcal),12,"7,8",58,37,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,DUKKAH TRADI,9782253100492,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,FLAN au lait entier,,['France'],[],[],?,211,883 kj(211 kcal),"9,5","6,2","27,9","18,9","3,2","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Santa Rosa Confettura Pesche 600G,8001080024902,['France'],[],[],?,247,1033 kj(247 kcal),0,0,61,54,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Sachet apéro party - Boehli - 125g,3185610501257,['France'],"['Cacahuètes 38%', 'farine de blé', 'raisins secs 20%', 'huile de tournesol', 'sel', 'graines de pavot', 'farine de blé malté', 'arôme de fumée', 'levure', ""correcteur d'acidité : hydroxyde de sodium""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1970,471,1970 kj(471 kcal),22,"2,6",50,17,16,"1,4","0,56",['Boehli'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Bretzels']","['Végétarien', 'Végétalien']",22 g,en quantité élevée,2.6 g,en quantité modérée,17 g,en quantité élevée,1.4 g,en quantité modérée,+19%,+22%,+22%,+350%,+177%,-30%,+691%,+44%,-56%,-56%,11,-11%,D,-11%,B,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,125 g,['Sachet'],,['E524 - Hydroxyde de sodium'],"['Gluten', 'Arachides']",4,,"['France', 'Alsace', 'Gundershoffen']",,https://www.boehli.fr/,,"UE, hors UE"
751,Concombre marinés,5285001400584,['France'],[],[],?,13,54 kj(13 kcal),"0,2",0,"2,2","1,1","0,3",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Brie - F. Frais Auvergne - 150g,3270500150193,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,['F. Frais Auvergne'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries', 'Fromage à pâte molle']",,,,,,,,,,,,,,,,,,,,,,,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,150 g,['Plastique'],"['FR 63.019.003 CE', 'Aulnat (Puy-de-Dôme, France)']",,,,,"['ZAC Les Ronzières', '63510', 'Aulnat']",,,,
753,Biscuits - Assorted Music Tin,4006894187205,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Semoule de maïs complète grosse polenta - Moulin des moines,3347430020862,['France'],[],[],?,356,1490 kj(356 kcal),"0,5","0,1","79,5","0,5","6,9","0,9","0,36",['Moulin des moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales', 'Semoules de maïs', 'Semoules de maïs pour polenta']","['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique']",0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.9 g,en quantité modérée,,+6%,+5%,-66%,-57%,+11%,-22%,-3%,+529%,+529%,3,,C,,B,70.7%,16.5%,7.5%,3.4%,2.0%,0.0%,81,,,,,,,,,,,,,
755,Thé Chaï,3422150002227,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Mousse de foie de volaille - castel loubeyrac - 200g,3454779123038,['France'],"['agrédients: Volaille ', 'peau 40% et foie 34%', ' sàu', 'facine de riz', 'protéines de lait', 'sel', 'sucre poivre', 'conservateur:E250', "" taces éventuelles d'oeufs""]","['Non végétalien', 'Non végétarien']",1256,0,1256 kj(0 kcal),25,10,1,"0,5","12,8","1,2","0,48",['castel loubeyrac'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Produits à la viande', 'Terrines', 'Mousses salées', 'Terrines de foie', 'Mousses de foies', 'Mousses de foies de volailles']",,25 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,,-100%,-8%,-16%,-7%,-60%,-57%,+21%,-22%,-22%,17,-7%,D,-7%,,,,,,,,,,200 g,['boite métallique'],"['FR 18.159.001 CE', 'Nançay (Cher, France)']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,4,,,,,,
757,3660668003439,3660668003439,['France'],['Vin blanc'],"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Purée fine d'Aubergine et Tomate - 4 mois - Little Gustave - 130g,3770014719874,['France'],"['Aubergine 40%', 'Tomate 30%', 'Pomme de terre 29%', 'Huile de colza 1%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",188,45,188 kj(45 kcal),"1,2","0,1",6,"1,8","1,3","0,01","0,004",['Little Gustave'],"['Aliments pour bébé', 'Plats principaux pour bébé', 'Petits pots aux légumes pour bébés dès 4-6 mois']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,+1%,0%,+1%,+3%,+3%,-9%,-32%,+15%,-78%,-78%,,,,,A,48.6%,24.6%,10.6%,7.4%,6.2%,2.5%,93,Purée fine d'Aubergine et Tomate,130 g,"['Pot', 'verre']",,,,1,,,['France'],http://www.littlegustave.com,,
