,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,traceability_code,additives,allergens,nova_score,markets,manufacturing,ingredients_origins,link,palm_ingredients,origin_detail
25,Whey Protéines,3288111426354,['France'],[],[],?,368,1540 kj(368 kcal),"3,1","1,8",23,12,62,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Weichkäse Zubereitung Peperoni - Milfina,4099200030975,['France'],[],[],?,418,1749 kj(418 kcal),40,26,"0,5","0,5",14,"1,7","0,68",['Milfina'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['DE SN-006 EG'],,,,,,,,,
27,Comté - Monts & Terroirs - 202g,2404966024076,['France'],"['Lait cru ', 'Origine : France', 'sel', 'ferments lactiques', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1700,410,1700 kj(410 kcal),34,22,"0,5","0,5",26,"0,8","0,32",['Monts & Terroirs'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['AOP'],34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,+36%,+25%,+24%,+28%,+24%,-59%,-33%,+27%,-38%,-38%,13,-5%,D,-5%,B,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,202g,['Plastique papier'],['FR 33.558.001 CE'],,['Lait'],3,['Auchan'],['Monts & Terroird'],['France'],,,
28,triple action,4056489135852,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Nanterre praline,3770014766182,['France'],[],[],?,381,1594 kj(381 kcal),14,"7,8",49,20,"6,9","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Extremely chocolatey - Marks & Spencer,29087143,['France'],[],[],?,465,1946 kj(465 kcal),"26,3",16,"48,6","37,4","5,4","0,45","0,18",['Marks & Spencer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['pet-tray', 'mixed plastic-film']",,,,,,,,,,
31,MONT BLANC Crème Dessert Caramel 6x125g Format Familial - 750g,3700279307141,['France'],"['LAIT* entier concentré et poudre de LAIT* écrémé ', '79%', ' ', 'LAIT* origine France', ' ', ' 10 % de caramel ', 'sucre', 'eau', ' ', ' sirop de glucose ', ' amidon de maïs ', ' amidon transformé de maïs', ' sucre', ' épaississants : alginate de sodium', 'gomme guar ', ' arôme', 'Contient du LAIT', 'Peut contenir des traces de FRUITS A COQUES ', 'NOISETTES et AMANDES']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",549,130,549 kj(130 kcal),"3,5","2,1",22,15,"2,9","0,17","0,068",['Mont blanc'],,"['Aquaculture responsable', 'Aquaculture responsable ASC', 'Sans colorants', 'Nutriscore', 'Nutriscore C', 'Pêche durable', 'Pêche durable MSC', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crème dessert au caramel, saveur caramel",750 g,['Etui en carton'],"['FR 50.127.002 CE', 'Chef-du-Pont (Manche, France)']","['E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E412 - Gomme de guar']",['Lait'],4,,,,,,
32,İçli mantı bulgur,8697436524358,['France'],[],[],?,373,1561 kj(373 kcal),"5,1","0,5",87,"0,5","4,5","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Mille feuille vanille X2,0202204017055,['France'],[],[],?,335,1402 kj(335 kcal),18,11,41,21,"3,7","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Confiture abricot 65% - U,3256228417626,['France'],[],[],?,166,695 kj(166 kcal),"0,5","0,1",40,38,"0,6","0,03","0,012",['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]","['Nutriscore', 'Nutriscore C']",0.5 g,en faible quantité,0.1 g,en faible quantité,38 g,en quantité élevée,0.03 g,en faible quantité,,-24%,-24%,+121%,+134%,-25%,-25%,+20%,+36%,+36%,7,-22%,C,-22%,B,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,,
35,Riz long blanc - Sélection des comptoirs - 1kg,3760239180603,['France'],[],[],?,353,1477 kj(353 kcal),"0,7","0,1","79,4","0,3","6,7",0,0,['Sélection des comptoirs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain']",['Bio'],0.7 g,en faible quantité,0.1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,,+5%,+4%,-34%,-58%,+8%,+4%,-8%,-100%,-100%,0,,B,,C,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,1 kg,,,,,,,,,,,
36,Tapenade verte,3760158961307,['France'],[],[],?,312,1305 kj(312 kcal),33,"5,5","0,5","0,04","2,4","2,2","0,88",,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades vertes']",,33 g,en quantité élevée,5.5 g,en quantité élevée,0.04 g,en faible quantité,2.2 g,en quantité élevée,,+41%,+42%,+52%,+70%,-77%,-90%,+47%,-23%,-23%,17,+25%,D,+25%,C,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,,,,
37,Delinocciola Biologica,8002234600348,['France'],[],[],?,509,2130 kj(509 kcal),25,4,63,58,6,"0,1","0,04",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Saucisson sec de Savoie,3298087105412,['France'],[],[],?,400,1674 kj(400 kcal),32,13,1,1,26,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Biscuits aux pépites de chocolat - Les Deux Gourmands - 50g,3770003262176,['France'],"['Farine de blé', 'pépites de chocolat ', '25%', ' ', 'pate de cacao', 'sucre', 'émulsifiant : lécithine de soja', 'beurre frais', 'sucre', 'oeufs de plein air', 'sel poudre à lever ', 'amidon de blé', 'bicarbonate de sodium', 'bitartrate de potassium']",['Non végétalien'],?,469,1962 kj(469 kcal),28,19,45,19,8,"0,69","0,276",['Les Deux Gourmands'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,28 g,en quantité élevée,19 g,en quantité élevée,19 g,en quantité élevée,0.69 g,en quantité modérée,,-5%,-5%,+20%,+61%,-28%,-42%,+22%,+25%,+25%,17,-21%,D,-21%,D,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,50g,,,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium']",['Gluten'],4,,['71121'],,,,
40,Faux-mage fumé - Wheaty - 100g,4032277009376,['France'],"['Eau', 'fécule de pommes de terre', 'graisse de coco ', '18%', 'farine de millet entier ', '2,8%', 'épaississant: gellane et xenthane', 'arômes naturels', 'sel', 'humectant: glycérine végétale', 'acidifiant: acide lactique', 'épices', 'fumée']","['Végétalien', 'Végétarien']",1070,258,1070 kj(258 kcal),"18,9","16,7","20,9","0,8","0,2","1,5","0,6",['Wheaty'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts du fromage']","['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'DE-ÖKO-003', 'Agriculture UE', 'Agriculture UE/Non UE', 'Fabriqué en Allemagne']",18.9 g,en quantité modérée,16.7 g,en quantité élevée,0.8 g,en faible quantité,1.5 g,en quantité modérée,-6%,-6%,-7%,-14%,+2%,+26%,+36%,-92%,-13%,-13%,19,+3%,E,+3%,,,,,,,,,,100 g,"['barquette en plastique', 'Frais']",,"['E422 - Glycérol', 'E270 - Acide lactique']",,4,['Biomonde'],['Allemagne'],,https://www.wheaty.fr/gamme/faux-mage-fume/,,
41,TUC Original -  - 21g,7622201135775,['France'],[],[],?,479,2004 kj(479 kcal),19,"1,9",67,"7,1","8,4","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21g,,,,,,,,,,,
42,Carne de trufas indicum,8412792202012,['France'],[],[],?,80.3,336 kj(80 kcal),"1,5",0,"13,04","0,1","4,99","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Pez Traubenzucker Tuttifrutti,9044400808249,['France'],[],[],?,358,1498 kj(358 kcal),"0,5","0,4",88,88,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
