,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,packaging,categories,ingredients_origins,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,link,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,manufacturing,allergens,traceability_code,origin_detail,producer_info,palm_ingredients
442,aneth ciselé - biocoop,3760121214782,['Biocoop'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Gliss -,8015700151138,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Lot de 2 quenelles brochet 6x40g - Lustucru - 480g,3240931537368,"['Lustucru', 'Lustucru selection']",['France'],"['OEUFS FRAIS 27%', 'eau', 'farine de BLE dur', 'chair de BROCHET 13%', 'huile de colza', 'arôme ', 'farine de ble', 'épaississants : amidon transformé de pomme de terre – farine de guar', ' ', 'POISSON', 'CRUSTACES', 'sel', ' Peut contenir des traces de lait', ' Conditionné sous atmosphère protectrice', '[NB : noter les allergènes en majuscule dans la liste des ingrédients']","['Non végétalien', 'Non végétarien']",?,?,?,?,?,480 g,['Barquette'],,,,,,,,,,,,,,,,,Quenelles brochet,,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar']",4,,,,,,,,,?,,?,,?,,?,,?,,,,,,,,"['Crustacés', 'Œufs', 'Poisson', 'Gluten']",,,,
445,Lot 2 quenelle nature 10x40g - Lustucru - 800g,3240930020090,"['Lustucru', 'Lustucru selection']",['France'],"['Eau', 'OEUFS FRAIS 27%', 'farine de BLE dur', 'huile de colza', 'LACTOSE ET PROTEINES DE LAIT', 'sel', 'semoule de BLE dur', ""extraits d'épices"", 'arôme ', 'LAIT', ' Peut contenir des traces de poisson et crustacés', ' Conditionné sous atmosphère protectrice', ' [NB : noter les allergènes en majuscule dans la liste des ingrédients']",['Non végétalien'],?,?,?,?,?,800 g,['Barquette'],,,,,,,,,,,,,,,,,Quenelles nature,,,4,,,,,,,,,?,,?,,?,,?,,?,,,,,,,,"['Œufs', 'Gluten', 'Lait']",,,,
446,Poélée de légumes grillés - Notre Jardin Leclerc,356470043366903,['Notre Jardin Leclerc'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Prim\'frais Ail et fines Herbes - Les Croisés Leclerc,356470043826806,['Les Croisés Leclerc'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,DOMAINE SALMON - MUSCADET SEVRE ET MAINE,3480260007310,['MUSCADET SEVRE ET MAINE'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,cabillaud pané - Picard,32701601777,['Picard'],['France'],[],[],?,?,?,?,?,,,,,['Picard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Beurre traditionnel doux - Elle et vire,345179093,['Elle et vire'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Ragù alla bolognese - Rummo,4002444220668,['Rummo'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Le pastin complet - 400grammes,08526625,['Le pastin'],['France'],[],[],?,?,?,?,?,400 grammes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Pâtė croûte richelieu - Carrefour,0209328031295,['Carrefour'],['France'],[],[],?,?,?,?,?,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Source de joie - Badoit,8551411223806,['Badoit'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Rully - Gouffier,3770011292295,['Gouffier'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Camembert - Carrefour bio,35600704516,['Carrefour bio'],['France'],[],[],?,?,?,?,?,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
457,Thé blanc infusé hibiscus framboise - Carrefour,4020942170001,['Carrefour'],['France'],[],[],?,?,?,?,?,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,yaourt nature 0% - la bergerie,3273220140,['la bergerie'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Sirop d\'agave bio - Maison meneau,6124480271812,['Maison meneau'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Noir corsé - Nestlé,4040098540510,['Nestlé'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,DAUNAT,3367951000191,['DAUNAT'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,SIBELL,339611812500,['SIBELL'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,MICHEL GARNIER-VIVIEN - SIBELL,33961181,['SIBELL'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Azeite virgem extra - Fatima,5600272625052,['Fatima'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,selection - destintaion,37001100053,['Destintaion'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,pommes fuji - coteaux nantais,33015990015,['coteaux nantais'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,J\'aime le lait d\'ici -,34960800018,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,emmental rape - auchan,35967100189,['Auchan'],['France'],[],[],?,?,?,?,?,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,sauce cuisinée tomates et poulet - LEADER PRICE,3263850669,['LEADER PRICE'],['France'],[],[],?,?,?,?,?,,,,,['Leader Price'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,extra fins croq\'vert - amora,87112004607,['Amora'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,mini pot lait d\'amandes - picard,3270160450,['Picard'],['France'],[],[],?,?,?,?,?,,,,,['Picard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Vinaigre balsamique de Modène - Monoprix,3445011430014,['Monoprix'],['France'],[],[],?,?,?,?,?,,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",['Italie'],['Monoprix'],,,,,,B,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Jockey - Danone,8044229406689,['Danone'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,spray  mop - Basic &co - tout en 1,3560238982358,['Basic &co'],['France'],[],[],?,?,?,?,?,tout en 1,['300ml'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,les classiques du palais - palais des thés,3700256704,['palais des thés'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,English breakfast - Tetley,5014318099231,['Tetley'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Dattes avec noyux - Ibo,36090600049,['Ibo'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,equador - marque repere,356470664078801,['marque repere'],['France'],[],[],?,?,?,?,?,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,torsades oignons,3665287011223,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,lait écrémé - biocoop,3760121813626,['Biocoop'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Piment d\'Espelette - Baïonade,37600844511,['Baïonade'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Crème entière semi-épaisse - Carrefour,3560071099,['Carrefour'],['France'],[],[],?,?,?,?,?,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Huile d\'olive vierge extra - Carapelli,1918470214706,['Carapelli'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Huile d\'olive vierge extra - Carapelli,5082241812708,['Carapelli'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,3 graines grillées - daco bello,327072001,['daco bello'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,yaourt vanille - biovillage,356470708756804,['Biovillage'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,oeufs frais - marque repere,356470081462808,['marque repere'],['France'],[],[],?,?,?,?,?,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Dark Chocolate - häagen-dazs,3415587168,['häagen-dazs'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,parfum givenchy,3412520001783,['Givenchy'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,gaufres caramel - bjorg,32298207880,['Bjorg'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Lactel bio demi ecreme,3252214910041,['Lactel'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Syner boost,3701269500023,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,huile de lin vierge - biocoop,344502000,['Biocoop'],['France'],[],[],?,?,?,?,?,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de lin']",,,,,,,,E,95.3%,1.2%,1.7%,0.9%,0.9%,0.0%,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,L.Fortier - sucro-bec,7933310007,['Sucro-bec'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,stylesse - carrefour,0560070788859,['Carrefour'],['France'],[],[],?,?,?,?,?,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
