,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,allergens,nova_score,quantity,additives,manufacturing,markets,link,palm_ingredients,generic_name,ingredients_origins,traceability_code
818,Crème glacée menthe et grain de stracciatella,3770002303726,['France'],[],[],?,232,971 kj(232 kcal),11,"6,4",29,29,5,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,Boisson au jus de framboise cranberry et autres fruits,3770002316030,['France'],[],[],?,16,67 kj(16 kcal),0,0,"3,5","3,5","0,6","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,Coconut water,3770002316269,['France'],[],[],?,18,75 kj(18 kcal),"0,1","0,1","3,8","2,4","0,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,Eau de coco façon Mojito - Vaïvaï - 1l e,3770002316306,['France'],"['Eau de coco ', '50%', 'eau', 'sucre de canne ', '5,7%', 'jus de citron vert ', '5%', 'jus de citron ', '4%', 'arôme naturel de menthe']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,31,130 kj(31 kcal),0,0,"7,7","7,1",0,"0,03","0,012","['Sans colorants', 'Sans conservateurs', 'Point Vert', 'Fabriqué en France', 'Sans additifs', 'Triman', 'Produits faisant référence au Mojito', 'Sans concentrés']",B,['Vaïvaï'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,7.1 g,en quantité élevée,0.03 g,en faible quantité,,-64%,-65%,-100%,-100%,-61%,-61%,-100%,-20%,-20%,8,-33%,D,-33%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,"['Brique', 'Carton']",,4,1 l e,,['France'],,,,,"['Indonésie', 'Philippines', 'Thaïlande']",
822,Boisson à L'eau De Coco Et Jus De Fruits De La Passion - Vaivai - 33cl,3770002316368,"['Brésil', 'France']","['Eau', 'eau de coco ', '35%', 'jus de fruits de la passion ', '14%', 'sucre de canne ', '7%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,38,159 kj(38 kcal),0,0,"9,5","9,5",0,0,0,,,['Vaivai'],"['Boissons', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,9.5 g,en quantité élevée,0 g,en faible quantité,,-14%,-19%,-100%,-100%,+10%,+40%,-100%,-100%,-100%,11,+100%,E,+100%,,,,,,,,,,3,33 cl,,,,,,,,
823,Boisson à la Mangue + Eau de Coco - Vaïvaï - 1L e,3770002316566,['France'],"['Eau', 'eau de coco ', '35', '5%', 'purée de mangue ', '12%', 'sucre de canne ', '57%1 jus de citron vert ', '3,5%']",[],?,37,155 kj(37 kcal),"0,1",0,9,9,"0,1","0,01","0,004",,,['Vaïvaï'],"['Boissons', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",0.1 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0.01 g,en faible quantité,,-16%,-21%,-70%,-100%,+4%,+33%,-80%,-79%,-79%,10,+81%,E,+81%,,,,,,,,"['Brique', 'Carton', 'Frais']",,3,1 L e,,['France'],,,,"Boillon à l'eau de coco, purée de mangue et jus de citron vert.",,
824,Eau De Coco Fraise Citron - Vaïvaï - 1L,3770002316580,['France'],"['Eau', 'eau de coco ', '35%', 'jus et purées de fruits ', '17%', ': fraise ', '12%', 'citron vert ', '4%', 'aronia ', '1%', ' sucre de canne ', '5,3%', 'arôme naturel de citron vert avec autres arômes naturels', 'arôme naturel de fraise avec autres arômes naturels']",['Sans huile de palme'],?,30,126 kj(30 kcal),0,0,"7,5","7,5",0,"0,01","0,004",,C,['Vaïvaï'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,7.5 g,en quantité élevée,0.01 g,en faible quantité,,-32%,-36%,-100%,-100%,-13%,+11%,-100%,-79%,-79%,8,+45%,D,+45%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,['Brique'],,4,1 L,,,,,,,,
825,Green tea,3770002316689,['France'],[],[],?,25,105 kj(25 kcal),0,0,63,60,0,"0,03","0,012",,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,,,,,,+108%,+119%,-100%,-100%,+2712%,+4859%,-100%,+105%,+105%,14,+233%,E,+233%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,
826,"Bebida De Piña, Lima & Agua De Coco",3770002316764,['France'],[],[],?,32,134 kj(32 kcal),0,0,8,8,0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,Petalos De Coco Cacao,3770002316801,['France'],[],[],?,588,2460 kj(588 kcal),45,42,34,34,"4,8","0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,Coconuts chips - Vaivai,3770002316825,['France'],"['Noix de coco ', '85,4%', 'sucre ', '13,9%', 'sel ', '0,7%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2366,?,2366 kj(565 kcal),48,46,23,23,"5,1","1,4","0,56",,,['Vaivai'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thaïlande'],,,,,,
829,Eau de Coco - Vaïvaï - 500ml,3770002316887,['France'],['100% Eau de coco'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,18,75 kj(18 kcal),"0,1","0,1","3,8","2,4","0,4","0,1","0,04",['Fabriqué en France'],,['Vaïvaï'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Eaux de coco', 'Boissons sans sucre ajouté']",0.1 g,en faible quantité,0.1 g,en faible quantité,2.4 g,en faible quantité,0.1 g,en faible quantité,,-5%,-10%,+16%,+224%,-17%,-34%,+251%,+53%,+53%,-5,-303%,B,-303%,,,,,,,,"['Plastique', 'Bouteille']",,1,500 ml,,['France'],,,,,,
830,Eau de coco façon mojito - Vaïvaï,3770002316924,['France'],"['Eau de coco ', '50%', 'eau', 'sucre de canne ', '5,6%', 'jus de citron vert ', '5%', 'jus de citron ', '5%', 'arôme naturel de menthe']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,34,142 kj(34 kcal),0,0,"8,4","8,4",0,0,0,"['Bio', 'Produits faisant référence au Mojito']",,['Vaïvaï'],"['Boissons', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,8.4 g,en quantité élevée,0 g,en faible quantité,,-23%,-28%,-100%,-100%,-3%,+24%,-100%,-100%,-100%,9,+63%,D,+63%,,,,,,,,,,4,,,,,,,,,
831,PLAT PETIT POIS SAUMON 190G - Good Goût - 190g,3770002327432,['France'],"['75% petits pois bio', '10% chair de saumon ', 'poisson', ' bio', 'eau', 'lait de noix de coco bio ', 'noix de coco bio', 'eau']","['Non végétalien', 'Non végétarien']",?,80,335 kj(80 kcal),"3,2","1,4",8,"3,8","5,2","0,36","0,144",['Bio'],,['Good Goût'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Poisson'],,190 g,,,,,,,,
832,Brassé Pomme Miel - Good Goût,3770002327630,['France'],"['50% lait fermenté bio', 'pommes Gala bio', 'eau', ""5% farine d'avoine bio "", 'gluten', '2', '5% miel de romarin bio', 'jus de citron bio concentré']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,75,314 kj(75 kcal),2,"1,1",12,8,"2,4","0,06","0,024",['Bio'],,['Good Goût'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],4,,,,,,,,,
833,Sachet Riz Good Goût 220G + - 220g,3770002327722,['France'],[],[],?,381,1594 kj(381 kcal),"1,1","0,2","84,5","0,2","7,4","0,03","0,012","['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,['Good gout'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sachet', 'Plastique', 'ni biphénol', 'ni phtalates', 'température ambiante']",,,220 g,,,,,,,,
834,Gourde passion grenade-Good Gouter-90g - Good Gout,3770002327760,['France'],"['inge', 'édienls 74% pommes bio', 'eau', '7% jus de fruits de la passion bio', '5% jus de grenades bio', '4% farine de riz bio', 'jus de citron bio concentré Sans gluten', ' nuéAlionnelles pour 1 log 259kJ/61']",[],?,61,255 kj(61 kcal),0,0,14,"9,7","0,6",0,0,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE', 'AB Agriculture Biologique']",,['Good Gout'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gourde', 'Plastique']",,,90g,,,,,,,,
835,Gourde Coco Mangue Passion-Good Goût-90g,3770002327784,['France'],[],[],?,92,385 kj(92 kcal),"4,2","3,6",12,"8,6","1,2","0,03","0,012","['Bio', 'Bio européen', 'Agriculture UE', 'AB Agriculture Biologique']",,['Good gout'],"['Aliments pour bébé', 'Gourde pour enfant', 'Gourdes de fruits']",,,,,,,,,,-33%,-26%,+48%,+308%,-33%,+14%,-59%,-74%,-74%,,,,,,,,,,,,"['Gourde', 'Plastique']",,,90g,,,,,,,,
836,Good Goût,3770002327807,['France'],"['in 3% IWO 17,6 bk', ' ', 'eau', '14% a•M1e ', 'g%l', ' 7% mptlTes bio', '27', ""de' noix bio"", '2% farine complète ', 'ç uten', '2% farine ', '#0', 'de c• mo rennes Energie Graisses']",[],?,77,322 kj(77 kcal),"1,8","0,2",13,"8,6","1,3","0,01","0,004",['Bio'],,['Good Goût'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Gourde Pomme Passion Grenade-Good Gouter-90g - Good gout,3770002327821,['France'],"['74% pommes bio', 'eau', '7% jus de fruits de la passion de grenades bio', '5% jus de grenades bio', '4% de farine de riz bio', 'jus de citron bio concentrée', ' Sans gluten']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,61,255 kj(61 kcal),0,0,14,"9,7","0,6",0,0,"['Bio', 'Bio européen', 'Sans gluten', 'AB Agriculture Biologique', 'Agriculture UE']",,['Good gout'],"['Aliment pour enfant', 'Gourde pour enfant', 'Purée pour enfant']",0 g,en faible quantité,0 g,en faible quantité,9.7 g,en quantité modérée,0 g,en faible quantité,,-73%,-73%,-100%,-100%,-59%,-16%,-89%,-100%,-100%,-4,,A,,,,,,,,,"['Plastique', 'Gourde']",['Sans gluten'],1,90g,,,,,,,,
838,Good Goût,3770002327838,['France'],"['35% bananes bio', 'boisson de riz bio ', 'eau', 'riz bio', 'huile de tournesol bio', 'sel marin', '18% pommes bio', 'eau', 'sucre brun bio', ""3,5% farine complète d'avoine bio "", 'gluten', 'poudre de caèao dégraissée bio', ""sirop d'agave bio"", 'jus de ciTron bio concentré']",[],?,102,427 kj(102 kcal),"0,9","0,3",21,16,"1,3","0,03","0,012",['Bio'],,['Good Goût'],"['Boissons', 'Boissons sans sucre ajouté']",0.9 g,en faible quantité,0.3 g,en faible quantité,16 g,en quantité élevée,0.03 g,en faible quantité,,+132%,+117%,+169%,+216%,+143%,+136%,+161%,-37%,-37%,16,+190%,E,+190%,,,,,,,,,['Gluten'],4,,,,,,,,,
839,6 oeufs,3770002335130,['France'],[],[],?,155,649 kj(155 kcal),11,"3,3","1,1","1,1",13,"0,124","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Bicarbonate de Soude -,3770002381014,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,B,,"['Additifs alimentaires', 'Anti-agglomérants', 'Bicarbonates de sodium']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,,,-100%,-100%,-100%,,,,,,,0.0%,86.4%,6.5%,3.7%,3.4%,0.0%,86,,,,,,,,,,,,
841,Rissoles de Savoie Poire & Raisin - R'Zules - 180g,3770002399064,['France'],"['Farine de blé', 'compote de poires 46 % ', 'poire variété Blesson', 'sirop de glucose', 'fructose ', 'base blé et maïs', 'sucre', 'pectine de fruit', 'acide de fruit', 'margarine ', 'graisse de palme RSPO', 'eau', 'huile de colza', ""émulsifiant : mono- et diglycérides d'acides gras"", 'acidifiant : acide citrique', 'eau', 'œufs', 'raisins secs 2 % ', 'conservateur : anhydride sulfureux', ""agent d'enrobage : huiles végétales"", 'huile de tournesol', 'sel']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1324,?,1324 kj(316 kcal),13,"2,51","44,5","20,1","3,8","0,598","0,239","['Huile de palme durable', 'Point Vert']",,"[""R'Zules""]","['Desserts', 'Rissoles']",13 g,en quantité modérée,2.51 g,en quantité modérée,20.1 g,en quantité élevée,0.598 g,en quantité modérée,+79%,,+80%,+91%,-30%,+88%,+9%,+20%,+350%,+350%,11,+62%,D,+62%,,,,,,,,"['Plastique', 'Frais']","['Œufs', 'Gluten', 'Anhydride sulfureux et sulfites']",4,180 g,"['E440 - Pectines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,['Huile de palme'],,,
842,Rissoles de Savoie,3770002399088,['France'],[],[],?,277,1159 kj(277 kcal),"15,6","4,01","27,1","0,1","6,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Rissoles de Savoie façon Tartiflette - R'Zules - 190g,3770002399545,['France'],"['Pomme de terre', 'farine de blé', 'lardons 8 % ', 'poitrine de porc : origine UE', 'eau', 'sel', 'dextrose', 'arôme', 'conservateurs : sel nitrité', 'érythorbate de sodium', 'acidifiant : lactate de potassium', 'eau', 'oignons', 'œufs', 'margarine ', 'graisse de palme RSPO', 'eau', 'huile de colza', ""émulsifiant : mono- et diglycérides d'acides gras"", 'acidifiant : acide citrique', 'lait', 'Reblochon', 'crème', 'huile de tournesol', 'beurre', 'sel', 'ail', 'poivre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",1156,?,1156 kj(276 kcal),"14,7","3,84","28,9","3,2","6,3","1,36","0,544","['Huile de palme durable', 'Point Vert']",,"[""R'Zules"", 'Rissole de Savoie']","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Réfrigérés', 'Plats préparés réfrigérés', 'Rissoles de savoie']",14.7 g,en quantité modérée,3.84 g,en quantité modérée,3.2 g,en faible quantité,1.36 g,en quantité modérée,+54%,,+51%,+62%,+28%,+97%,+70%,-24%,+17%,+17%,12,+103%,D,+103%,,,,,,,,"['Frais', 'Plastique']","['Œufs', 'Gluten', 'Lait']",4,190 g,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E326 - Lactate de potassium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique']",['France'],,,['Huile de palme'],,['Union européenne'],
844,Moutarde Corse Chataignes & Miel Corse,3770002427156,['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,,,,,,,,,,,,,,,,,,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,
845,Yaourt au lait fermier Fraise - Ferme de la Brunie,3770002429716,['France'],[],[],?,138,577 kj(138 kcal),"4,98","1,65","12,14","12,05","4,93","0,2","0,08",,C,['Ferme de la Brunie'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de vache', 'Yaourts à la fraise']",4.98 g,en quantité modérée,1.65 g,en quantité modérée,12.1 g,en quantité modérée,0.2 g,en faible quantité,,+41%,+42%,+67%,-13%,-8%,-3%,+34%,+87%,+87%,1,-63%,B,-63%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,,,,,,
846,Yaourt abricot - Ferme de la Brunie,3770002429730,['France'],[],[],?,104,435 kj(104 kcal),"4,99","1,65","11,65","11,23","4,9","0,3","0,12",,C,['Ferme de la Brunie'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', ""Yaourts à l'abricot"", 'Yaourts au lait de vache']",4.99 g,en quantité modérée,1.65 g,en quantité modérée,11.2 g,en quantité modérée,0.3 g,en quantité modérée,,+4%,+4%,+59%,-16%,-17%,-14%,+41%,+165%,+165%,2,-36%,B,-36%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,,,,,,
847,Yaourt Ferme de la brunie,3770002429778,['France'],"['lair entier fermier', 'ferment lactiques', 'framboise bio', 'sucre de canne bio', 'eau', 'pectine']",[],?,83,347 kj(83 kcal),"3,99","1,31","9,52","9,27","3,92","0,16","0,064",,C,['Ferme De La Brunie'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de vache', 'Yaourts à la framboise']",3.99 g,en quantité modérée,1.31 g,en faible quantité,9.27 g,en quantité modérée,0.16 g,en faible quantité,,-15%,-15%,+35%,-28%,-28%,-23%,+10%,+47%,+47%,2,-20%,B,-20%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,['Lait'],4,,['E440 - Pectines'],,,,,,,
848,Pâte à tartiner - Fabrication artisanale,3770002436059,['France'],[],[],?,565,2364 kj(565 kcal),37,"9,2",48,42,"8,9","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Crème de châtaignes praliné,3770002454091,['France'],[],[],?,284,1188 kj(284 kcal),"1,45","0,19",57,45,"0,96","0,02","0,008","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,gelée de lavande,3770002454176,['France'],[],[],?,232,971 kj(232 kcal),0,0,58,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,Barquette Apéri Chèvre - Ferme des Pampilles - Non précisée,3770002457023,['France'],"['Lait cru', 'sel', 'ferment lactique']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,E,"['Ferme des Pampilles', 'EARL des Pampilles']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromages au lait cru']",,,,,,,,,,,,,,,,,,,,,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,"['Frais', 'Plastique', 'Barquette']",['Lait'],3,Non précisée,,,,,,,,"['FR 01.335.050 CE', 'Saint-André-le-Bouchoux (Ain, France)']"
852,Fromage Mi-Chèvre - Ferme des Pampilles - 1paquet,3770002457030,['France'],"['Lait cru vache et chèvre', 'sel', 'ferment lactique']",[],?,?,,?,,?,,?,,,,D,"['Ferme des Pampilles', 'EARL des Pampilles']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages au lait cru']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Frais', 'Plastique']",['Lait'],3,1 paquet,,['France'],,,,,,"['FR 01.335.050 CE', 'Saint-André-le-Bouchoux (Ain, France)']"
853,fromage Pur Vache - Ferme des Pampilles - 1fromage,3770002457047,['France'],"['Lait cru vache', 'sel', 'ferment lactique']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,D,"['Ferme des Pampilles', 'EARL des Pampilles']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages au lait cru']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Frais', 'Plastique']",['Lait'],3,1 fromage,,['France'],,,,,,"['FR 01.335.050 CE', 'Saint-André-le-Bouchoux (Ain, France)']"
854,Duo Petit Pampilles Chèvre - Ferme des Pampilles - 1paquet,3770002457139,['France'],"['Lait cru', 'sel', 'ferment lactique']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Fabriqué en France'],E,"['Ferme des Pampilles', 'EARL des Pampilles']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromages au lait cru']",,,,,,,,,,,,,,,,,,,,,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,"['Frais', 'Plastique']",['Lait'],3,1 paquet,,,,,,,,"['FR 01.335.050 CE', 'Saint-André-le-Bouchoux (Ain, France)']"
855,Fromage De Chèvre à L'ail Des Ours Ferme Des Pampilles 1 Paquet,3770002457160,['France'],"['Lait cru', 'sel', 'ferment lactique', 'ail des ours', 'huile de colza']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Fabriqué en France'],E,"['Ferme des Pampilles', 'EARL des Pampilles']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromages au lait cru']",,,,,,,,,,,,,,,,,,,,,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,"['Frais', 'Plastique']",['Lait'],3,1 paquet,,['France'],,,,,,"['FR 01.335.050 CE', 'Saint-André-le-Bouchoux (Ain, France)']"
856,Duo Pur Chèvre Aromatisé - Ferme des Pampilles - 1paquet,3770002457177,['France'],"['Lait cru', 'sel', 'ferment lactique', 'poivre', 'poivron', 'graines de moutarde', 'échalote', 'ail']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Fabriqué en France'],E,"['Ferme des Pampilles', 'EARL des Pampilles']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromages au lait cru']",,,,,,,,,,,,,,,,,,,,,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,"['Frais', 'Plastique']","['Lait', 'Moutarde']",3,1 paquet,,,,,,Fromage Fermier Pur Chèvre,,"['FR 01.335.050 CE', 'Saint-André-le-Bouchoux (Ain, France)', 'FR 01.315.050 CE', 'Proulieu (Ain, France)']"
857,La Bogue - La Castagne du Cévenol - 75cl,3770002463017,['France'],"['Eau', ""malts d'orge"", 'farine de châtaigne', 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"['100% naturel', 'Déconseillé aux femmes enceintes']",B,['La Castagne du Cévenol'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bieres aromatisées aux fruits', 'Bières ambrées', 'Bières à la chataigne', 'Bières artisanales']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Verre', 'Bouteille', 'métal', 'liège']",['Gluten'],3,75 cl,,"['France', 'Aujac']",,http://www.la-castagne-du-cevenol.fr/,,Bière de garde à la châtaigne,['France'],
858,Nectar d orange,3770002508008,['France'],[],[],?,40,167 kj(40 kcal),"0,5","0,1",10,10,"0,5","0,014","0,006",,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'orange""]",0.5 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité élevée,0.014 g,en faible quantité,,+3%,+2%,+194%,+320%,+10%,+17%,+37%,+24%,+24%,13,+29%,E,+29%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,
859,Bourgogne pinot noir 2014 - Valérie et Philppe Jeannot - 75cl,3770002508046,['France'],[],[],?,?,,?,,?,,?,,,,,['Valérie et Philppe Jeannot'],['Bourgogne pinot noir'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75cl,,,,,,,,
860,Miel de chataignier - Gaec Les Ruchers Nomades,3770002516034,['France'],['miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture France']",B,['Gaec Les Ruchers Nomades'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,2,,,,,,,,"['France', 'Rhône-Alpes']",
861,Miel d'acacia - GAEC les ruchers nomades - 1kg net,3770002516058,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique', 'Agriculture France']",B,['GAEC les ruchers nomades'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', ""Miels d'acacia""]",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,1 kg net,,,,,,,['France'],
862,Miel de tilleul - GAEC Les Ruchers Nomades,3770002516089,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture France']",B,['GAEC Les Ruchers Nomades'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,['France'],
863,Miel d'acacia biographie et de safran - Safran Des Alpes - 340g,3770002521076,['France'],"['Préparation Miel d"" Bio et de DES ALPES 3870 safrrdesal*sa ce l\' grx 340g']",[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4","['Bio', 'Sans colorants', 'Sans conservateurs']",,['Safran Des Alpes'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', 'Produits à tartiner sucrés', 'Édulcorants', 'Préparations à base de miel']",1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-100%,-100%,+410%,+1912%,-99%,-99%,+104%,+3982%,+3982%,3,-78%,C,-78%,,,,,,,,,,,340 g,,,,,,,,
