,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,allergens,nova_score,quantity,additives,manufacturing,markets,link,palm_ingredients,generic_name,ingredients_origins,traceability_code
25,Sables a la vanille,3760267811111,['France'],[],[],?,491,2054 kj(491 kcal),29,19,50,16,"6,5","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Mon rendez-vous gourmet,3760267970047,['France'],[],[],?,489,2046 kj(489 kcal),21,12,67,25,7,"1,3","0,52",['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Biscuits Artisanaux à la Peau de Lait - Mémé Meuh - 100g,3760268020017,['France'],"['Sucre', 'farine ', 'gluten', 'crème', 'peau de lait ', '15,7 %']",['Non végétalien'],?,426,1782 kj(426 kcal),16,11,64,45,"6,9","0,09","0,036","['Fabriqué en France', 'Sans colorants', 'Sans conservateurs', 'Fabrication artisanale']",C,['Mémé Meuh'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",16 g,en quantité modérée,11 g,en quantité élevée,45 g,en quantité élevée,0.09 g,en faible quantité,,-10%,-10%,-23%,+9%,0%,+53%,+6%,-85%,-85%,24,+21%,E,+21%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Sachet', 'Plastique']","['Gluten', 'Lait', 'Farine']",4,100 g,,"['France', 'Normandie']",,,,,,
28,Tarte myrtille,3760268140012,['France'],[],[],?,319,1335 kj(319 kcal),20,13,51,30,"7,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Tarte abricot,3760268140128,['France'],[],[],?,315,1318 kj(315 kcal),21,"13,3",51,28,"5,4","1,2","0,48",,C,,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Tartes aux abricots', 'Biscuit sec nappé aux fruits']",21 g,en quantité élevée,13.3 g,en quantité élevée,28 g,en quantité élevée,1.2 g,en quantité modérée,,+30%,+15%,+91%,+133%,+28%,+29%,+39%,+299%,+299%,24,+90%,E,+90%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,,,,,,,,,,,,
30,bonite séchée - 20g,3760268341020,['France'],[],[],?,321,1343 kj(321 kcal),"3,5","1,2",0,0,72,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,20 g,,,,,,,,
31,Silky Weiss - Bières Georges - 75cl,3760268370037,['France'],"['eau', ""malt d'orge"", 'houblons', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"['Point Vert', 'Déconseillé aux femmes enceintes']",C,['Bières Georges'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises', 'Bières blanches']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Bouteille', 'Verre']",['Gluten'],3,75 cl,,,,http://www.bieresgeorges.com/,,,,
32,Pur jus de Pommes du roussillon - Clos Mathieu,3760268380005,['France'],"['100% Pur jus de Pomme du Roussillon X ', ""X Produits issus de l'agriculture biologique"", ' Tenir au frais']",[],?,67,280 kj(67 kcal),0,0,"16,6","16,5",0,0,0,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",B,['Clos Mathieu'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",0 g,en faible quantité,0 g,en faible quantité,16.5 g,en quantité élevée,0 g,en faible quantité,,+46%,+47%,-100%,-100%,+51%,+59%,-100%,-100%,-100%,10,+141%,E,+141%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,
33,Velouté arôme poulet,3760268420039,['France'],[],[],?,386,1615 kj(386 kcal),"11,5",4,"37,5","15,4","30,7","3,75","1,5","['en:gluten-free', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Gaufre Arôme Chocolat - Substifast Pro - 41,9g",3760268420244,['France'],"['Mélange protéique ', 'protéines de lait', 'gélatine hydrolysée', 'farine de blé fortifiée ', 'farine de blé', 'carbonate de calcium', 'fer', 'niacine', 'thiamine', ' huile de palme ', ' liqueur de cacao', ' sucre', ' fructose', 'émulsifiant : lécithine de soja', ' poudre de cacao beurre de cacao', ' protéine de pois', ' farine de soja', 'matière grasse laitière ', 'lait', ' ', ' arômes', ' huile de tournesol', ' sel agent levant: bicarbonate de sodium', ' farine de maïs édulcorant sucralose']","['Huile de palme', 'Non végétalien']",?,195,816 kj(195 kcal),9,6,13,"5,5",15,"0,21","0,084","['Riche en protéines', 'Avec édulcorants']",C,['Substifast Pro'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées']",9 g,en quantité modérée,6 g,en quantité élevée,5.5 g,en quantité modérée,0.21 g,en faible quantité,,-61%,-61%,-64%,-60%,-79%,-84%,+187%,-35%,-35%,3,-86%,C,-86%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,"['Sachet', 'Plastique']","['Gluten', 'Lait', 'Soja']",4,"41,9 g","['E428 - Gélatine', 'E322i - Lécithine', 'E500ii - Carbonate acide de sodium']",,,,['Huile de palme'],,,
