,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,allergens,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,traceability_code,brand_owner,markets,palm_ingredients,origin_detail,producer_info
1203,Jocker snack alla paprica - 175g,8019730038292,['Jocker snack'],['France'],[],,[],,?,537,2247 kj(537 kcal),33,"3,3",55,"1,6",3,"1,7","0,68",,175g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Gros Sel 1kg - Les Sauniers de l'Île de Ré,3346901100072,"[""Les Sauniers de l'Île de Ré""]",['France'],[],,[],,?,0,0 kj(0 kcal),?,,?,,?,,,['Sans additifs'],,"['Epicerie', 'Condiments', 'Sels', 'Gros sels', ""Gros Sel de l'Ile de Ré"", ""Sel de l'Ile de Ré""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,"['EMB 17019', 'Ars-en-Ré (Charente-Maritime, France)']",,,,,
1205,Tortillas huile d’olive et blé entier,0626114506001,,"['Canada', 'France']",[],,[],,?,315.7895,1321 kj(315 kcal),"7,895","1,316","55,263","2,632","10,526","1,316","0,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Haddock filets -  - 1.200000047683716kg,0836443000693,,"['Canada', 'France']",[],,[],,?,80,335 kj(80 kcal),0,0,0,0,22,"0,465","0,186",,1.200000047683716 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['MSC-C-54097'],,,,,
1207,Deroni Lutenitsa Traditional - 520g,3800740031503,['Deroni'],"['France', 'Suisse']","['ПИПЕРКОВО ПЮРЕ', 'ДОМАТЕНО ПЮРЕ', 'ПИТЕЙНА ВОДА', 'СЛЪНЧОГЛЕДОВО МАСЛО', 'ЗАХАР', 'НИШЕСТЕ', 'СОл', 'ЛУК', 'ПОДПРАВКИ']",,[],,?,?,,?,,?,,?,,,,520 g,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,,,,,,,,,,,
1208,Noix de cajou grillees salees,3449714102049,,['France'],[],,[],,?,631,2640 kj(631 kcal),49,10,22,5,20,1,"0,4",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque salés', 'Noix de cajou', 'Noix de cajou salées']",49 g,en quantité élevée,10 g,en quantité élevée,5 g,en quantité modérée,1 g,en quantité modérée,,+3%,+3%,+2%,+9%,-8%,-21%,+5%,+12%,+12%,11,+35%,D,+35%,,,,,,E,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,
1209,Chocolat blanc grains de café - Bovetti,3501940269009,['Bovetti'],['France'],[],,[],,?,561,2347 kj(561 kcal),40,25,48,48,"6,4","0,19","0,076",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs', 'Chocolats au café', 'Chocolats blancs au café']",40 g,en quantité élevée,25 g,en quantité élevée,48 g,en quantité élevée,0.19 g,en faible quantité,,+1%,+1%,+6%,+11%,+12%,+30%,-11%,+46%,+46%,27,+15%,E,+15%,,,,,,E,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,,,,
1210,Chocolat noir - Carrefour,3560071208516,['Carrefour'],['France'],[],,[],,?,548,2293 kj(548 kcal),39,23,37,33,"7,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 53096E', 'Ernée (Mayenne, France)']",,['Carrefour'],,,
1211,Moustaches de chat - Maison Guinguet,3760052697579,['Maison Guinguet'],['France'],[],,[],,?,566,2368 kj(566 kcal),"40,1","24,3","40,4",38,"7,2","0,1","0,04",['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Filetti di tonno a pinne gialle al naturale,20685775,,['France'],[],,[],,?,113,473 kj(113 kcal),"0,6","0,1",0,0,27,"1,1","0,44",,,"['Produits de la mer', 'Poissons', 'Thons']",0.6 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,1.1 g,en quantité modérée,,-38%,-38%,-94%,-94%,-100%,-100%,+26%,+7%,+7%,0,-100%,B,-100%,,,,,,D,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,
1213,Malatya Coban Kasari,4260193512711,,['France'],[],,[],,?,305,1276 kj(305 kcal),"21,5","14,3",1,1,"26,8","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Lait en poudre entier,8717344761017,,['France'],[],,[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Puff Pastry Shells Ready-to-fill,0020176001649,,['France'],[],,[],,?,537,2247 kj(537 kcal),"38,3","21,3","39,7","1,1","7,5","0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,Houmous classique - Yarden - 150g,7290111565625,['Yarden'],['France'],[],,[],,?,329,1377 kj(329 kcal),29,3,9,"0,3","6,5",1,"0,4",,150 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",29 g,en quantité élevée,3 g,en quantité modérée,0.3 g,en faible quantité,1 g,en quantité modérée,,+25%,+25%,+44%,+22%,-15%,-78%,+0%,-4%,-4%,3,-40%,C,-40%,,,,,,B,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,
1217,Thai Red Chicken Curry - Coop,7610848715351,['Coop'],['France'],[],,[],,?,153,640 kj(153 kcal),6,2,18,4,6,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Pépites de chocolat,5400101012547,,['France'],[],,[],,?,503,2105 kj(503 kcal),27,17,54,48,"6,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Maracuja Saft - Pfanner,9006900218751,['Pfanner'],['France'],[],,"['Végétalien', 'Végétarien']",,?,59,247 kj(59 kcal),"0,5","0,1",14,14,"0,5","0,001",0,"['Végétarien', 'Végétalien']",,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de fruit de la passion']",0.5 g,en faible quantité,0.1 g,en faible quantité,14 g,en quantité élevée,0.001 g,en faible quantité,,+9%,+8%,+324%,+239%,+10%,+16%,+92%,-84%,-84%,19,+14%,E,+14%,,,,,,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
1220,Roses Collection - Pergale,4770179106396,['Pergale'],['France'],[],,[],,?,465,1946 kj(465 kcal),21,13,63,56,"3,8","0,09","0,036",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",21 g,en quantité élevée,13 g,en quantité élevée,56 g,en quantité élevée,0.09 g,en faible quantité,,-12%,-12%,-34%,-25%,+20%,+18%,-35%,-41%,-41%,25,+2%,E,+2%,,,,,,,,,,,,,,,,,,,,
1221,Choco noisette tendre et gourmand - L'épicurien,3441260004457,"[""L'épicurien""]",['France'],[],,[],,?,422,1766 kj(422 kcal),26,8,40,40,"5,2","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Moricette,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,La pizza royal halal - 400g,3424600000227,,['France'],[],,[],,?,189,791 kj(189 kcal),6,"2,6",24,"1,6","8,6","1,2","0,48",['Halal'],400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 04112E', 'Manosque (Alpes-de-Haute-Provence, France)']",,,,,
1224,Glace royale - Patisdecor - 1kg,3700105251808,"['Patisdecor', 'Patisdecor Pro']",['France'],"['Sucre', ""blanc d'oeuf déshydraté"", 'acidifiant E330']",['E330 - Acide citrique'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,1664,398,1664 kj(398 kcal),"0,01",0,96,"84,7",3,"0,6","0,24",,1 kg,"['Aides culinaires', 'Préparations pour desserts']",,,,,,,,,+10%,+21%,+21%,-100%,-100%,+70%,+180%,-39%,+44%,+44%,,,,,"['Sachet', 'Plastique']",,,['Œufs'],,,,,,,,,,,,,['Cerf-Dellier'],,,
1225,Filets de Maquereaux romarin et citron - Parallèles,3474608310125,['Parallèles'],['France'],[],,[],,?,367,1536 kj(367 kcal),34,"6,8",0,0,16,"0,8","0,32","['Pêche durable', 'Pêche durable MSC']",,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",34 g,en quantité élevée,6.8 g,en quantité élevée,0 g,en faible quantité,0.8 g,en quantité modérée,,+65%,+67%,+107%,+84%,-100%,-100%,-2%,-28%,-28%,13,+109%,D,+109%,,,,,,C,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,['MSC-C-51908'],,,,,
1226,MERLOT 2019 - 3litres,3350031728372,['Merlot'],['France'],[],,[],,?,?,,?,0,?,0,?,,,,3 litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,Semi di girasole,8011515953806,,['France'],[],,[],,?,619,2590 kj(619 kcal),"56,8",6,"20,5",0,"17,2","0,01","0,004",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",56.8 g,en quantité élevée,6 g,en quantité élevée,0 g,en faible quantité,0.01 g,en faible quantité,,+8%,+8%,+24%,+21%,+54%,-100%,-22%,-99%,-99%,12,-10%,D,-10%,,,,,,C,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,,,
1228,Sel DécOR OR & NOIR,3760194209005,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,Filetti Di Alici All'olio Di Oliva - Conad,80038689,['Conad'],['France'],[],,[],,?,206,862 kj(206 kcal),10,2,0,0,29,"9,2","3,68",,,['it:Filetti di alici'],10 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,9.2 g,en quantité élevée,,,,,,,,,,,13,,D,,,,,,,,,,,,,,,,,,,,,
1230,Tomaten Snack Dr.karg - Dr. Karg‘s - 110g,4033634030125,['Dr. Karg‘s'],"['France', 'Allemagne']",[],,[],,?,422,1766 kj(422 kcal),15,"4,8",51,"4,6",16,2,"0,8",,110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,Sassy Cider L'inimitable - Brut Classic Apple 33CL - 33cL,3770004927012,['Sassy Cider'],['France'],[],,[],,?,?,,?,,?,,?,,,,33 cL,,,,,,,,,,,,,,,,,,,,,,,,['Bottle'],,,,,,,,,,,,,,,,,,,
1232,Pain mais,0250533006561,,['France'],[],,[],,?,359,1502 kj(359 kcal),"8,7","2,4",58,"2,1",11,"1,5","0,6",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",8.7 g,en quantité modérée,2.4 g,en quantité modérée,2.1 g,en faible quantité,1.5 g,en quantité modérée,,+9%,+9%,+42%,+105%,+6%,-46%,+16%,+17%,+17%,12,+135%,D,+135%,,,,,,,,,,,,,,,,,,,,
1233,Pastificio extra di lusso,8004690311516,,['France'],[],,[],,?,458,1916 kj(458 kcal),1,"0,3",69,4,15,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,Paulani Tronco di Natale - Paluani,8002540011180,['Paluani'],['France'],[],,[],,?,387,1619 kj(387 kcal),17,11,53,33,"5,8","0,37","0,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,Wiener minis - Ökoland - 188g,4031829230756,['Ökoland'],"['France', 'Allemagne', 'Suisse']",[],,[],,?,247,1033 kj(247 kcal),21,"8,4","0,5","0,5",14,"1,7","0,68","['Bio', 'Bio européen', 'Sans gluten', 'DE-ÖKO-006']",188g,,,,,,,,,,,,,,,,,,,,,,,,['stück'],,,,,,,,,,,,,,,,,,,
1236,Marmor kuchen,4002809004018,,"['France', 'Allemagne', 'Suisse']",[],,[],,?,382,1598 kj(382 kcal),19,"5,5",47,25,6,"0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,['Becher'],,,,,,,,,,,,,,,,,,,
1237,Chocolat Ambiente Vanille -,27038512,,"['Belgique', 'France']",[],,[],,?,453,1895 kj(453 kcal),18,11,67,62,"2,9",0,0,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,Croziflette - Tout feu tout frais - 380g,3700520502530,"['Tout feu tout frais', 'Brédial']",['France'],"['Crozet 59', '5 %', 'semoule de blé dur de qualité supérieure ', 'GLUTEN', 'farine de blé tendre ', 'GLUTEN', 'farine de sarrasin 17%', 'OEUF frais', 'sel', 'lardon 14', '4 % ', 'poitrine de porc ', 'origine FR', ' 83%', 'eau,sel', 'sirop de glucose', 'bouillon de légumes', 'blette,carotte', ""extrait d'épices"", 'extrait de romarin,ferments', ' ', 'crème 8', '2 % ', 'crème ', 'LAIT', 'ferments lactiques', 'emmental ', 'LAIT', ' 5', '9 %', 'reblochon 4,7 % ', 'LAIT de vache cru et entier', 'sel', 'ferments', 'caséine', 'présure', 'auxiliaire technologique ', 'chlorure de calcium', ' E509', 'colorant de croûte : rocou', 'oignon 4', '1 %', 'vin blanc ', 'SULFITES', 'sel', 'farine de froment', 'GLUTEN', 'huile de colza', 'poivre']","['E392 - Extrait de romarin', 'E160b - Rocou']","['Non végétalien', 'Non végétarien']",4,881,211,881 kj(211 kcal),12,7,15,0,"8,8","1,3","0,52",['Sans arômes artificiels'],380g,"['Plats préparés', 'Plats préparés à réchauffer au micro-ondes']",12 g,en quantité modérée,7 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,+59%,+59%,+59%,+121%,+240%,+16%,-100%,+32%,+67%,+67%,13,+822%,D,+822%,"['Barquette', 'Frais']",,['Bretagne'],"['Œufs', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",https://www.toutfeu-toutfrais.com/croziflette-part-xml-356_359-22645.html,,,,,,,,,"Crozets de Savoie, lardons et reblochon","['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",,,,,
1239,Tagliatelles aux oeufs frais - Belle France - 250g,3258561110905,"['Belle France', 'Le Réflexe Bio']",['France'],"['semoule de blé* dur de qualité supérieure', 'oeufs frais ', '14%', "" * Ingrédients issus de l'Agriculture biologique""]",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,1529,361,1529 kj(361 kcal),3,1,69,3,13,"0,1","0,04","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",250 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Nouilles aux oeufs', 'Tagliatelles aux œufs']",3 g,en quantité modérée,1 g,en faible quantité,3 g,en faible quantité,0.1 g,en faible quantité,+23%,+20%,+21%,+15%,+45%,+22%,+69%,+17%,-39%,-39%,-4,,A,,['Plastique'],,['France'],"['Œufs', 'Gluten']",https://magne-distribution.fr/nos-produits/le-reflexe-bio/,,,,,,,,,pâtes alimentaires,"['EMB 67282B', 'Marlenheim (Bas-Rhin, France)']",,['Coccinelle'],,,
1240,Stuffed zucchini,8690777005708,,['France'],[],,[],,?,118,494 kj(118 kcal),7,1,12,2,1,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,Cheddar,5021427909269,,['France'],[],,[],,?,391,1636 kj(391 kcal),"32,3","20,2","1,6","1,3","23,4","1,6","0,64",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages du Royaume-Uni', ""Fromages d'Angleterre"", 'Cheddars']",32.3 g,en quantité élevée,20.2 g,en quantité élevée,1.3 g,en faible quantité,1.6 g,en quantité élevée,,-1%,-1%,-2%,-4%,+16%,+159%,-1%,-10%,-10%,16,-5%,D,-5%,,,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
1242,Ribbel Chips Naturel -  - 250g,8718906948716,,['France'],"['Ingrediënten: aardappel', '35% zonnebloemolie', 'zout', '\r Waarvan toegevoegde suikers 0g per 100 gram en waarvan toegevoegd zout 1', '2g per 100 gram']",,[],,?,555,2322 kj(555 kcal),35,"3,5",52,"0,5","5,5","1,2","0,48",,250g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",35 g,en quantité élevée,3.5 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en quantité modérée,,+4%,+4%,+5%,+18%,+2%,-61%,-7%,-9%,-9%,14,+28%,D,+28%,,,,,,B,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,
1243,Bonherba,7610167618074,['Bonherba'],"['France', 'Suisse']",[],,[],,?,233,975 kj(233 kcal),0,0,97,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,Huile d'olive basilique - Oliveraie Jeanjean,3760143532710,['Oliveraie Jeanjean'],['France'],[],,[],,?,823,3443 kj(823 kcal),"91,5","12,6",0,0,0,0,0,['Bio'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", 'Huiles aromatisées']",91.5 g,en quantité élevée,12.6 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-6%,-6%,-6%,+3%,,,-100%,-100%,-100%,6,-29%,C,-29%,"['Bouteille', 'Verre']",,,,,C,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,
1245,Kougelhopf,3581086404700,,['France'],[],,[],,?,319,1335 kj(319 kcal),"9,1","3,4","50,4",21,"7,3","0,62","0,248",,,['Kougelhopf'],9.1 g,en quantité modérée,3.4 g,en quantité modérée,21 g,en quantité élevée,0.62 g,en quantité modérée,,-24%,-25%,-63%,-79%,+12%,-19%,+20%,+5%,+5%,12,-37%,D,-37%,,,,,,,,,,,,,,,,,,,,
1246,Confiture de fraise - Saveurs du Vercors - 220g,3760163630861,['Saveurs du Vercors'],['France'],"['fraise roux ', 'contrôlé Eco Social par IBD', ' citron Gelifiant agar agar sucre de canne Confiture préparée avec 6og de truits pour 100g', "" Teneur totale en Sucres:56g pour 100g ssu de l'agriculture biologique"", ' Conserver au frais']",,[],,?,224,937 kj(224 kcal),"0,2",0,"52,3","52,3","0,8","0,019","0,008",['Bio'],220 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",0.2 g,en faible quantité,0 g,en faible quantité,52.3 g,en quantité élevée,0.019 g,en faible quantité,,+3%,+3%,-17%,-100%,-2%,+3%,+81%,-16%,-16%,11,+26%,D,+26%,,,,,,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
1247,Huile d'olive Vierge Extra 2018,3291960072009,,['France'],[],,[],,?,900,3766 kj(900 kcal),100,15,0,0,0,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,+7%,,,,-100%,-100%,6,-2%,C,-2%,,,,,,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,
1248,corn oil - Mazola - 1l,5000232829139,['Mazola'],"['France', 'Royaume-Uni']",[],,[],,?,829,3469 kj(829 kcal),"92,1","12,4",0,0,0,0,0,,1 l,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de maïs']",92.1 g,en quantité élevée,12.4 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-9%,-100%,-100%,-100%,-100%,-100%,11,-3%,D,-3%,['Plastic'],,,,,D,87.3%,5.0%,3.7%,2.2%,1.8%,0.0%,49,,,,,,,
1249,Truffes fantaisies - Guyaux,3290041001341,['Guyaux'],['France'],"['Graisses végétales ', 'coprah', 'palmiste', 'sucre', 'cacao maigre en poudre', 'lactosérum ', 'lait', ' en poudre', 'poudre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', "" Ce produit peut contenir des traces d'arachides"", 'de fruits à coque', 'de sulfites', ""d'œufs"", 'de sésame et de gluten']",['E322i - Lécithine'],"['Huile de palme', 'Non végétalien']",4,?,625,2615 kj(625 kcal),"49,6","44,8",39,"37,4","3,5","0,13","0,052",['Fabriqué en France'],,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Truffes en chocolat']",49.6 g,en quantité élevée,44.8 g,en quantité élevée,37.4 g,en quantité élevée,0.13 g,en faible quantité,,+7%,+7%,+14%,+37%,-3%,+2%,-26%,-1%,-1%,25,+5%,E,+5%,,,,"['Lait', 'Arachides']",,,,,,,,,,,,,,['Huile de palme'],,
1250,Patisserie aux noisettes,9005300004537,,['France'],[],,[],,?,355,1485 kj(355 kcal),12,"3,1",53,21,"7,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,Nouilles de riz 10mm - Oriental Food Co. Ltd - 400g,8850521950672,['Oriental Food Co. Ltd'],['France'],"['Farine de riz', 'eau']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1520,356,1520 kj(356 kcal),"0,8","0,3",80,"0,5",7,"0,05","0,02",,400g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Vermicelle de riz']",0.8 g,en faible quantité,0.3 g,en faible quantité,0.5 g,en faible quantité,0.05 g,en faible quantité,+25%,+7%,+9%,+25%,+17%,+16%,+21%,+43%,-83%,-83%,0,-100%,B,-100%,"['Plastique', 'Transparent']",,"['Bangkok', 'Thailande']",,,,,,,,,,,Nouilles à base de farine de riz,,,['SARL Panda'],,,
1252,Rougail saucisse - Tout feu tout frais - 450g,3700520501687,"['Tout feu tout frais', 'Brédial']",['France'],"['Rougail saucisse ', '55%', ' : Saucisse de Toulouse ', '25', '2%*', 'Viande de porc ', 'origine FR', ' 91 %', 'eau', 'sel', 'poivre', 'saucisse fumée ', '25', '2%*', 'Viande de porc ', 'origine FR', ' 94 %', 'sel', 'poivre', 'eau', 'oignons', 'tomates', 'concentré de tomates', 'farine de BLE', 'huile de colza', 'sel de Guérande', 'gingembre**', 'piment de cayenne** ', 'curcuma**', 'ail en poudre français', ' Riz 3 couleurs ', '45%', ' : eau', 'riz 3 couleurs ', 'riz étuvé indica 60%', 'riz sauvage 20%', 'riz rouge 20 %', 'riz japonica ', '7%', 'sel de Guérande', "" *Pourcentage exprimé sur la portion ** Produits issus de l'agriculture biologique""]",,"['Non végétalien', 'Non végétarien']",3,"720,5",173,"720,5 kj(173 kcal)",11,4,12,1,7,1,"0,4","['Bio', 'Sans additifs', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",450g,['Plats préparés'],11 g,en quantité modérée,4 g,en quantité modérée,1 g,en faible quantité,1 g,en quantité modérée,+11%,+7%,+8%,+54%,+75%,-10%,-52%,+0%,+6%,+6%,5,+27%,C,+27%,"['Frais', 'Barquette', 'Plastique', 'Assiette']",,['Bretagne'],['Gluten'],https://www.toutfeu-toutfrais.com/rougail-saucisse-riz-couleurs-450g-xml-356_359-146830.html,,,,,,,,,,"['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",,,,,
1253,Bloc pate en croûte,3287360738997,,['France'],[],,[],,?,335,1402 kj(335 kcal),23,"8,7",22,"2,2",9,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 39.475.003 CE', 'Saint-Amour (Jura, France)']",,,,,
1254,Mediterrane Potato-Wedges - Farmer's Gold - 1kg,4099200034157,"[""Farmer's Gold""]","['Autriche', 'France']","['Kartoffeln', 'Weizenmehl', 'Sonnenblumenöl ', '5%', 'Kräuter', 'Gewürze', 'Speisesalz', 'Maisstärke']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,143,598 kj(143 kcal),6,"0,5",19,"0,5","2,5","1,3","0,52",,1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Aliments à base de plantes surgelés', 'Pommes de terre surgelés']",6 g,en quantité modérée,0.5 g,en faible quantité,0.5 g,en faible quantité,1.3 g,en quantité modérée,,-12%,-13%,-7%,-62%,-7%,-46%,0%,+151%,+151%,5,,C,,,,,['Gluten'],,,,,,,,,,,,,,,,
1255,12 Paquets De Farcifrutto 10 Mini - Génoises Fourrées Abricot,8004905550297,,['France'],[],,[],,?,390,1632 kj(390 kcal),"15,5","10,3","55,9",6,10,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Purée de pomme avec morceaux,3701259100042,,['France'],[],,[],,?,57,238 kj(57 kcal),"0,5","0,1",13,11,"0,3",0,0,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
