,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,allergens,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,traceability_code,brand_owner,markets,palm_ingredients,origin_detail,producer_info
302,Cuisse de poulet Rôti - Le Gaulois,0217637025782,['Le Gaulois'],['France'],[],,[],,?,168,703 kj(168 kcal),10,"2,6",0,0,19,"1,4","0,56",['Sans conservateurs'],,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",10 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,1.4 g,en quantité modérée,,-12%,-12%,-19%,-22%,-100%,-100%,+3%,+84%,+84%,5,+42%,C,+42%,,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,
303,Saizar - 75cl,8422170010757,['SAIZAR'],"['France', 'Espagne']",[],,[],,?,?,,?,,?,,?,0,0,,75 cl,"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,,,,,,,,,,,,,-100%,-100%,,,,,['Bouteille verre'],,,,,D,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,['Auchan'],,,
304,Confiture extra Framboise - Alain Milliat - 680g,3556009998314,['Alain Milliat'],['France'],"['Framboise', 'sucre', 'gélifiant : pectine']",['E440 - Pectines'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,245,1025 kj(245 kcal),"0,2","0,01","56,6","56,3","0,9","0,008","0,003",['Fabriqué en France'],680 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",0.2 g,en faible quantité,0.01 g,en faible quantité,56.3 g,en quantité élevée,0.008 g,en faible quantité,,+9%,+9%,-26%,-78%,+6%,+10%,+33%,-62%,-62%,11,+24%,D,+24%,,,,,,C,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,
305,Covonut Slim Tea - Fitvia - 100g,4260515892804,['Fitvia'],['France'],[],,[],,?,2,8 kj(2 kcal),"0,5","0,1","0,5","0,5","0,5","0,01","0,004",,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Classic basmati rice,25230536,,['France'],[],,[],,?,356,1490 kj(356 kcal),"1,3","0,1",77,"0,5","8,8",0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",1.3 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,,+8%,+7%,+25%,-58%,+8%,+105%,+17%,-100%,-100%,-1,,A,,,,,,,C,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,
307,Jus de poire - Marius - 75cl,3397514010227,['Marius'],['France'],[],,[],,?,60,251 kj(60 kcal),"0,5","0,1",15,10,"0,5","0,01","0,004","['Bio', 'Bio européen', 'Sans arômes artificiels', 'Agriculture UE', 'FR-BIO-01', 'Sans colorants', 'Sans conservateurs']",75 cl,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de poire']",0.5 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité élevée,0.01 g,en faible quantité,,+18%,+20%,+110%,+131%,+29%,+0%,+54%,+38%,+38%,6,+32%,D,+32%,,,,,,C,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
308,Gran Pavesi,80960171,['Pavesi'],['France'],"['Farina di frumento', 'olio di oliva 10,5%', 'olio extra vergine di oliva 5%', 'vino bianco', 'sale', 'antiossidante: estratto di rosmarino', ' \rPuò contenere tracce di: sola', 'sesamo']",,[],,?,454,1900 kj(454 kcal),17,"2,7","63,1","2,4","9,5","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],,,,,,,,,,,,,,,,
309,Feuille de chêne rouge 125g + 30% - Bonduelle - 163g,3083681049725,['Bonduelle'],['France'],['Feuille de chêne rouge'],,[],,88,21,88 kj(21 kcal),"0,5","0,1","1,9","0,5","1,4","0,1","0,04","['Nutriscore', 'Nutriscore A']",163 g,['Feuilles de chêne'],0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,,,,,,,,,,,-1,,A,,,,['France'],,,,,,,,,,,Prête à l'emploi,"['EMB 44169H', 'Saint-Julien-de-Concelles (Loire-Atlantique, France)']",,,,,
310,Mortadelle de poulet,5705250502513,,['France'],[],,[],,?,180,753 kj(180 kcal),13,"3,2","2,8",0,13,2,"0,8",['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Les Milanaise - Le Gaulois,0217217024402,['Le Gaulois'],['France'],[],,[],,?,121,506 kj(121 kcal),"0,8",0,"5,8","1,9",22,"0,7","0,28",,,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise']",0.8 g,en faible quantité,0 g,en faible quantité,1.9 g,en faible quantité,0.7 g,en quantité modérée,,-8%,-8%,-49%,-100%,-15%,+3%,+3%,-22%,-22%,-1,-246%,A,-246%,,,,,,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,
