,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,generic_name,packaging,manufacturing,markets,allergens,nova_score,additives,link
883,Fondant au chocolat,3700882900074,['France'],[],[],?,419,1753 kj(419 kcal),"23,1","12,6","46,2","42,4","5,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,Melon D'antan,3700869000070,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,gommes fleur de sureau reine des prés,3760115260092,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Escargolo - P'tit Louis,73784937,['France'],[],[],?,284,1188 kj(284 kcal),20,13,0,0,26,"1,3","0,52","[""P'tit Louis"", 'Savencia']",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pour enfants']",,20 g,en quantité modérée,13 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,,+1%,+1%,-9%,-10%,-100%,-100%,+46%,-15%,-15%,13,-11%,D,-11%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
887,Boisson avoine calcium,11073888,['France'],[],[],?,50,209 kj(50 kcal),"1,6","0,2","7,1","6,9","10,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Baguette multicéréales 250g,0203122005902,['France'],[],[],?,295,1234 kj(295 kcal),"4,9","0,4",50,"1,8",10,"6,1","2,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Olia Extra Vergine d’Oliva,8011845001130,['France'],[],[],?,828,3464 kj(828 kcal),92,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Tomates Séchées,2600102010952,['France'],[],[],?,114,477 kj(114 kcal),0,0,25,21,0,"4,06","1,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Suisse au chocolat,0255043020335,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Chocolate a la taza con un de cacao puro elaborado,8437016439067,['France'],[],[],?,348,1456 kj(348 kcal),3,0,"74,9",54,"5,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Tropikilla,5056090907540,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,CASSOULET,3700238308417,['France'],[],[],?,108,452 kj(108 kcal),"4,6","1,7","7,5","1,5","7,6",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Oeufs,3309680006058,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Baguette pointue,8029912000504,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Pizza bolognaise - Belle France,3258561471365,['France'],[],[],?,227,950 kj(227 kcal),"8,4","3,9",25,3,12,"1,3","0,52",['Belle France'],,D,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas à la bolognaise']",,8.4 g,en quantité modérée,3.9 g,en quantité modérée,3 g,en faible quantité,1.3 g,en quantité modérée,,+8%,+7%,+20%,+37%,-5%,-16%,+24%,+33%,+33%,5,+84%,C,+84%,84.7%,5.8%,1.9%,2.3%,1.1%,4.2%,38,,,,,,,,,,
898,Costus root powder,8964000733653,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Sablés Thé Citron,3229580024412,['France'],[],[],?,475,1987 kj(475 kcal),20,13,66,27,"7,1","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,4 croissants,0205511007481,['France'],[],[],?,846,3540 kj(846 kcal),19,"9,8",34,"5,4","7,3","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Nuggets Blé et oignons,15778735,['France'],[],[],?,277,1159 kj(277 kcal),14,"1,4",24,"1,2",13,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,mini beignets,2010000013229,['France'],[],[],?,323,1351 kj(323 kcal),14,"6,6",42,12,"5,4","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,"Barritas de hojaldre con cereales, sésamo y pepitas",8413760010288,['France'],[],[],?,0,0 kj(0 kcal),37,16,48,2,"7,5","0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Delicias de coco,8414088172764,['France'],[],[],?,451.3,1888 kj(451 kcal),27,25,"45,2","40,4","4,65","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Noisettes decortiquées,3335770005373,['France'],[],[],?,630,2636 kj(630 kcal),63,"4,46","6,99","4,34","4,46","4,34","1,736",,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes', 'Fruits à coques décortiqués', 'Noisettes décortiquées']",,63 g,en quantité élevée,4.46 g,en quantité modérée,4.34 g,en faible quantité,4.34 g,en quantité élevée,,-6%,-6%,+1%,-8%,-24%,+8%,-71%,+13855%,+13855%,14,+2233%,D,+2233%,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,,,,['Sachet'],,,,,,
906,Marbré au foie de canard,3358340002039,['France'],[],[],?,393,1644 kj(393 kcal),38,15,"1,5","0,9",11,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Cidre brut gazéifié,3301592000926,['France'],[],[],?,?,,?,0,?,,?,,,,,D,"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres bruts']",,,,,,,,,,,,,,-100%,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,
908,Cool basil,3700871401650,['France'],[],[],?,0,0 kj(0 kcal),14,0,47,"4,5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Limonade,4250370583085,['France'],[],[],?,23,96 kj(23 kcal),?,"5,4","5,4",,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Confit de canard,3358340001315,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Brisa Laranja,5602120223601,['France'],[],[],?,32,134 kj(32 kcal),0,0,"7,7","7,7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Comptoir de st malo,3760190850997,['France'],[],[],?,174,728 kj(174 kcal),"0,8","0,6",39,38,"0,9","0,125","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,7613413941759,7613413941759,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Id:oo,8436542542104,['France'],[],[],?,900,3766 kj(900 kcal),93,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Garbanzos de fuentesaúco con bacalao,8437006101158,['France'],[],[],?,73,305 kj(73 kcal),"1,4","0,24","8,1","0,73",7,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Lentejas de la armuña con chorizo,8437006101097,['France'],[],[],?,332,1389 kj(332 kcal),"2,8","0,9","13,9","1,5","7,5","0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,"Noix de cajou grillées, aromatisées curry",2600299040879,['France'],[],[],?,580,2427 kj(580 kcal),44,"8,6",26,"8,6",18,2,"0,8",,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,44 g,en quantité élevée,8.6 g,en quantité élevée,8.6 g,en quantité modérée,2 g,en quantité élevée,,-3%,-3%,-5%,+1%,+2%,+33%,-4%,+219%,+219%,14,+85%,D,+85%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,
918,Mel multiflores,5601557043493,['France'],[],[],?,330,1381 kj(330 kcal),"0,01","0,01","82,2","82,2","0,31","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Compote pomme banane a emporter - Douceur du Verger,3564706575066,['France'],[],[],?,63,264 kj(63 kcal),"0,5","0,1",15,13,"0,5",,,"['Douceur du Verger', 'Marque Repère']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,
920,Melon en cube,3570250009094,['France'],[],[],?,33,138 kj(33 kcal),"0,2","0,1","6,6","6,4","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Tartinade d'artichauts et citron confit,6191457400049,['France'],[],[],?,150,628 kj(150 kcal),"12,5","0,9",10,5,1,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,0215175037137,0215175037137,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Programme jour minceur,3456300012668,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,0219741022763,0219741022763,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,Tarte aux pommes,3076469505001,['France'],[],[],?,281,1176 kj(281 kcal),12,"4,7",38,15,"3,5","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Comté AOP 24 mois minimul,2257150053921,['France'],[],[],?,?,,?,,?,,?,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
927,Oignon jaune,3760245500013,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons', 'Oignons jaunes']",,,,,,,,,,,,,,,,,,,,,,,,63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,,,,,,,,,,
928,Waftex,8682340118410,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Roseberry Malbec,3555820245188,['France'],[],[],?,352,1473 kj(352 kcal),"0,5","0,1",80,51,6,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Potato rings paprika,2007030002224,['France'],[],[],?,495,2071 kj(495 kcal),25,"2,7",62,"2,4","3,5","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,RICCIOLI AL BAROLO,8031175003505,['France'],[],[],?,1495,6255 kj(1495 kcal),"1,6","0,4",70,"2,7",13,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,Tarte jambon mozarella,3420130004032,['France'],[],[],?,214,895 kj(214 kcal),"6,3","3,6","29,1","1,7","9,8","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Leerdammer le moelleux,2853857018630,['France'],[],[],?,395,1653 kj(395 kcal),31,21,"0,5","0,5",24,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Poulet jaune,2250317101879,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Slim proteine,3525722019316,['France'],[],[],?,352,1473 kj(352 kcal),"3,33","2,3","8,45","4,42","75,56","1,34","0,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Pâte d'ail,3878374470692,['France'],[],[],?,165,690 kj(165 kcal),1,0,33,1,6,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,2227483018249,2227483018249,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Guayapi Sirop De Warana,3471123601509,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,cuisses rôties de poulet,2200623031094,['France'],[],[],?,168,703 kj(168 kcal),"9,1","2,5","1,6","0,5",20,"1,1","0,44",,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,9.1 g,en quantité modérée,2.5 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,,-12%,-12%,-27%,-25%,+403%,+223%,+9%,+45%,+45%,3,-15%,C,-15%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
940,Moutarde à l’estragon,3574315270085,['France'],[],[],?,188,787 kj(188 kcal),12,"0,8",11,"4,4","8,4","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Limonade artisanale,0652733272812,['France'],[],[],?,37.5,157 kj(37 kcal),0,0,7,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Capsule chocolat chaut,8001684917198,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Sablés aux pépites de chocolat,8492740700159,['France'],[],[],?,507,2121 kj(507 kcal),23,19,69,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Merguez,3700502706802,['France'],[],[],?,270,1130 kj(270 kcal),23,11,"2,2","2,2",14,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,Saucisses blanches Tomate Basilic Mozzarella,3481910516664,['France'],[],[],?,248,1038 kj(248 kcal),20,"7,6","1,1","1,1",15,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Thé noir aromatisé fruit de la passion pêche de vigne,3259920096540,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,Caviar d'aubergines,3760313530034,['France'],[],[],?,?,,?,,?,,?,0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Caviars d'aubergine""]",,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,,
948,Harry Potter (candy)-bertie Boots 54G (boite De 24),0071570001094,['France'],[],[],?,364,1523 kj(364 kcal),0,0,91,62,0,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Crème dessert vanille - Auchan,3596710477258,['France'],[],[],?,88.699996948242,371 kj(88 kcal),36,23,"40,7","7,5",3,"0,12","0,048",['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,
950,Poitrine provençale,0242381016922,['France'],[],[],?,141,590 kj(141 kcal),"8,1","1,8","7,9","1,7",15,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Fromage blanc aromatisé avec morceau de fruits,3412290017908,['France'],[],[],?,123,515 kj(123 kcal),13,"3,7",12,"5,3","15,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,Pain nordic,0288048008534,['France'],[],[],?,363,1519 kj(363 kcal),11,"1,2",52,"1,4",13,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Duo caramel,3340390001544,['France'],[],[],?,524,2192 kj(524 kcal),"28,7",15,"58,1",52,"6,5","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Monin - Apple Pie Syrup Tarte Aux Pomme - 700ML,3052910041304,['France'],[],[],?,331,1385 kj(331 kcal),0,0,"80,6","79,1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,Pate aux olives,2411290024801,['France'],[],[],?,309,1293 kj(309 kcal),"29,3","10,9","0,3","0,3","9,8","2,17","0,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Gazoacho,3760294523032,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Saucisson Sec Les Ecofines,3264057565074,['France'],[],[],?,?,,?,,?,,?,,,,,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,,,,,,,,,,,,,,,,,,,,,,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,
958,IPANAPI,3760260950916,['France'],[],[],?,0,0 kj(0 kcal),0,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,Biscuits salés tomates origan,3691600000001,['France'],[],[],?,401,1678 kj(401 kcal),29,"17,1",24,"2,5","11,6","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Urucum en poudre,00907,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,Couronne ind casi,3602826503498,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,Tartinade aubergine-tomate,3760252710344,['France'],[],[],?,23,96 kj(23 kcal),"0,4",0,"2,2","2,2","0,8","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Cassoulet,3760076453687,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,Huile de pépins de raisin,3760108453487,['France'],[],[],?,899,3761 kj(899 kcal),"99,9","11,1",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,Bande feuilletee multi fruits,0206620022631,['France'],[],[],?,165.39999389648,692 kj(165 kcal),"6,5","4,3",23,11,26,"0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Thé des Alizés - Palais des Thés,3700256732485,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,['Palais des Thés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Tropezienne,0216164013057,['France'],[],[],?,306,1280 kj(306 kcal),9,"5,5",46,7,9,"1,1","0,44",,,,"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",,9 g,en quantité modérée,5.5 g,en quantité élevée,7 g,en quantité modérée,1.1 g,en quantité modérée,,+11%,+11%,-12%,-19%,+18%,-65%,+111%,+121%,+121%,13,-14%,D,-14%,,,,,,,,,,,,,,,,,
968,Sorbet fraise,01270801,['France'],[],[],?,79,331 kj(79 kcal),0,0,17,16,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Saucisson,3363299279050,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Noisettes en poudre,3335770005274,['France'],[],[],?,702,2937 kj(702 kcal),66,"4,51","5,21","4,26",17,0,0,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes', 'Noisettes en poudre']",,66 g,en quantité élevée,4.51 g,en quantité modérée,4.26 g,en faible quantité,0 g,en faible quantité,,+5%,+6%,+8%,-4%,-47%,-11%,+6%,-100%,-100%,2,+242%,B,+242%,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,,,,,,,,,,
971,Tablette d'hydratation,0811660022550,['France'],[],[],?,3,13 kj(3 kcal),0,0,"0,4","0,2",0,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,8 mini beignets fourrés,0202147019024,['France'],[],[],?,429,1795 kj(429 kcal),24,"9,3",46,20,"6,7","0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Tarte aux pommes,4012162216126,['France'],[],[],?,916,3833 kj(916 kcal),"8,3","5,9",34,22,"1,8","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,Zuegg banane - 200l,80630722,"['France', 'Allemagne']",[],[],?,55,230 kj(55 kcal),0,0,13,11,0,0,0,['Zuegg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 l,,,['Produkt'],,,,,,
975,Yaourt crémeux sur lit de fruits,3291330011126,['France'],[],[],?,112,469 kj(112 kcal),"4,7","2,9",15,14,"3,7","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Le Gris Mas Marignane,3538650074333,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Licor Limoncello Sophia C / Copo,8003483302205,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Water Hijra,6281103110269,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Risotto poulet & basilic -,170120160041,['France'],[],[],?,?,,?,,?,,?,,,,,D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Plats à la volaille', 'Risottos', 'Plats au poulet', 'Risottos au poulet']",,,,,,,,,,,,,,,,,,,,,,,,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,,,,,,,,
980,Penelas Haricots Blancs Portion,8412258303475,['France'],[],[],?,82,343 kj(82 kcal),"0,4","0,1","11,5","0,7","5,5","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Amandes,3068230016809,['France'],[],[],?,661,2766 kj(661 kcal),54,"4,3",14,4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Amarelli Spezzatina Old England,80586678,['France'],[],[],?,343,1435 kj(343 kcal),"0,01",0,78,"3,4","8,3","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Night Mayonnaise,8428883013276,['France'],[],[],?,360,1506 kj(360 kcal),"35,9","8,08","6,15","2,98","0,59","1,45","0,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Melvita Moelleux Petit déjeuner Chocola,1318179994747,['France'],[],[],?,400,1674 kj(400 kcal),14,"3,2",60,20,"5,9","0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,Confiture gratte cul,3701109400292,['France'],[],[],?,1052,4402 kj(1052 kcal),"0,2",0,60,60,"1,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,Dessert de fruits,3566141100100,['France'],[],[],?,51,213 kj(51 kcal),"0,115","0,006","11,71","11,17","0,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,"Florida's Natural Juice (100% Pure Orange Pineapple, 900 Ml)",6281018420866,['France'],[],[],?,55,230 kj(55 kcal),0,0,13,"12,5","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Biscuits chocolat noisette,3770016266031,['France'],[],[],?,580,2427 kj(580 kcal),39,27,49,20,6,"0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Focaccia Di altamura,8003451300110,['France'],[],[],?,284,1188 kj(284 kcal),10,1,41,3,7,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,Madal Bal Ahornsiroop C+,9002823001012,['France'],[],[],?,275,1151 kj(275 kcal),0,0,67,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Miel acacia,3770010515135,['France'],[],[],?,?,,?,0,?,,?,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,0 g,en faible quantité,,,,,,,,,-100%,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
992,Saveur grill porc à la moutarde bigard,2222162023682,['France'],[],[],?,267,1117 kj(267 kcal),"21,9","8,5","2,3","2,3","15,1","1,26","0,504",['Bigard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
