,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,generic_name,packaging,manufacturing,markets,allergens,nova_score,additives,link
37,Oeufs de cabillaud fumés,2470903066713,['France'],[],[],?,157,657 kj(157 kcal),"3,7",1,2,"0,4",29,"4,3","1,72",,"['EMB 43267O', 'Vorey (Haute-Loire, France)']",,"['Conserves', 'Frais', 'Œufs de poisson', 'Semi-conserves', 'Oeufs de cabillaud']",,3.7 g,en quantité modérée,1 g,en faible quantité,0.4 g,en faible quantité,4.3 g,en quantité élevée,,+3%,+3%,-3%,+26%,+94%,-3%,+4%,+17%,+17%,11,+2%,D,+2%,,,,,,,,,,,,,,,,,
38,Kombucha Vivace bio,3770015551022,['France'],[],[],?,12,50 kj(12 kcal),0,0,4,3,0,0,0,,,,,"['Bio', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Tranche de salami - Marmara,4012625454331,['France'],[],[],?,387,1619 kj(387 kcal),35,17,1,1,17,"3,8","1,52",['Marmara'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Bruschette,3800205877929,['France'],[],[],?,467,1954 kj(467 kcal),19,18,66,"5,5",3,9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Florette caractere,3307905280085,['France'],[],[],?,296,1238 kj(296 kcal),24,18,1,1,19,"1,5","0,6",,,,,['Sans lactose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Torinesi,8004583410678,['France'],[],[],?,435,1820 kj(435 kcal),12,"1,2",69,"3,8",11,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Red Kidney Beans,300000002,['France'],[],[],?,53,222 kj(53 kcal),"0,3",0,"5,3",0,"4,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Graine de courge,5905617000021,['France'],[],[],?,572,2393 kj(572 kcal),46,"8,5",13,11,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Disc'o'Fruit,3332792003851,['France'],[],[],?,88,368 kj(88 kcal),"0,5",0,"21,5","20,8","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Jambon de Bayonne,2692726054764,['France'],[],[],?,222,929 kj(222 kcal),12,"4,4","0,5","0,5","28,4","3,88","1,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Maigams zefirs,4750018004267,['France'],[],[],?,408,1707 kj(408 kcal),"2,5","1,5",72,64,22,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Rillettes,3485311351015,['France'],[],[],?,270,1130 kj(270 kcal),21,"8,1","0,4","0,3",20,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Pâtes fermières au blé noir,0660042472267,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Saucisses ardechoises,3421010001660,['France'],[],[],?,332,1389 kj(332 kcal),"29,8","11,1","1,9","0,3",14,"1,7","0,68",,"['FR 84.108.001 CE', 'Saint-Didier (Vaucluse, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Jambonneau,3760148070248,['France'],[],[],?,290,1213 kj(290 kcal),22,0,3,0,20,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Chipo grelot,2296234030243,['France'],[],[],?,212,887 kj(212 kcal),16,6,0,0,17,2,"0,8",,"['FR ৪1.181.001 CE', 'FR 61.181.001 CE', 'Gacé (Orne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Orangina,0200825008629,['France'],[],[],?,41,172 kj(41 kcal),"0,1",0,"9,7","9,6","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Edam jeune,2860010014507,['France'],[],[],?,316,1322 kj(316 kcal),24,17,"0,5","0,5",25,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Ravioli chevre basilic,2600259006693,['France'],[],[],?,400,1674 kj(400 kcal),"5,8","3,2",41,"1,7","11,2","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Pâté de canard aux noix et vin de noix,2020000010012,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
