,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,labels,markets,additives,nova_score,allergens,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,generic_name,manufacturing,palm_ingredients,link,ingredients_origins,traceability_code
1160,P'TIT DEJ BANANE 100G DES - Ella s kitchen,5060107335240,['Ella s kitchen'],['France'],[],[],?,96,402 kj(96 kcal),"2,2","1,2","15,8","13,6","2,7","0,12","0,048",,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Smoothie the Yellow One 90G Des - Ella s kitchen,5060107335424,['Ella s kitchen'],['France'],"['45% banane', '33% pomme', '15% mangue', '7% abricot']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,72,301 kj(72 kcal),"0,5","0,2","15,6","15,2","0,7","0,03","0,012",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,Petites boules soufflées Framboise Vanille - Ella's Kitchen,5060107335462,"[""Ella's Kitchen""]",['France'],[],[],?,391,1636 kj(391 kcal),"1,5","0,1","82,3","2,1","8,7","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Ella's Kitchen Strawberry & Raspberry Porridge 175G,5060107338791,,['France'],"['organic maize flour 52% organic oats 32% organic rice crispies 9% organic dried strawberries 4% organic dried raspberries 3% thiamin ', 'vitamin bi', '* <0,o\\%']",[],?,340,1423 kj(340 kcal),"4,2","0,7","66,4","4,2","9,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,Premium Lemon Tonic - Fever-tree - 200ml,5060108450058,['Fever-tree'],"['France', 'Suisse']","['Eau de source gazéfiée', 'sucre de canne', 'citron fruits concentré 7', '8 %', 'acide citrique', 'arômes', 'antioxydant: acide ascorbique', 'quinine naturel']",[],148,?,148 kj(35 kcal),0,0,"8,7","7,6",0,0,0,200 ml,['Arômes naturels'],,,,,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Eau tonique', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,7.6 g,en quantité élevée,0 g,en faible quantité,+32%,,+28%,-100%,-100%,+32%,+20%,-100%,-100%,-100%,11,+23%,E,+23%,,,,,,,,,,,,,,
1165,Soda Tonic Water,5060108450126,,['France'],[],[],?,36,151 kj(36 kcal),0,0,"8,9",8,0,,,,,,,,,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Eau tonique']",0 g,en faible quantité,0 g,en faible quantité,8 g,en quantité élevée,,,,+29%,+30%,-100%,-100%,+35%,+26%,-100%,,,,,,,,,,,,,,,,,,,,
1166,Fever-tree Premium Lemonade,5060108450164,['Fever-Tree'],['France'],[],[],?,35,146 kj(35 kcal),0,0,"8,6","7,6",0,,,,,,,,,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,7.6 g,en quantité élevée,,,,-38%,-39%,-100%,-100%,-24%,-19%,-100%,,,,,,,,,,,,,,,,,,,,
1167,Madagascan Cola - Fever-Tree,5060108450676,['Fever-Tree'],['France'],"['carbonated spring water', 'cane sugar', 'acid: citric acid', ' natural flavour ', 'including Madagascan vanilla', 'kola nut extract', 'roasted malted barley', 'natural caffeine']",[],?,36,151 kj(36 kcal),0,0,9,"7,6",0,0,0,,,,['E330 - Acide citrique'],,,,"['Boissons', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,7.6 g,en quantité élevée,0 g,en faible quantité,,-58%,-59%,-100%,-100%,-55%,-58%,-100%,-100%,-100%,12,+1%,E,+1%,,,,,,,,,,,,,,
1168,Fever Tree Ginger Ale 200ML - 200mL,5060108451260,,['France'],[],[],?,33,138 kj(33 kcal),0,0,"7,9","7,9",0,,,200 mL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,Aromatic tonic water made with angostura bark - Fever-Tree,5060108451710,['Fever-Tree'],['France'],[],[],?,17,71 kj(17 kcal),0,0,"4,3","4,3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['glass-bottle'],,,,,,
1170,Thank You Box Of Chocolates - Choconchoc,5060109953961,['Choconchoc'],['France'],"['Czxze• A&vsc• bee 2 34', ' ra Weight:110g']",[],?,560,2343 kj(560 kcal),36,23,51,49,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Rosey Apples,5060110642557,,['France'],[],[],?,376,1573 kj(376 kcal),"0,1","0,1","94,1","67,5","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,RICE CAKES,5060112547409,,['France'],[],[],?,380,1590 kj(380 kcal),"2,8","1,1","79,3","0,5","8,2","0,2","0,08",,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé']",2.8 g,en faible quantité,1.1 g,en faible quantité,0.5 g,en faible quantité,0.2 g,en faible quantité,,-12%,-12%,-76%,-83%,+12%,-96%,+11%,+10%,+10%,0,-100%,B,-100%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,,,,
1173,Puffed rice,5060112547607,,['France'],[],[],?,376,1573 kj(376 kcal),2,"0,5",81,"0,7",7,"0,1","0,04",,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Maca Power - Nature Creative Superfoods,5060113080110,['Nature Creative Superfoods'],['France'],[],[],?,363,1519 kj(363 kcal),"0,6","0,04","75,95","6,5","13,2","0,004","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,Peanut protein,5060113081131,,['France'],[],[],?,456,1908 kj(456 kcal),22,"2,3","43,3","32,6","18,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Ginger teatox - Creative Nature,5060113081148,['Creative Nature'],['France'],"['Dried fruit ', 'sultanas', 'pineapple ', 'contains SUIphites', 'papaya', 'apricots', 'gluten free oats', 'ginger ', '8', '5%', 'coconut', 'vegetable glycerine', 'lemon juice', 'Barley Grass Powder', 'Yerba Mate']",[],?,318,1331 kj(318 kcal),"6,8","4,8","58,1","43,8","4,3","0,2","0,08",,['en:gluten-free'],,['E422 - Glycérol'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Pack of 3 Deal Creative Nature Chia Seeds Raw 450G,5060113085122,,['France'],[],[],?,400,1674 kj(400 kcal),"32,7",3,4,"0,4","23,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,Cacao orange flapjack - Creative Nature,5060113085283,['Creative Nature'],['France'],"['otnvcdiants: Dates', 'Soya protein ', '9%', 'L{ettlumectant ', 'Gkycer00 Rice protÀn ', '4%', '470', 'Cocoa Fit', 're ', '4%', 'Orpn', 'rc Coü BHO%', 'Gluten Free Oats', 'Pumpkin BF', '0il', 'Cacao Beans ', '170', 'surrflŒHSads', 'B?/1Lnseeds', 'Chia Seeds', 'Natural Flavourirg WEkao•0rangenhoch Flappiacke Zutaten: Soja-Protein', 'Zchonefaser', 'GFjcerin', 't', '=tein', 'Erbsenprotein', 'Kakaofaser', 'Glutenfrej Hafer', 'Kürbisk$ne', ': Braun Leinsamen', 'natürtiches Aroma - Soja-Protein', 'Glutenfreie Hafer - In einer a die Bomnüsse und Samen behandett']",[],?,378,1582 kj(378 kcal),"9,7","3,5",46,33,20,"0,41","0,164",,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,Blackcurrant Blighty,5060113450067,,['France'],[],[],?,214,895 kj(214 kcal),"0,7","0,15",49,"47,1",1,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,The custard cream biscuit,5060114955486,,['France'],[],[],?,509,2130 kj(509 kcal),24,13,68,28,"4,5","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,British biscuits,5060114956353,,['France'],[],[],?,489,2046 kj(489 kcal),21,10,67,24,"6,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Pure Acacia Honey,5060118170458,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,
1183,"Epicerie / Epicerie Sucrée / Barres De Céréales, Fruits - Cocofina",5060118260425,['Cocofina'],['France'],"["" lnyjedienti / à aux Dattes Bio : Rasas ecs• t du •a et Dames Barra: Pae-•s• puas'"", ' de g=$', "" ô' avena• "", 'coatiene statea', "" n'es Barretta Bielas}ca e haler • "", 'enthStt']",[],?,358,1498 kj(358 kcal),17,15,53,43,"3,8","0,03","0,012",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,"Epicerie / Epicerie Sucrée / Barres De Céréales, Fruits - Cocofina - 40g",5060118260456,['Cocofina'],['France'],['organic coconut & Cocoa Bar'],[],?,369,1544 kj(369 kcal),"19,4","16,1","52,3","43,7","4,1","0,08","0,032",40 g,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,"Barres De Céréales, Fruits - Coco Fina",5060118260579,['Coco Fina'],['France'],"['Coconut ', '41 Golden Syrup', 'Oats ', '11%', 'Maltodextrin', ' 100% Organic certified ingredients', ' For allergens including cereals containing gluten see ingredients in bold', ' ?coduct we have taken']",[],?,462,1933 kj(462 kcal),"26,3","21,9","49,3","35,4","3,6",0,0,,,,,,['Avoine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Diet whey,5060119290452,,"['France', 'Royaume-Uni']",[],[],?,365,1527 kj(365 kcal),5,"1,4",12,5,68,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Diet whey strawberry cheesecake,5060119290803,,['France'],[],[],?,356,1490 kj(356 kcal),"8,9","4,6",28,"1,6",50,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,PhD Nutrition Diet Whey Chocolate Cookie Bar 50g x 1,5060119290827,['Phd'],['France'],"['Protein Blend [Milk Protein', 'soya Protein Isolate', 'Whey Protein Concentrate ', 'Milk', 'Whey Protein Isolate ', 'Milk', 'Emulsifier ', 'Soya Lecithin', ']', 'Hydrolysed Gelatine', 'Humectant ', 'Glycerol', 'Milk Chocolate Flavoured Coating ', '13%', ' [Sweeteners ', 'Isomalt', 'Sucralose', 'Non-Hydrogenated Palm and Palm Kernel Oil', 'Whey Powder ', 'Milk', 'Fat Reduced Cocoa Powder', 'Fortified Wheat Flour [Wheat Flour', 'Calcium Carbonate', 'Iron', 'Niacin ', 'B3', 'Thiamin ', 'BI', ']', 'Emulsifiers ', 'Soya Lecithin', 'E476', 'Flavouring]', 'Water', 'Sweeteners ', 'Maltitol', 'Sucralose', 'Conjugated Linoleic Acid Powder [Safflower Oil ', 'Rich in Conjugated Linoleic Acid', 'Glucose Syrup', 'Milk Protein', 'Emulsifier ', 'Soya Lecithin', 'Flavouring', 'Vitamin E]', 'Fat Reduced Cocoa Powder', 'Flavourings', 'Flaxseed', 'L-Carnitine', 'Chromium Chloride Hexahydrate']",['Non végétalien'],?,355,1485 kj(355 kcal),9,"4,7",28,"1,4",50,"0,25","0,1",,,,"['E422 - Glycérol', 'E953 - Isomalt', 'E955 - Sucralose', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E965 - Maltitol']",4,"['Gluten', 'Lait', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,PhD Nutrition Pharma Pro-3 Vanilla,5060119292548,,['France'],[],[],?,309,1293 kj(309 kcal),"7,7","5,3",31,3,31,"0,59","0,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,Smart jack chocolat cacahuète - PhD - 60g,5060119293316,['PhD'],['France'],"['Oats ', '20% ', ' ', 'Sweetener ', 'Maltitol', 'Caseinate ', 'Milk', ' ', '10% ', ' ', 'Peanut ', '7%', 'Soya Crisps ', '7%', ' ', 'Soya Protein', 'Tapioca Starch', 'Salt', 'Whey Protein ', '7%', 'Golden Syrup', 'Sugar', 'Vegetable Oils ', 'Palm Oil', 'Rapeseed Oil', 'Water', 'Emulsifier ', 'E471', 'Nibbed Peanuts ', '5%', 'Vegetable Glycerine', 'Chocolate Flavour Topping ', '3%', 'Sugar', 'Palm Oil', 'Whey Powder ', 'Milk', 'Wheat Flour ', 'added Calcium', 'Iron', 'Niacin&Thiamine', 'Fat Reduced Cocoa Powder', 'Emulsifiers ', 'Soya Lecithin', 'Butter ', 'Milk', ' E476', 'Natural Flavouring', 'Colour ', 'Plain Caramel', 'Natural Flavouring', ' ALLERGY INFORMATION: For allergens', 'including cereals containing gluten see ingredients in bold', ' May also contain barley', 'eggs', 'nuts and sulphur dioxide']","['Huile de palme', 'Non végétalien']",?,382,1598 kj(382 kcal),14,"4,2",44,15,28,"0,6","0,24",60 g,,,"['E965 - Maltitol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E422 - Glycérol', 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E150a - Caramel E150a', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",4,"['Œufs', 'Gluten', 'Lait', 'Avoine', 'Arachides', 'Soja']",,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",14 g,en quantité modérée,4.2 g,en quantité modérée,15 g,en quantité élevée,0.6 g,en quantité modérée,,+3%,+3%,+8%,-29%,+35%,+13%,-4%,+22%,+22%,11,+7%,D,+7%,,,,,,,,['Plastique'],Smart jack chocolat cacahuète,,,,,
1191,"Casein, Vanilla Crème - Phd",5060119293903,['Phd'],['France'],"['PhD Protein Blend ', 'Micellar Casein ', 'Milk', ' Micelle XL ', 'Milk Protein Isolate', 'Emulsifier ', 'Soya Lecithin', 'Flavouring', 'PepForm• Tryptophan Peptides ', 'Milk', 'stabiliser ', 'Xanthan Gum', 'Sweetener ', 'Sucralose', 'salt']",[],?,104,435 kj(104 kcal),"1,4","0,3","6,9","4,9","75,5","0,3","0,12",,,,"['E415 - Gomme xanthane', 'E955 - Sucralose']",4,"['Lait', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,Phd VMX2,5060119299059,['Phd'],['France'],"['cteatine Monohydrate', ' Beta Alanine', ' Flavouring', ' Taurine', 'Tri-Methyl Glycine', 'Dextrose Monohydrate', ' Niacin', ' Beetroot Caffeine Anhydrous', ' N-Acetyi L-Tyrosine', '  Bicarbonate', ' Vitamin B6', 'Vitamin B12', ' Acid ', 'Malic Acid', ' Black Pepper Extract', 'Anticaking Agent ', 'Silicon Dioxide']",[],?,350,1464 kj(350 kcal),"0,4","0,4","4,8","1,6",73,"0,024","0,01",,,,"['E296 - Acide malique', 'E551 - Dioxyde de silicium']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Diet Whey - Phd,5060119299707,['Phd'],['France'],[],[],?,17,71 kj(17 kcal),"0,01","0,01","0,1","0,03",4,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,Choc chunk cookies,5060119520269,,['France'],[],[],?,504,2109 kj(504 kcal),"27,4","11,3","60,7","32,7","5,3","0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,Rude Health Organic Multigrain Thins - 160g,5060120281432,['Rude health'],"['France', 'Pays-Bas']",[],[],?,373,1561 kj(373 kcal),"1,3","0,2","80,1","0,6","7,4","0,7","0,28",160 g,"['Agriculture UE/Non UE', 'en:gluten-free']",['Ekoplaza'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,Rude Health Organic Oaty Thins,5060120281456,['Rude health'],['France'],"['ain flavour fix Ingredients Oafs 0%', 'speit ', '5070']",[],?,380,1590 kj(380 kcal),"4,7","0,8","68,5","0,7","11,5","0,15","0,06",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Sprintes porridge oats organic - Rude health - 500g,5060120282606,['Rude health'],['France'],"['Ingredïen"" Sprouted Sprouted Porridge Oats Organic 500g Country of Origin: USA IngredienÉ: flocons d\'avoine Porridge germés BIO Allergen: Pour ies allergens et les cereais contenant du gluten']",[],?,375,1569 kj(375 kcal),"6,5",1,64,0,16,0,0,500g,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Ginger and Tumeric Oaty - Rude health - 200g - 4x 50g,5060120282866,['Rude health'],['France'],[],[],?,443,1854 kj(443 kcal),"17,7","2,7","56,6","3,1",10,"1,4","0,56",200 g - 4 x 50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Granola - Rude Health,5060120283627,['Rude Health'],['France'],"['Avoine', ""Flocons d'Épeautre"", 'Flocons dtOrgee Huile de Tournesol', 'Sirop de Dattes', 'Miel', 'Fraises ', '1,470', 'Framboises ', '0,670', ' Informations sur les allergles: Pour les allergènes et les céréales contenant du gluten voir les ingrédients en caractères gras', ' Aussi produit dans une usine qui i traite les noix', ' Peut contenir des éclats de noyau', 'coque']","['Non végétalien', 'Non végétarien']",?,446,1866 kj(446 kcal),16,2,61,13,10,"0,01","0,004",,['Bio'],,,,['Avoine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Porridge Hazelnut Butter with Cacao - Rude health,5060120283740,['Rude health'],['France'],[],[],?,460,1925 kj(460 kcal),"24,3",6,"43,1","3,7","11,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,"Rude Health Porridge Pot, Hazelnut & Cacao",5060120283764,['Rude health'],['France'],[],[],?,460,1925 kj(460 kcal),"24,3",6,"43,1","3,7","11,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Almond drink organic,5060120283856,,['France'],"['Eau de source', 'Riz bio', 'Amandes bio ', '1%', ' Huile de tourneso£  _ sé à froid bèo,']",[],?,56,234 kj(56 kcal),"1,49","0,3","10,5","4,7","0,2","0,1","0,04",,,,,1,,D,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande""]",1.49 g,en faible quantité,0.3 g,en faible quantité,4.7 g,en quantité modérée,0.1 g,en faible quantité,,+47%,+47%,-30%,+21%,+182%,+70%,-77%,+14%,+14%,1,+580%,B,+580%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,['composite-carton'],,,,,,
1203,Banana Berry Oats - Rude health,5060120283917,['Rude health'],['France'],[],[],?,369,1544 kj(369 kcal),"7,5","1,2","58,6","7,8","11,1","0,003","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Ultimate almond organic - Rude health,5060120284136,['Rude health'],['France'],[],[],?,38,159 kj(38 kcal),"3,2","0,3","0,8",0,"1,5",,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,RUDE HEALTH,5060120284150,['Rude health'],['France'],[],[],?,60,251 kj(60 kcal),"1,4","0,4","11,9","4,8","0,1","0,1","0,04",,"['en:gluten-free', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Essence,5060121570498,,['France'],[],[],?,1,4 kj(1 kcal),"0,4",0,"0,9",0,0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,Little Dish Go Gos Apple 5 X,5060121671874,,['France'],[],[],?,472,1975 kj(472 kcal),"17,3","2,2","66,9","14,8","9,4","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,Oat & seed Go Gos,5060121671898,,['France'],[],[],?,472,1975 kj(472 kcal),"17,3","2,2","66,9","14,8","9,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Little Dish Red Pepper Chickpea Pop Pops,5060121672239,['Little Dish'],['France'],"['Ingredidlts: Chickpea Flour ', '45%', 'Rice Flour', 'Tapioca Starch', 'Sunflower Oil', 'Salt', 'spices', 'Red Pepper Powder', 'Onion Powder', 'Yeast Extracti Apple Juice Powder', 'Dried Garlic', 'lemon Powder', 'Green Jalapeno Œiilll Powder']",[],?,423,1770 kj(423 kcal),"11,8","1,3",61,"1,6","14,6","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Mars Milk - 250ml,5060122032155,['Mars'],['France'],[],[],353,?,353 kj(84 kcal),?,,?,,"3,1",,,250 ml,,['Auchan'],,,,,['Boissons'],,,,,,,,,+27%,,+46%,,,,,+525%,,,,,,,,,,,,,,"['Bouteille', 'Plastique']",Boisson lactée,,,,,
1211,Mars chocolate and caramel flavor mikl drinl,5060122034739,['Mars'],['France'],[],[],?,70,293 kj(70 kcal),"2,1","1,4","9,7","9,6",3,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Dessert Sauce - Mars - 300g,5060122036528,['Mars'],['France'],"['Caramel ', '30%', ' ', 'sirop de glucose', 'sucre', 'eau', 'huile végétale ', 'palme', 'lait écrémé en poudre', 'matière grasse du lait', 'lactose ', 'de lait', 'poudre de lactosérum doux', 'sel', 'arôme', 'sucre', 'eau', 'chocolat au lait ', '12%', ' ', 'sucre', 'beurre de cacao', 'lait écrémé en poudre', 'pâte de cacao', 'lactose ', 'de lait', 'huile végétale ', 'palme', 'poudre de lactosérum ', 'de lait', 'matière grasse du lait', 'émulsifiant : lécithine de soja', 'eau', 'extrait naturel de vanille', 'dextrose', 'épaississant : amidon modifié', 'émulsifiant : lécithine']","['Huile de palme', 'Non végétalien', 'Végétarien']",1323,?,1323 kj(316 kcal),6,"4,5","62,4","61,3","2,1","0,05","0,02",300 g,['Végétarien'],['Cora'],"['E322i - Lécithine', 'E14XX - Amidons modifiés']",4,"['Lait', 'Soja']",,"['Epicerie', 'Sauces', 'Coulis']",6 g,en quantité modérée,4.5 g,en quantité modérée,61.3 g,en quantité élevée,0.05 g,en faible quantité,+49%,,+34%,-67%,+108%,+530%,+849%,-22%,-98%,-98%,17,+47%,D,+47%,,,,,,,,"['Bouteille', 'Plastique']",Sauce à l'arôme de chocolat au lait et caramel,,['Huile de palme'],http://marschocolatedrinksandtreats.com/spreads-sauces/spreads/mars-dessert-sauce/,,
1213,Milky Way Treat Size Hot Chocolate 140G,5060122037754,,['France'],[],[],?,437,1828 kj(437 kcal),12,9,75,69,"5,4","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Milky Way Hot Chocolate,5060122039284,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Cookie mix - Bounty - 180g,5060122039628,['Bounty'],['France'],[],[],?,?,,?,,?,,?,,,180 g,,,,,,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,,,,,,,,,,,,,,,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
1216,Torq Energy Bar Tangy Apricot - Box Of 24 -,5060123410938,,['France'],[],[],?,337,1410 kj(337 kcal),"2,6","0,4","72,2","28,1","4,4","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Typhoo Tea Bags,5060123600148,['Typhoo'],['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Sweet peppermint,5060123607772,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Nettle - Heath & Heather,5060123608861,['Heath & Heather'],['France'],[],[],?,2,8 kj(2 kcal),"0,1","0,1","0,1","0,04","0,16","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Heath & Heather Apple & Cinnamon,5060123608878,['Heath & Heather'],['France'],"['Pomme ', '45%', 'Hibiscus', 'Cannelle ', '20%', 'Arôme Pomme', 'Baies de Sureau', 'Racine de Chicorée']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,3,13 kj(3 kcal),"0,01","0,01","0,66","0,15","0,09","0,03","0,012",,,,,4,,,"['Boissons', 'Boissons sans sucre ajouté']",0.01 g,en faible quantité,0.01 g,en faible quantité,0.15 g,en faible quantité,0.03 g,en faible quantité,,-93%,-93%,-97%,-89%,-92%,-98%,-82%,-37%,-37%,0,-100%,B,-100%,,,,,,,,,,,,,,
1221,Heath and Heather Org Green Imperial Matcha 20bag,5060123609660,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'GB-ORG-05']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Life Water Sparkling,5060128840051,,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,Organic spelt,5060130411850,,['France'],[],[],?,416,1741 kj(416 kcal),11,"1,2",64,17,11,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
