,name,bar_code,brand,categories,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,traceability_code,generic_name,eco_score,packaging,labels,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,link,producer_info,palm_ingredients,brand_owner,origin_detail
1626,Milk filling,7622300511814,,,,['France'],[],,,[],,,,,,,,,,?,,387,,1619 kj(387 kcal),,15,,"2,3",,58,,30,,"6,1",,"0,62",,"0,248",,,,,,,,,,,,,,,,,,,,,,,,,
1627,Raisins sultanines - Rapunzel - 250g,8697418144185,['Rapunzel'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs', 'Raisins secs Sultanines']",,['France'],[],,,[],,0.6 g,en faible quantité,0.1 g,en faible quantité,75 g,en quantité élevée,0.01 g,en faible quantité,?,,336,+8%,1406 kj(336 kcal),+8%,"0,6",+8%,"0,1",-24%,75,+5%,75,+18%,"2,8",-0%,"0,01",-83%,"0,004",-83%,3,-42%,C,-42%,250 g,,,C,,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique']",37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,['Turquie'],,,,,
1628,Cerneaux de noix - Seeberger - 125g,4008258306000,['Seeberger'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",,['France'],[],,,[],,69 g,en quantité élevée,6.4 g,en quantité élevée,2.6 g,en faible quantité,,,?,,715,+4%,2992 kj(715 kcal),+4%,69,+8%,"6,4",+8%,"5,9",-40%,"2,6",-19%,16,+7%,,,,,,,,,125 g,,,D,['Sachet'],"['Bio', 'Bio européen', 'DE-ÖKO-003']",87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,
1629,Mini pitas,3760088803081,,,,['France'],[],,,[],,,,,,,,,,?,,255,,1067 kj(255 kcal),,"1,3",,"0,2",,50,,"8,3",,"9,6",,"0,99",,"0,396",,,,,,,,,,,,,,,,,,,,,,,,,
1630,Atun,8437000066347,,,,['France'],[],,,[],,,,,,,,,,?,,213,,891 kj(213 kcal),,17,,"2,1",,0,,0,,15,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,
1631,Riz au lait de coco - 180g,3350033746800,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,212.30769230769,,888 kj(212 kcal),,"13,846",,"12,308",,20,,"13,077",,"1,923",,"0,058",,"0,023",,,,,,180 g,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,
1632,Rillettes de porc aux oignons VPF - U - 110g,3256228104236,['U'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes']",['Magasins U'],['France'],"['Viande de porc ', 'origine France', 'gras de porc', 'oignons 10%', 'sel de Guérande IGP', 'poivre', ' ', 'porc 112g de porc mis en oeuvre pour 100g de produit fini']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,34 g,en quantité élevée,12 g,en quantité élevée,0.6 g,en faible quantité,1.1 g,en quantité modérée,1529,+32%,370,+26%,1529 kj(370 kcal),+25%,34,+37%,12,+36%,"0,6",-59%,"0,6",-10%,15,+2%,"1,1",-8%,"0,44",-8%,18,+27%,D,+27%,110 g,,,,"['Pot', 'Frais']","['Viande Française', 'Viande Porcine Française', 'Transformé en France']",,,,,,,,,,,,,,
1633,Mélange mendiant standard - 250g,3155570540108,,,,['France'],[],,,[],,,,,,,,,,?,,508,,2125 kj(508 kcal),,"31,6",,"2,7",,"42,5",,38,,"10,6",,0,,0,,,,,,250 g,,,,,,,,,,,,,,,,,,,
1634,Lait entier FaireFrance,3700819800200,,"['Produits laitiers', 'Laits']",,['France'],[],,,[],,4.1 g,en quantité modérée,2.5 g,en quantité modérée,4.8 g,en faible quantité,0.1 g,en faible quantité,?,,69,+5%,289 kj(69 kcal),+5%,"4,1",+99%,"2,5",+110%,"4,8",-20%,"4,8",-12%,"3,3",-7%,"0,1",-19%,"0,04",-19%,1,+74%,B,+74%,,,,D,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,
1635,"Escalopes de Poulet - Le gaulois - 0,240kg",3266980010362,['Le gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Escalopes de poulet']",['Match'],['France'],['Escalopes de poulet'],,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.18 g,en faible quantité,451,,107,-19%,451 kj(107 kcal),-18%,"1,3",-52%,"0,4",-45%,0,-100%,0,-100%,23,+6%,"0,18",-59%,"0,072",-59%,-4,,A,,"0,240 kg","['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",Poulet frais. Classe A.,C,"['Barquette', 'Plastique']","['Viande Française', 'Nourri sans OGM', 'Nutriscore', 'Nutriscore A', 'Volaille-francaise']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['France'],['France'],,,,,
