,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,traceability_code,packaging,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,generic_name,palm_ingredients,link
360,Glace mangue,3701354906419,B,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,,,,
361,Panettone Cuor Cioccolato - 750g,8003115852344,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['France'],[],[],18.4 g,en quantité modérée,10.2 g,en quantité élevée,28.6 g,en quantité élevée,0.42 g,en quantité modérée,?,,398,+6%,1665 kj(398 kcal),+7%,"18,4",+23%,"10,2",+13%,"50,4",-2%,"28,6",+10%,"6,8",-0%,"0,42",-5%,"0,168",-5%,21,+13%,E,+13%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,750 g,['Fabriqué en Italie'],,,,,,,,,,,,
362,Veritable andouille de Guéméné -,0211669032213,E,,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",['France'],"['Chaudins de porc', 'sel', 'poivre', 'conservateurs nitrite de sodium', 'arômes', ' Enveloppe: baudruche de bœuf', 'colorant: caramel E150d']",[],21.2 g,en quantité élevée,10.2 g,en quantité élevée,0.4 g,en faible quantité,2.47 g,en quantité élevée,?,,256,+2%,1071 kj(256 kcal),+3%,"21,2",+5%,"10,2",+1%,"0,4",+6%,"0,4",+42%,"15,7",-4%,"2,47",+3%,"0,988",+3%,23,+6%,E,+6%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,"['Viande Française', 'Viande Porcine Française']","['FR 56.010.003 CE', 'Baud (Morbihan, France)']",,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', ""E150d - Caramel au sulfite d'ammonium""]",,4,,,,,,,
363,Riz rond demi-complet - Celnat,3273120015224,C,['Celnat'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz à grain court']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,,,,
364,Morceaux choisis de poulet,0211995031492,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Natreen Wild-Preiselbeeren - 210g,4008122002861,,['Natreen'],,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,210 g,,,['Glas'],,,,,,,,,,
366,Amaretto,8002374000411,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Miel mazery - 250ml,3770005912048,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,250 ml,,,,,,,,,,,,,
368,Fix für salatsauce CAESAR SALAD - Le Gusto,4061458021104,,['Le Gusto'],,['France'],[],[],,,,,,,,,?,,338,,1414 kj(338 kcal),,32,,6,,8,,"4,9",,3,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
369,Yaourt sucré aux fruits,3760049910025,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Welch's Strawberry Flavor,8801043450706,,,,['France'],[],[],,,,,,,,,?,,54,,226 kj(54 kcal),,0,,0,,"13,5",,"12,7",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
371,John West Tonijnstukken in water - 160g,5000171055637,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,160 g,,,['Dose'],,,,,,,,,,
372,Le Régal de Bourgogne au Gingembre - Delin,3296651110763,D,['Delin'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France']",['France'],[],[],32 g,en quantité élevée,21 g,en quantité élevée,11 g,en quantité modérée,1 g,en quantité modérée,?,,354,+5%,1481 kj(354 kcal),+5%,32,+18%,21,+14%,21,+2610%,11,+2446%,7,-68%,1,-29%,"0,4",-29%,16,+12%,D,+12%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['FR 21.464.001 CE', ""Nuits-Saint-Georges (Côte-d'Or, France)""]",,,,,,,,,,,
373,Zarotti Sardellenfilets in Olivenöl - 110g,8017384050462,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,110 g,,,['Glas'],,,,,,,,,,
374,Les glaces de kerheu,3373202903682,,,,['France'],[],[],,,,,,,,,?,,246,,1029 kj(246 kcal),,"14,5",,14,,24,,14,,"4,8",,0,,0,,,,,,,,,,,,,,,"['FR 29.020.090 CE', 'Briec (Finistère, France)']",,,,,,,,,,,
375,Lzit bebe - Picot,3551101547576,,['Picot'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Pot de rillettes,11247166,,,,['France'],[],[],,,,,,,,,?,,370,,1548 kj(370 kcal),,34,,11,,"0,4",,"0,1",,16,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
377,Whey végétarien,2025000282421,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,
378,Tisane biologique au laurrier,3700669300097,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
379,Chicche di Patate,8024370009878,,,,['France'],[],[],,,,,,,,,?,,157,,657 kj(157 kcal),,"0,4",,0,,33,,"0,1",,"5,2",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
380,Huile d'olive extra vierge,8033928641040,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", ""Huile d'olive verte vierge extra""]",['France'],[],[],90 g,en quantité élevée,9 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+4%,3766 kj(900 kcal),+4%,90,-5%,9,-34%,0,,0,,0,,0,,0,,6,-23%,C,-23%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
381,Big fraich'Taboulé,0291471048084,B,,"['Plats préparés', 'Taboulés']",['France'],[],[],6.16 g,en quantité modérée,0.74 g,en faible quantité,2.19 g,en faible quantité,0.62 g,en quantité modérée,?,,103,-39%,431 kj(103 kcal),-39%,"6,16",-5%,"0,74",+3%,"9,44",-56%,"2,19",-33%,"1,6",-64%,"0,62",-34%,"0,248",-34%,3,+10%,C,+10%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,,,,,,,,,,,,
382,D901827 Delverde Lumaconi Giganti,8006680302382,,['Delverde'],,['France'],[],[],,,,,,,,,?,,300,,1255 kj(300 kcal),,1,,"0,5",,60,,3,,12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
383,"Terrine de veau truite fumée, baies roses, liqueur de mandarine",3770012138028,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Fairtrade fine tea - Sainsbury's,01183764,,"[""Sainsbury's""]",,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,"[""Sainsbury's""]",,,,,,
385,Mini Kalbsschnitzel,0866469114234,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['stück', 'stück']",,,,,,,,,,
386,Tartelette pommes,,B,,"['Tartes', 'Tartes sucrées', 'Tartelettes', 'Tartes aux pommes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,67.5%,16.8%,7.5%,4.2%,4.0%,0.0%,84,,,,,,,,,,,,,,
387,The vert de Chine,6131058000026,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thé vert de Chine']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,
388,Gourmandises - Barres granola tendres - Compliments,0055742540260,,['Compliments'],,['France'],[],[],,,,,,,,,?,,330,,1381 kj(330 kcal),,9,,3,,60,,24,,3,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,
389,Suppengemüse - 1000g,4335718166318,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,1000 g,,,,,,,,,,,,,
390,Chocolat Pour Fondue,0056600004726,,,,['France'],[],[],,,,,,,,,?,,520,,2176 kj(520 kcal),,32,,20,,56,,"53,333",,8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Panettone avec cerises noires confites,8003781371576,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['France'],[],[],16 g,en quantité modérée,9.7 g,en quantité élevée,27 g,en quantité élevée,0.58 g,en quantité modérée,?,,380,+2%,1590 kj(380 kcal),+2%,16,+7%,"9,7",+8%,51,-1%,27,+4%,"7,6",+11%,"0,58",+32%,"0,232",+32%,20,+8%,E,+8%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,
392,Pain bagnat,0204744019612,,,,['France'],[],[],,,,,,,,,?,,299,,1251 kj(299 kcal),,"7,6",,"4,2",,48,,16,,"7,9",,"0,94",,"0,376",,,,,,,,,,,,,,,,,,,,,,,,,,
393,Vin rouge Marcadet,3580800096405,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,,
394,Le Gusto Bunter Pfeffer ganz - 100g,4061458101066,,['Le Gusto'],,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,100 g,,,['Beutel'],,,,,,,,,,
395,Panettone Artisanal Au Chocolat De Sicile,8030525000126,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['France'],[],[],26 g,en quantité élevée,16 g,en quantité élevée,39 g,en quantité élevée,0.2 g,en faible quantité,?,,1,-100%,4 kj(1 kcal),-100%,26,+73%,16,+78%,46,-11%,39,+51%,"3,6",-47%,"0,2",-55%,"0,08",-55%,18,-3%,D,-3%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,
396,Gardiners of Scotland the Twelve Days of Christmas,0704039020403,,,,['France'],[],[],,,,,,,,,?,,417,,1745 kj(417 kcal),,"13,4",,4,,69,,44,,"1,5",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,
397,Hartkorn,4052600101218,,['Hartkorn'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Anchois entiers à l'huile d'olive - Conserverie Courtin - 115g,3268260250505,,['Conserverie Courtin'],,['France'],[],[],,,,,,,,,?,,368,,1540 kj(368 kcal),,"33,2",,"6,1",,"2,5",,"0,19",,23,,"0,8",,"0,32",,,,,,,,,,,,,115 g,,,,,,,,,,,,,
399,Morbier aop au lait cru - Franprix,3263858827817,D,['Franprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",['France'],[],[],29 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,352,-1%,1473 kj(352 kcal),-0%,29,+1%,19,-3%,"0,7",-10%,0,-100%,22,-3%,"1,5",+5%,"0,6",+5%,15,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['EMB 25155A', 'Cléron (Doubs, France)']",,,,,['Franprix'],,,,,,
400,Morbier aop au lait cru - Franprix,3263858827817,D,['Franprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",['France'],[],[],29 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,352,-1%,1473 kj(352 kcal),-0%,29,+1%,19,-3%,"0,7",-10%,0,-100%,22,-3%,"1,5",+5%,"0,6",+5%,15,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['EMB 25155A', 'Cléron (Doubs, France)']",,,,,['Franprix'],,,,,,
401,Fuchs Paprika Rosenscharf,4027900244118,,['Fuchs'],,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Tüte(n)'],,,,,,,,,,
402,Fuchs Paprika Edelsüss mild - 60g,4027900244071,,['Fuchs'],,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,60 g,,,['Tüte(n)'],,,,,,,,,,
403,Dot's mix box x6,0210750026247,,,,['France'],[],[],,,,,,,,,?,,270,,1130 kj(270 kcal),,18,,11,,24,,22,,"1,3",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,
404,Chocolate truffles - Hema,8718537528417,,['Hema'],,['France'],[],[],,,,,,,,,?,,561,,2347 kj(561 kcal),,"38,9",,27,,49,,"48,7",,"3,7",,"0,13",,"0,052",,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,
405,Rainbow cones,5057967137237,,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['card-carton', 'mixed plastic-sleeve', 'card-lid']",,,,,,,,,,
406,Rooilbos aux epices,3760243002410,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Crevette cuite 40/60,0201450016799,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Nicolas Alziari Mélange Grillade - 50g,3424090001230,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,50 g,,,,,,,,,,,,,
409,Haagen Dazs coffee,3415581103922,,['Häagen-Dazs'],,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Tub'],,,,,,,,,,
410,Ice cream peanut butter,5010251930839,B,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'en:Peanut Butter Ice Cream']","['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,['Tub'],,,,,,,,,,
411,Amandes decortiquees,0209733013589,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,['Casino'],,,,,,
412,Abricots secs (Grand frais),2609842025783,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",['France'],[],[],0.5 g,en faible quantité,0.02 g,en faible quantité,53.6 g,en quantité élevée,0.02 g,en faible quantité,?,,283,+8%,1184 kj(283 kcal),+8%,"0,5",+3%,"0,02",-67%,"62,6",+8%,"53,6",+18%,"3,4",+10%,"0,02",-43%,"0,008",-43%,6,+73%,C,+73%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,,,
413,Tango eeezy freezzy squeez,5056192400338,,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Namjaj Red Curry Paste - 50g,8850173310138,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,50 g,,,['Beutel'],,,,,,,,,,
415,Minions,5010236116616,,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,2 moelleux au chocolat - 2x 80g,3289476000135,D,,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Moelleux au chocolat']",['France'],[],[],25 g,en quantité élevée,15 g,en quantité élevée,26 g,en quantité élevée,0.13 g,en faible quantité,?,,387,-9%,1619 kj(387 kcal),-9%,25,+2%,15,+54%,32,-26%,26,-17%,"6,5",+7%,"0,13",-64%,"0,052",-64%,19,-2%,E,-2%,83.9%,9.8%,1.9%,2.9%,1.1%,0.3%,36,2 x 80 g,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",,,,,,,,,,,,
417,Pépite de figues,14035081,,,,['France'],[],[],,,,,,,,,?,,333,,1393 kj(333 kcal),,"0,7",,"0,1",,78,,66,,"2,1",,"0,325",,"0,13",,,,,,,,,,,,,,,,,,,,,,,,,,
418,Ecorces orange confites en lamelles,2601481023816,,,,['France'],[],[],,,,,,,,,?,,310,,1297 kj(310 kcal),,"0,3",,"0,2",,76,,55,,1,,"0,02",,"0,008",,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,
419,Karameller Fudge,0200030196418,,,,['France'],[],[],,,,,,,,,?,,471,,1971 kj(471 kcal),,20,,14,,72,,61,,"2,1",,"0,68",,"0,272",,,,,,,,,,,,,,,,,,,,,,,,,,
420,Crispy aromatic shredded duck - Betty Bossi,5054070633687,,['Betty Bossi'],,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Bonbons clairs à l'érable - 100g,0842161006398,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,5 g,en quantité modérée,0 g,en faible quantité,?,,25,-93%,105 kj(25 kcal),-93%,0,-100%,0,-100%,6,-93%,5,-91%,0,-100%,0,-100%,0,-100%,1,-93%,B,-93%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,100 g,,,,,,,,,,,,,
422,Scitec Nutrition Amino 5600,5999100001275,,['Scitec nutrition'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Glands,0211855021656,,,,['France'],[],[],,,,,,,,,?,,260,,1088 kj(260 kcal),,"6,5",,"3,7",,46,,34,,"3,1",,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,
424,Egg fried rice,5019520002024,,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['Packet', 'packet(s)']",,,,,,,,,,
425,Calamars  a la sauce à l encre,8410149019870,,,,['France'],[],[],,,,,,,,,?,,583,,2439 kj(583 kcal),,10,,4,,"2,1",,"1,1",,"10,4",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
426,Sucre d'érable crumbles pure,0842161006954,,,,['France'],[],[],,,,,,,,,?,,10,,42 kj(10 kcal),,0,,0,,3,,3,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Soupe,8690906006606,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Saucisson à cuire,2297094022379,,,,['France'],[],[],,,,,,,,,?,,359,,1502 kj(359 kcal),,27,,11,,"1,4",,"1,3",,18,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,
429,Amandes Largueta Pralinées - Auchan,8435177061103,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Amandes caramélisées']",['France'],[],[],29 g,en quantité élevée,2.8 g,en quantité modérée,47 g,en quantité élevée,0.02 g,en faible quantité,?,,517,+40%,2163 kj(517 kcal),+39%,29,+275%,"2,8",+133%,47,-32%,47,-6%,13,+261%,"0,02",-48%,"0,008",-48%,13,+1%,D,+1%,,,,,,,,,"['Nutriscore', 'Nutriscore D']",,,,,,['Auchan'],,,,,,
430,Mélange à crêpes & gaufres Érable et Forêt Noire,0842161000389,,,,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,0,,0,,14,,13,,0,,"0,002",,"0,001",,,,,,,,,,,,,,,,,,,,,,,,,,
431,Mélange à crêpes et gaufres pur croquants d'érable,0842161002642,,,,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,0,,0,,14,,13,,0,,"0,002",,"0,001",,,,,,,,,,,,,,,,,,,,,,,,,,
432,poisson,0202927017196,,,"['Produits de la mer', 'Poissons']",['France'],[],[],0.7 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,?,,84,-56%,351 kj(84 kcal),-56%,"0,7",-94%,"0,2",-92%,0,-100%,0,-100%,19,+4%,"0,2",-87%,"0,08",-87%,-4,-158%,A,-158%,,,,,,,,,,,,,,,,,,,,,
433,Sirop Passion,3770010634058,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Macarico Massa Sauce Poivron Ail,5601378020567,,,,['France'],[],[],,,,,,,,,?,,58,,243 kj(58 kcal),,"0,6",,"0,1",,"9,8",,"2,1",,"2,1",,13,,"5,2",,,,,,,,,,,,,,,,,,,,,,,,,,
435,Ma Réserve Bio,3418500007677,,['Ma Réserve BIO'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Max Havelaar']",,,,,,,,,,,,
436,Abricot turquie,3664641002518,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Truite fumée à chaud,2287011037852,E,,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,,,,,,,,,,,
438,Pavé au poivre finement tranché - Carrefour,0219010015489,,['Carrefour'],,['France'],[],[],,,,,,,,,?,,323,,1351 kj(323 kcal),,24,,12,,"3,4",,"2,1",,23,,"4,8",,"1,92",,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française', 'Fabriqué en France']","['EMB 57032A', 'Ars-sur-Moselle (Moselle, France)']",,,,,['Carrefour'],,,,,,
439,Jambon superieur cuit 3 noix,2210249045986,,,,['France'],[],[],,,,,,,,,?,,162,,678 kj(162 kcal),,"9,5",,"1,1",,"0,9",,"0,6",,0,,"0,33",,"0,132",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['FR 16.545.2001 CE'],,,,,,,,,,,
440,Pain complet,0260061008869,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Beignet à la framboise - 280g,0205179015415,,,,['France'],[],[],,,,,,,,,?,,317,,1326 kj(317 kcal),,"9,6",,"1,5",,50,,20,,"6,7",,"0,72",,"0,288",,,,,,,,,,,,,280 g,,,,,,,,,,,,,
442,Sablés aux pralines,3449612065507,,,,['France'],[],[],,,,,,,,,?,,523,,2188 kj(523 kcal),,"29,1",,10,,"57,8",,"25,7",,"6,1",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,
443,Blanc de poulet - 40g,2302734075025,,,,['France'],[],[],,,,,,,,,?,,443,,1854 kj(443 kcal),,"1,9",,"0,5",,"0,9",,"0,9",,21,,"1,4",,"0,56",,,,,,,,,,,,,40 g,['Nutriscore'],"['FR 85.051.003 CE', 'Chantonnay (Vendée, France)']",,,,,,,,,,,
444,Douceur de canard au raisins et sauternes(20% foie gras),3700428468303,,,,['France'],[],[],,,,,,,,,?,,314,,1314 kj(314 kcal),,"27,5",,"9,98",,"6,9",,"4,43",,"10,13",,"1,82",,"0,728",,,,,,,,,,,,,,,,,,,,,,,,,,
445,Pomme De Terre Filet 1.5KG Chair Ferme,3760111790265,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pommes de terre']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-09']",,,,,,,,,,,,
446,Miel d'Oranger Biologique,3562510933751,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
