,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,traceability_code,packaging,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,generic_name,palm_ingredients,link
1763,Viande des Grisons aux herbes 9 tranches - 70g,3222477074590,,,"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Viande des grisons']",['France'],"['Viande bovine ', 'origine : ue', "" - sel - épices et extraits d'épice - dextrose - sucre - conservateur : nitrate de potassium - acidifiant : citrate de sodium - antioxydant : ascorbate de sodium - ferments"", ' enrobage : herbes aromatiques 1% - gélatine de bœuf', ' traces de lait', 'fruits à coque', 'soja', 'œufet moutarde']","['Non végétalien', 'Non végétarien']",3.9 g,en quantité modérée,2.3 g,en quantité modérée,0.7 g,en faible quantité,4.7 g,en quantité élevée,838,+1%,198,+1%,838 kj(198 kcal),+2%,"3,9",+1%,"2,3",+49%,"0,8",-3%,"0,7",+16%,40,+2%,"4,7",-0%,"1,88",-0%,14,+9%,D,+9%,,,,,,,,70 g,,,,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E301 - Ascorbate de sodium', 'E428 - Gélatine']",,4,,,,,"Viande des grisons, enrobage à base d'herbes aromatiques.",,
1764,Foie gras de canard entier du Sud-Ouest cuit au torchon - Casino - 100g,3222473288434,B,['Casino'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",['France'],"['Foie gras de canard du Sud-Ouest - sel - Armagnac 0', '99% - poivre blanc - sucre - conservateur : nitrite de sodium', ' Bouillon de cuisson : eau - sirop de glucose - Armagnac - sel - jus de truffe - gélifiants: carraghénanes', 'agar agar', 'farine de graines de caroube - dextrose - acidifiant: acide citrique - conservateur: nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",54 g,en quantité élevée,22 g,en quantité élevée,1.5 g,en faible quantité,1 g,en quantité modérée,2153,+1%,522,+2%,2153 kj(522 kcal),+1%,54,+2%,22,-2%,"1,9",-18%,"1,5",+11%,"7,2",+4%,1,-17%,"0,4",-17%,20,-3%,E,-3%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,100 g,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E406 - Agar-agar', 'E410 - Gomme de caroube', 'E330 - Acide citrique']",,4,['Casino'],,,,Foie gras de canard entier du Sud-Ouest cuit au torchon,,
1765,"Foie gras de canard entier du Sud-Ouest, cuit au torchon, au poivre du Sichuan cuit au torchon - Casino Délices - 240g",3222477074279,,['Casino Délices'],,['France'],"['Foie gras de canard du Sud-Ouest - sel - épices - poivre de Sichuan 0', '3% - sucre - conservateur : nitrite de sodium', ' Bouillon de cuisson: eau - gélatine de volaille - Armagnac - jus de truffes - sel - conservateur : nitrite de sodium']","['Non végétalien', 'Non végétarien']",,,,,,,,,2153,,522,,2153 kj(522 kcal),,54,,22,,"1,9",,"1,5",,"7,2",,1,,"0,4",,,,,,,,,,,,,240 g,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E428 - Gélatine']",,4,['Casino'],,,,Foie gras de canard entier du Sud-Ouest au poivre de Sichuan cuit au torchon,,
1766,Granola amande noisette -,3770014132000,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Mueslis aux fruits à coque']",['France'],[],[],21.9 g,en quantité élevée,2.47 g,en quantité modérée,10.5 g,en quantité modérée,0.2 g,en faible quantité,?,,471,+7%,1971 kj(471 kcal),+7%,"21,9",+29%,"2,47",-21%,"54,5",-5%,"10,5",-27%,"10,3",+1%,"0,2",+24%,"0,08",+24%,-1,-126%,A,-126%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,
1767,Dôme glacé Mangue passion framboise - 530g,3222477074668,,,,['France'],"['Eau - purée de mangue 17,5% - lait entier - sucre - purée de framboise 7% - chocolat de couverture noir 5,3% ', 'pâte de cacao - sucre - beurre de cacao - émulsifiant : lécithine de soja - arôme naturel de vanille', ' - crème fraiche - sirops de glucose - lactose et protéines de lait - jus concentré de fruit de la passion 1,9% - dextrose - huile de tournesol - mascarpone 1,6% ', ""crème - lait entier - correcteur d'acidité : acide citrique"", ' - brisures de crêpe dentelle ', ""farine de blé - sucre - beurre concentré - lait écrémé en poudre - malt d'orge - sel"", ' - framboise 1,3% - sirop de sucre inverti cristallisé - noix de coco râpée 0,7% - sirop de glucose-fructose - cubes de mangue 0,5% - stabilisants : gomme guar', 'farine de graines de caroube', 'hydroxypropylméthylcellulose - protéines de lait - meringue 0,1% ', ""sucre - blanc d'oeuf"", "" - émulsifiant : mono - et diglycérides d'acide gras - correcteur d'acidité : acide citrique - gélifiant : pectines - denrée alimentaire colorante "", 'concentré de carthame et citron', ' traces de fruits à coque', ' les informations en gras sont destinées aux personnes intolé,rantes ou allergiques']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",,,,,,,,,869,,207,,869 kj(207 kcal),,"7,9",,"4,1",,31,,26,,"1,9",,"0,07",,"0,028",,,,,,,,,,,,,530 g,,,,"['E322i - Lécithine', 'E330 - Acide citrique', 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E464 - Hydroxypropylméthylcellulose', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E440 - Pectines']","['Œufs', 'Gluten', 'Lait', 'Soja']",4,,,,,"Entremets glacé composé de sorbet plein fruit à la mangue et au fruit de la passion (40,6%), crème glacée au mascarpone (27,9%), sorbet plein fruit à la framboise (14,3%), croustillant au chocolat de couverture noir et à la noix de coco (9,3%), enrobage à",,
1768,2 Mini bûches glacées Chocolat avec éclats d'amandes caramélisées - 140g,3222477074675,,,,['France'],"['lait entier - sucre - chocolat noir 8,7% ', 'pâte de cacao - sucre - beurre de cacao - arôme naturel de vanille', ' - amandes 7,7% - crème fraîche - chocolat noir 4,9% ', 'pâte de cacao - sucre - beurre de cacao - émulsifiant : lécithine de soja - arôme naturel de vanille', ' - cacao en poudre - beurre de cacao - huile de tournesol - sirops de glucose - crème stérilisée ', 'crème - stabilisant : carraghénanes', "" - lactose et protéines de lait - lait écrémé en poudre - émulsifiant : mono - et diglycérides d'acide gras - stabilisants : farine de graines de caroube"", 'gomme guar - miel', 'traces de gluten', 'oeufs et autres fruits à coque']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,1270,,305,,1270 kj(305 kcal),,21,,"9,3",,22,,17,,"5,4",,"0,09",,"0,036",,,,,,,,,,,,,140 g,,,,"['E322i - Lécithine', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar']","['Lait', 'Fruits à coque', 'Soja']",4,,,,,"2 mini bûches glacées composées d'une crème glacée au chocolat noir (79,5%) avec inclusions d'amandes caramélisées (6,5%), décorées d'un flocage au chocolat noir (9,9%), de ganache au chocolat noir (2,5%) et d'une amande caramélisée en décor (1,5%), surgelées",,
1769,"Bûche glacée Saveur crème brûlée - Casino - 510,6g",3222477106383,D,['Casino'],"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",['France'],"['Eau - lait écrémé réhydraté - sucre - graisse de coprah - sirop de glucose-fructose - lactose et protéines de lait - caramel aromatique 4% ', 'sucre - eau - acidifiant : acide citrique', ' - noisettes 2,3% - sirop de glucose - nougat noir 0,5% [amandes grillées - sirop de glucose - sucre - beurre de cacao - colorant : caramel ordinaire - pain azyme ', 'fécule de pomme de terre - eau', ""] - émulsifiant : mono - et diglycérides d'acides gras - gélifiants : farine de graines de caroube "", 'gomme guar - arômes naturels - plaquette de chocolat noir 0,3% ', 'pâte de cacao - sucre - beurre de cacao - émulsifiants : lécithine de soja', 'polyricinoléate de polyglycérol - arôme naturel de vanille', ' - colorants : caramel ordinaire', 'rocou', 'curcumine - arôme naturel de vanille - miel', 'traces de gluten', 'arachides', 'œufs et autres fruits à coques']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",9.8 g,en quantité modérée,7.5 g,en quantité élevée,23 g,en quantité élevée,0.13 g,en faible quantité,840,+7%,201,+0%,840 kj(201 kcal),+1%,"9,8",+21%,"7,5",+39%,26,-9%,23,-7%,"2,1",-9%,"0,13",+5%,"0,052",+5%,14,+24%,D,+24%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,"510,6 g",,,,"['E330 - Acide citrique', 'E150a - Caramel E150a', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E160b - Rocou', 'E100 - Curcumine']","['Lait', 'Fruits à coque', 'Soja']",4,['Casino'],,,,"Bûche glacée composée de glace au caramel, aromatisée (37,2%), glace saveur crème brûlée (33,3%), glace à la vanille (25,9%) avec des morceaux de noisettes hachées caramélisées (2,1%) en inclusions, décors de morceaux de noisettes caramélisées (0,6%), mor",,
1770,2 Tartare aux 2 saumons fromage frais et compotée de poivrons - 150g,3222477074767,,,,['France'],"['fromage frais 27,7% - saumon ', 'salmo salar', ' cru 24,3% - saumon fumé [saumon ', 'salmo salar', "" - sel] 11,8% - eau - crème fraîche légère - huile d'olive vierge - préparation à base de poivron piquillo 5,2% "", 'poivron piquillo grillé 4,7% - huile de tournesol - sel - sucre - jus de citron à base de concentré - ail - plantes aromatiques - poivre', ' - préparation à base de poivron jaune 5,2% ', 'poivron jaune grillé 4,8% - huile de tournesol - jus de citron à base de concentré - sel - sucre - plantes aromatiques - ail - poivre', ' - ciboulette 1,4% - amidon transformé de maïs - sel - jus de citron concentré - ail - épaississant : gomme guar - poivre', 'traces de gluten', 'crustacés et mollusques']","['Non végétalien', 'Non végétarien']",,,,,,,,,823,,198,,823 kj(198 kcal),,16,,"5,8",,2,,"1,9",,11,,"1,2",,"0,48",,,,,,,,,,,,,150 g,,,,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar']","['Poisson', 'Lait']",4,,,,,"Préparation à base de fromage frais, de cubes de saumon cru, de cubes de saumon fumé, de préparations à base de poivron piquillo et de poivron jaune, et de ciboulette, surgelée",,
1771,Pommes Duchesse aux cèpes - 300g,3222477069909,,,,['France'],"[""Pommes de terre 75,3% - jaune d'oeuf - beurre - huile de tournesol - flocons de pommes de terre 2% "", ""pommes de terre déshydratées 1,9% - émulsifiant : mono - et diglycérides d'acides gras - extrait d'épice"", ' - brisures de cèpe 1,7% - sel - cèpes déshydratés 0,3% - poivre', 'traces de gluten', 'fruits à coque', 'céleri', 'crustacés', 'graines de sésame', 'mollusques', 'moutarde', 'poissons et soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",,,,,,,,,840,,202,,840 kj(202 kcal),,15,,"6,4",,13,,,,"2,8",,"0,61",,"0,244",,,,,,,,,,,,,300 g,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Lait']",4,,,,,Préparation à base de pommes de terre et de cèpes surgelée,,
1772,Ensemble avec les eleveurs lait de bretagne demarche solidaire - 6x 1l,3222477017856,,,,['France'],"['lait demi-écrémé ', 'origine : france']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,195,,46,,195 kj(46 kcal),,"1,6",,1,,"4,8",,"4,8",,"3,2",,"0,13",,"0,052",,,,,,,,,,,,,6 x 1 l,,,,,['Lait'],,,,,,Lait demi-écrémé stérilisé UHT,,
