,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,eco_score,traceability_code,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,nova_score,quantity,markets,allergens,generic_name,additives,link,origin_detail,manufacturing,brand_owner,palm_ingredients,producer_info
1445,Algues sechees filament,0087703186453,['France'],[],[],?,160,669 kj(160 kcal),0,0,40,0,0,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1446,The big One eau de source 5L,0088009970913,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447,Compote Rhubarbe - Bonne Maman,0088702077261,['France'],[],[],?,120,502 kj(120 kcal),0,0,"28,667",0,"0,667",0,0,['Bonne Maman'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,Garden - Malkist Crackers,0089782011428,['France'],[],[],?,544,2276 kj(544 kcal),32,18,60,20,4,"0,3","0,12",['Garden'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,Still Lemonade - Marks & Spencer - 1L e,00802864,"['France', 'Royaume-Uni']","['Eau', 'Jus de citron ', '12%', ' • Sucre • Pulpe de citron ', '3%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,40,167 kj(40 kcal),"0,1","0,1",90,70,"0,1","0,1","0,04",['Marks & Spencer'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades', 'Boissons avec sucre ajouté', 'Citronnades', 'Boissons au citron']",['Point Vert'],0.1 g,en faible quantité,0.1 g,en faible quantité,70 g,en quantité élevée,,+25%,+23%,+31%,+890%,+1024%,+831%,-22%,,,0.1 g,en faible quantité,+1556%,+1556%,16,+58%,E,+58%,,,,,,,,"['Bouteille', 'Verre']",,3,1 L e,['Marks & Spencer'],,,,,,,,,
1450,Chickpeas - Marks & Spencer - 400g,00809368,['France'],['Chickpeas • Water'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,126,527 kj(126 kcal),"1,9","0,2","17,7","0,5","6,4",0,0,['Marks & Spencer'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Graines', 'Aliments à base de plantes en conserve', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches', 'Légumineuses en conserve', 'Pois chiches en conserve']",,1.9 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,,+9%,+9%,-7%,-26%,+18%,-29%,-1%,B,,0 g,en faible quantité,-100%,-100%,-7,,A,,28.6%,33.2%,14.9%,14.4%,4.2%,4.8%,88,,,1,400 g,['Marks & Spencer'],,,,,,,,,
1451,Chunky vegetable soup,00816298,['France'],[],[],?,45,188 kj(45 kcal),"0,3","0,1","7,8","2,4",2,"0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452,Sour cream & chive dip - marks & spencer - 230g,00888233,['France'],"['Crème légère aigre ', 'Lait', ' ', '41%', ' Fromage frais ', 'lait', ' 41% Huile de colza Oignons Ciboulette ', '2,5% ', ' Fécule de maïs Vinaigre de vin blanc Sucre Sel Jus de citron concentré']",['Non végétalien'],?,169,707 kj(169 kcal),"14,2","2,7","4,9","3,4","4,7","0,48","0,192",['marks & spencer'],"['Epicerie', 'Sauces', 'Sauces crudités']",,14.2 g,en quantité modérée,2.7 g,en quantité modérée,3.4 g,en faible quantité,,-40%,-41%,-49%,+16%,-19%,-11%,+445%,D,,0.48 g,en quantité modérée,-77%,-77%,4,-71%,C,-71%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Plastique'],,3,230 g,,['Lait'],,,,,,,,
1453,Spiruline en Petales - Gourmet Spiruline - 90g,0091037561480,['France'],"['100% Spiruline ', 'Spirulina platensis']",['Sans huile de palme'],?,376,1573 kj(376 kcal),"7,9","3,4","0,6","0,1","71,2","3,1","1,24",['Gourmet Spiruline'],"['Compléments alimentaires', 'Spiruline']",['en:gluten-free'],7.9 g,en quantité modérée,3.4 g,en quantité modérée,0.1 g,en faible quantité,,+50%,+48%,+116%,+166%,-94%,-86%,+44%,E,,3.1 g,en quantité élevée,+170%,+170%,17,+248%,D,+248%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,['Burkina Faso'],1,90 g,,,,,,,,,,
1454,Chicken Breast Kirkland Signature 5 Pack Net WT 62.5 Oz . Same Day Shipping - 354g,0096619488827,"['France', 'Espagne']",['Fat'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,30.3,127 kj(30 kcal),"0,505",0,0,0,"6,57","0,106","0,042",['Kirkland signature'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,0.505 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-77%,-77%,-82%,-100%,-100%,-100%,-71%,D,,0.106 g,en faible quantité,-86%,-86%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,4,354 g,,,,,,,,,,
1455,100% juice Orange not from concentrate - 365 everyday value,0099482437053,"['France', 'États-Unis']",[],[],?,45.833333333333,192 kj(45 kcal),0,0,"10,833","9,167","0,833",0,0,['365 everyday value'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,0 g,en faible quantité,0 g,en faible quantité,9.17 g,en quantité élevée,,+7%,+5%,-100%,-100%,+12%,+1%,+33%,D,,0 g,en faible quantité,-100%,-100%,4,+33%,C,+33%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,"Whole Foods Market, Inc.",,
1456,Lemon & lime - M&S,00901369,"['France', 'Royaume-Uni']","['Eau de source', 'Jus de pomme concentre', 'dioxyde de carbone,\rAcidifiant : Acide citrique', 'Acide malique', 'Arômes ', 'Citron vert', 'Citron', 'Arôme', ""?\rd'acidité : E331"", 'Conservateur : E202', 'Antioxydant : Acide ascorbique', '?\rSucralose']",[],?,3,13 kj(3 kcal),"0,1","0,1","0,5","0,4","0,1","0,025","0,01",['M&S'],['Boissons'],,0.1 g,en faible quantité,0.1 g,en faible quantité,0.4 g,en faible quantité,,-95%,-95%,-71%,-15%,-96%,-96%,-80%,,,0.025 g,en faible quantité,-40%,-40%,2,-74%,C,-74%,,,,,,,,['pet-bottle'],,4,,['Marks & Spencer'],,,"['E290 - Dioxyde de carbone', 'E330 - Acide citrique', 'E296 - Acide malique', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E955 - Sucralose']",,,,,,
1457,British chicken chunks,00901802,['France'],[],[],?,201,841 kj(201 kcal),"10,8",1,"13,5","0,1","11,7",1,"0,4",,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,Cheesecake Au Citron - M&S,00907774,"['France', 'Royaume-Uni']",[],[],?,312,1305 kj(312 kcal),"16,5","7,3","37,3","17,8","2,6","0,28","0,112",['M&S'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Cheesecakes', 'Cheesecakes au citron']",,16.5 g,en quantité modérée,7.3 g,en quantité élevée,17.8 g,en quantité élevée,,+1%,+5%,+2%,-21%,+17%,-21%,-37%,C,,0.28 g,en faible quantité,-10%,-10%,14,-15%,D,-15%,75.3%,15.7%,3.4%,3.2%,1.9%,0.5%,56,,,,,['Marks & Spencer'],,,,,,,,,
1459,Soft raisin medley - Share,00913126,['France'],"['gros rak Malaga et raisins de •anyrne partiellement réhydratés INGREDIENTS Raisins de Malaga partiellement réhydratés ', '73%', ' • : Raisins des e myrn rtiellement i réhydratés ', '2599* uile de tournesol • : Antioxydant : E220 ', 'Sulfites', ' Pour les i : allcrgencs tes tnarédients cn gras', "" CONSERVATIONÀ i de avant le : voir sut le devant de l'emballage"", ' i dans un endroit fras et : sec', ' Une fois ouvert', ' consommer idansles3jous deels gerehydrateerde jumborozijnen en INGREDIÈNTEN Deels gerehydrateerde:: sultanarozijnen : roziinen ', '73%', ' • deels gerehydrateerde ']",[],?,289,1209 kj(289 kcal),"0,7","0,2","66,4","58,3","2,6","0,1","0,04",['Share'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,,
1460,Organic Popcorn - Marks & Spencer - 400g,00921138,['France'],[],[],?,500,2092 kj(500 kcal),25,"3,571","60,714",0,"10,714","1,607","0,643",['Marks & Spencer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,['Marks & Spencer'],,,,,,,,,
1461,Melting middle chocolate puddings - Marks & Spencer,00922302,['France'],"['Lait entier • Œufs de poules élevées en plein air pasteurisés • Sucre • Sucre roux • Crème à fouetter ', 'Lait', ' • Farine de blé contient Gluten ', 'avec Farine de blé', 'Carbonate de calcium', 'Fer', 'Niacine', 'Thiamine', ' • Beurre ', 'Lait', "" • Masse de cacao • Cacao maigre en poudre • Sirop de sucre inverti • Blanc d'œufs de poules élevées en plein air pasteurisés • Sirop de glucose • Beurre de cacao • Jaune d'œufs de poules élevées en plein air pasteurisés • Fécule de maïs • Poudre à lever : Bicarbonate de soude"", 'E450 • Sel • Émulsifiant : Lécithine de soja • Gélifiant : Pectine • Arôme vanille • Huile de palme', ' : Pour les allergènes', 'voir les ingrédients indiqués en gras', ' Ne convient pas aux personnes allergiques aux arachides et aux fruits à coque en raison des méthodes de fabrication', ' IMPORTANT Attention', 'ce gâteau sera extrêmement chaud après avoir été réchauffé', ' CUISSON Cuisson au four conseillée', ' FOUR Préchauffer le four', "" Retirer l'emballage et le film"", ' Placer sur une plaque de four préalablement chauffée', ' 1800C 20 min', ' CHALEUR TOURNANTE : 1600C 20 min', "" MICRO-ONDES Retirer l'emballage et le film"", ' Pour un gâteau : 850 W 50 sec', ' Pour deux gâteaux : 850 W 1 min 20 sec', ' Laisser reposer pendant 3 min', ' Ne pas réchauffer après utilisation', ' CONSERVATION']","['Huile de palme', 'Non végétalien']",?,328,1372 kj(328 kcal),"17,6","10,5","35,7","24,9","5,1","0,6","0,24",['Marks & Spencer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,['Marks & Spencer'],"['Gluten', 'Lait']",,"['E500ii - Carbonate acide de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E440 - Pectines']",,,,,['Huile de palme'],
1462,just mango slices - TRADER JOE'S - 38gr,00943291,['France'],['Dried mango'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,342.10526315789,1431 kj(342 kcal),0,0,"84,211","57,895","2,632",0,0,"[""TRADER JOE'S""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",,0 g,en faible quantité,0 g,en faible quantité,57.9 g,en quantité élevée,,+2%,+1%,-100%,-100%,+45%,+34%,-36%,,,0 g,en faible quantité,-100%,-100%,8,+67%,C,+67%,,,,,,,,['plastic bag'],['Mexique'],1,38 gr,,,,,,,,,,
1463,Farro - Trader Joe's,00945066,['France'],[],"['Végétalien', 'Végétarien']",?,377.77777777778,1581 kj(377 kcal),"2,222",0,"75,556",0,"11,111",0,0,"[""Trader Joe's""]",,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,Carrot Cake - Sainsbury’s - 430g,01081077,"['France', 'Royaume-Uni']","['Cream Cheese Buttercream ', '27%', ' ', 'Sugar', 'Butter ', ""Cows' Milk"", 'Cream Cheese ', ""Cows' Milk"", 'Dried Glucose Syrup', 'Pasteurised Lemon Juice', 'Cornflour', 'Fortified Wheat Flour ', 'Wheat Flour', 'Calcium Carbonate', 'Iron', 'Niacin', 'Thiamin', 'Carrot ', '12%', 'Sugar', 'Dark Brown Sugar', 'Pasteurised Free Range Egg', 'Rapeseed Oil', 'Walnuts ', '5%', 'Sultanas', 'Humectant: Vegetable Glycerine', ' Golden Syrup', 'Pineapple', 'Desiccated Coconut', 'Raising Agents: Sodium Hydrogen Carbonate', 'Disodium Diphosphate', ' Ground Spices ', 'Cinnamon', 'Nutmeg']",['Non végétalien'],?,398,1665 kj(398 kcal),19,"5,3","51,1","29,2","4,5","0,51","0,204",['Sainsbury’s'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Carrot cakes']",,19 g,en quantité modérée,5.3 g,en quantité élevée,29.2 g,en quantité élevée,,+7%,+7%,+9%,+44%,+8%,-6%,+0%,,,0.51 g,en quantité modérée,+18%,+18%,15,+6%,D,+6%,,,,,,,,,,4,430 g,,"['Gluten', 'Lait', 'Fruits à coque']",,"['E422 - Glycérol', 'E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']",,,,,,
1465,Vingummifisk,0200024012656,['France'],[],[],?,359,1502 kj(359 kcal),0,0,90,47,0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,Croutons de pain - Carrefour,0202096006564,['France'],"['Eau', 'lipide', 'protéine', 'lipide', 'sel', 'acide alpha linoleique', 'linoleique', 'sodium', 'vitamine B1', 'vitamine B2', 'vitamine B6', 'vitamine B9', 'calcium', 'fer', 'magnésium', 'acides gras saturé', 'acide gras monolnsaturés', 'acides gras polylnsaturés']",[],?,304,1272 kj(304 kcal),3,"0,6","57,9",4,"10,1","1,6","0,64",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']","['Bio', 'Point Vert']",3 g,en quantité modérée,0.6 g,en faible quantité,4 g,en faible quantité,,-36%,-36%,-85%,-80%,-2%,+8%,+7%,D,,1.6 g,en quantité élevée,-18%,-18%,5,-66%,C,-66%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,3,,['Carrefour'],,,['E570 - Acide stéarique'],,,,,,
1467,Millefeuille - Carrefour,0202336017718,['France'],"['Crème pâtissière 50,9% ', 'eau', 'sucre', 'lait entier en poudre', 'amidon', 'babeurre en poudre', 'huile de noix de coco non hydrogénée', 'lait écrémé en poudre', 'arôme naturel', 'concentré de carotte et de curcuma', 'sel', 'extrait naturel de vanille Bourbon', 'grains de gousses de vanille épuisée', 'farine de blé', 'beurre', 'sucre', 'huiles végétales non hydrogénées ', 'noix de coco', 'palmiste', 'tournesol', 'eau', 'fructose', 'sirop de glucose', 'sel', 'émulsifiant ', 'E471', 'E472c', 'gélatine', 'cacao maigre en poudre', 'agent de traitement de la farine ', 'E920']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,352,1473 kj(352 kcal),"19,8","14,2","38,3","18,7","4,6","0,51","0,204",['Carrefour'],"['Biscuits et gâteaux', 'Pâtisseries', 'Millefeuilles']",,19.8 g,en quantité modérée,14.2 g,en quantité élevée,18.7 g,en quantité élevée,,+12%,+12%,+32%,+41%,-4%,-6%,+20%,C,,0.51 g,en quantité modérée,+8%,+8%,20,+18%,E,+18%,73.1%,14.7%,6.0%,3.0%,3.2%,0.0%,75,,,4,,['Carrefour'],"['Gluten', 'Lait']",,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472c - Ester citrique des mono et diglycérides d'acides gras alimentaires"", 'E428 - Gélatine', 'E920 - L-Cystéine et ses chlorhydrates']",,,,,['Huile de palme'],
1468,Pain au chocolat bio - Carrefour - 2,0202581012148,['France'],[],[],?,422,1766 kj(422 kcal),23,15,44,12,"8,4","0,95","0,38",['Carrefour'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",23 g,en quantité élevée,15 g,en quantité élevée,12 g,en quantité modérée,,+7%,+6%,+5%,+13%,+4%,0%,+17%,C,,0.95 g,en quantité modérée,+5%,+5%,21,+7%,E,+7%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,2,['Carrefour'],,,,,,,,,
1469,Pain de mie cereales sans gluten,0202582025918,['France'],[],[],?,272,1138 kj(272 kcal),"10,7","1,4","32,4",1,"5,6","1,03","0,412",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits sans gluten', 'Pains', 'Pains de mie', 'Pains sans gluten', 'Pains de mie sans gluten']",['en:gluten-free'],10.7 g,en quantité modérée,1.4 g,en faible quantité,1 g,en faible quantité,,+6%,+6%,+75%,+32%,-24%,-75%,+54%,B,,1.03 g,en quantité modérée,-8%,-8%,5,+39%,C,+39%,57.4%,21.5%,10.0%,10.3%,0.7%,0.0%,89,,,,,,,,,,,,,,
1470,Pizza ch'ti,0203303039290,['France'],[],[],?,275,1151 kj(275 kcal),13,"6,8",24,"2,1",16,"1,5","0,6",,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",,13 g,en quantité modérée,6.8 g,en quantité élevée,2.1 g,en faible quantité,,+20%,+20%,+55%,+73%,-11%,-29%,+55%,,,1.5 g,en quantité modérée,+20%,+20%,15,+93%,D,+93%,,,,,,,,,,,,,,,,,,,,,
1471,Pain de mais -,0204019008532,['France'],[],[],?,229,958 kj(229 kcal),4,"0,5",38,"4,2","9,1","2,3","0,92",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains au maïs']",,4 g,en quantité modérée,0.5 g,en faible quantité,4.2 g,en faible quantité,,-18%,-18%,-22%,-9%,-19%,+85%,-10%,,,2.3 g,en quantité élevée,+68%,+68%,12,+143%,D,+143%,,,,,,,,,,,,,,,,,,,,,
1472,Suisse aux pepites de chocolat,0204094019355,['France'],[],[],?,435,1820 kj(435 kcal),20,12,54,23,"7,9","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,Jambon cuit choix - Boucherie Andre,0206938018500,['France'],[],[],?,106,444 kj(106 kcal),"2,8",1,"1,1","1,1",19,"2,8","1,12",['Boucherie Andre'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,Pain campagne,0208034014103,['France'],[],[],?,284,1188 kj(284 kcal),"1,3","0,3",57,"1,2","9,1",0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de campagne']",,1.3 g,en faible quantité,0.3 g,en faible quantité,1.2 g,en faible quantité,,+7%,+7%,-62%,-37%,+18%,-40%,+11%,,,0 g,en faible quantité,-100%,-100%,-2,-170%,A,-170%,,,,,,,,,,,,,,,,,,,,,
1475,Comté - Itineraire Des Saveurs,0209226025846,['France'],"['toit ', 'to', 'sel', 'ferments lactiques', 'présure', "" INFORMATIONS : consommer de préférence avant le : voir sur I l'étiquette"", ' A conserver entre : +40C et +80C']",[],?,413,1728 kj(413 kcal),34,22,"0,8","0,5",26,"0,8","0,32",['Itineraire Des Saveurs'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,,+4%,+5%,+4%,+1%,+73%,+80%,+3%,D,,0.8 g,en quantité modérée,-18%,-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['emballage plastique'],,,,['Intermarché'],['Lait'],,,,,,,,
1476,Comté - Itineraire des Saveurs,0209226027161,['France'],[],[],?,418,1749 kj(418 kcal),35,23,"0,5","0,5",27,"0,9","0,36",['Itineraire des Saveurs'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,,+5%,+6%,+7%,+6%,+8%,+80%,+7%,D,,0.9 g,en quantité modérée,-8%,-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,['Intermarché'],,,,,,,,,
1477,Filets de poulet rôtis,0211791024995,['France'],[],[],?,141,590 kj(141 kcal),"5,5","1,4","0,6","0,6","22,3","1,26","0,504",,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,5.5 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,,+8%,+9%,+91%,+88%,+25%,+147%,-2%,D,,1.26 g,en quantité modérée,+68%,+68%,2,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
1478,Filet de poulet rotis - Volaé,0211791032273,['France'],"[""depode± cuito en In4'Vdi2Atb : filets de poulet "", 'Origine : France', ' eau', 'consetvateurs : lactate de et acétates de sodium', 'stabilisants : triphosphates arômes', 'dextrose', 'sel', ""épaississant: arra$énara : Àconsommerjusqu'au:voirsurl'emballage""]","['Non végétalien', 'Non végétarien']",?,141,590 kj(141 kcal),"5,5","1,4","0,6","0,6","22,3","1,26","0,504",['Volaé'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,5.5 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,,+8%,+9%,+91%,+88%,+25%,+147%,-2%,D,,1.26 g,en quantité modérée,+68%,+68%,2,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,4,,,,,"['E270 - Acide lactique', 'E262 - Acétates de sodium', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition']",,,,,,
1479,FILETS DE POULET - La Nouvelle Agriculture,0213308057274,['France'],[],[],?,109,456 kj(109 kcal),18,"0,5","0,3","0,3",23,"0,11","0,044",['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,18 g,en quantité modérée,0.5 g,en faible quantité,0.3 g,en faible quantité,,-17%,-16%,+525%,-33%,-37%,+23%,+1%,D,,0.11 g,en faible quantité,-85%,-85%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
1480,Aiguilettes de poulet - La Nouvelle Agriculture,0213329018438,['France'],[],[],?,104,435 kj(104 kcal),"1,3","0,4","0,4",0,23,"0,1","0,04",['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,,-17%,-17%,-30%,-16%,-56%,-100%,+1%,D,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",0.1 g,en faible quantité,-77%,-77%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
1481,Aiguillettes de poulet - La Nouvelle Agriculture,0213329018964,['France'],[],[],?,105,439 kj(105 kcal),"1,3","0,4","0,4",0,23,"0,11","0,044",['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,,-17%,-16%,-30%,-16%,-56%,-100%,+1%,D,,0.11 g,en faible quantité,-75%,-75%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
1482,"Filet de poulet - La Nouvelle Agriculture - 0,254kg",0213400022637,['France'],[],[],?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,11","0,044",['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,,-21%,-20%,-55%,-46%,-100%,-100%,+1%,D,,0.11 g,en faible quantité,-85%,-85%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,"0,254 kg",,,,,,,,,,
1483,filet de poulet - La Nouvelle Agriculture,0213400023429,['France'],[],[],?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,1","0,04",['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,,-21%,-20%,-55%,-46%,-100%,-100%,+1%,D,,0.1 g,en faible quantité,-87%,-87%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
1484,Filet de poulet - La Nouvelle Agriculture,0213400028011,['France'],"[""ÈÛOLNELLE x 'AGRICULTURE LA MARQUE D AGRICULTEÙRS Damien"", 'éleveur à Antigny ', '85', ' FILET DE POULET']","['Non végétalien', 'Non végétarien']",?,104,435 kj(104 kcal),13,"0,4",0,0,23,"0,1","0,04",['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,13 g,en quantité modérée,0.4 g,en faible quantité,0 g,en faible quantité,,-21%,-20%,+351%,-46%,-100%,-100%,+1%,D,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",0.1 g,en faible quantité,-87%,-87%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
1485,Filet de poulet LNA - La Nouvelle Agriculture,0213400032605,['France'],['FILETS DE POULET'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,11","0,044",['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,,-21%,-20%,-55%,-46%,-100%,-100%,+1%,D,,0.11 g,en faible quantité,-85%,-85%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,1,,,,,,,,,,,
