,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,eco_score,traceability_code,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,nova_score,quantity,markets,allergens,generic_name,additives,link,origin_detail,manufacturing,brand_owner,palm_ingredients,producer_info
28,Sauce blanche,3760197943388,['France'],[],[],?,678,2837 kj(678 kcal),"74,8","5,1","0,1",0,"1,2","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Dessert fruiter pomme fraise - Andros,3608580038535,['France'],[],[],?,46,192 kj(46 kcal),"0,2",0,"9,6","9,6","0,3",0,0,['Andros'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Farine de blé noir - Greenweez,3701269700881,['France'],['Sarrasin'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,378,1582 kj(378 kcal),"2,1","0,3",75,"1,2","11,9","< 0,01","0,004",['Greenweez'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de sarrasin']",,2.1 g,en faible quantité,0.3 g,en faible quantité,1.2 g,en faible quantité,,+8%,+8%,-24%,-44%,+11%,-11%,+3%,B,"['EMB 44099B', 'Moisdon-la-Rivière (Loire-Atlantique, France)']",0.01 g,en faible quantité,-36%,-36%,-6,,A,,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,,['France'],1,,,,,,,,,,,
31,Vin blanc,3245390248879,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Epices | Goulash - Delhaize,5400113549291,['France'],[],[],?,275,1151 kj(275 kcal),"6,5","0,6",37,12,11,12,"4,8",['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Sablés pépites chocolat,3760123456920,['France'],[],[],?,522,2184 kj(522 kcal),28,15,60,18,"7,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Cristan Ice Tea Peach 90G,8007100080910,['France'],[],[],?,0,0 kj(0 kcal),2,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Miel de tilleul,3770009400060,['France'],[],[],?,?,,?,,?,,?,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,,,,,,,,,,,,,,,B,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
36,Artisan Hot Sauce,0732346472462,['France'],[],[],?,78,326 kj(78 kcal),19,"0,7",2,"1,2","0,9","4,8","1,92",,"['Epicerie', 'Sauces', 'Sauces chili']",,19 g,en quantité modérée,0.7 g,en faible quantité,1.2 g,en faible quantité,,-9%,-8%,+1999%,+322%,-86%,-88%,-7%,,,4.8 g,en quantité élevée,+22%,+22%,10,-5%,C,-5%,,,,,,,,,,,,,,,,,,,,,
37,Fizzy,3395503116721,['France'],[],[],?,340,1423 kj(340 kcal),0,0,85,68,3,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Farina Kamut,8009355002181,['France'],[],[],?,345,1443 kj(345 kcal),"0,9","0,18",70,"3,8",13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Freedent white,42074649,['France'],[],[],?,147,615 kj(147 kcal),0,0,"61,3",0,0,,,['Freedent'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Caramel au beurre salé - Sucralys,3760195981412,['France'],[],[],?,?,,?,,?,,?,0,0,['Sucralys'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels', 'Caramels au beurre salé']",,,,,,,,,,,,,,,,,['EMB 59986'],0 g,en faible quantité,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,
41,Zaatter Al-Osrah,8682035022510,['France'],[],[],?,0.3,1 kj(0 kcal),0,0,75,0,0,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Pasta,8006434000762,['France'],[],[],?,350,1464 kj(350 kcal),"1,5","0,3","70,3","4,5","13,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Crostini mediterraneo con olio di oliva - Panealba,8002333011762,['France'],[],[],?,491,2054 kj(491 kcal),23,"5,2",58,"3,2",11,"1,7","0,68",['Panealba'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,chocolat au lait,3297880030273,['France'],[],[],?,616,2577 kj(616 kcal),25,8,20,17,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Cornichon aigre doux gros,5420053201868,['France'],[],[],?,14,59 kj(14 kcal),"0,1","0,001","1,4","1,2","0,6","1,3","0,52",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,0.1 g,en faible quantité,0.001 g,en faible quantité,1.2 g,en faible quantité,,-48%,-45%,-66%,-99%,-59%,-54%,-41%,,,1.3 g,en quantité modérée,-24%,-24%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,,
46,Cereali cornflakes,8009361051289,['France'],[],[],?,376,1573 kj(376 kcal),"1,8","0,3","81,4",6,"6,3",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Plateau assortiment - Henri Raffin,3375220503264,['France'],[],[],?,292,1222 kj(292 kcal),"19,4","7,8","1,6","1,2","27,8","4,94","1,976",['Henri Raffin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Pesto Rosso Biologico,8029065003612,['France'],[],[],?,451,1887 kj(451 kcal),"38,8","5,6","17,9","9,4","5,2","1,96","0,784",,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Sauces Pesto Rosso']","['Bio', 'Sans gluten']",38.8 g,en quantité élevée,5.6 g,en quantité élevée,9.4 g,en quantité modérée,,+25%,+26%,+17%,+14%,+113%,+68%,+29%,C,,1.96 g,en quantité élevée,-5%,-5%,20,+26%,E,+26%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,,,,,,
49,Sweet Hawaiian Hamburger Buns,0078742193892,['France'],[],[],?,283.0189,1184 kj(283 kcal),"4,717","1,887","49,057","5,66","11,321","1,179","0,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Pechuga de pollo al ajillo,2418974003046,['France'],[],[],?,151.7,635 kj(151 kcal),"4,5","1,3","3,1","0,75","24,7","0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Thé vert menthe,3700994200093,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Nutty tweet,5902768862690,['France'],[],[],?,538,2251 kj(538 kcal),32,11,59,31,"6,3","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Original Yerba Maté,3770014164032,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
