,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,packaging,traceability_code,additives,nova_score,allergens,generic_name,manufacturing,ingredients_origins,link,brand_owner,palm_ingredients
504,Jambon cru Aoste,0210860017456,['France'],[],[],?,274,1146 kj(274 kcal),18,"7,4",1,1,27,"5,7","2,28",,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Duo Huile et Beurre - Lesieur,3265479348009,['France'],[],[],?,900,3766 kj(900 kcal),100,15,0,0,0,0,0,,['Lesieur'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,L casei sucre,8435257036441,['France'],[],[],?,74,310 kj(74 kcal),"1,5",1,12,12,"2,9","2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Mortadella,2874250016535,['France'],[],[],?,266,1113 kj(266 kcal),22,"8,3",0,0,17,"2,6","1,04",,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Gluten free maestro cereal,83687389,['France'],[],[],?,256,1071 kj(256 kcal),"6,2","0,8",41,"5,8","4,4","0,91","0,364",,,,,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Chewing gum sabor a frutos silvestres - Trident,7622210772619,['France'],[],[],?,175,732 kj(175 kcal),"1,9","1,6",63,"0,1","0,4","0,01","0,004",,['Trident'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Kirkland Bacon Crumbs-20 Oz : Bacon Bits - Kirkland Signature,0096619797837,['France'],[],[],?,390,1632 kj(390 kcal),26,13,0,0,26,"1,6","0,64",,['Kirkland Signature'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Raviolis à la Daube Provençale - Robert Esposito - 500g,3308090002544,['France'],[],[],?,296,1238 kj(296 kcal),"7,9","0,1","49,9","3,2","10,9","0,58","0,232",500 g,['Robert Esposito'],E,"['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Pâtes farcies', 'Plats au bœuf', 'Pates farcies à la viande', 'Ravioli', 'Ravioli à la viande', 'Raviolis au bœuf']",,7.9 g,en quantité modérée,0.1 g,en faible quantité,3.2 g,en faible quantité,0.58 g,en quantité modérée,,+118%,+120%,+128%,-92%,+168%,+27%,+98%,-35%,-35%,0,-100%,B,-100%,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,,,,,,,,,,,,
512,Pâte à Pizza Fine & Rectangulaire - Herta,7613035928749,['France'],"['Farine de blé', 'eau', 'huiles végétales ', 'palme', 'colza', 'sel', 'gluten de blé', 'amidon de blé', 'alcool', 'levure boulangère', 'poudres à lever : E450', 'E500']","['Huile de palme', 'Peut-être végétalien', 'Végétarien']",?,285,1192 kj(285 kcal),"8,5","3,2",43,"0,15","6,6","1,8","0,72",,['Herta'],B,['Pâtes à pizza'],,8.5 g,en quantité modérée,3.2 g,en quantité modérée,0.15 g,en faible quantité,1.8 g,en quantité élevée,,+2%,+1%,+51%,+191%,-8%,-91%,-9%,+17%,+17%,13,+81%,D,+81%,36.8%,19.3%,11.5%,8.6%,5.0%,18.8%,92,,"['Carton', 'Plastique']",,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",4,['Gluten'],,,,https://www.herta.fr/univers-produits/pate-a-pizza/herta-pate-a-pizza-fine-rectangulaire-390g,,['Huile de palme']
513,Pavé de cerf,3262270001669,['France'],[],[],?,117,490 kj(117 kcal),"2,6","0,9","0,7",0,"22,6","1,02","0,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Chips au comté - Bret's,3497917001706,['France'],[],[],?,542,2268 kj(542 kcal),34,"3,1",50,2,"6,4","1,6","0,64",,"[""Bret's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,La pizza du moulin,3273642000302,['France'],[],[],?,191,799 kj(191 kcal),"5,9","2,6","25,8","4,3","7,9","1,42","0,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Yaourt aux fruits mixés,0205853010019,['France'],[],[],?,100,418 kj(100 kcal),"3,1",2,"14,3","13,9","3,8","0,08","0,032",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,La galette blé noir chèvre lardon - La Crêpe de Brocéliande,3326120043299,['France'],[],[],?,?,,?,,?,,?,,,,['La Crêpe de Brocéliande'],,"['Plats préparés', 'Crêpes et galettes', 'Galettes fourrées', 'Galettes fourrées salées', 'Galettes', 'Galettes au chèvre et aux lardons']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Flammekueche au maroilles - Kauffer's,3273310044546,['France'],[],[],?,207,866 kj(207 kcal),10,"5,4",21,"2,6","7,2","1,3","0,52",,"[""Kauffer's""]",C,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Flammekueches']",,10 g,en quantité modérée,5.4 g,en quantité élevée,2.6 g,en faible quantité,1.3 g,en quantité modérée,,-12%,-11%,-15%,+2%,-13%,-22%,+4%,+4%,+4%,12,+5%,D,+5%,64.0%,16.9%,4.0%,4.3%,2.3%,8.5%,64,,,,,,,,,,,,
519,Tarallini aux graines de fenouil,8026924059858,['France'],[],[],?,479,2004 kj(479 kcal),"19,9","3,1","64,4","0,9","9,9","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Bonbons fourrés à la crème de marrons -,0022314015716,['France'],[],[],?,372,1556 kj(372 kcal),"0,5","0,01","92,9","59,2","0,5","0,017","0,007",,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Bonbons']",,0.5 g,en faible quantité,0.01 g,en faible quantité,59.2 g,en quantité élevée,0.017 g,en faible quantité,,-30%,-30%,-98%,-100%,+77%,+25%,-91%,-89%,-89%,14,-43%,D,-43%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
521,Conchiglioni - Castagno,8013885060146,['France'],[],[],?,350,1464 kj(350 kcal),"1,7","0,3",71,3,11,0,0,,['Castagno'],,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'IT-BIO-007']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,steaks,40222127,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Cacahuètes - Daco Bello,3270720000162,['France'],[],[],?,584,2443 kj(584 kcal),"45,1","6,9","15,6","6,5","21,5","2,4","0,96",,['Daco Bello'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Toplou Sitia huile d'olive vierge extra,5203922101540,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","12,8",0,0,0,0,0,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,91.6 g,en quantité élevée,12.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-9%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
525,Emmental - Eco+,2860001023235,['France'],[],[],?,364,1523 kj(364 kcal),28,19,"0,4","0,4",28,"0,6","0,24",,['Eco+'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",['Fabriqué en Allemagne'],28 g,en quantité élevée,19 g,en quantité élevée,0.4 g,en faible quantité,0.6 g,en quantité modérée,,-3%,-3%,-4%,-4%,-40%,-3%,+1%,-8%,-8%,11,-4%,D,-4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
526,Jambonneau,3358940404004,['France'],[],[],?,149,623 kj(149 kcal),"7,9","2,6","0,3","0,1",19,2,"0,8",,,,"['Viandes', 'Charcuteries', 'Charcuteries cuites']",,7.9 g,en quantité modérée,2.6 g,en quantité modérée,0.1 g,en faible quantité,2 g,en quantité élevée,,-11%,-8%,-7%,-20%,-78%,-86%,+2%,+5%,+5%,11,+15%,D,+15%,,,,,,,,,,,,,,,,,,,
527,Fougasse lardons,0201614019819,['France'],[],[],?,230,962 kj(230 kcal),"9,4","5,1",26,"1,1","9,1","0,69","0,276",,,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Fougasses', 'Fougasses aux lardons']",,9.4 g,en quantité modérée,5.1 g,en quantité élevée,1.1 g,en faible quantité,0.69 g,en quantité modérée,,-14%,-13%,+3%,+30%,-25%,-32%,-9%,-52%,-52%,5,-57%,C,-57%,40.3%,18.4%,10.8%,8.1%,4.7%,17.7%,91,,,,,,,,,,,,
528,Jambon sec,0264579064027,['France'],[],[],?,?,,?,,?,,?,,,,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']",,,,,,,,,,,,,,,,,,,,,,,,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,,
529,Saumon Gravlax sauce moutarde et miel - Leaderprice - 100g,3263858679416,['France'],[],[],?,204,854 kj(204 kcal),12,"2,4","7,4","7,4","16,1",3,"1,2",100 g,['Leaderprice'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Rose's Lemon & Lime,79617222,['France'],[],[],?,261,1092 kj(261 kcal),0,0,"64,9","52,8","0,1","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Pane Integrale,8029513113764,['France'],[],[],?,259,1084 kj(259 kcal),"4,3","0,6",42,"4,5",9,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Nordique,0209170039036,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Eminces de viande de cuisse de poulet fermier bio,2273747027885,['France'],[],[],?,?,,?,,?,,?,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['Bio'],,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
534,Sucre bio aromatisé citron,3760182170126,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Pain-Leclerc,0201558008009,['France'],[],[],?,252,1054 kj(252 kcal),"0,7","0,2",51,"1,4","8,9","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Terrine d agneau de Prés-salés - Au coin Goûteux - 180g,3770003802075,['France'],"['agneau de prés-salés baie de Somme ', '50%', 'gorge de porc ', '20%', 'salicornes ', '10%', 'œufs', 'oignons', 'sel', 'épices']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,180g,['Au coin Goûteux'],,"['Terrines', 'Terrines de mouton']","['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Verre'],,,3,['Œufs'],,"['St Valéry sur Somme', 'Somme', 'Hauts de France', 'France']",,,,
537,Pâtes fraîches epinards,2614995024200,['France'],[],[],?,293,1226 kj(293 kcal),"2,53","0,55","53,96","0,78","10,34",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Melkchocolade,5410931103780,['France'],[],[],?,530,2218 kj(530 kcal),30,19,59,58,"5,8","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Kit pour porc à l'Aigre-Douce,8410076300003,['France'],[],[],?,284,1188 kj(284 kcal),"0,2","0,1","72,3","15,8","1,8","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,pizza jambon,0061100000024,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Maroilles AOP,2480660017057,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Ls cervelas rouge,2274731018438,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Raclette au Lait Cru,2480117021972,['France'],[],[],?,346,1448 kj(346 kcal),26,18,"1,2","0,5",24,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Poulet - Leader Price,0217268022044,['France'],[],[],?,?,,?,,?,,?,,,,['Leader Price'],,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,,,,,,,
545,Mousse pur canard - Carrefour,2227152016460,['France'],[],[],?,375,1569 kj(375 kcal),36,12,"4,2","4,2",9,"1,7","0,68",,['Carrefour'],,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,"['EMB 22272F', ""Saint-Agathon (Côtes-d'Armor, France)""]",,,,,,,,,
546,Tarte normande,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Tartes', 'Tartes sucrées', 'Tartes normandes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Spumadoro,8006073278836,['France'],[],"['Végétalien', 'Végétarien']",?,364,1523 kj(364 kcal),15,"1,4",50,"2,1","5,9","0,5","0,2",,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique', 'IT-BIO-006']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Tarte aux pommes,3456580888762,['France'],[],[],?,160,669 kj(160 kcal),"4,8","3,1",26,16,"2,2","0,24","0,096",,,B,"['Tartes', 'Tartes sucrées', 'Tartes aux pommes']",,4.8 g,en quantité modérée,3.1 g,en quantité modérée,16 g,en quantité élevée,0.24 g,en faible quantité,,-35%,-35%,-49%,-42%,-28%,-22%,-9%,-6%,-6%,7,-36%,C,-36%,67.5%,16.8%,7.5%,4.2%,4.0%,0.0%,84,,,,,,,,,,,,
549,Sauce haricot noir à l'ail,0726003018773,['France'],[],[],?,615,2573 kj(615 kcal),"4,8","0,8","22,9","14,6","8,8","11,9","4,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Pain au seigle,0260020008534,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']",,,,,,,,,,,,,,,,,,,,,,,,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,,,,,,,,,,,
551,Porto BELLMAN,3147690036401,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Farfalle fantasia - Pasta Mare,27028216,"['France', 'Espagne']",[],[],?,315,1318 kj(315 kcal),"1,1","0,2",61,"3,7",13,"0,01","0,004",,['Pasta Mare'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur']",,1.1 g,en faible quantité,0.2 g,en faible quantité,3.7 g,en faible quantité,0.01 g,en faible quantité,,-11%,-11%,-38%,-47%,-12%,+17%,+5%,-58%,-58%,-2,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,,,,,,
553,Bio Sun Snack Holiday Snack,7610442656548,['France'],[],[],?,372,1556 kj(372 kcal),"7,8","6,3","69,3","63,4","2,5",0,0,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Barre protéinée - Aptonia,3583788363415,['France'],[],[],?,373,1561 kj(373 kcal),"8,5","5,3",40,29,35,"0,2","0,08",,['Aptonia'],,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",,8.5 g,en quantité modérée,5.3 g,en quantité élevée,29 g,en quantité élevée,0.2 g,en faible quantité,,+1%,+1%,-35%,-10%,+22%,+118%,+19%,-59%,-59%,15,+46%,D,+46%,,,,,,,,['Décathlon'],,,,,,,,,,,
555,Gateau de riz,3760019740027,['France'],[],[],?,129,540 kj(129 kcal),"3,3","2,2",22,"7,2","3,1","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,moulin de poivre noir en grain - BEDROS - 50g,00616058,['France'],[],[],?,?,,?,,?,,?,,,50 g,['BEDROS'],A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Graines de poivre', 'Poivres noirs', 'Poivre noir en grains']",,,,,,,,,,,,,,,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,['grand frais'],['moulin verre'],,,,,,,,,,
557,Coppa,8425545122789,['France'],[],[],?,396,1657 kj(396 kcal),30,11,"0,5","0,5",31,"3,1","1,24",,,E,"['Viandes', 'Charcuteries', 'Coppa']",,30 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,3.1 g,en quantité élevée,,+31%,+34%,+47%,+40%,-19%,+54%,+17%,-31%,-31%,24,+19%,E,+19%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,,
558,Honingwafels,5425000560029,['France'],[],[],?,446,1866 kj(446 kcal),"15,8","3,5","71,1","39,3","3,7","0,83","0,332",,,,,"['Bio', 'Bio européen', 'NL-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Gnocchetti sardi gusto tradizionale,8032828030572,['France'],[],[],?,347,1452 kj(347 kcal),"0,3",0,"79,2",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Grana padano riserva,2158393004902,['France'],[],[],?,398,1665 kj(398 kcal),29,18,"0,1","0,1",33,"1,5","0,6",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Grana Padano']",,29 g,en quantité élevée,18 g,en quantité élevée,0.1 g,en faible quantité,1.5 g,en quantité modérée,,+1%,+0%,+0%,0%,+1098%,+801%,0%,-1%,-1%,15,-1%,D,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
561,"Cucumbers ""bochkovie Ostrie"" - 430g",4033443512089,['France'],[],[],?,11,46 kj(11 kcal),"0,1",0,"1,4","0,1",1,3,"1,2",430 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Comté 12 mois d'affinage,2600423022894,['France'],[],[],?,418,1749 kj(418 kcal),"34,6","22,5","0,01","0,01","26,7","0,82","0,328",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,34.6 g,en quantité élevée,22.5 g,en quantité élevée,0.01 g,en faible quantité,0.82 g,en quantité modérée,,+5%,+6%,+6%,+4%,-98%,-96%,+6%,-16%,-16%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
563,Salpicao tradicional trasmontano,2900121002700,['France'],[],[],?,515,2155 kj(515 kcal),"4,37","1,47","0,65","0,15","20,32","2,51","1,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Foie gras de canard du Sud-Ouest entier cuit au torchon - Casino Délices - 220g,3222476759344,['France'],"['Foie gras de canard du sud-ouest - sel - armagnac - poivre blanc - sucre - conservateur : nitrite de sodium', ' bouillon de cuisson : eau - gélatine de volaille - armagnac - jus de truffes - sel - conservateur : nitrite de sodium traces de céréales contenant du gluten', 'crustacés', 'œufs', 'poissons', 'soja', 'lait', 'moutarde', 'céleri', 'sésame', 'mollusques']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",2153,522,2153 kj(522 kcal),54,22,"1,9","1,5","7,2",1,"0,4",220 g,"['Casino Délices', 'Casino']",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",['IGP'],54 g,en quantité élevée,22 g,en quantité élevée,1.5 g,en faible quantité,1 g,en quantité modérée,-3%,-1%,-3%,-1%,-5%,-20%,+14%,-4%,-17%,-17%,20,-4%,E,-4%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Casino'],,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E428 - Gélatine']",4,['Gluten'],Foie gras de canard entier du Sud-Ouest cuit au torchon,,,,,
565,Biscuits de goûter naturel au citron - Nooglo,3760094310436,['France'],[],[],?,471,1971 kj(471 kcal),16,7,68,22,4,"0,21","0,084",,['Nooglo'],C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Bio', 'en:gluten-free']",16 g,en quantité modérée,7 g,en quantité élevée,22 g,en quantité élevée,0.21 g,en faible quantité,,-1%,-1%,-23%,-31%,+6%,-25%,-38%,-64%,-64%,15,-24%,D,-24%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,
566,Huile d'olive,8690102470201,['France'],[],[],?,120,502 kj(120 kcal),14,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Sirop de cassis,3770000942538,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de cassis']",,,,,,,,,,,,,,,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,
568,Escalope de dinde - Le Gaulois,2431638021583,['France'],[],[],?,97,406 kj(97 kcal),0,0,1,0,23,"1,1","0,44",,['Le Gaulois'],D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1.1 g,en quantité modérée,,-20%,-19%,-100%,-100%,-67%,-100%,+0%,+99%,+99%,0,,B,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,
569,PASSIFLORE BIO,2373006444627,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Crème de marrons - Les Comtes de Provence - 480g,3324498002061,['France'],"['Marrons 55%', 'sucre de canne', 'extrait de vanille', 'vanille poudre']",[],?,337,1410 kj(337 kcal),"1,6","0,3",79,61,"1,8",0,0,480 g,['Les Comtes de Provence'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']","['Bio', 'Bio européen', 'Cuisiné en France', 'FR-BIO-01']",1.6 g,en faible quantité,0.3 g,en faible quantité,61 g,en quantité élevée,0 g,en faible quantité,,+34%,+34%,+113%,+107%,+31%,+22%,+64%,-100%,-100%,13,+13%,D,+13%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,,['Bocal en verre'],,,3,,Crème de marrons,"['Peyruis', 'France', 'Provence']",,,,
571,Poulet jaune bio,2223060013744,['France'],[],[],?,161,674 kj(161 kcal),"8,6",3,0,0,21,"0,13","0,052",,,,,"['Bio', 'Bio européen', 'FR-BIO-09']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Kaviar,4260051078953,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['DE BE-80121 EG'],,,,,,,,,
573,melk chocolate,0787420485029,['France'],[],"['Végétalien', 'Végétarien']",?,330,1381 kj(330 kcal),15,7,44,39,5,"0,89","0,356",,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Beignets au pomme -,0250056028866,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beignets fourrés à la purée de pomme,,,,,
575,Bucatini,8002459901091,['France'],[],[],?,358,1498 kj(358 kcal),"1,5","0,2","72,5","0,6",14,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Chocolat,3760059938392,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Cheddar - President,3428200387764,['France'],[],[],?,416,1741 kj(416 kcal),35,22,"0,1","0,1",25,"1,8","0,72",,['President'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Algues Prepares Pimentes,6920061570400,['France'],[],[],?,33,138 kj(33 kcal),"2,2","0,67","3,3",1,0,"2,33","0,932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
