,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,packaging,traceability_code,additives,nova_score,allergens,generic_name,manufacturing,ingredients_origins,link,brand_owner,palm_ingredients
1462,Tilsiter Käsa Snack - Lindenhof,28410072,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,['Lindenhof'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Tilsit']",,,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Kunststoff'],,,,,,,,,,
1463,Sucre d'orge - 28g,5033904002615,['France'],[],[],?,397,1661 kj(397 kcal),"0,5","0,1",99,79,"0,3","0,03","0,012",28 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,Feta - Mitakos,23382176,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,['Mitakos'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de Grèce', 'Fromages de brebis', 'Fetan']",['IGP'],,,,,,,,,,,,,,,,,,,,,,,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,['Kunststoff'],,,,,,,,,,
1465,Kisses,0056600393066,['France'],[],[],?,210,879 kj(210 kcal),12,8,24,23,4,"0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,Minestra Contadina Biologica - Vivi Verde,8001120932167,['France'],[],[],?,62,259 kj(62 kcal),1,"0,1","11,2","0,8","1,6","0,73","0,292",,['Vivi Verde'],,,"['Bio', 'Bio européen', 'IT-BIO-007']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,Maquereaux fumés au bois de hêtre - Monoprix,3350073796995,['France'],"['Maquereau ', 'Scomber Scombrus', ' 96,5%-sel - poivre 1%']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,266,1113 kj(266 kcal),20,5,"0,6","0,4",21,"3,3","1,32",,['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,,,['Poisson'],,,,,,
1468,Gorgonzola au Mascarpone,2850626014046,['France'],[],[],?,?,,?,,?,,?,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages italiens', 'Gorgonzolas', 'Mascarpone au gorgonzola']",,,,,,,,,,,,,,,,,,,,,,,,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,,,,,,,,,,,
1469,Lasagnes de saumon au pesto,3760286220185,['France'],[],[],?,?,,?,,?,,?,,,,,D,"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés au poisson', 'Lasagnes préparées', 'Lasagnes au poisson', 'Plats au saumon', 'Lasagnes au saumon']",,,,,,,,,,,,,,,,,,,,,,,,79.3%,12.2%,2.8%,3.0%,1.6%,1.1%,48,,,,,,,,,,,,
1470,Gambaran,2349918027446834,"['Belgique', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['comprimés'],,,,,,,,,,
1471,Scheinshalspätzi -,117494002405,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,Kras Bajadera,3850102230068,['France'],[],[],?,564,2360 kj(564 kcal),34,10,57,53,"6,1",0,0,,['Kras'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,3287251003104,3287251003104,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,Saucisse de Morteau,2643313039558,['France'],[],[],?,313,1310 kj(313 kcal),28,11,"0,6","0,5",16,19,"7,6",,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau']",,28 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,19 g,en quantité élevée,,-1%,-2%,+2%,+4%,+9%,+30%,-5%,+752%,+752%,23,+6%,E,+6%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,,,,,,,,,,,,
1475,5 Baies Grandes Saveurs,3760283865013,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,Propolis Sirop,5425012762794,"['Belgique', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Flacon'],,,,,,,,,,
1477,Amandes effilées - Nectaflor,7610184001002,['France'],[],[],?,580,2427 kj(580 kcal),53,4,9,"4,5",21,"0,05","0,02",,['Nectaflor'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Thé Breakfast - Belle France - 50g,3258561050034,['France'],[],[],?,?,,?,,?,,?,,,50 g,['Belle France'],B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés en sachets']",,,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,
1479,FONDOR - Maggi,4005500047933,['France'],[],[],?,?,,?,,?,,?,,,,['Maggi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,Panettone,8001043010102,['France'],[],[],?,361,1510 kj(361 kcal),13,"8,3",53,27,"7,1","0,62","0,248",,,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['Fabriqué en Italie'],13 g,en quantité modérée,8.3 g,en quantité élevée,27 g,en quantité élevée,0.62 g,en quantité modérée,,-3%,-3%,-13%,-8%,+3%,+4%,+4%,+41%,+41%,19,+2%,E,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,
1481,Chorizo,8421395049795,['France'],[],[],?,421,1761 kj(421 kcal),35,"14,4","2,7","2,4","23,8","3,8","1,52",,,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",,35 g,en quantité élevée,14.4 g,en quantité élevée,2.4 g,en faible quantité,3.8 g,en quantité élevée,,+3%,+3%,+3%,+12%,-8%,+34%,+4%,+1%,+1%,25,+5%,E,+5%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,
1482,Boeuf cuit,2200229027750,['France'],[],[],?,172,720 kj(172 kcal),"7,7",3,0,0,26,"1,7","0,68",,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande']",,7.7 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,1.7 g,en quantité élevée,,+8%,+9%,+4%,+19%,-100%,-100%,+175%,+80%,+80%,11,+227%,D,+227%,,,,,,,,,,"['FR 72.039.003 CE', 'Bonnétable (Sarthe, France)']",,,,,,,,,
1483,Decoupe de poulet,2481622030244,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,Albacore Tuna,5036820001694,['France'],[],[],?,148,619 kj(148 kcal),"1,6","0,3","0,5","0,5",33,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,Pea protein,5060142011239,['France'],[],[],?,388,1623 kj(388 kcal),7,"1,5","11,4","0,4","68,9","3,58","1,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,Galette végétale - Carte Nature,3700477660840,['France'],[],[],?,192,803 kj(192 kcal),"7,3","1,5",10,"1,5",17,"1,5","0,6",,['Carte Nature'],,,"['Bio', 'Bio européen', 'ES-ECO-006-AR', 'Agriculture UE/Non UE', 'en:Es-eco-006']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Brufen Retard 800 mg,0290247005150816,"['Belgique', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Boîte'],,,,,,,,,,
1488,Chocolat lot de 6,0250022016071,['France'],[],[],?,420,1757 kj(420 kcal),24,13,45,21,"4,7","0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Kürbisseitan bratscheibe,4260508360907,['France'],[],"['Végétalien', 'Végétarien']",?,215,900 kj(215 kcal),"7,9","0,9","4,1","0,9",30,"0,85","0,34",,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,Tuc Seeds & Chives,7622210764270,['France'],[],[],?,475,1987 kj(475 kcal),18,"1,6",66,"7,7","9,4","1,44","0,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,Persillé de tête,0212271011610,['France'],[],[],?,204,854 kj(204 kcal),17,6,"0,5","0,5",12,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,Brioche bio,0202576025580,['France'],[],[],?,371,1552 kj(371 kcal),16,10,46,11,"9,1",1,"0,4",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Papaye déshydratée en tranches,3580281230602,['France'],[],[],?,342,1431 kj(342 kcal),"0,1","0,1",85,76,"0,1","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Vermicelle Riz 400G Lucky Coin - 400g,0019281601134,['France'],[],[],?,348,1456 kj(348 kcal),"0,9",0,85,0,"0,5",0,0,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Tablette Origine Mekong,3760130056632,['France'],[],[],?,536,2243 kj(536 kcal),33,20,50,48,9,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,Confit de foie de volaille BIO,3770011534067,['France'],[],[],?,289,1209 kj(289 kcal),"24,4","10,2","1,9","0,6","15,5","1,9","0,76",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,Rinds geschnetzeltes - Naturaplan,2116007011302,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,['Naturaplan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,Heinz Bolognaise aux Champignons,3660603080600,['France'],[],[],?,83,347 kj(83 kcal),"4,6","1,1","5,3","4,1",4,1,"0,4",,['Heinz'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,cookie notti,0655765000385,['France'],[],[],?,80,335 kj(80 kcal),5,"1,5",8,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,Salat snackbox - 175g,4002250047909,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,175 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Bananen - 240g,2911022002409,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,240 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Croquants amandes chocolat,3760200920245,['France'],[],[],?,443,1854 kj(443 kcal),"20,3","6,5","53,8","42,4","9,8","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Plat de côte de porc demi sel,2285707034048,['France'],[],[],?,253,1059 kj(253 kcal),"20,4",13,"2,6","1,1","14,6","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Pruneaux bio,3361291957167,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,poulet,0208832048027,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,Marrons glaces - Clément Faugier,0022314081278,['France'],[],[],?,318,1331 kj(318 kcal),"1,2","0,22","73,2","50,2",1,"0,025","0,01",,['Clément Faugier'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Marrons glacés']",,1.2 g,en faible quantité,0.22 g,en faible quantité,50.2 g,en quantité élevée,0.025 g,en faible quantité,,+0%,+0%,+34%,+41%,-2%,-1%,-2%,-33%,-33%,13,+10%,D,+10%,,,,,,,,,,,,,,,,,,,
1507,Chouquettes x12,0201091011153,['France'],[],[],?,326,1364 kj(326 kcal),16,10,38,19,"7,4","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
