,name,bar_code,brand,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,labels,quantity,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,generic_name,packaging,manufacturing,traceability_code,ingredients_origins,palm_ingredients,link
725,Tagliatelle céréalière - U Sans Gluten - 250g,3256226085872,"['U Sans Gluten', 'U']",['Magasins U'],['France'],"['Farine de maïs précuite', 'eau', 'OEUF entier 20%', 'amidon de maïs', 'protéines de pois', 'épaississants : gomme xanthane et gomme guar', 'fibres végétales ', 'pois', 'pomme de terre et psyllium', ' Traces éventuelles de SOJA']","['E415 - Gomme xanthane', 'E412 - Gomme de guar']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1017,240,1017 kj(240 kcal),"2,8","1,1",47,"0,5","5,9","0,14","0,056",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Produits sans gluten', 'Pâtes alimentaires sans gluten', 'Traiteur']",+2%,+3%,-70%,+90%,-38%,,,,,,,,"['Œufs', 'Soja']",4,2.8 g,en faible quantité,1.1 g,en faible quantité,0.5 g,en faible quantité,0.14 g,en faible quantité,-1,A,"['Sans arômes artificiels', 'en:gluten-free']",250 g,+5%,-69%,-77%,-87%,-87%,-119%,-119%,,['Frais'],,,,,
726,Milk shake fraise - U - 224g,3256226092368,['U'],['Magasins U'],['France'],"['Sucre', 'LAIT écrémé en poudre 11,4%', 'amidon transformé', 'poudre de fraise 3%', 'crème de LAIT en poudre 3%', 'protéines de LAIT ', 'émulsifiant : lécithine de tournesol', 'arôme naturel', 'épaississant : gomme xanthane', 'antioxydant : acide ascorbique', "" Traces éventuelles d'oeufs"", 'soja', 'céréales contenant du gluten', 'fruits à coque', 'céleri et sulfites']","['E14XX - Amidons modifiés', 'E322i - Lécithine', 'E415 - Gomme xanthane', 'E300 - Acide ascorbique']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1667,?,1667 kj(398 kcal),"1,3","0,9",88,79,"6,4","0,21","0,084",,"['Aides culinaires', 'Préparations pour desserts']",+10%,,-80%,+56%,+29%,,,,,,,,['Lait'],4,,,,,,,,,,,"['en:FSC', 'Conditionné en France']",224 g,+21%,-68%,+161%,-50%,-50%,,,,"['Stick', 'sticks']",,,,,
727,Burger Le Charolais fromager  boeuf sauce Fourme d'Ambert et emmental - U - 195g,3256226092641,['U'],['Magasins U'],['France'],"['Pain spécial pour hamburger* 41% [farine de BLE 23,3% ', 'farine de BLE ', 'France', 'GLUTEN de BLE', 'malt de BLE', 'agent de traitement de la farine : acide ascorbique', 'eau', 'BEURRE', 'sucre', 'levure', 'sel', 'poudre de LAIT', ""pain doré à l'OEUF]"", 'steak haché pur boeuf charolais ', 'origine : France', ' cuit* 35,9%', ""sauce à la Fourme d'Ambert 12,8% "", ""FOURME d'AMBERT 5,1%"", 'CREME', 'eau', 'amidon', 'sel', 'EMMENTAL 7,7%', 'oignons préfrits* ', 'oignon', 'huile de tournesol', ' *Produit décongelé', 'ne pas recongeler', ' Traces éventuelles de moutarde', 'poisson', 'sésame', 'SOJA et fruits à coque']",['E300 - Acide ascorbique'],['Non végétalien'],1135,?,1135 kj(271 kcal),14,"7,6",21,"3,3",14,"0,9","0,36",,"['Sandwichs', 'Hamburgers']",+8%,,+12%,+2%,+7%,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Soja', 'AMBERT', 'FOURME']",4,14 g,en quantité modérée,7.6 g,en quantité élevée,3.3 g,en faible quantité,0.9 g,en quantité modérée,12,D,"['Viande Française', 'Ne pas recongeler', 'en:FSC', 'Transformé en France', 'Décongelé', 'Viande-bovine-francaise']",195 g,+8%,+62%,+5%,-23%,-23%,+20%,+20%,,['Frais'],,,,,
728,"Croque à poêler saveur burger - U - x2, 200g",3256226384029,['U'],"['Super U', 'Magasins U']",['France'],"['Pain de mie 54% ', 'farine de BLE ', 'France', ' 36%', 'eau', 'sel', 'dextrose', 'levure', 'huile de colza', 'conservateur : propionate de calcium', 'GLUTEN DE BLE', 'agent de traitement de la farine : acide ascorbique', 'mayonnaise ', 'huile de colza', 'eau', 'moutarde ', 'eau', 'graines de MOUTARDE', 'vinaigre', 'sel', 'conservateur : sulfite acide de sodium', ""jaune d'OEUF"", 'vinaigre', 'sel', 'épaississants : gomme guar et gomme xanthane', 'pastrami cuit choix 15% ', 'viande de boeuf ', 'origine : France', ' 10,5%', 'eau', 'sel', 'dextrose', 'stabilisants : diphosphates', 'polyphosphates et triphosphates', 'épices', 'arôme fumée', 'colorant : caramel', 'sucre', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', 'MOZZARELLA 12%', 'concentré de tomates', 'moutarde ', 'eau', 'graines de MOUTARDE', ""vinaigre d'alcool"", 'sel', 'acidifiant : acide citrique', 'conservateur : disulfite de potassium', 'jus de citron concentré', 'persil', 'oignons', ""vinaigre d'alcool"", 'sel', 'piment doux', 'dextrose', 'épices ', 'dont safran', ""extraits d'épices"", 'colorant : cochenille', ' Pourcentages exprimés sur le total de la recette', ' Traces éventuelles de poissons', 'mollusques', 'crustacés', 'céleri', 'soja et fruits à coque']","['E282 - Propionate de calcium', 'E300 - Acide ascorbique', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E150 - Caramel', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']","['Non végétalien', 'Non végétarien']",1263,302,1263 kj(302 kcal),16,"2,8",29,"2,1",10,"1,5","0,6",B,"['Plats préparés', 'Produits à la viande', 'Sandwichs', 'Plats préparés à la viande', 'Plats au bœuf', 'Sandwichs au fromage', 'Réfrigérés', 'Plats préparés réfrigérés', 'Sandwichs au pastrami']",+20%,+20%,+45%,+13%,-10%,72.9%,13.3%,5.8%,4.9%,2.5%,0.7%,68,"['Œufs', 'Gluten', 'Lait', 'Moutarde']",4,16 g,en quantité modérée,2.8 g,en quantité modérée,2.1 g,en faible quantité,1.5 g,en quantité modérée,10,C,"['Viande Française', 'Point Vert', 'Transformé en France', 'Blé français', 'Farine de blé français', 'Viande-bovine-francaise']","x2, 200 g",+20%,-32%,-35%,+4%,+4%,-2%,-2%,,"['Frais', 'Plastic']",['France'],,"['France', 'Hors France']",,
729,Miel de France liquide - U - 375g,3256226384319,['U'],['Magasins U'],['France'],['Miel'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1471,?,1471 kj(352 kcal),"0,5","0,1",86,72,"0,7","0,01","0,004",B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",+6%,,+415%,+9%,+150%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,2,0.5 g,en faible quantité,0.1 g,en faible quantité,72 g,en quantité élevée,0.01 g,en faible quantité,,,"['Miel de France', 'Transformé en France']",375 g,+20%,+203%,+3%,-17%,-17%,,,,,,,['France'],,
730,Salade poulet rôti et croûtons de Grana Padano AOP - U - 250g,3256226386771,['U'],['Magasins U'],['France'],"['Salade composée 205g : Mélange de salades 41% ', 'scarole', 'frisée', 'chicorée rouge', 'OEUF dur 20%', 'émincé de filet de poulet traité en salaison rôti* 19% [viande de filet de poulet sans peau ', 'origine : France', ' 15%', 'farine de BLE', 'dextrose', 'sel', 'arôme naturel]', 'tomate cerise 14%', 'Grana Padano AOP 3% ', 'LAIT de vache', 'sel', 'présure', ""conservateur : lysozyme d'OEUF"", ' Pourcentages exprimés sur la salade composée', ' *Produit décongelé', 'ne pas recongeler', ' Sauce Caesar 30g : eau', 'huile de colza', 'Parmigiano Reggiano AOP ', 'parmesan', ' ', 'LAIT', ' 12%', ""jaune d'OEUF 5%"", 'moutarde ', 'eau', 'graines de MOUTARDE', ""vinaigre d'alcool"", 'sel', 'vinaigre balsamique ', 'vinaigre de vin', 'moût de raisin concentré', 'sel', 'jus concentré de citron jaune 0', '6%', 'ail 0', '4%', 'acidifiant : acide lactique', 'amidon modifié de pomme de terre', 'épaississant : gomme xanthane', 'poivre', ' Pourcentages exprimés sur la sauce Caesar', ' Croûton grillé nature 15g : croûton ', 'farine de BLE', 'huile de tournesol', 'sel', 'levure', 'huile de tournesol', "" AOP : Appellation d'origine protégée"", ' Traces éventuelles de céleri et soja']","['E1105 - Lysozyme', 'E270 - Acide lactique', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Non végétalien', 'Non végétarien']",321,77,321 kj(77 kcal),"3,5","1,4","1,9","1,4","8,2","0,6","0,24",D,"['Plats préparés', 'Produits à la viande', 'Salades', 'Plats préparés à la viande', 'Salades composées', 'Plats à la volaille', 'Plats au poulet', 'Salades de légumes']",-38%,-43%,-47%,-79%,+14%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,"['Œufs', 'Gluten', 'Lait', 'Moutarde']",4,3.5 g,en quantité modérée,1.4 g,en faible quantité,1.4 g,en faible quantité,0.6 g,en quantité modérée,-9,A,"['Viande Française', 'Ne pas recongeler', 'en:FSC', 'Arômes naturels', 'AOP', 'Transformé en France', 'Décongelé', 'Volaille-francaise']",250 g,-42%,+40%,-38%,-24%,-24%,,,,['Frais'],,,,,
731,Mini gressins nature - U - 6sachets de 20g,3256226387006,['U'],['Magasins U'],['France'],"['farine de BLE', ""huile d'olive vierge extra 10 %"", 'sel', 'sucre', 'levure', ""farine de malt d'ORGE"", 'agent de traitement de la farine : acide ascorbique', ' Traces éventuelles de graines de sésame et de lait']",['E300 - Acide ascorbique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1832,435,1832 kj(435 kcal),12,"2,5",68,"3,5",12,"1,9","0,76",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",-8%,-6%,-40%,+14%,+21%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['Gluten'],3,12 g,en quantité modérée,2.5 g,en quantité modérée,3.5 g,en faible quantité,1.9 g,en quantité élevée,12,D,['Transformé en France'],6 sachets de 20 g,-7%,-54%,-11%,-5%,-5%,-22%,-22%,,['G'],,,,,
732,Bière blonde extra forte 10° - U - 50cl,3256226396695,['U'],['Magasins U'],['France'],"[""Contient du malt d'orge""]",,[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes', 'Bières fortes', 'Bières de spécialité']",,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Gluten'],3,,,,,,,,,,,['Transformé en France'],50 cl,,,,,,,,,"['boîte', 'canette']",,,,,
733,Haricots Beurre - U,3256226396763,['U'],['Magasins U'],['France'],[],,[],?,24,100 kj(24 kcal),"0,2",0,"3,4","0,9","1,3","0,67","0,268",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Haricots beurre en conserve']",,-11%,-26%,+18%,-13%,36.3%,28.4%,13.5%,6.8%,9.5%,5.5%,83,,,0.2 g,en faible quantité,0 g,en faible quantité,0.9 g,en faible quantité,0.67 g,en quantité modérée,-3,A,,,-9%,-100%,+11%,+3%,+3%,,,,,,,,,
734,Oriental box semoule légumes et falafels - U - 280g,3256226751814,['U'],['Magasins U'],['France'],"['Semoule de blé dur réhydratée', 'légumes et falafels frits 250g : Semoule de BLÉ dur réhydratée 45% ', 'semoule de BLÉ dur 22%', 'eau', 'falafel frit 18% [pois chiche cuit 5% ', 'pois chiche sec', 'eau', 'sel', 'oignon réhydraté ', 'eau', 'oignon déshydraté', 'CRÈME ', 'CRÈME', 'stabilisant : carraghénanes', 'farine de BLÉ', 'eau', 'protéines et amidon de BLÉ ', 'GLUTEN de BLÉ', 'amidon de BLÉ', 'huile de tournesol', 'OEUF entier en poudre', 'pulpe d ail', 'sel', 'coriandre', 'persil', 'poudres à lever ', 'diphosphates', 'carbonates de sodium', 'amidon de BLÉ', 'cumin', 'curcuma', 'poivre blanc]', 'aubergine grillée 6%', 'courgette grillée 6%', 'oignon préfrit 6% ', 'oignon', 'huile de tournesol', 'poivron jaune 6%', 'poivron rouge 6%', 'huile de tournesol', 'sel', 'menthe', 'cannelle', 'cumin', 'poivre', ' Pourcentages exprimés sur la semoule de blé dur réhydratée', 'légumes', 'et falafels frits', ' Sauce au yaourt et à la menthe 30g : Eau', 'huile de colza', 'YAOURT nature 10%', ""vinaigre d'alcool"", 'amidon de maïs', 'jaune d OEUF', 'menthe 2%', 'sel', 'persil', 'ail', 'épaississant : gomme xanthane', 'poivre', 'conservateur : sorbate de potassium', ' Pourcentages exprimés sur la sauce au yaourt et à la menthe']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Non végétalien'],?,180,753 kj(180 kcal),"8,3","1,1",20,"1,9","5,1","0,78","0,312",,['Plats préparés'],,+12%,+16%,+49%,-27%,,,,,,,,"['Œufs', 'Gluten', 'Lait']",4,8.3 g,en quantité modérée,1.1 g,en faible quantité,1.9 g,en faible quantité,0.78 g,en quantité modérée,3,C,['Transformé en France'],280 g,+12%,-52%,-9%,-17%,-17%,-24%,-24%,,['Frais'],,,,,
735,Asian box nouilles aux légumes et poulet - U - 280g,3256226751821,['U'],['Magasins U'],['France'],"['Pâte alimentaire aux oeufs cuite', 'légumes et champignon noir', 'émincé de filet de poulet traité en salaison cuit rôti 250g : pâte alimentaire aux oeufs cuite 50% ', 'eau', 'semoule de blé dur', 'oeufs', 'émincé de filet de poulet traité en salaison cuit rôti 14% [filet de poulet ', 'origine : france', ' 13%', 'eau', 'fécule de manioc', 'sel', 'dextrose]', 'carotte 10%', 'poivron rouge 6%', 'fève de soja 5%', 'champignon noir 5%', 'oignon préfrit 5% ', 'oignon', 'huile de tournesol', 'huile de tournesol', 'gingembre', ' pourcentages exprimés sur les pâtes alimentaires aux oeufs', 'légumes et champignon noir', 'émincé de filet de poulet traité en salaison cuit rôti', ' sauce au soja et au sésame 30g : eau', 'sauce au soja 25% ', 'eau', 'grains de soja 2%', 'sel', 'farine de blé', ' ', ' sucre', 'huile de graines de sésame 5%', 'amidon de mais', 'sel', 'purée de tomates double concentrée', 'épices', 'acidifiant : acide citrique', 'conservateur : sorbate de potassium', ' pourcentages exprimés sur la sauce au soja et au sésame']","['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",?,115,481 kj(115 kcal),"2,3","0,3",16,"3,2","6,7","0,73","0,292",,['Plats préparés'],,-29%,-68%,+19%,-4%,,,,,,,,"['Œufs', 'Gluten', 'Soja', 'GRAINES', 'SAME']",4,2.3 g,en faible quantité,0.3 g,en faible quantité,3.2 g,en faible quantité,0.73 g,en quantité modérée,0,B,"['Viande Française', 'Transformé en France', 'Poulet Français']",280 g,-28%,-87%,+54%,-23%,-23%,-100%,-100%,,['Frais'],,,,,
736,Crêpes fourrage au chocolat - U,3256227091391,['U'],['Magasins U'],['France'],[],,[],?,434,1816 kj(434 kcal),20,"5,6",56,36,"6,3",1,"0,4",B,"['Crêpes et galettes', 'Crêpes']",,+42%,+102%,+23%,-12%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,20 g,en quantité modérée,5.6 g,en quantité élevée,36 g,en quantité élevée,1 g,en quantité modérée,21,E,,,+41%,+54%,+70%,+23%,+23%,+74%,+74%,,,,,,,
737,Jus d'orange à base de concentré U - 20cl,3256438028391,['U'],['Magasins U'],['France'],"[""Jus d'orange à base de jus d'orange concentré""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",187,?,187 kj(45 kcal),"0,1",0,"10,1","9,3","0,7",0,0,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]",+3%,,-47%,+4%,+12%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,1,0.1 g,en faible quantité,0 g,en faible quantité,9.3 g,en quantité élevée,0 g,en faible quantité,4,C,"['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",20 cl,+3%,-100%,+2%,-100%,-100%,+33%,+33%,Jus d'orange à base de concentré,"['Briques', 'Carton']",,,,,
738,Rillettes Larzul - Maison larzul - 125g,3256477013167,['Maison larzul'],,['France'],[],,[],?,399,1669 kj(399 kcal),"36,7","13,6","1,1","0,8","15,9","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,125g,,,,,,,,,,,,,,
739,Escargots de bourgogne - Maison Larzul,3256477039402,['Maison Larzul'],,['France'],"['Escargots de Bourgogne ', 'Helix Pomatia', 'eau filtrée', 'carottes', 'oignons', 'sel de Guérande', 'ail', 'vin blanc', 'poivre', 'thym', 'laurier', 'persil']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,89,372 kj(89 kcal),"1,5","0,4","2,1","0,01","16,8","1,1","0,44",C,"['Viandes', 'Escargots', 'Escargots de Bourgogne']",,-65%,-93%,-10%,+51%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,,3,1.5 g,en faible quantité,0.4 g,en faible quantité,0.01 g,en faible quantité,1.1 g,en quantité modérée,0,B,,,-65%,-97%,-99%,-8%,-8%,-100%,-100%,,,,,,,
740,Escargots de Bourgogne - Maison Larzul,3256477039457,['Maison Larzul'],,['France'],[],,[],?,89,372 kj(89 kcal),"1,5","0,4","2,1","0,01","16,8","1,1","0,44",C,"['Viandes', 'Escargots', 'Escargots de Bourgogne']",,-65%,-93%,-10%,+51%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,,,1.5 g,en faible quantité,0.4 g,en faible quantité,0.01 g,en faible quantité,1.1 g,en quantité modérée,0,B,,,-65%,-97%,-99%,-8%,-8%,-100%,-100%,,,,,,,
741,Risotto aux champignons - N! Nature - 300g,3256477079309,['N! Nature'],['Auchan'],['France'],"['Bouillon de légumes ', 'eau filtrée', 'sel de mer', 'extrait de levure', 'farine de riz complet', 'huile de tournesol vierge', 'oignons', 'carottes', 'céleri', 'épices ', 'curcuma', 'macis', 'persil', 'riz rond demi complet ', '19 %', 'champignons ', '11 %', 'crème fraîche', 'parmesan', 'oignons', 'vin blanc', ""huile d'olive vierge extra"", 'sel de Guérande']",,"['Sans huile de palme', 'Non végétalien']",643,?,643 kj(154 kcal),"6,9","3,1",18,"0,7","3,9","0,5","0,2",B,"['Plats préparés', 'Plats à base de riz', 'Risottos', 'Plats préparés à réchauffer au micro-ondes', 'Risottos aux légumes', 'Risottos aux champignons']",-9%,,+121%,-58%,-33%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,"['Céleri', 'Lait']",3,6.9 g,en quantité modérée,3.1 g,en quantité modérée,0.7 g,en faible quantité,0.5 g,en quantité modérée,4,C,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Fabriqué en France', 'Sans œufs', 'en:peanut-free', 'SAns fruits à coque']",300 g,-36%,+133%,-48%,-43%,-43%,-9%,-9%,,"['Barquette', 'Plastique', 'Carton']","['Bretagne', 'France']","['FR 29.174.020 CE', 'Plonéour-Lanvern (Finistère, France)']",,,
742,Gratin d'aubergine - n! nature - 400g,3256477079606,['n! nature'],,['France'],"['Tomates*', 'aubergines* ', '27,9%', 'crème fraîche*', 'oignons*', 'emmental* ', '4,5%', 'oeufs entiers* ', '3,8%', 'farine de riz complet*', ""huile d'olive vierge extra*"", 'beurre*', 'sel de guérande', 'ail*', 'eau filtrée', 'herbes de Provence* ', 'thym*', 'romarin*', 'sariette*', 'marjolaine*', 'origan vert*', 'hysope*', 'origan rouge*', 'basilic*', 'poivre blanc*', ""persil* - *ingrédients agricoles issus de l'agriculture biologique""]",,['Non végétalien'],?,109,456 kj(109 kcal),"8,4","5,3","3,7","2,6","3,2","0,51","0,204",B,"['Plats préparés', 'Gratins', 'Gratins de légumes', ""Gratins d'aubergine""]",,-22%,-14%,-24%,+1%,71.1%,12.3%,5.4%,6.1%,3.0%,2.1%,76,['Lait'],3,8.4 g,en quantité modérée,5.3 g,en quantité élevée,2.6 g,en faible quantité,0.51 g,en quantité modérée,5,C,"['Bio', 'en:gluten-free', 'Fabriqué en France', 'Sans soja', 'en:peanut-free', 'Emballage sans aluminium', 'Sans fruit à coque']",400g,-20%,+129%,-33%,-17%,-17%,+1699%,+1699%,Plat préparé,"['sous vide', 'Plastique', 'emballage sans aluminium']",,"['FR 29.174.020 CE', 'Plonéour-Lanvern (Finistère, France)']","['France', 'Ploneour-lanvern']",,
743,Langue de Boeuf Sauce Madère - Maison Larzul - 500g (+ 20% de produit gratuit),3256477087021,['Maison Larzul'],['Carrefour'],['France'],"['Langue de boeuf 46%', 'sauce 54% : eau filtrée', 'farine de blé', 'oignons', 'beurre', 'saindoux', 'armagnac madère 4%', 'vinaigre', 'sel de Guérande 1', '8%', 'sucre', 'vin blanc', 'sel', 'arômes naturels ', 'dont moutarde']",,"['Non végétalien', 'Non végétarien']",783,?,783 kj(187 kcal),"14,7","7,2","3,5","2,1",10,"1,1","0,44",E,"['Conserves', 'Viandes', 'Plats préparés', 'Bœuf', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Plats au bœuf', 'Préparations de viande bovine', 'Plats préparés en conserve', 'Langues de bœuf', 'Langues de bœuf sauce madère']",,,+40%,-11%,+1%,97.7%,0.4%,0.8%,0.7%,0.4%,0.1%,10,"['Gluten', 'Lait', 'Moutarde']",4,14.7 g,en quantité modérée,7.2 g,en quantité élevée,2.1 g,en faible quantité,1.1 g,en quantité modérée,13,D,"['Sans colorants', 'Sans conservateurs', 'en:produced-in-bretagne']",500 g (+ 20% de produit gratuit),+21%,+47%,+33%,+21%,+21%,+111%,+111%,,"['Conserve', 'Métal']","['France', 'Bretagne']","['FR 29.174.020 CE', 'Plonéour-Lanvern (Finistère, France)']",,,
744,Pitch - Brioches Pasquier,3256540000131,['Brioches Pasquier'],['Delhaize'],"['Belgique', 'France']",[],,[],?,352,1473 kj(352 kcal),12,"3,9",55,23,"5,9",1,"0,4",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches au chocolat']",,-2%,-10%,+9%,-23%,77.5%,13.5%,5.4%,3.2%,0.4%,0.0%,63,,,12 g,en quantité modérée,3.9 g,en quantité modérée,23 g,en quantité élevée,1 g,en quantité modérée,16,D,,,-2%,-33%,+29%,+17%,+17%,+7%,+7%,,,,,,,
745,Brioche en tranches - Pasquier - 1000g,3256540000261,['Pasquier'],,['France'],[],,[],1514,?,1514 kj(362 kcal),"12,8","3,9","52,3","13,9","7,8",1,"0,4",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tranchées']",+3%,,+4%,+1%,-2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,12.8 g,en quantité modérée,3.9 g,en quantité modérée,13.9 g,en quantité élevée,1 g,en quantité modérée,14,D,,1000 g,+2%,-35%,+5%,0%,0%,-6%,-6%,,,,,,,
746,Brioche au pépites de chocolat - Brioches Pasquier,3256540000322,['Brioches Pasquier'],,['France'],[],,[],?,393,1644 kj(393 kcal),"15,5",4,"51,7","22,4","7,8","0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Couronne des Rois Nature - Brioche Pasquier - 450g e,3256540000469,"['Brioche Pasquier', 'Pasquier']",['Leclerc'],['France'],"['Farine de blé - Levain ', 'farine de blé', 'eau', 'sel', ' - Œufs frais - Sucre - Beurre concentré - Sucre perlé 3% [sucre', 'matière grasse végétale ', 'palme', ""amidon de pois] - Huile de colza - Levure - Émulsifiant : mono et diglycérides d'acides gras - Sel - Rhum - Arôme - Épaississant : farine de graine de caroube - Gluten de blé - Colorant : caroténoïde - Antioxydant : acide ascorbique - Protéines de lait""]","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E160 - Caroténoïdes', 'E300 - Acide ascorbique']","['Huile de palme', 'Non végétalien']",1496,?,1496 kj(358 kcal),"12,1","6,2","52,8","19,9","7,8","2,616","1,046",D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Couronnes des rois']",,,+2%,+1%,+1%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"['Œufs', 'Gluten', 'Lait']",4,12.1 g,en quantité modérée,6.2 g,en quantité élevée,19.9 g,en quantité élevée,2.62 g,en quantité élevée,24,E,"['Point Vert', 'Fabriqué en France']",450 g e,+2%,+12%,+14%,+196%,+196%,+54%,+54%,,"['Sachet', 'Plastique']",['France'],,,,http://www.pasquier.fr/produit/gamme-9-Gamme-Rois.html
748,Pitch - brioches fraises - Brioche Pasquier - 310g,3256540000957,['Brioche Pasquier'],,"['France', 'Suisse']","['Farine de blé 30%', 'Fourrage à la fraise 28% ', 'sirop de fructose/glucose', 'sucre', 'purée de fraise 4', '2%', 'purée concentrée de fraise 1', '4%', 'équivalent à 5', '5% de purée de fraise', 'purée de pomme 1', '2%', 'gélifiant: pectines', 'arômes naturels', 'jus concentré colorant de carotte pourpre', 'jus de citron concentré ', ' sucre', 'levain 9%', 'farine de blé 5%', 'eau', 'sel', 'huile de colza', '  oeufs frais', 'levure', 'beurre concentré ', 'lait', 'fibres de psyllium', ""émulsifiants : mono et di glycérides d'acides gras"", 'sel', 'gluten de blé', 'épaississant : farine de graines de caroube', 'antioxydant: acide ascorbique', 'protéines de lait', ' \r Ce produit contient du blé', 'du soja', 'des oeufs', 'du gluten', ""du lait et a pu être en contact avec de l'arachide et des fruits à coque""]","['E440 - Pectines', 'E410 - Gomme de caroube', 'E300 - Acide ascorbique']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1400,?,1400 kj(335 kcal),"9,5","2,3",55,"25,8","5,4","0,99","0,396",,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,,,,,,,,,,,310 g,,,,,,,,,,,,,,
