,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,traceability_code,markets,manufacturing,labels,ingredients_origins,link,palm_ingredients,producer_info
315,Suprême coraya,3276170027179,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Purée de fruit pasteurisée sucrée Mangue,3276188017001,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Chips Maison - Cmj,3276220000138,,['Cmj'],,['France'],[],,,[],,,,,,,,,,?,,494,,2067 kj(494 kcal),,"23,7",,2,,"62,1",,"0,2",,8,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,
318,Le framboisier barquette - Les Biscuits de Mél - 200g,3276220000336,C,['Les Biscuits de Mél'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],"['Farine de blé', 'sucre', 'beurre', ""huile d'arachide"", 'œufs', 'framboises entières 4 %', 'arôme framboise', 'poudre à lever ', 'diphosphate disodique', 'carbonate acide de sodium', 'amidon de maïs']","['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']","['Œufs', 'Gluten', 'Lait', 'Arachides']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,24 g,en quantité élevée,9.5 g,en quantité élevée,25 g,en quantité élevée,0.175 g,en faible quantité,?,,489,+3%,2046 kj(489 kcal),+3%,24,+15%,"9,5",-6%,61,-5%,25,-15%,"6,4",-2%,"0,175",-70%,"0,07",-70%,20,+1%,E,+1%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,200 g,"['Barquette', 'Plastique']","['EMB 34259A', ""Saint-Georges-d'Orques (Hérault, France)""]",['Auchan'],,"['Point Vert', 'Fabrication artisanale', 'Sud de France']",,,,
319,L'oreillette du Languedoc - Sud De France,3276220000404,,['Sud De France'],,['France'],"['Farine de blé', 'huile de tournesol', 'sucre', 'eau', 'oeufs', 'arôme citron', 'sel']",,"['Œufs', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,546,,2284 kj(546 kcal),,35,,3,,51,,17,,5,,"0,44",,"0,176",,,,,,,,,,,,,,,,,,,,,,,
320,Le longué de montpellier - Connétable - 200g,3276220000794,E,['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Thons tropicaux', 'Thons au naturel', 'Thons albacore', 'Thons albacore au naturel']",['France'],"['Thon albacore', 'eau', 'sel']",,['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,18 g,en quantité modérée,3.1 g,en quantité modérée,30 g,en quantité élevée,0 g,en faible quantité,?,,438,+278%,1833 kj(438 kcal),+280%,18,+1092%,"3,1",+560%,71,+82554%,30,+41052%,"5,9",-77%,0,-100%,0,-100%,14,+3565%,D,+3565%,71.8%,6.5%,14.0%,6.7%,0.4%,0.5%,24,,200 g,"['Conserve', 'métal']","['FR 29.046.500 CE', 'Douarnenez (Finistère, France)']",,"['France', 'Bretagne']","['Point Vert', 'Fabriqué en France', 'Pêché à la senne', 'Préparé en Bretagne']",,,,
321,Groins de porc -,3276230003181,,,['Groins de porc'],['France'],[],,,[],,19.3 g,en quantité modérée,6.4 g,en quantité élevée,1 g,en faible quantité,10.9 g,en quantité élevée,?,,247,,1033 kj(247 kcal),,"19,3",,"6,4",,1,,1,,"18,4",,"10,9",,"4,36",,19,,E,,,,,,,,,,,,"['EMB 44180C', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)']",['Magasins U'],,,,,,
322,400 G -,3276230008568,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Cervelas']",['France'],[],,,[],,25 g,en quantité élevée,9.1 g,en quantité élevée,0.9 g,en faible quantité,2.7 g,en quantité élevée,?,,279,+3%,1167 kj(279 kcal),+3%,25,+5%,"9,1",+7%,"1,5",+18%,"0,9",+6%,12,-4%,"2,7",+29%,"1,08",+29%,22,+13%,E,+13%,84.8%,9.7%,1.8%,1.2%,0.7%,1.9%,15,,400 g,['Film plastique à jeter'],"['FR 44.180.004 CE', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)', 'EMB 44180C', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)']",,,,,,,
323,Lardons Allumettes Fumés -  - 180g,3276230016570,D,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']",['France'],"['Poitrine de porc ', '85,9%', 'eau', 'sel', 'acidifiants : e326', 'e262']","['E326 - Lactate de potassium', 'E262 - Acétates de sodium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,25 g,en quantité élevée,9.8 g,en quantité élevée,0.8 g,en faible quantité,1.1 g,en quantité modérée,?,,292,+9%,1222 kj(292 kcal),+11%,25,+15%,"9,8",+19%,"0,8",-3%,"0,8",+25%,16,-2%,"1,1",-58%,"0,44",-58%,16,-20%,D,-20%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,,180 g,,"['FR 44.180.004 CE', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)']",,,,['Union européenne'],,,
324,Lardons salés - Aubret - 180g,3276230016587,D,['Aubret'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc']",['France'],"['Poitrine de porc ', '85,9%', 'eau', 'sel', 'acidifiants : E326', 'E262 ', ' dextrose', 'sirop de glucose', 'conservateurs: E508', 'E250 ', ' antioxydant : E316', ' Porc origine UE']","['E326 - Lactate de potassium', 'E262 - Acétates de sodium', 'E508 - Chlorure de potassium', '', 'Risque modéré de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,26 g,en quantité élevée,10 g,en quantité élevée,0.8 g,en faible quantité,2.7 g,en quantité élevée,?,,295,+12%,1234 kj(295 kcal),+13%,26,+21%,10,+23%,"0,8",-4%,"0,8",+21%,17,+4%,"2,7",+3%,"1,08",+3%,22,+11%,E,+11%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,lardons salés,180 g,['Plastique'],"['FR 44.180.004 CE', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)']",,,,,,,
325,Saucisses de strasbourg - Aubret,3276230020188,E,['Aubret'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",['France'],"['Viande de porc ', '70%', 'eau', 'gras de porc', 'sel', '\rprotéines de lait', 'fibres végétales de blé', 'acidifiant :E325', '\rlactose', 'dextrose de blé', 'stabilisant : E450', 'saccharose', 'épices', '\rarôme et arôme de fumée', 'antioxydant: E301', 'conservateur: \rE250', 'colorant : E120', ' Porc origine UE']","['E325 - Lactate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",['Lait'],"['Non végétalien', 'Non végétarien']",4,22.6 g,en quantité élevée,8.7 g,en quantité élevée,1.3 g,en faible quantité,2.6 g,en quantité élevée,?,,264,-4%,1105 kj(264 kcal),-4%,"22,6",-7%,"8,7",-6%,"2,5",+75%,"1,3",+15%,"11,6",-8%,"2,6",+34%,"1,04",+34%,20,+5%,E,+5%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,,,,,,,,
326,Lardons Nature - Leader Price - 160g,3276230020799,C,['Leader Price'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc']",['France'],"['Poitrine de porc', 'sel', 'acidifiants : lactate de potassium - acétates de sodium', 'dextrose', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium']","['E326 - Lactate de potassium', 'E262 - Acétates de sodium', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,26 g,en quantité élevée,10 g,en quantité élevée,1.1 g,en faible quantité,2.63 g,en quantité élevée,?,,300,+14%,1255 kj(300 kcal),+15%,26,+21%,10,+23%,"1,4",+68%,"1,1",+66%,14,-15%,"2,63",+1%,"1,052",+1%,22,+11%,E,+11%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,,160 g,"['Frais', 'Plastique']","['EMB 44180C', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)', 'FR 44.180.004 CE', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)']",['Leader Price'],['France'],"['Viande Française', 'Viande Porcine Française', 'Point Vert']",['France'],,,
327,Lardon paysan - Carrefour,3276230022618,,['Carrefour'],,['France'],"['Poitrine de porc ', 'France', 'sel', 'dextrose', 'épices ', 'coriandre,piment de Jamaïque', 'poivre', 'laurier', 'antioxydant', ' E301', 'conservateur : E250', ""extrait d'épice - coloration de surface : eau"", 'protéines de sang', 'dextrose']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,255,,1067 kj(255 kcal),,"19,9",,"7,1",,"0,7",,"0,7",,"18,3",,"2,8",,"1,12",,,,,,,,,,,,,,,,,['Carrefour'],,,,,,
328,Cervelas,3276230023233,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Cervelas']",['France'],[],,,[],,23 g,en quantité élevée,8.7 g,en quantité élevée,0.5 g,en faible quantité,2.2 g,en quantité élevée,?,,265,-2%,1109 kj(265 kcal),-2%,23,-4%,"8,7",+2%,"0,5",-61%,"0,5",-41%,14,+12%,"2,2",+5%,"0,88",+5%,20,+3%,E,+3%,84.8%,9.7%,1.8%,1.2%,0.7%,1.9%,15,,,,,,,,,,,
329,Maroilles quart - Fromage au lait pasteurisé fabriqué par la laiterie de Mondrepuis - 200g,3276310000024,D,['Laiterie de Mondrepuis'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Maroilles']",['France'],"[""51 % de matière grasse sur l'extrait sec"", ' 27% de matière arasse dans le produit finie Fromage au rait pasteurisé tabriqué par la Laiterie de Mondrepuis 02500 Mondrepuis France', ' A conserver entre +2eCl+$C']",,,[],,27 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,?,,327,0%,1368 kj(327 kcal),-0%,27,+1%,18,+2%,"0,5",-14%,"0,5",+6%,21,-1%,2,-7%,"0,8",-7%,17,-3%,D,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,200g,['Frais'],,,,['AOP'],,,,
330,Le Rollot de Picardie - Fromage au lait pasteurisé - Lesire et Roger - 230g,3276310000055,D,['Lesire et Roger'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['France'],['Fromage au lait pasteurisé'],,,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,29 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,,332,+1%,1389 kj(332 kcal),+1%,29,+9%,18,+1%,1,-17%,"0,5",-33%,21,+3%,"1,5",+15%,"0,6",+15%,15,+9%,D,+9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,230g,,"['FR 02.495.001 CE', 'Mondrepuis (Aisne, France)']",['Leclerc'],['Mondrepuit'],,,,,
331,Quart Maroilles - Sans marque - 200g,3276311010145,C,['Sans marque'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages pasteurisés', 'Maroilles']",['France'],['Fromage au lait pasteurisé'],,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,27 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,1356,-0%,?,,1356 kj(324 kcal),-1%,27,+1%,18,+2%,"< 0,5",-14%,"< 0,5",+6%,21,-1%,2,-7%,"0,8",-7%,17,-3%,D,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,200 g,['Carton'],"['FR 02.495.001 CE', 'Mondrepuis (Aisne, France)']",['SImply Market'],,['AOP'],,,,
332,"Boulettes D'avesnes, 45% MG - Lesire - 150g",3276316060718,D,['Lesire'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', ""Boulettes d'Avesnes"", 'Spécialités fromagères']",['France'],"['Fromages ', '98,5% dont 90% de Maroilles ', 'lait', ' émulsifiants ', 'E450', 'E452', 'estragon', 'poivre,conservateur E202', 'enrobage : paprika']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],['Non végétalien'],4,27 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,2.5 g,en quantité élevée,1356,+8%,?,,1356 kj(324 kcal),-1%,27,+2%,"17,5",-2%,"< 0,5",-59%,"< 0,5",-33%,21,+3%,"2,5",+92%,1,+92%,19,+39%,E,+39%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,Spécialité fromagère aux fines herbes fabriquée à aprtir de fromage au lait pasteurisé,150g,['Frais'],"['FR 02.495.001 CE', 'Mondrepuis (Aisne, France)']",,,"['Fabriqué en France', 'Triman']",,,,
333,Le Rollot de Picardie (29% MG) - Lesire & Roger - 230g,3276319093102,D,['Lesire & Roger'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pasteurisés', 'Fromages à pâte molle à croûte lavée', 'Rollot de Picardie']",['France'],['Fromage au lait pasteurisé'],,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,29 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,1372,+7%,?,,1372 kj(328 kcal),+9%,29,+18%,18,+8%,1,+81%,"0,5",+28%,21,+6%,"1,5",-6%,"0,6",-6%,15,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,Fromage au lait pasteurisé,230 g,"['Carton', 'Plastique']","['FR 02.495.001 CE', 'Mondrepuis (Aisne, France)']","['Simply Market', 'Magasins U']","['Picardie', 'France']",['Saveurs en Or'],,,,
334,Rillettes pur porc,3276341210041,D,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc', 'Rillettes pur porc']",['France'],[],,,[],,39.2 g,en quantité élevée,13.3 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,?,,410,+0%,1715 kj(410 kcal),+1%,"39,2",+4%,"13,3",-8%,"0,5",+18%,"0,5",+60%,"14,2",-9%,"1,2",-4%,"0,48",-4%,20,+2%,E,+2%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,
335,Pois Chiche - Tartines et Potager,3276350021812,,['Tartines et Potager'],,['France'],['Quinoa'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,364,,1523 kj(364 kcal),,6,,"0,6",,61,,11,,19,,"0,005",,"0,002",,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,
336,Lingots blancs,3276350021904,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots blancs', 'Lingots blancs']",['France'],[],,,[],,1.2 g,en faible quantité,0.3 g,en faible quantité,2.3 g,en faible quantité,0.05 g,en faible quantité,?,,297,+34%,1243 kj(297 kcal),+34%,"1,2",-11%,"0,3",-3%,"41,3",+26%,"2,3",+43%,"21,2",+34%,"0,05",-87%,"0,02",-87%,-2,,A,,,,,,,,,,,,,,,,,,,
337,Lentilles corail - maison Duru - 500g,3276350021997,B,['maison Duru'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles décortiquées', 'Lentilles rouges', 'Lentilles corail']",['France'],[],,,[],,1.2 g,en faible quantité,0.2 g,en faible quantité,1 g,en faible quantité,0.1 g,en faible quantité,?,,331,-1%,1385 kj(331 kcal),-2%,"1,2",-26%,"0,2",-19%,"50,4",+4%,1,-44%,24,-4%,"0,1",+252%,"0,04",+252%,-1,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,Lentilles corail,500 g,"['Sachet', 'Plastique']",,,"['Gironde', 'France']",['Point Vert'],,,,
338,Haricots rouges,3276350022314,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots rouges']",['France'],[],,,[],,1.2 g,en faible quantité,0.3 g,en faible quantité,2.3 g,en faible quantité,0.05 g,en faible quantité,?,,297,+90%,1243 kj(297 kcal),+86%,"1,2",+42%,"0,3",+117%,"41,3",+92%,"2,3",+60%,"21,2",+86%,"0,05",-87%,"0,02",-87%,-2,,A,,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,,,,,,,['Bio'],,,,
339,Trio de Quinoa,3276350022604,,,,['France'],[],,,[],,,,,,,,,,?,,392,,1640 kj(392 kcal),,"5,8",,4,,69,,1,,13,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,['Bio'],,,,
340,Haricots Blanc au naturel - tartines et potager - 300g,3276350154466,,['tartines et potager'],['en:Haricots blancs'],['France'],[],,,[],,0.6 g,en faible quantité,0.1 g,en faible quantité,0.7 g,en faible quantité,1 g,en quantité modérée,?,,105,-1%,439 kj(105 kcal),-1%,"0,6",+15%,"0,1",-22%,"15,3",+13%,"0,7",+51%,"6,6",+15%,1,+95%,"0,4",+95%,1,,B,,,,,,,,,,300 g,['pot en verre'],,,,,,,,
341,Flageolets au naturel,3276350159461,,,,['France'],[],,,[],,,,,,,,,,?,,110,,460 kj(110 kcal),,"0,9",,"0,1",,"14,6",,0,,"6,6",,1,,"0,4",,,,,,,,,,,,,,,,,,,['Bio'],,,,
342,Gaspatcho de tomate au basilic,3276350207018,,,,['France'],[],,,[],,,,,,,,,,?,,49,,205 kj(49 kcal),,"1,3",,"0,2",,"5,4",,"5,4",,2,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,['Bio'],,,,
343,Lentilles aux carottes,3276350257464,,,,['France'],[],,,[],,,,,,,,,,?,,110,,460 kj(110 kcal),,"0,4",,0,,15,,"0,7",,"9,6",,1,,"0,4",,,,,,,,,,,,,,,,,,,['Bio'],,,,
344,Flageolets aux herbes - Tartines & Potager,3276350259468,,['Tartines & Potager'],,['France'],[],,,[],,,,,,,,,,?,,123,,515 kj(123 kcal),,"1,4",,"0,2",,"15,9",,"0,1",,"8,2",,1,,"0,4",,,,,,,,,,,,,,,,,,,['Bio'],,,,
345,Flageolets aux herbes,3276350259864,,,,['France'],[],,,[],,,,,,,,,,?,,514,,2151 kj(514 kcal),,"1,4",,"0,2",,"15,9",,"0,1",,"8,2",,1,,"0,4",,,,,,,,,,,,,,,,,,,['Bio'],,,,
346,Ketchup au piment d'Espelette - TARTINES&POTAGER - 320g,3276350707211,,['TARTINES&POTAGER'],,['France'],"['Tomates', 'concentré de tomates', 'pavrons rouges', ""vinaigre de cidre'"", 'oignons', ""piment d'espelette* "", '0,1%', 'poivre""', ""origan'"", 'laurier', 'sel']",,,[],,,,,,,,,,181,,?,,181 kj(43 kcal),,"0,3",,0,,"7,1",,"5,4",,"1,7",,"0,7",,"0,28",,,,,,,,,,,,,,320 g,,,,,['Bio'],,,,
347,Terrine de volaille - Medina,3276440042369,,['Medina'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles']",['France'],"['abats de peau de dinde 49% dinde', 'eau', 'viande de dindet oignons', 'farine de blé', ' sol', 'protéine de soiat dextrose de blé', 'saccharose', ""blanc d'œuf stabilisant"", ""' E451 arôme de ail"", ""antioxy acidifiant conservateur E 250 s contenir des clo fruits è' coque"", 'NET : 220g']",,['Gluten'],[],,11 g,en quantité modérée,3.4 g,en quantité modérée,1.6 g,en faible quantité,1.9 g,en quantité élevée,?,,187,-38%,782 kj(187 kcal),-38%,11,-57%,"3,4",-64%,4,+125%,"1,6",+146%,17,+19%,"1,9",+23%,"0,76",+23%,13,-27%,D,-27%,,,,,,,,,,,"['FR 69.135.001 CE', 'Monsols (Rhône, France)']",,,['Halal'],,,,
348,Pâté Oriental - MEDINA HALAL - 220g,3276440042505,,['MEDINA HALAL'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles']",['France'],"['abats de dinde ', '46%', 'peau de dinde', 'eau', 'viande de dinde', 'olives vertes', 'oignons', 'farine de blé', 'sel', 'protéine de soja', 'dextrose de blé', 'saccharose', ""blanc d'œuf déshydraté"", 'épices', 'stabilisants : E451i', 'arôme', 'arôme de fumée', 'ail', 'antioxydant : E316', 'oléorésine de chili', 'acidifiant : E330', 'conservateur : E250']","['E451i - TPP', 'E316 - Érythorbate de sodium', 'E330 - Acide citrique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Soja']","['Non végétalien', 'Non végétarien']",4,11 g,en quantité modérée,3.3 g,en quantité modérée,1.4 g,en faible quantité,2 g,en quantité élevée,768,-31%,184,-39%,768 kj(184 kcal),-39%,11,-57%,"3,3",-65%,"4,3",+142%,"1,4",+115%,17,+19%,2,+30%,"0,8",+30%,13,-27%,D,-27%,,,,,,,,Pâté de volaille oriental,220 g,['Barquette'],"['FR 69.135.001 CE', 'Monsols (Rhône, France)']",,,"['Halal', 'Viande-francaise', ""Contrôle de la mosquée d'Évry-Courcouronnes"", 'Volaille-francaise']","['France', 'Dinde origine France']",,,
349,Mousse de canard - ID'HALAL - 220g,3276440178679,C,"[""ID'HALAL""]","['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de canard']",['France'],"['Gras de canard', 'foie de canard ', '25 %', 'eau', 'foie de dinde', 'farine de riz', 'lait écrémé en poudre', 'dextrose de blé et maïs', 'viande de canard', 'sel', 'stabilisants : E451', 'E450', 'arômes', 'épices et plantes aromatiques', 'antioxydants : E301', 'E300', 'conservateur : E250']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Lait'],"['Non végétalien', 'Non végétarien']",4,30 g,en quantité élevée,12 g,en quantité élevée,2 g,en faible quantité,1.6 g,en quantité élevée,?,,329,-18%,1377 kj(329 kcal),-18%,30,-22%,12,-15%,"2,7",-15%,2,+4%,11,+19%,"1,6",+9%,"0,64",+9%,21,+3%,E,+3%,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,,220 g,"['Barquette', 'Plastique', 'Frais']","['FR 69.135.001 CE', 'Monsols (Rhône, France)']",,['France'],"['Halal', 'Viande-francaise', 'Point Vert', 'Volaille-francaise']",['France'],,,
350,El'hindy de volaille oriental - Id Halal,3276440179003,,['Id Halal'],,['France'],[],,,[],,,,,,,,,,?,,212,,887 kj(212 kcal),,15,,"4,6",,7,,"1,8",,11,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,['Halal'],,,,
351,El'Hindy de volaille aux olives goût veau - Id Halal,3276440179102,,['Id Halal'],,['France'],[],,,[],,,,,,,,,,?,,226,,946 kj(226 kcal),,16,,6,,"8,8",,1,,11,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,['Halal'],,,,
352,Saucisson sec,3276440179553,D,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['France'],"['SAUCISSON SEC À LA VOLAILLE ET AU BŒUF Ingrédients à la mise en euvre : Viande de dinde ', 'origine France', 'viande de bœuf ', 'origine UE', 'gras de bœuf', 'sel', 'lactose', 'épices', 'dextrose de blé', 'sucre', 'antioxydants : erythorbate de sodium', 'ascorbate de sodium', 'acide ascorbique', 'conservateur : nitrate de potassium', 'ferments', 'Peut contenir des traces de fruits à coques', 'soja', 'moutarde', 'blé', 'œuf', '74 g de viande de dinde', '35 g de viande de bœuf et 15 g de gras de bœuf mis en œuvre pour 100 g de produit fini', 'Produit sujet à dessiccation', 'A peler avant consommation,']","['E316 - Érythorbate de sodium', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],"['Non végétalien', 'Non végétarien']",4,25 g,en quantité élevée,11 g,en quantité élevée,1 g,en faible quantité,3.6 g,en quantité élevée,?,,335,-17%,1402 kj(335 kcal),-17%,25,-21%,11,-11%,2,-10%,1,-27%,27,-2%,"3,6",-23%,"1,44",-23%,24,0%,E,0%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,
