,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,markets,palm_ingredients,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,link,brand_owner,ingredients_origins
98,Raspberry Seedless Jam,5010893160854,,['France'],[],,[],,?,252,1054 kj(252 kcal),"0,5","0,1",63,53,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Diet lemonade,5010893370413,,['France'],[],,[],,?,1,4 kj(1 kcal),"0,5","0,1","0,5","0,5","0,5","0,03","0,012",,,,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']",['Sans sucre ajouté'],,,,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.03 g,en faible quantité,,-97%,-97%,+514%,+429%,-93%,-93%,+390%,+126%,+126%,2,-80%,C,-80%,,,,,,,,,,,,
100,British Semi Skimmed Milk,5010893700432,,['France'],[],,[],,?,50,209 kj(50 kcal),"1,8","1,1","4,8","4,8","3,6","0,11","0,044",D,,,,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",,,,,1.8 g,en faible quantité,1.1 g,en faible quantité,4.8 g,en faible quantité,0.11 g,en faible quantité,,+6%,+7%,+15%,+9%,-0%,0%,+11%,0%,0%,0,,B,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,
101,Cottage cheese -,5010893771906,,['France'],[],,[],,?,43,180 kj(43 kcal),"1,6","1,1","4,2","4,2",10,"0,25","0,1",D,,,,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",,,,,1.6 g,en faible quantité,1.1 g,en faible quantité,4.2 g,en faible quantité,0.25 g,en faible quantité,,-82%,-82%,-92%,-92%,+25%,+42%,+19%,-79%,-79%,-3,-125%,A,-125%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,
102,shepherd's pie,5010893793663,,['France'],[],,[],,?,98,410 kj(98 kcal),"3,5","1,8",12,"2,4","4,3","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Vegetable Stir fry,5010893879220,,['France'],[],,[],,?,36,151 kj(36 kcal),"0,5","0,1","4,9","4,2","1,9","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Campbell's Gold Collection Shortbread,5010909001577,,['France'],[],,[],,?,515,2155 kj(515 kcal),28,17,62,"27,5","5,8","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,D902343 Campbells Gold Collection,5010909001867,['Campbells'],['France'],[],,[],,?,515,2155 kj(515 kcal),"27,5","17,4","61,7","21,6","5,8","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"Shamrock Gift Irish Shop Shortbread Fingers,150G Merken - O'neills",5010909002437,"[""O'neills""]",['France'],"['Farine de blé ', 'enrichie en calcium', 'fer', 'vitamines BI et B3', 'Beurre 30% ', 'lait', 'Sucre', 'Fécule de maïs', 'Lait entier en poudre', 'Sel', 'Poudre à lever ', 'bicarbonate de sodium', ' Pour les allergènes', 'voir ingrédients indiqués en caractères gras']",['E500ii - Carbonate acide de sodium'],['Non végétalien'],,?,515,2155 kj(515 kcal),"27,5","17,4","61,7","21,6","5,8","0,9","0,36",,,,,,,,,"['Gluten', 'Lait']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"Shamrock Shortbread,All Butter",5010909003649,,['France'],[],,[],,?,515,2155 kj(515 kcal),"27,5","17,4","61,7","21,6","5,8","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"All Butter Shamrock Shortbread - O'Neills - 160g e / 5,6oz",5010909004059,"[""O'Neills""]",['France'],"['Farine de blé ', 'enrichie en calcium', 'fer', 'vitamines B1 et B3', 'Beurre 30 % ', 'lait', 'Sucre', 'farine de maïs', 'Lait entier en poudre', 'Sel', 'Poudre à lever ', 'bicarbonate de sodium ', 'E500']","['E500ii - Carbonate acide de sodium', 'E500 - Carbonates de sodium']","['Sans huile de palme', 'Non végétalien']",3,2152,?,2152 kj(514 kcal),"27,5","17,4","61,7","21,6","5,8","0,9","0,36",C,Biscuits sablés pur beurre.,"160 g e / 5,6 oz","['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Shortbread']",['Pur beurre'],,,"['Gluten', 'Lait']",27.5 g,en quantité élevée,17.4 g,en quantité élevée,21.6 g,en quantité élevée,0.9 g,en quantité modérée,-1%,,-1%,-2%,+4%,+2%,+13%,+5%,+36%,+36%,23,+8%,E,+8%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,
109,Campbells Scottish Pure Butter Cookies Cranberry and Raspberry With White Choc Chips 125G,5010909004288,['Campbells'],['France'],"[""' Farine de blé "", 'enrichie en calcium', 'fer', 'vitamines BI et B3', 'Beurre ', '28%', ' ', 'lait', 'Sucre', 'Pépites de chocolat blanc ', '3,4%', ' ', 'sucre', 'poudre de lait', 'beurre de cacao', 'lécithine de soja', 'Canneberge ', '2,8%', ' ', 'canneberge', 'sucre', 'huile de tournesol', 'Framboises ', '1,1%', 'Poudre de lait entier', 'Arôme naturel de framboise', 'Arôme naturel de beurre liait', 'Sel', 'Poudre à lever ', 'bicarbonate de sodium']","['E322i - Lécithine', 'E500ii - Carbonate acide de sodium']",['Non végétalien'],4,?,503,2105 kj(503 kcal),26,"16,5","63,7","28,5","4,6","0,9","0,36",,,,,,,,,"['Gluten', 'Lait', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Highland Speciality Signature Selection With Choc Chip - 500g,5010909004561,['Highland Speciality'],['France'],"['Farine de blé ', 'enrichie en calcium', 'fer', 'vitamines B1 et B3', 'Huile végétale ', 'huile de palme', 'huile de colza', 'Sucre', 'Fécule de maïs', 'Pépites de chocolat ', 'pâte de cacao', 'sucre', 'lécithine de soja', 'arôme naturel de vanille', 'Beurre ', 'lait', 'Lait entier en poudre', 'Arôme naturel de beurre ', 'lait', 'Sel', 'Émulsifiant : E481', 'Colorant naturel ', 'beta carotène']","['E322i - Lécithine', 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène']","['Huile de palme', 'Non végétalien']",4,?,523,2188 kj(523 kcal),29,"10,3","61,7",23,"5,5","0,4","0,16",D,,500 g,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits sablés', 'Shortbread']",,,['Huile de palme'],"['Gluten', 'Lait', 'Soja']",29 g,en quantité élevée,10.3 g,en quantité élevée,23 g,en quantité élevée,0.4 g,en quantité modérée,,+1%,+1%,+4%,-38%,+2%,+20%,-1%,-39%,-39%,22,+4%,E,+4%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,"['Écosse', 'Royaume-Uni']",,,,
111,Orange - Campbells,5010909004615,['Campbells'],['France'],[],,[],,?,504,2109 kj(504 kcal),26,"16,5","63,7","28,5","4,6","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Scottish wild kittens - Campbells - 150g,5010909005124,['Campbells'],"['France', 'Royaume-Uni']","['Farine de blé ', 'avec calcium', 'fer', 'niacine', 'thiamine', 'beurre 30 % ', 'lait', 'Sucre', 'Farine de maïs', '_lait_entier en poudre', 'sel', 'Agent levant ', 'bicarbonate de sodium']",['E500ii - Carbonate acide de sodium'],"['Sans huile de palme', 'Non végétalien']",3,?,515,2155 kj(515 kcal),"27,5","17,4","61,7","21,6","5,8","0,9","0,36",C,,150 g,"['boîte', 'métal', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Shortbread']",['Pur beurre'],,,"['Gluten', 'Lait']",27.5 g,en quantité élevée,17.4 g,en quantité élevée,21.6 g,en quantité élevée,0.9 g,en quantité modérée,,-0%,-1%,-2%,+4%,+2%,+13%,+5%,+36%,+36%,23,+8%,E,+8%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,"['Royaume-Uni', 'Écosse']",,,,
113,Scottish Collection Shortbread - Campbells,5010909005162,['Campbells'],['France'],"['Farine de blé enrichie en calcium', 'fer', ' vitamines B1 et B3', 'Beurre 30 % ', 'lait', 'sucre', 'grain maïs', 'Lait entier en poudre Sel', 'Agent de sensibilisation ', 'bi-carbonate de sodium']",,[],,?,515,2155 kj(515 kcal),"27,5","17,4","61,7","21,6","5,8","0,9","0,36",C,,,"['boîte', 'métal', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Shortbread']",,,,,27.5 g,en quantité élevée,17.4 g,en quantité élevée,21.6 g,en quantité élevée,0.9 g,en quantité modérée,,-0%,-1%,-2%,+4%,+2%,+13%,+5%,+36%,+36%,23,+8%,E,+8%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,
114,Shortbread,5010909005230,,['France'],[],,[],,?,515,2155 kj(515 kcal),"27,5","17,4","61,7","21,6","5,8","0,9","0,36",C,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Shortbread']",,,,,27.5 g,en quantité élevée,17.4 g,en quantité élevée,21.6 g,en quantité élevée,0.9 g,en quantité modérée,,-0%,-1%,-2%,+4%,+2%,+13%,+5%,+36%,+36%,23,+8%,E,+8%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,
115,Choc Chip Shortbread Fingers - Campbells - 125g e,5010909005551,['Campbells'],"['France', 'Royaume-Uni']","['Farine de blé enrichie en calcium fer', 'vitamines B1 et B3', 'Beurre 29 % ', 'lait', 'Sucre', 'Pépites de chocolat 10,1 % ', 'pâte de cacao', 'sucre', 'lécithine de soja', 'arôme naturel de vanille', 'Poudre de lait entier', 'Sel', 'Arôme de vanille']",['E322i - Lécithine'],['Non végétalien'],4,?,528,2209 kj(528 kcal),30,"19,3","60,8","22,5","5,5",1,"0,4",C,Shortbreads aux pépites de chocolat,125 g e,"['Carton', 'boîte', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits sablés', 'Shortbread']",['Pur beurre'],,,"['Lait', 'Soja']",30 g,en quantité élevée,19.3 g,en quantité élevée,22.5 g,en quantité élevée,1 g,en quantité modérée,,+2%,+2%,+7%,+16%,+1%,+18%,-1%,+51%,+51%,24,+13%,E,+13%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,"['Royaume-Uni', 'Écosse']",,,,
116,Shortbread Sheep - O'neills,5010909005575,"[""O'neills""]",['France'],[],,[],,?,515,2155 kj(515 kcal),"27,5","17,4","61,7","21,6","5,8","0,9","0,36",C,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Shortbread']",,,,,27.5 g,en quantité élevée,17.4 g,en quantité élevée,21.6 g,en quantité élevée,0.9 g,en quantité modérée,,-0%,-1%,-2%,+4%,+2%,+13%,+5%,+36%,+36%,23,+8%,E,+8%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,
117,Country Collection Shortbread - Highland Speciality,5010909005704,['Highland Speciality'],['France'],"['Farine de blé ', 'enrichie en calcium', 'fer', 'vitamines BI et B3', 'Huile végétale ', 'huile de palme', 'huile de colza', 'Sucre', 'Farine de maïs', 'Beurre ', 'lait', 'Lait entier en poudre', 'ArÔme naturel de beurre ', 'lait', 'Sel', 'Emulsifiant : E481', 'Colorant naturel ', 'P carotène', ' Pour les allergènes', 'voir ingrédients indiqués en caractères gras']","['E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition']","['Huile de palme', 'Non végétalien']",4,?,488,2042 kj(488 kcal),23,"8,3","62,9","20,7","5,9","0,6","0,24",,,,,,['Point Vert'],,['Huile de palme'],"['Gluten', 'Lait']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Amoy Straight To Wok Ribbon Rice Noodles,5010928050006,['Amoy'],['France'],"['Eau', 'riz ', '37%', 'fécule de pomme de terre', ""correcteur d'acidité - acide lactique"", 'orge amylase']",['E270 - Acide lactique'],[],3,?,129,540 kj(129 kcal),"0,1","0,1","31,2","2,1","0,6","0,1","0,04",,,,,['en:Rice Noodles'],,,,,0.1 g,en faible quantité,0.1 g,en faible quantité,2.1 g,en faible quantité,0.1 g,en faible quantité,,,,,,,,,,,1,,B,,,,,,,,,,,,,
119,Amoy Hot Peanut Satay Sauce Pot,5010928050341,['Amoy'],['France'],[],,[],,?,255,1067 kj(255 kcal),14,2,25,17,7,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Sauce Aigre-Douce,5010928236011,,['France'],[],,[],,?,154,644 kj(154 kcal),"3,3","0,6",31,26,"0,01",1,"0,4",,,,,['Epicerie'],,,,,3.3 g,en quantité modérée,0.6 g,en faible quantité,26 g,en quantité élevée,1 g,en quantité modérée,,-27%,-27%,-77%,-68%,+167%,+290%,-100%,-66%,-66%,10,-9%,C,-9%,,,,,,,,,,,,
121,Amoy Straight To Wok Thread Fine Noodles 2 X,5010928391505,['Amoy'],['France'],"['Eau', 'farine de blé', 'huile de tournesol', 'gluten de blé', 'sel', ""correcteur d'acidité – acide lactique"", 'stablisant - ?']","['E270 - Acide lactique', 'E412 - Gomme de guar']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,128,536 kj(128 kcal),"1,5","0,3","22,5","0,2","5,5","0,2","0,08",,,,,,,,,['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Chewits Blackcurrant,5010933011221,,['France'],[],,[],,?,383,1602 kj(383 kcal),3,2,88,50,0,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Whitakers Black Cherry Cremes 1 / 17,5010972001436,['Whitakers'],['France'],"['Fondant 64% ', 'sugar', 'glucose syrup', 'water', 'black cherry flavour', 'colour: black cherry', 'invertase', 'Plain Chocolate 36% ', 'cocoa mass', 'sugar', 'cocoa butter', 'emulsifier: soya lecithin', ' Plain Chocolate contains cocoa solids 55% minimum,']","['E1103 - Invertase', 'E322i - Lécithine']",[],4,?,423,1770 kj(423 kcal),"12,1","7,31","73,9","70,4","2,94","0,02","0,008",,,,,,['Pur beurre de cacao'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Mint Cremes - Whitakers,5010972002853,['Whitakers'],['France'],"['Fondant 63', '6 % ', 'sucre', 'matière sèche de glucose', 'eau', ' Chocolat noir 36 0% tpàte de cacao', 'sucre', ' beurre de cacao', ' émulsifiant : técithine de soja', 'arôme menthe poivrée', ' stabilisant: invertase Le chocolat noir contient un minimum de 55 % de matière sèche de cacao', ' AVIS POUR LES PERSONNES Pour allergènes', 'voir tes ingrédients en gras', ' Peuvent également contenir du lait', 'des noix et des œufs A CONSERVER DANS UN ENDROIT FRAIS ET SEC', "" A L'ABRI DE LA LUMIERE DIRECTE"", ' Convient aux végétariens']",['E1103 - Invertase'],['Végétarien'],4,?,413,1728 kj(413 kcal),"9,4","5,7","77,6","73,6","3,2","0,03","0,012",,,,,,['Végétarien'],,,['Fruits à coque'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Coffee cremes,5010972002891,,['France'],[],,[],,?,398,1665 kj(398 kcal),"6,9",4,"77,5",73,"5,3","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Tunnock's Caramel Wafer X4,5010975010022,['Tunnock’s'],['France'],"['Caramel 50% ', 'sirop de glucose', 'sucre', 'lait concentré sucré', 'sirop de sucre inverti', 'huile de palmiste', 'arômes', 'émulsifiant : lécithine de soja ', 'E322', ' chocolat au lait 33% ', 'sucre', 'solides de cacao ', 'min 25%', 'solides de lait ', 'min 14%', ""mélange d'huile de palme et de beurre de karité"", 'émulsifiant: lécithine de soja ', 'E322', ' arômes', 'farine de blé fortifiée ', 'farine de blé', 'carbonate de calcium', 'fer', 'niacine', 'thiamine', 'sucre', 'huile de noix de coco', 'poudre à lever ', 'bicarbonate de sodium', 'sel et émulsifiant : lécithine de soja ', 'E322']","['E322i - Lécithine', 'E322 - Lécithines', 'E500ii - Carbonate acide de sodium']","['Huile de palme', 'Non végétalien']",4,?,448,1874 kj(448 kcal),"17,4","12,7","69,2","34,7","3,6","0,67","0,268",,,,,,,,['Huile de palme'],"['Gluten', 'Lait', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Tunnock's Snowballs,5010975040029,,['France'],[],,[],,?,446,1866 kj(446 kcal),"6,2","5,3",17,"12,6","1,3","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Tunncoks 6PK Milk Chocolate Caramel Wafe - Tunnock’s,5010975075168,['Tunnock’s'],['France'],"['LAIT CHOCOLAT CARAMEL GAUFRE BIS0UIT 6 x 30g Net INGRÉDIENTS CARAMEL UCOSE Sypup SUCRE', 'SUCRÉ MILIC CONDENSÉ SUCRE INVERT STRUP', 'PALM KERNEL ILANOURING', '  HULSIFIER A LECITHINE ', 'E322', ' LAIT CHOCOLAT ', 'SUCRE', ""MÉLANGE DE SOLIDES DE CACAO 25 MINI MÉLANGE DE PALM 0 L ET LÉCITHINE D'ÉMULSIFIANT AU BEURRE DE KARITÉ A "", 'L327', 'AROMATISANT 17 ', 'FARINE DE BLÉ FARINE DE BLÉ FORTIFIÉE', 'CARBONATE DE CALCIUM', 'FER', 'NACINE THIAMIN', "" SELON L'HUILE DE COCO SUCRÉ "", '50Dluh BICARlONATE', ' SEL ET LÉCITHINE SOR ÉMULSIFIANT ', 'E322 POUR ALLERGENS SE INGRÉDIENTS EN GRAS']",['E322 - Lécithines'],[],,?,448,1874 kj(448 kcal),"17,4","12,7","69,2","34,7","3,6","0,67","0,268",,,,,,,,,"['Gluten', 'Lait']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Wysoy,5010981003216,,['France'],[],,[],,?,67,280 kj(67 kcal),"3,6","1,4","6,9","2,5","1,8","0,05","0,02",,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Monopoly Choco Tin - Hasbro,5010993465187,['Hasbro'],['France'],"['sucre', 'beurre de caca LAIT entier en poudre', 'masse de cacao', 'LACTOSE ', 'LAIT', ' émulsifiant ', 'lécithine de SOJA', '/ vanille ', 'arôme naturelle', ' Kan sporen bevatten van: gluten', 'eieren en noten', ' Peut contenir des traces de gluten', 'oeuf', ' fruits à coqua']",['E322i - Lécithine'],['Non végétalien'],4,?,543,2272 kj(543 kcal),32,19,57,56,"5,5","0,1","0,04",,,,,,,,,"['Lait', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Proto toast cacao,5010994255015,,['France'],[],,[],,?,211,883 kj(211 kcal),11,3,8,"0,8",20,"1,35","0,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Flechettes,5010994727505,,['France'],[],,[],,?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,5010994937225,5010994937225,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Classique Yahtzee,5010995017841,,['France'],[],,[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Batchelors Baked Beans In Tomato Sauce - 283g,5011001000536,['Batchelors'],"['France', 'Italie']","['Baked Beans in Rich Tomato Sauce Gluten Free Suitable for Vegetarians UNGREDIENTS Beans ', '56%', ' Tomatoes ', '34%', 'Water', 'Sugar', 'Salt', 'Modified Cornflour', 'Seasoning', 'Acetic Acid', 'Yeast Extract', 'Natural Tomato Flavouring']",['E260 - Acide acétique'],[],3,?,97,406 kj(97 kcal),"0,4","0,2","17,5","4,9",4,"0,8","0,32",B,,283 g,,"['Plats préparés', 'Légumes préparés', 'Haricots à la tomate']",['en:gluten-free'],,,,0.4 g,en faible quantité,0.2 g,en faible quantité,4.9 g,en faible quantité,0.8 g,en quantité modérée,,+7%,+11%,-30%,+75%,+42%,+99%,-20%,+5%,+5%,-1,,A,,17.3%,37.5%,18.0%,13.6%,7.9%,5.7%,96,,,,,
136,Batchelors Beans In Tomato Sauce,5011001000574,['Batchelors'],['France'],[],,[],,?,97,406 kj(97 kcal),?,"0,2",?,"4,9",4,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Apple Juice Drink - Squeez,5011001298155,['Squeez'],['France'],"['Water', 'Apple Juice from Concentrate ', '30%', 'Sugar', 'Acidity Regulator: Citric Acid', ' Flavouring', 'Antioxidant: Ascorbic Acid', ' Colour: Caramel']","['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E150 - Caramel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,44,184 kj(44 kcal),0,0,"10,5","10,5",0,0,0,C,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme', 'Boissons avec sucre ajouté']",,,,,0 g,en faible quantité,0 g,en faible quantité,10.5 g,en quantité élevée,0 g,en faible quantité,,-4%,-4%,-100%,-100%,-4%,+2%,-100%,-100%,-100%,4,-3%,C,-3%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,
138,Knorr Mushroom Soup 59G,5011002006018,['Knorr'],['France'],"['Potato starch', 'palm fat', 'WHEAT flour', 'salt', 'glucose syrup', 'mushrooms ', '2%', 'yeast extract', 'onion powder', 'l ', '5%', 'maltodextrin', 'MILK proteins', 'sugar', 'mushroom juice concentrate ', '196 lemon juice powder', 'mushroom extract ', '0', '2%', 'spices ', 'garlic', 'turmeric', 'pepper', 'flavourings', 'parsley', ' May contain egg', 'celery and mustard']",,"['Huile de palme', 'Non végétalien']",4,?,32,134 kj(32 kcal),"1,8","1,2","3,6","0,5","0,5","0,7","0,28",,,,,,,,,"['Gluten', 'Lait']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Stone Baked Thin Pepperoni Pizza - Goodfella's - 340g,5011003046501,"[""Goodfella's""]",['France'],"['Wheat Flour', 'Water', 'Mozzarella Cheese With Starch ', '17%', ' ', 'Milk', 'Milk', 'skimmed Milk powder', 'potato starch', 'salt', 'whey protein concentrate ', 'Milk', 'Pepperoni ', '10%', ' ', 'Pork', 'Pork Fat', 'Salt', 'Preservative: Sodium Nitrite', ' Dextrose', 'Paprika Extract', 'Antioxidants: Ascorbic Acid', 'Citric Acid', 'Rosemary Extract', ' Garlic', 'Paprika', 'Pepper Extract', 'Ginger Extract', 'Smoke Flavour', 'Anticaking Agent: Silicium Dioxide', 'Tomato', 'Rapeseed Oil', 'Yeast', 'Salt', 'Sugar', 'Maize Starch', 'Garlic Puree', 'Oregano', 'Basil', 'Black Pepper']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika', 'E300 - Acide ascorbique', 'E330 - Acide citrique']","['Non végétalien', 'Non végétarien']",4,?,259,1084 kj(259 kcal),10,4,29,"2,4",12,"1,2","0,48",,,340 g,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au pepperoni']",,,,"['Gluten', 'Lait']",10 g,en quantité modérée,4 g,en quantité modérée,2.4 g,en faible quantité,1.2 g,en quantité modérée,,+6%,+6%,-3%,-9%,+7%,-14%,+9%,-4%,-4%,11,+25%,D,+25%,,,,,,,,,,,,
140,Gigantic cheese supreme,5011003049540,['Gigantic'],['France'],[],,[],,?,306,1280 kj(306 kcal),"9,6","4,6","3,5","1,3",10,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Fruit mix,5011005055716,,['France'],[],,[],,?,314,1314 kj(314 kcal),"0,9","0,3","71,1","57,8","2,7","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Jacobs Ginger Nut Biscuit,5011005055945,,['France'],[],,[],,?,437,1828 kj(437 kcal),"11,9","4,9","75,6","36,5","5,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Mega creams,5011005056416,,['France'],[],,[],,?,458,1916 kj(458 kcal),17,9,71,28,5,"0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Tucs paprika - Jacob's - 100g,5011005056522,"[""Jacob's""]",['France'],"['Wheat Flour', 'Palm Oil', 'Barley Malt Extract', 'Eggs', 'Salt', 'Raising Agents ', 'Ammonium Carbonates', 'Sodium Carbonates', 'spices [Paprika ', '0', '7%', 'Pepperl', 'Flavour Enhancer ', 'Mcnosodium Glutamate', 'Onion Powder', 'Garlic Powder,flavourings', 'Hydrolyzed Vegetable Protein', 'Colour ', 'Paprika Extract', 'Flour Treatment Agd', 't ', 'Sodium Metabisulphite', 'Yeast Extract', 'Smoke Flavouring', ' for altergens', 'includiljg cereals containing gluten', 'see ingredients in bold', ' contain Soya and Sesame Seeds']","[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E160c - Extrait de paprika', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']",[],4,?,485,2029 kj(485 kcal),23,"9,8",61,7,8,"2,7","1,08",,,100 g,,,,,,"['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Oaty bakes,5011005056546,,['France'],[],,[],,?,461,1929 kj(461 kcal),18,"4,8",61,16,"9,1","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Oaty Bakes,5011005056553,,['France'],[],,[],,?,461,1929 kj(461 kcal),18,"4,8",61,16,"9,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
