,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,markets,palm_ingredients,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,link,brand_owner,ingredients_origins
1308,Eau Petillante,5026356000049,,['France'],[],,[],,?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,Blue Keld,5026356000056,,['France'],[],,[],,?,0,0 kj(0 kcal),0,0,0,0,0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,5026418040099,5026418040099,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,Awesome Gummies - Bon Bon Buddies - 150g,5026418079785,['Bon Bon Buddies'],['France'],"['Sirop de maïs', 'sucre', 'eau', 'gélatine de boeuf ', 'halal', 'humectant ', 'E420', ""correcteurs d'acidité "", 'E330', 'E296', 'E334', 'arômes', 'gélifiant ', 'E440', 'colorants ', 'E162', 'E141', 'E160a', 'E163']","['E428 - Gélatine', 'E420 - Sorbitol', 'E330 - Acide citrique', 'E296 - Acide malique', 'E334 - Acide L-tartrique', 'E440 - Pectines', 'E162 - Rouge de betterave', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E160a - Carotènes mélangés', 'E163 - Anthocyanes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,?,?,,?,,?,,?,,,E,Bonbons gélifiés acidulés,150 g,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",['Halal'],['Noz'],,,,,,,,,,,,,,,,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,
1312,Milk Chocolate Slipper - Bon Bon Buddies - 95g,5026418080309,['Bon Bon Buddies'],['France'],"['Sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'poudre de lactosérum ', 'lait', 'matière grasse de lait', 'émulsifiants ', 'lécithine de soja', 'E476', 'arôme']","['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2223,?,2223 kj(531 kcal),27,"20,3",66,63,6,"0,1","0,04",E,Moulage en chocolat au lait,95 g,['Plastique'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Chocolats au lait']",,['Cora'],,"['Lait', 'Soja']",27 g,en quantité élevée,20.3 g,en quantité élevée,63 g,en quantité élevée,0.1 g,en faible quantité,-4%,,-4%,-21%,-4%,+23%,+21%,-10%,-49%,-49%,26,-1%,E,-1%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,
1313,5026418081252,5026418081252,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,"Bâtonnets en chocolat - Sans marque - 8 * 12,5g (100g)",5026418085540,['Sans marque'],['France'],"['Sucre', 'matière grasse végétale ', 'huile de palme', 'karité', 'pâte de cacao', 'poudre de lait entier', 'beurre de cacao', 'poudre de lait écrémé', 'lactosérum en poudre ', 'lait', 'matière grasse de lait', 'émulsifiants ', 'lécithine de soja', 'E476', 'arôme']","['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2259,?,2259 kj(540 kcal),34,20,53,52,"4,9","0,24","0,096",D,Tablettes de chocolat au lait fourrées chocolat (45%),"8 * 12,5 g (100 g)",['Carton'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres de céréales', 'Barres chocolatées', 'Barres de céréales au chocolat', 'Barres chocolatées au lait']",,['Noz'],['Huile de palme'],"['Lait', 'Soja']",34 g,en quantité élevée,20 g,en quantité élevée,52 g,en quantité élevée,0.24 g,en faible quantité,+2%,,+3%,+3%,-1%,+6%,+10%,-35%,-13%,-13%,27,+4%,E,+4%,83.0%,11.4%,2.3%,2.6%,0.7%,0.0%,43,,,,,
1315,Calendrier de l'Avent en chocolat au lait - Spiderman - 65g,5026418088862,"['Spiderman', 'Marvel']",['France'],"['Sucre', 'lait entier en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiants ', 'E322', 'E476', 'arôme']","['E322 - Lécithines', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,2111,?,2111 kj(505 kcal),"22,8","13,8","67,9",56,"6,5","0,2","0,08",E,Calendrier de l'Avent en chocolat au lait,65 g,"['Carton', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Aliments et boissons de Noël', 'Chocolats', 'Chocolats au lait', ""Calendriers de l'avent""]",['Végétarien'],['Carrefour'],,['Lait'],22.8 g,en quantité élevée,13.8 g,en quantité élevée,56 g,en quantité élevée,0.2 g,en faible quantité,-5%,,-2%,-22%,-21%,+21%,+9%,+9%,+4%,+4%,26,+4%,E,+4%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,
1316,Calendrier de l'Avent en chocolat au lait - Barbie - 65g,5026418088909,"['Barbie', 'Mattel']",['France'],"['Sucre', 'lait entier en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiants ', 'E322', 'E476', 'arôme']","['E322 - Lécithines', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,2111,?,2111 kj(505 kcal),"22,8","13,8","67,9",56,"6,5","0,2","0,08",E,Calendrier de l'Avent en chocolat au lait,65 g,"['Carton', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Aliments et boissons de Noël', 'Chocolats', 'Chocolats au lait', ""Calendriers de l'avent""]",['Végétarien'],['Carrefour'],,['Lait'],22.8 g,en quantité élevée,13.8 g,en quantité élevée,56 g,en quantité élevée,0.2 g,en faible quantité,-5%,,-2%,-22%,-21%,+21%,+9%,+9%,+4%,+4%,26,+4%,E,+4%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,
1317,Calendrier de l'Avent Les Minions - BBB - 65g,5026418088947,['BBB'],['France'],"['Sucre', 'lait entier en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiants ', 'E322', 'E476', 'arôme', ' Composition du chocolat au lait : Cacao 26% minimum']","['E322 - Lécithines', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",['Non végétalien'],4,2111,?,2111 kj(505 kcal),"22,8","13,8","67,9",56,"6,5","0,2","0,08",E,Calendrier de l'Avent au chocolat au lait,65 g,"['Plastique', 'Carton']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Aliments et boissons de Noël', 'Chocolats', 'Bonbons', 'Chocolats au lait', ""Calendriers de l'avent"", 'Produits sous license']",,['Carrefour'],,['Lait'],22.8 g,en quantité élevée,13.8 g,en quantité élevée,56 g,en quantité élevée,0.2 g,en faible quantité,+39%,,+34%,+69%,+93%,+26%,+57%,+49%,-13%,-13%,26,+71%,E,+71%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['Bon Bon Budies LTD Foxes Lane Oakdale Business Park Blackwood South Wales NP12 4AB UK', 'United Kingdom', 'Royaume Uni']",,,,
1318,Minions Chocolate Bars 6PK 5 / 17,5026418089845,,['France'],[],,[],,?,548,2293 kj(548 kcal),33,19,59,56,"3,9","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,"Milk chocolate bars - Real Madrid - 8 * 12,5g (800g)",5026418089937,['Real Madrid'],['France'],"['Sucre', 'matière grasse végétale ', 'huile de palme', 'karité', 'pâte de cacao', 'poudre de lait entier', 'beurre de cacao', 'poudre de lait écrémé', 'lactosérum en poudre ', 'lait', 'matière grasse de lait', 'émulsifiants ', 'lécithine de soja', 'E476', 'arôme']","['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,?,,?,,?,,?,,,,Tablettes de chocolat au lait fourrées chocolat (45%),"8 * 12,5 g (800 g)",['Carton'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",['Official Product'],,['Huile de palme'],"['Lait', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
