,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,origin_detail,manufacturing,allergens,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,markets,ingredients_origins,link,brand_owner,producer_info,generic_name,palm_ingredients
1812,Miel des monts d'Arrée,3770001268125,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,Paper:mate Stylo à Bille 4 Couleurs Inkjoy Quatro Standard,3501170977156,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,Thé vert piña colada,3760283191020,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,Ail rose de Lautrec,3564709186313,['France'],[],[],?,?,,?,,?,,?,,,,['Label Rouge'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,"Aloha ~ Menthe, Eucalyptus & Cassis",3663159000290,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,Grands thés bio,3582810220320,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,Sorbet chocolat- HDG,3267180390278,['France'],[],[],?,172,720 kj(172 kcal),"3,5","2,1","32,6","27,6","2,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,Drop,8680313581193,['France'],[],[],?,60,251 kj(60 kcal),0,0,34,29,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,Laksa Paste,4897003468090,['France'],[],[],?,264.8,1108 kj(264 kcal),25,19,"20,2","18,3","8,2","0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,11015331,11015331,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,Grenade,2868640017196,['France'],[],[],?,87,364 kj(87 kcal),"1,4","0,4",12,"0,3","6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,Tablette chocolat au lait cacahuètes raisins secs,7622300730963,['France'],[],[],?,509,2130 kj(509 kcal),27,14,59,58,"5,4","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,Magic seasoning blends,0047997123114,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,115","0,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,Lindt Excellence,3046920021036,['France'],[],[],?,563,2356 kj(563 kcal),40,24,36,28,"9,1","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lindt'],,,,,,,,,,,,,,,,,,,,
1826,Super thick kerned yogurt,5036589253556,['France'],[],[],?,95,397 kj(95 kcal),5,"3,4","3,5","3,5",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,Sauce Andalouse,3760239451703,['France'],[],[],?,417,1745 kj(417 kcal),43,"3,2",7,"4,2","1,5","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,Currants,5054070630013,['France'],[],[],?,290,1213 kj(290 kcal),"0,5",0,68,68,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Foret noire,0200401115451,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,Carrefour,3560070881222,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,['Carrefour'],,,,,,
1831,Gel coiffant BETON carrefour - 250ml / 340f,3560070860364,['France'],[],[],?,?,,?,,?,,?,,,['EMB 00432'],,,['Non alimentaire'],,,,,,,,,,,,,,,,,,,,,,250ml / 340f,,['Carrefour'],,,,,,,,,,,,,,['Carrefour'],,,,,,
1832,Carrefour,3560070276820,['France'],[],[],?,?,,?,,?,,?,,,['FSC-C074644'],,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,['Carrefour'],,,,,,
1833,Vilac,8801128943406,['France'],[],[],?,120,502 kj(120 kcal),0,0,29,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,Carrefour,3560070121052,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,['Carrefour'],,,,,,
1835,Carrefour,3560070121021,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,['Carrefour'],,,,,,
1836,En Cuisine,3184830054345,['France'],[],[],?,?,,?,,?,,?,,,"['EMB 56251E', 'Theix (Morbihan, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,['En Cuisine'],,,,,,,,,,,,,,,,,,,,
1837,3184830040102,3184830040102,['France'],[],[],?,?,,?,,?,,?,,,"['EMB 61484', 'Theil (Orne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
