,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,origin_detail,manufacturing,allergens,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,markets,ingredients_origins,link,brand_owner,producer_info,generic_name,palm_ingredients
576,Tenerelle fette,8006837000130,['France'],[],[],?,267,1117 kj(267 kcal),"3,4","0,6","49,7","3,3",8,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Daube Provençale à la noix de joue de boeuf,3564380006047,['France'],[],[],?,80,335 kj(80 kcal),"2,3",1,"2,3","0,7",12,"0,82","0,328","['FR 13.216.020 CE', 'Marseille 16e  Arrondissement (Bouches-du-Rhône, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Soybean Rolls Chicken Flavour,6922163403426,['France'],[],[],?,312,1305 kj(312 kcal),"23,7",0,7,0,18,"2,06","0,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Rewe Feine Welt Frische Australien,4388844131620,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,La boulangère - seigle & graines,3760049657333,['France'],[],[],?,301,1259 kj(301 kcal),"9,7","1,1",38,"5,1",12,"0,97","0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Terrine provençale aux poivrons et olives,3453590002294,['France'],[],[],?,302,1264 kj(302 kcal),26,10,"1,5","1,5",16,"1,6","0,64","['FR 83.107.002 CE', 'Roquebrune-sur-Argens (Var, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Chili powder,0052100087931,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Unigrana Snack,8016129000922,['France'],[],[],?,402,1682 kj(402 kcal),30,20,0,0,32,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Noix de macadamia,0278201058582,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Lion,8718158015280,['France'],[],[],?,493,2063 kj(493 kcal),23,"12,4","65,6","51,2","5,2","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Gourmandise de canard,3161450061458,['France'],[],[],?,273,1142 kj(273 kcal),23,10,"4,7","2,8",11,13,"5,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Elise,3770011743131,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Tournedos,0202964048085,['France'],[],[],?,?,,?,,?,,?,0,0,"['FR 01.053.030 CE', 'Bourg-en-Bresse (Ain, France)', 'FR 69.027.063 CE', 'Brignais (Rhône, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Brebize vanille,3572500001018,['France'],[],[],?,81,339 kj(81 kcal),"3,6","3,6",13,13,"3,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Delice de thon,2006050028276,['France'],[],[],?,94,393 kj(94 kcal),"4,7","1,6","2,3","2,3","9,6",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Creme Endive Maroilles,3760201710258,['France'],[],[],?,48,201 kj(48 kcal),"3,1","1,4","3,4","0,1","1,31","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Soffietti di mais non fritti,8029404006915,['France'],[],[],?,0,0 kj(0 kcal),"1,3","0,22",77,"0,8","6,8","0,97","0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Olives vertes dénoyautérs bio,3664959005263,['France'],[],[],?,255,1067 kj(255 kcal),"23,5","3,5","9,9","0,5","0,9",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Flan entremets pistache,3027030019939,['France'],[],[],?,83,347 kj(83 kcal),1,1,14,13,"3,3","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,5 céréales,3583275030042,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Yaourt de brebis,3000002019083,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,Cheesecake Pâte à tartiner chocolat noisette,9000000008807,['France'],[],[],?,338,1414 kj(338 kcal),23,14,26,21,6,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,Cheese pop,8718754271332,['France'],[],[],?,611,2556 kj(611 kcal),51,32,0,0,37,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,Tondella ferrarese senza lievito,8033661640041,['France'],[],[],?,417,1745 kj(417 kcal),"8,1","1,4",75,"2,6","10,36","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Poulet fermier élevé en Liberté,0217230043626,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Pancetta stufata affettata,8010131554831,['France'],[],[],?,230,962 kj(230 kcal),18,7,1,1,16,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Genuine golden milk,8436565922860,['France'],[],[],?,503,2105 kj(503 kcal),30,28,48,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,2420887000000,2420887000000,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Artichoke Cream By La Favorita (case of 12 - 6.35 Ounce Jars),8005978004007,['France'],[],[],?,463,1937 kj(463 kcal),50,"7,9",9,"0,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Oasis sirop citron,3217690060765,['France'],[],[],?,27,113 kj(27 kcal),0,0,7,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Olio di semi di arachide - Carrefour,8012666007950,['France'],[],[],?,823,3443 kj(823 kcal),91,16,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,['Carrefour'],,,,,,
607,Mortadelle pour porc pistachee,3700912305350,['France'],[],[],?,363,1519 kj(363 kcal),33,12,"2,4",1,13,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Comté,2404973025523,['France'],[],[],?,410,1715 kj(410 kcal),34,22,"0,5","0,5",26,"0,8","0,32",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,,-2%,-2%,-2%,-3%,+8%,+87%,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,0.8 g,en quantité modérée,-5%,-5%,13,0%,D,0%,,,,,,,,
609,Pépette triple,3760218530030,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,D'amico Pesto Alla Genovese Vap GR 90,80409700,['France'],[],[],?,?,,?,,?,,?,,,,,C,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,,,,,,,,,,,,,,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,,,,,,,,,,,,,,,
611,Biere blanche,3770008343016,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Pâtes fusilloni - 500g,8051739850345,['France'],[],[],?,351,1469 kj(351 kcal),"1,5","0,3",69,"3,4",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,,,,,,,,,,,
613,Bouchée à la reine,4056489278634,['France'],[],[],?,262,1096 kj(262 kcal),"13,3","8,7","27,2","3,1","7,9","1,05","0,42",,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Sucuk,4027394005714,['France'],[],[],?,377,1577 kj(377 kcal),35,"16,5","0,5","0,5",15,"3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Emmental,2816941030314,['France'],[],[],?,395,1653 kj(395 kcal),31,19,1,0,29,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Raviolis hacao végétarien,3700294612121,['France'],[],[],?,217,908 kj(217 kcal),"6,1","0,9",33,"1,2","6,7","1,48","0,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Macarons framboise,66168195,['France'],[],[],?,379,1586 kj(379 kcal),10,"0,8","62,4","57,9",8,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Pâte à l'andouille,0200044000015,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Tartelettes fines aux pommes,3700513602742,['France'],[],[],?,240,1004 kj(240 kcal),"9,7","6,3",34,16,3,"0,61","0,244",,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,La belle escalope,0217634014307,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Lardons truite fumée,0269120005887,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,0209586040282,0209586040282,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Escalope de dinde a la milanaise,2860241025457,['France'],[],[],?,124,519 kj(124 kcal),"0,7","0,2","6,3","2,3",23,"0,78","0,312",,"['Nutriscore', 'Nutriscore A']",D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",0.7 g,en faible quantité,0.2 g,en faible quantité,2.3 g,en faible quantité,,+2%,+3%,-47%,-50%,+108%,+201%,+0%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,0.78 g,en quantité modérée,+41%,+41%,-1,,A,,,,,,,,,
624,Rosette Skin Cachere,2431561036142,['France'],[],[],?,375,1569 kj(375 kcal),"29,8","13,9","1,2","0,5","31,1","4,4","1,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Bonbons miel-acerola-pollen,3490090013085,['France'],[],[],?,384,1607 kj(384 kcal),"0,5","0,1",94,74,"0,5","0,1","0,04",,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']",0.5 g,en faible quantité,0.1 g,en faible quantité,74 g,en quantité élevée,,0%,-0%,+79%,+13%,-0%,+7%,+19%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,0.1 g,en faible quantité,+400%,+400%,14,+1%,D,+1%,,,,,,,,
626,Ghost Pepper Flavord,0072600075504,['France'],[],[],?,150,628 kj(150 kcal),9,"2,5",16,1,2,"0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Amand'kao,3700774301651,['France'],[],[],?,560,2343 kj(560 kcal),36,"4,4",44,41,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Benedicta sauce speciale pommes de terre,3334603004651,['France'],[],[],?,372,1556 kj(372 kcal),"38,8","2,9","5,1","2,7","0,6","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,BAGUETTE OELENBERG PAVOT,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Citra Montepulciano D'abruzzo,8005493001260,['France'],[],[],?,?,,?,,?,,?,0,0,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins italiens', ""it:Montepulciano d'Abruzzo""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Terrine au confit d'oignon de Roscoff,3760195250297,['France'],[],[],?,271,1134 kj(271 kcal),"22,9","9,7","1,8",1,"14,5","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Tic Tac Pedas 100G,8995077600814,['France'],[],[],?,515,2155 kj(515 kcal),26,"3,1",69,0,"1,1",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Biscuits jambon de Vendée,3760211203016,['France'],[],[],?,363,1519 kj(363 kcal),14,8,47,4,9,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Merguez de canard -,3700468425922,['France'],[],[],?,197,824 kj(197 kcal),"13,8","5,61","0,1","0,1","18,2","1,8","0,72",,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez', 'Merguez de volaille']",13.8 g,en quantité modérée,5.61 g,en quantité élevée,0.1 g,en faible quantité,,+8%,+5%,+8%,+38%,-94%,-89%,+13%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,,,,,,,,1.8 g,en quantité élevée,+4%,+4%,14,+21%,D,+21%,,,,,,,,
635,Lamb and rice,8719033440647,['France'],[],[],?,?,,?,0,?,0,?,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Fagioli corona lessati,8004460000206,['France'],[],[],?,104,435 kj(104 kcal),0,0,16,"0,5","7,2",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Mochi litchi,3701295700077,['France'],[],[],?,194,812 kj(194 kcal),"1,8","0,5",43,25,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Assortiment aperitif - Saveurs des mauges,3340584109308,['France'],"['Andoullechaudin', 'pansa gorge de porc origine France sl', 'poiura', 'arims farina de MOUTROE consurvateur E250 arina de fumiaboyau natural de cheval', 'colorant E150aMini-rillauds uiande de pore erigine Francel89%', 'sausl', 'detrosa', ' saccharesa paiuraantioxydanta E316 E01arimas naturela', 'conservataur E250', 'col', 'orantE150aFlat mgnon filet mignan de porc origina France 91% sasel paiuradextrase', 'arimes saccharssa', 'conser vataurs E262 E250 acidifiant E126', 'antioxydant E301']",[],?,220,920 kj(220 kcal),13,"8,1","0,7","0,4",25,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Saveurs des mauges'],,,,,,,,,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,,,,,,
639,Lapin de Paques,5412941318215,['France'],[],[],?,57,238 kj(57 kcal),38,0,53,0,"0,16","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Cozonac,5941300007694,['France'],[],[],?,393.5,1646 kj(393 kcal),"19,5","4,3","45,5","15,5",9,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Beaufort AOP,2441862059955,['France'],[],[],?,404,1690 kj(404 kcal),32,22,2,0,27,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Purée d amandes,5060653630073,['France'],[],[],?,?,,?,,?,,?,,,,['en:es-bio-100'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Impact Whey protein,5056379507706,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Planet pet duck strip,6430035211777,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Sirop rose,3325840114302,['France'],[],[],?,0.05,0 kj(0 kcal),0,0,20,"12,5",0,,,,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de rose']",,,,,,,,-100%,-100%,-100%,-100%,-71%,-81%,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,,,,,,,,,
646,vitalmix confort - maître prunille - 180g,17627689,['France'],[],[],?,?,,?,,?,,?,,,,,,['Melange'],,,,,,,,,,,,,,,,,,,,,,180 g,['sachet plastique'],['maître prunille'],,,,,,,,,,,,,,,,,,,,
647,Cote de porc,0207600027752,['France'],[],[],?,?,,?,,?,,?,,,,,E,"['Viandes', 'Porc', 'Côtes de porc']",,,,,,,,,,,,,,,77.5%,16.7%,3.3%,1.3%,0.8%,0.5%,21,,,,,,,,,,,,,,,,,,,,,,,
648,Préparation pour quiches et tartes salées,3474240087386,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Anis vert,3102870000207,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Biscuits,0628634270578,['France'],[],[],?,510,2134 kj(510 kcal),"30,6","13,47","53,5","24,8","8,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Barre de cacahuete,8006167400211,['France'],[],[],?,540,2259 kj(540 kcal),"31,8","6,5","48,3","46,2","15,2","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Chele al sapore di granchio impanate surgelato,8002202001344,['France'],[],[],?,139,582 kj(139 kcal),"0,6","0,5","28,6","1,8","4,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Pesto Italie,3770016024211,['France'],[],[],?,549,2297 kj(549 kcal),"57,1","8,6","1,6","1,3","6,9","2,42","0,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Sazon Seasoning For Beans 60G,7891132019724,['France'],[],[],?,200,837 kj(200 kcal),0,0,20,0,28,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,Maitre Jean Pierre,7056059257110,['France'],[],[],?,257,1075 kj(257 kcal),"4,9",1,42,"5,3","8,7","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Mango almíbar,8436012964764,['France'],[],[],?,55,230 kj(55 kcal),"0,2","0,1","12,8",12,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Proteine Waffle Premix,5600961126129,['France'],[],[],?,355,1485 kj(355 kcal),"4,3","3,2",38,"2,2",47,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Uva almíbar pelada y sin semillas,8411942771095,['France'],[],[],?,66,276 kj(66 kcal),"0,1",0,"16,1","13,7","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Choco Crunch,0667888455560,['France'],[],[],?,517.2414,2164 kj(517 kcal),"24,138","13,793","65,517","37,931","6,897","0,302","0,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Fritos Corn Chips the Original,0028400012058,['France'],[],[],?,160,669 kj(160 kcal),10,"1,5",0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Petit sensation truffe,3589150392809,['France'],[],[],?,320,1339 kj(320 kcal),31,21,"1,7","0,7","8,8","1,3","0,52","['FR 69.273.010 CE', 'Corbas (Rhône, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,Eclats,3389750029408,['France'],[],[],?,322,1347 kj(322 kcal),"0,5","0,1",77,72,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Confiture de poire,0211000032476,['France'],[],[],?,252,1054 kj(252 kcal),"0,5","0,1",61,58,"0,5",0,0,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de poires']",0.5 g,en faible quantité,0.1 g,en faible quantité,58 g,en quantité élevée,,+15%,+15%,+57%,+41%,+15%,+13%,+49%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,0 g,en faible quantité,-100%,-100%,12,+31%,D,+31%,,,,,,,,
664,Granfetta + fette biscottate,8000270703290,['France'],[],[],?,400,1674 kj(400 kcal),"5,8","2,4","73,4","6,5","11,4","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Burro senza lattosio,8002724002140,['France'],[],[],?,744,3113 kj(744 kcal),82,59,"0,9","0,8","0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Poivre noir du Kerala,3325840486508,['France'],[],[],?,251,1050 kj(251 kcal),"3,3","1,4","0,6","0,6",10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Limedrink,3770002671115,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Foie gras de canard entier du Gers,3700428415406,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Mandorle sgusciate,8003435004928,['France'],[],[],?,630,2636 kj(630 kcal),"55,3","4,6","4,6","3,7",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Soba Fried Noodles Chili,5997523329037,['France'],[],[],?,194,812 kj(194 kcal),"7,8","3,8","25,5","4,1","4,4","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Speck fette,8009384200251,['France'],[],[],?,276,1155 kj(276 kcal),17,"6,3","0,8",0,30,"5,1","2,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Hamburge dIGPollo,8008110009564,['France'],[],[],?,132,552 kj(132 kcal),"7,1","2,1",0,0,17,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Chunky - Chicken Briccoli Cheese & Potato soup,0041498193522,['France'],"['water', 'potatoes,cooked chicken meat', 'soybean oil', 'broccoli', 'serving instr 7% contains less than 2% of:modified food do not adu starch', 'enzyme modified cheddar 20mg stove: het stirring', ' microwave microwave s and heaton h or until hot si 37% cheese ', 'cultured milk', 'salt', 'enzymes', 'water', 'disodium phosphate', 'salt', 'hng 6% cheddar cheese ', 'milk', 'cultures', 'salt', 'enzymes', 'disodium phosphate', 'wheat flour', 'soy protein concentrate', 'sugar', '0mg wlydrate 15g 5% granular cheese ', 'milk', 'culures', 'salt', '4% enzymes', 'sodilam phosphate', 'er1g dehydrated br coli', 'semi-soft cheese ', 'milk', 'culture tenzymes', 'blue res', 'salt', 'enzymes', 'voring', 'yeast extract', '10% cheese ', 'milk', 'maltodextri beta carotene color', 'vinegar', ' contains: wheat', 'soy', ' distributed byaldi inc', ' batavia', 'il 6058 vitamin c 0% refrigera separate • lron 6% best ifu recyclable double guarantee replace the product steel']","['Non végétalien', 'Non végétarien']",?,77.551,324 kj(77 kcal),"4,898","1,02","6,122","0,408","2,449","0,908","0,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Lait', 'Soja']",,,,,,,,,,['E339ii - Phosphate disodique'],,,,,,,
674,Marinara Pasta Sauce,4099100186192,['France'],[],[],?,56,234 kj(56 kcal),2,0,"7,2",4,"1,6","0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Cheddar Herb Biscuit Mix - Baker's Corner - 322g,4099100032628,['France'],[],[],?,406.25,1700 kj(406 kcal),"34,375","18,75","56,25","3,125","12,5","2,969","1,188",,,,,,,,,,,,,,,,,,,,,,,,,,322 g,,"[""Baker's Corner""]",,,,,,,,,,,,,,,,,,,,
676,Rillettes vegetaliennes aux champignons,0628011909015,['France'],[],[],?,145.1613,607 kj(145 kcal),"6,452","4,839","16,129",0,"6,452","0,887","0,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
