,name,bar_code,eco_score,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,ingredients_origins,markets,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,traceability_code,link,additives,allergens,generic_name,palm_ingredients
915,Apple berries,3021761206095,,,,,['France'],[],[],,,,,,,?,,67,,280 kj(67 kcal),,"0,5",,"0,1",,14,,12,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Volaille de Bresse à la chablisienne,3760190010216,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Tagliolini à la truffe,0639824000653,,,,,['France'],[],[],,,,,,,?,,361,,1510 kj(361 kcal),,"5,1",,"1,1",,65,,"2,5",,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Gros morceaux de marrons glacés,3760008042767,,,,,['France'],[],[],,,,,,,?,,318,,1331 kj(318 kcal),,"0,9",,"0,2",,75,,46,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Glaçage pour gâteaux,20487782,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Mélange apéritif Tokyo,2600803023886,,,,,['France'],[],[],,,,,,,?,,467,,1954 kj(467 kcal),,21,,"5,7",,55,,11,,13,,,,,,,,,"0,6","0,24",,,,,,,,,,,,,,,,,,,,
921,Donuts,3388484051402,,,,,['France'],[],[],,,,,,,?,,411,,1720 kj(411 kcal),,24,,11,,41,,14,,"7,2",,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,
922,Chocolat noir,8717677339532,,,,,['France'],[],[],,,,,,,?,,563,,2356 kj(563 kcal),,"42,3",,"25,4",,"30,7",,"27,1",,"7,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Yaourt nature,3454840446554,,,,,['France'],[],[],,,,,,,?,,66,,276 kj(66 kcal),,"3,5",,"2,4",,5,,"4,8",,"3,5",,,,,,,,,"0,36","0,144",,,,,,,,,,,,,,,,,,,,
924,Canela Chapon,3297880322637,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,0683318988323,0683318988323,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,['Bottle'],,,,,,,,,,,,,,,,,,
926,Bûche bio - Soignon,1523136082232,,['Soignon'],,['Bio'],['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,I freschIGPe te! quinoa & bulgu con pomodori e olive,8001060025851,,,,,['France'],[],[],,,,,,,?,,171,,715 kj(171 kcal),,"9,4",,"1,2",,16,,1,,"3,7",,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,
928,Noix d'Amazonie de Bolivie,3701269702304,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",['France'],[],[],,,,,,,?,,656,,2745 kj(656 kcal),,"66,43",,16,,12,,"2,3",,14,,,,,,,,,"0,25","0,1",,,,,,,,,,,,,,,,,,,,
929,Yaourt fruits jaunes -,3413160013648,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,['France'],[],[],3.4 g,en quantité modérée,1.9 g,en quantité modérée,12 g,en quantité modérée,?,,96,+4%,402 kj(96 kcal),+5%,"3,4",+4%,"1,9",-7%,13,+18%,12,+19%,"3,8",+1%,,,,,,,,"0,11","0,044",,,,,,0.11 g,en faible quantité,-4%,-4%,2,-35%,B,-35%,,,,,,,
930,I freschIGPe te! farro alla mediterranea,8001060024892,,,,,['France'],[],[],,,,,,,?,,213,,891 kj(213 kcal),,11,,"1,4",,22,,"3,1",,"4,2",,,,,,,,,"1,7","0,68",,,,,,,,,,,,,,,,,,,,
931,Ail Mariné Au Piment,8031556001533,,,,,['France'],[],[],,,,,,,?,,145.4,,608 kj(145 kcal),,"4,3",,"0,7",,"22,2",,"0,7",,"4,4",,,,,,,,,"0,5","0,2",,,,,,,,,,,,,,,,,,,,
932,Beurre salé a la truffe noire,3770012162276,,,,,['France'],[],[],,,,,,,?,,709.2,,2967 kj(709 kcal),,"79,3",,48,,1,,0,,0,,,,,,,,,"0,5","0,2",,,,,,,,,,,,,,,,,,,,
933,Clémentines pressées et eau d'érable,3289196600066,,,,,['France'],[],[],,,,,,,?,,28,,117 kj(28 kcal),,0,,0,,7,,7,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
934,Lotte Real Cake,8801062273294,,,,,['France'],[],[],,,,,,,?,,516,,2159 kj(516 kcal),,"31,3",,0,,"53,1",,"21,9",,"6,3",,,,,,,,,"0,4","0,16",,,,,,,,,,,,,,,,,,,,
935,Foie de Morue - Nautilus,3329150320,,['Nautilus'],,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Jambon de Paris,0259317029857,,,,,['France'],[],[],,,,,,,?,,124,,519 kj(124 kcal),,"3,7",,"1,8",,"0,7",,"0,7",,22,,,,,,,,,"1,9","0,76",,,,,,,,,,,,,,,"['EMB 95018', ""Argenteuil (Val-d'Oise, France)""]",,,,,
937,Chocolat lactée supérieur,3663327009834,,,,,['France'],[],[],,,,,,,?,,577,,2414 kj(577 kcal),,"23,8",,"23,8",,"44,3",,"44,3",,"8,1",,,,,,,,,"0,22","0,088",,,,,,,,,,,,,,,,,,,,
938,Dattes au chocolat belge,5708147006491,,,,,['France'],[],[],,,,,,,?,,366,,1531 kj(366 kcal),,"9,3",,6,,"58,5",,45,,"3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Tapas Snack Jamon Serrano Cheese Olives,8424863658185,,,,,['France'],[],[],,,,,,,?,,961,,4021 kj(961 kcal),,12,,"4,6",,1,,"0,1",,30,,,,,,,,,"5,5","2,2",,,,,,,,,,,,,,,,,,,,
940,Chocolat blanc : morceaux de spéculos - Monoprix Gourmet,03191569,,['Monoprix Gourmet'],,,['France'],[],[],,,,,,,?,,547,,2289 kj(547 kcal),,33,,21,,54,,51,,"8,5",,,,,,,,,"0,44","0,176",,,,,,,,,,,,,,,,,,,,
941,Les tartinades,0213161035228,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Salchichón Vela ibérico,2914011011901,,,,,['France'],[],[],,,,,,,?,,522.5,,2186 kj(522 kcal),,46,,19,,"3,7",,"1,4",,"34,2",,,,,,,,,"3,3","1,32",,,,,,,,,,,,,,,,,,,,
943,Inka Cola,8018005370518,,,,,['France'],[],[],,,,,,,?,,24,,100 kj(24 kcal),,0,,0,,6,,6,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
944,Jambon traditionnel fumé au bois de hêtre,2205879003932,,,,,['France'],[],[],,,,,,,?,,125,,523 kj(125 kcal),,"4,5",,"1,5",,1,,"0,5",,20,,,,,,,,,"1,9","0,76",,,,,,,,,,,,,,,,,,,,
945,Galette frangipane,0202666013121,,,,,['France'],[],[],,,,,,,?,,497,,2079 kj(497 kcal),,34,,18,,37,,13,,"8,5",,,,,,,,,"0,71","0,284",,,,,,,,,,,,,,,,,,,,
946,Galette pomme,0202123013121,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,Pommes,3760248312019,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Wrap indien,3166296300181,,,,,['France'],[],[],,,,,,,?,,363,,1519 kj(363 kcal),,11,,"1,1",,42,,6,,14,,,,,,,,,15,6,,,,,,,,,,,,,,,,,,,,
949,Fève,3180504400548,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,Miel de printemps,3523000000490,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Palette à la diable,0290704067564,,,,,['France'],[],[],,,,,,,?,,136,,569 kj(136 kcal),,"8,4",,"3,6",,"1,1",,"0,5",,14,,,,,,,,,"1,7","0,68",,,,,,,,,,,,,,,,,,,,
952,Donkers Berries,8710224029771,,,,,['France'],[],[],,,,,,,?,,347,,1452 kj(347 kcal),,"0,1",,0,,83,,71,,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Stylo,4902505275098,,,,,['France'],[],[],,,,,,,?,,13,,54 kj(13 kcal),,0,,0,,33,,11,,17,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,
954,Sucette emoticon,3700843525520,,,,,['France'],[],[],,,,,,,?,,602,,2519 kj(602 kcal),,41,,25,,53,,25,,"0,19",,,,,,,,,"5,6","2,24",,,,,,,,,,,,,,,,,,,,
955,Compotée bonne-maman pêche,2045360442419,,,,,['France'],[],[],,,,,,,?,,104,,435 kj(104 kcal),,"0,2",,0,,24,,24,,"0,6",,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
956,Sirop d agave biologiqur,3662072065935,,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]",,['France'],[],[],,,0 g,en faible quantité,0 g,en faible quantité,?,,?,,,,?,,0,-100%,?,,0,-100%,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Eau de source de montagne,5702016616668,,,,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,Jambon le Torchonay,0209538012596,,,,,['France'],[],[],,,,,,,?,,203,,849 kj(203 kcal),,15,,"6,8",,"0,8",,"0,5",,16,,,,,,,,,"0,62","0,248",,,,,,,,,,,,,,,,,,,,
959,Filet de poulet,2276752025198,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,
960,Poitrine cuite supérieure 3 tranches VPF 261gr,2478872024604,,,,,['France'],[],[],,,,,,,?,,111,,464 kj(111 kcal),,"21,4",,"8,5",,1,,"0,2",,"18,3",,,,,,,,,"1,4","0,56",,,,,,,,,,,,,,,"['FR 35.152.002 CE', 'Liffré (Ille-et-Vilaine, France)']",,,,,
961,Jambon d'Auvergne,2671612104363,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,"6,8","2,72",,,,,,,,,,,,,,,,,,,,
962,Pâtes de fruits gourmet,3270720020795,,,,,['France'],[],[],,,,,,,?,,331,,1385 kj(331 kcal),,0,,0,,81,,68,,0,,,,,,,,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,
963,Poitrine cuite supérieure 3 tranches VPF 283gr,2478872026639,,,,,['France'],[],[],,,,,,,?,,270,,1130 kj(270 kcal),,"21,4",,"8,5",,1,,"0,2",,3,,,,,,,,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,
964,abricot sec,3325359963507,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,53.4 g,en quantité élevée,?,,1009,+284%,4222 kj(1009 kcal),+284%,"0,5",+3%,0,-100%,"62,6",+8%,"53,4",+18%,"3,4",+10%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,,,,,,,,,,,
965,Écrasé de lentilles corail et potimarron,3175681273047,,,,,['France'],[],[],,,,,,,?,,89,,372 kj(89 kcal),,"3,1",,"0,5",,"8,5",,"1,4",,"4,5",,,,,,,,,"0,66","0,264",,,,,,,,,,,,,,,,,,,,
966,Pavé de saumon frais,2316783001720,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",,['France'],[],[],11 g,en quantité modérée,2 g,en quantité modérée,0.5 g,en faible quantité,?,,180,-5%,753 kj(180 kcal),-5%,11,-7%,2,-1%,1,+139%,"0,5",+179%,19,-6%,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,1,"0,4",,,,,,1 g,en quantité modérée,+176%,+176%,2,,B,,,,,,,,
967,Huile olive,3250393004247,,,,,['France'],[],[],,,,,,,?,,884,,3699 kj(884 kcal),,100,,14,,"0,5",,"0,5",,"0,5",,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
968,Jus de pomme myrtille,3770015470033,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Shaker fromage blanc framboise,0207480020140,,,,,['France'],[],[],,,,,,,?,,121,,506 kj(121 kcal),,"3,9",,"2,5",,16,,12,,"4,8",,,,,,,,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,
970,Beurvegan demi-sel - Vegane de Bretagne,37700122920,,['Vegane de Bretagne'],,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,Biscotti fattincasa di leo con gocce di cioccolato,8000015003418,,,,,['France'],[],[],,,,,,,?,,478,,2000 kj(478 kcal),,"16,8",,"3,5",,"72,4",,"27,7",,8,,,,,,,,,"0,8","0,32",,,,,,,,,,,,,,,,,,,,
972,Crozets orties,3770009397025,,,,"['Bio', 'Bio européen', 'FR-BIO-15']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,livias dunx choco - Livia's - 48g,5060426310782,C,"[""Livia's""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Biscuits et gâteaux', 'Biscuits', 'Chocolats']","['Végétarien', 'Sans gluten', 'Végétalien', 'Sans lait']",['France'],"['Oats 35%', 'hazelnuts 21%', 'coconut oil', 'coconut sugar', 'maple syrup', 'ground flaxseed', 'cacao powder 0', '9%', 'salt']","['Sans huile de palme', 'Végétalien', 'Végétarien']",31.2 g,en quantité élevée,15.3 g,en quantité élevée,14.9 g,en quantité élevée,1974,-13%,474,-14%,1974 kj(474 kcal),-14%,"31,2",-14%,"15,3",-27%,"37,8",-18%,"14,9",-64%,"8,3",+14%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"0,4","0,16",48 g,['Plastique'],,"[""Livia's""]",3,0.4 g,en quantité modérée,+188%,+188%,14,-40%,D,-40%,,,,,"['Fruits à coque', 'Avoine']",livias dunx choco,
974,24 moules farcies,3426510000472,,,,,['France'],[],[],,,,,,,?,,383,,1602 kj(383 kcal),,"37,4",,"25,84",,"3,9",,"0,8",,"7,6",,,,,,,,,"0,49","0,196",,['Sachet en plastique'],,,,,,,,,,,,,,,,,,
975,Yeast extract,50184378,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Palette fumée sans os,2403086089347,,,,,['France'],[],[],,,,,,,?,,109,,456 kj(109 kcal),,"3,7",,"1,4",,"0,6",,"0,6",,"18,3",,,,,,,,,"1,99","0,796",,,,,,,,,,,,,,,,,,,,
977,mini gratin a la dauphinoise cuits,3492500068050,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Sprinkle Kit,8718781582470,,,,,['France'],[],[],,,,,,,?,,391,,1636 kj(391 kcal),,"0,5",,"0,5",,"96,5",,"71,6",,"0,1",,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
979,Fumet de poisson,3162050048450,,,,['Sans huile de palme'],['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,Demi baguette viennoise,0260016004595,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Bubble gum,8436012412210,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Bottles botellas,8437005936805,,,,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
983,Chicken tikka,5051882266744,,,,,['France'],[],[],,,,,,,?,,90,,377 kj(90 kcal),,"1,5",,1,,"12,6",,"1,4",,"5,8",,,,,,,,,"0,88","0,352",,,,,,,,,,,,,,,,,,,,
984,RISOTTO AU SAFRAN,3700238305423,,,,,['France'],[],[],,,,,,,?,,335,,1402 kj(335 kcal),,"1,5",,"0,5",,73,,"0,6",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,Uova fresche medie,8023797036399,,,,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,"8,7",,"3,2",,0,,0,,12,,,,,,,,,"0,3","0,12",,,,,,,,,,,,,,,,,,,,
986,Maïs à pop corn,3278584350195,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Mes cordons bleus poulet,3276288400024,,,,,['France'],[],[],,,,,,,?,,199,,833 kj(199 kcal),,"9,2",,"2,3",,13,,"1,8",,15,,,,,,,,,"1,3","0,52",,,,,,,,,,,,,,,,,,,,
988,Vin,3497630100205,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Poélée vendéenne,3017800228418,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,fraîch salade de riz,2416358051560,,,,,['France'],[],[],,,,,,,?,,123.04,,515 kj(123 kcal),,"3,46",,"0,52",,"19,85",,"1,24",,"2,23",,,,,,,,,"0,52","0,208",,,,,,,,,,,,,,,,,,,,
991,carte macdo,110293845,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,Tomates farcies crues surgelées,4956482360230,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Tomates et dérivés', 'Légumes préparés', 'Tomates farcies']",,['France'],[],[],10 g,en quantité modérée,3.7 g,en quantité modérée,1.6 g,en faible quantité,?,,129,+6%,540 kj(129 kcal),+7%,10,+25%,"3,7",+30%,"1,6",-68%,"1,6",-16%,"7,4",+28%,73.7%,16.5%,4.4%,2.9%,1.5%,1.0%,46,"0,54","0,216",,,,,,0.54 g,en quantité modérée,-24%,-24%,-3,,A,,,,,,,,
993,Gnocchi - De Cecco,8001250013958,B,['De Cecco'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchi de pommes de terre']",['Fabriqué en Italie'],['France'],[],[],0.6 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,?,,176,+5%,736 kj(176 kcal),+5%,"0,6",-56%,"0,1",-73%,32,-3%,0,-100%,"4,2",0%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,"1,42","0,568",,,,,,1.42 g,en quantité modérée,+26%,+26%,6,+68%,C,+68%,,,,,,,
994,Couronnes maison,40102078,,,,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,11,,5,,63,,32,,"6,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,Sauternes Haut de Charmes,3388118589172,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,Jambon superieur cuit au torchon,0211371034901,,,,,['France'],[],[],,,,,,,?,,137,,573 kj(137 kcal),,"6,2",,"2,8",,"0,7",,"0,7",,"19,8",,,,,,,,,"1,91","0,764",,,,,,,,,,,,,,,"['FR 29.247.022 CE', 'Saint-Évarzec (Finistère, France)']",,,,,
997,Chèvre chaud au lard,2006050016754,,,,,['France'],[],[],,,,,,,?,,262,,1096 kj(262 kcal),,21,,12,,"2,2",,"1,2",,16,,,,,,,,,"1,7","0,68",,['Film en plastique'],,,,,,,,,,,,,,,,,,
998,Houmous au poivron rouge,3760311390203,,,,,['France'],[],[],,,,,,,?,,288,,1205 kj(288 kcal),,"23,9",,"2,5",,"7,1",,"1,4",,"8,2",,,,,,,,,"1,2","0,48",,,,,,,,,,,,,,,,,,,,
999,Roussette de Savoie,3245390249630,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,3 filets de poulet,0219967031228,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,
1001,뻥튀기 fuffed cereal cookie,0087703000230,,,,,['France'],[],[],,,,,,,?,,443,,1854 kj(443 kcal),,0,,0,,0,,0,,"8,9",,,,,,,,,"0,3","0,12",,,,,,,,,,,,,,,,,,,,
1002,Mangue soupoudrer de chocolat,3217770160231,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Dessert vegetal,9050482182498,,,,,['France'],[],[],,,,,,,?,,98,,410 kj(98 kcal),,"4,4",,4,,14,,"9,8",,"0,5",,,,,,,,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,
1004,Rossignolle fume,3121970162776,,,,,['France'],[],[],,,,,,,?,,408,,1707 kj(408 kcal),,"7,3",,"3,4",,73,,"6,8",,11,,,,,,,,,"1,18","0,472",,,,,,,,,,,,,,,,,,,,
1005,Kamut farfalle n°65,8009385132650,,,,,['France'],[],[],,,,,,,?,,358,,1498 kj(358 kcal),,"1,7",,"0,4",,70,,2,,14,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
1006,Pignons de pin,3330319000383,,,,,['France'],[],[],,,,,,,?,,686,,2870 kj(686 kcal),,"65,4",,"4,7",,"5,6",,"3,6",,"13,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Ail blanc,0004251140898,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail', 'Ail Blanc']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,,,,,,,,,,,,
1008,Jambon cuidineau bouillon a l’os,2227728025919,,,,,['France'],[],[],,,,,,,?,,127,,531 kj(127 kcal),,"4,4",,"2,8",,"0,6",,"0,5",,21,,,,,,,,,"2,1","0,84",,,,,,,,,,,,,,,,,,,,
1009,English tea,0054881009676,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Tortafrolla di verona,8002720002106,,,,,['France'],[],[],,,,,,,?,,506,,2117 kj(506 kcal),,23,,13,,68,,26,,6,,,,,,,,,"0,4","0,16",,,,,,,,,,,,,,,,,,,,
1011,Tomino del boscaiolo senza lattosio,8010895001084,,,,,['France'],[],[],,,,,,,?,,341,,1427 kj(341 kcal),,29,,20,,"1,1",,"0,1",,19,,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,
1012,Epaule Iberique reserva 24 mois,2415020001605,,,,,['France'],[],[],,,,,,,?,,356,,1490 kj(356 kcal),,26,,11,,26,,"0,5",,29,,,,,,,,,"3,3","1,32",,,,,,,,,,,,,,,,,,,,
1013,Mangue prêt à déguster,2868531018691,,,,,['France'],[],[],,,,,,,?,,67,,280 kj(67 kcal),,"0,5",,"0,01",,"15,3",,"12,9",,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Miel,4049011140400,,,,,['France'],[],[],,,,,,,?,,449,,1879 kj(449 kcal),,30,,"3,1",,"7,2",,"0,6",,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Saucisse de Montbéliard,2643314033265,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Montbéliard']",,['France'],[],[],27 g,en quantité élevée,11 g,en quantité élevée,1.1 g,en faible quantité,?,,311,-5%,1301 kj(311 kcal),-5%,27,-4%,11,-2%,"1,1",+27%,"1,1",+57%,15,-7%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,2,"0,8",,,,,,2 g,en quantité élevée,-9%,-9%,21,-6%,E,-6%,,,,,,,
1016,Arrosto di tacchino,8011175000155,,,,,['France'],[],[],,,,,,,?,,89,,372 kj(89 kcal),,"1,8",,"0,7",,"3,3",,"0,1",,15,,,,,,,,,"2,2","0,88",,,,,,,,,,,,,,,,,,,,
1017,Terrines de truite,3760218050064,,,"['Terrines', 'Terrines de poisson', 'Terrines de truite']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,Saumon fumé Ficelle,3339790003500,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,['France'],[],[],9.4 g,en quantité modérée,3.2 g,en quantité modérée,0.4 g,en faible quantité,?,,174.5,-6%,730 kj(174 kcal),-6%,"9,4",-10%,"3,2",+55%,1,+102%,"0,4",+20%,"21,6",-2%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,3,"1,2",,,,,,3 g,en quantité élevée,+6%,+6%,15,+15%,D,+15%,,,,,,,
1019,L’etal du volailler,2209626005576,,,,,['France'],[],[],,,,,,,?,,170,,711 kj(170 kcal),,"9,6",,"2,8",,1,,"0,9",,20,,,,,,,,,"1,3","0,52",,,,,,,,,,,,,,,,,,,,
1020,Miel,7640113131685,,,,,['France'],[],[],,,,,,,?,,449,,1879 kj(449 kcal),,30,,"3,1",,4,,"0,6",,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Queue de filet de saumon norvege,2869501021710,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
