,name,bar_code,eco_score,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,ingredients_origins,markets,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,traceability_code,link,additives,allergens,generic_name,palm_ingredients
20,Bourrache Onagre,3700446495626,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9409274100842,9409274100842,,,,,['France'],"['Viandes et sous-produits animaux ', 'dont volaille déshydratée 14%', 'volaille fraîche 10%', 'céréales ', 'dont riz 4%', 'huiles et graisses', ""sous-produits d'origine végétale "", 'dont inuline 0,8%', 'substances minérales', 'levures', ' ADDITIFS /kg: Vitamines : Vitamine A 18 000 UI/kg 1300 UI/kg 620 mg/kg Vitamine D3 Vitamine E Oligo-élements : Fer ', 'Sulfate de fer monohydraté', ' Iode ', 'Iodure de potassium', ' Cuivre ', 'Sulfate de cuivre pentahydraté', ' Manganèse ', 'Oxyde de manganèse', ' Zinc ', 'Sulfate de zinc monohydraté', ' Sélénium ', 'Sélénite de sodium', ' Conservateurs', 'antioxygènes 95 mg/kg 1,4 mg/kg 9,5 mg/kg 2,8 mg/kg 118 mg/kg 0,14 mg/kg rantissant sommation', "" SAC PLASTIQUE PENSEZ AU TRI ! ENSEMBLE RÉDUISONS L'IMPACT ENVIRONNEMENTAL DES EMBALLAGES À JETER CONSIGNE POUVANT VARIER LOCALEMENT > WWW CONSIGNESDETRI FR Distributeur / Service consommateurs: APEX-36 rue du Leinster BP 4109 - 44241 LA CHAPELLE SUR ERDRE""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Cannelés traditionnels,3180334647014,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
23,Gâteau breton fourré à la crème de pruneaux - Leader Price,3263852670266,,['Leader Price'],,,['France'],[],[],,,,,,,?,,396,,1657 kj(396 kcal),,16,,10,,58,,35,,"4,6",,,,,,,,,"0,62","0,248",,['Film en plastique'],,['Leader Price'],,,,,,,,,,,"['EMB 29151C', 'Morlaix (Finistère, France)']",,,,,
24,Doar pentru fine,5941047829054,,,,,['France'],[],[],,,,,,,?,,456,,1908 kj(456 kcal),,21,,13,,61,,57,,"4,3",,,,,,,,,"0,11","0,044",,,,,,,,,,,,,,,,,,,,
25,Cranberry - Naturel and - 32g,12345683412012345,,['Naturel and'],,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,32g,,,,,,,,,,,,,,,,,,,
26,Carottes - Leaderprice,3263851378361,,"['Leaderprice', 'Leader Price']",,,['France'],[],[],,,,,,,?,,20,,84 kj(20 kcal),,0,,0,,"3,4",,"2,3",,"0,6",,,,,,,,,"0,53","0,212",,,,['Leader Price'],,,,,,,,,,,,,,,,
27,pain bûcheron,9590002324040,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
28,Prosciutto cotto a cubetti - Conad,8003170024298,,['Conad'],,,['France'],[],[],,,,,,,?,,101,,423 kj(101 kcal),,"2,8",,"1,1",,0,,0,,19,,,,,,,,,"2,1","0,84",,,,,,,,,,,,,,,,,,,,
29,Kaszotto - Winiary - 200g,7613036239196,,['Winiary'],,,['France'],[],[],,,,,,,?,,91,,381 kj(91 kcal),,"2,1",,"1,2",,"12,3",,"0,8",,"5,1",,,,,,,,,"0,51","0,204",200 g,,,,,,,,,,,,,,,,,,,
30,Girolles,3112309997572,,,,,['France'],[],[],,,,,,,?,,20,,84 kj(20 kcal),,"0,7",,"0,1",,"1,81",,"0,5",,"1,8",,,,,,,,,"0,81","0,324",,,,,,,,,,,,,,,,,,,,
31,Huile olive,5200119080343,,,,,['France'],[],[],,,,,,,?,,824,,3448 kj(824 kcal),,92,,73,,0,,0,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
32,Le 1/2 Saint Jean,3252950005667,,,,,['France'],[],[],,,,,,,?,,294,,1230 kj(294 kcal),,22,,14,,"0,5",,"0,5",,24,,,,,,,,,"1,6","0,64",,,,,,,,,,,,,,,,,,,,
33,Pancake Mix,5028966037897,,,,,['France'],[],[],,,,,,,?,,389,,1628 kj(389 kcal),,"5,5",,"0,81",,14,,13,,"9,2",,,,,,,,,"2,3","0,92",,,,,,,,,,,,,,,,,,,,
34,Sumac - Delhaize - 22g,5400113548003,,['Delhaize'],,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,22g,,,,,,,,,,,,,,,,,,,
35,Coffret Chaud - Penne au poulet et légumes grillés,3700009274071,,,,"['Nutriscore', 'Nutriscore A']",['France'],[],[],,,,,,,?,,180,,753 kj(180 kcal),,"6,3",,"1,6",,22,,"4,3",,"7,7",,,,,,,,,"0,42","0,168",,,,,,,,,,,,,,,,,,,,
36,Oeufs de lompe rouge,3760036820917,,,"['Conserves', 'Frais', 'Œufs de poisson', 'Semi-conserves', 'Œufs de lump', 'en:Oeufs de lompe']",,['France'],[],[],3.3 g,en quantité modérée,0.8 g,en faible quantité,0.5 g,en faible quantité,?,,80,-6%,335 kj(80 kcal),-5%,"3,3",-14%,"0,8",-12%,"1,5",+32%,"0,5",+85%,11,+11%,,,,,,,,4,"1,6",,,,,,4 g,en quantité élevée,-8%,-8%,5,-38%,C,-38%,,,,,,,
37,Bolero Instant Fruit Flav. Drink Apple Sugar Free,3800048200175,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,5024278003254,5024278003254,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Galup panettone - 100g,8001130808773,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,['France'],[],[],19 g,en quantité modérée,10.3 g,en quantité élevée,24.9 g,en quantité élevée,?,,379,+1%,1586 kj(379 kcal),+2%,19,+27%,"10,3",+15%,"48,8",-5%,"24,9",-4%,"6,3",-8%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"0,53","0,212",100 g,,,,,0.53 g,en quantité modérée,+20%,+20%,21,+13%,E,+13%,,,,,,,
40,Vermicelle de patates douces,6952998413543,,,,,['France'],[],[],,,,,,,?,,355,,1485 kj(355 kcal),,0,,0,,86,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,chou fleur au curry - pica deli - 0'9kg,7340138805812,,['pica deli'],,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,0'9 kg,['Plastique'],,['Franprix'],,,,,,,,,,['Suède'],['ART NO /ITEM NO : 12056 VER 1'],"{""mfnid"":""3503"",""pid"":""12056"",""bnr"":""296"",""date"":""09-11-2020"",""lblid"":""1""}",,,,
42,Feliz cotton candy,6111250130936,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Barbes à papa']",,['France'],[],[],0.3 g,en faible quantité,0.3 g,en faible quantité,98 g,en quantité élevée,?,,391,+6%,1636 kj(391 kcal),+4%,"0,3",+186%,"0,3",+191%,98,+4%,98,+4%,"0,2",+107%,,,,,,,,"0,1","0,04",,,,,,0.1 g,en faible quantité,+545%,+545%,14,0%,D,0%,,,,,,,
43,Tarama extra,4056489278481,,,,,['France'],[],[],,,,,,,?,,478,,2000 kj(478 kcal),,"46,2",,"3,3",,"7,7",,"2,2",,8,,,,,,,,,"1,9","0,76",,,,,,,,,,,,,,,,,,,,
44,Melano,8718309860981,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Topinanbours,3250392473280,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Beans and peas - Alesto - 150g,20977740,B,['Alesto'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,['France'],"['19,2% fèves de soja noir', '19,2 % fèves de soja', '19,2% feves Edamame ', 'soja', '12,6% petits pois', '12,2% fèves', 'hule de soja', 'farine de blé', 'amidon modifié ', 'mais', 'sucre', 'sauce de soja ', 'eau', 'fèves de soja', 'blé', 'sel', '1% sel', "" Peut contenir d'arachides"", 'de fruits à coque et de graines de sésame', "" La consommation de feves de soja et de pois est déconseillée aux jeunes enfants en ralson des ques d'étouffement""]",[],14.2 g,en quantité modérée,2.3 g,en quantité modérée,6.7 g,en quantité modérée,1766,-12%,421,-9%,1766 kj(421 kcal),-10%,"14,2",-29%,"2,3",-58%,"34,9",-41%,"6,7",+71%,"33,3",+236%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,"1,03","0,412",150 g,,,,4,1.03 g,en quantité modérée,-48%,-48%,7,-55%,C,-55%,,,,['E14XX - Amidons modifiés'],"['Gluten', 'Soja']",,
47,Poke bowl poulet riz,3701035401790,,,,,['France'],[],[],,,,,,,?,,152,,636 kj(152 kcal),,"5,4",,"1,1",,"19,9",,"4,4",,"5,3",,,,,,,,,"0,98","0,392",,,,,,,,,,,,,,,,,,,,
48,museau de porc - cosme - 5,2204329016737,,['Cosme'],"['Viandes', 'Charcuteries']",['Bleu Blanc Cœur'],['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,5,,,,,,,,,,,,,,"['FR 72.181.005 CE', 'Mans (Sarthe, France)']",,,,,
49,Croquettes pour chat,7613038195148,,,"['Non alimentaire', 'Open Pet Food Facts', 'Nourriture pour animaux', 'Nourriture pour chats', 'Nourriture sèche pour animaux', 'Croquettes pour chat']",,['France'],[],[],,,0 g,en faible quantité,0 g,en faible quantité,?,,?,,,,?,,0,-100%,?,,0,-100%,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Grantorelli allo Speck,8017268123749,,,,,['France'],[],[],,,,,,,?,,271,,1134 kj(271 kcal),,13,,"5,1",,24,,1,,13,,,,,,,,,"1,9","0,76",,,,,,,,,,,,,,,,,,,,
51,fonds d'artichauts - aucun - 400g,14345045,C,['Aucun'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Artichauts', 'Artichauts en conserve']",,['France'],"[""Fonds d'artichauts grdients: Fonds d'artichauts"", 'eau', 'sel et acidifiant: acide citrique']",[],0 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,?,,?,,,,0,-100%,0,-100%,4,-13%,1,-18%,2,+24%,53.3%,26.8%,7.3%,6.0%,4.3%,2.1%,56,"0,8","0,32",400 g,['Conserve'],,,3,0.8 g,en quantité modérée,-6%,-6%,,,,,,,,['E330 - Acide citrique'],,,
52,Choco Nutty,3770009606295,,,,,['France'],[],[],,,,,,,?,,412,,1724 kj(412 kcal),,"5,7",,"0,8",,"6,7",,3,,"76,6",,,,,,,,,"1,8","0,72",,,,,,,,,,,,,,,,,,,,
53,Barre meal bar - Feed,3665069003255,,['Feed'],,,['France'],[],[],,,,,,,?,,368,,1540 kj(368 kcal),,"15,3",,"6,2",,"36,8",,"12,6",,20,,,,,,,,,"0,4","0,16",,,,,,,,,,,,,,,,,,,,
54,fonds d'artichauts - cyrana - 210g,8437006034074,A,['Cyrana'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Artichauts', 'Artichauts en conserve', ""Fonds d'artichaut en conserve""]",,['France'],"[""Fonds d'artichauts ardients: Fonds d'artichauts"", 'eau', 'sel et acidifian ', 'acide citrique']",[],0 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,119,-17%,28,-28%,119 kj(28 kcal),-30%,0,-100%,0,-100%,4,-13%,1,-18%,2,+24%,24.6%,35.2%,16.9%,8.4%,9.9%,5.0%,89,"0,8","0,32",210 g,['Conserve'],"['Pérou', 'Espagne']",['super u'],1,0.8 g,en quantité modérée,-6%,-6%,-5,,A,,['Espagne Pérou'],,,['E330 - Acide citrique'],,,
55,Terrine,3432770017938,,,,,['France'],[],[],,,,,,,?,,303,,1268 kj(303 kcal),,26,,"9,1",,"3,2",,"0,6",,14,,,,,,,,,"1,5","0,6",,,,,,,,,,,,,,,,,,,,
56,Anneaux oignons,3760105569044,,,,,['France'],[],[],,,,,,,?,,620,,2594 kj(620 kcal),,"31,5",,"2,85",,"58,2",,"3,1",,"3,2",,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,
57,6253506681233,6253506681233,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5600798960842,5600798960842,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
